,3prime,tAI,max_5_UTR_length,TCGA-A2-A0T6,TCGA-A2-A0T6.1
IFI44L,5058.0,0.403608012,200.0,-0.049432,-0.952327456
IFIH1,121.0,0.412344512,377.0,-0.002298,-0.427043991
IFIT1,2775.0,0.411248073,495.0,-0.318374,-1.081004282
IFIT2,1901.0,0.420797646,175.0,0.429507,-0.77541468
IFIT3,843.0,0.417440574,529.0,-0.089965,-1.21377647
IFIT5,2354.0,0.414819429,231.0,0.24225,-0.118099411
IFITM1,159.0,0.431550176,180.0,-0.13489,-0.230267439
IFT27,109.0,0.4030938,426.0,-1.024197,-0.388801499
IGFBP3,1605.0,0.43060006,132.0,0.457527,0.307385946
IGFBP7,558.0,0.392734536,34.0,0.050098,-0.060750821
IKBKE,745.0,0.435100597,714.0,-0.416254,-0.134641206
IL16,3965.0,0.367979445,2395.0,1.275951,-0.02389251
IL17RA,5874.0,0.376798811,133.0,-0.232652,0.286915521
IL1RN,1145.0,0.411881061,408.0,1.078108,1.249533273
IL4I1,16.0,0.4139018,621.0,0.120658,-0.613781335
ILF2,656.0,0.426220446,239.0,-0.352515,0.004168356
IMPA2,2898.0,0.383680893,242.0,-1.112541,-0.603433715
INO80,5209.0,0.374025479,351.0,0.17081,-0.930806683
INPP1,263.0,0.395712795,700.0,-0.111818,0.257000828
INPP5D,1195.0,0.436077769,512.0,0.980819,-0.092802655
INSR,4801.0,0.380857973,411.0,0.538619,-0.049142901
IPO5,2508.0,0.381335948,180.0,0.225677,-0.035137859
IRF7,92.0,0.423538356,367.0,-0.850388,-0.745775615
IRF8,1327.0,0.384714127,507.0,1.487774,-0.024536151
IRF9,369.0,0.432057622,127.0,-0.669706,-0.50179486
IRGQ,7659.0,0.399674011,156.0,0.26806,0.367879805
ISCU,607.0,0.454630229,1331.0,0.327456,0.151676075
ISG15,62.0,0.419522688,77.0,-0.756751,-2.195860059
ISG20,952.0,0.419932377,2368.0,-1.689451,-0.52206454
ISOC1,1056.0,0.418535314,18.0,-0.585232,0.145408794
ITGB2,415.0,0.457304004,395.0,0.97017,-0.500349074
ITPKB,2981.0,0.440250717,340.0,0.531825,0.007061388
ITPRIP,5382.0,0.396785481,453.0,0.817554,-1.532350606
JUNB,496.0,0.414023332,276.0,1.949953,0.1523547
JUP,157.0,0.458302936,298.0,-0.111934,0.143549596
KANK2,2291.0,0.394238955,361.0,0.843907,0.780197176
KARS,4202.0,0.383913431,144.0,-0.637672,-0.248682392
KCNN4,560.0,0.425737469,396.0,-1.23441,0.152142835
KDM1A,327.0,0.428444011,149.0,-0.007108,-0.159701949
KDM2A,3716.0,0.372295488,864.0,0.18153,-0.260373857
KDM2B,2488.0,0.393022165,407.0,-0.081856,-0.045274468
KDM3B,1327.0,0.37791414,200.0,0.544662,0.256496767
KDM4A,1148.0,0.378142374,166.0,0.700878,-0.058772999
KHSRP,1024.0,0.456900489,110.0,0.297273,0.229536074
KIAA2013,727.0,0.385456054,191.0,-0.332119,-0.270613049
KIF20A,757.0,0.371463873,496.0,-2.122444,1.474408975
KIF22,75.0,0.392489541,388.0,-1.128049,-0.590305717
KIF2C,588.0,0.387865377,395.0,-2.498078,-0.885493036
KIF3B,3792.0,0.390782105,180.0,0.381208,0.275381032
KIF3C,2392.0,0.403852971,657.0,-0.143157,-0.6166479
KIF5B,3198.0,0.418236129,470.0,-0.116311,0.004587702
KLHL7,3616.0,0.41595405,521.0,0.147592,-0.080645644
KTI12,594.0,0.370414154,39.0,-0.193698,0.176504746
LAMP1,1311.0,0.390985106,281.0,0.072554,0.309819971
LANCL2,2422.0,0.433733517,578.0,0.113485,-0.199346323
LAP3,503.0,0.426841798,162.0,0.223313,-0.0729722
LDHD,1826.0,0.398770776,52.0,-0.262516,-0.027745014
LENG1,560.0,0.445950324,48.0,0.279002,-0.329179339
LGALS3,159.0,0.420172221,88.0,-0.267363,-0.133912815
LGALS3BP,1225.0,0.419930622,179.0,-0.751291,-0.369075535
LGALS9,641.0,0.410654931,118.0,-0.295364,-0.064402417
LIN54,4893.0,0.441729058,383.0,0.172313,-0.142044623
LPCAT1,2228.0,0.380803123,133.0,-0.421405,-0.42518687
LPCAT4,239.0,0.432241557,94.0,-0.403207,0.204323892
LPXN,1776.0,0.432350833,254.0,0.69189,-0.111749587
LRPPRC,2376.0,0.377375074,58.0,-0.052449,-0.4711212
LRRC25,843.0,0.434491636,642.0,0.57125,0.033991606
LRRC41,465.0,0.438391248,44.0,0.03292,-0.10595257
LRRC59,1755.0,0.423067849,236.0,-0.317606,-0.785681577
LSM1,486.0,0.409616526,410.0,-0.222889,0.315813565
LSM6,1871.0,0.435100303,139.0,-0.241096,0.474484355
LTA4H,391.0,0.355044638,145.0,0.200314,0.492744041
LYN,4058.0,0.418972994,282.0,0.795825,-0.201165728
LYPLAL1,1137.0,0.3973742,157.0,-0.362923,0.168203796
LYRM4,6830.0,0.366844497,217.0,-0.136259,-0.155991473
LYSMD2,596.0,0.394037378,501.0,-0.368691,-0.208741833
M6PR,1457.0,0.379162834,275.0,-0.061721,-0.628530478
MAD2L1,4528.0,0.407191351,124.0,-1.38978,-0.508650282
MAGED2,327.0,0.466698843,233.0,-0.462327,-0.476437942
MAGOH,153.0,0.416054235,162.0,-0.362324,-0.016075816
MAN2B1,128.0,0.381728903,76.0,0.333156,0.031448148
MANF,717.0,0.420319188,97.0,-0.63028,-0.382193131
MAP4K1,170.0,0.374128007,140.0,1.14939,0.13393268
MARCKSL1,768.0,0.468216312,206.0,-0.273976,-0.269269158
MAX,2676.0,0.337149475,479.0,-0.149835,0.06553142
MBD2,3723.0,0.420256858,229.0,-0.30098,0.091325689
MBP,4041.0,0.393290432,264.0,0.468948,-0.324747891
MCM2,662.0,0.460999542,110.0,-0.874464,-0.831830104
MCM4,2618.0,0.371821308,942.0,-0.113299,-0.697272676
MCM5,3214.0,0.470488076,94.0,-0.704425,-0.756729641
MDC1,658.0,0.415783633,440.0,0.102917,-0.362047307
MDH1,210.0,0.381672323,435.0,-0.184979,-0.088073172
ME1,1535.0,0.411214685,265.0,-0.87938,-0.857646052
ME3,171.0,0.395156177,377.0,0.900679,0.715297743
MECR,1365.0,0.445670958,612.0,-0.056594,0.332541628
MED17,2631.0,0.366528813,275.0,-0.081484,0.343746798
MED19,934.0,0.439623042,93.0,-0.276186,0.367216476
MED28,10307.0,0.440157501,27.0,0.182151,0.3517371
MED29,4550.0,0.464327351,57.0,0.3871,0.160782309
MEN1,824.0,0.454590692,504.0,-0.374968,0.058730309
METTL13,961.0,0.396264071,347.0,0.17618,0.077854856
MGST3,1295.0,0.374563048,428.0,-0.307005,-0.519402516
MIF4GD,787.0,0.397877071,137.0,-0.272149,-0.077182762
MINK1,774.0,0.455972684,525.0,0.135696,-0.081691092
MIS12,1334.0,0.420723459,745.0,-0.018723,0.1353457
MLEC,5319.0,0.43043384,173.0,0.150571,-0.247670574
MLLT10,2252.0,0.36295117,1568.0,-0.03472,-0.693840964
MLX,1636.0,0.386664187,65.0,0.007561,0.077607352
MMADHC,5382.0,0.406207656,205.0,-0.159338,-0.320657835
MMGT1,4451.0,0.406300672,388.0,-0.201251,-0.724938315
MMP1,502.0,0.392399458,189.0,4.34111,0.551364872
MMP14,1722.0,0.419367787,285.0,1.10025,0.421361144
MMP9,193.0,0.404253633,19.0,0.338301,-0.891555801
MORC3,2052.0,0.406702124,375.0,0.554516,0.201939028
MORF4L1,1066.0,0.420719378,454.0,0.133849,-0.103867265
MOV10,619.0,0.412681236,1415.0,-0.574961,-0.342776338
MPDU1,797.0,0.440676037,216.0,-0.159737,-0.430168488
MPHOSPH10,87.0,0.404440607,352.0,-0.405273,-0.200093963
MRI1,2018.0,0.459301832,75.0,0.600717,0.685332923
MRPL13,1075.0,0.395373051,313.0,-0.658477,-0.046089419
MRPL15,1888.0,0.407701507,63.0,-0.494678,-0.377932388
MRPL16,212.0,0.368940255,214.0,-0.255677,-0.338090431
MRPL17,6554.0,0.424450505,105.0,-0.556989,-0.042017078
MRPL2,580.0,0.458698472,164.0,-0.491548,-0.177780961
MRPL20,187.0,0.445765675,96.0,-0.363398,-0.150619546
MRPL21,55.0,0.417448467,293.0,-0.956917,-0.256764807
MRPL27,2133.0,0.436300758,31.0,-0.508758,0.005020024
MRPL40,113.0,0.406843086,653.0,-0.801433,-0.175674675
MRPL46,1889.0,0.422788385,25.0,-0.318694,-0.295175378
MRPL48,1284.0,0.368940255,212.0,-0.648514,-0.805274414
MRPL51,2069.0,0.35376587,169.0,-0.154459,-0.444759068
MRPL53,198.0,0.441261883,155.0,-0.329847,-0.167173245
MRPL9,407.0,0.432679379,437.0,-0.142885,-0.082902509
MRPS11,2793.0,0.477818717,1491.0,-0.364324,-0.222680154
MRPS15,468.0,0.440649404,164.0,-0.426583,-0.346635221
MRPS17,1334.0,0.413812124,30.0,-0.562072,-0.442368766
MRPS18B,936.0,0.408462865,157.0,-0.479288,-0.339933734
MRPS36,933.0,0.3748339,84.0,0.31455,0.061105106
MRPS7,453.0,0.455992019,233.0,-0.304117,-0.577814171
MSI2,5168.0,0.366385762,173.0,0.296549,-0.096269266
MSTO1,694.0,0.421389639,1152.0,0.020408,0.109829588
MT1E,291.0,0.588704726,179.0,-0.96397,-0.847332048
MT2A,316.0,0.576670685,123.0,-0.811481,-0.516753693
MTA2,684.0,0.459443446,761.0,-0.318772,0.187253829
MTFMT,1550.0,0.414190941,26.0,0.037494,0.043881405
MTHFS,1663.0,0.434592403,179.0,-0.290891,-0.483432545
MTMR1,2442.0,0.424163835,319.0,0.355734,0.091973143
MTMR14,421.0,0.371137969,151.0,-0.000494,0.05272093
MVP,50.0,0.435053297,193.0,-0.093045,-0.027151938
MX1,456.0,0.433488503,982.0,-0.428184,-1.714375252
MX2,1812.0,0.430094961,104.0,0.273238,-0.411239758
MYADM,2833.0,0.384589896,681.0,0.035937,-0.489330678
MYCBP,3972.0,0.381803634,73.0,0.148998,-0.055920039
MYL12A,812.0,0.453450746,478.0,-0.052536,0.334388262
MYO18A,3647.0,0.395788337,484.0,0.440753,0.02522995
MYO9B,1401.0,0.398943925,152.0,0.675334,0.269421486
N6AMT1,5137.0,0.427535625,28.0,0.189189,0.429964209
NAA40,3212.0,0.389371031,261.0,-0.233167,-0.448559381
NAB1,2433.0,0.361024962,572.0,0.089255,0.055856542
NADK,1672.0,0.3959688,563.0,-0.012854,-0.195428494
NADSYN1,464.0,0.447848979,126.0,-0.459189,-0.045097259
NAGK,1297.0,0.42527382,474.0,0.259307,0.185075656
NANS,37.0,0.458552255,132.0,-0.294802,0.189078366
NAPA,1862.0,0.477781443,318.0,0.46338,0.634371463
NAT10,4915.0,0.387474071,245.0,-0.016203,-0.261207907
NBAS,140.0,0.414580543,44.0,0.590884,0.31772038
NCALD,2767.0,0.374888213,460.0,-0.599439,-0.410338911
NCAPD3,2971.0,0.431957579,606.0,0.102225,-0.383747365
NCAPG2,3501.0,0.41630572,200.0,-0.742469,-0.208768401
NCF1,2381.0,0.415579251,70.0,0.877224,-0.270151597
NCK2,1267.0,0.457831152,276.0,0.004562,-0.122277129
NCKIPSD,4981.0,0.449411541,126.0,-0.18889,0.365848685
NCOA5,1332.0,0.416761948,402.0,-0.234242,-0.0610361
NCOA7,3259.0,0.404217869,470.0,0.007934,0.006183405
NDC80,61.0,0.356199389,182.0,-2.498516,-1.008315837
NDRG2,841.0,0.376266446,941.0,-0.230618,0.003527636
NDUFA4,1685.0,0.439642808,129.0,-0.565177,-0.506934508
NEU1,667.0,0.413226082,156.0,-0.172869,-0.078029237
NFATC2IP,3242.0,0.412267479,15.0,-0.220381,-0.00236856
NFKB1,708.0,0.4099683,467.0,0.397502,0.315832779
NFKB2,153.0,0.424806573,563.0,0.1573,0.02801629
NFKBIE,1053.0,0.409138176,25.0,0.050097,0.109557125
NGDN,1255.0,0.423783924,27.0,-0.312321,-0.371127698
NGRN,1679.0,0.414477409,50.0,-0.19442,-0.170093592
NINJ1,5217.0,0.455972644,71.0,0.038497,-0.135903436
NIP7,1593.0,0.443769116,318.0,-0.367795,-0.195692093
NIT2,2351.0,0.432361565,74.0,-0.741918,-0.135127666
NMNAT3,2689.0,0.397393877,1228.0,0.237019,0.220032258
NMT1,3377.0,0.454689408,31.0,-0.013441,-0.272797097
NONO,1092.0,0.432928506,710.0,-0.166586,-0.027623648
NOP14,912.0,0.38067473,187.0,-0.150621,-0.228795822
NOP2,785.0,0.393538298,198.0,-0.460023,-0.329976018
NOTCH2,6062.0,0.409327653,297.0,0.817273,0.302190524
NPTN,1068.0,0.388989686,197.0,-0.2588,-0.208442108
NR2C2,6271.0,0.390767743,362.0,0.309297,0.054990828
NRBF2,883.0,0.43605128,224.0,0.198806,-0.100449128
NRF1,1901.0,0.447602651,500.0,0.182085,0.191323935
NRGN,833.0,0.413631862,152.0,-1.239715,-0.476222231
NRP1,3846.0,0.416817106,523.0,0.752639,0.541733439
NSFL1C,1587.0,0.42738001,868.0,-0.364909,0.046950705
NSMAF,602.0,0.358586884,214.0,0.183073,0.163329242
NTAN1,178.0,0.344459601,320.0,-0.282455,-0.307791515
NUBP1,246.0,0.455923678,142.0,-0.126772,0.138519607
NUCKS1,5461.0,0.359398328,271.0,0.446774,-0.603457726
NUDC,716.0,0.476401948,127.0,-0.037857,-0.336887558
NUDT16,5489.0,0.428387545,75.0,0.374215,0.234757427
NUMA1,663.0,0.474508115,436.0,0.233883,0.316070499
NUP93,5678.0,0.382018893,495.0,-0.300102,0.070230449
NXF1,2943.0,0.375826754,136.0,-0.041019,0.050927318
OCIAD2,4872.0,0.363821488,322.0,-0.717477,-0.868567782
OGDH,1071.0,0.396078149,159.0,-0.020523,-0.017904061
OPA3,7233.0,0.475004358,100.0,0.382204,-1.329839964
OSBPL2,2363.0,0.383456763,571.0,-0.449687,-0.131600379
OSBPL5,1099.0,0.381371042,158.0,-0.027767,-0.179460275
OVCA2,792.0,0.429983078,65.0,-0.144479,0.112259459
P2RX4,573.0,0.442596273,304.0,-0.001669,-0.065512081
PAAF1,509.0,0.376143366,341.0,-0.294079,-0.03377391
PACSIN2,1591.0,0.413490434,405.0,-0.022194,-0.037495927
PARK7,451.0,0.457171775,163.0,-0.19577,0.232247387
PARP1,769.0,0.460215809,171.0,-0.201325,-0.304298277
PARP10,332.0,0.422654659,200.0,-0.095474,-0.015662252
PARP12,816.0,0.416480622,874.0,-0.465917,-0.209289073
PARP14,2243.0,0.414355918,59.0,0.145784,-0.254546626
PARP9,451.0,0.418102187,327.0,-0.007943,-0.131270297
PARVG,2043.0,0.383803232,484.0,0.675141,-0.026004249
PBK,750.0,0.413339119,464.0,-2.816222,-1.048238336
PCNA,338.0,0.425000199,239.0,-1.336967,-0.869503812
PDAP1,2007.0,0.464659554,134.0,-0.44408,-0.520516405
PDCD2,155.0,0.440448783,111.0,-0.174194,-0.054225216
PDCD2L,48.0,0.433436103,33.0,-0.750827,-0.191483304
PDCD6IP,3211.0,0.388727459,158.0,0.203978,0.215725192
PDHA1,2054.0,0.402514578,145.0,-0.502157,-0.018501284
PDHB,2974.0,0.442593378,43.0,0.126357,0.039801772
PDLIM1,357.0,0.379179626,233.0,-0.872303,-0.614953612
PDXDC1,2055.0,0.375670185,335.0,-0.188001,-0.381260739
PDXK,6244.0,0.398158884,198.0,-0.466242,0.126512983
PEBP1,796.0,0.360152166,326.0,0.010083,0.785601133
PEF1,769.0,0.441759403,424.0,-0.10183,0.343754582
PELO,5222.0,0.385240523,985.0,-0.136526,-0.061081752
PEPD,395.0,0.450896903,133.0,0.324832,0.437192857
PEX16,585.0,0.43213601,312.0,-0.346241,0.470886417
PEX6,946.0,0.370078344,93.0,-0.512729,-0.006323426
PEX7,2294.0,0.407005497,102.0,-0.649945,0.211107166
PFDN5,124.0,0.497062947,117.0,0.048212,-0.069531221
PFDN6,574.0,0.470152145,222.0,-0.795866,-0.107917652
PGM1,570.0,0.393980016,681.0,-0.063357,0.247197444
PHB,988.0,0.45268542,190.0,-0.306918,0.127734408
PHF10,104.0,0.365149381,79.0,0.462525,0.065853521
PI4K2A,2692.0,0.385068362,57.0,0.413794,0.027250103
PIAS1,3626.0,0.396022529,741.0,0.71945,0.250008562
PIK3AP1,3866.0,0.407313024,128.0,1.003065,-0.268223224
PIR,205.0,0.385796208,485.0,-1.88152,-0.961037858
PITPNC1,4686.0,0.369070722,874.0,-0.50012,-0.51687911
PLA2G4C,585.0,0.406173977,398.0,0.101525,0.034326046
PLA2G7,1187.0,0.402486321,269.0,0.38873,-0.31281157
PLAUR,323.0,0.418467601,226.0,0.800326,-0.202311186
PLCB2,818.0,0.468984469,301.0,0.754364,0.069406978
PLCG1,3987.0,0.454806205,121.0,-0.418386,-0.199424141
PLD4,273.0,0.377985619,192.0,1.706793,0.479868831
PLEKHO1,5192.0,0.424698037,839.0,0.216684,-0.059449772
PLEKHO2,2119.0,0.429714475,134.0,0.783364,-0.052285983
PLSCR1,10376.0,0.415598704,388.0,-0.116207,-0.482694326
PML,3324.0,0.431306474,140.0,-0.092161,-0.166651988
POLR1C,1131.0,0.439933821,86.0,-0.583097,0.072644909
POLR1D,1469.0,0.427162265,456.0,-0.428252,0.005615463
POLR2F,1600.0,0.47244007,250.0,-1.018543,0.098122242
POLR2H,1065.0,0.427596015,1167.0,-0.834441,-0.122942639
POLR3H,3481.0,0.444306047,388.0,-0.39604,0.140897922
POLR3K,1023.0,0.473025152,46.0,-1.104303,0.304518791
PPA2,660.0,0.432735716,20.0,0.406961,0.211242055
PPIE,4556.0,0.446406574,56.0,-0.389401,-0.268619515
PPIL1,1921.0,0.453832883,252.0,-0.649597,-0.418420635
PPP1R14B,282.0,0.457456004,268.0,-0.71079,-0.1147682
PRC1,1136.0,0.367783806,234.0,-1.919173,-0.856238262
PRCC,357.0,0.381841119,290.0,-0.260109,0.008284417
PRDX1,303.0,0.414090753,341.0,-0.990862,-0.268480677
PRDX6,944.0,0.433706552,51.0,-0.086648,0.404872831
PREB,658.0,0.378530018,403.0,-0.573158,-0.243931019
PREP,579.0,0.425974009,233.0,-0.396144,-0.250862174
PRG4,784.0,0.366727173,51.0,2.589272,0.260773488
PRIM2,1166.0,0.350864643,125.0,-0.343839,-0.696143214
PRKAB1,1305.0,0.365943644,289.0,0.129559,0.483597514
PRKAR2A,5019.0,0.427443141,254.0,0.846272,0.442727176
PRKCB,5795.0,0.38010529,197.0,2.385108,0.090676414
PRKCD,451.0,0.404392693,469.0,-0.384237,-0.109365313
PRKRA,683.0,0.420894136,659.0,-0.10774,-0.146723541
PRKRIP1,3224.0,0.453589322,55.0,-0.288627,-0.600907136
PRMT5,393.0,0.386451423,508.0,-0.051427,-0.054785971
PRMT7,3655.0,0.450088803,850.0,-0.443451,-0.405258025
PROCR,549.0,0.357872186,218.0,0.471258,0.493627849
PRPS1,3908.0,0.466551451,409.0,0.403766,0.250261912
PRPSAP1,2056.0,0.390811115,688.0,-0.309094,0.191366996
PRRC1,3173.0,0.409170839,188.0,0.409359,0.024126831
PSMA5,2997.0,0.446573967,225.0,-0.504843,-0.158015031
PSMA6,187.0,0.423632682,445.0,-0.496473,-0.059864159
PSMB10,58.0,0.455018511,128.0,-0.151101,-0.436866502
PSMB2,3775.0,0.389848815,412.0,-0.380923,-0.032951025
PSMB8,242.0,0.411206622,522.0,-0.392595,-0.026020956
PSMB9,5497.0,0.431095699,69.0,-0.017313,-0.315152252
PSMC3,66.0,0.485654947,194.0,-0.3486,0.007462209
PSMD11,2567.0,0.390095635,61.0,-0.090635,0.018782372
PSMD13,384.0,0.437236365,242.0,-0.35702,-0.139413979
PSMD8,450.0,0.458928351,52.0,-0.1318,0.046280447
PSME2,53.0,0.443656162,65.0,-0.274036,-0.211942374
PSMG1,5308.0,0.427553471,578.0,-0.471639,-0.402435438
PSTPIP2,1923.0,0.429639796,96.0,0.040803,-0.349508098
PTBP1,1504.0,0.473818895,106.0,-0.228101,0.147247991
PTDSS1,3765.0,0.367954205,423.0,-0.322927,-0.349019744
PTGS1,3346.0,0.37260918,633.0,2.226586,0.833866552
PTP4A1,3419.0,0.421202001,1153.0,0.572215,0.14762185
PTPMT1,1899.0,0.450492628,193.0,-0.404754,-0.176582998
PTPN18,2185.0,0.381656528,101.0,-0.4292,-0.430728197
PTPN7,1593.0,0.440747449,781.0,1.286231,-0.105387611
PTPRE,2994.0,0.426620112,1843.0,0.892095,-0.053946453
PTPRF,4571.0,0.452810321,356.0,0.407345,0.022635406
PTRH2,3186.0,0.370743372,1544.0,-0.997759,-1.006722137
PWWP2B,819.0,0.424412275,29.0,0.186127,0.075497703
PYCR2,578.0,0.474148407,230.0,-0.516672,-0.958457587
PYGL,175.0,0.392036998,127.0,0.428902,0.229137742
QARS,97.0,0.458996209,396.0,0.079431,0.094609982
RAB11FIP1,4277.0,0.380614122,56.0,-0.401993,-0.330545948
RAB12,1120.0,0.38483812,283.0,0.123011,-0.00469277
RAB21,5246.0,0.435367738,267.0,0.158171,-0.001582289
RAB31,3231.0,0.437498832,175.0,1.502404,0.004709258
RAB35,2172.0,0.408841719,189.0,-0.169274,-0.192743764
RAB7A,1376.0,0.419395127,232.0,-0.040643,-0.226280535
RAB8B,4163.0,0.425956778,96.0,0.78322,-0.466798076
RAB9A,1716.0,0.417525007,283.0,-0.203027,-0.136593052
RABGGTA,77.0,0.387342734,512.0,-0.416067,0.052912164
RABGGTB,440.0,0.409412379,78.0,-0.507301,-0.127150047
RABIF,4760.0,0.447399225,159.0,-0.29379,0.324547673
RACGAP1,1895.0,0.366370127,354.0,-1.227383,-0.412327669
RAD9A,924.0,0.444046557,185.0,-0.876783,0.020758304
RAE1,1112.0,0.432613552,365.0,-0.513297,0.120013866
RAI1,1472.0,0.455620822,469.0,0.404413,-0.032237138
RAN,2043.0,0.442855294,361.0,-0.374144,0.071344672
RANBP10,3359.0,0.379453562,1256.0,-0.373936,0.047136031
RANGAP1,3145.0,0.481547647,765.0,-1.110483,-0.085443998
RAPGEF1,2727.0,0.425793135,159.0,0.221061,0.006533896
RARS,114.0,0.423508657,41.0,-0.109357,0.040126908
RASGRP2,183.0,0.381671176,582.0,0.615406,-0.086048546
RASGRP4,985.0,0.374724859,214.0,2.628342,0.321786284
RBBP4,6506.0,0.404056961,164.0,0.112137,0.045753916
RBBP5,3098.0,0.421849625,474.0,0.385207,0.096555924
RBKS,251.0,0.392307233,1371.0,0.889619,0.979031909
RBM12,3599.0,0.375183789,304.0,0.334978,-0.105888477
RBM14,3443.0,0.468008211,139.0,-0.458223,-0.157490638
RBM4B,5277.0,0.396841232,170.0,-0.440705,0.052613075
RBMX,1201.0,0.353737079,210.0,-0.059441,0.006487595
RBPJ,4223.0,0.4178224,518.0,0.364801,0.228115835
RBX1,821.0,0.46562919,52.0,-0.850766,0.660122374
RC3H1,7637.0,0.410085914,87.0,-0.148614,0.070935258
RCCD1,1773.0,0.374130224,280.0,-0.866187,0.187146596
RCOR1,4070.0,0.439565312,228.0,0.520132,0.00175798
REEP4,591.0,0.460338979,469.0,-0.832735,-1.193969024
REEP5,2962.0,0.457536941,144.0,0.554135,-0.207248617
RELB,408.0,0.418226182,131.0,0.618304,0.211906345
REPIN1,2683.0,0.45080531,489.0,-0.363663,-0.930763639
RET,2082.0,0.379562012,357.0,-4.291115,-0.230665246
RFC4,89.0,0.411167541,282.0,-0.848225,-0.226497515
RFK,1882.0,0.429285662,357.0,-0.253878,0.098704182
RFX5,1546.0,0.386685917,221.0,-0.011593,0.005493136
RFXAP,1850.0,0.421314391,156.0,-0.090697,0.15078622
RHBDF2,740.0,0.423256567,294.0,-0.67514,-0.217527521
RHOT2,568.0,0.454546166,881.0,-0.393786,-0.076103048
RINL,1279.0,0.357351373,413.0,-0.382705,-1.291907918
RNASEH1,4369.0,0.404567903,700.0,0.036206,-0.337421103
RNASEH2B,3930.0,0.37625722,399.0,-0.419673,-0.197209678
RNASET2,1070.0,0.374792559,407.0,-0.672996,-0.108191126
RNF114,1751.0,0.459950313,36.0,-0.449168,-0.406940345
RNF167,289.0,0.375291206,776.0,-0.045002,-0.015606237
RNF20,5226.0,0.396317502,92.0,0.268828,-0.026281814
RNF213,5288.0,0.417718743,150.0,0.053041,-0.486440083
RNF216,2819.0,0.430061571,259.0,0.225061,0.019373636
RNF25,102.0,0.375620157,88.0,-0.084702,0.055003861
RNF31,88.0,0.389352607,358.0,-0.042262,0.327853553
RNLS,1252.0,0.416402283,135.0,0.127415,0.622187281
RNMT,4581.0,0.415128602,241.0,0.364699,0.206354689
RNPEP,463.0,0.447181346,896.0,-0.33166,0.152005457
RP9,437.0,0.42869019,18.0,-0.301039,-0.036649321
RPA1,2907.0,0.381710028,170.0,0.34565,0.075840008
RPA2,639.0,0.400070522,793.0,0.074131,0.234277388
RPAIN,471.0,0.394698889,570.0,-0.230767,0.231454995
RPL11,461.0,0.442317923,45.0,0.001862,-0.299045669
RPL14,5208.0,0.496792394,133.0,-0.343284,-0.051253887
RPL23,3146.0,0.464880603,90.0,-0.286275,-0.109749433
RPL26,53.0,0.427802183,389.0,0.313765,-0.388705138
RPL31,1260.0,0.451994935,87.0,0.229491,-0.028263033
RPL34,1350.0,0.436455219,198.0,-0.110969,-0.116997
RPL5,1058.0,0.451564158,75.0,0.104688,-0.001723101
RPL7,1077.0,0.460258279,707.0,0.350535,0.350719176
RPS11,373.0,0.483080585,92.0,0.138791,-0.042810904
RPS24,4247.0,0.430653047,142.0,-0.171966,-0.079723173
RPS25,109.0,0.467193878,63.0,-0.164478,-0.243467872
RPS27A,743.0,0.450449292,321.0,0.086676,-0.44082808
RPS3A,306.0,0.426765211,80.0,0.243693,-0.25484552
RPS4X,629.0,0.442998752,96.0,0.126855,-0.199358547
RPS6,2723.0,0.413925579,42.0,0.045021,-0.481379789
RPS6KA1,828.0,0.389798854,163.0,-0.135988,0.103283374
RPS6KA4,735.0,0.38455359,226.0,0.116868,-0.032926092
RPS7,66.0,0.428822459,109.0,-0.509165,-0.535136941
RPTOR,2341.0,0.385169267,805.0,0.16028,0.185991636
RREB1,3012.0,0.456825357,492.0,0.508383,-0.034872587
RRM1,2304.0,0.437568848,689.0,-0.256375,-0.186307459
RRP8,5071.0,0.446233376,148.0,0.022458,-0.246946836
RRS1,978.0,0.468289248,104.0,-0.619438,-0.181772808
RTN3,1690.0,0.358048129,187.0,-0.632511,-0.544168504
RTN4IP1,1108.0,0.372133716,477.0,-0.874239,-0.272351678
RUNX1,4334.0,0.416076551,1578.0,0.486285,0.395817213
RUNX3,2611.0,0.405217602,439.0,0.975712,-0.563979035
RWDD1,6365.0,0.401367905,746.0,-0.32585,-0.285912656
S100A8,71.0,0.444112716,170.0,0.007218,-2.372986364
S100A9,189.0,0.439508357,43.0,-0.711267,-2.43497529
SAMD9,1815.0,0.395660052,270.0,0.535838,-0.215301612
SAMD9L,1162.0,0.396305952,1248.0,0.767307,0.105689545
SAMM50,150.0,0.345249646,197.0,-0.643885,-0.143339085
SAMSN1,684.0,0.407246581,430.0,1.891217,0.280197804
SAP18,1754.0,0.427429047,39.0,-0.202985,-0.167523199
SAP30BP,1541.0,0.449617255,257.0,-0.181877,0.005399339
SAR1A,5213.0,0.411769389,203.0,0.016035,-0.000129803
SAR1B,5806.0,0.392367964,253.0,-0.148833,-0.096337711
SARS,1054.0,0.40098191,100.0,-0.054151,0.141807496
SASH3,1369.0,0.387406112,182.0,1.212288,-0.271382865
SCAMP4,1741.0,0.472519575,351.0,0.156697,-0.064098878
SCO1,8645.0,0.407339367,61.0,0.005786,-0.117570465
SDCCAG8,307.0,0.360606297,1542.0,0.338554,-0.206019453
SEC11C,205.0,0.423646802,92.0,-0.913919,-0.561424873
SEC13,332.0,0.457264526,210.0,-0.34112,0.158123593
