,3prime,tAI,max_5_UTR_length,TCGA-AR-A1AV,TCGA-AR-A1AV.1
IFT27,109.0,0.4030938,426.0,-0.555291,0.140308881
IGFBP3,1605.0,0.43060006,132.0,-0.567861,-0.242511211
IGFBP7,558.0,0.392734536,34.0,-0.472169,-0.777965418
IKBKE,745.0,0.435100597,714.0,0.48561,-0.023592508
IL16,3965.0,0.367979445,2395.0,-0.726325,-0.168449819
IL1RN,1145.0,0.411881061,408.0,0.639089,0.189799711
IL4I1,16.0,0.4139018,621.0,-1.656243,-0.614319862
ILF2,656.0,0.426220446,239.0,0.353035,0.211804903
IMPA2,2898.0,0.383680893,242.0,-1.176569,-0.23868585
INO80,5209.0,0.374025479,351.0,0.298136,0.125392761
INPP1,263.0,0.395712795,700.0,-0.93088,-0.577617574
INPP5D,1195.0,0.436077769,512.0,-0.947774,-0.146206
INSR,4801.0,0.380857973,411.0,0.1249,0.229664745
IPO5,2508.0,0.381335948,180.0,-0.160221,0.00296495
IRF7,92.0,0.423538356,367.0,-0.627759,0.196135314
IRF8,1327.0,0.384714127,507.0,-0.553753,0.352125146
IRF9,369.0,0.432057622,127.0,-0.993813,-0.080075008
IRGQ,7659.0,0.399674011,156.0,-0.259406,-0.227557999
ISCU,607.0,0.454630229,1331.0,-0.122576,-0.22300841
ISG15,62.0,0.419522688,77.0,-2.270734,-0.32703145
ISG20,952.0,0.419932377,2368.0,0.452346,-0.032697931
ISOC1,1056.0,0.418535314,18.0,-0.774936,-0.036139098
ITGB2,415.0,0.457304004,395.0,0.037799,-0.233940542
ITPKB,2981.0,0.440250717,340.0,0.357035,0.151178631
JUNB,496.0,0.414023332,276.0,-0.153703,-0.01825573
JUP,157.0,0.458302936,298.0,-0.016326,-0.508648483
KANK2,2291.0,0.394238955,361.0,0.240521,-0.322475999
KARS,4202.0,0.383913431,144.0,0.310819,0.041080463
KDM1A,327.0,0.428444011,149.0,-0.112252,-0.176840962
KDM2A,3716.0,0.372295488,864.0,0.688639,0.01715859
KDM2B,2488.0,0.393022165,407.0,0.58577,0.501533436
KDM3B,1327.0,0.37791414,200.0,0.870052,0.408174372
KDM4A,1148.0,0.378142374,166.0,-0.063188,-0.549359166
KHSRP,1024.0,0.456900489,110.0,0.239542,0.080826757
KIAA2013,727.0,0.385456054,191.0,-0.023618,-0.19729087
KIF20A,757.0,0.371463873,496.0,-0.761806,2.309844845
KIF22,75.0,0.392489541,388.0,-0.047524,-0.079015074
KIF2C,588.0,0.387865377,395.0,-0.924446,-0.045732131
KIF3B,3792.0,0.390782105,180.0,0.669398,0.175153065
KIF3C,2392.0,0.403852971,657.0,0.187492,-0.875740907
KIF5B,3198.0,0.418236129,470.0,0.098436,-0.332458516
KLHL7,3616.0,0.41595405,521.0,0.147783,-0.17227014
KTI12,594.0,0.370414154,39.0,-0.353224,0.028643642
LAMP1,1311.0,0.390985106,281.0,0.142137,-0.574775328
LANCL2,2422.0,0.433733517,578.0,-0.063299,-0.436843462
LAP3,503.0,0.426841798,162.0,-0.473186,-0.311352086
LDHD,1826.0,0.398770776,52.0,-0.663871,0.222638307
LENG1,560.0,0.445950324,48.0,-0.938071,0.596772334
LGALS3,159.0,0.420172221,88.0,-0.327861,0.514162425
LGALS3BP,1225.0,0.419930622,179.0,-0.393348,-0.790090938
LGALS9,641.0,0.410654931,118.0,-1.197383,-0.087063958
LIN54,4893.0,0.441729058,383.0,0.187642,0.871858675
LPCAT1,2228.0,0.380803123,133.0,-0.114172,-0.837216603
LPXN,1776.0,0.432350833,254.0,-0.242294,0.088600713
LRPPRC,2376.0,0.377375074,58.0,0.460353,-0.193278277
LRRC25,843.0,0.434491636,642.0,-0.808104,0.310499652
LRRC41,465.0,0.438391248,44.0,0.13515,-0.28656983
LRRC59,1755.0,0.423067849,236.0,0.42354,-0.068530122
LSM1,486.0,0.409616526,410.0,-0.541885,0.540333309
LSM6,1871.0,0.435100303,139.0,-0.612352,-1.456326109
LTA4H,391.0,0.355044638,145.0,-0.242311,-0.375894694
LYN,4058.0,0.418972994,282.0,-0.873866,-0.491920852
LYPLAL1,1137.0,0.3973742,157.0,0.089413,-0.198600125
LYRM4,6830.0,0.366844497,217.0,-0.551564,-0.123283874
LYSMD2,596.0,0.394037378,501.0,-1.135267,0.260007679
M6PR,1457.0,0.379162834,275.0,-0.013174,0.325021575
MAD2L1,4528.0,0.407191351,124.0,-0.185255,0.488147414
MAFB,2032.0,0.405989564,390.0,-0.908277,-0.393402034
MAGED2,327.0,0.466698843,233.0,1.296939,0.00806191
MAGOH,153.0,0.416054235,162.0,-0.502903,0.096080264
MAN2B1,128.0,0.381728903,76.0,-1.4e-05,-0.375879459
MANF,717.0,0.420319188,97.0,-0.786755,-0.366647941
MAP4K1,170.0,0.374128007,140.0,-1.529633,0.367812138
MARCKSL1,768.0,0.468216312,206.0,-0.286402,-0.228410521
MAX,2676.0,0.337149475,479.0,-0.24577,-0.106744411
MBD2,3723.0,0.420256858,229.0,-0.236551,-0.122102111
MBP,4041.0,0.393290432,264.0,-0.405877,-0.305964148
MCM2,662.0,0.460999542,110.0,-0.087828,0.066462716
MCM4,2618.0,0.371821308,942.0,0.580712,-0.072274336
MCM5,3214.0,0.470488076,94.0,-0.514219,-0.369843749
MDC1,658.0,0.415783633,440.0,0.563248,0.155548623
MDH1,210.0,0.381672323,435.0,-0.527287,-0.4537855
ME1,1535.0,0.411214685,265.0,-0.820124,-0.560238223
ME3,171.0,0.395156177,377.0,-0.849408,0.141740076
MECR,1365.0,0.445670958,612.0,-0.586708,0.05342703
MED17,2631.0,0.366528813,275.0,-0.338158,-0.248203276
MED19,934.0,0.439623042,93.0,-0.371452,-0.416810864
MED28,10307.0,0.440157501,27.0,-0.195694,0.191392673
MED29,4550.0,0.464327351,57.0,-0.096361,-0.035166768
MEF2C,6848.0,0.41426337,654.0,-0.300793,-0.621602294
MEN1,824.0,0.454590692,504.0,-0.875336,0.06646126
METTL13,961.0,0.396264071,347.0,0.674329,0.283702749
MGST3,1295.0,0.374563048,428.0,-0.415785,0.050864921
MIF4GD,787.0,0.397877071,137.0,0.482807,0.435912311
MINK1,774.0,0.455972684,525.0,0.13856,-0.250481171
MIS12,1334.0,0.420723459,745.0,-0.222816,0.303052942
MLEC,5319.0,0.43043384,173.0,0.140007,-0.071295622
MLLT10,2252.0,0.36295117,1568.0,0.074807,1.358266115
MLX,1636.0,0.386664187,65.0,0.262354,-1.455971243
MMP1,502.0,0.392399458,189.0,2.364922,0.64578722
MMP14,1722.0,0.419367787,285.0,0.365139,0.382956012
MMP9,193.0,0.404253633,19.0,0.651427,-0.607000875
MORC3,2052.0,0.406702124,375.0,0.477256,0.267424253
MORF4L1,1066.0,0.420719378,454.0,-0.124517,-0.188483062
MOV10,619.0,0.412681236,1415.0,-0.300104,-0.155319432
MPDU1,797.0,0.440676037,216.0,-0.001237,0.966496205
MPHOSPH10,87.0,0.404440607,352.0,-0.030298,-0.107746311
MRI1,2018.0,0.459301832,75.0,0.297647,-0.097676013
MRPL13,1075.0,0.395373051,313.0,-0.527162,0.584536978
MRPL15,1888.0,0.407701507,63.0,-0.743165,-0.081590346
MRPL16,212.0,0.368940255,214.0,0.803841,0.3678884
MRPL17,6554.0,0.424450505,105.0,-0.600349,0.474403408
MRPL2,580.0,0.458698472,164.0,-0.439989,-0.159494027
MRPL20,187.0,0.445765675,96.0,-0.606636,0.635486294
MRPL21,55.0,0.417448467,293.0,1.431102,0.440014995
MRPL27,2133.0,0.436300758,31.0,-0.528015,0.339925048
MRPL40,113.0,0.406843086,653.0,-1.14316,0.865420651
MRPL46,1889.0,0.422788385,25.0,-0.066906,-0.234326523
MRPL48,1284.0,0.368940255,212.0,-0.192826,0.44063404
MRPL51,2069.0,0.35376587,169.0,-0.734412,0.419814316
MRPL53,198.0,0.441261883,155.0,-0.844971,0.099312825
MRPL9,407.0,0.432679379,437.0,-0.002819,0.363419767
MRPS11,2793.0,0.477818717,1491.0,-0.148371,-0.06790319
MRPS15,468.0,0.440649404,164.0,-0.616636,-0.199143775
MRPS17,1334.0,0.413812124,30.0,-0.565817,-0.520813445
MRPS18B,936.0,0.408462865,157.0,-0.312689,0.494775431
MRPS36,933.0,0.3748339,84.0,-0.03358,-0.525939371
MRPS7,453.0,0.455992019,233.0,-0.325593,0.361987188
MSI2,5168.0,0.366385762,173.0,1.003379,0.048979392
MSTO1,694.0,0.421389639,1152.0,0.143019,-0.133609297
MT1E,291.0,0.588704726,179.0,-1.060015,-1.035204452
MT2A,316.0,0.576670685,123.0,-1.543515,-1.329958889
MTA2,684.0,0.459443446,761.0,-0.748301,-0.073049325
MTFMT,1550.0,0.414190941,26.0,-0.270883,0.662301239
MTHFS,1663.0,0.434592403,179.0,-0.376052,0.283448613
MTMR1,2442.0,0.424163835,319.0,0.116894,-0.413064012
MTMR14,421.0,0.371137969,151.0,-0.085666,0.289314126
MVP,50.0,0.435053297,193.0,0.590975,0.090484581
MX1,456.0,0.433488503,982.0,-2.977842,-0.761640363
MX2,1812.0,0.430094961,104.0,-1.896267,-0.187907698
MYADM,2833.0,0.384589896,681.0,0.166631,1.199871582
MYCBP,3972.0,0.381803634,73.0,0.138354,-0.566169462
MYL12A,812.0,0.453450746,478.0,-0.532154,-1.423393898
MYO18A,3647.0,0.395788337,484.0,-0.216526,-0.077131992
MYO9B,1401.0,0.398943925,152.0,0.038239,0.052352557
N6AMT1,5137.0,0.427535625,28.0,0.088734,-0.071430368
NAA40,3212.0,0.389371031,261.0,-1.217436,-0.80703223
NAB1,2433.0,0.361024962,572.0,-0.008652,1.067120338
NADK,1672.0,0.3959688,563.0,0.354812,-0.002608256
NADSYN1,464.0,0.447848979,126.0,0.734202,0.195139921
NAGK,1297.0,0.42527382,474.0,-0.653332,-0.534335085
NANS,37.0,0.458552255,132.0,0.036346,-0.357919425
NAPA,1862.0,0.477781443,318.0,0.096249,-0.732220678
NAT10,4915.0,0.387474071,245.0,0.016206,-0.430542154
NBAS,140.0,0.414580543,44.0,0.15971,-0.075424396
NCALD,2767.0,0.374888213,460.0,-1.120261,-0.595440002
NCAPD3,2971.0,0.431957579,606.0,0.040585,0.430496308
NCAPG2,3501.0,0.41630572,200.0,0.551054,0.679157294
NCF1,2381.0,0.415579251,70.0,-2.38844,-0.264637922
NCK2,1267.0,0.457831152,276.0,-0.978945,-0.642088411
NCKIPSD,4981.0,0.449411541,126.0,-0.545099,-0.387303365
NCOA5,1332.0,0.416761948,402.0,0.253483,-0.017762289
NCOA7,3259.0,0.404217869,470.0,-1.370677,-0.132706161
NDC80,61.0,0.356199389,182.0,-1.303303,-0.189974031
NDRG2,841.0,0.376266446,941.0,-1.324893,-0.397455277
NDUFA4,1685.0,0.439642808,129.0,-0.040719,-0.447361527
NEU1,667.0,0.413226082,156.0,0.253997,0.410229192
NFATC2IP,3242.0,0.412267479,15.0,0.670281,0.583254651
NFKB1,708.0,0.4099683,467.0,0.382972,0.003859843
NFKB2,153.0,0.424806573,563.0,0.038551,0.153019219
NFKBIE,1053.0,0.409138176,25.0,-0.438653,-0.495181226
NGDN,1255.0,0.423783924,27.0,-0.167783,0.153948554
NGRN,1679.0,0.414477409,50.0,-0.225046,1.300116286
NIP7,1593.0,0.443769116,318.0,0.334202,-0.486630174
NIT2,2351.0,0.432361565,74.0,-0.249221,-0.368334961
NMNAT3,2689.0,0.397393877,1228.0,-0.412984,-0.349044234
NMT1,3377.0,0.454689408,31.0,0.03986,0.185728365
NONO,1092.0,0.432928506,710.0,0.213591,-0.354832282
NOP14,912.0,0.38067473,187.0,0.320865,-0.003019109
NOP2,785.0,0.393538298,198.0,-0.08612,-0.121898724
NOTCH2,6062.0,0.409327653,297.0,1.321103,0.395483238
NPTN,1068.0,0.388989686,197.0,0.561198,0.15559547
NR2C2,6271.0,0.390767743,362.0,-0.287353,0.396222522
NRBF2,883.0,0.43605128,224.0,-0.294168,0.021844148
NRF1,1901.0,0.447602651,500.0,-0.011824,-1.128999991
NRGN,833.0,0.413631862,152.0,-0.725568,-1.813332096
NRP1,3846.0,0.416817106,523.0,0.465792,0.040163104
NSFL1C,1587.0,0.42738001,868.0,-0.091844,0.078143571
NSMAF,602.0,0.358586884,214.0,-0.390115,0.323910411
NTAN1,178.0,0.344459601,320.0,-0.059888,0.239416174
NUBP1,246.0,0.455923678,142.0,0.404025,0.952011659
NUCKS1,5461.0,0.359398328,271.0,0.533869,-0.086536178
NUDC,716.0,0.476401948,127.0,-0.121841,0.087500862
NUDT16,5489.0,0.428387545,75.0,-0.576751,-0.015368095
NUMA1,663.0,0.474508115,436.0,0.791002,0.087867328
NUP93,5678.0,0.382018893,495.0,0.350042,-0.180969396
NXF1,2943.0,0.375826754,136.0,-0.233067,-0.231906322
OCIAD2,4872.0,0.363821488,322.0,-0.061329,-0.669571836
OGDH,1071.0,0.396078149,159.0,0.062226,-0.076994405
OPA3,7233.0,0.475004358,100.0,-0.221533,-0.372117543
OSBPL2,2363.0,0.383456763,571.0,-0.137816,-0.120038132
OSBPL5,1099.0,0.381371042,158.0,0.103815,-0.296940538
OVCA2,792.0,0.429983078,65.0,-0.403373,0.712442616
P2RX4,573.0,0.442596273,304.0,0.879247,0.246382372
PAAF1,509.0,0.376143366,341.0,0.15878,-0.127289773
PACSIN2,1591.0,0.413490434,405.0,-0.624125,-0.520504783
PARK7,451.0,0.457171775,163.0,-0.148807,0.355704374
PARP1,769.0,0.460215809,171.0,0.911524,-0.010548457
PARP10,332.0,0.422654659,200.0,-0.775645,-0.175946898
PARP12,816.0,0.416480622,874.0,-0.725644,0.100605512
PARP14,2243.0,0.414355918,59.0,-0.520874,-0.12210051
PARP9,451.0,0.418102187,327.0,-0.276578,-0.271891531
PARVG,2043.0,0.383803232,484.0,-0.5332,-0.198906124
PBK,750.0,0.413339119,464.0,-0.635245,0.650934726
PCNA,338.0,0.425000199,239.0,0.008341,-0.221038138
PDAP1,2007.0,0.464659554,134.0,-0.108128,0.956372414
PDCD2,155.0,0.440448783,111.0,0.000678,0.139738181
PDCD2L,48.0,0.433436103,33.0,0.372908,-0.120198232
PDCD6IP,3211.0,0.388727459,158.0,0.353777,-0.557109026
PDHA1,2054.0,0.402514578,145.0,-0.064543,-0.530139634
PDHB,2974.0,0.442593378,43.0,-0.169426,-0.568653735
PDLIM1,357.0,0.379179626,233.0,-0.268079,0.014350836
PDXDC1,2055.0,0.375670185,335.0,1.289239,0.558627232
PDXK,6244.0,0.398158884,198.0,-0.652689,-0.356201728
PEBP1,796.0,0.360152166,326.0,0.500477,0.55387378
PEF1,769.0,0.441759403,424.0,-0.356016,-0.653887548
PELO,5222.0,0.385240523,985.0,-0.220237,-0.787490144
PEPD,395.0,0.450896903,133.0,-0.004396,0.585496752
PEX6,946.0,0.370078344,93.0,0.984372,0.548482995
PFDN5,124.0,0.497062947,117.0,-0.247346,-0.512276058
PFDN6,574.0,0.470152145,222.0,-0.133963,-0.594673119
PGM1,570.0,0.393980016,681.0,-0.687624,-0.662580234
PHB,988.0,0.45268542,190.0,0.040282,-0.02435359
PHF10,104.0,0.365149381,79.0,0.159147,0.099431965
PI4K2A,2692.0,0.385068362,57.0,0.138668,-0.046927839
PIAS1,3626.0,0.396022529,741.0,0.073388,-0.00949828
PIK3AP1,3866.0,0.407313024,128.0,-0.342797,-0.249645906
PIR,205.0,0.385796208,485.0,-1.739098,-0.811417241
PITPNC1,4686.0,0.369070722,874.0,-0.318738,0.077130692
PLA2G4C,585.0,0.406173977,398.0,0.94254,-0.019167885
PLA2G7,1187.0,0.402486321,269.0,-0.140641,1.315096709
PLAUR,323.0,0.418467601,226.0,-0.025918,0.157893397
PLCB2,818.0,0.468984469,301.0,-0.285761,-0.06471281
PLCG1,3987.0,0.454806205,121.0,-0.179301,-0.295754739
PLD4,273.0,0.377985619,192.0,-0.571939,0.216295735
PLEKHO1,5192.0,0.424698037,839.0,-1.257724,0.371213092
PLEKHO2,2119.0,0.429714475,134.0,-0.211178,0.378966453
PLSCR1,10376.0,0.415598704,388.0,-1.338009,-0.66468132
PML,3324.0,0.431306474,140.0,-0.306042,-0.179009744
POLR1C,1131.0,0.439933821,86.0,-0.067224,0.328158824
POLR1D,1469.0,0.427162265,456.0,0.055686,0.103506942
POLR2F,1600.0,0.47244007,250.0,-1.187896,-1.748032053
POLR2H,1065.0,0.427596015,1167.0,-0.564569,-0.639657863
POLR3H,3481.0,0.444306047,388.0,-1.125175,0.770944973
POLR3K,1023.0,0.473025152,46.0,0.584996,0.717220143
PPA2,660.0,0.432735716,20.0,0.005834,0.207844643
PPIE,4556.0,0.446406574,56.0,-0.260487,0.554515387
PPIL1,1921.0,0.453832883,252.0,-0.350572,-0.934838976
PPP1R14B,282.0,0.457456004,268.0,-1.284936,-1.010798522
PRC1,1136.0,0.367783806,234.0,-0.058228,0.832734459
PRCC,357.0,0.381841119,290.0,0.368586,0.536163371
PRDX1,303.0,0.414090753,341.0,-0.214801,0.042388112
PRDX6,944.0,0.433706552,51.0,0.220222,0.296049084
PREB,658.0,0.378530018,403.0,-0.435491,-0.244300363
PREP,579.0,0.425974009,233.0,0.288626,-0.52627409
PRG4,784.0,0.366727173,51.0,1.720448,-1.072044002
PRIM2,1166.0,0.350864643,125.0,0.37407,-0.194402783
PRKAB1,1305.0,0.365943644,289.0,0.629706,0.463137107
PRKAR2A,5019.0,0.427443141,254.0,0.958995,-0.139411686
PRKCB,5795.0,0.38010529,197.0,-1.993618,-0.215604629
PRKCD,451.0,0.404392693,469.0,0.073687,0.099748672
PRKRA,683.0,0.420894136,659.0,-0.340942,-0.079393175
PRKRIP1,3224.0,0.453589322,55.0,-0.263054,0.648735824
PRMT5,393.0,0.386451423,508.0,-0.025414,-0.076820369
PRMT7,3655.0,0.450088803,850.0,0.756057,0.256022087
PROCR,549.0,0.357872186,218.0,-0.109366,-0.175346566
PRPS1,3908.0,0.466551451,409.0,0.479945,0.208116371
PRPSAP1,2056.0,0.390811115,688.0,-0.363169,-0.328616867
PRRC1,3173.0,0.409170839,188.0,1.026097,0.184218178
PSMA5,2997.0,0.446573967,225.0,-0.1189,0.184352016
PSMA6,187.0,0.423632682,445.0,-0.596207,-0.771990124
PSMB10,58.0,0.455018511,128.0,0.052351,0.15960544
PSMB2,3775.0,0.389848815,412.0,-0.299817,-0.041362169
PSMB8,242.0,0.411206622,522.0,-0.120521,-0.296483706
PSMB9,5497.0,0.431095699,69.0,-1.248619,-0.260113493
PSMC3,66.0,0.485654947,194.0,-0.635158,-0.3027258
PSMD11,2567.0,0.390095635,61.0,-0.033944,-0.014976446
PSMD13,384.0,0.437236365,242.0,-0.428301,0.052273574
PSMD8,450.0,0.458928351,52.0,-0.010322,-0.457865859
PSME2,53.0,0.443656162,65.0,-1.135043,-0.162010161
PSMG1,5308.0,0.427553471,578.0,-0.036059,0.289619188
PSTPIP2,1923.0,0.429639796,96.0,-1.867275,-0.130760723
PTBP1,1504.0,0.473818895,106.0,0.153285,0.19003375
PTDSS1,3765.0,0.367954205,423.0,-0.568587,-0.66517574
PTGS1,3346.0,0.37260918,633.0,-0.211893,-0.218678672
PTP4A1,3419.0,0.421202001,1153.0,1.019517,0.2284846
PTPMT1,1899.0,0.450492628,193.0,-0.7605,-0.567331534
PTPN18,2185.0,0.381656528,101.0,-0.27215,-1.088402997
PTPN7,1593.0,0.440747449,781.0,-1.618066,-0.111145306
PTPRE,2994.0,0.426620112,1843.0,-0.02526,0.155468868
PTPRF,4571.0,0.452810321,356.0,0.491472,-0.189596298
PTRH2,3186.0,0.370743372,1544.0,-0.518266,-1.172975257
PWWP2B,819.0,0.424412275,29.0,-0.548518,-0.439791535
PYCR2,578.0,0.474148407,230.0,0.404073,0.075063682
PYGL,175.0,0.392036998,127.0,-0.268872,-0.251444432
QARS,97.0,0.458996209,396.0,-0.164265,-0.349987567
RAB11FIP1,4277.0,0.380614122,56.0,0.552164,-0.305863534
RAB12,1120.0,0.38483812,283.0,-0.573234,-0.24954143
RAB21,5246.0,0.435367738,267.0,0.66426,0.130321197
RAB31,3231.0,0.437498832,175.0,1.058129,-0.375157749
RAB35,2172.0,0.408841719,189.0,0.387337,-0.630866302
RAB7A,1376.0,0.419395127,232.0,-0.104672,-0.400528888
RAB8B,4163.0,0.425956778,96.0,-0.120322,-0.153546174
RAB9A,1716.0,0.417525007,283.0,-0.258423,-0.221932413
RABGGTA,77.0,0.387342734,512.0,-0.1479,0.005956044
RABGGTB,440.0,0.409412379,78.0,-0.272649,0.56113578
RABIF,4760.0,0.447399225,159.0,-0.028306,-0.014052822
RACGAP1,1895.0,0.366370127,354.0,0.512543,-0.332437452
RAD9A,924.0,0.444046557,185.0,0.945156,0.316120809
RAE1,1112.0,0.432613552,365.0,-0.044165,0.426001968
RAI1,1472.0,0.455620822,469.0,0.408102,0.572080858
RAN,2043.0,0.442855294,361.0,0.212623,0.197896761
RANBP10,3359.0,0.379453562,1256.0,0.751212,0.73636443
RANGAP1,3145.0,0.481547647,765.0,-0.597199,-0.183914648
RAPGEF1,2727.0,0.425793135,159.0,-0.339792,0.011653684
RARS,114.0,0.423508657,41.0,0.522192,0.21769612
RASGRP2,183.0,0.381671176,582.0,-2.000713,0.144798884
RASGRP4,985.0,0.374724859,214.0,0.194646,0.699742829
RBBP4,6506.0,0.404056961,164.0,0.16662,0.153703303
RBBP5,3098.0,0.421849625,474.0,0.777074,0.372508116
RBKS,251.0,0.392307233,1371.0,-0.521605,-1.230140317
RBM12,3599.0,0.375183789,304.0,0.049092,-0.156310387
RBM14,3443.0,0.468008211,139.0,-0.200185,-0.52416245
RBM4B,5277.0,0.396841232,170.0,-0.331574,0.26555312
RBMX,1201.0,0.353737079,210.0,0.165675,-1.306528622
RBPJ,4223.0,0.4178224,518.0,-0.181282,0.418812516
RBX1,821.0,0.46562919,52.0,-0.801746,-0.299800771
RC3H1,7637.0,0.410085914,87.0,-0.065875,0.078263187
RCCD1,1773.0,0.374130224,280.0,-0.080707,-0.078890205
RCOR1,4070.0,0.439565312,228.0,-0.034845,0.08843547
REEP4,591.0,0.460338979,469.0,0.200419,0.159035366
REEP5,2962.0,0.457536941,144.0,0.233854,-0.428141311
RELB,408.0,0.418226182,131.0,-0.122526,0.024326634
REPIN1,2683.0,0.45080531,489.0,0.225373,0.279357592
RFC4,89.0,0.411167541,282.0,-0.232432,0.25243453
RFK,1882.0,0.429285662,357.0,0.39707,0.750219121
RFX5,1546.0,0.386685917,221.0,0.146261,0.134394279
RFXAP,1850.0,0.421314391,156.0,0.050326,0.590207864
RHBDF2,740.0,0.423256567,294.0,0.364551,-0.612992244
RHOT2,568.0,0.454546166,881.0,0.358927,0.25399261
RNASEH2B,3930.0,0.37625722,399.0,0.116107,0.002962052
RNASET2,1070.0,0.374792559,407.0,-1.01289,-0.498828777
RNF114,1751.0,0.459950313,36.0,-0.354671,0.111832457
RNF167,289.0,0.375291206,776.0,0.049271,-0.243243017
RNF20,5226.0,0.396317502,92.0,0.252121,0.113560664
RNF213,5288.0,0.417718743,150.0,0.071423,-0.009937785
RNF216,2819.0,0.430061571,259.0,0.065361,-0.881435207
RNF25,102.0,0.375620157,88.0,-0.231902,0.130256259
RNF31,88.0,0.389352607,358.0,-0.336433,0.507738089
RNLS,1252.0,0.416402283,135.0,1.125115,0.893517249
RNMT,4581.0,0.415128602,241.0,-0.21601,-0.051633203
RNPEP,463.0,0.447181346,896.0,0.907,0.486721741
RP9,437.0,0.42869019,18.0,-0.368952,-0.536529318
RPA1,2907.0,0.381710028,170.0,0.163023,-0.259689365
RPA2,639.0,0.400070522,793.0,-0.381285,-0.484400634
RPL11,461.0,0.442317923,45.0,-0.845156,-0.188497575
RPL14,5208.0,0.496792394,133.0,-0.440892,-0.450267997
RPL23,3146.0,0.464880603,90.0,-0.244143,-0.290471913
RPL26,53.0,0.427802183,389.0,-0.642742,-0.596966276
RPL31,1260.0,0.451994935,87.0,-0.854987,-0.533922489
RPL34,1350.0,0.436455219,198.0,-0.563473,-1.042269163
RPL5,1058.0,0.451564158,75.0,-0.819878,-0.480062978
RPL7,1077.0,0.460258279,707.0,-0.883201,-0.606504703
RPS11,373.0,0.483080585,92.0,-0.709089,-0.369423001
RPS24,4247.0,0.430653047,142.0,-0.680313,-0.473997235
RPS25,109.0,0.467193878,63.0,-1.131918,0.094547506
RPS27A,743.0,0.450449292,321.0,-1.105976,0.407266567
RPS3A,306.0,0.426765211,80.0,-0.76582,-0.359768089
RPS4X,629.0,0.442998752,96.0,-0.912645,-0.270818167
RPS6,2723.0,0.413925579,42.0,-0.961071,-0.733520291
RPS6KA1,828.0,0.389798854,163.0,0.501601,-0.514380265
RPS6KA4,735.0,0.38455359,226.0,-1.344685,-0.148195369
RPS7,66.0,0.428822459,109.0,-1.009241,-0.669132904
RPTOR,2341.0,0.385169267,805.0,0.039668,0.260627686
RREB1,3012.0,0.456825357,492.0,1.008617,0.202518481
RRM1,2304.0,0.437568848,689.0,0.354568,-0.224857175
RRP8,5071.0,0.446233376,148.0,0.269009,0.322693585
RRS1,978.0,0.468289248,104.0,-0.765305,-0.202425565
RTN3,1690.0,0.358048129,187.0,-0.976648,-0.383519578
RTN4IP1,1108.0,0.372133716,477.0,0.048058,-0.613925785
RUNX1,4334.0,0.416076551,1578.0,0.252565,1.038540584
RUNX3,2611.0,0.405217602,439.0,-1.971169,-0.138472506
RWDD1,6365.0,0.401367905,746.0,-0.08085,0.796633137
S100A8,71.0,0.444112716,170.0,-1.598182,-1.910742534
S100A9,189.0,0.439508357,43.0,-2.101281,-2.075502041
SAMD9,1815.0,0.395660052,270.0,0.876402,-0.051615516
SAMD9L,1162.0,0.396305952,1248.0,-0.789978,-0.248266225
SAMM50,150.0,0.345249646,197.0,-1.034269,0.112163931
SAMSN1,684.0,0.407246581,430.0,-0.531095,0.380498665
SAP18,1754.0,0.427429047,39.0,0.343452,0.028369026
SAP30BP,1541.0,0.449617255,257.0,0.002074,0.369952951
SAR1A,5213.0,0.411769389,203.0,-0.398147,0.203669692
SAR1B,5806.0,0.392367964,253.0,0.426747,0.708628789
SARS,1054.0,0.40098191,100.0,-0.19513,-0.331623474
SASH3,1369.0,0.387406112,182.0,-0.875495,0.045068655
SCAMP4,1741.0,0.472519575,351.0,0.352179,-0.00930199
SCO1,8645.0,0.407339367,61.0,0.201904,0.336540237
SDCCAG8,307.0,0.360606297,1542.0,0.388942,0.143675821
SEC11C,205.0,0.423646802,92.0,-1.066102,-0.604810796
SEC13,332.0,0.457264526,210.0,-0.337374,0.391334477
SEC14L1,2986.0,0.420320088,665.0,0.121194,0.181544619
SEC22A,2559.0,0.422343815,79.0,-0.380003,0.00811889
SEC24B,1221.0,0.400931805,155.0,0.39363,-0.125851992
SEC24D,2115.0,0.386600041,297.0,1.10061,0.186005246
SEC61B,270.0,0.404562259,76.0,-0.633704,-0.533641583
SEMA3F,960.0,0.38837398,318.0,0.339229,-0.365700776
SEMA4A,755.0,0.412797256,345.0,-0.220822,-0.008039657
SEMA4D,2318.0,0.393173667,572.0,-0.718853,-0.334311583
SERPINA1,1707.0,0.420489385,573.0,3.570582,-1.026745572
SERPINB8,2096.0,0.38524815,520.0,0.007566,0.086655012
SETMAR,321.0,0.414235412,398.0,-0.163118,0.173766768
SEZ6L2,540.0,0.431800162,245.0,1.732768,2.233840296
SF1,2419.0,0.374481437,721.0,-0.420386,-0.508610807
SF3B2,563.0,0.453902675,40.0,-0.747992,0.031713509
SFXN4,500.0,0.402513841,45.0,-0.286149,0.79553534
SH3BP1,433.0,0.395530944,313.0,-1.670923,-0.197250313
SH3PXD2B,4870.0,0.420952884,171.0,0.278616,0.292049335
SHMT1,4335.0,0.394510245,509.0,0.30499,-0.380738044
