,3prime,tAI,max_5_UTR_length,TCGA-A2-A0EY,TCGA-A2-A0EY.1
IFI44,267.0,0.403888008,124.0,-1.757256,-0.134538046
IFI44L,5058.0,0.403608012,200.0,-2.252117,-0.248742704
IFIH1,121.0,0.412344512,377.0,-1.326508,-0.295672934
IFIT1,2775.0,0.411248073,495.0,-2.504953,-0.636686878
IFIT2,1901.0,0.420797646,175.0,-1.519552,-0.519495819
IFIT3,843.0,0.417440574,529.0,-1.831067,-0.727761931
IFIT5,2354.0,0.414819429,231.0,-1.866301,-0.414764036
IFITM1,159.0,0.431550176,180.0,-1.679247,0.205763498
IFT27,109.0,0.4030938,426.0,0.496881,-0.022793809
IGFBP3,1605.0,0.43060006,132.0,-1.299708,0.05156548
IGFBP7,558.0,0.392734536,34.0,-0.555448,-0.086472966
IKBKE,745.0,0.435100597,714.0,1.065286,0.226333389
IL16,3965.0,0.367979445,2395.0,0.019262,0.122883812
IL17RA,5874.0,0.376798811,133.0,1.90911,0.073797194
IL1RN,1145.0,0.411881061,408.0,-3.022794,-0.888601864
IL4I1,16.0,0.4139018,621.0,0.868989,0.282332024
ILF2,656.0,0.426220446,239.0,0.332825,-0.280505197
IMPA2,2898.0,0.383680893,242.0,0.430368,-0.159814761
INO80,5209.0,0.374025479,351.0,-0.296677,-0.019263424
INPP1,263.0,0.395712795,700.0,-1.416631,-0.227477873
INPP5D,1195.0,0.436077769,512.0,0.119093,0.134665913
INSR,4801.0,0.380857973,411.0,0.87004,0.65029783
IPO5,2508.0,0.381335948,180.0,0.204657,-0.066574387
IRF7,92.0,0.423538356,367.0,-0.905374,-0.205298799
IRF8,1327.0,0.384714127,507.0,0.387409,0.004145717
IRF9,369.0,0.432057622,127.0,-0.736512,-0.69003221
IRGQ,7659.0,0.399674011,156.0,1.137659,0.24247207
ISCU,607.0,0.454630229,1331.0,-0.540107,-0.042024632
ISG15,62.0,0.419522688,77.0,-1.806305,-1.048084745
ISG20,952.0,0.419932377,2368.0,-1.026007,-0.373980332
ISOC1,1056.0,0.418535314,18.0,-0.191953,-0.375552988
ITGB2,415.0,0.457304004,395.0,0.470527,0.019820621
ITPKB,2981.0,0.440250717,340.0,0.461974,0.053992349
ITPRIP,5382.0,0.396785481,453.0,-0.617053,-0.081263916
JUNB,496.0,0.414023332,276.0,-0.742849,-0.154763824
JUP,157.0,0.458302936,298.0,0.466896,0.205397291
KANK2,2291.0,0.394238955,361.0,-0.258858,0.252289261
KARS,4202.0,0.383913431,144.0,-0.463238,-0.124600633
KDM1A,327.0,0.428444011,149.0,-0.174505,-0.111445393
KDM2A,3716.0,0.372295488,864.0,0.392427,0.073201919
KDM2B,2488.0,0.393022165,407.0,-0.061581,0.060157617
KDM3B,1327.0,0.37791414,200.0,-0.470504,-0.07058496
KDM4A,1148.0,0.378142374,166.0,-0.31776,-0.09464593
KHSRP,1024.0,0.456900489,110.0,0.787228,0.326619435
KIAA2013,727.0,0.385456054,191.0,-0.114676,-0.091123816
KIF20A,757.0,0.371463873,496.0,-0.274946,0.117233933
KIF22,75.0,0.392489541,388.0,0.367456,-0.146957234
KIF2C,588.0,0.387865377,395.0,-0.027144,-0.249243455
KIF3B,3792.0,0.390782105,180.0,0.791132,0.23999796
KIF5B,3198.0,0.418236129,470.0,-0.187063,0.096890939
KLHL7,3616.0,0.41595405,521.0,-0.248591,-0.163816586
KTI12,594.0,0.370414154,39.0,-0.207732,0.007779791
LAMP1,1311.0,0.390985106,281.0,1.054445,0.734058379
LANCL2,2422.0,0.433733517,578.0,-0.177916,-0.630089112
LAP3,503.0,0.426841798,162.0,-0.290282,0.151820746
LDHD,1826.0,0.398770776,52.0,-0.209434,0.287784592
LENG1,560.0,0.445950324,48.0,0.896869,0.259173554
LGALS3,159.0,0.420172221,88.0,-0.426666,0.064324957
LGALS3BP,1225.0,0.419930622,179.0,-1.193282,-0.544464595
LGALS9,641.0,0.410654931,118.0,-0.286668,0.094542124
LIN54,4893.0,0.441729058,383.0,-0.18298,-0.281505282
LPCAT1,2228.0,0.380803123,133.0,-1.776857,-0.581383777
LPCAT4,239.0,0.432241557,94.0,-0.864103,-0.089437169
LPXN,1776.0,0.432350833,254.0,0.347112,0.104027393
LRPPRC,2376.0,0.377375074,58.0,-0.352871,-0.125486538
LRRC25,843.0,0.434491636,642.0,0.378663,0.263453313
LRRC41,465.0,0.438391248,44.0,-0.621698,-0.174561817
LRRC59,1755.0,0.423067849,236.0,0.324744,-0.057273679
LSM1,486.0,0.409616526,410.0,-0.185321,-0.110277732
LSM6,1871.0,0.435100303,139.0,-0.351405,0.024227222
LTA4H,391.0,0.355044638,145.0,-0.137014,-0.142106984
LYN,4058.0,0.418972994,282.0,-0.178914,0.00198617
LYPLAL1,1137.0,0.3973742,157.0,0.15149,0.021577088
LYRM4,6830.0,0.366844497,217.0,0.245725,0.231322106
LYSMD2,596.0,0.394037378,501.0,-1.485956,-0.126969281
M6PR,1457.0,0.379162834,275.0,0.424358,0.888004548
MAD2L1,4528.0,0.407191351,124.0,0.079865,-0.208434423
MAGED2,327.0,0.466698843,233.0,-0.123902,-0.189704716
MAGOH,153.0,0.416054235,162.0,-0.876655,-0.314263153
MAN2B1,128.0,0.381728903,76.0,1.521066,0.559994589
MANF,717.0,0.420319188,97.0,0.135212,0.023242961
MAP4K1,170.0,0.374128007,140.0,0.799325,-0.010198574
MARCKSL1,768.0,0.468216312,206.0,-0.081557,0.017588604
MAX,2676.0,0.337149475,479.0,-0.608022,-0.182256419
MBD2,3723.0,0.420256858,229.0,0.455506,-0.006839449
MBP,4041.0,0.393290432,264.0,-0.680666,-0.03552185
MCM2,662.0,0.460999542,110.0,0.450165,-0.579272529
MCM4,2618.0,0.371821308,942.0,0.48314,-0.482633113
MCM5,3214.0,0.470488076,94.0,-0.243211,-0.494580211
MDC1,658.0,0.415783633,440.0,0.187,-0.118766362
MDH1,210.0,0.381672323,435.0,0.017704,-0.074074109
ME1,1535.0,0.411214685,265.0,0.280866,-0.030591618
ME3,171.0,0.395156177,377.0,-1.979709,-0.044659292
MECR,1365.0,0.445670958,612.0,-0.508844,-0.267094674
MED17,2631.0,0.366528813,275.0,-0.057328,-0.043659853
MED19,934.0,0.439623042,93.0,0.646616,0.052206653
MED28,10307.0,0.440157501,27.0,-0.449182,-0.271969675
MED29,4550.0,0.464327351,57.0,0.301427,0.259485361
MEF2C,6848.0,0.41426337,654.0,-0.397161,0.803836074
MEN1,824.0,0.454590692,504.0,0.223946,-0.16310188
METTL13,961.0,0.396264071,347.0,0.26779,-0.040300464
MGST3,1295.0,0.374563048,428.0,0.297291,-0.311385817
MIF4GD,787.0,0.397877071,137.0,-0.105242,0.128632825
MINK1,774.0,0.455972684,525.0,0.050995,0.21005958
MIS12,1334.0,0.420723459,745.0,-0.550883,0.036272058
MLEC,5319.0,0.43043384,173.0,0.444272,0.124781129
MLLT10,2252.0,0.36295117,1568.0,-0.166648,0.179875351
MLX,1636.0,0.386664187,65.0,0.297781,0.032013962
MMACHC,1852.0,0.382684622,371.0,-0.453203,-0.130167073
MMADHC,5382.0,0.406207656,205.0,-0.32554,-0.052746094
MMGT1,4451.0,0.406300672,388.0,-0.318463,0.089267204
MMP1,502.0,0.392399458,189.0,5.016469,0.861611113
MMP14,1722.0,0.419367787,285.0,0.165831,0.082289268
MMP9,193.0,0.404253633,19.0,-1.445486,-1.282215917
MORC3,2052.0,0.406702124,375.0,-0.251656,-0.170424489
MORF4L1,1066.0,0.420719378,454.0,-0.628323,-0.150761105
MOV10,619.0,0.412681236,1415.0,-0.297686,-0.217204491
MPDU1,797.0,0.440676037,216.0,0.060493,0.174834692
MPHOSPH10,87.0,0.404440607,352.0,0.128363,-0.086812349
MRI1,2018.0,0.459301832,75.0,-0.066394,0.052769375
MRPL13,1075.0,0.395373051,313.0,0.390492,-0.149789625
MRPL15,1888.0,0.407701507,63.0,0.505626,-0.085144894
MRPL16,212.0,0.368940255,214.0,-0.141699,-0.207862222
MRPL17,6554.0,0.424450505,105.0,-0.83713,-0.086491155
MRPL2,580.0,0.458698472,164.0,0.161225,-0.021714397
MRPL20,187.0,0.445765675,96.0,-0.542224,-0.041257486
MRPL21,55.0,0.417448467,293.0,-0.109756,-0.082097729
MRPL27,2133.0,0.436300758,31.0,-0.042313,-0.051999769
MRPL40,113.0,0.406843086,653.0,-0.142676,-0.146983609
MRPL46,1889.0,0.422788385,25.0,-0.76264,-0.221458216
MRPL48,1284.0,0.368940255,212.0,0.672246,-0.249610034
MRPL51,2069.0,0.35376587,169.0,0.093317,0.057205934
MRPL53,198.0,0.441261883,155.0,0.761693,-0.244319523
MRPL9,407.0,0.432679379,437.0,-0.18266,-0.048022821
MRPS11,2793.0,0.477818717,1491.0,-0.52704,-0.21364323
MRPS15,468.0,0.440649404,164.0,-0.761639,-0.10985044
MRPS17,1334.0,0.413812124,30.0,0.164708,-0.060002757
MRPS18B,936.0,0.408462865,157.0,-0.136467,-0.257291236
MRPS36,933.0,0.3748339,84.0,-0.651445,-0.453543188
MRPS7,453.0,0.455992019,233.0,-0.431613,-0.227236442
MSI2,5168.0,0.366385762,173.0,-0.017436,-0.276128246
MSTO1,694.0,0.421389639,1152.0,0.429347,0.091097131
MT1E,291.0,0.588704726,179.0,-2.561646,-1.913527503
MT2A,316.0,0.576670685,123.0,-0.235678,-1.480721088
MTA2,684.0,0.459443446,761.0,0.387491,0.154419341
MTFMT,1550.0,0.414190941,26.0,-0.553496,-0.35662483
MTHFS,1663.0,0.434592403,179.0,-1.164912,-0.103807693
MTMR1,2442.0,0.424163835,319.0,0.319811,0.068773707
MTMR14,421.0,0.371137969,151.0,0.011503,-0.116654787
MVP,50.0,0.435053297,193.0,0.083952,-0.235048968
MX1,456.0,0.433488503,982.0,-2.39081,-0.764526229
MX2,1812.0,0.430094961,104.0,-0.162447,-0.286291295
MYADM,2833.0,0.384589896,681.0,-0.314609,-0.65789958
MYCBP,3972.0,0.381803634,73.0,-0.133704,-0.049393653
MYL12A,812.0,0.453450746,478.0,-0.621966,-0.307258054
MYO18A,3647.0,0.395788337,484.0,0.22433,0.016073683
MYO9B,1401.0,0.398943925,152.0,0.286503,0.053849432
N6AMT1,5137.0,0.427535625,28.0,-1.297792,-0.401538622
NAA40,3212.0,0.389371031,261.0,0.727952,0.187288638
NAB1,2433.0,0.361024962,572.0,-1.211525,-0.476489298
NADK,1672.0,0.3959688,563.0,-0.120285,-0.107030094
NADSYN1,464.0,0.447848979,126.0,-0.334368,-0.189226842
NAGK,1297.0,0.42527382,474.0,0.89963,0.282032252
NANS,37.0,0.458552255,132.0,-0.044584,-0.30099899
NAPA,1862.0,0.477781443,318.0,0.567995,-0.14575973
NAT10,4915.0,0.387474071,245.0,0.175416,-0.060780717
NBAS,140.0,0.414580543,44.0,-0.333346,0.241377569
NCALD,2767.0,0.374888213,460.0,-0.700528,-0.516037983
NCAPD3,2971.0,0.431957579,606.0,0.823484,-0.114654147
NCAPG2,3501.0,0.41630572,200.0,-0.230715,-0.233689756
NCF1,2381.0,0.415579251,70.0,0.516662,0.142994923
NCK2,1267.0,0.457831152,276.0,0.145772,0.082495109
NCKIPSD,4981.0,0.449411541,126.0,-0.197692,-0.240759806
NCOA5,1332.0,0.416761948,402.0,0.176635,0.12621363
NCOA7,3259.0,0.404217869,470.0,0.117937,-0.174396675
NDC80,61.0,0.356199389,182.0,-0.664832,-0.203967387
NDRG2,841.0,0.376266446,941.0,0.306536,0.15604228
NDUFA4,1685.0,0.439642808,129.0,0.049066,-0.121755753
NEU1,667.0,0.413226082,156.0,1.115375,0.284624144
NFATC2IP,3242.0,0.412267479,15.0,0.0726,-0.290834679
NFKB1,708.0,0.4099683,467.0,-0.3902,-0.18261058
NFKB2,153.0,0.424806573,563.0,-0.166459,-0.123052756
NFKBIE,1053.0,0.409138176,25.0,0.244952,0.044888409
NGDN,1255.0,0.423783924,27.0,0.10996,-0.300573837
NGRN,1679.0,0.414477409,50.0,-0.823538,0.087847037
NINJ1,5217.0,0.455972644,71.0,0.471568,0.186026779
NIP7,1593.0,0.443769116,318.0,0.440395,-0.096834012
NIT2,2351.0,0.432361565,74.0,0.353316,-0.087185146
NMNAT3,2689.0,0.397393877,1228.0,-0.731645,-0.353411021
NMT1,3377.0,0.454689408,31.0,0.319299,0.106835995
NONO,1092.0,0.432928506,710.0,-0.422744,-0.128870253
NOP14,912.0,0.38067473,187.0,-0.13026,0.06735884
NOP2,785.0,0.393538298,198.0,0.262167,-0.011713618
NOTCH2,6062.0,0.409327653,297.0,-0.40868,0.088225769
NPTN,1068.0,0.388989686,197.0,-0.344378,0.14254776
NR2C2,6271.0,0.390767743,362.0,-0.329022,0.026412415
NRBF2,883.0,0.43605128,224.0,0.102467,0.081604562
NRF1,1901.0,0.447602651,500.0,-0.111252,0.03948989
NRGN,833.0,0.413631862,152.0,0.45587,0.269809764
NRP1,3846.0,0.416817106,523.0,-0.646103,-0.049878477
NSFL1C,1587.0,0.42738001,868.0,1.060322,0.599086705
NSMAF,602.0,0.358586884,214.0,-0.206996,-0.052477573
NTAN1,178.0,0.344459601,320.0,0.680539,0.265484491
NUBP1,246.0,0.455923678,142.0,0.393265,0.029587085
NUCKS1,5461.0,0.359398328,271.0,0.260936,0.240567066
NUDC,716.0,0.476401948,127.0,0.013813,-0.136187657
NUDT16,5489.0,0.428387545,75.0,-0.035457,-0.09319794
NUMA1,663.0,0.474508115,436.0,0.274204,-0.029384397
NUP93,5678.0,0.382018893,495.0,0.162335,0.121960981
NXF1,2943.0,0.375826754,136.0,-0.078086,-0.150327096
OCIAD2,4872.0,0.363821488,322.0,-0.31011,-0.136752893
OGDH,1071.0,0.396078149,159.0,0.134154,-0.327594394
OPA3,7233.0,0.475004358,100.0,0.77201,-0.036450302
OSBPL2,2363.0,0.383456763,571.0,0.430031,0.198716088
OSBPL5,1099.0,0.381371042,158.0,0.32478,0.337380476
OVCA2,792.0,0.429983078,65.0,-0.329506,-0.1957134
P2RX4,573.0,0.442596273,304.0,-0.690823,-0.246745491
PAAF1,509.0,0.376143366,341.0,0.684505,0.305304399
PACSIN2,1591.0,0.413490434,405.0,0.597951,0.036931188
PARK7,451.0,0.457171775,163.0,-0.415945,-0.435576424
PARP1,769.0,0.460215809,171.0,0.204284,-0.11473771
PARP10,332.0,0.422654659,200.0,-1.310704,-0.24741745
PARP12,816.0,0.416480622,874.0,-1.375699,-0.304651877
PARP14,2243.0,0.414355918,59.0,-0.853418,-0.158204828
PARP9,451.0,0.418102187,327.0,-0.435436,-0.327428191
PARVG,2043.0,0.383803232,484.0,0.139933,-0.090210293
PBK,750.0,0.413339119,464.0,0.006741,-0.372833045
PCNA,338.0,0.425000199,239.0,-0.202402,-0.438361969
PDAP1,2007.0,0.464659554,134.0,0.8542,0.827620318
PDCD2,155.0,0.440448783,111.0,0.560712,0.352390062
PDCD2L,48.0,0.433436103,33.0,-0.543793,-0.041312718
PDCD6IP,3211.0,0.388727459,158.0,0.108317,0.234862809
PDHA1,2054.0,0.402514578,145.0,0.071266,-0.033884697
PDHB,2974.0,0.442593378,43.0,-0.368388,-0.204070103
PDLIM1,357.0,0.379179626,233.0,1.758133,0.850697503
PDXDC1,2055.0,0.375670185,335.0,0.490414,0.188687283
PDXK,6244.0,0.398158884,198.0,0.237645,0.102179674
PEBP1,796.0,0.360152166,326.0,-1.044837,-0.704183096
PEF1,769.0,0.441759403,424.0,-0.517666,-0.173956185
PELO,5222.0,0.385240523,985.0,-0.502024,-0.176894696
PEPD,395.0,0.450896903,133.0,0.388233,0.354703074
PEX16,585.0,0.43213601,312.0,0.467698,-0.239321644
PEX6,946.0,0.370078344,93.0,-0.978302,0.056798745
PEX7,2294.0,0.407005497,102.0,0.656435,0.243704771
PFDN5,124.0,0.497062947,117.0,-0.677981,-0.010330094
PFDN6,574.0,0.470152145,222.0,0.827259,0.24591532
PGM1,570.0,0.393980016,681.0,-0.371013,0.104780407
PHB,988.0,0.45268542,190.0,0.217909,-0.34511358
PHF10,104.0,0.365149381,79.0,0.205681,-0.233534192
PI4K2A,2692.0,0.385068362,57.0,-0.023379,0.192039196
PIAS1,3626.0,0.396022529,741.0,-0.3231,-0.203978304
PIGH,1430.0,0.434471606,98.0,-0.645335,0.232753873
PIK3AP1,3866.0,0.407313024,128.0,0.02121,-0.030443474
PIR,205.0,0.385796208,485.0,1.105731,0.259194767
PITPNC1,4686.0,0.369070722,874.0,-0.801273,-0.195513561
PLA2G4C,585.0,0.406173977,398.0,0.97948,-0.258544281
PLAUR,323.0,0.418467601,226.0,0.052744,-0.2837748
PLCB2,818.0,0.468984469,301.0,0.492292,0.045535014
PLCG1,3987.0,0.454806205,121.0,0.495593,0.109295101
PLD4,273.0,0.377985619,192.0,-0.68601,0.020244497
PLEKHO1,5192.0,0.424698037,839.0,0.039837,0.073903367
PLEKHO2,2119.0,0.429714475,134.0,0.293073,0.223328096
PLSCR1,10376.0,0.415598704,388.0,-1.060317,0.432352522
PML,3324.0,0.431306474,140.0,-0.548947,0.007033139
POLR1C,1131.0,0.439933821,86.0,0.225919,0.032397701
POLR1D,1469.0,0.427162265,456.0,0.428884,0.238983255
POLR2F,1600.0,0.47244007,250.0,-0.135093,0.669111288
POLR2H,1065.0,0.427596015,1167.0,0.372262,-0.03360641
POLR3H,3481.0,0.444306047,388.0,0.364727,0.399860103
POLR3K,1023.0,0.473025152,46.0,0.255704,0.220570022
PPA2,660.0,0.432735716,20.0,-0.747646,-0.082202383
PPIE,4556.0,0.446406574,56.0,-0.458462,-0.162380259
PPIL1,1921.0,0.453832883,252.0,0.3223,0.11795086
PPP1R14B,282.0,0.457456004,268.0,0.971891,0.131465625
PRC1,1136.0,0.367783806,234.0,-0.221149,-0.703673407
PRCC,357.0,0.381841119,290.0,0.210015,-0.031061495
PRDX1,303.0,0.414090753,341.0,0.000169,-0.307153341
PRDX6,944.0,0.433706552,51.0,0.350291,0.028786653
PREB,658.0,0.378530018,403.0,0.036817,0.172542073
PREP,579.0,0.425974009,233.0,0.44959,-0.236207699
PRG4,784.0,0.366727173,51.0,4.260061,0.429636352
PRIM2,1166.0,0.350864643,125.0,0.504014,0.007009237
PRKAB1,1305.0,0.365943644,289.0,-0.742434,-0.29972085
PRKAR2A,5019.0,0.427443141,254.0,0.502976,0.049638137
PRKCB,5795.0,0.38010529,197.0,1.023956,0.048511351
PRKCD,451.0,0.404392693,469.0,-0.016779,-0.325798821
PRKRA,683.0,0.420894136,659.0,-0.651665,-0.256848987
PRKRIP1,3224.0,0.453589322,55.0,0.915836,0.336640247
PRMT5,393.0,0.386451423,508.0,0.726264,-0.198472714
PRMT7,3655.0,0.450088803,850.0,2.40547,0.646397463
PROCR,549.0,0.357872186,218.0,-0.681568,-0.048249542
PRPS1,3908.0,0.466551451,409.0,0.135293,0.031763479
PRPSAP1,2056.0,0.390811115,688.0,-0.561363,-0.08996506
PRRC1,3173.0,0.409170839,188.0,-0.237883,-0.188870581
PSMA5,2997.0,0.446573967,225.0,-0.469726,-0.414138777
PSMA6,187.0,0.423632682,445.0,-0.2258,-0.262810725
PSMB10,58.0,0.455018511,128.0,-0.724924,-0.313523705
PSMB2,3775.0,0.389848815,412.0,-0.087565,-0.229333769
PSMB8,242.0,0.411206622,522.0,-1.912106,-0.506500773
PSMB9,5497.0,0.431095699,69.0,-0.930703,-0.156353725
PSMC3,66.0,0.485654947,194.0,-0.298841,0.060978748
PSMD11,2567.0,0.390095635,61.0,-0.008314,0.07316718
PSMD13,384.0,0.437236365,242.0,0.064761,0.067726208
PSMD8,450.0,0.458928351,52.0,-0.08552,0.16900604
PSME2,53.0,0.443656162,65.0,-0.76072,-0.526290373
PSMG1,5308.0,0.427553471,578.0,0.488606,-0.107753453
PSTPIP2,1923.0,0.429639796,96.0,0.592245,0.321971773
PTBP1,1504.0,0.473818895,106.0,-0.122431,-0.228247791
PTDSS1,3765.0,0.367954205,423.0,0.304535,0.245418814
PTGS1,3346.0,0.37260918,633.0,0.049678,0.067393851
PTP4A1,3419.0,0.421202001,1153.0,0.644472,-0.078535847
PTPMT1,1899.0,0.450492628,193.0,-0.774925,-0.044001449
PTPN18,2185.0,0.381656528,101.0,-0.04714,0.252928135
PTPN7,1593.0,0.440747449,781.0,0.762463,-0.139055116
PTPRE,2994.0,0.426620112,1843.0,-0.748347,-0.133041631
PTPRF,4571.0,0.452810321,356.0,-0.40054,-0.253227404
PTRH2,3186.0,0.370743372,1544.0,-0.021019,-0.062258135
PWWP2B,819.0,0.424412275,29.0,-0.067461,0.248320151
PYCR2,578.0,0.474148407,230.0,-0.209044,-0.193572211
PYGL,175.0,0.392036998,127.0,0.865033,0.095576573
QARS,97.0,0.458996209,396.0,0.589506,0.164902259
RAB11FIP1,4277.0,0.380614122,56.0,0.318815,0.225517101
RAB12,1120.0,0.38483812,283.0,-1.108067,-0.045093267
RAB21,5246.0,0.435367738,267.0,-0.267621,-0.163941942
RAB31,3231.0,0.437498832,175.0,-0.704481,-0.354782154
RAB35,2172.0,0.408841719,189.0,-0.089246,-0.132854616
RAB7A,1376.0,0.419395127,232.0,0.144875,0.239008763
RAB8B,4163.0,0.425956778,96.0,-0.067565,0.080363493
RAB9A,1716.0,0.417525007,283.0,0.629359,0.490612376
RABGGTA,77.0,0.387342734,512.0,0.007411,0.067436474
RABGGTB,440.0,0.409412379,78.0,-0.858517,-0.154013258
RABIF,4760.0,0.447399225,159.0,0.263238,-0.217338593
RACGAP1,1895.0,0.366370127,354.0,0.129579,-0.480000403
RAD9A,924.0,0.444046557,185.0,0.824035,0.041177081
RAE1,1112.0,0.432613552,365.0,0.006003,-0.064072442
RAI1,1472.0,0.455620822,469.0,-0.095824,-0.046897784
RAN,2043.0,0.442855294,361.0,-0.703581,-0.347595723
RANBP10,3359.0,0.379453562,1256.0,-0.223663,-0.129911204
RANGAP1,3145.0,0.481547647,765.0,0.31286,0.027150405
RAPGEF1,2727.0,0.425793135,159.0,0.341387,-0.103663456
RARS,114.0,0.423508657,41.0,-0.248712,0.064610903
RASGRP2,183.0,0.381671176,582.0,0.442212,-0.016559606
RASGRP4,985.0,0.374724859,214.0,-0.078036,0.166188172
RBBP4,6506.0,0.404056961,164.0,-0.490808,-0.336241876
RBBP5,3098.0,0.421849625,474.0,0.154069,0.033512315
RBKS,251.0,0.392307233,1371.0,-0.372564,-0.074263441
RBM12,3599.0,0.375183789,304.0,-0.03855,-0.17064139
RBM14,3443.0,0.468008211,139.0,-0.204137,0.063868163
RBM4B,5277.0,0.396841232,170.0,0.106279,-0.275729215
RBMX,1201.0,0.353737079,210.0,-0.534878,0.312389997
RBPJ,4223.0,0.4178224,518.0,-0.206495,0.033091235
RBX1,821.0,0.46562919,52.0,0.277103,0.162536131
RC3H1,7637.0,0.410085914,87.0,-0.106938,0.485485127
RCCD1,1773.0,0.374130224,280.0,-0.352849,-0.100737966
RCOR1,4070.0,0.439565312,228.0,0.021809,-0.188091234
REEP4,591.0,0.460338979,469.0,0.453283,0.358965696
REEP5,2962.0,0.457536941,144.0,-1.379842,-0.048226375
RELB,408.0,0.418226182,131.0,-0.517029,-0.059673896
REPIN1,2683.0,0.45080531,489.0,0.220588,0.576991082
RFC4,89.0,0.411167541,282.0,0.394191,-0.044999402
RFK,1882.0,0.429285662,357.0,-0.168166,-0.387605308
RFWD3,2538.0,0.42367162,98.0,-0.175623,-0.174867062
RFX5,1546.0,0.386685917,221.0,-0.558611,-0.017468187
RFXAP,1850.0,0.421314391,156.0,0.728948,-0.292412663
RHBDF2,740.0,0.423256567,294.0,-0.234871,0.137341305
RHOT2,568.0,0.454546166,881.0,0.617335,0.175570762
RNASEH1,4369.0,0.404567903,700.0,-0.041402,-0.088281959
RNASEH2B,3930.0,0.37625722,399.0,0.058878,0.179117502
RNASET2,1070.0,0.374792559,407.0,0.129955,0.394405531
RNF114,1751.0,0.459950313,36.0,0.312175,0.054269694
RNF167,289.0,0.375291206,776.0,-0.308473,0.050235191
RNF20,5226.0,0.396317502,92.0,-0.389499,-0.030833599
RNF213,5288.0,0.417718743,150.0,-0.561599,-0.322669637
RNF216,2819.0,0.430061571,259.0,0.36495,0.074902011
RNF25,102.0,0.375620157,88.0,-0.295138,-0.13354343
RNF31,88.0,0.389352607,358.0,-0.16094,-0.165220198
RNLS,1252.0,0.416402283,135.0,-0.874408,-0.4731551
RNMT,4581.0,0.415128602,241.0,-0.653379,-0.225509511
RNPEP,463.0,0.447181346,896.0,0.053703,-0.141368415
RP9,437.0,0.42869019,18.0,-0.033343,-0.043961533
RPA1,2907.0,0.381710028,170.0,-0.196392,-0.244406887
RPA2,639.0,0.400070522,793.0,-0.590063,-0.274824536
RPAIN,471.0,0.394698889,570.0,-0.372446,-0.09652058
RPL11,461.0,0.442317923,45.0,-0.708429,-0.106669834
RPL14,5208.0,0.496792394,133.0,-0.729017,-0.036149145
RPL23,3146.0,0.464880603,90.0,-0.630768,-0.002320471
RPL26,53.0,0.427802183,389.0,-0.762671,0.356322066
RPL31,1260.0,0.451994935,87.0,-0.451427,-0.035983753
RPL34,1350.0,0.436455219,198.0,-0.987122,0.311381815
RPL5,1058.0,0.451564158,75.0,-0.625171,0.174309247
RPL7,1077.0,0.460258279,707.0,0.241932,-0.034781668
RPS11,373.0,0.483080585,92.0,-0.223104,0.214680645
RPS24,4247.0,0.430653047,142.0,-0.493442,-0.17059609
RPS25,109.0,0.467193878,63.0,-0.047253,0.297787521
RPS27A,743.0,0.450449292,321.0,-0.357642,0.191475464
RPS3A,306.0,0.426765211,80.0,-0.627165,0.222215092
RPS4X,629.0,0.442998752,96.0,-1.190133,0.080512624
RPS6,2723.0,0.413925579,42.0,-0.375249,0.233273399
RPS6KA1,828.0,0.389798854,163.0,0.059878,-0.047710653
RPS6KA4,735.0,0.38455359,226.0,-0.021991,-0.010375596
RPS7,66.0,0.428822459,109.0,-0.304192,0.04743368
RPTOR,2341.0,0.385169267,805.0,0.25617,-0.135432188
RREB1,3012.0,0.456825357,492.0,0.71691,0.309419477
RRM1,2304.0,0.437568848,689.0,-0.424141,-0.592529824
RRP8,5071.0,0.446233376,148.0,-0.623909,-0.159422801
RRS1,978.0,0.468289248,104.0,0.294792,-0.077996154
RTN3,1690.0,0.358048129,187.0,0.762844,0.623707706
RTN4IP1,1108.0,0.372133716,477.0,1.253762,0.147410868
RUNX1,4334.0,0.416076551,1578.0,0.131466,0.09123347
RUNX3,2611.0,0.405217602,439.0,-0.099019,0.124285037
RWDD1,6365.0,0.401367905,746.0,-0.039811,-0.166460513
S100A8,71.0,0.444112716,170.0,7.906943,1.682248072
S100A9,189.0,0.439508357,43.0,7.897815,1.509107397
SAMD9,1815.0,0.395660052,270.0,-0.314088,-0.119048445
SAMD9L,1162.0,0.396305952,1248.0,-0.865802,-0.151537583
SAMM50,150.0,0.345249646,197.0,0.735267,-0.108287457
SAMSN1,684.0,0.407246581,430.0,0.303587,-0.118290696
SAP18,1754.0,0.427429047,39.0,0.876743,-0.024300409
SAP30BP,1541.0,0.449617255,257.0,-0.099467,-0.301249009
SAR1A,5213.0,0.411769389,203.0,-0.115884,-0.06116433
SAR1B,5806.0,0.392367964,253.0,-0.277502,-0.237339777
SARS,1054.0,0.40098191,100.0,-0.922709,-0.348375663
SASH3,1369.0,0.387406112,182.0,0.646402,0.030034468
SCAMP4,1741.0,0.472519575,351.0,0.501707,0.304129667
SCO1,8645.0,0.407339367,61.0,-0.644332,-0.147379857
SDCCAG8,307.0,0.360606297,1542.0,0.404633,0.104834524
SEC11C,205.0,0.423646802,92.0,-0.048127,-0.284026859
SEC13,332.0,0.457264526,210.0,0.206371,-0.178742588
SEC14L1,2986.0,0.420320088,665.0,0.099848,0.283125863
