,3prime,tAI,max_5_UTR_length,TCGA-BH-A0DG,TCGA-BH-A0DG.1
IKBKE,745.0,0.435100597,714.0,-0.029652,-0.062918354
IL16,3965.0,0.367979445,2395.0,1.013141,0.053583932
IL17RA,5874.0,0.376798811,133.0,0.65302,0.353219471
IL1RN,1145.0,0.411881061,408.0,-0.548548,-0.727997178
IL4I1,16.0,0.4139018,621.0,-0.033647,-0.628893556
ILF2,656.0,0.426220446,239.0,0.636874,0.035036558
IMPA2,2898.0,0.383680893,242.0,0.14803,-0.182099979
INO80,5209.0,0.374025479,351.0,0.157633,0.684856198
INPP1,263.0,0.395712795,700.0,-0.176763,-0.005165948
INPP5D,1195.0,0.436077769,512.0,0.805284,-0.024919627
INSR,4801.0,0.380857973,411.0,0.564256,0.110902788
IPO5,2508.0,0.381335948,180.0,0.141551,0.153859327
IRF7,92.0,0.423538356,367.0,0.921064,0.466452057
IRF8,1327.0,0.384714127,507.0,0.901229,0.33963856
IRF9,369.0,0.432057622,127.0,1.131148,0.479960289
IRGQ,7659.0,0.399674011,156.0,0.106907,0.149870502
ISCU,607.0,0.454630229,1331.0,-0.056576,-0.229218546
ISG15,62.0,0.419522688,77.0,3.720479,1.89302636
ISG20,952.0,0.419932377,2368.0,0.323056,-0.186437468
ISOC1,1056.0,0.418535314,18.0,0.329373,-0.07665982
ITGB2,415.0,0.457304004,395.0,0.52399,-0.247099836
ITPKB,2981.0,0.440250717,340.0,0.247383,0.286127605
JUNB,496.0,0.414023332,276.0,-0.957784,0.162201088
JUP,157.0,0.458302936,298.0,-0.28561,-0.251582601
KANK2,2291.0,0.394238955,361.0,0.447054,0.316299002
KARS,4202.0,0.383913431,144.0,0.204086,0.137373933
KCNN4,560.0,0.425737469,396.0,-0.149173,-0.126570761
KDM1A,327.0,0.428444011,149.0,-0.490526,0.060933879
KDM2A,3716.0,0.372295488,864.0,0.405866,0.011787947
KDM2B,2488.0,0.393022165,407.0,0.127662,-0.187602268
KDM3B,1327.0,0.37791414,200.0,0.07335,0.05114251
KDM4A,1148.0,0.378142374,166.0,0.318823,0.087462627
KHSRP,1024.0,0.456900489,110.0,0.07165,0.116413192
KIAA2013,727.0,0.385456054,191.0,0.995316,0.106450681
KIF20A,757.0,0.371463873,496.0,-0.041184,-0.246809305
KIF22,75.0,0.392489541,388.0,-0.294334,-0.428045205
KIF2C,588.0,0.387865377,395.0,-0.108668,-0.252873355
KIF3B,3792.0,0.390782105,180.0,-0.09343,-0.169204744
KIF3C,2392.0,0.403852971,657.0,1.269002,0.43186749
KIF5B,3198.0,0.418236129,470.0,-0.316632,0.167955941
KLHL7,3616.0,0.41595405,521.0,-0.580816,-0.266262975
KTI12,594.0,0.370414154,39.0,0.099379,0.132715115
LAMP1,1311.0,0.390985106,281.0,-0.004442,-0.103106619
LANCL2,2422.0,0.433733517,578.0,0.126597,-0.24487834
LAP3,503.0,0.426841798,162.0,-0.017764,-0.059180693
LDHD,1826.0,0.398770776,52.0,-1.157362,-0.24137812
LENG1,560.0,0.445950324,48.0,-0.512808,0.069595029
LGALS3,159.0,0.420172221,88.0,-0.1703,-0.299698733
LGALS3BP,1225.0,0.419930622,179.0,1.477186,0.499201536
LGALS9,641.0,0.410654931,118.0,0.975816,0.100542495
LIN54,4893.0,0.441729058,383.0,-0.392121,0.07718474
LPCAT1,2228.0,0.380803123,133.0,-0.07812,-0.153454554
LPXN,1776.0,0.432350833,254.0,0.534012,0.038075525
LRPPRC,2376.0,0.377375074,58.0,-0.08122,0.118325519
LRRC25,843.0,0.434491636,642.0,0.845753,-0.146568627
LRRC41,465.0,0.438391248,44.0,0.752324,0.317835657
LRRC59,1755.0,0.423067849,236.0,2.88134,1.346922541
LSM1,486.0,0.409616526,410.0,0.65117,0.400256116
LSM6,1871.0,0.435100303,139.0,-0.322563,0.240898684
LTA4H,391.0,0.355044638,145.0,-0.204563,-0.287906647
LYN,4058.0,0.418972994,282.0,0.400021,-0.23171502
LYPLAL1,1137.0,0.3973742,157.0,-0.287577,-0.08485514
LYRM4,6830.0,0.366844497,217.0,-0.46436,-0.338830432
LYSMD2,596.0,0.394037378,501.0,-0.311019,0.028514682
M6PR,1457.0,0.379162834,275.0,-0.381011,0.071681251
MAD2L1,4528.0,0.407191351,124.0,-0.202402,-0.198454331
MAFB,2032.0,0.405989564,390.0,0.002382,0.19916267
MAGED2,327.0,0.466698843,233.0,0.346764,-0.486282314
MAGOH,153.0,0.416054235,162.0,0.141412,0.005739695
MAN2B1,128.0,0.381728903,76.0,0.20734,-0.439330016
MANF,717.0,0.420319188,97.0,-0.42058,0.061035309
MAP4K1,170.0,0.374128007,140.0,0.892843,-0.194468374
MARCKSL1,768.0,0.468216312,206.0,-0.435671,-0.345331504
MAX,2676.0,0.337149475,479.0,0.533517,0.081474392
MBD2,3723.0,0.420256858,229.0,-0.208167,-0.011132728
MBP,4041.0,0.393290432,264.0,0.218634,-0.21061182
MCM2,662.0,0.460999542,110.0,-0.040157,0.006977315
MCM4,2618.0,0.371821308,942.0,-0.156421,-0.000417083
MCM5,3214.0,0.470488076,94.0,0.261921,0.061884976
MDC1,658.0,0.415783633,440.0,0.064132,-0.078936732
MDH1,210.0,0.381672323,435.0,-0.332239,-0.104433162
ME1,1535.0,0.411214685,265.0,0.814863,-0.060226258
ME3,171.0,0.395156177,377.0,0.774318,0.899097225
MECR,1365.0,0.445670958,612.0,-1.083593,-0.499943405
MED17,2631.0,0.366528813,275.0,-0.827286,-0.16985036
MED19,934.0,0.439623042,93.0,-0.008674,-0.086547356
MED28,10307.0,0.440157501,27.0,0.022114,-0.071436043
MED29,4550.0,0.464327351,57.0,-0.094364,-0.035194495
MEF2C,6848.0,0.41426337,654.0,0.291452,-0.086940063
MEN1,824.0,0.454590692,504.0,0.174633,-0.060961122
METTL13,961.0,0.396264071,347.0,0.508032,0.355472067
MGST3,1295.0,0.374563048,428.0,0.649533,0.366504792
MIF4GD,787.0,0.397877071,137.0,1.767814,0.752866741
MINK1,774.0,0.455972684,525.0,0.124626,-0.109889875
MIS12,1334.0,0.420723459,745.0,0.238489,0.271240962
MLEC,5319.0,0.43043384,173.0,-0.260044,-0.060836955
MLLT10,2252.0,0.36295117,1568.0,-0.634279,-0.275914034
MLX,1636.0,0.386664187,65.0,-0.421365,0.095180746
MMACHC,1852.0,0.382684622,371.0,-0.696334,-0.28498821
MMADHC,5382.0,0.406207656,205.0,0.090836,-0.077824773
MMGT1,4451.0,0.406300672,388.0,-0.135366,-0.206177449
MMP1,502.0,0.392399458,189.0,3.698673,-0.123276957
MMP14,1722.0,0.419367787,285.0,0.849421,0.303194738
MMP9,193.0,0.404253633,19.0,0.731256,-1.089337134
MORC3,2052.0,0.406702124,375.0,-0.347207,-0.15939824
MORF4L1,1066.0,0.420719378,454.0,-0.261672,0.026339556
MOV10,619.0,0.412681236,1415.0,-0.14463,-0.298967125
MPDU1,797.0,0.440676037,216.0,1.03826,0.751773675
MPHOSPH10,87.0,0.404440607,352.0,-0.619718,0.017294353
MRI1,2018.0,0.459301832,75.0,-0.088529,0.215861431
MRPL13,1075.0,0.395373051,313.0,-0.44417,0.074720259
MRPL15,1888.0,0.407701507,63.0,-0.330377,-0.061506148
MRPL16,212.0,0.368940255,214.0,-0.235067,0.108108835
MRPL17,6554.0,0.424450505,105.0,0.173259,0.083785417
MRPL2,580.0,0.458698472,164.0,-0.468371,0.076254054
MRPL20,187.0,0.445765675,96.0,1.915021,0.278969963
MRPL21,55.0,0.417448467,293.0,0.340779,-0.004388685
MRPL27,2133.0,0.436300758,31.0,2.741302,0.125080511
MRPL40,113.0,0.406843086,653.0,-0.013597,0.193817006
MRPL46,1889.0,0.422788385,25.0,-0.021464,0.109765715
MRPL48,1284.0,0.368940255,212.0,-0.31566,0.075677055
MRPL51,2069.0,0.35376587,169.0,-1.07032,0.17797618
MRPL53,198.0,0.441261883,155.0,0.072826,0.015248375
MRPL9,407.0,0.432679379,437.0,0.09738,-0.156833855
MRPS11,2793.0,0.477818717,1491.0,0.349844,0.009502731
MRPS15,468.0,0.440649404,164.0,1.039276,0.17281206
MRPS17,1334.0,0.413812124,30.0,-0.328151,-0.014866912
MRPS18B,936.0,0.408462865,157.0,-0.170448,-0.039448945
MRPS36,933.0,0.3748339,84.0,-0.046934,0.085082098
MRPS7,453.0,0.455992019,233.0,2.29541,0.446095285
MSI2,5168.0,0.366385762,173.0,1.326283,0.578680102
MSTO1,694.0,0.421389639,1152.0,0.366123,0.517880967
MT2A,316.0,0.576670685,123.0,-0.016064,-1.313054423
MTA2,684.0,0.459443446,761.0,-0.097653,0.195917928
MTFMT,1550.0,0.414190941,26.0,-0.077997,-0.080571959
MTHFS,1663.0,0.434592403,179.0,-0.03322,0.167637616
MTMR1,2442.0,0.424163835,319.0,-0.049644,0.007347566
MTMR14,421.0,0.371137969,151.0,0.339931,0.149548916
MVP,50.0,0.435053297,193.0,0.001939,0.07801271
MX1,456.0,0.433488503,982.0,1.07776,0.02818629
MX2,1812.0,0.430094961,104.0,1.042384,0.098104946
MYADM,2833.0,0.384589896,681.0,0.433225,0.198668702
MYCBP,3972.0,0.381803634,73.0,-0.06988,-0.030173789
MYL12A,812.0,0.453450746,478.0,0.337093,-0.380393153
MYO18A,3647.0,0.395788337,484.0,-0.0742,-0.176085201
MYO9B,1401.0,0.398943925,152.0,0.232026,0.008253206
N6AMT1,5137.0,0.427535625,28.0,0.106636,0.402454115
NAA40,3212.0,0.389371031,261.0,-0.039151,-0.317526948
NAB1,2433.0,0.361024962,572.0,-0.425323,-0.075490476
NADK,1672.0,0.3959688,563.0,1.676417,0.37466742
NADSYN1,464.0,0.447848979,126.0,0.673572,0.265663737
NAGK,1297.0,0.42527382,474.0,0.097862,-0.029920892
NANS,37.0,0.458552255,132.0,0.453863,-0.013566067
NAPA,1862.0,0.477781443,318.0,0.091784,-0.152968194
NAT10,4915.0,0.387474071,245.0,0.309353,0.069774852
NBAS,140.0,0.414580543,44.0,0.165285,0.19096214
NCALD,2767.0,0.374888213,460.0,0.246068,-0.266946504
NCAPD3,2971.0,0.431957579,606.0,-0.824179,-0.171612366
NCAPG2,3501.0,0.41630572,200.0,-0.29636,0.024022147
NCF1,2381.0,0.415579251,70.0,1.106508,-0.556221077
NCK2,1267.0,0.457831152,276.0,0.038566,0.077891847
NCKIPSD,4981.0,0.449411541,126.0,-0.477603,-0.209071867
NCOA5,1332.0,0.416761948,402.0,0.091118,0.123314101
NCOA7,3259.0,0.404217869,470.0,-0.2702,-0.019656322
NDC80,61.0,0.356199389,182.0,-0.780279,-0.218737589
NDRG2,841.0,0.376266446,941.0,0.115122,-0.477376566
NDUFA4,1685.0,0.439642808,129.0,-0.015429,0.042111144
NEU1,667.0,0.413226082,156.0,0.393955,0.043894681
NFATC2IP,3242.0,0.412267479,15.0,-0.09298,-0.032095808
NFKB1,708.0,0.4099683,467.0,0.013111,0.03081323
NFKB2,153.0,0.424806573,563.0,-0.131234,0.180814808
NFKBIE,1053.0,0.409138176,25.0,-0.127074,0.027234621
NGDN,1255.0,0.423783924,27.0,0.36091,0.019054805
NGRN,1679.0,0.414477409,50.0,0.286482,0.110906101
NINJ1,5217.0,0.455972644,71.0,-0.035586,0.102827709
NIP7,1593.0,0.443769116,318.0,0.19954,0.116519789
NIT2,2351.0,0.432361565,74.0,0.028898,-0.075286115
NMNAT3,2689.0,0.397393877,1228.0,-0.188276,-0.085060655
NMT1,3377.0,0.454689408,31.0,-0.474381,-0.379246773
NONO,1092.0,0.432928506,710.0,-0.012144,-0.024311858
NOP14,912.0,0.38067473,187.0,-0.17684,0.115617524
NOP2,785.0,0.393538298,198.0,0.832855,0.218088517
NOTCH2,6062.0,0.409327653,297.0,0.326129,-0.057435853
NPTN,1068.0,0.388989686,197.0,-0.030117,-0.138282638
NR2C2,6271.0,0.390767743,362.0,0.037555,-0.060159168
NRBF2,883.0,0.43605128,224.0,0.010226,0.251969691
NRF1,1901.0,0.447602651,500.0,-0.159612,-0.227099085
NRGN,833.0,0.413631862,152.0,0.040073,0.004792563
NRP1,3846.0,0.416817106,523.0,0.65928,0.138091766
NSFL1C,1587.0,0.42738001,868.0,0.128107,0.129164767
NSMAF,602.0,0.358586884,214.0,-0.038645,0.075540102
NTAN1,178.0,0.344459601,320.0,0.583021,0.155602535
NUBP1,246.0,0.455923678,142.0,0.128912,-0.199523643
NUCKS1,5461.0,0.359398328,271.0,-0.306074,-0.392503915
NUDC,716.0,0.476401948,127.0,-1.015891,-0.318003672
NUDT16,5489.0,0.428387545,75.0,-0.50569,-0.119913771
NUMA1,663.0,0.474508115,436.0,0.439139,-0.091035726
NUP93,5678.0,0.382018893,495.0,0.392307,0.034415933
NXF1,2943.0,0.375826754,136.0,-0.145448,-0.02686304
OCIAD2,4872.0,0.363821488,322.0,0.279307,0.284149135
OGDH,1071.0,0.396078149,159.0,0.274338,0.158616876
OPA3,7233.0,0.475004358,100.0,-0.087978,0.027993892
OSBPL2,2363.0,0.383456763,571.0,0.639469,0.186651599
OSBPL5,1099.0,0.381371042,158.0,-0.315674,-0.067575283
OVCA2,792.0,0.429983078,65.0,0.812083,0.222263366
P2RX4,573.0,0.442596273,304.0,0.590894,-0.274324271
PAAF1,509.0,0.376143366,341.0,-0.191063,-0.232659752
PACSIN2,1591.0,0.413490434,405.0,-0.209305,-0.187367666
PARK7,451.0,0.457171775,163.0,-0.521352,-0.22851516
PARP1,769.0,0.460215809,171.0,-0.139359,0.054889718
PARP10,332.0,0.422654659,200.0,-1.174033,-0.239693986
PARP12,816.0,0.416480622,874.0,0.666245,-0.01266643
PARP14,2243.0,0.414355918,59.0,0.748489,0.384779796
PARP9,451.0,0.418102187,327.0,0.74877,0.236001986
PARVG,2043.0,0.383803232,484.0,0.69049,-0.3152165
PBK,750.0,0.413339119,464.0,-0.744572,-0.545325706
PCNA,338.0,0.425000199,239.0,-0.104589,0.127102854
PDAP1,2007.0,0.464659554,134.0,-0.528253,-0.02761485
PDCD2,155.0,0.440448783,111.0,0.174912,0.017423572
PDCD2L,48.0,0.433436103,33.0,0.16779,-0.061155192
PDCD6IP,3211.0,0.388727459,158.0,-0.27997,-0.058622878
PDHA1,2054.0,0.402514578,145.0,-0.370122,-0.252266667
PDHB,2974.0,0.442593378,43.0,-0.451527,-0.187124387
PDLIM1,357.0,0.379179626,233.0,-0.691037,-0.424319638
PDXDC1,2055.0,0.375670185,335.0,0.790582,0.416587497
PDXK,6244.0,0.398158884,198.0,-0.128874,-0.053733102
PEBP1,796.0,0.360152166,326.0,-0.442618,-0.247129246
PEF1,769.0,0.441759403,424.0,-0.504693,-0.451180574
PELO,5222.0,0.385240523,985.0,0.058626,-0.204237326
PEPD,395.0,0.450896903,133.0,0.329717,-0.064799169
PEX16,585.0,0.43213601,312.0,0.571581,0.264138239
PEX6,946.0,0.370078344,93.0,-0.651162,-0.357515311
PEX7,2294.0,0.407005497,102.0,-0.563856,-0.219578647
PFDN5,124.0,0.497062947,117.0,-0.146674,0.196037278
PFDN6,574.0,0.470152145,222.0,-1.107763,0.110711914
PGM1,570.0,0.393980016,681.0,-0.279295,-0.309440183
PHB,988.0,0.45268542,190.0,0.816655,0.121224648
PHF10,104.0,0.365149381,79.0,-0.393527,0.090097874
PI4K2A,2692.0,0.385068362,57.0,0.479515,0.314287249
PIAS1,3626.0,0.396022529,741.0,0.032209,0.034618224
PIK3AP1,3866.0,0.407313024,128.0,0.501337,-0.265450431
PIR,205.0,0.385796208,485.0,0.313634,-0.035580505
PITPNC1,4686.0,0.369070722,874.0,1.023286,0.896554275
PLA2G7,1187.0,0.402486321,269.0,1.551881,0.040822922
PLAUR,323.0,0.418467601,226.0,0.608356,-0.583525748
PLCB2,818.0,0.468984469,301.0,0.744118,-0.127098774
PLCG1,3987.0,0.454806205,121.0,0.163136,-0.106331284
PLD4,273.0,0.377985619,192.0,0.908085,0.018285238
PLEKHO1,5192.0,0.424698037,839.0,0.016085,0.123694883
PLEKHO2,2119.0,0.429714475,134.0,0.649754,-0.057564582
PLSCR1,10376.0,0.415598704,388.0,0.420396,-0.147868617
PML,3324.0,0.431306474,140.0,0.408613,-0.13551671
POLR1C,1131.0,0.439933821,86.0,-0.476948,-0.173272997
POLR1D,1469.0,0.427162265,456.0,0.050451,0.096733775
POLR2F,1600.0,0.47244007,250.0,-0.189422,0.208588453
POLR2H,1065.0,0.427596015,1167.0,-0.236267,-0.143358362
POLR3H,3481.0,0.444306047,388.0,-0.434437,0.050048871
POLR3K,1023.0,0.473025152,46.0,-0.098313,-0.028078022
PPA2,660.0,0.432735716,20.0,-0.490734,-0.201235461
PPIE,4556.0,0.446406574,56.0,0.035723,0.1562647
PPIL1,1921.0,0.453832883,252.0,-0.007258,0.246369449
PPP1R14B,282.0,0.457456004,268.0,0.095773,0.223759893
PPP1R3G,2923.0,0.390061911,0.0,-0.914413,0.246267471
PRC1,1136.0,0.367783806,234.0,0.008191,-0.386493013
PRCC,357.0,0.381841119,290.0,0.448743,0.065423333
PRDX1,303.0,0.414090753,341.0,-0.200696,-0.265251955
PRDX6,944.0,0.433706552,51.0,-0.01039,0.103545261
PREB,658.0,0.378530018,403.0,0.084837,-0.269659647
PREP,579.0,0.425974009,233.0,0.368725,-0.184209087
PRG4,784.0,0.366727173,51.0,2.423331,-0.249551372
PRIM2,1166.0,0.350864643,125.0,-0.355146,-0.149274445
PRKAB1,1305.0,0.365943644,289.0,-0.586875,-0.226721253
PRKAR2A,5019.0,0.427443141,254.0,-0.525452,-0.318156294
PRKCB,5795.0,0.38010529,197.0,1.111085,0.137776051
PRKCD,451.0,0.404392693,469.0,0.135723,-0.190352022
PRKRA,683.0,0.420894136,659.0,-0.623787,-0.192516674
PRKRIP1,3224.0,0.453589322,55.0,-0.780192,0.254311134
PRMT5,393.0,0.386451423,508.0,0.209341,-0.018372697
PRMT7,3655.0,0.450088803,850.0,0.782633,0.387121332
PROCR,549.0,0.357872186,218.0,0.244434,-0.313865508
PRPS1,3908.0,0.466551451,409.0,-0.225568,0.13429783
PRPSAP1,2056.0,0.390811115,688.0,1.039697,0.227938537
PRRC1,3173.0,0.409170839,188.0,0.182686,0.272854219
PSMA5,2997.0,0.446573967,225.0,-0.6879,-0.152869347
PSMA6,187.0,0.423632682,445.0,0.114908,-0.008347188
PSMB10,58.0,0.455018511,128.0,0.301776,0.023324567
PSMB2,3775.0,0.389848815,412.0,0.109974,-0.143997669
PSMB8,242.0,0.411206622,522.0,0.430684,0.078940378
PSMB9,5497.0,0.431095699,69.0,0.656204,-0.118894085
PSMC3,66.0,0.485654947,194.0,-0.211972,0.040733788
PSMD11,2567.0,0.390095635,61.0,0.435303,0.023477673
PSMD13,384.0,0.437236365,242.0,-0.211394,0.092042826
PSMD8,450.0,0.458928351,52.0,0.202368,0.011745813
PSME2,53.0,0.443656162,65.0,0.827607,0.175517488
PSMG1,5308.0,0.427553471,578.0,-0.500703,-0.501072502
PSTPIP2,1923.0,0.429639796,96.0,-1.636029,-0.750177394
PTBP1,1504.0,0.473818895,106.0,0.260493,0.028337496
PTDSS1,3765.0,0.367954205,423.0,-0.29959,-0.431318517
PTGS1,3346.0,0.37260918,633.0,0.123607,-0.228545102
PTP4A1,3419.0,0.421202001,1153.0,-0.504674,-0.114341657
PTPMT1,1899.0,0.450492628,193.0,0.140339,-0.187236283
PTPN18,2185.0,0.381656528,101.0,0.249246,-0.170734383
PTPN7,1593.0,0.440747449,781.0,0.611857,-0.514124699
PTPRE,2994.0,0.426620112,1843.0,0.579577,-0.076461784
PTPRF,4571.0,0.452810321,356.0,0.107698,-0.769104332
PTRH2,3186.0,0.370743372,1544.0,1.932635,1.234897609
PWWP2B,819.0,0.424412275,29.0,-0.219774,-0.249209123
PYCR2,578.0,0.474148407,230.0,0.137749,0.352542034
PYGL,175.0,0.392036998,127.0,-0.830272,-0.703029683
QARS,97.0,0.458996209,396.0,-0.12569,-0.207728532
RAB11FIP1,4277.0,0.380614122,56.0,-0.649781,-0.388823891
RAB12,1120.0,0.38483812,283.0,-0.436674,-0.128010292
RAB21,5246.0,0.435367738,267.0,-0.306063,0.054357617
RAB31,3231.0,0.437498832,175.0,0.739605,-0.263338812
RAB35,2172.0,0.408841719,189.0,0.379401,0.151561167
RAB7A,1376.0,0.419395127,232.0,-0.126694,-0.000265051
RAB8B,4163.0,0.425956778,96.0,-0.13188,-0.110794774
RAB9A,1716.0,0.417525007,283.0,0.876027,0.355543912
RABGGTA,77.0,0.387342734,512.0,0.470106,0.083639271
RABGGTB,440.0,0.409412379,78.0,-0.361619,0.075331022
RABIF,4760.0,0.447399225,159.0,0.924266,0.351672388
RACGAP1,1895.0,0.366370127,354.0,-0.012227,-0.126620358
RAD9A,924.0,0.444046557,185.0,-0.163879,0.109194099
RAE1,1112.0,0.432613552,365.0,0.157152,0.193296149
RAI1,1472.0,0.455620822,469.0,0.132384,0.089093342
RAN,2043.0,0.442855294,361.0,0.217726,-0.026103782
RANBP10,3359.0,0.379453562,1256.0,0.384595,-0.022973948
RANGAP1,3145.0,0.481547647,765.0,0.080307,0.119740927
RAPGEF1,2727.0,0.425793135,159.0,0.448212,0.108313755
RARS,114.0,0.423508657,41.0,-0.344955,0.043062207
RBBP4,6506.0,0.404056961,164.0,-0.676211,-0.291155591
RBBP5,3098.0,0.421849625,474.0,0.441162,-0.013234791
RBKS,251.0,0.392307233,1371.0,-0.929032,-0.554339125
RBM12,3599.0,0.375183789,304.0,-0.052976,0.073127914
RBM14,3443.0,0.468008211,139.0,0.370295,0.111778776
RBM4B,5277.0,0.396841232,170.0,0.991739,0.324763257
RBMX,1201.0,0.353737079,210.0,-0.126824,0.135886389
RBPJ,4223.0,0.4178224,518.0,0.203121,0.036667187
RBX1,821.0,0.46562919,52.0,0.530388,-0.27942294
RC3H1,7637.0,0.410085914,87.0,0.03932,0.126915402
RCCD1,1773.0,0.374130224,280.0,-0.085965,-0.082502092
RCOR1,4070.0,0.439565312,228.0,0.184378,0.13769841
REEP4,591.0,0.460338979,469.0,-0.109778,0.075589892
REEP5,2962.0,0.457536941,144.0,-0.31496,-0.159140701
RELB,408.0,0.418226182,131.0,0.333655,0.107364264
REPIN1,2683.0,0.45080531,489.0,-0.042589,-0.127160526
RET,2082.0,0.379562012,357.0,-0.293631,-0.164730456
RFC4,89.0,0.411167541,282.0,-0.633571,-0.010394723
RFK,1882.0,0.429285662,357.0,0.061007,0.308578558
RFX5,1546.0,0.386685917,221.0,0.143795,0.20902419
RFXAP,1850.0,0.421314391,156.0,-0.454112,-0.914993011
RHBDF2,740.0,0.423256567,294.0,0.657863,-0.108332624
RHOT2,568.0,0.454546166,881.0,-0.444476,-0.383396207
RNASEH1,4369.0,0.404567903,700.0,0.180523,0.082108762
RNASEH2B,3930.0,0.37625722,399.0,-0.00588,0.274325641
RNASET2,1070.0,0.374792559,407.0,0.093519,0.056167224
RNF114,1751.0,0.459950313,36.0,-0.104801,-0.168046696
RNF167,289.0,0.375291206,776.0,0.234597,0.173590546
RNF20,5226.0,0.396317502,92.0,0.016808,0.095705953
RNF213,5288.0,0.417718743,150.0,1.109251,1.244294862
RNF25,102.0,0.375620157,88.0,0.079857,0.273851042
RNF31,88.0,0.389352607,358.0,0.377549,-0.013575342
RNLS,1252.0,0.416402283,135.0,0.146926,0.1882554
RNMT,4581.0,0.415128602,241.0,-0.315753,-0.060603981
RNPEP,463.0,0.447181346,896.0,1.01926,0.46337227
RP9,437.0,0.42869019,18.0,-0.711114,-0.002009439
RPA1,2907.0,0.381710028,170.0,0.219222,-0.18760606
RPA2,639.0,0.400070522,793.0,-0.618771,-0.298914114
RPAIN,471.0,0.394698889,570.0,0.157467,0.173683554
RPL11,461.0,0.442317923,45.0,-0.684293,-0.043028285
RPL14,5208.0,0.496792394,133.0,0.174819,0.268723552
RPL23,3146.0,0.464880603,90.0,-1.064873,-0.054943395
RPL26,53.0,0.427802183,389.0,0.069239,0.269262422
RPL31,1260.0,0.451994935,87.0,-0.007423,0.055778384
RPL34,1350.0,0.436455219,198.0,-0.341526,0.424777901
RPL5,1058.0,0.451564158,75.0,-0.426932,0.050393018
RPL7,1077.0,0.460258279,707.0,-0.446965,0.281361845
RPS11,373.0,0.483080585,92.0,0.088767,0.209809805
RPS24,4247.0,0.430653047,142.0,-0.58886,-0.263257078
RPS25,109.0,0.467193878,63.0,-0.487846,0.04627684
RPS27A,743.0,0.450449292,321.0,-0.249771,0.075422167
RPS3A,306.0,0.426765211,80.0,-0.510347,0.024123648
RPS4X,629.0,0.442998752,96.0,-0.04015,-0.000926956
RPS6,2723.0,0.413925579,42.0,-0.235261,0.365414924
RPS6KA1,828.0,0.389798854,163.0,-0.298482,-0.501864925
RPS6KA4,735.0,0.38455359,226.0,-0.068845,-0.256586967
RPS7,66.0,0.428822459,109.0,-0.579314,-0.037738621
RPTOR,2341.0,0.385169267,805.0,0.567938,0.554441177
RREB1,3012.0,0.456825357,492.0,0.327555,-0.007907251
RRM1,2304.0,0.437568848,689.0,-0.064428,-0.279280092
RRP8,5071.0,0.446233376,148.0,0.021747,0.023694826
RRS1,978.0,0.468289248,104.0,-0.787824,-0.292252173
RTN3,1690.0,0.358048129,187.0,-0.022979,0.106796884
RTN4IP1,1108.0,0.372133716,477.0,-0.290414,-0.443215078
RUNX1,4334.0,0.416076551,1578.0,0.122775,0.27827799
RUNX3,2611.0,0.405217602,439.0,0.753679,-0.277712546
RWDD1,6365.0,0.401367905,746.0,-0.137797,0.198736318
S100A8,71.0,0.444112716,170.0,-1.292801,-2.378070694
S100A9,189.0,0.439508357,43.0,-1.255646,-3.013112524
SAMD9,1815.0,0.395660052,270.0,1.030828,0.499003707
SAMD9L,1162.0,0.396305952,1248.0,-0.029338,-0.218744153
SAMM50,150.0,0.345249646,197.0,-0.1759,-0.112542157
SAMSN1,684.0,0.407246581,430.0,0.103904,-0.217956218
SAP18,1754.0,0.427429047,39.0,-0.027078,0.027141614
SAP30BP,1541.0,0.449617255,257.0,1.531495,0.59252453
SAR1A,5213.0,0.411769389,203.0,0.206242,0.300131988
SAR1B,5806.0,0.392367964,253.0,0.681465,0.298460292
SARS,1054.0,0.40098191,100.0,-0.559662,-0.409308486
SASH3,1369.0,0.387406112,182.0,0.93884,-0.06060149
SCAMP4,1741.0,0.472519575,351.0,0.251585,0.243155377
SCO1,8645.0,0.407339367,61.0,0.089699,0.290284567
SDCCAG8,307.0,0.360606297,1542.0,-0.13275,-0.010464801
SEC11C,205.0,0.423646802,92.0,0.049131,0.138437197
SEC13,332.0,0.457264526,210.0,0.62361,0.228427876
SEC14L1,2986.0,0.420320088,665.0,0.489797,1.058986963
SEC22A,2559.0,0.422343815,79.0,-0.278538,0.361036723
SEC24B,1221.0,0.400931805,155.0,-0.023597,0.03094771
SEC24D,2115.0,0.386600041,297.0,0.824118,0.334068913
SEC61B,270.0,0.404562259,76.0,0.266109,-0.014751787
SEMA3F,960.0,0.38837398,318.0,-0.227785,-0.33083088
SEMA4A,755.0,0.412797256,345.0,-0.769354,-0.280920663
SEMA4D,2318.0,0.393173667,572.0,0.400137,-0.168596326
SERPINA1,1707.0,0.420489385,573.0,0.824131,-0.084780321
SERPINB8,2096.0,0.38524815,520.0,-0.090022,-0.193753262
SETMAR,321.0,0.414235412,398.0,0.228649,0.045559557
SEZ6L2,540.0,0.431800162,245.0,-2.159948,-0.224021405
SF1,2419.0,0.374481437,721.0,0.266499,0.043392148
SF3B2,563.0,0.453902675,40.0,0.275376,0.135061016
SFXN4,500.0,0.402513841,45.0,0.177382,0.008796683
SH3BP1,433.0,0.395530944,313.0,0.282722,-0.04079005
SH3PXD2B,4870.0,0.420952884,171.0,1.042896,0.395417543
