,3prime,tAI,max_5_UTR_length,TCGA-AN-A04A,TCGA-AN-A04A.1
IFIT2,1901.0,0.420797646,175.0,-0.112495,-0.457076523
IFIT3,843.0,0.417440574,529.0,0.186989,-0.205225582
IFIT5,2354.0,0.414819429,231.0,0.085139,0.107366085
IFT27,109.0,0.4030938,426.0,0.214811,-0.023424033
IGFBP3,1605.0,0.43060006,132.0,1.206327,0.545053829
IGFBP7,558.0,0.392734536,34.0,0.787179,0.353107083
IKBKE,745.0,0.435100597,714.0,-0.636769,-0.084075024
IL16,3965.0,0.367979445,2395.0,0.100142,-0.45704025
IL17RA,5874.0,0.376798811,133.0,-0.254342,0.325327336
IL1RN,1145.0,0.411881061,408.0,-1.086305,-0.500940808
IL4I1,16.0,0.4139018,621.0,-0.827369,-0.451401742
ILF2,656.0,0.426220446,239.0,0.391623,0.010835847
IMPA2,2898.0,0.383680893,242.0,-0.6454,-0.521649945
INO80,5209.0,0.374025479,351.0,0.14844,0.339007155
INPP1,263.0,0.395712795,700.0,0.204046,0.119532588
INPP5D,1195.0,0.436077769,512.0,-0.860227,-0.282960533
INSR,4801.0,0.380857973,411.0,-0.221508,-0.022821282
IPO5,2508.0,0.381335948,180.0,0.126265,-0.095986824
IRF7,92.0,0.423538356,367.0,-1.525882,-0.330066931
IRF8,1327.0,0.384714127,507.0,-1.16334,-0.136569149
IRF9,369.0,0.432057622,127.0,0.51648,-0.23540226
IRGQ,7659.0,0.399674011,156.0,0.095195,-0.4244722
ISCU,607.0,0.454630229,1331.0,-0.119131,-0.172734403
ISG15,62.0,0.419522688,77.0,0.279526,-0.771185887
ISG20,952.0,0.419932377,2368.0,0.882548,-0.376943239
ISOC1,1056.0,0.418535314,18.0,1.14592,0.509345811
ITGB2,415.0,0.457304004,395.0,-0.529852,-0.379718704
ITPKB,2981.0,0.440250717,340.0,-0.517167,-0.122664835
ITPRIP,5382.0,0.396785481,453.0,0.503266,0.603610853
JUNB,496.0,0.414023332,276.0,-0.615251,0.168295103
JUP,157.0,0.458302936,298.0,0.258721,-0.111908463
KANK2,2291.0,0.394238955,361.0,0.173371,0.181105399
KARS,4202.0,0.383913431,144.0,0.793478,0.417847003
KCNN4,560.0,0.425737469,396.0,0.716983,0.293214586
KDM1A,327.0,0.428444011,149.0,0.160621,0.036906596
KDM2A,3716.0,0.372295488,864.0,-0.567908,-0.199263
KDM2B,2488.0,0.393022165,407.0,-0.336367,-0.202644632
KDM3B,1327.0,0.37791414,200.0,0.127411,0.154911934
KDM4A,1148.0,0.378142374,166.0,-0.251748,-0.164973347
KHSRP,1024.0,0.456900489,110.0,-0.105753,-0.355028821
KIAA2013,727.0,0.385456054,191.0,-0.260837,-0.158918509
KIF20A,757.0,0.371463873,496.0,-0.092126,0.146306202
KIF22,75.0,0.392489541,388.0,0.045923,-0.157133012
KIF2C,588.0,0.387865377,395.0,-0.480601,-0.549409113
KIF3B,3792.0,0.390782105,180.0,0.211092,0.135932514
KIF3C,2392.0,0.403852971,657.0,1.611832,0.808441941
KIF5B,3198.0,0.418236129,470.0,0.051396,0.282412883
KLHL7,3616.0,0.41595405,521.0,0.407324,-0.364844212
KTI12,594.0,0.370414154,39.0,0.14106,-0.124776655
LAMP1,1311.0,0.390985106,281.0,0.21685,0.267750978
LANCL2,2422.0,0.433733517,578.0,0.401417,-0.666347631
LAP3,503.0,0.426841798,162.0,-0.457878,-0.84394399
LDHD,1826.0,0.398770776,52.0,-0.166493,-0.209154206
LENG1,560.0,0.445950324,48.0,0.483923,0.193107375
LGALS3,159.0,0.420172221,88.0,-0.2805,-0.143619192
LGALS3BP,1225.0,0.419930622,179.0,0.246628,0.036898225
LGALS9,641.0,0.410654931,118.0,-0.399199,-0.273512777
LIN54,4893.0,0.441729058,383.0,-0.189459,0.310048348
LPCAT1,2228.0,0.380803123,133.0,0.516383,-0.199943386
LPXN,1776.0,0.432350833,254.0,-0.307557,-0.430883694
LRPPRC,2376.0,0.377375074,58.0,0.331025,-0.036222654
LRRC41,465.0,0.438391248,44.0,0.248833,-0.27657482
LRRC59,1755.0,0.423067849,236.0,2.311179,1.151988323
LSM1,486.0,0.409616526,410.0,-0.221531,0.156562316
LSM6,1871.0,0.435100303,139.0,0.145264,-0.312963695
LTA4H,391.0,0.355044638,145.0,7.6e-05,-0.404172558
LYN,4058.0,0.418972994,282.0,-0.428876,-0.460878488
LYPLAL1,1137.0,0.3973742,157.0,-0.759801,-0.32059851
LYRM4,6830.0,0.366844497,217.0,-0.748399,-0.379828529
LYSMD2,596.0,0.394037378,501.0,-0.25795,-0.393843483
M6PR,1457.0,0.379162834,275.0,-0.353128,0.041067961
MAD2L1,4528.0,0.407191351,124.0,0.389572,-0.278169882
MAGED2,327.0,0.466698843,233.0,0.753558,0.321787469
MAGOH,153.0,0.416054235,162.0,-0.111646,-0.052106501
MAN2B1,128.0,0.381728903,76.0,-0.781896,-0.41341421
MANF,717.0,0.420319188,97.0,0.604618,0.166403462
MAP4K1,170.0,0.374128007,140.0,-1.239702,-0.165486668
MARCKSL1,768.0,0.468216312,206.0,0.861182,0.803073385
MAX,2676.0,0.337149475,479.0,0.580207,0.039429631
MBD2,3723.0,0.420256858,229.0,-0.418929,-0.083985443
MBP,4041.0,0.393290432,264.0,-1.360939,-0.8842904
MCM2,662.0,0.460999542,110.0,0.586773,-0.478479879
MCM4,2618.0,0.371821308,942.0,-0.536848,-0.387161167
MCM5,3214.0,0.470488076,94.0,0.548089,-0.36530169
MDC1,658.0,0.415783633,440.0,0.282177,0.0476097
MDH1,210.0,0.381672323,435.0,-0.000911,-0.325408717
ME1,1535.0,0.411214685,265.0,-0.09649,-0.44459561
ME3,171.0,0.395156177,377.0,0.001868,0.086579056
MECR,1365.0,0.445670958,612.0,-0.020574,0.058742744
MED17,2631.0,0.366528813,275.0,0.105496,-0.031798387
MED19,934.0,0.439623042,93.0,-0.139545,-1.026454123
MED28,10307.0,0.440157501,27.0,-0.019117,-0.233058048
MED29,4550.0,0.464327351,57.0,-0.05818,0.105032484
MEF2C,6848.0,0.41426337,654.0,-0.293664,-0.314469313
MEN1,824.0,0.454590692,504.0,-0.546005,0.184672508
METTL13,961.0,0.396264071,347.0,0.06124,0.061735795
MGST3,1295.0,0.374563048,428.0,0.268936,0.402732404
MIF4GD,787.0,0.397877071,137.0,0.124376,-0.038605314
MINK1,774.0,0.455972684,525.0,-0.249274,0.009391317
MIS12,1334.0,0.420723459,745.0,-0.101963,0.12568558
MLEC,5319.0,0.43043384,173.0,-0.20427,0.634869431
MLLT10,2252.0,0.36295117,1568.0,-0.475032,-0.070221338
MLX,1636.0,0.386664187,65.0,-0.418871,-0.177982156
MMACHC,1852.0,0.382684622,371.0,-0.490321,-0.231604403
MMADHC,5382.0,0.406207656,205.0,0.025415,0.300021962
MMGT1,4451.0,0.406300672,388.0,0.84766,0.670059645
MMP1,502.0,0.392399458,189.0,3.869088,0.463028713
MMP14,1722.0,0.419367787,285.0,1.781964,0.549809998
MMP9,193.0,0.404253633,19.0,0.433194,-1.192682589
MORC3,2052.0,0.406702124,375.0,-0.774316,-0.087178716
MORF4L1,1066.0,0.420719378,454.0,0.985006,0.22150935
MOV10,619.0,0.412681236,1415.0,-0.31864,-0.064225468
MPDU1,797.0,0.440676037,216.0,-0.158687,0.48799429
MPHOSPH10,87.0,0.404440607,352.0,0.174924,0.259585454
MRI1,2018.0,0.459301832,75.0,-1.513073,-0.466522016
MRPL13,1075.0,0.395373051,313.0,0.64354,0.289912963
MRPL15,1888.0,0.407701507,63.0,-0.185146,-0.129774748
MRPL16,212.0,0.368940255,214.0,-0.629929,-0.029444249
MRPL17,6554.0,0.424450505,105.0,0.101213,-0.036661489
MRPL2,580.0,0.458698472,164.0,-1.175947,0.105061628
MRPL20,187.0,0.445765675,96.0,-0.106485,0.377221121
MRPL21,55.0,0.417448467,293.0,-0.224017,-0.069770497
MRPL27,2133.0,0.436300758,31.0,1.96765,-0.133815595
MRPL40,113.0,0.406843086,653.0,0.249946,0.303133448
MRPL46,1889.0,0.422788385,25.0,0.42982,0.220894521
MRPL48,1284.0,0.368940255,212.0,-0.420084,0.306792549
MRPL51,2069.0,0.35376587,169.0,-0.338056,0.182246446
MRPL53,198.0,0.441261883,155.0,-0.068201,-0.261648918
MRPL9,407.0,0.432679379,437.0,0.148028,-0.015010891
MRPS11,2793.0,0.477818717,1491.0,0.751944,-0.098444744
MRPS15,468.0,0.440649404,164.0,-0.371256,0.247063701
MRPS17,1334.0,0.413812124,30.0,0.052291,-0.328840089
MRPS18B,936.0,0.408462865,157.0,0.40178,0.23067035
MRPS36,933.0,0.3748339,84.0,-0.016919,-0.056655713
MRPS7,453.0,0.455992019,233.0,-0.475404,-0.039090439
MSI2,5168.0,0.366385762,173.0,1.305958,0.391848997
MSTO1,694.0,0.421389639,1152.0,-0.355355,-0.18976699
MT2A,316.0,0.576670685,123.0,0.788628,-0.221590307
MTA2,684.0,0.459443446,761.0,-0.0773,0.057726788
MTFMT,1550.0,0.414190941,26.0,-0.492869,-0.168350832
MTHFS,1663.0,0.434592403,179.0,1.027584,0.596689567
MTMR1,2442.0,0.424163835,319.0,0.664765,0.391264545
MTMR14,421.0,0.371137969,151.0,-0.211692,-0.617989488
MVP,50.0,0.435053297,193.0,0.809572,0.212113075
MX1,456.0,0.433488503,982.0,-0.040576,-0.79847254
MX2,1812.0,0.430094961,104.0,0.325311,0.41435231
MYADM,2833.0,0.384589896,681.0,0.792963,0.737839885
MYCBP,3972.0,0.381803634,73.0,-0.423408,-0.170447739
MYL12A,812.0,0.453450746,478.0,-0.07305,-0.386162803
MYO18A,3647.0,0.395788337,484.0,-0.109583,-0.108149528
MYO9B,1401.0,0.398943925,152.0,-0.281633,0.117591566
N6AMT1,5137.0,0.427535625,28.0,-0.022906,-0.129601913
NAA40,3212.0,0.389371031,261.0,-0.868594,-0.477428299
NAB1,2433.0,0.361024962,572.0,-0.350027,-0.373053244
NADK,1672.0,0.3959688,563.0,-0.518491,-0.277639938
NADSYN1,464.0,0.447848979,126.0,-0.79268,-0.043495583
NAGK,1297.0,0.42527382,474.0,0.174323,-0.323930047
NANS,37.0,0.458552255,132.0,0.952496,0.033276781
NAPA,1862.0,0.477781443,318.0,0.197346,-0.221200055
NAT10,4915.0,0.387474071,245.0,0.208582,0.249450466
NBAS,140.0,0.414580543,44.0,-0.051157,0.004619098
NCALD,2767.0,0.374888213,460.0,1.860453,0.722793243
NCAPD3,2971.0,0.431957579,606.0,-0.447288,-0.142134469
NCAPG2,3501.0,0.41630572,200.0,-0.331924,-0.147725697
NCF1,2381.0,0.415579251,70.0,-0.576393,-0.311991464
NCK2,1267.0,0.457831152,276.0,-0.174763,-0.001006962
NCKIPSD,4981.0,0.449411541,126.0,0.215834,-0.018822677
NCOA5,1332.0,0.416761948,402.0,0.440437,-0.024109724
NCOA7,3259.0,0.404217869,470.0,-0.60785,-0.048594266
NDC80,61.0,0.356199389,182.0,0.439007,0.188795631
NDRG2,841.0,0.376266446,941.0,-1.07534,-0.837450247
NDUFA4,1685.0,0.439642808,129.0,0.471268,0.492532794
NEU1,667.0,0.413226082,156.0,-0.076207,0.106487187
NFATC2IP,3242.0,0.412267479,15.0,-0.638103,0.0075266
NFKB1,708.0,0.4099683,467.0,0.366482,-0.218770426
NFKB2,153.0,0.424806573,563.0,-0.772863,-0.309343051
NFKBIE,1053.0,0.409138176,25.0,-1.271944,-0.373313863
NGDN,1255.0,0.423783924,27.0,0.251944,0.212060732
NGRN,1679.0,0.414477409,50.0,1.729644,0.492312876
NINJ1,5217.0,0.455972644,71.0,-0.51942,0.684133336
NIP7,1593.0,0.443769116,318.0,0.676702,-0.203050126
NIT2,2351.0,0.432361565,74.0,-0.552556,-0.360491571
NMNAT3,2689.0,0.397393877,1228.0,-0.440062,-0.138565533
NMT1,3377.0,0.454689408,31.0,-0.155425,0.101171524
NONO,1092.0,0.432928506,710.0,0.260058,-0.227299132
NOP14,912.0,0.38067473,187.0,0.093677,0.670343078
NOP2,785.0,0.393538298,198.0,-0.498576,-0.130136584
NOTCH2,6062.0,0.409327653,297.0,-0.186489,-0.159700224
NPTN,1068.0,0.388989686,197.0,0.775148,0.425218307
NR2C2,6271.0,0.390767743,362.0,-0.333181,0.286004584
NRBF2,883.0,0.43605128,224.0,-0.133256,0.107559641
NRF1,1901.0,0.447602651,500.0,-0.203389,-0.448773507
NRGN,833.0,0.413631862,152.0,0.21482,-0.814321491
NRP1,3846.0,0.416817106,523.0,0.533151,-0.12398107
NSFL1C,1587.0,0.42738001,868.0,0.253248,-0.108266703
NSMAF,602.0,0.358586884,214.0,-0.186946,0.167123185
NTAN1,178.0,0.344459601,320.0,-0.05957,0.237231413
NUBP1,246.0,0.455923678,142.0,0.022119,-0.305727442
NUCKS1,5461.0,0.359398328,271.0,0.29994,0.554194114
NUDC,716.0,0.476401948,127.0,0.125649,0.032787824
NUDT16,5489.0,0.428387545,75.0,-0.336542,-0.546023973
NUMA1,663.0,0.474508115,436.0,-0.17361,-0.044478345
NUP93,5678.0,0.382018893,495.0,0.132158,0.092892799
NXF1,2943.0,0.375826754,136.0,-0.680685,-0.054129223
OCIAD2,4872.0,0.363821488,322.0,0.403231,0.240983315
OGDH,1071.0,0.396078149,159.0,0.193244,-0.145279717
OPA3,7233.0,0.475004358,100.0,-0.30783,-0.153443527
OSBPL2,2363.0,0.383456763,571.0,0.338265,0.228580373
OSBPL5,1099.0,0.381371042,158.0,0.226799,0.034598096
OVCA2,792.0,0.429983078,65.0,0.39284,-0.165765599
P2RX4,573.0,0.442596273,304.0,-0.038127,0.375120034
PAAF1,509.0,0.376143366,341.0,-0.197271,-0.546098459
PACSIN2,1591.0,0.413490434,405.0,0.043333,-0.214391996
PARK7,451.0,0.457171775,163.0,0.239879,-0.136474233
PARP1,769.0,0.460215809,171.0,0.331371,0.026067887
PARP10,332.0,0.422654659,200.0,-0.06389,-0.287938648
PARP12,816.0,0.416480622,874.0,-0.029166,0.178273307
PARP14,2243.0,0.414355918,59.0,-0.281459,-0.145942834
PARP9,451.0,0.418102187,327.0,0.475679,0.137059991
PARVG,2043.0,0.383803232,484.0,-0.674423,-0.231744003
PBK,750.0,0.413339119,464.0,0.08332,-0.176497889
PCNA,338.0,0.425000199,239.0,0.776455,0.068503929
PDAP1,2007.0,0.464659554,134.0,-0.113995,0.234905148
PDCD2,155.0,0.440448783,111.0,0.300247,0.29805874
PDCD2L,48.0,0.433436103,33.0,0.280379,-0.053364975
PDCD6IP,3211.0,0.388727459,158.0,-0.113903,-0.164721903
PDHA1,2054.0,0.402514578,145.0,0.192008,-0.235490515
PDHB,2974.0,0.442593378,43.0,0.567559,-0.123423063
PDLIM1,357.0,0.379179626,233.0,-0.256273,-0.321686374
PDXDC1,2055.0,0.375670185,335.0,-0.075216,-0.338620393
PDXK,6244.0,0.398158884,198.0,-1.269419,-0.620067468
PEBP1,796.0,0.360152166,326.0,0.202521,-0.130406879
PEF1,769.0,0.441759403,424.0,0.25986,-0.276937114
PELO,5222.0,0.385240523,985.0,0.30838,-0.284875695
PEPD,395.0,0.450896903,133.0,-0.185007,-0.011769627
PEX6,946.0,0.370078344,93.0,-0.609509,-0.688412122
PEX7,2294.0,0.407005497,102.0,-0.143578,-0.305490698
PFDN5,124.0,0.497062947,117.0,0.402119,0.018312117
PFDN6,574.0,0.470152145,222.0,-0.004549,-0.104445358
PGM1,570.0,0.393980016,681.0,0.210694,0.019111973
PHB,988.0,0.45268542,190.0,1.472393,-0.606919834
PHF10,104.0,0.365149381,79.0,-0.510064,-0.137370023
PI4K2A,2692.0,0.385068362,57.0,0.053464,0.218755854
PIAS1,3626.0,0.396022529,741.0,-0.326158,-0.027816983
PIGH,1430.0,0.434471606,98.0,-0.028304,-0.148669762
PIK3AP1,3866.0,0.407313024,128.0,-0.450268,-0.057938295
PIR,205.0,0.385796208,485.0,-0.971966,-0.668363741
PITPNC1,4686.0,0.369070722,874.0,0.495806,0.385220696
PLA2G4C,585.0,0.406173977,398.0,0.300845,0.191719496
PLA2G7,1187.0,0.402486321,269.0,-0.37259,-0.416715909
PLAUR,323.0,0.418467601,226.0,0.822047,0.252783231
PLCB2,818.0,0.468984469,301.0,-0.459077,-0.131304582
PLCG1,3987.0,0.454806205,121.0,-0.198724,-0.239712767
PLD4,273.0,0.377985619,192.0,-0.758739,-0.429398717
PLEKHO1,5192.0,0.424698037,839.0,0.288861,0.202759822
PLEKHO2,2119.0,0.429714475,134.0,0.02375,-0.24544337
PLSCR1,10376.0,0.415598704,388.0,0.053563,0.889852352
PML,3324.0,0.431306474,140.0,0.36178,-0.176726881
POLR1C,1131.0,0.439933821,86.0,-1.022778,-0.374657845
POLR1D,1469.0,0.427162265,456.0,-0.127686,-0.21564832
POLR2F,1600.0,0.47244007,250.0,0.339108,-0.345327173
POLR2H,1065.0,0.427596015,1167.0,0.328321,-0.069724751
POLR3H,3481.0,0.444306047,388.0,0.215133,0.302705594
POLR3K,1023.0,0.473025152,46.0,0.474794,0.242274048
PPA2,660.0,0.432735716,20.0,0.009797,0.107797279
PPIE,4556.0,0.446406574,56.0,-0.420757,-0.157741496
PPIL1,1921.0,0.453832883,252.0,1.173169,0.414921114
PPP1R14B,282.0,0.457456004,268.0,-0.000796,-0.663831548
PRC1,1136.0,0.367783806,234.0,1.147222,0.596934119
PRCC,357.0,0.381841119,290.0,-0.005777,-0.255432924
PRDX1,303.0,0.414090753,341.0,-0.108171,-0.523258632
PRDX6,944.0,0.433706552,51.0,-0.029037,-0.415236561
PREB,658.0,0.378530018,403.0,0.171728,-0.089440081
PREP,579.0,0.425974009,233.0,-0.180136,-0.578410956
PRG4,784.0,0.366727173,51.0,-1.798503,-0.576766611
PRIM2,1166.0,0.350864643,125.0,-1.017956,-0.453884982
PRKAB1,1305.0,0.365943644,289.0,0.123795,-0.115878236
PRKAR2A,5019.0,0.427443141,254.0,0.163089,0.206056781
PRKCB,5795.0,0.38010529,197.0,-1.232201,-0.395663686
PRKCD,451.0,0.404392693,469.0,0.535402,0.286039339
PRKRA,683.0,0.420894136,659.0,-0.07611,0.09431229
PRKRIP1,3224.0,0.453589322,55.0,-0.906897,0.204440216
PRMT5,393.0,0.386451423,508.0,0.501876,0.274589999
PRMT7,3655.0,0.450088803,850.0,0.686547,0.434478592
PROCR,549.0,0.357872186,218.0,0.371862,-0.017528379
PRPS1,3908.0,0.466551451,409.0,0.755567,0.013190289
PRPSAP1,2056.0,0.390811115,688.0,-0.355553,-0.416217945
PRRC1,3173.0,0.409170839,188.0,0.241034,-0.193835028
PSMA5,2997.0,0.446573967,225.0,0.027463,-0.43924635
PSMA6,187.0,0.423632682,445.0,0.609492,-0.469999665
PSMB10,58.0,0.455018511,128.0,-0.201306,-0.362891767
PSMB2,3775.0,0.389848815,412.0,-0.361698,-0.382812526
PSMB8,242.0,0.411206622,522.0,-0.202747,-0.457895246
PSMB9,5497.0,0.431095699,69.0,-0.72796,-0.361820685
PSMC3,66.0,0.485654947,194.0,-0.129562,-0.123307673
PSMD11,2567.0,0.390095635,61.0,-0.1742,0.000233791
PSMD13,384.0,0.437236365,242.0,-0.122753,0.121083562
PSMD8,450.0,0.458928351,52.0,0.206897,-0.020230295
PSME2,53.0,0.443656162,65.0,0.023512,-0.468650369
PSMG1,5308.0,0.427553471,578.0,-0.091798,-0.356955549
PSTPIP2,1923.0,0.429639796,96.0,-1.176246,-0.600065119
PTBP1,1504.0,0.473818895,106.0,-0.110121,0.021768965
PTDSS1,3765.0,0.367954205,423.0,0.844475,0.010097676
PTGS1,3346.0,0.37260918,633.0,-0.057929,-0.171167378
PTP4A1,3419.0,0.421202001,1153.0,0.490443,0.462842059
PTPMT1,1899.0,0.450492628,193.0,-0.371956,-0.633969351
PTPN18,2185.0,0.381656528,101.0,-0.202469,-0.08097768
PTPN7,1593.0,0.440747449,781.0,-0.825283,-0.161661592
PTPRE,2994.0,0.426620112,1843.0,1.142656,0.400252803
PTPRF,4571.0,0.452810321,356.0,-0.082745,-0.349512762
PTRH2,3186.0,0.370743372,1544.0,1.026159,0.733870584
PWWP2B,819.0,0.424412275,29.0,-0.377383,-1.009632458
PYCR2,578.0,0.474148407,230.0,0.236001,-0.036703062
PYGL,175.0,0.392036998,127.0,-0.462329,-0.327457221
QARS,97.0,0.458996209,396.0,0.415951,-0.017452206
RAB11FIP1,4277.0,0.380614122,56.0,0.153577,0.288930288
RAB12,1120.0,0.38483812,283.0,0.077817,0.154657109
RAB21,5246.0,0.435367738,267.0,0.255304,0.187213242
RAB31,3231.0,0.437498832,175.0,1.966453,0.611560374
RAB35,2172.0,0.408841719,189.0,0.186312,0.170896253
RAB7A,1376.0,0.419395127,232.0,0.661294,0.372003122
RAB8B,4163.0,0.425956778,96.0,-0.001031,-0.610679006
RAB9A,1716.0,0.417525007,283.0,0.052641,-0.063851805
RABGGTA,77.0,0.387342734,512.0,0.51367,0.036610064
RABGGTB,440.0,0.409412379,78.0,0.452972,0.377246592
RABIF,4760.0,0.447399225,159.0,0.129016,-0.297259782
RACGAP1,1895.0,0.366370127,354.0,-0.097146,-0.204212046
RAD9A,924.0,0.444046557,185.0,-1.076104,-0.235841973
RAE1,1112.0,0.432613552,365.0,0.343719,0.065238219
RAI1,1472.0,0.455620822,469.0,0.030604,0.237171755
RAN,2043.0,0.442855294,361.0,0.903442,-0.104544353
RANBP10,3359.0,0.379453562,1256.0,0.475327,-0.089993423
RANGAP1,3145.0,0.481547647,765.0,0.537615,-0.259417309
RAPGEF1,2727.0,0.425793135,159.0,-0.162802,-0.278555077
RARS,114.0,0.423508657,41.0,0.324821,0.401348684
RASGRP2,183.0,0.381671176,582.0,-1.34922,-0.394790897
RBBP4,6506.0,0.404056961,164.0,0.617678,0.161765863
RBBP5,3098.0,0.421849625,474.0,0.034298,0.307306721
RBKS,251.0,0.392307233,1371.0,0.220754,-0.293610003
RBM12,3599.0,0.375183789,304.0,0.182095,0.071079696
RBM14,3443.0,0.468008211,139.0,-0.050382,-0.369786206
RBM4B,5277.0,0.396841232,170.0,0.099004,-0.490158524
RBMX,1201.0,0.353737079,210.0,0.208851,0.035970679
RBPJ,4223.0,0.4178224,518.0,-0.089487,0.208965316
RBX1,821.0,0.46562919,52.0,0.49923,0.143009432
RC3H1,7637.0,0.410085914,87.0,-0.565147,-0.114777414
RCCD1,1773.0,0.374130224,280.0,0.865783,0.440213292
RCOR1,4070.0,0.439565312,228.0,0.056777,0.038775204
REEP4,591.0,0.460338979,469.0,0.107349,-0.10975975
REEP5,2962.0,0.457536941,144.0,-0.113634,0.117647498
RELB,408.0,0.418226182,131.0,-0.727155,-0.332922152
REPIN1,2683.0,0.45080531,489.0,-0.474802,0.369428248
RFC4,89.0,0.411167541,282.0,-1.074834,-0.531621899
RFK,1882.0,0.429285662,357.0,0.071696,-0.09526208
RFX5,1546.0,0.386685917,221.0,-0.411936,-0.126208997
RFXAP,1850.0,0.421314391,156.0,-0.89456,-0.334356624
RHBDF2,740.0,0.423256567,294.0,-0.464574,0.091200873
RHOT2,568.0,0.454546166,881.0,-0.509766,0.04532619
RINL,1279.0,0.357351373,413.0,-0.234399,-0.007739223
RNASEH1,4369.0,0.404567903,700.0,0.4843,-0.670043147
RNASEH2B,3930.0,0.37625722,399.0,-0.131761,-0.339412011
RNASET2,1070.0,0.374792559,407.0,-0.869406,-0.247240823
RNF114,1751.0,0.459950313,36.0,0.342818,0.049127362
RNF167,289.0,0.375291206,776.0,-0.078314,0.692152914
RNF20,5226.0,0.396317502,92.0,1.01021,0.085252565
RNF213,5288.0,0.417718743,150.0,-0.738036,-0.281295115
RNF25,102.0,0.375620157,88.0,0.135681,0.120598346
RNF31,88.0,0.389352607,358.0,0.01036,0.086176029
RNLS,1252.0,0.416402283,135.0,-0.394963,-0.019504944
RNMT,4581.0,0.415128602,241.0,0.177368,0.387908935
RNPEP,463.0,0.447181346,896.0,0.203517,0.007554125
RP9,437.0,0.42869019,18.0,-0.617008,-0.420072752
RPA1,2907.0,0.381710028,170.0,-0.132939,-0.277838407
RPA2,639.0,0.400070522,793.0,-0.358382,-0.614005723
RPAIN,471.0,0.394698889,570.0,-0.050624,-0.208246211
RPL11,461.0,0.442317923,45.0,0.260049,-0.198316005
RPL14,5208.0,0.496792394,133.0,0.739087,0.107312581
RPL23,3146.0,0.464880603,90.0,0.31567,0.138822872
RPL26,53.0,0.427802183,389.0,0.813097,0.322556526
RPL31,1260.0,0.451994935,87.0,1.427934,0.011814608
RPL34,1350.0,0.436455219,198.0,0.579368,0.08284411
RPL5,1058.0,0.451564158,75.0,0.369717,0.115905917
RPL7,1077.0,0.460258279,707.0,0.21297,-0.063166907
RPS11,373.0,0.483080585,92.0,0.433279,-0.012538029
RPS24,4247.0,0.430653047,142.0,0.839073,-0.074052467
RPS25,109.0,0.467193878,63.0,0.037468,0.432103183
RPS27A,743.0,0.450449292,321.0,0.290339,0.405638096
RPS3A,306.0,0.426765211,80.0,0.847998,0.01329377
RPS4X,629.0,0.442998752,96.0,0.572637,-0.006684802
RPS6,2723.0,0.413925579,42.0,0.37481,0.057281874
RPS6KA1,828.0,0.389798854,163.0,-0.001322,-0.183439289
RPS6KA4,735.0,0.38455359,226.0,-0.659237,-0.26821852
RPS7,66.0,0.428822459,109.0,0.694862,-0.059220577
RPTOR,2341.0,0.385169267,805.0,-0.395014,-0.182470359
RREB1,3012.0,0.456825357,492.0,-0.912523,-0.097103811
RRM1,2304.0,0.437568848,689.0,0.145691,0.280408577
RRP8,5071.0,0.446233376,148.0,0.00083,0.485001374
RRS1,978.0,0.468289248,104.0,-0.111233,-0.134252099
RTN3,1690.0,0.358048129,187.0,-0.085003,-0.030910985
RTN4IP1,1108.0,0.372133716,477.0,-0.445338,-0.54445936
RUNX1,4334.0,0.416076551,1578.0,0.220589,0.327850892
RUNX3,2611.0,0.405217602,439.0,-0.720051,0.04199608
RWDD1,6365.0,0.401367905,746.0,0.435492,0.432031
S100A8,71.0,0.444112716,170.0,2.075023,-1.881348684
S100A9,189.0,0.439508357,43.0,1.72627,-1.774928985
SAMD9,1815.0,0.395660052,270.0,-0.321296,-0.361414844
SAMD9L,1162.0,0.396305952,1248.0,-0.944395,-0.318646372
SAMM50,150.0,0.345249646,197.0,0.147845,0.190106768
SAMSN1,684.0,0.407246581,430.0,-0.923787,-0.304527513
SAP18,1754.0,0.427429047,39.0,0.046375,0.314931313
SAP30BP,1541.0,0.449617255,257.0,-0.434972,0.015348386
SAR1A,5213.0,0.411769389,203.0,0.332729,-0.1978968
SAR1B,5806.0,0.392367964,253.0,0.355617,0.135402
SARS,1054.0,0.40098191,100.0,0.670374,0.119067204
SASH3,1369.0,0.387406112,182.0,-0.792148,-0.158495695
SCAMP4,1741.0,0.472519575,351.0,0.943778,0.316672201
SCO1,8645.0,0.407339367,61.0,-0.359091,-0.108203755
SDCCAG8,307.0,0.360606297,1542.0,-0.437003,-0.108315542
SEC11C,205.0,0.423646802,92.0,0.764956,-0.232240612
SEC13,332.0,0.457264526,210.0,0.354425,0.247884551
SEC14L1,2986.0,0.420320088,665.0,-0.215408,0.008726352
SEC22A,2559.0,0.422343815,79.0,-0.141244,0.298620522
SEC24B,1221.0,0.400931805,155.0,0.075774,-0.114274915
SEC24D,2115.0,0.386600041,297.0,0.70267,0.358285413
SEC61B,270.0,0.404562259,76.0,0.403748,0.516379506
SEMA3F,960.0,0.38837398,318.0,0.042812,-0.342409455
SEMA4A,755.0,0.412797256,345.0,-0.140473,-0.059835635
SEMA4D,2318.0,0.393173667,572.0,-0.741487,-0.247270292
SERPINA1,1707.0,0.420489385,573.0,0.295055,-0.411793428
SERPINB8,2096.0,0.38524815,520.0,0.21044,0.00880468
