,3prime,tAI,max_5_UTR_length,TCGA-A7-A0CE,TCGA-A7-A0CE.1
IFIT2,1901.0,0.420797646,175.0,0.643463,0.168043156
IFIT3,843.0,0.417440574,529.0,0.415889,0.162756211
IFIT5,2354.0,0.414819429,231.0,0.317872,0.210185651
IFITM1,159.0,0.431550176,180.0,-0.302036,-0.297826465
IFT27,109.0,0.4030938,426.0,-0.146006,-0.074074235
IGFBP3,1605.0,0.43060006,132.0,2.424969,0.930735502
IGFBP7,558.0,0.392734536,34.0,0.187871,0.036347082
IKBKE,745.0,0.435100597,714.0,0.569888,0.129933066
IL16,3965.0,0.367979445,2395.0,-1.681944,0.098640441
IL1RN,1145.0,0.411881061,408.0,-0.347914,-0.355926047
IL4I1,16.0,0.4139018,621.0,-0.16148,-0.07397103
ILF2,656.0,0.426220446,239.0,1.125705,0.249006801
IMPA2,2898.0,0.383680893,242.0,2.237368,0.719735009
INO80,5209.0,0.374025479,351.0,-0.877715,-0.349540256
INPP1,263.0,0.395712795,700.0,-0.555026,-0.084123423
INPP5D,1195.0,0.436077769,512.0,-1.472002,0.00935573
INSR,4801.0,0.380857973,411.0,0.601232,-0.083094178
IPO5,2508.0,0.381335948,180.0,0.907254,0.378480585
IRF7,92.0,0.423538356,367.0,-0.029238,0.210595681
IRF8,1327.0,0.384714127,507.0,-1.848778,-0.111927641
IRF9,369.0,0.432057622,127.0,-0.074396,-0.010619926
IRGQ,7659.0,0.399674011,156.0,-0.332551,-0.12651391
ISCU,607.0,0.454630229,1331.0,-0.439227,0.06242894
ISG15,62.0,0.419522688,77.0,0.850491,-0.464548591
ISG20,952.0,0.419932377,2368.0,1.223036,0.294656076
ISOC1,1056.0,0.418535314,18.0,-0.208904,-0.426705209
ITGB2,415.0,0.457304004,395.0,-0.965287,-0.347150054
ITPKB,2981.0,0.440250717,340.0,-0.136007,0.07005045
JUNB,496.0,0.414023332,276.0,-0.518876,0.653774041
JUP,157.0,0.458302936,298.0,-0.114439,0.45408016
KANK2,2291.0,0.394238955,361.0,-0.327348,-0.291031906
KARS,4202.0,0.383913431,144.0,0.762877,0.308811914
KDM1A,327.0,0.428444011,149.0,0.92966,0.093853051
KDM2A,3716.0,0.372295488,864.0,-0.512439,-0.076643673
KDM3B,1327.0,0.37791414,200.0,0.139404,0.150727053
KDM4A,1148.0,0.378142374,166.0,0.115526,0.218400918
KHSRP,1024.0,0.456900489,110.0,1.290511,0.569048482
KIAA2013,727.0,0.385456054,191.0,0.32314,0.556408084
KIF20A,757.0,0.371463873,496.0,1.885722,0.41749411
KIF22,75.0,0.392489541,388.0,0.478433,0.536447329
KIF2C,588.0,0.387865377,395.0,1.602665,0.490558876
KIF3B,3792.0,0.390782105,180.0,-0.65399,-0.159388569
KIF3C,2392.0,0.403852971,657.0,0.501307,-0.157717571
KIF5B,3198.0,0.418236129,470.0,-0.442264,-0.071712636
KLHL7,3616.0,0.41595405,521.0,1.134027,0.387995298
KTI12,594.0,0.370414154,39.0,0.376985,0.125627457
LAMP1,1311.0,0.390985106,281.0,1.154953,0.304617945
LANCL2,2422.0,0.433733517,578.0,0.379971,-0.181771794
LAP3,503.0,0.426841798,162.0,-0.002609,0.316272566
LDHD,1826.0,0.398770776,52.0,-0.856569,-0.386159552
LENG1,560.0,0.445950324,48.0,-0.909529,-0.131659655
LGALS3,159.0,0.420172221,88.0,0.70953,-0.018276619
LGALS3BP,1225.0,0.419930622,179.0,1.412396,-0.014449776
LGALS9,641.0,0.410654931,118.0,0.003081,-0.099328772
LIN54,4893.0,0.441729058,383.0,0.04471,0.095768923
LPCAT1,2228.0,0.380803123,133.0,-0.322951,-0.496309971
LPXN,1776.0,0.432350833,254.0,-0.969446,-0.01621524
LRPPRC,2376.0,0.377375074,58.0,0.75763,0.311560185
LRRC25,843.0,0.434491636,642.0,-0.969791,-0.147388606
LRRC41,465.0,0.438391248,44.0,-0.170196,0.029963796
LRRC59,1755.0,0.423067849,236.0,0.545843,-0.757753036
LSM1,486.0,0.409616526,410.0,0.117487,0.112991637
LSM6,1871.0,0.435100303,139.0,1.131617,0.791706603
LTA4H,391.0,0.355044638,145.0,-0.123327,-0.379137019
LYN,4058.0,0.418972994,282.0,0.555107,0.063318058
LYPLAL1,1137.0,0.3973742,157.0,-0.397718,-0.419389592
LYRM4,6830.0,0.366844497,217.0,-0.034636,0.002833983
LYSMD2,596.0,0.394037378,501.0,0.403937,0.289001132
M6PR,1457.0,0.379162834,275.0,0.817143,0.190065583
MAD2L1,4528.0,0.407191351,124.0,2.100654,0.798238693
MAFB,2032.0,0.405989564,390.0,0.490973,0.377716624
MAGED2,327.0,0.466698843,233.0,-1.141809,-0.784523876
MAGOH,153.0,0.416054235,162.0,0.906496,0.472592851
MAN2B1,128.0,0.381728903,76.0,1.282872,0.398058658
MANF,717.0,0.420319188,97.0,0.739898,-0.011548425
MAP4K1,170.0,0.374128007,140.0,-2.231855,0.028408294
MARCKSL1,768.0,0.468216312,206.0,0.539877,0.370018202
MAX,2676.0,0.337149475,479.0,-0.695897,0.071217929
MBD2,3723.0,0.420256858,229.0,-0.166122,0.088219642
MBP,4041.0,0.393290432,264.0,0.00146,-0.360563341
MCM2,662.0,0.460999542,110.0,1.270998,0.460227222
MCM4,2618.0,0.371821308,942.0,1.719094,0.512228353
MCM5,3214.0,0.470488076,94.0,0.814758,0.395781792
MDC1,658.0,0.415783633,440.0,0.868073,0.382323612
MDH1,210.0,0.381672323,435.0,0.871843,0.147602887
ME1,1535.0,0.411214685,265.0,0.672305,-0.083409881
ME3,171.0,0.395156177,377.0,-1.279194,-0.613877184
MECR,1365.0,0.445670958,612.0,0.94775,0.262008419
MED17,2631.0,0.366528813,275.0,0.636493,0.173486379
MED19,934.0,0.439623042,93.0,-0.573635,0.105457838
MED28,10307.0,0.440157501,27.0,-0.197001,-0.036487953
MED29,4550.0,0.464327351,57.0,-0.511139,0.211464288
MEN1,824.0,0.454590692,504.0,0.092284,-0.07284243
METTL13,961.0,0.396264071,347.0,1.16118,0.573169779
MGST3,1295.0,0.374563048,428.0,1.647716,-0.188665743
MIF4GD,787.0,0.397877071,137.0,-0.720583,0.224790092
MINK1,774.0,0.455972684,525.0,0.568185,0.147683568
MIS12,1334.0,0.420723459,745.0,0.320394,-0.027520624
MLEC,5319.0,0.43043384,173.0,-0.245278,-0.700130532
MLLT10,2252.0,0.36295117,1568.0,-0.006509,0.011801346
MLX,1636.0,0.386664187,65.0,0.564518,-0.034182646
MMACHC,1852.0,0.382684622,371.0,1.352138,0.3165004
MMADHC,5382.0,0.406207656,205.0,-0.294093,-0.080056203
MMGT1,4451.0,0.406300672,388.0,1.065444,0.053838005
MMP1,502.0,0.392399458,189.0,1.527111,-0.387355418
MMP14,1722.0,0.419367787,285.0,-0.211444,-0.007671526
MMP9,193.0,0.404253633,19.0,0.041063,-0.204840916
MORC3,2052.0,0.406702124,375.0,-1.030075,-0.011143885
MORF4L1,1066.0,0.420719378,454.0,0.28969,0.209015831
MOV10,619.0,0.412681236,1415.0,0.006494,0.184866513
MPDU1,797.0,0.440676037,216.0,-0.21288,-1.167111571
MPHOSPH10,87.0,0.404440607,352.0,0.237159,0.319575986
MRI1,2018.0,0.459301832,75.0,-0.152233,0.059351731
MRPL13,1075.0,0.395373051,313.0,0.35575,-0.104556661
MRPL15,1888.0,0.407701507,63.0,2.118823,0.098691057
MRPL16,212.0,0.368940255,214.0,0.325353,0.010892277
MRPL17,6554.0,0.424450505,105.0,-0.088361,-0.085820727
MRPL2,580.0,0.458698472,164.0,1.107892,-0.001785106
MRPL20,187.0,0.445765675,96.0,0.224421,-0.010679762
MRPL21,55.0,0.417448467,293.0,0.145924,-0.142680095
MRPL27,2133.0,0.436300758,31.0,-0.012575,0.215249041
MRPL40,113.0,0.406843086,653.0,-0.185998,-0.24093578
MRPL46,1889.0,0.422788385,25.0,0.889364,-0.055541306
MRPL48,1284.0,0.368940255,212.0,-1.056198,-0.368298376
MRPL51,2069.0,0.35376587,169.0,1.110423,0.030125905
MRPL53,198.0,0.441261883,155.0,0.164404,0.13722775
MRPL9,407.0,0.432679379,437.0,0.6983,0.060984855
MRPS11,2793.0,0.477818717,1491.0,0.424952,0.255442519
MRPS15,468.0,0.440649404,164.0,0.437227,0.17092729
MRPS17,1334.0,0.413812124,30.0,0.51451,0.328363948
MRPS18B,936.0,0.408462865,157.0,0.287081,0.402402816
MRPS36,933.0,0.3748339,84.0,0.515021,-0.183411967
MRPS7,453.0,0.455992019,233.0,0.617956,0.315242414
MSI2,5168.0,0.366385762,173.0,-0.147949,-0.393717634
MSTO1,694.0,0.421389639,1152.0,0.466316,0.323177133
MT2A,316.0,0.576670685,123.0,0.398565,0.363783155
MTA2,684.0,0.459443446,761.0,0.086374,0.197739249
MTFMT,1550.0,0.414190941,26.0,0.628752,-0.117874038
MTHFS,1663.0,0.434592403,179.0,0.796563,0.285725954
MTMR1,2442.0,0.424163835,319.0,0.330139,0.061159566
MTMR14,421.0,0.371137969,151.0,-0.690212,-0.178260502
MVP,50.0,0.435053297,193.0,-0.444432,-0.097984248
MX1,456.0,0.433488503,982.0,2.123531,0.818544388
MX2,1812.0,0.430094961,104.0,-0.22023,-7e-06
MYADM,2833.0,0.384589896,681.0,-0.955534,-1.140577846
MYCBP,3972.0,0.381803634,73.0,0.196918,0.14528315
MYL12A,812.0,0.453450746,478.0,0.020232,-0.177851646
MYO18A,3647.0,0.395788337,484.0,0.80366,0.081904698
MYO9B,1401.0,0.398943925,152.0,0.704877,0.044484525
N6AMT1,5137.0,0.427535625,28.0,-1.456658,-0.565167336
NAA40,3212.0,0.389371031,261.0,-0.616769,-0.291174585
NAB1,2433.0,0.361024962,572.0,0.112987,0.088090189
NADK,1672.0,0.3959688,563.0,0.30354,0.02210312
NADSYN1,464.0,0.447848979,126.0,-0.650682,-0.128855507
NAGK,1297.0,0.42527382,474.0,-0.309945,0.029022694
NANS,37.0,0.458552255,132.0,-0.805478,-0.675345631
NAPA,1862.0,0.477781443,318.0,-1.047579,-0.38866721
NAT10,4915.0,0.387474071,245.0,0.06943,-0.042389446
NBAS,140.0,0.414580543,44.0,-0.318943,-0.432076625
NCALD,2767.0,0.374888213,460.0,-1.510811,-0.728391031
NCAPD3,2971.0,0.431957579,606.0,0.422699,0.452954202
NCAPG2,3501.0,0.41630572,200.0,1.508296,0.34680204
NCF1,2381.0,0.415579251,70.0,-1.427858,-0.061187305
NCK2,1267.0,0.457831152,276.0,-0.041365,0.089225894
NCKIPSD,4981.0,0.449411541,126.0,-0.026301,0.063438942
NCOA5,1332.0,0.416761948,402.0,-0.451702,-0.043382411
NCOA7,3259.0,0.404217869,470.0,2.111531,0.344486574
NDC80,61.0,0.356199389,182.0,1.819634,0.735053174
NDRG2,841.0,0.376266446,941.0,0.591173,-0.183472752
NDUFA4,1685.0,0.439642808,129.0,1.000333,0.233006316
NEU1,667.0,0.413226082,156.0,0.214625,-0.179593509
NFATC2IP,3242.0,0.412267479,15.0,0.306481,0.229444601
NFKB1,708.0,0.4099683,467.0,0.508641,0.313876678
NFKB2,153.0,0.424806573,563.0,0.411721,0.505154521
NFKBIE,1053.0,0.409138176,25.0,0.193585,0.085165009
NGDN,1255.0,0.423783924,27.0,-0.129071,0.342088845
NGRN,1679.0,0.414477409,50.0,-0.203588,0.113242128
NINJ1,5217.0,0.455972644,71.0,-1.665993,-1.39264645
NIP7,1593.0,0.443769116,318.0,0.846839,0.582670714
NIT2,2351.0,0.432361565,74.0,-0.193001,-0.231673737
NMNAT3,2689.0,0.397393877,1228.0,-0.395893,-0.392550348
NMT1,3377.0,0.454689408,31.0,0.398219,0.184497817
NONO,1092.0,0.432928506,710.0,0.708433,0.344667135
NOP14,912.0,0.38067473,187.0,0.086092,0.264560878
NOP2,785.0,0.393538298,198.0,1.465438,0.369663874
NOTCH2,6062.0,0.409327653,297.0,0.437288,0.239843298
NPTN,1068.0,0.388989686,197.0,-0.387507,0.091560373
NR2C2,6271.0,0.390767743,362.0,-0.034745,-0.051292699
NRBF2,883.0,0.43605128,224.0,0.026254,0.388703375
NRF1,1901.0,0.447602651,500.0,0.007497,0.297184092
NRGN,833.0,0.413631862,152.0,0.441242,0.71828482
NRP1,3846.0,0.416817106,523.0,-0.850626,-0.467997549
NSFL1C,1587.0,0.42738001,868.0,-0.329549,-0.17552064
NSMAF,602.0,0.358586884,214.0,0.129208,0.127037543
NTAN1,178.0,0.344459601,320.0,0.605737,-0.012051088
NUBP1,246.0,0.455923678,142.0,-0.047167,0.020089696
NUCKS1,5461.0,0.359398328,271.0,0.957345,-0.365563434
NUDC,716.0,0.476401948,127.0,0.251611,0.166559247
NUDT16,5489.0,0.428387545,75.0,-0.360099,0.012757367
NUMA1,663.0,0.474508115,436.0,-1.516927,-0.717270899
NUP93,5678.0,0.382018893,495.0,1.422272,0.309598427
NXF1,2943.0,0.375826754,136.0,-0.614945,0.078738742
OCIAD2,4872.0,0.363821488,322.0,-0.04961,-0.616901654
OGDH,1071.0,0.396078149,159.0,0.936566,-0.223546528
OPA3,7233.0,0.475004358,100.0,0.127567,-0.716048962
OSBPL2,2363.0,0.383456763,571.0,-0.416819,-0.240091417
OSBPL5,1099.0,0.381371042,158.0,-0.977066,-0.535500899
OVCA2,792.0,0.429983078,65.0,0.429295,0.137107209
P2RX4,573.0,0.442596273,304.0,-1.229455,-0.691789226
PAAF1,509.0,0.376143366,341.0,-1.845655,-0.462352459
PACSIN2,1591.0,0.413490434,405.0,-0.389924,-0.185074441
PARK7,451.0,0.457171775,163.0,0.141577,-0.22529195
PARP1,769.0,0.460215809,171.0,0.992736,0.445454561
PARP10,332.0,0.422654659,200.0,0.003448,0.106864542
PARP12,816.0,0.416480622,874.0,0.52714,0.150671286
PARP14,2243.0,0.414355918,59.0,0.534499,0.171631258
PARP9,451.0,0.418102187,327.0,0.458084,0.351931666
PARVG,2043.0,0.383803232,484.0,-1.052788,-0.169418776
PBK,750.0,0.413339119,464.0,1.564586,0.681139949
PCNA,338.0,0.425000199,239.0,0.786895,0.738460272
PDAP1,2007.0,0.464659554,134.0,0.541634,-0.157389805
PDCD2,155.0,0.440448783,111.0,0.299141,-0.074646212
PDCD2L,48.0,0.433436103,33.0,-0.478146,-0.002128447
PDCD6IP,3211.0,0.388727459,158.0,-0.519695,-0.135616869
PDHA1,2054.0,0.402514578,145.0,0.87728,-0.103637968
PDHB,2974.0,0.442593378,43.0,-0.339463,-0.062795624
PDLIM1,357.0,0.379179626,233.0,0.445372,0.224252366
PDXDC1,2055.0,0.375670185,335.0,0.215185,0.223980429
PDXK,6244.0,0.398158884,198.0,1.753149,0.365947545
PEBP1,796.0,0.360152166,326.0,0.093529,-0.220059552
PEF1,769.0,0.441759403,424.0,-0.180887,0.098030585
PELO,5222.0,0.385240523,985.0,0.56523,0.44769873
PEPD,395.0,0.450896903,133.0,0.893231,0.189807642
PEX16,585.0,0.43213601,312.0,-0.71357,-0.260970516
PEX6,946.0,0.370078344,93.0,0.142715,0.03762417
PEX7,2294.0,0.407005497,102.0,-0.510367,-0.355637033
PFDN5,124.0,0.497062947,117.0,-0.056719,0.237072518
PFDN6,574.0,0.470152145,222.0,0.64898,0.218252749
PGM1,570.0,0.393980016,681.0,1.330466,0.42411735
PHB,988.0,0.45268542,190.0,0.791255,0.480667103
PHF10,104.0,0.365149381,79.0,0.478949,0.211513234
PI4K2A,2692.0,0.385068362,57.0,-0.239636,0.059092893
PIAS1,3626.0,0.396022529,741.0,-0.150807,-0.157547445
PIK3AP1,3866.0,0.407313024,128.0,-0.066295,0.157728963
PIR,205.0,0.385796208,485.0,0.47215,0.255145905
PITPNC1,4686.0,0.369070722,874.0,1.330724,0.581045975
PLAUR,323.0,0.418467601,226.0,1.337583,0.449989919
PLCB2,818.0,0.468984469,301.0,-2.186214,-0.172094985
PLCG1,3987.0,0.454806205,121.0,-0.657556,-0.361592821
PLD4,273.0,0.377985619,192.0,-4.003274,-0.173207735
PLEKHO1,5192.0,0.424698037,839.0,-0.459532,-0.18601418
PLEKHO2,2119.0,0.429714475,134.0,-1.011074,0.033439885
PLSCR1,10376.0,0.415598704,388.0,0.292576,0.257933587
PML,3324.0,0.431306474,140.0,0.003616,0.02961406
POLR1C,1131.0,0.439933821,86.0,0.387024,0.583663026
POLR1D,1469.0,0.427162265,456.0,0.488643,0.340820783
POLR2F,1600.0,0.47244007,250.0,0.653853,0.543152483
POLR2H,1065.0,0.427596015,1167.0,0.499179,0.351784561
POLR3H,3481.0,0.444306047,388.0,-0.513874,0.144783982
POLR3K,1023.0,0.473025152,46.0,-0.619306,0.291166734
PPA2,660.0,0.432735716,20.0,0.922611,0.406831739
PPIE,4556.0,0.446406574,56.0,0.151359,-0.126238496
PPIL1,1921.0,0.453832883,252.0,0.442798,0.259126343
PPP1R14B,282.0,0.457456004,268.0,1.107001,0.280547634
PRC1,1136.0,0.367783806,234.0,1.326969,0.379749326
PRCC,357.0,0.381841119,290.0,0.698663,0.60460534
PRDX1,303.0,0.414090753,341.0,0.245125,-0.030888427
PRDX6,944.0,0.433706552,51.0,0.293953,0.118909272
PREB,658.0,0.378530018,403.0,-0.015361,-0.383171632
PREP,579.0,0.425974009,233.0,0.889624,-0.15932809
PRG4,784.0,0.366727173,51.0,2.326241,0.578190123
PRIM2,1166.0,0.350864643,125.0,1.41322,0.463213434
PRKAB1,1305.0,0.365943644,289.0,-0.629964,-0.145593024
PRKAR2A,5019.0,0.427443141,254.0,-0.021498,-0.124186547
PRKCB,5795.0,0.38010529,197.0,-2.106331,-0.096709734
PRKCD,451.0,0.404392693,469.0,0.010503,-0.285023148
PRKRA,683.0,0.420894136,659.0,-0.273811,-0.251179689
PRKRIP1,3224.0,0.453589322,55.0,0.389174,0.127610561
PRMT5,393.0,0.386451423,508.0,-0.022379,-0.003667798
PRMT7,3655.0,0.450088803,850.0,0.155545,0.215735008
PROCR,549.0,0.357872186,218.0,0.064336,-0.311683292
PRPS1,3908.0,0.466551451,409.0,0.168839,0.08127923
PRPSAP1,2056.0,0.390811115,688.0,0.821522,0.02581169
PRRC1,3173.0,0.409170839,188.0,-0.194041,-0.170391862
PSMA5,2997.0,0.446573967,225.0,0.309064,0.127033691
PSMA6,187.0,0.423632682,445.0,-0.410538,0.2564424
PSMB10,58.0,0.455018511,128.0,-0.000249,0.110891955
PSMB2,3775.0,0.389848815,412.0,0.753278,0.162629996
PSMB8,242.0,0.411206622,522.0,-0.02509,0.123618164
PSMB9,5497.0,0.431095699,69.0,0.224438,0.088374773
PSMC3,66.0,0.485654947,194.0,-0.021119,0.096370627
PSMD11,2567.0,0.390095635,61.0,0.782107,0.107025528
PSMD13,384.0,0.437236365,242.0,-0.35478,0.089358001
PSMD8,450.0,0.458928351,52.0,-0.431746,0.062333381
PSME2,53.0,0.443656162,65.0,-0.508104,-0.338852709
PSMG1,5308.0,0.427553471,578.0,1.03638,0.559922222
PSTPIP2,1923.0,0.429639796,96.0,-1.59516,-0.002964599
PTBP1,1504.0,0.473818895,106.0,-0.3922,-0.250912088
PTDSS1,3765.0,0.367954205,423.0,0.886764,-0.203239076
PTGS1,3346.0,0.37260918,633.0,-0.698613,-0.229978515
PTP4A1,3419.0,0.421202001,1153.0,3.477378,0.742435591
PTPMT1,1899.0,0.450492628,193.0,-0.34371,-0.444322217
PTPN18,2185.0,0.381656528,101.0,-0.373961,0.103548986
PTPN7,1593.0,0.440747449,781.0,-1.616624,-0.070444241
PTPRE,2994.0,0.426620112,1843.0,-1.060974,0.041049784
PTPRF,4571.0,0.452810321,356.0,0.495681,0.372373373
PTRH2,3186.0,0.370743372,1544.0,-0.063951,-0.581871745
PWWP2B,819.0,0.424412275,29.0,-0.178917,-0.015852893
PYCR2,578.0,0.474148407,230.0,0.413125,-0.212544826
PYGL,175.0,0.392036998,127.0,0.818096,-0.611609239
QARS,97.0,0.458996209,396.0,-0.265179,0.011741512
RAB11FIP1,4277.0,0.380614122,56.0,-0.788534,-0.233745447
RAB12,1120.0,0.38483812,283.0,0.210376,0.000643687
RAB21,5246.0,0.435367738,267.0,-0.337227,-0.360200579
RAB31,3231.0,0.437498832,175.0,-0.587929,-0.422588838
RAB35,2172.0,0.408841719,189.0,0.060771,-0.291615995
RAB7A,1376.0,0.419395127,232.0,-0.639504,-0.56847003
RAB8B,4163.0,0.425956778,96.0,-0.769548,-0.344750973
RAB9A,1716.0,0.417525007,283.0,-0.649937,-0.192257062
RABGGTA,77.0,0.387342734,512.0,0.109864,-0.159808202
RABGGTB,440.0,0.409412379,78.0,0.686607,0.321336195
RABIF,4760.0,0.447399225,159.0,0.047206,0.103881892
RACGAP1,1895.0,0.366370127,354.0,0.932656,0.495457195
RAD9A,924.0,0.444046557,185.0,-0.336418,-0.019633569
RAE1,1112.0,0.432613552,365.0,0.1712,0.321841808
RAI1,1472.0,0.455620822,469.0,0.060704,-0.023880793
RAN,2043.0,0.442855294,361.0,0.538716,0.288058999
RANBP10,3359.0,0.379453562,1256.0,0.390256,0.254378457
RANGAP1,3145.0,0.481547647,765.0,0.123715,0.271359729
RAPGEF1,2727.0,0.425793135,159.0,0.834166,0.324291576
RARS,114.0,0.423508657,41.0,-0.453929,-0.250308811
RASGRP2,183.0,0.381671176,582.0,-0.914688,-0.100899021
RASGRP4,985.0,0.374724859,214.0,-1.510077,-0.036368176
RBBP4,6506.0,0.404056961,164.0,0.8658,0.453188909
RBBP5,3098.0,0.421849625,474.0,0.631166,0.094414834
RBKS,251.0,0.392307233,1371.0,-1.035988,-0.561268644
RBM12,3599.0,0.375183789,304.0,0.115936,0.240818016
RBM14,3443.0,0.468008211,139.0,0.10948,0.158716024
RBM4B,5277.0,0.396841232,170.0,-0.510233,-0.004859421
RBMX,1201.0,0.353737079,210.0,0.181048,0.549294496
RBPJ,4223.0,0.4178224,518.0,-0.481132,0.053797376
RBX1,821.0,0.46562919,52.0,-0.367311,0.334958952
RC3H1,7637.0,0.410085914,87.0,0.232639,-0.092005734
RCCD1,1773.0,0.374130224,280.0,0.93174,0.239454762
RCOR1,4070.0,0.439565312,228.0,0.247695,0.117958377
REEP4,591.0,0.460338979,469.0,0.467246,0.046471455
REEP5,2962.0,0.457536941,144.0,-0.568613,-0.982185133
RELB,408.0,0.418226182,131.0,0.021865,0.202513218
REPIN1,2683.0,0.45080531,489.0,0.22671,0.178343305
RET,2082.0,0.379562012,357.0,-3.645124,-1.709709031
RFC4,89.0,0.411167541,282.0,1.639537,0.43759942
RFK,1882.0,0.429285662,357.0,-0.462383,0.122201266
RFWD3,2538.0,0.42367162,98.0,1.048757,0.4224133
RFX5,1546.0,0.386685917,221.0,0.041915,0.181759595
RFXAP,1850.0,0.421314391,156.0,0.552583,0.577189867
RHBDF2,740.0,0.423256567,294.0,0.810757,-0.090952486
RHOT2,568.0,0.454546166,881.0,-0.36357,-0.458253841
RNASE2,179.0,0.384567964,71.0,0.682411,0.431416381
RNASEH1,4369.0,0.404567903,700.0,0.921108,0.396002869
RNASEH2B,3930.0,0.37625722,399.0,-0.930934,-0.380054452
RNASET2,1070.0,0.374792559,407.0,-0.022471,-0.440027021
RNF114,1751.0,0.459950313,36.0,-0.606332,0.18398298
RNF20,5226.0,0.396317502,92.0,-0.41184,0.161599461
RNF213,5288.0,0.417718743,150.0,0.296492,0.101248063
RNF216,2819.0,0.430061571,259.0,0.659641,0.373954877
RNF25,102.0,0.375620157,88.0,-1.412018,-0.399481559
RNF31,88.0,0.389352607,358.0,-0.390081,-0.100150696
RNLS,1252.0,0.416402283,135.0,0.428132,0.292011159
RNMT,4581.0,0.415128602,241.0,0.486848,0.468788637
RNPEP,463.0,0.447181346,896.0,-0.568455,-0.489132007
RP9,437.0,0.42869019,18.0,0.879757,0.594117588
RPA1,2907.0,0.381710028,170.0,1.203552,0.508647507
RPA2,639.0,0.400070522,793.0,0.269372,0.513521773
RPAIN,471.0,0.394698889,570.0,0.50158,0.548617287
RPL11,461.0,0.442317923,45.0,0.02701,0.287751801
RPL14,5208.0,0.496792394,133.0,-0.676026,0.07136904
RPL23,3146.0,0.464880603,90.0,0.409638,0.331736613
RPL26,53.0,0.427802183,389.0,0.217139,0.027001207
RPL31,1260.0,0.451994935,87.0,-0.555632,0.248286291
RPL34,1350.0,0.436455219,198.0,0.594583,-0.132537809
RPL5,1058.0,0.451564158,75.0,-0.107677,0.342405654
RPL7,1077.0,0.460258279,707.0,-0.29129,0.243656096
RPS11,373.0,0.483080585,92.0,-0.090642,0.122235226
RPS24,4247.0,0.430653047,142.0,0.026283,0.092881978
RPS25,109.0,0.467193878,63.0,-0.116028,0.03878188
RPS27A,743.0,0.450449292,321.0,0.04343,0.134924487
RPS3A,306.0,0.426765211,80.0,-1.214156,0.208461453
RPS4X,629.0,0.442998752,96.0,-0.034838,0.124041115
RPS6,2723.0,0.413925579,42.0,0.307063,-0.072424293
RPS6KA1,828.0,0.389798854,163.0,0.235742,0.002849626
RPS6KA4,735.0,0.38455359,226.0,-0.230226,-0.20440515
RPS7,66.0,0.428822459,109.0,0.589034,0.251422808
RPTOR,2341.0,0.385169267,805.0,0.518348,0.11961055
RREB1,3012.0,0.456825357,492.0,-0.222776,-0.001752804
RRM1,2304.0,0.437568848,689.0,1.019084,-0.036565061
RRP8,5071.0,0.446233376,148.0,-0.700593,-0.087168694
RRS1,978.0,0.468289248,104.0,0.22913,0.084162098
RTN3,1690.0,0.358048129,187.0,-0.229701,-0.262577247
RTN4IP1,1108.0,0.372133716,477.0,1.438496,-0.06289296
RUNX1,4334.0,0.416076551,1578.0,-0.624148,-0.114500475
RUNX3,2611.0,0.405217602,439.0,-1.35475,0.07889739
RWDD1,6365.0,0.401367905,746.0,0.216351,-0.025952983
S100A8,71.0,0.444112716,170.0,1.551776,0.073196014
S100A9,189.0,0.439508357,43.0,1.648137,0.116862379
SAMD9,1815.0,0.395660052,270.0,0.453307,0.174087544
SAMD9L,1162.0,0.396305952,1248.0,0.394144,0.26964672
SAMM50,150.0,0.345249646,197.0,0.0546,-0.37898231
SAMSN1,684.0,0.407246581,430.0,-1.247092,0.04884117
SAP18,1754.0,0.427429047,39.0,-0.469434,0.268322383
SAP30BP,1541.0,0.449617255,257.0,0.456796,0.418805516
SAR1A,5213.0,0.411769389,203.0,0.173056,-0.003960954
SAR1B,5806.0,0.392367964,253.0,-0.277813,-0.286017965
SARS,1054.0,0.40098191,100.0,-0.261741,-0.233244692
SASH3,1369.0,0.387406112,182.0,-1.337761,-0.035432192
SCAMP4,1741.0,0.472519575,351.0,-0.811946,-0.425030831
SCO1,8645.0,0.407339367,61.0,1.071581,0.196337991
SDCCAG8,307.0,0.360606297,1542.0,0.303195,0.211378923
SEC11C,205.0,0.423646802,92.0,0.182943,-0.646827483
SEC13,332.0,0.457264526,210.0,-0.140418,-0.166015455
SEC14L1,2986.0,0.420320088,665.0,1.00606,-0.002033818
SEC22A,2559.0,0.422343815,79.0,0.164566,-0.377409113
SEC24B,1221.0,0.400931805,155.0,0.566399,0.205925077
SEC24D,2115.0,0.386600041,297.0,-0.873662,-0.552102889
SEC61B,270.0,0.404562259,76.0,-0.284885,-0.250421372
SEMA3F,960.0,0.38837398,318.0,-0.805566,-0.354504134
SEMA4A,755.0,0.412797256,345.0,-0.047121,0.006022944
SEMA4D,2318.0,0.393173667,572.0,-0.140588,-0.012966673
SERPINA1,1707.0,0.420489385,573.0,-1.289427,0.011281761
SERPINB8,2096.0,0.38524815,520.0,0.947688,0.557067824
SETMAR,321.0,0.414235412,398.0,-0.888677,-0.224696684
SEZ6L2,540.0,0.431800162,245.0,-0.259474,-0.040489077
SF1,2419.0,0.374481437,721.0,-0.117758,0.164525696
SF3B2,563.0,0.453902675,40.0,-0.043384,0.176210115
