,3prime,tAI,max_5_UTR_length,TCGA-A2-A0EQ,TCGA-A2-A0EQ.1
IFIT3,843.0,0.417440574,529.0,0.53917,-0.328765737
IFIT5,2354.0,0.414819429,231.0,-0.151213,0.032149413
IFT27,109.0,0.4030938,426.0,0.712699,-0.084140779
IGFBP3,1605.0,0.43060006,132.0,-0.546032,-0.438138755
IGFBP7,558.0,0.392734536,34.0,-0.279325,-0.448120626
IKBKE,745.0,0.435100597,714.0,0.527902,0.111165704
IL16,3965.0,0.367979445,2395.0,1.55886,0.617109617
IL1RN,1145.0,0.411881061,408.0,0.154385,-0.217613713
IL4I1,16.0,0.4139018,621.0,1.953098,-0.146808074
ILF2,656.0,0.426220446,239.0,-0.298148,-0.085194551
IMPA2,2898.0,0.383680893,242.0,-0.223825,-0.404312714
INO80,5209.0,0.374025479,351.0,-0.338738,0.191731922
INPP1,263.0,0.395712795,700.0,-0.605761,0.017763616
INPP5D,1195.0,0.436077769,512.0,1.414868,0.543038013
INSR,4801.0,0.380857973,411.0,-0.123915,0.133288146
IPO5,2508.0,0.381335948,180.0,0.099301,0.288532241
IRF7,92.0,0.423538356,367.0,0.009493,0.367241165
IRF8,1327.0,0.384714127,507.0,1.677726,0.579103164
IRF9,369.0,0.432057622,127.0,1.671194,0.965691848
IRGQ,7659.0,0.399674011,156.0,0.518554,0.075623812
ISCU,607.0,0.454630229,1331.0,0.129881,0.135086103
ISG15,62.0,0.419522688,77.0,-0.10945,-1.095069609
ISG20,952.0,0.419932377,2368.0,1.66678,0.693603484
ISOC1,1056.0,0.418535314,18.0,0.802059,0.132998485
ITGB2,415.0,0.457304004,395.0,1.971661,1.087160534
ITPKB,2981.0,0.440250717,340.0,0.701788,0.250527902
JUNB,496.0,0.414023332,276.0,-1.151956,-0.194727653
JUP,157.0,0.458302936,298.0,0.099192,-0.373967003
KANK2,2291.0,0.394238955,361.0,-0.625056,-0.24900512
KARS,4202.0,0.383913431,144.0,0.390276,0.142901544
KDM1A,327.0,0.428444011,149.0,0.471202,0.105980498
KDM2A,3716.0,0.372295488,864.0,-0.386836,0.0566851
KDM2B,2488.0,0.393022165,407.0,0.642867,-0.273338875
KDM3B,1327.0,0.37791414,200.0,-0.406885,-0.109602065
KDM4A,1148.0,0.378142374,166.0,0.445471,0.177224574
KHSRP,1024.0,0.456900489,110.0,0.456578,-0.007695208
KIAA2013,727.0,0.385456054,191.0,0.095262,0.097228038
KIF22,75.0,0.392489541,388.0,0.222529,0.03674169
KIF2C,588.0,0.387865377,395.0,1.429608,0.230362417
KIF3B,3792.0,0.390782105,180.0,-0.163362,0.089890203
KIF5B,3198.0,0.418236129,470.0,0.65557,0.068786252
KLHL7,3616.0,0.41595405,521.0,-0.102815,-0.037823342
KTI12,594.0,0.370414154,39.0,0.182072,0.021090841
LAMP1,1311.0,0.390985106,281.0,0.353205,-0.132857069
LANCL2,2422.0,0.433733517,578.0,2.370741,0.474827779
LAP3,503.0,0.426841798,162.0,0.61993,0.359309466
LDHD,1826.0,0.398770776,52.0,-2.397631,-0.509493856
LENG1,560.0,0.445950324,48.0,0.612305,0.102983242
LGALS3,159.0,0.420172221,88.0,-1.315666,-0.564478889
LGALS3BP,1225.0,0.419930622,179.0,1.152677,0.093867061
LGALS9,641.0,0.410654931,118.0,1.155787,0.344134148
LIN54,4893.0,0.441729058,383.0,0.431413,0.335314431
LPCAT1,2228.0,0.380803123,133.0,0.234029,0.436702257
LPXN,1776.0,0.432350833,254.0,1.71369,0.505627608
LRPPRC,2376.0,0.377375074,58.0,-0.115519,0.315939221
LRRC25,843.0,0.434491636,642.0,0.271958,0.479735813
LRRC41,465.0,0.438391248,44.0,0.018527,0.223158241
LRRC59,1755.0,0.423067849,236.0,0.179594,-0.273526727
LSM1,486.0,0.409616526,410.0,-0.207582,-0.091849
LSM6,1871.0,0.435100303,139.0,0.703977,0.356286396
LTA4H,391.0,0.355044638,145.0,0.513784,0.335532791
LYN,4058.0,0.418972994,282.0,0.767471,0.599295865
LYPLAL1,1137.0,0.3973742,157.0,-0.180031,0.065800548
LYRM4,6830.0,0.366844497,217.0,0.32624,0.17617123
LYSMD2,596.0,0.394037378,501.0,0.159054,0.373682907
M6PR,1457.0,0.379162834,275.0,0.172381,0.325777584
MAD2L1,4528.0,0.407191351,124.0,1.367173,0.098825294
MAFB,2032.0,0.405989564,390.0,0.632439,0.048068119
MAGED2,327.0,0.466698843,233.0,0.657652,0.264731075
MAGOH,153.0,0.416054235,162.0,0.581146,-0.156130421
MAN2B1,128.0,0.381728903,76.0,1.371452,0.263075263
MANF,717.0,0.420319188,97.0,0.456002,0.302205518
MAP4K1,170.0,0.374128007,140.0,2.819024,0.855451983
MARCKSL1,768.0,0.468216312,206.0,0.75806,0.134752415
MAX,2676.0,0.337149475,479.0,-0.365192,0.090502005
MBD2,3723.0,0.420256858,229.0,0.616322,0.268698742
MBP,4041.0,0.393290432,264.0,1.595815,0.234012811
MCM2,662.0,0.460999542,110.0,0.666741,-0.396880829
MCM4,2618.0,0.371821308,942.0,1.74705,-0.41108308
MCM5,3214.0,0.470488076,94.0,0.863316,-0.377504621
MDC1,658.0,0.415783633,440.0,-0.394527,-0.480347527
MDH1,210.0,0.381672323,435.0,0.380676,-0.132119589
ME1,1535.0,0.411214685,265.0,0.893181,0.006559589
ME3,171.0,0.395156177,377.0,-2.401995,-0.379062053
MECR,1365.0,0.445670958,612.0,-0.231726,-0.046414202
MED17,2631.0,0.366528813,275.0,-0.558026,0.168086748
MED19,934.0,0.439623042,93.0,0.433562,0.333171969
MED28,10307.0,0.440157501,27.0,0.150255,0.008473408
MED29,4550.0,0.464327351,57.0,-0.135698,0.085238338
MEF2C,6848.0,0.41426337,654.0,0.463324,0.685052512
MEN1,824.0,0.454590692,504.0,-0.01455,0.046309221
METTL13,961.0,0.396264071,347.0,-0.659648,-0.081887168
MGST3,1295.0,0.374563048,428.0,-0.148674,-0.323578637
MIF4GD,787.0,0.397877071,137.0,-0.222218,-0.158640555
MINK1,774.0,0.455972684,525.0,-0.147164,0.007938339
MIS12,1334.0,0.420723459,745.0,0.064411,-0.071923095
MLEC,5319.0,0.43043384,173.0,-0.369632,0.148255278
MLX,1636.0,0.386664187,65.0,-0.056364,0.069381328
MMADHC,5382.0,0.406207656,205.0,-0.151698,-0.196500302
MMGT1,4451.0,0.406300672,388.0,-0.125645,0.327445181
MMP1,502.0,0.392399458,189.0,0.437448,-1.168143107
MMP14,1722.0,0.419367787,285.0,-0.321556,0.069618587
MMP9,193.0,0.404253633,19.0,2.632861,-0.515198752
MORC3,2052.0,0.406702124,375.0,0.770426,0.603617198
MORF4L1,1066.0,0.420719378,454.0,-0.276673,0.405452998
MOV10,619.0,0.412681236,1415.0,0.133257,-0.031812188
MPDU1,797.0,0.440676037,216.0,0.762579,0.472879215
MPHOSPH10,87.0,0.404440607,352.0,-0.2562,0.103003687
MRI1,2018.0,0.459301832,75.0,0.40607,-0.002750073
MRPL13,1075.0,0.395373051,313.0,0.334763,0.155954105
MRPL15,1888.0,0.407701507,63.0,0.746259,0.197204698
MRPL16,212.0,0.368940255,214.0,0.074223,0.057829353
MRPL17,6554.0,0.424450505,105.0,0.048108,0.164685116
MRPL2,580.0,0.458698472,164.0,0.043317,0.091122415
MRPL20,187.0,0.445765675,96.0,0.160854,0.189888928
MRPL21,55.0,0.417448467,293.0,2.340176,0.062557266
MRPL27,2133.0,0.436300758,31.0,0.336524,0.075173509
MRPL40,113.0,0.406843086,653.0,-0.418014,-0.098164703
MRPL46,1889.0,0.422788385,25.0,-0.744703,-0.040179376
MRPL48,1284.0,0.368940255,212.0,1.801847,0.081760981
MRPL51,2069.0,0.35376587,169.0,0.416612,0.386965314
MRPL53,198.0,0.441261883,155.0,0.024417,-0.00613872
MRPL9,407.0,0.432679379,437.0,-0.525934,-0.102473067
MRPS11,2793.0,0.477818717,1491.0,-0.142092,-0.027294197
MRPS15,468.0,0.440649404,164.0,0.571564,-0.057694258
MRPS17,1334.0,0.413812124,30.0,-0.126544,-0.091509921
MRPS18B,936.0,0.408462865,157.0,-0.421726,-0.178904652
MRPS36,933.0,0.3748339,84.0,-0.009224,0.01744472
MRPS7,453.0,0.455992019,233.0,0.442089,-0.026976615
MSI2,5168.0,0.366385762,173.0,0.659288,0.079140183
MSTO1,694.0,0.421389639,1152.0,-0.652489,-0.79974867
MT2A,316.0,0.576670685,123.0,0.948442,-1.499168221
MTA2,684.0,0.459443446,761.0,0.81739,0.424158132
MTFMT,1550.0,0.414190941,26.0,-0.885128,-0.062910789
MTHFS,1663.0,0.434592403,179.0,-1.081171,-0.647387586
MTMR1,2442.0,0.424163835,319.0,0.504803,0.273971421
MTMR14,421.0,0.371137969,151.0,0.202687,0.057754795
MVP,50.0,0.435053297,193.0,-0.083426,-0.214136023
MX1,456.0,0.433488503,982.0,0.704812,-0.423112706
MX2,1812.0,0.430094961,104.0,0.17629,0.164953123
MYADM,2833.0,0.384589896,681.0,-0.397655,-0.781675212
MYCBP,3972.0,0.381803634,73.0,0.322643,0.09813613
MYL12A,812.0,0.453450746,478.0,0.136638,-0.25760493
MYO18A,3647.0,0.395788337,484.0,0.478428,0.177395616
MYO9B,1401.0,0.398943925,152.0,0.291501,0.232634028
N6AMT1,5137.0,0.427535625,28.0,-0.020917,0.430333688
NAA40,3212.0,0.389371031,261.0,0.60272,0.301108232
NAB1,2433.0,0.361024962,572.0,0.034887,-0.200598657
NADK,1672.0,0.3959688,563.0,0.155955,0.317257305
NADSYN1,464.0,0.447848979,126.0,1.78208,0.69983874
NAGK,1297.0,0.42527382,474.0,0.720241,0.17704245
NANS,37.0,0.458552255,132.0,0.419296,-0.273260563
NAPA,1862.0,0.477781443,318.0,0.646787,0.155408733
NAT10,4915.0,0.387474071,245.0,0.539302,0.18495518
NBAS,140.0,0.414580543,44.0,-0.28687,-0.124752695
NCALD,2767.0,0.374888213,460.0,0.561422,0.146740255
NCAPD3,2971.0,0.431957579,606.0,-0.222174,0.119326298
NCAPG2,3501.0,0.41630572,200.0,0.823807,0.115120855
NCF1,2381.0,0.415579251,70.0,2.56665,0.577542586
NCK2,1267.0,0.457831152,276.0,-0.032235,-0.143900169
NCKIPSD,4981.0,0.449411541,126.0,-0.242758,-0.203175421
NCOA5,1332.0,0.416761948,402.0,0.179425,-0.029078685
NCOA7,3259.0,0.404217869,470.0,-0.868225,-0.005846723
NDC80,61.0,0.356199389,182.0,0.939773,0.115995523
NDRG2,841.0,0.376266446,941.0,-1.466144,-0.993575272
NDUFA4,1685.0,0.439642808,129.0,0.813196,0.18939752
NEU1,667.0,0.413226082,156.0,0.322468,-0.038409305
NFATC2IP,3242.0,0.412267479,15.0,-0.301033,0.306367132
NFKB1,708.0,0.4099683,467.0,0.005222,-0.060473975
NFKB2,153.0,0.424806573,563.0,1.189237,0.141264301
NFKBIE,1053.0,0.409138176,25.0,1.109662,0.038883436
NGDN,1255.0,0.423783924,27.0,0.509438,-0.03256547
NGRN,1679.0,0.414477409,50.0,-0.549928,-0.178435776
NINJ1,5217.0,0.455972644,71.0,-0.440877,0.039510629
NIP7,1593.0,0.443769116,318.0,0.358801,0.202822392
NIT2,2351.0,0.432361565,74.0,0.104049,-0.273360142
NMNAT3,2689.0,0.397393877,1228.0,0.972914,0.401893139
NMT1,3377.0,0.454689408,31.0,-0.247502,-0.105892794
NONO,1092.0,0.432928506,710.0,-0.53685,-0.178734435
NOP14,912.0,0.38067473,187.0,-0.036028,0.055278937
NOP2,785.0,0.393538298,198.0,0.207417,-0.07008526
NOTCH2,6062.0,0.409327653,297.0,-1.046855,-0.361098018
NPTN,1068.0,0.388989686,197.0,-0.98295,0.070041586
NR2C2,6271.0,0.390767743,362.0,-0.153714,0.02610536
NRBF2,883.0,0.43605128,224.0,0.174453,-0.222780216
NRF1,1901.0,0.447602651,500.0,0.190925,0.301933392
NRGN,833.0,0.413631862,152.0,0.36059,-0.215563586
NRP1,3846.0,0.416817106,523.0,-0.559691,-0.065337977
NSFL1C,1587.0,0.42738001,868.0,0.843217,0.191924837
NSMAF,602.0,0.358586884,214.0,0.683358,0.246074235
NTAN1,178.0,0.344459601,320.0,0.116135,-0.189364461
NUBP1,246.0,0.455923678,142.0,0.391463,0.068138003
NUCKS1,5461.0,0.359398328,271.0,0.364413,-0.390194022
NUDC,716.0,0.476401948,127.0,0.153425,-0.158147091
NUDT16,5489.0,0.428387545,75.0,-0.516497,-0.003348306
NUMA1,663.0,0.474508115,436.0,0.910081,0.534518908
NUP93,5678.0,0.382018893,495.0,0.869075,0.182447283
NXF1,2943.0,0.375826754,136.0,0.094226,0.250495494
OCIAD2,4872.0,0.363821488,322.0,0.472533,-0.030747276
OGDH,1071.0,0.396078149,159.0,0.351691,0.167938079
OPA3,7233.0,0.475004358,100.0,0.335753,0.389806317
OSBPL2,2363.0,0.383456763,571.0,0.239018,0.044189911
OSBPL5,1099.0,0.381371042,158.0,-0.614981,0.052821357
OVCA2,792.0,0.429983078,65.0,0.169884,-0.103105284
P2RX4,573.0,0.442596273,304.0,0.030812,0.061157289
PAAF1,509.0,0.376143366,341.0,1.026548,0.915388043
PACSIN2,1591.0,0.413490434,405.0,0.324571,0.071985326
PARK7,451.0,0.457171775,163.0,0.598057,-0.203074241
PARP1,769.0,0.460215809,171.0,0.586968,0.17336096
PARP10,332.0,0.422654659,200.0,-0.928629,-0.153967205
PARP12,816.0,0.416480622,874.0,-0.029677,-0.07795314
PARP14,2243.0,0.414355918,59.0,0.443087,0.253741881
PARP9,451.0,0.418102187,327.0,-0.018792,-0.156290959
PARVG,2043.0,0.383803232,484.0,1.296388,0.320774353
PBK,750.0,0.413339119,464.0,1.425605,0.281563587
PCNA,338.0,0.425000199,239.0,1.163399,-0.076705923
PDAP1,2007.0,0.464659554,134.0,0.440702,-0.098072737
PDCD2,155.0,0.440448783,111.0,0.978384,0.401408291
PDCD2L,48.0,0.433436103,33.0,-0.479314,-0.173530433
PDCD6IP,3211.0,0.388727459,158.0,-0.8601,-0.426787126
PDHA1,2054.0,0.402514578,145.0,0.340683,0.108342288
PDHB,2974.0,0.442593378,43.0,-0.155709,0.034952196
PDLIM1,357.0,0.379179626,233.0,-0.754389,-0.575452706
PDXDC1,2055.0,0.375670185,335.0,0.046514,0.236608929
PDXK,6244.0,0.398158884,198.0,0.422225,0.050498009
PEBP1,796.0,0.360152166,326.0,0.717271,-0.203415369
PEF1,769.0,0.441759403,424.0,-0.004755,0.016851481
PELO,5222.0,0.385240523,985.0,-0.797056,-0.121151803
PEPD,395.0,0.450896903,133.0,0.19093,0.395190641
PEX16,585.0,0.43213601,312.0,0.096527,-0.137514225
PEX6,946.0,0.370078344,93.0,-0.587089,0.003000335
PEX7,2294.0,0.407005497,102.0,-0.10105,-0.069721504
PFDN5,124.0,0.497062947,117.0,0.059727,-0.042367523
PFDN6,574.0,0.470152145,222.0,0.555113,-0.095171645
PGM1,570.0,0.393980016,681.0,-0.070433,-0.248733149
PHB,988.0,0.45268542,190.0,-0.068575,-0.188411863
PHF10,104.0,0.365149381,79.0,0.4849,0.100802789
PI4K2A,2692.0,0.385068362,57.0,0.35764,0.317805544
PIAS1,3626.0,0.396022529,741.0,-0.11738,0.362327727
PIK3AP1,3866.0,0.407313024,128.0,0.865889,0.131721769
PIR,205.0,0.385796208,485.0,0.992411,0.154477206
PITPNC1,4686.0,0.369070722,874.0,0.222717,-0.125382595
PLA2G4C,585.0,0.406173977,398.0,1.523848,0.563407453
PLA2G7,1187.0,0.402486321,269.0,2.381143,0.870329229
PLAUR,323.0,0.418467601,226.0,-0.017586,0.138489797
PLCB2,818.0,0.468984469,301.0,0.785931,0.352517882
PLCG1,3987.0,0.454806205,121.0,1.10985,0.467187379
PLD4,273.0,0.377985619,192.0,0.666933,1.14111383
PLEKHO1,5192.0,0.424698037,839.0,1.250322,0.111802256
PLEKHO2,2119.0,0.429714475,134.0,0.647935,0.205328928
PML,3324.0,0.431306474,140.0,-0.186017,-0.041750914
POLR1C,1131.0,0.439933821,86.0,0.154935,0.004013826
POLR1D,1469.0,0.427162265,456.0,0.178746,-0.115307282
POLR2F,1600.0,0.47244007,250.0,0.818145,0.167175432
POLR2H,1065.0,0.427596015,1167.0,0.228319,-0.167426066
POLR3H,3481.0,0.444306047,388.0,-0.073655,-0.130057636
POLR3K,1023.0,0.473025152,46.0,0.786353,-0.016620761
PPA2,660.0,0.432735716,20.0,0.067871,0.109720882
PPIE,4556.0,0.446406574,56.0,0.450575,0.298236343
PPIL1,1921.0,0.453832883,252.0,0.197323,0.040254433
PPP1R14B,282.0,0.457456004,268.0,1.090217,0.387270585
PRC1,1136.0,0.367783806,234.0,0.425315,-0.444327458
PRCC,357.0,0.381841119,290.0,-0.622102,-0.324556562
PRDX1,303.0,0.414090753,341.0,1.097375,-0.04195768
PRDX6,944.0,0.433706552,51.0,-0.580066,-0.507416574
PREB,658.0,0.378530018,403.0,0.173978,-0.00011523
PREP,579.0,0.425974009,233.0,0.60894,-0.116716565
PRG4,784.0,0.366727173,51.0,-1.033664,-0.261927283
PRIM2,1166.0,0.350864643,125.0,0.549575,0.429745563
PRKAB1,1305.0,0.365943644,289.0,-0.947214,-0.1820185
PRKAR2A,5019.0,0.427443141,254.0,-1.217934,-0.281905074
PRKCB,5795.0,0.38010529,197.0,3.042417,1.025756965
PRKCD,451.0,0.404392693,469.0,-0.151422,0.052712264
PRKRA,683.0,0.420894136,659.0,0.034022,-0.051142805
PRKRIP1,3224.0,0.453589322,55.0,0.192937,0.035766687
PRMT5,393.0,0.386451423,508.0,0.371603,-0.109123332
PRMT7,3655.0,0.450088803,850.0,0.25373,-0.01113527
PROCR,549.0,0.357872186,218.0,-0.814999,-0.043547828
PRPS1,3908.0,0.466551451,409.0,-0.449334,-0.23251123
PRPSAP1,2056.0,0.390811115,688.0,-0.149148,-0.192267692
PRRC1,3173.0,0.409170839,188.0,-0.349846,-0.25240123
PSMA5,2997.0,0.446573967,225.0,0.393084,-0.251509183
PSMA6,187.0,0.423632682,445.0,0.228834,-0.214466072
PSMB10,58.0,0.455018511,128.0,1.268877,0.222521617
PSMB2,3775.0,0.389848815,412.0,0.663379,-0.227720384
PSMB8,242.0,0.411206622,522.0,0.846572,0.084106193
PSMB9,5497.0,0.431095699,69.0,1.530995,-0.009043197
PSMC3,66.0,0.485654947,194.0,0.358271,-0.061089307
PSMD11,2567.0,0.390095635,61.0,1.640601,0.263484608
PSMD13,384.0,0.437236365,242.0,0.37093,0.130698604
PSMD8,450.0,0.458928351,52.0,0.494193,0.323231127
PSME2,53.0,0.443656162,65.0,2.096233,0.489723942
PSMG1,5308.0,0.427553471,578.0,1.199371,0.342722697
PSTPIP2,1923.0,0.429639796,96.0,-0.938704,0.08672393
PTBP1,1504.0,0.473818895,106.0,0.673239,0.020775301
PTDSS1,3765.0,0.367954205,423.0,0.828077,-0.121792705
PTGS1,3346.0,0.37260918,633.0,-1.184046,-0.382711108
PTPMT1,1899.0,0.450492628,193.0,-0.599687,-0.182030452
PTPN18,2185.0,0.381656528,101.0,-0.111627,0.189199521
PTPN7,1593.0,0.440747449,781.0,2.951157,0.518245303
PTPRE,2994.0,0.426620112,1843.0,-0.245282,0.486091282
PTPRF,4571.0,0.452810321,356.0,0.059465,-0.191881764
PTRH2,3186.0,0.370743372,1544.0,0.264719,-0.296193869
PWWP2B,819.0,0.424412275,29.0,0.424139,0.595997644
PYCR2,578.0,0.474148407,230.0,0.403096,0.317875779
PYGL,175.0,0.392036998,127.0,-2.928821,-0.963613508
QARS,97.0,0.458996209,396.0,0.514652,0.140631282
RAB11FIP1,4277.0,0.380614122,56.0,-0.915249,-0.384515108
RAB12,1120.0,0.38483812,283.0,0.308884,0.348391767
RAB21,5246.0,0.435367738,267.0,-0.224789,-0.087198285
RAB31,3231.0,0.437498832,175.0,-1.145863,-0.450525835
RAB35,2172.0,0.408841719,189.0,0.315024,0.316863806
RAB7A,1376.0,0.419395127,232.0,0.058384,0.075356251
RAB8B,4163.0,0.425956778,96.0,0.437075,0.426833374
RAB9A,1716.0,0.417525007,283.0,-0.187011,0.08385359
RABGGTA,77.0,0.387342734,512.0,1.294864,0.445967629
RABGGTB,440.0,0.409412379,78.0,0.511844,0.269469652
RABIF,4760.0,0.447399225,159.0,0.229364,0.365327086
RACGAP1,1895.0,0.366370127,354.0,0.622925,-0.070818073
RAD9A,924.0,0.444046557,185.0,-0.058713,0.0434268
RAE1,1112.0,0.432613552,365.0,0.002224,0.043846474
RAI1,1472.0,0.455620822,469.0,-0.279151,0.118932936
RAN,2043.0,0.442855294,361.0,0.603616,-0.01276184
RANBP10,3359.0,0.379453562,1256.0,0.085124,0.204064552
RANGAP1,3145.0,0.481547647,765.0,0.611213,0.147048758
RAPGEF1,2727.0,0.425793135,159.0,0.373052,0.270350925
RARS,114.0,0.423508657,41.0,-0.238264,-0.061777792
RASGRP2,183.0,0.381671176,582.0,2.289426,0.5110364
RASGRP4,985.0,0.374724859,214.0,-0.412652,0.164423308
RBBP4,6506.0,0.404056961,164.0,0.333168,0.247752374
RBBP5,3098.0,0.421849625,474.0,-0.034227,0.265927015
RBKS,251.0,0.392307233,1371.0,-0.365445,-0.296640207
RBM12,3599.0,0.375183789,304.0,0.29709,0.127139809
RBM14,3443.0,0.468008211,139.0,0.276392,0.061415559
RBM4B,5277.0,0.396841232,170.0,-0.228769,-0.193600181
RBMX,1201.0,0.353737079,210.0,0.51155,0.363781901
RBPJ,4223.0,0.4178224,518.0,0.201888,0.237786902
RBX1,821.0,0.46562919,52.0,0.555086,-0.252925131
RC3H1,7637.0,0.410085914,87.0,-0.472415,0.091204641
RCCD1,1773.0,0.374130224,280.0,0.245027,-0.200281318
RCOR1,4070.0,0.439565312,228.0,-0.548562,-0.041793648
REEP4,591.0,0.460338979,469.0,0.35719,-0.550232438
REEP5,2962.0,0.457536941,144.0,-0.546399,0.15703702
RELB,408.0,0.418226182,131.0,0.957992,0.261649155
REPIN1,2683.0,0.45080531,489.0,0.100386,0.522748886
RFC4,89.0,0.411167541,282.0,-0.053232,-0.101575312
RFK,1882.0,0.429285662,357.0,0.645842,0.132606748
RFX5,1546.0,0.386685917,221.0,0.021654,-0.154717462
RFXAP,1850.0,0.421314391,156.0,-0.416627,0.666858314
RHBDF2,740.0,0.423256567,294.0,0.702831,-0.013623978
RHOT2,568.0,0.454546166,881.0,-0.138013,0.25984554
RNASE2,179.0,0.384567964,71.0,-0.75335,0.722322613
RNASEH1,4369.0,0.404567903,700.0,0.229268,0.616666529
RNASEH2B,3930.0,0.37625722,399.0,-0.090955,0.181828466
RNASET2,1070.0,0.374792559,407.0,0.859844,0.185825202
RNF114,1751.0,0.459950313,36.0,0.261361,0.07921211
RNF167,289.0,0.375291206,776.0,-0.024783,0.270070708
RNF20,5226.0,0.396317502,92.0,-0.071911,0.123212926
RNF213,5288.0,0.417718743,150.0,0.522336,0.231045625
RNF216,2819.0,0.430061571,259.0,0.191345,-0.634845663
RNF25,102.0,0.375620157,88.0,-0.182617,-0.359109441
RNF31,88.0,0.389352607,358.0,1.311081,-0.006704319
RNLS,1252.0,0.416402283,135.0,-1.575305,-0.394852269
RNMT,4581.0,0.415128602,241.0,-0.263817,0.086995713
RNPEP,463.0,0.447181346,896.0,0.392815,-0.079592362
RP9,437.0,0.42869019,18.0,0.332909,0.357892231
RPA1,2907.0,0.381710028,170.0,0.357682,0.207852105
RPA2,639.0,0.400070522,793.0,0.197675,0.21633879
RPAIN,471.0,0.394698889,570.0,0.207424,0.005996116
RPL11,461.0,0.442317923,45.0,0.991916,-0.093369772
RPL14,5208.0,0.496792394,133.0,0.86612,-0.576127023
RPL23,3146.0,0.464880603,90.0,1.01714,0.065633102
RPL26,53.0,0.427802183,389.0,0.677724,-0.321754362
RPL31,1260.0,0.451994935,87.0,1.271698,-0.043763401
RPL34,1350.0,0.436455219,198.0,0.556106,-0.350231478
RPL5,1058.0,0.451564158,75.0,0.562725,0.187190103
RPL7,1077.0,0.460258279,707.0,1.384451,-0.322251081
RPS11,373.0,0.483080585,92.0,1.275002,0.118472248
RPS24,4247.0,0.430653047,142.0,1.377665,-0.273149506
RPS25,109.0,0.467193878,63.0,-0.368701,0.138143606
RPS27A,743.0,0.450449292,321.0,0.602483,0.039382019
RPS3A,306.0,0.426765211,80.0,0.642772,0.005550828
RPS4X,629.0,0.442998752,96.0,0.002749,0.050542226
RPS6,2723.0,0.413925579,42.0,0.265579,-0.192396753
RPS6KA1,828.0,0.389798854,163.0,0.437442,-0.083524796
RPS6KA4,735.0,0.38455359,226.0,-0.043293,0.125708035
RPS7,66.0,0.428822459,109.0,1.023205,-0.146425748
RPTOR,2341.0,0.385169267,805.0,0.545632,0.112731514
RREB1,3012.0,0.456825357,492.0,-0.19668,0.004436833
RRM1,2304.0,0.437568848,689.0,0.638382,0.414304634
RRP8,5071.0,0.446233376,148.0,-0.186565,-0.089645019
RRS1,978.0,0.468289248,104.0,0.861621,0.288430146
RTN3,1690.0,0.358048129,187.0,-0.439603,-0.261986125
RTN4IP1,1108.0,0.372133716,477.0,0.589334,-0.084197889
RUNX1,4334.0,0.416076551,1578.0,-1.378517,-0.079990621
RUNX3,2611.0,0.405217602,439.0,1.652341,0.25699184
RWDD1,6365.0,0.401367905,746.0,0.401522,-0.058862395
S100A8,71.0,0.444112716,170.0,0.621714,-1.656523701
S100A9,189.0,0.439508357,43.0,-0.374018,-1.9219643
SAMD9,1815.0,0.395660052,270.0,-0.008253,-0.515625286
SAMD9L,1162.0,0.396305952,1248.0,0.139533,0.311517354
SAMM50,150.0,0.345249646,197.0,0.486077,0.554422402
SAMSN1,684.0,0.407246581,430.0,1.641608,0.334673711
SAP18,1754.0,0.427429047,39.0,0.183777,0.302888571
SAP30BP,1541.0,0.449617255,257.0,0.504155,0.028833193
SAR1A,5213.0,0.411769389,203.0,0.176367,-0.130137898
SAR1B,5806.0,0.392367964,253.0,-0.267723,-0.24071269
SARS,1054.0,0.40098191,100.0,-0.05996,-0.127805943
SASH3,1369.0,0.387406112,182.0,2.153244,0.371840488
SCAMP4,1741.0,0.472519575,351.0,0.766901,0.351691847
SCO1,8645.0,0.407339367,61.0,0.206912,0.336778841
SDCCAG8,307.0,0.360606297,1542.0,-0.176243,-0.085698059
SEC11C,205.0,0.423646802,92.0,1.246433,0.950887588
SEC13,332.0,0.457264526,210.0,0.074222,-0.152447675
SEC14L1,2986.0,0.420320088,665.0,0.69577,-0.109261374
SEC22A,2559.0,0.422343815,79.0,-0.513715,-0.002906884
SEC24B,1221.0,0.400931805,155.0,-0.361627,-0.046208169
SEC24D,2115.0,0.386600041,297.0,-0.638157,-0.165442595
SEC61B,270.0,0.404562259,76.0,0.761212,0.427327257
SEMA3F,960.0,0.38837398,318.0,0.26052,-0.21558021
SEMA4A,755.0,0.412797256,345.0,0.711291,0.297583826
SEMA4D,2318.0,0.393173667,572.0,1.518542,0.285389906
SERPINA1,1707.0,0.420489385,573.0,0.356808,-0.157420587
SERPINB8,2096.0,0.38524815,520.0,0.655349,0.242867419
SETMAR,321.0,0.414235412,398.0,0.21725,-0.009123683
SF1,2419.0,0.374481437,721.0,0.163119,0.061046312
SF3B2,563.0,0.453902675,40.0,0.210121,0.030624831
SFXN4,500.0,0.402513841,45.0,0.904151,-0.080509121
SH3BP1,433.0,0.395530944,313.0,1.319114,0.389087714
SH3PXD2B,4870.0,0.420952884,171.0,0.558675,0.158253964
SHMT1,4335.0,0.394510245,509.0,-0.050262,-0.182120923
SIGLEC1,1590.0,0.42099348,0.0,-0.201262,0.289569922
SIPA1,2933.0,0.437718847,296.0,0.353412,0.220896189
SIRPA,3027.0,0.429235057,360.0,0.417565,0.260796837
