,3prime,tAI,max_5_UTR_length,TCGA-A2-A0EV,TCGA-A2-A0EV.1
IFITM1,159.0,0.431550176,180.0,1.1403,0.196889501
IFT27,109.0,0.4030938,426.0,0.261489,0.195351098
IGFBP3,1605.0,0.43060006,132.0,-0.227671,-0.015309233
IGFBP7,558.0,0.392734536,34.0,0.03249,0.360811851
IKBKE,745.0,0.435100597,714.0,-0.042719,0.818897917
IL16,3965.0,0.367979445,2395.0,0.470048,0.904695593
IL17RA,5874.0,0.376798811,133.0,0.09197,0.293048778
IL1RN,1145.0,0.411881061,408.0,-0.654428,0.374487909
IL4I1,16.0,0.4139018,621.0,0.563653,0.554970375
ILF2,656.0,0.426220446,239.0,0.220404,-0.19197163
IMPA2,2898.0,0.383680893,242.0,-1.570336,-1.572002811
INO80,5209.0,0.374025479,351.0,0.004915,-1.622943825
INPP1,263.0,0.395712795,700.0,-0.463168,0.411121662
INPP5D,1195.0,0.436077769,512.0,0.141757,0.747347274
INSR,4801.0,0.380857973,411.0,-0.273727,-0.688570012
IPO5,2508.0,0.381335948,180.0,-0.492435,0.000109733
IRF7,92.0,0.423538356,367.0,-0.455219,0.4350909
IRF8,1327.0,0.384714127,507.0,0.136872,0.268787051
IRF9,369.0,0.432057622,127.0,0.319756,0.242942195
IRGQ,7659.0,0.399674011,156.0,0.233159,-0.119406118
ISCU,607.0,0.454630229,1331.0,0.163157,0.161679437
ISG15,62.0,0.419522688,77.0,0.91631,0.032103736
ISG20,952.0,0.419932377,2368.0,-0.580131,0.46031795
ISOC1,1056.0,0.418535314,18.0,0.655441,0.255041663
ITGB2,415.0,0.457304004,395.0,0.649998,0.419170261
ITPKB,2981.0,0.440250717,340.0,0.099011,0.203847238
JUNB,496.0,0.414023332,276.0,-1.273598,0.519558552
JUP,157.0,0.458302936,298.0,0.949318,-0.378368467
KANK2,2291.0,0.394238955,361.0,0.052049,0.597566211
KARS,4202.0,0.383913431,144.0,-0.316521,-0.032552046
KCNN4,560.0,0.425737469,396.0,-0.601296,0.270904653
KDM1A,327.0,0.428444011,149.0,-0.050912,-0.189416794
KDM2A,3716.0,0.372295488,864.0,-0.124047,-0.278407709
KDM2B,2488.0,0.393022165,407.0,-0.1356,-1.983008607
KDM3B,1327.0,0.37791414,200.0,0.663634,0.16561392
KDM4A,1148.0,0.378142374,166.0,0.381761,-0.096360757
KHSRP,1024.0,0.456900489,110.0,0.263159,-0.279807487
KIAA2013,727.0,0.385456054,191.0,-0.006809,0.240840643
KIF20A,757.0,0.371463873,496.0,0.194092,-1.031939979
KIF22,75.0,0.392489541,388.0,-0.192275,0.317731615
KIF2C,588.0,0.387865377,395.0,0.046556,-0.303326262
KIF3B,3792.0,0.390782105,180.0,0.283831,-0.084554367
KIF5B,3198.0,0.418236129,470.0,0.22109,-0.067029646
KLHL7,3616.0,0.41595405,521.0,0.606226,0.11072313
KTI12,594.0,0.370414154,39.0,0.033173,0.250586492
LAMP1,1311.0,0.390985106,281.0,0.030529,0.162435066
LANCL2,2422.0,0.433733517,578.0,-0.5355,-0.483179497
LAP3,503.0,0.426841798,162.0,0.272013,0.821687259
LDHD,1826.0,0.398770776,52.0,-0.218835,0.472491388
LENG1,560.0,0.445950324,48.0,0.192998,-1.646148445
LGALS3,159.0,0.420172221,88.0,0.657904,-0.024830116
LGALS3BP,1225.0,0.419930622,179.0,1.35741,0.089028189
LGALS9,641.0,0.410654931,118.0,1.345513,0.675482999
LIN54,4893.0,0.441729058,383.0,0.433784,0.043503513
LPCAT1,2228.0,0.380803123,133.0,-0.729793,-0.459156686
LPXN,1776.0,0.432350833,254.0,0.172303,0.922133917
LRPPRC,2376.0,0.377375074,58.0,-0.457773,-0.396590202
LRRC25,843.0,0.434491636,642.0,0.027052,0.914226078
LRRC41,465.0,0.438391248,44.0,-0.296531,-0.954386273
LRRC59,1755.0,0.423067849,236.0,0.787642,-0.14038156
LSM1,486.0,0.409616526,410.0,0.151106,0.396352392
LSM6,1871.0,0.435100303,139.0,-0.277893,0.135849055
LTA4H,391.0,0.355044638,145.0,0.359086,0.479130486
LYN,4058.0,0.418972994,282.0,-0.002483,0.551134677
LYPLAL1,1137.0,0.3973742,157.0,0.314645,0.646942671
LYRM4,6830.0,0.366844497,217.0,-0.100606,-0.288709457
LYSMD2,596.0,0.394037378,501.0,-1.068613,-0.561879169
M6PR,1457.0,0.379162834,275.0,-0.335207,-0.480868498
MAD2L1,4528.0,0.407191351,124.0,-0.019292,-0.332715698
MAFB,2032.0,0.405989564,390.0,0.464178,0.006727182
MAGED2,327.0,0.466698843,233.0,0.661387,-0.592301386
MAGOH,153.0,0.416054235,162.0,-0.059787,0.029593735
MAN2B1,128.0,0.381728903,76.0,0.474059,0.229734234
MANF,717.0,0.420319188,97.0,-0.271673,-0.129539826
MAP4K1,170.0,0.374128007,140.0,0.480744,1.084699691
MARCKSL1,768.0,0.468216312,206.0,0.148382,-1.293003338
MAX,2676.0,0.337149475,479.0,-0.141071,-0.904745907
MBD2,3723.0,0.420256858,229.0,-0.295934,0.063090402
MBP,4041.0,0.393290432,264.0,-0.638238,-0.127258028
MCM2,662.0,0.460999542,110.0,-0.223266,-0.464273489
MCM4,2618.0,0.371821308,942.0,-0.211974,-0.267411416
MCM5,3214.0,0.470488076,94.0,0.142469,-0.613831748
MDC1,658.0,0.415783633,440.0,0.371593,-0.442210145
MDH1,210.0,0.381672323,435.0,-0.175068,0.065634305
ME1,1535.0,0.411214685,265.0,-0.463529,0.789008803
ME3,171.0,0.395156177,377.0,-0.171975,1.198685035
MECR,1365.0,0.445670958,612.0,0.144427,0.135669131
MED17,2631.0,0.366528813,275.0,0.069418,0.303470856
MED19,934.0,0.439623042,93.0,-0.038197,0.03061922
MED28,10307.0,0.440157501,27.0,-0.084487,0.245491757
MED29,4550.0,0.464327351,57.0,0.181331,-0.159948569
MEF2C,6848.0,0.41426337,654.0,-0.328505,-0.362284345
MEN1,824.0,0.454590692,504.0,-0.1074,-0.424285828
METTL13,961.0,0.396264071,347.0,0.51956,0.121483333
MGST3,1295.0,0.374563048,428.0,-0.44753,-0.470230944
MIF4GD,787.0,0.397877071,137.0,1.139387,0.053567423
MINK1,774.0,0.455972684,525.0,0.063226,-0.650976089
MIS12,1334.0,0.420723459,745.0,-0.541062,-0.363501727
MLEC,5319.0,0.43043384,173.0,0.046298,-0.414841252
MLLT10,2252.0,0.36295117,1568.0,-0.026655,0.440084244
MLX,1636.0,0.386664187,65.0,0.652317,0.758549133
MMACHC,1852.0,0.382684622,371.0,-0.276773,0.246050103
MMADHC,5382.0,0.406207656,205.0,0.20212,-0.08317254
MMGT1,4451.0,0.406300672,388.0,0.557224,-0.037018825
MMP1,502.0,0.392399458,189.0,2.387849,0.615364392
MMP14,1722.0,0.419367787,285.0,1.112678,0.431773941
MMP9,193.0,0.404253633,19.0,1.680038,-0.342238457
MORC3,2052.0,0.406702124,375.0,-0.018045,0.260061219
MORF4L1,1066.0,0.420719378,454.0,0.370127,-0.487439039
MOV10,619.0,0.412681236,1415.0,-0.010668,-0.237703732
MPDU1,797.0,0.440676037,216.0,0.028377,0.042503851
MPHOSPH10,87.0,0.404440607,352.0,-0.364539,-0.52991792
MRI1,2018.0,0.459301832,75.0,-0.139159,0.019479964
MRPL13,1075.0,0.395373051,313.0,-0.60039,0.27140365
MRPL15,1888.0,0.407701507,63.0,-0.356088,-0.173191779
MRPL16,212.0,0.368940255,214.0,-0.428152,-0.096448049
MRPL17,6554.0,0.424450505,105.0,-0.065041,0.098032327
MRPL2,580.0,0.458698472,164.0,0.012044,0.029316622
MRPL20,187.0,0.445765675,96.0,0.012709,-0.473922521
MRPL21,55.0,0.417448467,293.0,-0.279827,0.192284718
MRPL27,2133.0,0.436300758,31.0,0.707576,-0.579977237
MRPL40,113.0,0.406843086,653.0,0.232451,-0.288379195
MRPL46,1889.0,0.422788385,25.0,0.057106,0.228383107
MRPL48,1284.0,0.368940255,212.0,-0.564411,-1.506446658
MRPL51,2069.0,0.35376587,169.0,-0.432468,-0.340138318
MRPL53,198.0,0.441261883,155.0,-0.11332,-0.265602637
MRPL9,407.0,0.432679379,437.0,-0.508213,-0.238337876
MRPS11,2793.0,0.477818717,1491.0,-0.063638,-0.13824394
MRPS15,468.0,0.440649404,164.0,-0.534117,-0.396648614
MRPS17,1334.0,0.413812124,30.0,-0.372322,-0.021186088
MRPS18B,936.0,0.408462865,157.0,0.327081,-0.052389869
MRPS36,933.0,0.3748339,84.0,0.538656,0.282244643
MRPS7,453.0,0.455992019,233.0,0.636439,-0.27206971
MSI2,5168.0,0.366385762,173.0,0.783976,-0.48963568
MSTO1,694.0,0.421389639,1152.0,0.257664,0.545257432
MT2A,316.0,0.576670685,123.0,0.097465,-0.093418339
MTA2,684.0,0.459443446,761.0,0.095079,0.024521891
MTFMT,1550.0,0.414190941,26.0,0.03506,0.216791106
MTHFS,1663.0,0.434592403,179.0,-0.190026,-0.778592084
MTMR1,2442.0,0.424163835,319.0,0.457015,0.356958937
MTMR14,421.0,0.371137969,151.0,0.062009,0.230042889
MVP,50.0,0.435053297,193.0,0.959502,0.243154379
MX1,456.0,0.433488503,982.0,0.768662,0.307486074
MX2,1812.0,0.430094961,104.0,0.137128,0.39532818
MYADM,2833.0,0.384589896,681.0,-1.199664,-0.249937515
MYCBP,3972.0,0.381803634,73.0,0.019485,-0.405122718
MYL12A,812.0,0.453450746,478.0,-0.346645,0.510673446
MYO18A,3647.0,0.395788337,484.0,0.421153,0.061066649
MYO9B,1401.0,0.398943925,152.0,0.319019,0.181127261
N6AMT1,5137.0,0.427535625,28.0,0.042534,0.484572988
NAA40,3212.0,0.389371031,261.0,-0.001061,-0.20131533
NAB1,2433.0,0.361024962,572.0,0.049058,0.341089822
NADK,1672.0,0.3959688,563.0,0.269977,0.60038676
NADSYN1,464.0,0.447848979,126.0,0.107609,-0.055912881
NAGK,1297.0,0.42527382,474.0,-0.517447,0.257294358
NANS,37.0,0.458552255,132.0,0.331139,-0.139968202
NAPA,1862.0,0.477781443,318.0,-0.223229,0.402181988
NAT10,4915.0,0.387474071,245.0,-0.475747,-0.508650317
NBAS,140.0,0.414580543,44.0,-0.156428,0.106483871
NCALD,2767.0,0.374888213,460.0,-0.719425,0.060449194
NCAPD3,2971.0,0.431957579,606.0,0.202841,-0.081364935
NCAPG2,3501.0,0.41630572,200.0,0.267666,-0.043333405
NCF1,2381.0,0.415579251,70.0,0.706164,-0.074838267
NCK2,1267.0,0.457831152,276.0,-0.717004,-0.266635997
NCKIPSD,4981.0,0.449411541,126.0,0.701865,-0.065929091
NCOA5,1332.0,0.416761948,402.0,0.262266,-0.460604302
NCOA7,3259.0,0.404217869,470.0,-0.133099,0.630590347
NDC80,61.0,0.356199389,182.0,-0.854351,-0.319541703
NDRG2,841.0,0.376266446,941.0,-0.961901,-0.072013107
NDUFA4,1685.0,0.439642808,129.0,0.623105,-0.034233192
NEU1,667.0,0.413226082,156.0,1.388445,-0.265385983
NFATC2IP,3242.0,0.412267479,15.0,-0.003681,0.484138184
NFKB1,708.0,0.4099683,467.0,-0.103929,0.347953367
NFKB2,153.0,0.424806573,563.0,-0.142719,0.099822757
NFKBIE,1053.0,0.409138176,25.0,0.24444,0.503487674
NGDN,1255.0,0.423783924,27.0,-0.305322,-0.363951927
NGRN,1679.0,0.414477409,50.0,0.484211,-0.259067865
NINJ1,5217.0,0.455972644,71.0,0.246245,-0.632161604
NIP7,1593.0,0.443769116,318.0,-0.235049,-0.302556811
NIT2,2351.0,0.432361565,74.0,-0.101332,0.072141611
NMNAT3,2689.0,0.397393877,1228.0,-0.086163,0.149576136
NMT1,3377.0,0.454689408,31.0,0.827886,-0.064340574
NONO,1092.0,0.432928506,710.0,-0.054568,-0.393876593
NOP14,912.0,0.38067473,187.0,-0.006085,-0.456485579
NOP2,785.0,0.393538298,198.0,-0.749517,-0.442963791
NOTCH2,6062.0,0.409327653,297.0,0.906585,0.108469708
NPTN,1068.0,0.388989686,197.0,0.682191,-0.793728771
NR2C2,6271.0,0.390767743,362.0,-0.401861,-0.34639951
NRBF2,883.0,0.43605128,224.0,-0.703,-0.166538677
NRF1,1901.0,0.447602651,500.0,0.209615,0.145039887
NRGN,833.0,0.413631862,152.0,-1.108372,-1.297418019
NRP1,3846.0,0.416817106,523.0,-0.243592,0.682837798
NSFL1C,1587.0,0.42738001,868.0,-0.045492,-0.127555758
NSMAF,602.0,0.358586884,214.0,-1.360754,0.2190763
NTAN1,178.0,0.344459601,320.0,-0.362457,0.167187654
NUBP1,246.0,0.455923678,142.0,-0.136987,0.436985502
NUCKS1,5461.0,0.359398328,271.0,-0.306685,-1.454514889
NUDC,716.0,0.476401948,127.0,0.326156,-0.534576789
NUDT16,5489.0,0.428387545,75.0,-0.144001,0.595294151
NUMA1,663.0,0.474508115,436.0,0.143891,-0.453862787
NUP93,5678.0,0.382018893,495.0,0.840417,0.042640187
NXF1,2943.0,0.375826754,136.0,-0.562522,0.03179133
OCIAD2,4872.0,0.363821488,322.0,0.306011,-0.44129482
OGDH,1071.0,0.396078149,159.0,0.431311,0.364049097
OPA3,7233.0,0.475004358,100.0,0.253819,-1.634108888
OSBPL2,2363.0,0.383456763,571.0,-0.165,-0.113998398
OSBPL5,1099.0,0.381371042,158.0,0.223315,-0.274664923
OVCA2,792.0,0.429983078,65.0,-0.138936,0.052590646
P2RX4,573.0,0.442596273,304.0,1.165192,-0.433035097
PAAF1,509.0,0.376143366,341.0,0.125738,0.235500789
PACSIN2,1591.0,0.413490434,405.0,0.534488,-0.083896348
PARK7,451.0,0.457171775,163.0,-0.027173,-0.067725613
PARP1,769.0,0.460215809,171.0,0.164134,-0.232239709
PARP10,332.0,0.422654659,200.0,-0.161152,0.362311992
PARP12,816.0,0.416480622,874.0,0.306328,0.276516624
PARP14,2243.0,0.414355918,59.0,0.452043,0.422078333
PARP9,451.0,0.418102187,327.0,0.117896,0.276574435
PARVG,2043.0,0.383803232,484.0,0.252544,0.696690434
PBK,750.0,0.413339119,464.0,-0.201001,-0.430338758
PCNA,338.0,0.425000199,239.0,0.169256,-0.456358812
PDAP1,2007.0,0.464659554,134.0,0.088568,-0.65874916
PDCD2,155.0,0.440448783,111.0,0.012475,-0.272836783
PDCD2L,48.0,0.433436103,33.0,-0.105554,-0.449028896
PDCD6IP,3211.0,0.388727459,158.0,0.153295,0.055395555
PDHA1,2054.0,0.402514578,145.0,-0.076414,0.270068415
PDHB,2974.0,0.442593378,43.0,-0.19959,0.533524919
PDLIM1,357.0,0.379179626,233.0,-1.496181,-0.105334501
PDXDC1,2055.0,0.375670185,335.0,0.258789,0.147118217
PDXK,6244.0,0.398158884,198.0,0.129303,0.491476571
PEBP1,796.0,0.360152166,326.0,-0.119233,0.213940611
PEF1,769.0,0.441759403,424.0,0.219365,0.45102784
PELO,5222.0,0.385240523,985.0,0.256393,0.286880476
PEPD,395.0,0.450896903,133.0,0.438997,1.085521626
PEX16,585.0,0.43213601,312.0,0.228834,-0.495019232
PEX6,946.0,0.370078344,93.0,0.430404,0.376001718
PEX7,2294.0,0.407005497,102.0,0.432793,0.396271063
PFDN5,124.0,0.497062947,117.0,0.176331,0.236216099
PFDN6,574.0,0.470152145,222.0,0.542689,-0.138441727
PGM1,570.0,0.393980016,681.0,-0.643572,0.42344517
PHB,988.0,0.45268542,190.0,0.526824,-0.342974151
PHF10,104.0,0.365149381,79.0,-0.513335,-0.268730294
PI4K2A,2692.0,0.385068362,57.0,0.189882,0.413145669
PIAS1,3626.0,0.396022529,741.0,0.248273,0.438373367
PIGH,1430.0,0.434471606,98.0,-0.167993,-1.045075454
PIK3AP1,3866.0,0.407313024,128.0,0.367013,0.423277764
PIR,205.0,0.385796208,485.0,0.288866,0.11948102
PITPNC1,4686.0,0.369070722,874.0,0.053901,0.030042427
PLA2G4C,585.0,0.406173977,398.0,-0.82906,0.769999009
PLA2G7,1187.0,0.402486321,269.0,0.354114,0.195442505
PLAUR,323.0,0.418467601,226.0,0.426688,0.152486003
PLCB2,818.0,0.468984469,301.0,0.068056,0.731846919
PLCG1,3987.0,0.454806205,121.0,0.418908,0.226232856
PLD4,273.0,0.377985619,192.0,-0.272922,0.697957129
PLEKHO1,5192.0,0.424698037,839.0,0.206608,0.155166899
PLEKHO2,2119.0,0.429714475,134.0,0.690786,0.765152265
PML,3324.0,0.431306474,140.0,0.230037,0.505420647
POLR1C,1131.0,0.439933821,86.0,-0.006709,0.045732254
POLR1D,1469.0,0.427162265,456.0,-0.821748,0.115784565
POLR2F,1600.0,0.47244007,250.0,0.016383,0.671455302
POLR2H,1065.0,0.427596015,1167.0,0.207104,-0.612436324
POLR3H,3481.0,0.444306047,388.0,-0.266326,0.177750688
POLR3K,1023.0,0.473025152,46.0,0.096272,-0.638080308
PPA2,660.0,0.432735716,20.0,0.191878,-0.191990262
PPIE,4556.0,0.446406574,56.0,-0.114526,0.406521114
PPIL1,1921.0,0.453832883,252.0,0.216193,-0.736982518
PPP1R14B,282.0,0.457456004,268.0,-0.856815,0.234364026
PRC1,1136.0,0.367783806,234.0,0.328679,-0.589210475
PRCC,357.0,0.381841119,290.0,-0.004414,-0.196283141
PRDX1,303.0,0.414090753,341.0,0.25762,0.095805963
PRDX6,944.0,0.433706552,51.0,-0.242956,0.461239145
PREB,658.0,0.378530018,403.0,-0.186496,-0.137920413
PREP,579.0,0.425974009,233.0,-0.476818,-0.223385704
PRG4,784.0,0.366727173,51.0,2.20453,-0.002162914
PRIM2,1166.0,0.350864643,125.0,0.110387,0.173340069
PRKAB1,1305.0,0.365943644,289.0,0.23224,0.253347182
PRKAR2A,5019.0,0.427443141,254.0,0.341454,0.304652601
PRKCB,5795.0,0.38010529,197.0,0.244766,0.352625152
PRKCD,451.0,0.404392693,469.0,0.23047,0.052260188
PRKRA,683.0,0.420894136,659.0,-0.449544,-0.012413337
PRKRIP1,3224.0,0.453589322,55.0,0.171471,-0.839387
PRMT5,393.0,0.386451423,508.0,0.179818,0.081020199
PRMT7,3655.0,0.450088803,850.0,-0.275076,-0.153611158
PROCR,549.0,0.357872186,218.0,0.443446,0.168112138
PRPS1,3908.0,0.466551451,409.0,0.536085,0.186552244
PRPSAP1,2056.0,0.390811115,688.0,0.530478,0.487061652
PRRC1,3173.0,0.409170839,188.0,0.739123,-0.058152202
PSMA5,2997.0,0.446573967,225.0,0.36254,0.283911472
PSMA6,187.0,0.423632682,445.0,0.241108,0.262171505
PSMB10,58.0,0.455018511,128.0,0.438849,0.569236986
PSMB2,3775.0,0.389848815,412.0,0.108105,0.23534152
PSMB8,242.0,0.411206622,522.0,0.640366,0.335613352
PSMB9,5497.0,0.431095699,69.0,1.054605,0.493619472
PSMC3,66.0,0.485654947,194.0,0.25167,0.212984518
PSMD11,2567.0,0.390095635,61.0,1.015776,0.286768928
PSMD13,384.0,0.437236365,242.0,0.219054,0.22083058
PSMD8,450.0,0.458928351,52.0,0.223697,0.230465964
PSME2,53.0,0.443656162,65.0,5e-05,-0.055203504
PSMG1,5308.0,0.427553471,578.0,-0.474946,-0.123853871
PSTPIP2,1923.0,0.429639796,96.0,-1.296594,-0.309358054
PTBP1,1504.0,0.473818895,106.0,0.189854,0.205805917
PTDSS1,3765.0,0.367954205,423.0,-0.249357,0.420974634
PTGS1,3346.0,0.37260918,633.0,0.313571,0.125610233
PTP4A1,3419.0,0.421202001,1153.0,0.235858,-0.232748885
PTPMT1,1899.0,0.450492628,193.0,-0.268423,0.129987977
PTPN18,2185.0,0.381656528,101.0,0.332559,-0.551372212
PTPN7,1593.0,0.440747449,781.0,0.682986,0.691302801
PTPRE,2994.0,0.426620112,1843.0,-0.591783,0.324554025
PTPRF,4571.0,0.452810321,356.0,0.340147,-0.354250322
PTRH2,3186.0,0.370743372,1544.0,0.329901,-0.528701793
PWWP2B,819.0,0.424412275,29.0,-0.799015,-0.009949103
PYCR2,578.0,0.474148407,230.0,0.061822,-0.096678677
PYGL,175.0,0.392036998,127.0,-0.251275,0.821640032
QARS,97.0,0.458996209,396.0,-0.149183,-0.019300508
RAB11FIP1,4277.0,0.380614122,56.0,1.596191,-0.365734287
RAB12,1120.0,0.38483812,283.0,-0.757548,0.144150773
RAB21,5246.0,0.435367738,267.0,0.390168,0.1562533
RAB31,3231.0,0.437498832,175.0,1.510055,0.375773928
RAB35,2172.0,0.408841719,189.0,0.398735,-0.455814039
RAB7A,1376.0,0.419395127,232.0,0.276797,0.26779893
RAB8B,4163.0,0.425956778,96.0,0.648109,-0.326039923
RAB9A,1716.0,0.417525007,283.0,0.223966,0.375137327
RABGGTA,77.0,0.387342734,512.0,-0.16419,0.338105892
RABGGTB,440.0,0.409412379,78.0,-0.390485,-0.016218913
RABIF,4760.0,0.447399225,159.0,0.100792,0.473556103
RACGAP1,1895.0,0.366370127,354.0,0.435282,-0.590833624
RAD9A,924.0,0.444046557,185.0,-0.340303,0.154917486
RAE1,1112.0,0.432613552,365.0,0.086301,0.061992863
RAI1,1472.0,0.455620822,469.0,-0.183739,0.032244191
RAN,2043.0,0.442855294,361.0,0.155396,-0.065372173
RANBP10,3359.0,0.379453562,1256.0,-0.126598,-0.016806642
RANGAP1,3145.0,0.481547647,765.0,-0.099973,0.032154897
RAPGEF1,2727.0,0.425793135,159.0,-0.25854,0.150192943
RARS,114.0,0.423508657,41.0,0.659658,0.038192073
RASGRP2,183.0,0.381671176,582.0,-0.573596,0.555909722
RBBP4,6506.0,0.404056961,164.0,0.089038,-0.142495307
RBBP5,3098.0,0.421849625,474.0,0.259325,-0.29268647
RBKS,251.0,0.392307233,1371.0,0.390675,-0.060857061
RBM12,3599.0,0.375183789,304.0,0.557307,-0.14263908
RBM14,3443.0,0.468008211,139.0,0.039812,-0.413254828
RBM4B,5277.0,0.396841232,170.0,0.442998,0.69848979
RBMX,1201.0,0.353737079,210.0,0.081905,-0.340887166
RBPJ,4223.0,0.4178224,518.0,0.187769,0.561017078
RBX1,821.0,0.46562919,52.0,0.120059,0.707867064
RC3H1,7637.0,0.410085914,87.0,0.454475,-0.963404528
RCCD1,1773.0,0.374130224,280.0,-0.006971,0.277868716
RCOR1,4070.0,0.439565312,228.0,0.192694,0.016377765
REEP4,591.0,0.460338979,469.0,-1.10387,-1.428217207
REEP5,2962.0,0.457536941,144.0,-0.03859,-1.003141432
RELB,408.0,0.418226182,131.0,-0.22341,0.361563461
REPIN1,2683.0,0.45080531,489.0,0.074256,-0.768896211
RFC4,89.0,0.411167541,282.0,0.511051,-0.034488475
RFK,1882.0,0.429285662,357.0,0.183512,0.462251295
RFX5,1546.0,0.386685917,221.0,0.691832,-0.563584813
RFXAP,1850.0,0.421314391,156.0,-0.621434,0.091430761
RHBDF2,740.0,0.423256567,294.0,0.420534,-0.998658527
RHOT2,568.0,0.454546166,881.0,-0.328491,0.233862223
RINL,1279.0,0.357351373,413.0,-0.022987,0.598639006
RNASE2,179.0,0.384567964,71.0,0.89074,0.401715057
RNASEH1,4369.0,0.404567903,700.0,0.047569,-0.018778905
RNASEH2B,3930.0,0.37625722,399.0,-0.434306,-0.352953511
RNASET2,1070.0,0.374792559,407.0,-0.231854,0.271106493
RNF114,1751.0,0.459950313,36.0,0.108188,-0.249502486
RNF167,289.0,0.375291206,776.0,-0.228965,-1.220532991
RNF20,5226.0,0.396317502,92.0,-0.187879,-0.195964438
RNF213,5288.0,0.417718743,150.0,1.704604,0.278774478
RNF216,2819.0,0.430061571,259.0,0.109981,0.297019173
RNF25,102.0,0.375620157,88.0,0.325201,-0.065233231
RNF31,88.0,0.389352607,358.0,0.163369,0.330365268
RNLS,1252.0,0.416402283,135.0,0.231854,0.630343653
RNMT,4581.0,0.415128602,241.0,-0.563057,-0.058226812
RNPEP,463.0,0.447181346,896.0,0.53622,0.101909872
RP9,437.0,0.42869019,18.0,-0.358414,-0.404069559
RPA1,2907.0,0.381710028,170.0,-0.154259,-0.154205411
RPA2,639.0,0.400070522,793.0,-0.168289,0.189781452
RPAIN,471.0,0.394698889,570.0,-0.433131,0.692988097
RPL11,461.0,0.442317923,45.0,-0.548487,-0.170210253
RPL14,5208.0,0.496792394,133.0,-0.731441,-0.254518592
RPL23,3146.0,0.464880603,90.0,0.354695,-0.021247341
RPL26,53.0,0.427802183,389.0,-0.821376,-2.010729642
RPL31,1260.0,0.451994935,87.0,-0.494074,-0.582503382
RPL34,1350.0,0.436455219,198.0,-0.797392,-1.371815434
RPL5,1058.0,0.451564158,75.0,-0.56182,-0.116679132
RPL7,1077.0,0.460258279,707.0,-0.634882,0.155936459
RPS11,373.0,0.483080585,92.0,-0.476969,-0.148159679
RPS24,4247.0,0.430653047,142.0,-0.953923,-0.232609814
RPS25,109.0,0.467193878,63.0,-0.723854,-0.865920449
RPS27A,743.0,0.450449292,321.0,-0.629295,-0.672714041
RPS3A,306.0,0.426765211,80.0,-0.437067,-0.278351049
RPS4X,629.0,0.442998752,96.0,-0.737802,0.079891749
RPS6,2723.0,0.413925579,42.0,-0.756803,-0.790111561
RPS6KA1,828.0,0.389798854,163.0,0.330916,-0.090235444
RPS6KA4,735.0,0.38455359,226.0,-0.232802,0.161682615
RPS7,66.0,0.428822459,109.0,-1.118796,-0.462650963
RPTOR,2341.0,0.385169267,805.0,0.579654,0.134925018
RREB1,3012.0,0.456825357,492.0,0.369201,-1.013728927
RRM1,2304.0,0.437568848,689.0,0.188431,-0.174924035
RRP8,5071.0,0.446233376,148.0,0.005612,-0.148809508
RRS1,978.0,0.468289248,104.0,-0.970303,-0.46088916
RTN3,1690.0,0.358048129,187.0,-0.042941,-0.224762616
RTN4IP1,1108.0,0.372133716,477.0,0.348901,0.003852899
RUNX1,4334.0,0.416076551,1578.0,0.759155,0.562310568
RUNX3,2611.0,0.405217602,439.0,-0.218211,0.482012361
RWDD1,6365.0,0.401367905,746.0,-0.025644,0.302300335
S100A8,71.0,0.444112716,170.0,-0.700251,-1.622085446
S100A9,189.0,0.439508357,43.0,-1.372089,-2.141004907
SAMD9,1815.0,0.395660052,270.0,0.905421,0.611554203
SAMD9L,1162.0,0.396305952,1248.0,0.599791,0.368051274
SAMM50,150.0,0.345249646,197.0,-0.208315,0.122546151
SAMSN1,684.0,0.407246581,430.0,0.368135,0.53181733
SAP18,1754.0,0.427429047,39.0,-0.354093,-1.273183704
SAP30BP,1541.0,0.449617255,257.0,0.565363,0.011947323
SAR1A,5213.0,0.411769389,203.0,-0.324356,0.208859601
SAR1B,5806.0,0.392367964,253.0,0.766663,0.326306291
SARS,1054.0,0.40098191,100.0,0.154853,0.092088942
SASH3,1369.0,0.387406112,182.0,0.517273,0.85403557
SCAMP4,1741.0,0.472519575,351.0,0.095633,0.24891715
SCO1,8645.0,0.407339367,61.0,-0.459938,0.009192076
SDCCAG8,307.0,0.360606297,1542.0,0.126346,-0.995097284
SEC11C,205.0,0.423646802,92.0,-0.016706,0.030487376
SEC13,332.0,0.457264526,210.0,-0.096573,0.065914252
SEC14L1,2986.0,0.420320088,665.0,0.532607,-0.132999064
SEC22A,2559.0,0.422343815,79.0,0.133182,-0.228040211
SEC24B,1221.0,0.400931805,155.0,-0.065456,0.206186078
SEC24D,2115.0,0.386600041,297.0,0.051622,0.359599462
SEC61B,270.0,0.404562259,76.0,-0.370077,-0.68829439
SEMA3F,960.0,0.38837398,318.0,0.47135,0.507257917
SEMA4A,755.0,0.412797256,345.0,-0.06093,0.20628247
SEMA4D,2318.0,0.393173667,572.0,0.383391,-0.530866866
SERPINA1,1707.0,0.420489385,573.0,4.224579,0.533731564
SERPINB8,2096.0,0.38524815,520.0,0.267595,0.968654952
SETMAR,321.0,0.414235412,398.0,-0.582665,0.025380611
SEZ6L2,540.0,0.431800162,245.0,-0.945327,-0.174185247
SF1,2419.0,0.374481437,721.0,0.108902,-0.180733841
