,3prime,tAI,max_5_UTR_length,TCGA-BH-A18Q,TCGA-BH-A18Q.1
ICAM1,1537.0,0.426062071,319.0,0.551146,0.473713698
IER3IP1,3342.0,0.438740024,97.0,0.038059,0.018138186
IFI16,254.0,0.415211655,290.0,0.865969,1.098567639
IFI30,213.0,0.431523306,62.0,-0.194655,-0.479634404
IFI35,160.0,0.418462024,223.0,-0.534379,0.320198398
IFI44,267.0,0.403888008,124.0,2.167667,0.910927024
IFI44L,5058.0,0.403608012,200.0,2.580868,1.231566775
IFIH1,121.0,0.412344512,377.0,1.008296,0.368120564
IFIT1,2775.0,0.411248073,495.0,0.676221,0.317431014
IFIT2,1901.0,0.420797646,175.0,1.497328,0.600246318
IFIT3,843.0,0.417440574,529.0,1.053862,0.310103385
IFIT5,2354.0,0.414819429,231.0,0.311151,0.281597944
IFITM1,159.0,0.431550176,180.0,0.074302,-0.01828734
IFT27,109.0,0.4030938,426.0,-0.504269,0.008578731
IGFBP3,1605.0,0.43060006,132.0,-1.78768,-0.612460772
IGFBP7,558.0,0.392734536,34.0,-1.329898,-0.209597392
IKBKE,745.0,0.435100597,714.0,-0.495368,0.261947151
IL16,3965.0,0.367979445,2395.0,-0.409379,0.857749256
IL17RA,5874.0,0.376798811,133.0,0.748827,-0.625427028
IL1RN,1145.0,0.411881061,408.0,-1.521039,-0.48370748
IL4I1,16.0,0.4139018,621.0,-0.339103,-0.366530449
ILF2,656.0,0.426220446,239.0,1.161623,-0.010182743
IMPA2,2898.0,0.383680893,242.0,0.644047,-0.5728931
INO80,5209.0,0.374025479,351.0,-0.163356,-0.684051815
INPP1,263.0,0.395712795,700.0,0.493972,0.774145119
INPP5D,1195.0,0.436077769,512.0,-0.119958,0.739981447
INSR,4801.0,0.380857973,411.0,0.639457,0.352665623
IPO5,2508.0,0.381335948,180.0,1.013881,0.216269625
IRF7,92.0,0.423538356,367.0,-0.518705,0.602258477
IRF8,1327.0,0.384714127,507.0,0.163348,0.711607606
IRF9,369.0,0.432057622,127.0,0.361343,0.721727578
IRGQ,7659.0,0.399674011,156.0,0.011228,-0.355632712
ISCU,607.0,0.454630229,1331.0,-0.360297,-0.010139078
ISG15,62.0,0.419522688,77.0,-0.653866,-1.121908369
ISG20,952.0,0.419932377,2368.0,0.083353,0.666815451
ISOC1,1056.0,0.418535314,18.0,0.157192,-0.169731676
ITGB2,415.0,0.457304004,395.0,0.069397,0.489390093
ITPKB,2981.0,0.440250717,340.0,3.16028,0.979339324
ITPRIP,5382.0,0.396785481,453.0,-0.216044,0.419269657
JUNB,496.0,0.414023332,276.0,-0.647973,0.168554116
JUP,157.0,0.458302936,298.0,-0.025943,0.269007046
KANK2,2291.0,0.394238955,361.0,-0.20973,-0.029377791
KARS,4202.0,0.383913431,144.0,0.792174,0.431180953
KDM1A,327.0,0.428444011,149.0,0.475874,-0.040795458
KDM2A,3716.0,0.372295488,864.0,0.276404,0.122234115
KDM2B,2488.0,0.393022165,407.0,0.60454,0.05921175
KDM3B,1327.0,0.37791414,200.0,0.713542,0.327433571
KDM4A,1148.0,0.378142374,166.0,-0.093571,-0.183957671
KHSRP,1024.0,0.456900489,110.0,0.564368,-0.028789994
KIAA2013,727.0,0.385456054,191.0,-0.178176,-0.082115664
KIF20A,757.0,0.371463873,496.0,1.76515,-0.14247871
KIF22,75.0,0.392489541,388.0,0.504152,-0.060983433
KIF2C,588.0,0.387865377,395.0,1.324027,0.042733571
KIF3B,3792.0,0.390782105,180.0,-0.279296,-0.245899848
KIF3C,2392.0,0.403852971,657.0,0.215082,-0.639669588
KIF5B,3198.0,0.418236129,470.0,0.179997,0.087746558
KLHL7,3616.0,0.41595405,521.0,0.134994,-0.059437881
KTI12,594.0,0.370414154,39.0,-0.481189,0.242959531
LAMP1,1311.0,0.390985106,281.0,0.36003,0.10514104
LANCL2,2422.0,0.433733517,578.0,0.074547,-0.435578333
LAP3,503.0,0.426841798,162.0,0.322755,0.494987551
LDHD,1826.0,0.398770776,52.0,0.096134,0.081710515
LENG1,560.0,0.445950324,48.0,-0.552702,-0.573074956
LGALS3,159.0,0.420172221,88.0,-0.395404,-0.217580895
LGALS3BP,1225.0,0.419930622,179.0,0.582201,0.282637349
LGALS9,641.0,0.410654931,118.0,0.043555,0.366186272
LIN54,4893.0,0.441729058,383.0,-0.038062,0.010981601
LPCAT1,2228.0,0.380803123,133.0,-1.183238,-0.062193526
LPCAT4,239.0,0.432241557,94.0,-0.888204,0.15169724
LPXN,1776.0,0.432350833,254.0,1.561098,0.635079187
LRPPRC,2376.0,0.377375074,58.0,-0.276492,-0.125907694
LRRC25,843.0,0.434491636,642.0,-0.119259,0.173075522
LRRC41,465.0,0.438391248,44.0,0.227391,-0.16713194
LRRC59,1755.0,0.423067849,236.0,0.01933,-0.459719097
LSM1,486.0,0.409616526,410.0,-0.359393,0.159992609
LSM6,1871.0,0.435100303,139.0,0.065583,0.688903821
LTA4H,391.0,0.355044638,145.0,-0.474088,-0.226335486
LYN,4058.0,0.418972994,282.0,1.448042,0.899522362
LYPLAL1,1137.0,0.3973742,157.0,0.054298,0.060413527
LYRM4,6830.0,0.366844497,217.0,-0.468639,0.110716667
LYSMD2,596.0,0.394037378,501.0,0.479844,0.374747217
M6PR,1457.0,0.379162834,275.0,0.494902,0.223960246
MAD2L1,4528.0,0.407191351,124.0,0.222318,-0.050553024
MAFB,2032.0,0.405989564,390.0,-1.050641,-1.178665069
MAGED2,327.0,0.466698843,233.0,-2.021217,-1.193568325
MAGOH,153.0,0.416054235,162.0,-0.063964,0.337524412
MAN2B1,128.0,0.381728903,76.0,0.380391,0.098310868
MANF,717.0,0.420319188,97.0,-0.264369,0.241073866
MAP4K1,170.0,0.374128007,140.0,0.624627,0.739252327
MARCKSL1,768.0,0.468216312,206.0,0.67043,0.000272198
MAX,2676.0,0.337149475,479.0,-0.475538,-0.425373835
MBD2,3723.0,0.420256858,229.0,0.321457,0.705553403
MBP,4041.0,0.393290432,264.0,0.64363,-0.004065829
MCM2,662.0,0.460999542,110.0,2.239859,-0.074511445
MCM4,2618.0,0.371821308,942.0,1.114451,-0.112053432
MCM5,3214.0,0.470488076,94.0,2.039451,0.031223
MDC1,658.0,0.415783633,440.0,0.865977,0.022051857
MDH1,210.0,0.381672323,435.0,0.309579,-0.327362365
ME1,1535.0,0.411214685,265.0,0.583188,0.326290904
ME3,171.0,0.395156177,377.0,0.436645,0.451080409
MECR,1365.0,0.445670958,612.0,0.16278,0.062779005
MED17,2631.0,0.366528813,275.0,0.06852,0.404088972
MED19,934.0,0.439623042,93.0,-1.268348,0.050928778
MED28,10307.0,0.440157501,27.0,-0.414874,-0.185374412
MED29,4550.0,0.464327351,57.0,-0.241996,-0.197185436
MEF2C,6848.0,0.41426337,654.0,1.048413,0.536943215
MEN1,824.0,0.454590692,504.0,-0.367757,0.008769784
METTL13,961.0,0.396264071,347.0,0.33685,-0.165876424
MGST3,1295.0,0.374563048,428.0,0.123138,-0.364171696
MIF4GD,787.0,0.397877071,137.0,-0.101551,0.359716719
MINK1,774.0,0.455972684,525.0,0.19872,-0.243986482
MIS12,1334.0,0.420723459,745.0,-0.119755,-0.253488273
MLEC,5319.0,0.43043384,173.0,-0.091211,0.159327457
MLX,1636.0,0.386664187,65.0,0.042915,0.165358757
MMACHC,1852.0,0.382684622,371.0,0.198377,0.721299079
MMADHC,5382.0,0.406207656,205.0,-0.347666,-0.115006676
MMGT1,4451.0,0.406300672,388.0,1.054352,0.205479169
MMP1,502.0,0.392399458,189.0,-0.429629,-0.135503574
MMP14,1722.0,0.419367787,285.0,-0.575687,0.235968115
MMP9,193.0,0.404253633,19.0,-1.129411,-0.768643061
MORC3,2052.0,0.406702124,375.0,0.327918,0.459775027
MORF4L1,1066.0,0.420719378,454.0,0.26473,0.439442046
MOV10,619.0,0.412681236,1415.0,-0.062058,-0.11392941
MPDU1,797.0,0.440676037,216.0,-0.881781,-0.235729163
MPHOSPH10,87.0,0.404440607,352.0,0.051339,-0.186675728
MRI1,2018.0,0.459301832,75.0,-0.174331,-0.548901345
MRPL13,1075.0,0.395373051,313.0,0.548684,0.391949452
MRPL15,1888.0,0.407701507,63.0,-0.053625,0.221405105
MRPL16,212.0,0.368940255,214.0,-0.879994,0.24958235
MRPL17,6554.0,0.424450505,105.0,-0.987532,0.476021451
MRPL2,580.0,0.458698472,164.0,0.410562,0.268878212
MRPL20,187.0,0.445765675,96.0,-0.804025,-0.005406345
MRPL21,55.0,0.417448467,293.0,-1.068151,0.295386088
MRPL27,2133.0,0.436300758,31.0,-0.353366,0.310804524
MRPL40,113.0,0.406843086,653.0,-0.244845,-0.062393366
MRPL46,1889.0,0.422788385,25.0,-0.260453,0.281184444
MRPL48,1284.0,0.368940255,212.0,0.01628,-0.538363895
MRPL51,2069.0,0.35376587,169.0,0.400712,-0.125258596
MRPL53,198.0,0.441261883,155.0,-1.024726,0.026129006
MRPL9,407.0,0.432679379,437.0,-0.147489,0.362301215
MRPS11,2793.0,0.477818717,1491.0,-0.081991,0.206003615
MRPS15,468.0,0.440649404,164.0,-0.581125,-0.023953718
MRPS17,1334.0,0.413812124,30.0,-0.776119,0.443048726
MRPS18B,936.0,0.408462865,157.0,0.263736,0.311646833
MRPS36,933.0,0.3748339,84.0,-0.294216,-0.139716874
MRPS7,453.0,0.455992019,233.0,-0.32195,0.107772159
MSI2,5168.0,0.366385762,173.0,0.493956,-0.187263098
MSTO1,694.0,0.421389639,1152.0,0.608766,-0.297009574
MT1E,291.0,0.588704726,179.0,-0.753411,-0.847029361
MT2A,316.0,0.576670685,123.0,0.144672,-0.283844684
MTA2,684.0,0.459443446,761.0,-0.170046,0.391872494
MTFMT,1550.0,0.414190941,26.0,-0.321497,0.478033307
MTHFS,1663.0,0.434592403,179.0,-0.716524,-0.314602647
MTMR1,2442.0,0.424163835,319.0,0.737939,0.179898678
MTMR14,421.0,0.371137969,151.0,0.178308,0.332867106
MVP,50.0,0.435053297,193.0,-0.479519,0.075450611
MX1,456.0,0.433488503,982.0,1.761276,0.361860227
MX2,1812.0,0.430094961,104.0,0.549176,0.3700147
MYADM,2833.0,0.384589896,681.0,0.477685,-1.143089187
MYCBP,3972.0,0.381803634,73.0,-0.348921,-0.147629773
MYL12A,812.0,0.453450746,478.0,0.072327,-0.210391744
MYO18A,3647.0,0.395788337,484.0,-0.073356,0.085950151
MYO9B,1401.0,0.398943925,152.0,1.214468,0.42607893
N6AMT1,5137.0,0.427535625,28.0,-0.071377,-0.107218432
NAA40,3212.0,0.389371031,261.0,0.531688,0.158749995
NAB1,2433.0,0.361024962,572.0,1.058898,0.413638978
NADK,1672.0,0.3959688,563.0,-0.221208,0.213643809
NADSYN1,464.0,0.447848979,126.0,-0.287803,0.091853409
NAGK,1297.0,0.42527382,474.0,-0.553563,0.072332768
NANS,37.0,0.458552255,132.0,-1.125526,-0.714930147
NAPA,1862.0,0.477781443,318.0,0.786441,0.472846979
NAT10,4915.0,0.387474071,245.0,-0.627058,-0.074044335
NBAS,140.0,0.414580543,44.0,-0.73956,-0.018065033
NCALD,2767.0,0.374888213,460.0,4.182559,2.063266827
NCAPD3,2971.0,0.431957579,606.0,0.62144,0.505609675
NCAPG2,3501.0,0.41630572,200.0,1.114933,0.444149951
NCF1,2381.0,0.415579251,70.0,0.647732,1.054762807
NCK2,1267.0,0.457831152,276.0,1.233619,0.473324174
NCKIPSD,4981.0,0.449411541,126.0,-0.202289,0.121581699
NCOA5,1332.0,0.416761948,402.0,0.144254,-0.196144142
NCOA7,3259.0,0.404217869,470.0,2.081498,0.565270493
NDC80,61.0,0.356199389,182.0,1.44142,0.121008951
NDRG2,841.0,0.376266446,941.0,2.677241,1.144135941
NDUFA4,1685.0,0.439642808,129.0,-0.201653,-0.038734793
NEU1,667.0,0.413226082,156.0,-0.045932,0.118881884
NFATC2IP,3242.0,0.412267479,15.0,0.216619,0.353985108
NFKB1,708.0,0.4099683,467.0,-0.295767,0.027169194
NFKB2,153.0,0.424806573,563.0,-0.498112,-0.100849449
NFKBIE,1053.0,0.409138176,25.0,-0.115439,0.001962813
NGDN,1255.0,0.423783924,27.0,-0.455178,-0.042310179
NGRN,1679.0,0.414477409,50.0,0.060718,0.12154773
NINJ1,5217.0,0.455972644,71.0,-1.02816,0.189030419
NIP7,1593.0,0.443769116,318.0,0.801905,0.15195868
NIT2,2351.0,0.432361565,74.0,0.127072,-0.03466627
NMNAT3,2689.0,0.397393877,1228.0,0.503362,0.28759093
NMT1,3377.0,0.454689408,31.0,0.246826,0.002257872
NONO,1092.0,0.432928506,710.0,-0.2304,-0.029758685
NOP14,912.0,0.38067473,187.0,0.131941,-0.070071522
NOP2,785.0,0.393538298,198.0,0.640799,-0.09344287
NOTCH2,6062.0,0.409327653,297.0,0.845495,-0.253154827
NPTN,1068.0,0.388989686,197.0,0.145202,-0.565520757
NR2C2,6271.0,0.390767743,362.0,0.875115,0.422660509
NRBF2,883.0,0.43605128,224.0,-0.231232,0.238485918
NRF1,1901.0,0.447602651,500.0,-0.14502,0.187674739
NRGN,833.0,0.413631862,152.0,-0.562898,-1.125180189
NRP1,3846.0,0.416817106,523.0,0.381324,0.223427688
NSFL1C,1587.0,0.42738001,868.0,0.090112,-0.124873534
NSMAF,602.0,0.358586884,214.0,0.179798,0.216135386
NTAN1,178.0,0.344459601,320.0,0.270334,0.278600332
NUBP1,246.0,0.455923678,142.0,-0.237519,-0.019286139
NUCKS1,5461.0,0.359398328,271.0,0.466564,-1.250097316
NUDC,716.0,0.476401948,127.0,-0.127226,-0.172396671
NUDT16,5489.0,0.428387545,75.0,0.273268,0.291932467
NUMA1,663.0,0.474508115,436.0,-0.202769,-0.334553935
NUP93,5678.0,0.382018893,495.0,1.395179,0.346618482
NXF1,2943.0,0.375826754,136.0,-0.164461,0.213014281
OCIAD2,4872.0,0.363821488,322.0,-0.411534,-0.213945426
OGDH,1071.0,0.396078149,159.0,-0.279465,0.093575481
OPA3,7233.0,0.475004358,100.0,0.012922,-1.052100683
OSBPL2,2363.0,0.383456763,571.0,0.508059,0.142982746
OSBPL5,1099.0,0.381371042,158.0,-0.653083,0.090336024
OVCA2,792.0,0.429983078,65.0,-0.25494,0.026157976
P2RX4,573.0,0.442596273,304.0,-1.055689,-0.073552867
PAAF1,509.0,0.376143366,341.0,-0.770517,-0.098475935
PACSIN2,1591.0,0.413490434,405.0,1.527764,0.516645126
PARK7,451.0,0.457171775,163.0,-0.868146,-0.506350001
PARP1,769.0,0.460215809,171.0,0.483902,0.051405277
PARP10,332.0,0.422654659,200.0,0.579685,0.263764418
PARP12,816.0,0.416480622,874.0,-0.731757,0.277526833
PARP14,2243.0,0.414355918,59.0,1.215974,0.814877122
PARP9,451.0,0.418102187,327.0,1.194036,0.75178313
PARVG,2043.0,0.383803232,484.0,0.587192,0.819926367
PBK,750.0,0.413339119,464.0,0.264675,-0.327029497
PCNA,338.0,0.425000199,239.0,1.318705,-0.013704116
PDAP1,2007.0,0.464659554,134.0,-0.440837,-0.572825067
PDCD2,155.0,0.440448783,111.0,0.021157,0.46947541
PDCD2L,48.0,0.433436103,33.0,-0.344282,-0.263928353
PDCD6IP,3211.0,0.388727459,158.0,-0.119299,-0.112052202
PDHA1,2054.0,0.402514578,145.0,0.005103,0.180793903
PDHB,2974.0,0.442593378,43.0,-0.733725,0.083569319
PDLIM1,357.0,0.379179626,233.0,0.023846,-0.25676863
PDXDC1,2055.0,0.375670185,335.0,0.100829,-0.526659666
PDXK,6244.0,0.398158884,198.0,0.399023,0.125380986
PEBP1,796.0,0.360152166,326.0,0.315439,-0.075579118
PEF1,769.0,0.441759403,424.0,-0.071817,-0.021705456
PELO,5222.0,0.385240523,985.0,-0.334816,0.202143178
PEPD,395.0,0.450896903,133.0,-0.303582,0.323769792
PEX16,585.0,0.43213601,312.0,-0.834533,0.197967443
PEX6,946.0,0.370078344,93.0,-0.242848,-0.151515699
PEX7,2294.0,0.407005497,102.0,-0.322193,-0.119165378
PFDN5,124.0,0.497062947,117.0,-0.572662,0.150714543
PFDN6,574.0,0.470152145,222.0,-0.189102,0.09619793
PGM1,570.0,0.393980016,681.0,-0.652691,-0.199872836
PHB,988.0,0.45268542,190.0,0.340568,0.249419346
PHF10,104.0,0.365149381,79.0,0.573447,-0.29043147
PI4K2A,2692.0,0.385068362,57.0,-0.258039,0.183576645
PIAS1,3626.0,0.396022529,741.0,0.153069,0.501809452
PIK3AP1,3866.0,0.407313024,128.0,-0.037282,0.309439209
PIR,205.0,0.385796208,485.0,0.190156,-0.330340719
PITPNC1,4686.0,0.369070722,874.0,-0.360027,-0.542497776
PLA2G4C,585.0,0.406173977,398.0,0.727344,-0.321574931
PLA2G7,1187.0,0.402486321,269.0,0.258098,-0.708686609
PLAUR,323.0,0.418467601,226.0,-1.097959,-0.253952972
PLCB2,818.0,0.468984469,301.0,0.63181,0.590393221
PLCG1,3987.0,0.454806205,121.0,0.42035,0.199192211
PLD4,273.0,0.377985619,192.0,0.529819,1.265787734
PLEKHO1,5192.0,0.424698037,839.0,-0.053402,0.197582939
PLEKHO2,2119.0,0.429714475,134.0,-0.237215,0.195841898
PLSCR1,10376.0,0.415598704,388.0,1.44965,1.122611939
PML,3324.0,0.431306474,140.0,1.191551,1.001623107
POLR1C,1131.0,0.439933821,86.0,0.387094,0.021244271
POLR1D,1469.0,0.427162265,456.0,-0.176446,-0.168299069
POLR2F,1600.0,0.47244007,250.0,0.895155,0.18670945
POLR2H,1065.0,0.427596015,1167.0,0.12327,-0.419856348
POLR3H,3481.0,0.444306047,388.0,0.379882,0.409573327
POLR3K,1023.0,0.473025152,46.0,-0.261625,0.35545323
PPA2,660.0,0.432735716,20.0,-0.624021,-0.388172284
PPIE,4556.0,0.446406574,56.0,-0.127331,-0.057757199
PPIL1,1921.0,0.453832883,252.0,0.3309,-0.332295495
PPP1R14B,282.0,0.457456004,268.0,-0.538374,-0.392129963
PPP1R3G,2923.0,0.390061911,0.0,-1.338925,-1.007154949
PRC1,1136.0,0.367783806,234.0,1.557314,-0.034844074
PRCC,357.0,0.381841119,290.0,-0.063571,-0.117493474
PRDX1,303.0,0.414090753,341.0,-0.159408,-0.363528982
PRDX6,944.0,0.433706552,51.0,0.161128,-0.107206028
PREB,658.0,0.378530018,403.0,-0.958857,-0.197617832
PREP,579.0,0.425974009,233.0,1.129861,0.089341761
PRG4,784.0,0.366727173,51.0,-0.136637,-0.176079461
PRIM2,1166.0,0.350864643,125.0,1.549576,0.558650311
PRKAB1,1305.0,0.365943644,289.0,-0.490373,0.005400697
PRKAR2A,5019.0,0.427443141,254.0,0.374319,0.16960615
PRKCB,5795.0,0.38010529,197.0,0.042551,0.61438704
PRKCD,451.0,0.404392693,469.0,-1.007955,-0.268197928
PRKRA,683.0,0.420894136,659.0,-0.337571,-0.225396974
PRKRIP1,3224.0,0.453589322,55.0,-0.570663,-0.475392805
PRMT5,393.0,0.386451423,508.0,-0.286699,-0.22137363
PRMT7,3655.0,0.450088803,850.0,0.594431,-0.208446674
PROCR,549.0,0.357872186,218.0,-1.099743,0.27391248
PRPS1,3908.0,0.466551451,409.0,-0.704305,-0.226465149
PRPSAP1,2056.0,0.390811115,688.0,1.311088,0.324008186
PRRC1,3173.0,0.409170839,188.0,0.142726,-0.379032936
PSMA5,2997.0,0.446573967,225.0,-0.507862,-0.120449091
PSMA6,187.0,0.423632682,445.0,-0.368707,-0.207579425
PSMB10,58.0,0.455018511,128.0,0.809024,0.669913092
PSMB2,3775.0,0.389848815,412.0,0.378202,-0.096502093
PSMB8,242.0,0.411206622,522.0,1.318581,0.35442259
PSMB9,5497.0,0.431095699,69.0,1.528083,0.354255715
PSMC3,66.0,0.485654947,194.0,-0.423713,-0.147220739
PSMD11,2567.0,0.390095635,61.0,-0.384295,0.043531577
PSMD13,384.0,0.437236365,242.0,-0.531937,0.053912252
PSMD8,450.0,0.458928351,52.0,-0.202088,-0.019700651
PSME2,53.0,0.443656162,65.0,-0.004674,0.11404908
PSMG1,5308.0,0.427553471,578.0,0.794983,0.012619042
PSTPIP2,1923.0,0.429639796,96.0,1.061069,0.066869864
PTBP1,1504.0,0.473818895,106.0,0.304058,-0.037700816
PTDSS1,3765.0,0.367954205,423.0,0.962557,-0.841390762
PTGS1,3346.0,0.37260918,633.0,-0.859316,-0.02937208
PTP4A1,3419.0,0.421202001,1153.0,0.041225,0.009915647
PTPMT1,1899.0,0.450492628,193.0,-0.538013,0.266240048
PTPN18,2185.0,0.381656528,101.0,-0.743406,-0.036493732
PTPN7,1593.0,0.440747449,781.0,0.711208,0.282967881
PTPRE,2994.0,0.426620112,1843.0,-0.566936,0.675221232
PTPRF,4571.0,0.452810321,356.0,0.836707,-0.080857225
PTRH2,3186.0,0.370743372,1544.0,0.026564,-0.626490938
PWWP2B,819.0,0.424412275,29.0,-1.01875,-0.446296549
PYCR2,578.0,0.474148407,230.0,0.073504,-0.388224385
PYGL,175.0,0.392036998,127.0,-2.144394,-0.593295329
QARS,97.0,0.458996209,396.0,-0.208817,0.046644792
RAB11FIP1,4277.0,0.380614122,56.0,-0.695829,-0.440753363
RAB12,1120.0,0.38483812,283.0,0.996992,0.61611389
RAB21,5246.0,0.435367738,267.0,-0.345817,-0.072986814
RAB31,3231.0,0.437498832,175.0,-1.517499,-0.439880353
RAB35,2172.0,0.408841719,189.0,0.187272,0.115137188
RAB7A,1376.0,0.419395127,232.0,0.476999,0.368745774
RAB8B,4163.0,0.425956778,96.0,-0.271056,-0.331378196
RAB9A,1716.0,0.417525007,283.0,-0.103836,0.087634587
RABGGTA,77.0,0.387342734,512.0,-0.540967,-0.091899239
RABGGTB,440.0,0.409412379,78.0,-0.308299,-0.047533861
RABIF,4760.0,0.447399225,159.0,-0.540319,0.123754459
RACGAP1,1895.0,0.366370127,354.0,0.436882,-0.212258252
RAD9A,924.0,0.444046557,185.0,0.634528,0.587859235
RAE1,1112.0,0.432613552,365.0,0.29953,0.040207643
RAI1,1472.0,0.455620822,469.0,-0.300176,-0.085800436
RAN,2043.0,0.442855294,361.0,0.258441,-0.312024522
RANBP10,3359.0,0.379453562,1256.0,1.208128,0.19769068
RANGAP1,3145.0,0.481547647,765.0,0.848166,0.272744394
RAPGEF1,2727.0,0.425793135,159.0,0.308553,0.395284039
RARS,114.0,0.423508657,41.0,-0.604019,-0.094460502
RASGRP2,183.0,0.381671176,582.0,-0.355651,0.466299091
RASGRP4,985.0,0.374724859,214.0,-0.188724,-2.064572639
RBBP4,6506.0,0.404056961,164.0,0.775593,0.109084135
RBBP5,3098.0,0.421849625,474.0,0.285773,0.401623299
RBKS,251.0,0.392307233,1371.0,-0.965773,-0.126989283
RBM12,3599.0,0.375183789,304.0,0.13997,-0.059204287
RBM14,3443.0,0.468008211,139.0,0.156509,-0.082695257
RBM4B,5277.0,0.396841232,170.0,0.445939,0.214779538
RBMX,1201.0,0.353737079,210.0,0.468435,-0.478939944
RBPJ,4223.0,0.4178224,518.0,-0.294815,0.378274475
RBX1,821.0,0.46562919,52.0,0.28628,-0.243135886
RC3H1,7637.0,0.410085914,87.0,0.420341,-0.020626338
RCCD1,1773.0,0.374130224,280.0,0.825313,0.243525574
RCOR1,4070.0,0.439565312,228.0,-0.00643,-0.128748741
REEP4,591.0,0.460338979,469.0,-0.414647,-1.526033059
REEP5,2962.0,0.457536941,144.0,-0.074453,-0.085015786
RELB,408.0,0.418226182,131.0,-0.415469,0.3211315
REPIN1,2683.0,0.45080531,489.0,-1.666141,-1.071271843
RET,2082.0,0.379562012,357.0,-2.360303,-0.166555353
RFC4,89.0,0.411167541,282.0,1.57587,0.380246462
RFK,1882.0,0.429285662,357.0,-0.956925,0.071007566
RFWD3,2538.0,0.42367162,98.0,1.785063,0.570598335
RFX5,1546.0,0.386685917,221.0,0.698531,0.468545729
RFXAP,1850.0,0.421314391,156.0,0.472638,0.09987758
RHBDF2,740.0,0.423256567,294.0,0.039741,-0.614705432
RHOT2,568.0,0.454546166,881.0,0.237094,0.0542009
RINL,1279.0,0.357351373,413.0,-0.124161,0.303056113
RNASE2,179.0,0.384567964,71.0,-0.100575,-0.316655283
RNASEH1,4369.0,0.404567903,700.0,-0.235304,0.199352002
RNASEH2B,3930.0,0.37625722,399.0,-0.202071,-0.085536984
RNASET2,1070.0,0.374792559,407.0,-1.049006,-0.295418013
RNF114,1751.0,0.459950313,36.0,0.766368,-4.57e-05
RNF167,289.0,0.375291206,776.0,-0.097907,-0.427484873
RNF20,5226.0,0.396317502,92.0,0.018658,-0.018213559
RNF213,5288.0,0.417718743,150.0,0.637677,0.398860101
RNF216,2819.0,0.430061571,259.0,-0.581796,-0.041956139
RNF25,102.0,0.375620157,88.0,-0.891252,-0.23611625
RNF31,88.0,0.389352607,358.0,-0.144126,0.190222993
RNLS,1252.0,0.416402283,135.0,0.293185,0.563133688
RNMT,4581.0,0.415128602,241.0,0.753865,0.311907906
RNPEP,463.0,0.447181346,896.0,-0.68419,-0.199772659
RP9,437.0,0.42869019,18.0,-0.320061,0.426549336
RPA1,2907.0,0.381710028,170.0,1.107814,0.197074845
RPA2,639.0,0.400070522,793.0,-0.157904,0.231472268
RPAIN,471.0,0.394698889,570.0,0.486556,0.165607301
RPL11,461.0,0.442317923,45.0,-0.127853,-0.283636367
RPL14,5208.0,0.496792394,133.0,-0.454462,-1.106318414
RPL23,3146.0,0.464880603,90.0,-0.764702,-0.196951482
RPL26,53.0,0.427802183,389.0,-0.144146,-1.195616101
RPL31,1260.0,0.451994935,87.0,-0.609769,-0.497976055
RPL34,1350.0,0.436455219,198.0,-0.565491,-1.725828415
RPL5,1058.0,0.451564158,75.0,0.349611,0.03435549
RPL7,1077.0,0.460258279,707.0,0.192126,-0.665786339
RPS11,373.0,0.483080585,92.0,0.179508,-0.063989681
RPS24,4247.0,0.430653047,142.0,0.005783,-0.010630343
RPS25,109.0,0.467193878,63.0,0.219607,0.094244926
RPS27A,743.0,0.450449292,321.0,-0.258773,-0.794043244
RPS3A,306.0,0.426765211,80.0,-0.191184,-0.191142303
RPS4X,629.0,0.442998752,96.0,-0.218527,0.005705083
RPS6,2723.0,0.413925579,42.0,0.310375,-0.570038523
RPS6KA1,828.0,0.389798854,163.0,-0.178234,-0.060003782
RPS6KA4,735.0,0.38455359,226.0,-0.880014,-0.057828402
RPS7,66.0,0.428822459,109.0,-0.041523,-0.378800977
RPTOR,2341.0,0.385169267,805.0,0.470657,0.232471419
RREB1,3012.0,0.456825357,492.0,0.19599,-0.002025151
RRM1,2304.0,0.437568848,689.0,0.591424,-0.006034064
RRP8,5071.0,0.446233376,148.0,-0.68135,-0.249738083
RRS1,978.0,0.468289248,104.0,-0.736371,0.052915084
RTN3,1690.0,0.358048129,187.0,0.165052,-1.207136668
RTN4IP1,1108.0,0.372133716,477.0,0.642112,-0.060772965
RUNX1,4334.0,0.416076551,1578.0,-0.015424,0.379945079
RUNX3,2611.0,0.405217602,439.0,1.145921,0.141378638
RWDD1,6365.0,0.401367905,746.0,0.276296,0.027942137
S100A8,71.0,0.444112716,170.0,2.859449,-1.986273927
S100A9,189.0,0.439508357,43.0,3.065,-2.004970386
SAMD9,1815.0,0.395660052,270.0,0.105759,0.297148358
SAMD9L,1162.0,0.396305952,1248.0,0.76163,0.637100215
SAMM50,150.0,0.345249646,197.0,-0.50857,0.153255518
SAMSN1,684.0,0.407246581,430.0,-0.02381,0.48499895
SAP18,1754.0,0.427429047,39.0,-0.491074,-0.709137206
SAP30BP,1541.0,0.449617255,257.0,0.020747,0.06166199
SAR1A,5213.0,0.411769389,203.0,-0.460506,-0.152703714
SAR1B,5806.0,0.392367964,253.0,-1.104109,-0.308761799
SARS,1054.0,0.40098191,100.0,-0.224626,-0.000395388
