,3prime,tAI,max_5_UTR_length,TCGA-A2-A0YG,TCGA-A2-A0YG.1
IFIH1,121.0,0.412344512,377.0,0.239937,-0.02607302
IFIT1,2775.0,0.411248073,495.0,-0.583996,-0.58759801
IFIT2,1901.0,0.420797646,175.0,-0.566995,-0.375989832
IFIT3,843.0,0.417440574,529.0,-0.787251,-0.516880203
IFIT5,2354.0,0.414819429,231.0,-1.167304,-0.388970409
IFT27,109.0,0.4030938,426.0,0.508385,0.26721124
IGFBP3,1605.0,0.43060006,132.0,-1.613972,0.044862162
IGFBP7,558.0,0.392734536,34.0,-0.658979,-0.146293733
IKBKE,745.0,0.435100597,714.0,1.137676,0.669612671
IL16,3965.0,0.367979445,2395.0,-0.74009,-0.189662151
IL1RN,1145.0,0.411881061,408.0,-1.369413,0.010771149
IL4I1,16.0,0.4139018,621.0,-0.556984,-0.394197902
ILF2,656.0,0.426220446,239.0,-0.220641,-0.029885034
IMPA2,2898.0,0.383680893,242.0,-1.088297,-0.708166646
INO80,5209.0,0.374025479,351.0,0.15128,-0.082467478
INPP1,263.0,0.395712795,700.0,-1.335459,-0.18793475
INPP5D,1195.0,0.436077769,512.0,-0.738071,0.090034121
INSR,4801.0,0.380857973,411.0,-0.475635,-0.036098107
IPO5,2508.0,0.381335948,180.0,0.151348,-0.078168218
IRF7,92.0,0.423538356,367.0,-1.415581,-0.244052821
IRF8,1327.0,0.384714127,507.0,-0.648231,-0.098908139
IRF9,369.0,0.432057622,127.0,-0.63989,-0.332731696
IRGQ,7659.0,0.399674011,156.0,0.693076,0.148987555
ISCU,607.0,0.454630229,1331.0,-0.276988,0.088713353
ISG15,62.0,0.419522688,77.0,-0.930581,-1.437230711
ISG20,952.0,0.419932377,2368.0,-0.048255,-0.168721019
ISOC1,1056.0,0.418535314,18.0,0.215153,-0.243633504
ITGB2,415.0,0.457304004,395.0,-1.103807,-0.125013208
ITPKB,2981.0,0.440250717,340.0,-0.687589,-0.079444379
JUNB,496.0,0.414023332,276.0,-0.683988,-0.065527298
JUP,157.0,0.458302936,298.0,-0.323774,-0.261672453
KANK2,2291.0,0.394238955,361.0,-0.050123,0.106226397
KARS,4202.0,0.383913431,144.0,0.451113,0.123863077
KDM1A,327.0,0.428444011,149.0,0.475166,0.258704926
KDM2A,3716.0,0.372295488,864.0,0.424603,-0.127157881
KDM2B,2488.0,0.393022165,407.0,-0.060708,0.247923031
KDM3B,1327.0,0.37791414,200.0,0.784811,0.416954503
KDM4A,1148.0,0.378142374,166.0,0.071991,-0.102274227
KHSRP,1024.0,0.456900489,110.0,-0.138139,-0.318717077
KIAA2013,727.0,0.385456054,191.0,-0.289366,-0.512260394
KIF20A,757.0,0.371463873,496.0,1.913617,0.409996515
KIF22,75.0,0.392489541,388.0,0.612374,0.130765809
KIF2C,588.0,0.387865377,395.0,0.927294,0.322338357
KIF3B,3792.0,0.390782105,180.0,0.820382,0.013450884
KIF3C,2392.0,0.403852971,657.0,0.412681,0.04654329
KIF5B,3198.0,0.418236129,470.0,0.931719,0.118593806
KLHL7,3616.0,0.41595405,521.0,-0.594024,-0.508289939
KTI12,594.0,0.370414154,39.0,-0.482476,0.229884391
LAMP1,1311.0,0.390985106,281.0,0.300888,0.143159369
LANCL2,2422.0,0.433733517,578.0,-0.100922,-0.247559485
LAP3,503.0,0.426841798,162.0,-0.014918,-0.190157037
LDHD,1826.0,0.398770776,52.0,-1.366574,-0.21088636
LENG1,560.0,0.445950324,48.0,-1.094663,-0.051348651
LGALS3,159.0,0.420172221,88.0,-1.302856,-0.201090079
LGALS3BP,1225.0,0.419930622,179.0,1.171429,0.759786262
LGALS9,641.0,0.410654931,118.0,-0.187753,-0.004032063
LIN54,4893.0,0.441729058,383.0,0.389179,0.199277072
LPCAT1,2228.0,0.380803123,133.0,0.9174,0.177820206
LPCAT4,239.0,0.432241557,94.0,-1.042218,-0.23619941
LPXN,1776.0,0.432350833,254.0,-0.810028,-0.086851229
LRPPRC,2376.0,0.377375074,58.0,0.295083,-0.211682147
LRRC25,843.0,0.434491636,642.0,-1.645641,0.009441467
LRRC41,465.0,0.438391248,44.0,-0.463457,-0.569266009
LRRC59,1755.0,0.423067849,236.0,-0.473491,-0.757213325
LSM1,486.0,0.409616526,410.0,-0.293482,0.236983344
LSM6,1871.0,0.435100303,139.0,-0.446707,0.003966178
LTA4H,391.0,0.355044638,145.0,-0.561689,-0.386158742
LYN,4058.0,0.418972994,282.0,-0.650399,-0.14255269
LYPLAL1,1137.0,0.3973742,157.0,0.351848,0.122052499
LYRM4,6830.0,0.366844497,217.0,-0.284934,-0.179329524
LYSMD2,596.0,0.394037378,501.0,-1.097007,-0.358574643
M6PR,1457.0,0.379162834,275.0,0.102175,0.09728399
MAD2L1,4528.0,0.407191351,124.0,1.078844,-0.262468318
MAFB,2032.0,0.405989564,390.0,-0.329858,0.547785612
MAGED2,327.0,0.466698843,233.0,-0.188095,-0.296775701
MAGOH,153.0,0.416054235,162.0,-0.258451,-0.103828726
MAN2B1,128.0,0.381728903,76.0,-0.256852,-0.002884548
MANF,717.0,0.420319188,97.0,0.153634,-0.270349122
MAP4K1,170.0,0.374128007,140.0,-0.884025,0.378399692
MARCKSL1,768.0,0.468216312,206.0,0.651383,0.443226246
MAX,2676.0,0.337149475,479.0,-0.98785,-0.369352536
MBD2,3723.0,0.420256858,229.0,-0.296136,0.150582478
MBP,4041.0,0.393290432,264.0,-1.91505,-0.817083134
MCM2,662.0,0.460999542,110.0,1.328365,0.050084366
MCM4,2618.0,0.371821308,942.0,1.604827,0.289995223
MCM5,3214.0,0.470488076,94.0,0.268198,0.291715983
MDC1,658.0,0.415783633,440.0,0.619524,-0.09978581
MDH1,210.0,0.381672323,435.0,-0.100103,-0.4407555
ME1,1535.0,0.411214685,265.0,0.776244,-0.256824134
ME3,171.0,0.395156177,377.0,-0.638396,-0.174513979
MECR,1365.0,0.445670958,612.0,-0.11993,-0.227609303
MED17,2631.0,0.366528813,275.0,0.201259,0.171739172
MED19,934.0,0.439623042,93.0,-0.714133,-0.521514637
MED28,10307.0,0.440157501,27.0,0.07175,0.323898391
MED29,4550.0,0.464327351,57.0,-0.433267,0.256222172
MEN1,824.0,0.454590692,504.0,-0.186218,-0.284444582
METTL13,961.0,0.396264071,347.0,0.211325,0.2452039
MGST3,1295.0,0.374563048,428.0,2.077674,0.606592357
MIF4GD,787.0,0.397877071,137.0,-0.643027,-0.155777945
MINK1,774.0,0.455972684,525.0,0.117497,-0.173981183
MIS12,1334.0,0.420723459,745.0,-0.405303,-0.218903444
MLEC,5319.0,0.43043384,173.0,0.744154,0.205718473
MLLT10,2252.0,0.36295117,1568.0,0.412623,0.225275618
MMACHC,1852.0,0.382684622,371.0,0.095209,-0.207810427
MMADHC,5382.0,0.406207656,205.0,0.161923,0.244572689
MMGT1,4451.0,0.406300672,388.0,0.125631,0.267114716
MMP1,502.0,0.392399458,189.0,2.499172,-0.04316653
MMP14,1722.0,0.419367787,285.0,-0.588028,0.22506064
MMP9,193.0,0.404253633,19.0,-0.093655,-0.490257886
MORC3,2052.0,0.406702124,375.0,0.202788,0.220846922
MORF4L1,1066.0,0.420719378,454.0,-0.091811,0.152803957
MOV10,619.0,0.412681236,1415.0,0.112634,0.211412392
MPDU1,797.0,0.440676037,216.0,-0.117181,0.335171653
MPHOSPH10,87.0,0.404440607,352.0,0.072316,0.145757249
MRI1,2018.0,0.459301832,75.0,0.021234,-0.346596237
MRPL13,1075.0,0.395373051,313.0,0.201137,-0.03642104
MRPL15,1888.0,0.407701507,63.0,0.097881,-0.350158203
MRPL16,212.0,0.368940255,214.0,-0.658612,-0.284955715
MRPL17,6554.0,0.424450505,105.0,-0.617043,-0.009537001
MRPL2,580.0,0.458698472,164.0,-0.000335,-0.025521227
MRPL20,187.0,0.445765675,96.0,-0.55626,-0.139614998
MRPL21,55.0,0.417448467,293.0,-0.660448,-0.287211283
MRPL27,2133.0,0.436300758,31.0,-0.7581,0.014100638
MRPL40,113.0,0.406843086,653.0,-0.959161,-0.155294885
MRPL46,1889.0,0.422788385,25.0,-0.198757,-0.268256492
MRPL48,1284.0,0.368940255,212.0,-0.209726,-0.212006845
MRPL51,2069.0,0.35376587,169.0,-0.169521,-0.077920459
MRPL53,198.0,0.441261883,155.0,-0.092322,-0.568699468
MRPL9,407.0,0.432679379,437.0,-0.366391,-0.421295009
MRPS11,2793.0,0.477818717,1491.0,-0.035025,-0.129863021
MRPS15,468.0,0.440649404,164.0,-0.68068,-0.028963005
MRPS17,1334.0,0.413812124,30.0,0.487073,-0.373527648
MRPS18B,936.0,0.408462865,157.0,-0.309222,0.078892198
MRPS36,933.0,0.3748339,84.0,0.135118,-0.145785206
MRPS7,453.0,0.455992019,233.0,-0.100615,-0.1066405
MSI2,5168.0,0.366385762,173.0,0.066224,-0.307705097
MSTO1,694.0,0.421389639,1152.0,2.540877,1.243415176
MT2A,316.0,0.576670685,123.0,-0.362132,-1.250769687
MTA2,684.0,0.459443446,761.0,-0.01838,0.06496615
MTFMT,1550.0,0.414190941,26.0,-0.567442,-0.439456848
MTHFS,1663.0,0.434592403,179.0,0.000591,-0.493389368
MTMR1,2442.0,0.424163835,319.0,0.032914,0.09884325
MTMR14,421.0,0.371137969,151.0,0.003512,-0.074035654
MVP,50.0,0.435053297,193.0,-0.513047,-0.088846886
MX1,456.0,0.433488503,982.0,-0.188654,-0.498308926
MX2,1812.0,0.430094961,104.0,-0.945079,-0.238082098
MYADM,2833.0,0.384589896,681.0,-0.30559,-0.262249005
MYCBP,3972.0,0.381803634,73.0,0.314019,0.010047692
MYL12A,812.0,0.453450746,478.0,-0.115488,-0.176789646
MYO18A,3647.0,0.395788337,484.0,-0.109677,-0.091255046
MYO9B,1401.0,0.398943925,152.0,0.154155,0.078302031
N6AMT1,5137.0,0.427535625,28.0,0.733757,0.859453449
NAA40,3212.0,0.389371031,261.0,0.306265,0.466758009
NAB1,2433.0,0.361024962,572.0,-0.777447,-0.085568407
NADK,1672.0,0.3959688,563.0,0.202467,0.014873102
NADSYN1,464.0,0.447848979,126.0,-0.750896,-0.140502737
NAGK,1297.0,0.42527382,474.0,-0.393112,-0.137024507
NANS,37.0,0.458552255,132.0,0.447613,-0.242351578
NAPA,1862.0,0.477781443,318.0,-0.240218,-0.12253422
NAT10,4915.0,0.387474071,245.0,-0.666733,-0.238873659
NBAS,140.0,0.414580543,44.0,0.166911,0.087839373
NCALD,2767.0,0.374888213,460.0,-0.830506,-0.667423007
NCAPD3,2971.0,0.431957579,606.0,1.09481,0.340259147
NCAPG2,3501.0,0.41630572,200.0,1.687234,0.126734414
NCF1,2381.0,0.415579251,70.0,-0.773117,-0.129250464
NCK2,1267.0,0.457831152,276.0,-0.351895,-0.38926209
NCKIPSD,4981.0,0.449411541,126.0,0.35278,-0.095149795
NCOA5,1332.0,0.416761948,402.0,-0.138006,-0.022161999
NCOA7,3259.0,0.404217869,470.0,-0.612777,-0.036722471
NDC80,61.0,0.356199389,182.0,1.573646,1.114213186
NDRG2,841.0,0.376266446,941.0,-1.107163,-0.898837936
NDUFA4,1685.0,0.439642808,129.0,0.095449,-0.328794427
NEU1,667.0,0.413226082,156.0,0.034932,-0.006848091
NFATC2IP,3242.0,0.412267479,15.0,0.12075,0.145214023
NFKB1,708.0,0.4099683,467.0,0.514164,-0.127906858
NFKB2,153.0,0.424806573,563.0,-0.652098,-0.251034374
NFKBIE,1053.0,0.409138176,25.0,-0.535936,0.116534597
NGDN,1255.0,0.423783924,27.0,-0.282377,0.039980372
NGRN,1679.0,0.414477409,50.0,-0.161161,0.6189048
NINJ1,5217.0,0.455972644,71.0,0.070748,-0.511328948
NIP7,1593.0,0.443769116,318.0,0.597739,0.225725743
NIT2,2351.0,0.432361565,74.0,0.478606,-0.387116956
NMNAT3,2689.0,0.397393877,1228.0,-1.111178,-0.442163532
NMT1,3377.0,0.454689408,31.0,-0.347184,-0.364828687
NONO,1092.0,0.432928506,710.0,0.177185,-0.062971931
NOP14,912.0,0.38067473,187.0,-0.169317,0.108138676
NOP2,785.0,0.393538298,198.0,0.046643,0.35417722
NOTCH2,6062.0,0.409327653,297.0,0.571649,0.028389764
NPTN,1068.0,0.388989686,197.0,0.637424,-0.028652125
NR2C2,6271.0,0.390767743,362.0,0.100194,0.043740939
NRBF2,883.0,0.43605128,224.0,-0.726813,-0.536418825
NRF1,1901.0,0.447602651,500.0,-0.155316,-0.236754701
NRGN,833.0,0.413631862,152.0,0.561762,0.382587289
NRP1,3846.0,0.416817106,523.0,-0.300264,0.151862225
NSFL1C,1587.0,0.42738001,868.0,0.200431,0.152138406
NSMAF,602.0,0.358586884,214.0,-0.579949,0.049039393
NTAN1,178.0,0.344459601,320.0,-0.010841,0.130962613
NUBP1,246.0,0.455923678,142.0,0.019577,0.037639157
NUCKS1,5461.0,0.359398328,271.0,0.392514,-0.508180872
NUDC,716.0,0.476401948,127.0,-0.449223,-0.119026345
NUDT16,5489.0,0.428387545,75.0,0.186338,0.32116439
NUMA1,663.0,0.474508115,436.0,-0.127073,-0.164965417
NUP93,5678.0,0.382018893,495.0,1.042716,0.03200387
NXF1,2943.0,0.375826754,136.0,-0.434471,-0.079545123
OCIAD2,4872.0,0.363821488,322.0,0.035942,-0.361689307
OGDH,1071.0,0.396078149,159.0,0.476197,-0.256985369
OPA3,7233.0,0.475004358,100.0,0.051295,-0.948861757
OSBPL2,2363.0,0.383456763,571.0,0.427523,0.235121572
OSBPL5,1099.0,0.381371042,158.0,-0.285815,0.394682498
OVCA2,792.0,0.429983078,65.0,-0.496827,-0.092575448
P2RX4,573.0,0.442596273,304.0,-0.251205,-0.327683792
PAAF1,509.0,0.376143366,341.0,0.257833,0.062027722
PACSIN2,1591.0,0.413490434,405.0,0.88044,0.182597266
PARK7,451.0,0.457171775,163.0,-0.392491,-0.329130411
PARP1,769.0,0.460215809,171.0,-0.317963,-0.537870708
PARP10,332.0,0.422654659,200.0,-0.543821,-0.203792415
PARP12,816.0,0.416480622,874.0,-0.09693,0.017558076
PARP14,2243.0,0.414355918,59.0,-0.264272,-0.099039932
PARP9,451.0,0.418102187,327.0,0.185657,-0.015437341
PARVG,2043.0,0.383803232,484.0,-0.963816,-0.032118272
PBK,750.0,0.413339119,464.0,1.409028,0.629773463
PCNA,338.0,0.425000199,239.0,1.242424,0.817406882
PDAP1,2007.0,0.464659554,134.0,0.152969,-0.496298003
PDCD2,155.0,0.440448783,111.0,0.0385,0.077191325
PDCD2L,48.0,0.433436103,33.0,-0.161461,0.259997809
PDCD6IP,3211.0,0.388727459,158.0,0.241741,-0.068309718
PDHA1,2054.0,0.402514578,145.0,-0.687937,-0.433942479
PDHB,2974.0,0.442593378,43.0,0.296248,-0.299214075
PDLIM1,357.0,0.379179626,233.0,0.325797,0.023457815
PDXDC1,2055.0,0.375670185,335.0,0.339334,0.112347777
PDXK,6244.0,0.398158884,198.0,-0.219071,-0.535377074
PEBP1,796.0,0.360152166,326.0,-0.156052,-0.27577401
PEF1,769.0,0.441759403,424.0,-0.46556,-0.459402733
PELO,5222.0,0.385240523,985.0,0.017039,-0.066947991
PEPD,395.0,0.450896903,133.0,0.529211,0.423333064
PEX6,946.0,0.370078344,93.0,-0.269544,-0.135141845
PEX7,2294.0,0.407005497,102.0,0.67446,0.010459696
PFDN5,124.0,0.497062947,117.0,-1.079601,0.157415219
PFDN6,574.0,0.470152145,222.0,0.293944,-0.152381627
PGM1,570.0,0.393980016,681.0,-0.293881,-0.190622078
PHB,988.0,0.45268542,190.0,-0.463506,-0.648293773
PHF10,104.0,0.365149381,79.0,-0.817729,-0.277890569
PI4K2A,2692.0,0.385068362,57.0,-0.371874,0.511830592
PIAS1,3626.0,0.396022529,741.0,0.182725,0.185276271
PIGH,1430.0,0.434471606,98.0,-1.416566,-0.014671482
PIK3AP1,3866.0,0.407313024,128.0,-0.413005,-0.049340209
PIR,205.0,0.385796208,485.0,-0.505558,-0.32640029
PITPNC1,4686.0,0.369070722,874.0,0.853514,0.11101962
PLA2G4C,585.0,0.406173977,398.0,-0.528905,-0.161600945
PLA2G7,1187.0,0.402486321,269.0,-0.297765,0.186082693
PLAUR,323.0,0.418467601,226.0,-0.707451,-0.36518573
PLCB2,818.0,0.468984469,301.0,-0.975988,0.132005118
PLCG1,3987.0,0.454806205,121.0,0.589678,0.227200242
PLD4,273.0,0.377985619,192.0,-0.824888,0.188219512
PLEKHO1,5192.0,0.424698037,839.0,-1.410441,-0.758709312
PLEKHO2,2119.0,0.429714475,134.0,-0.771446,-0.118260284
PLSCR1,10376.0,0.415598704,388.0,-0.510555,-0.439214409
PML,3324.0,0.431306474,140.0,-0.898659,-0.365413171
POLR1C,1131.0,0.439933821,86.0,-0.221311,-0.175866896
POLR1D,1469.0,0.427162265,456.0,-0.997755,-0.080688184
POLR2F,1600.0,0.47244007,250.0,-0.200205,0.177429365
POLR2H,1065.0,0.427596015,1167.0,-0.075261,-0.12620097
POLR3H,3481.0,0.444306047,388.0,0.501587,0.301092653
POLR3K,1023.0,0.473025152,46.0,-0.435866,-0.08750648
PPA2,660.0,0.432735716,20.0,0.802616,-0.070849371
PPIE,4556.0,0.446406574,56.0,-0.172114,0.020960934
PPIL1,1921.0,0.453832883,252.0,0.29949,-0.036687388
PPP1R14B,282.0,0.457456004,268.0,0.108228,0.096806926
PRC1,1136.0,0.367783806,234.0,1.175934,0.44142342
PRCC,357.0,0.381841119,290.0,0.166269,-0.203468679
PRDX1,303.0,0.414090753,341.0,0.316071,-0.224122268
PRDX6,944.0,0.433706552,51.0,-0.072017,-0.244705427
PREB,658.0,0.378530018,403.0,-0.247773,-0.424520522
PREP,579.0,0.425974009,233.0,-0.060152,-0.644208249
PRG4,784.0,0.366727173,51.0,0.163652,0.964476617
PRIM2,1166.0,0.350864643,125.0,0.948589,0.034235027
PRKAB1,1305.0,0.365943644,289.0,-0.14282,-0.303859712
PRKAR2A,5019.0,0.427443141,254.0,1.134384,-0.053635822
PRKCB,5795.0,0.38010529,197.0,-0.013091,0.15803642
PRKCD,451.0,0.404392693,469.0,0.848111,0.52104219
PRKRA,683.0,0.420894136,659.0,-0.134886,-0.231349827
PRKRIP1,3224.0,0.453589322,55.0,0.177505,0.265272136
PRMT5,393.0,0.386451423,508.0,0.041371,-0.271152459
PRMT7,3655.0,0.450088803,850.0,0.400454,0.561583759
PROCR,549.0,0.357872186,218.0,-1.156835,-0.032641591
PRPS1,3908.0,0.466551451,409.0,-0.437282,-0.234895612
PRPSAP1,2056.0,0.390811115,688.0,-0.194512,-0.449278322
PRRC1,3173.0,0.409170839,188.0,0.988018,0.045323527
PSMA5,2997.0,0.446573967,225.0,-0.331378,-0.196384753
PSMA6,187.0,0.423632682,445.0,-0.019278,-0.250235729
PSMB10,58.0,0.455018511,128.0,0.432298,-0.534130743
PSMB2,3775.0,0.389848815,412.0,-0.375894,-0.287100142
PSMB8,242.0,0.411206622,522.0,0.107686,-0.014929228
PSMB9,5497.0,0.431095699,69.0,-0.593469,-0.184900167
PSMC3,66.0,0.485654947,194.0,-0.701957,-0.014216866
PSMD11,2567.0,0.390095635,61.0,0.281823,0.024855892
PSMD13,384.0,0.437236365,242.0,-0.670007,-0.034555983
PSMD8,450.0,0.458928351,52.0,-0.477647,0.095418735
PSME2,53.0,0.443656162,65.0,-0.405812,-0.642835241
PSMG1,5308.0,0.427553471,578.0,0.677068,-0.080415022
PSTPIP2,1923.0,0.429639796,96.0,-2.549562,-0.789235274
PTBP1,1504.0,0.473818895,106.0,0.197513,-0.098144804
PTDSS1,3765.0,0.367954205,423.0,0.024859,-0.333091274
PTGS1,3346.0,0.37260918,633.0,-0.710177,-0.14050122
PTP4A1,3419.0,0.421202001,1153.0,0.10785,-0.46681802
PTPMT1,1899.0,0.450492628,193.0,-2.65551,-0.374947025
PTPN18,2185.0,0.381656528,101.0,-0.835269,-0.69913806
PTPN7,1593.0,0.440747449,781.0,-1.136144,-0.730777916
PTPRE,2994.0,0.426620112,1843.0,-1.013766,0.159779747
PTPRF,4571.0,0.452810321,356.0,0.757193,0.017624302
PTRH2,3186.0,0.370743372,1544.0,2.80672,1.688594997
PWWP2B,819.0,0.424412275,29.0,-0.099408,-0.156836603
PYCR2,578.0,0.474148407,230.0,-0.726293,-0.118691839
PYGL,175.0,0.392036998,127.0,-1.615399,-0.649058174
QARS,97.0,0.458996209,396.0,-0.475805,0.069875146
RAB11FIP1,4277.0,0.380614122,56.0,0.857311,0.200086573
RAB12,1120.0,0.38483812,283.0,-0.128105,0.233813534
RAB21,5246.0,0.435367738,267.0,0.08297,0.013943408
RAB31,3231.0,0.437498832,175.0,-1.13418,-0.213750928
RAB35,2172.0,0.408841719,189.0,0.224731,-0.129897653
RAB7A,1376.0,0.419395127,232.0,0.249299,0.382831745
RAB8B,4163.0,0.425956778,96.0,-0.362577,-0.208214638
RAB9A,1716.0,0.417525007,283.0,-0.407164,0.155974279
RABGGTA,77.0,0.387342734,512.0,0.050741,-0.049710114
RABGGTB,440.0,0.409412379,78.0,-0.702659,-0.441649585
RABIF,4760.0,0.447399225,159.0,0.322695,-0.133661452
RACGAP1,1895.0,0.366370127,354.0,1.392199,0.200385435
RAD9A,924.0,0.444046557,185.0,-0.04578,-0.022205965
RAE1,1112.0,0.432613552,365.0,0.299939,0.061768191
RAI1,1472.0,0.455620822,469.0,-0.053334,0.123112163
RAN,2043.0,0.442855294,361.0,0.40977,-0.070189842
RANBP10,3359.0,0.379453562,1256.0,1.341722,0.575319396
RANGAP1,3145.0,0.481547647,765.0,0.852892,0.439861925
RAPGEF1,2727.0,0.425793135,159.0,-0.330397,-0.072671414
RARS,114.0,0.423508657,41.0,0.576337,0.173311603
RBBP4,6506.0,0.404056961,164.0,0.41455,0.178227384
RBBP5,3098.0,0.421849625,474.0,0.700264,0.320954468
RBKS,251.0,0.392307233,1371.0,-1.450477,-0.652254217
RBM12,3599.0,0.375183789,304.0,0.352233,0.137794933
RBM14,3443.0,0.468008211,139.0,0.012882,-0.237141081
RBM4B,5277.0,0.396841232,170.0,-0.563712,-0.524406084
RBMX,1201.0,0.353737079,210.0,0.02828,0.376020365
RBPJ,4223.0,0.4178224,518.0,0.192206,0.113576731
RBX1,821.0,0.46562919,52.0,-0.005237,0.069224447
RC3H1,7637.0,0.410085914,87.0,0.087466,0.033618478
RCCD1,1773.0,0.374130224,280.0,0.518578,0.142245463
RCOR1,4070.0,0.439565312,228.0,1.416401,0.37646883
REEP4,591.0,0.460338979,469.0,0.65949,-0.039331182
REEP5,2962.0,0.457536941,144.0,0.17057,0.058909009
RELB,408.0,0.418226182,131.0,-1.180019,-0.29761396
REPIN1,2683.0,0.45080531,489.0,0.85381,0.613163121
RFC4,89.0,0.411167541,282.0,1.032756,0.201743034
RFK,1882.0,0.429285662,357.0,0.564584,0.301442872
RFX5,1546.0,0.386685917,221.0,0.647308,0.032149966
RFXAP,1850.0,0.421314391,156.0,-0.281236,0.242980632
RHBDF2,740.0,0.423256567,294.0,0.007053,-0.86640384
RHOT2,568.0,0.454546166,881.0,0.079985,0.126195678
RNASE2,179.0,0.384567964,71.0,-0.542964,0.215655302
RNASEH1,4369.0,0.404567903,700.0,0.229206,-0.555227901
RNASEH2B,3930.0,0.37625722,399.0,-0.271327,0.0563636
RNASET2,1070.0,0.374792559,407.0,0.018564,0.287417779
RNF114,1751.0,0.459950313,36.0,0.145667,0.065762944
RNF167,289.0,0.375291206,776.0,-0.272463,0.655776707
RNF20,5226.0,0.396317502,92.0,0.310807,0.250039825
RNF213,5288.0,0.417718743,150.0,0.226398,-0.614791251
RNF216,2819.0,0.430061571,259.0,-0.172507,0.354209074
RNF25,102.0,0.375620157,88.0,-0.148711,-0.105598275
RNF31,88.0,0.389352607,358.0,-0.130929,0.008458392
RNLS,1252.0,0.416402283,135.0,0.205781,-0.106284219
RNMT,4581.0,0.415128602,241.0,0.118308,0.252073814
RNPEP,463.0,0.447181346,896.0,0.764104,0.200689266
RP9,437.0,0.42869019,18.0,-0.608123,0.058541108
RPA1,2907.0,0.381710028,170.0,0.080796,-0.188887629
RPA2,639.0,0.400070522,793.0,-0.559325,-0.137525384
RPAIN,471.0,0.394698889,570.0,-1.248746,-0.356753919
RPL11,461.0,0.442317923,45.0,-0.976706,-0.23112529
RPL14,5208.0,0.496792394,133.0,-1.16095,-0.026116343
RPL23,3146.0,0.464880603,90.0,-0.633623,0.312998733
RPL26,53.0,0.427802183,389.0,-1.604201,-0.230865594
RPL31,1260.0,0.451994935,87.0,-1.150169,0.215776874
RPL34,1350.0,0.436455219,198.0,-1.128197,-0.180647237
RPL5,1058.0,0.451564158,75.0,-1.297879,0.231170078
RPL7,1077.0,0.460258279,707.0,-0.965835,0.117308407
RPS11,373.0,0.483080585,92.0,-0.985316,0.079250006
RPS24,4247.0,0.430653047,142.0,-1.530811,-0.072274372
RPS25,109.0,0.467193878,63.0,-0.979958,-0.353076253
RPS27A,743.0,0.450449292,321.0,-0.675759,0.284468802
RPS3A,306.0,0.426765211,80.0,-0.915698,0.152214951
RPS4X,629.0,0.442998752,96.0,-1.046536,-0.044224468
RPS6,2723.0,0.413925579,42.0,-1.566711,0.252412727
RPS6KA1,828.0,0.389798854,163.0,-0.656788,-0.330234809
RPS6KA4,735.0,0.38455359,226.0,-0.372851,-0.083952512
RPS7,66.0,0.428822459,109.0,-1.000498,0.090499605
RPTOR,2341.0,0.385169267,805.0,0.007328,0.070453033
RREB1,3012.0,0.456825357,492.0,0.629721,0.226100821
RRM1,2304.0,0.437568848,689.0,0.320655,0.195254862
RRP8,5071.0,0.446233376,148.0,-0.685653,0.253676882
RRS1,978.0,0.468289248,104.0,0.162977,0.493333376
RTN3,1690.0,0.358048129,187.0,0.400937,-0.261630575
RTN4IP1,1108.0,0.372133716,477.0,0.551798,-0.193524157
RUNX1,4334.0,0.416076551,1578.0,-0.000808,0.503499427
RUNX3,2611.0,0.405217602,439.0,-1.191566,0.28604
RWDD1,6365.0,0.401367905,746.0,-1.058226,-0.116650651
S100A8,71.0,0.444112716,170.0,3.73465,-1.827797043
S100A9,189.0,0.439508357,43.0,3.561828,-2.20773089
SAMD9,1815.0,0.395660052,270.0,0.526682,-0.139274262
SAMD9L,1162.0,0.396305952,1248.0,-0.813801,-0.142842737
SAMM50,150.0,0.345249646,197.0,0.353154,0.04429082
SAMSN1,684.0,0.407246581,430.0,-0.401042,0.240599678
SAP18,1754.0,0.427429047,39.0,-0.92832,-0.226733818
SAP30BP,1541.0,0.449617255,257.0,-0.505862,-0.076919522
SAR1A,5213.0,0.411769389,203.0,-1.010659,-0.429202132
SAR1B,5806.0,0.392367964,253.0,0.605185,0.091120448
SARS,1054.0,0.40098191,100.0,-0.698149,-0.190424885
SASH3,1369.0,0.387406112,182.0,-0.869766,0.013881013
SCAMP4,1741.0,0.472519575,351.0,-0.324186,0.225077012
SCO1,8645.0,0.407339367,61.0,0.03379,-0.175245404
SDCCAG8,307.0,0.360606297,1542.0,-0.772206,0.070533955
SEC11C,205.0,0.423646802,92.0,-0.203264,0.019275956
SEC13,332.0,0.457264526,210.0,-0.139697,-0.111144983
SEC14L1,2986.0,0.420320088,665.0,-0.672293,0.215498416
SEC24B,1221.0,0.400931805,155.0,0.14286,0.052298702
SEC24D,2115.0,0.386600041,297.0,1.078099,0.460278232
SEC61B,270.0,0.404562259,76.0,-0.049458,0.63354618
SEMA3F,960.0,0.38837398,318.0,0.616074,0.109645013
SEMA4A,755.0,0.412797256,345.0,-1.36899,-0.19980277
SEMA4D,2318.0,0.393173667,572.0,-0.062959,-0.170282864
SERPINA1,1707.0,0.420489385,573.0,-2.108442,0.964398291
SERPINB8,2096.0,0.38524815,520.0,-0.856959,-0.262740056
