,3prime,tAI,max_5_UTR_length,TCGA-A2-A0YM,TCGA-A2-A0YM.1
IRF7,92.0,0.423538356,367.0,0.207347,0.125045147
IRF8,1327.0,0.384714127,507.0,-0.006464,-0.103172448
IRF9,369.0,0.432057622,127.0,-0.219059,-0.551482219
IRGQ,7659.0,0.399674011,156.0,-0.379446,-0.297562753
ISCU,607.0,0.454630229,1331.0,-1.386001,0.047872641
ISG15,62.0,0.419522688,77.0,1.450809,-1.105157594
ISG20,952.0,0.419932377,2368.0,0.037426,-0.061483979
ISOC1,1056.0,0.418535314,18.0,-0.633342,-0.333613339
ITGB2,415.0,0.457304004,395.0,1.456613,0.099636796
ITPKB,2981.0,0.440250717,340.0,0.082193,-0.266072874
ITPRIP,5382.0,0.396785481,453.0,-0.130824,-0.024747026
JUNB,496.0,0.414023332,276.0,-0.042786,0.344839864
JUP,157.0,0.458302936,298.0,0.211936,-0.908862994
KANK2,2291.0,0.394238955,361.0,-0.900542,1.541789865
KARS,4202.0,0.383913431,144.0,0.071606,-0.000236133
KDM1A,327.0,0.428444011,149.0,0.895369,-0.637194645
KDM2A,3716.0,0.372295488,864.0,0.285753,-0.944417845
KDM2B,2488.0,0.393022165,407.0,1.263848,-0.395133252
KDM3B,1327.0,0.37791414,200.0,-0.408311,-0.200376389
KDM4A,1148.0,0.378142374,166.0,1.405492,0.182843428
KHSRP,1024.0,0.456900489,110.0,0.950136,-0.312416709
KIAA2013,727.0,0.385456054,191.0,0.584935,1.280088462
KIF20A,757.0,0.371463873,496.0,1.953091,0.694545126
KIF22,75.0,0.392489541,388.0,0.077125,-0.359597664
KIF2C,588.0,0.387865377,395.0,1.750604,-0.580327404
KIF3B,3792.0,0.390782105,180.0,-0.383386,0.112962235
KIF3C,2392.0,0.403852971,657.0,1.684159,0.121551006
KIF5B,3198.0,0.418236129,470.0,0.669279,-0.207375275
KLHL7,3616.0,0.41595405,521.0,0.244333,-0.129694695
KTI12,594.0,0.370414154,39.0,0.720091,1.00986815
LAMP1,1311.0,0.390985106,281.0,0.562683,0.827444842
LANCL2,2422.0,0.433733517,578.0,-0.129021,-0.594671455
LAP3,503.0,0.426841798,162.0,0.81554,0.634645
LDHD,1826.0,0.398770776,52.0,-3.673188,1.370360547
LGALS3,159.0,0.420172221,88.0,0.182394,0.489392259
LGALS3BP,1225.0,0.419930622,179.0,0.695617,0.388742311
LGALS9,641.0,0.410654931,118.0,0.693649,0.60962004
LIN54,4893.0,0.441729058,383.0,0.209889,0.248634829
LPCAT1,2228.0,0.380803123,133.0,0.502562,-0.498434598
LPXN,1776.0,0.432350833,254.0,0.338716,-0.291767591
LRPPRC,2376.0,0.377375074,58.0,0.140561,-0.79868376
LRRC25,843.0,0.434491636,642.0,0.657745,1.378787724
LRRC41,465.0,0.438391248,44.0,-0.169398,0.088050586
LRRC59,1755.0,0.423067849,236.0,0.416834,-0.722945871
LSM1,486.0,0.409616526,410.0,1.803569,0.162602729
LSM6,1871.0,0.435100303,139.0,0.847171,-0.063824555
LTA4H,391.0,0.355044638,145.0,-0.526755,-0.296055591
LYN,4058.0,0.418972994,282.0,2.341705,0.531525834
LYPLAL1,1137.0,0.3973742,157.0,-1.244285,-0.076184485
LYRM4,6830.0,0.366844497,217.0,0.698694,0.073383701
LYSMD2,596.0,0.394037378,501.0,0.359925,-0.105947419
M6PR,1457.0,0.379162834,275.0,0.516656,-0.053669972
MAD2L1,4528.0,0.407191351,124.0,1.416326,-0.564583432
MAFB,2032.0,0.405989564,390.0,-1.242431,0.725899926
MAGED2,327.0,0.466698843,233.0,-2.046963,-1.221537353
MAGOH,153.0,0.416054235,162.0,0.394368,-0.522762669
MAN2B1,128.0,0.381728903,76.0,0.44856,0.295721082
MANF,717.0,0.420319188,97.0,0.546941,-0.099874123
MAP4K1,170.0,0.374128007,140.0,1.034184,0.324026762
MARCKSL1,768.0,0.468216312,206.0,0.052425,-0.459867967
MAX,2676.0,0.337149475,479.0,-0.341166,0.237730303
MBD2,3723.0,0.420256858,229.0,-0.539082,-0.353194022
MBP,4041.0,0.393290432,264.0,-0.136012,0.476408338
MCM2,662.0,0.460999542,110.0,1.869029,-0.799063433
MCM4,2618.0,0.371821308,942.0,2.578975,-0.893252287
MCM5,3214.0,0.470488076,94.0,1.538915,-0.978052091
MDC1,658.0,0.415783633,440.0,1.484677,-0.684677496
MDH1,210.0,0.381672323,435.0,-0.426847,0.321063328
ME1,1535.0,0.411214685,265.0,-1.003433,1.367802819
ME3,171.0,0.395156177,377.0,-0.798498,1.185944479
MECR,1365.0,0.445670958,612.0,0.592747,0.329659145
MED17,2631.0,0.366528813,275.0,-0.113017,-0.171868108
MED19,934.0,0.439623042,93.0,-0.519012,-0.365387815
MED28,10307.0,0.440157501,27.0,0.486831,-0.117895527
MED29,4550.0,0.464327351,57.0,-1.177718,-0.436167114
MEF2C,6848.0,0.41426337,654.0,-1.414891,0.511789026
MEN1,824.0,0.454590692,504.0,0.233247,-0.28582043
METTL13,961.0,0.396264071,347.0,0.362035,-0.238200871
MGST3,1295.0,0.374563048,428.0,0.208948,-1.155706547
MIF4GD,787.0,0.397877071,137.0,-0.467709,0.257614717
MINK1,774.0,0.455972684,525.0,0.393397,0.800038273
MIS12,1334.0,0.420723459,745.0,0.360826,-0.434647236
MLEC,5319.0,0.43043384,173.0,-0.13484,-0.302350268
MMADHC,5382.0,0.406207656,205.0,0.094116,-0.124850738
MMGT1,4451.0,0.406300672,388.0,0.994075,-0.357242274
MMP1,502.0,0.392399458,189.0,6.27398,1.837423863
MMP14,1722.0,0.419367787,285.0,0.471989,0.474902853
MMP9,193.0,0.404253633,19.0,2.852596,-0.396045346
MORC3,2052.0,0.406702124,375.0,0.772225,-0.288537079
MORF4L1,1066.0,0.420719378,454.0,-0.75427,-0.171588413
MOV10,619.0,0.412681236,1415.0,0.483737,-0.402227051
MPHOSPH10,87.0,0.404440607,352.0,-0.09467,-0.478203921
MRI1,2018.0,0.459301832,75.0,0.140734,-0.407602598
MRPL13,1075.0,0.395373051,313.0,0.187289,-0.375914376
MRPL15,1888.0,0.407701507,63.0,1.359788,-0.494035964
MRPL16,212.0,0.368940255,214.0,-0.331456,-0.566749984
MRPL17,6554.0,0.424450505,105.0,0.244297,-0.642868033
MRPL2,580.0,0.458698472,164.0,0.743413,0.148676636
MRPL20,187.0,0.445765675,96.0,-0.758975,-0.223415066
MRPL21,55.0,0.417448467,293.0,0.103642,-0.168776975
MRPL27,2133.0,0.436300758,31.0,-0.542019,0.207153396
MRPL40,113.0,0.406843086,653.0,-0.495764,-0.159141675
MRPL46,1889.0,0.422788385,25.0,-0.725639,-0.154602582
MRPL48,1284.0,0.368940255,212.0,-0.195027,0.064709911
MRPL51,2069.0,0.35376587,169.0,0.544185,-1.101635195
MRPL53,198.0,0.441261883,155.0,-1.178798,-0.581025747
MRPL9,407.0,0.432679379,437.0,0.528547,-0.15158415
MRPS11,2793.0,0.477818717,1491.0,-0.936743,-0.305274144
MRPS15,468.0,0.440649404,164.0,0.057141,0.480882713
MRPS17,1334.0,0.413812124,30.0,0.867612,-0.463214926
MRPS18B,936.0,0.408462865,157.0,0.232501,-0.22655711
MRPS36,933.0,0.3748339,84.0,-1.359802,0.150289531
MRPS7,453.0,0.455992019,233.0,0.52629,-0.712004977
MSI2,5168.0,0.366385762,173.0,0.090482,-1.190730497
MSTO1,694.0,0.421389639,1152.0,-0.273554,-0.449490736
MTA2,684.0,0.459443446,761.0,0.171839,-0.097447711
MTFMT,1550.0,0.414190941,26.0,-0.57262,-0.028382412
MTHFS,1663.0,0.434592403,179.0,-1.640881,0.290897287
MTMR1,2442.0,0.424163835,319.0,0.395961,-0.474732343
MTMR14,421.0,0.371137969,151.0,-0.014105,0.080703732
MVP,50.0,0.435053297,193.0,-0.938283,0.40289863
MX1,456.0,0.433488503,982.0,3.952278,0.000248061
MX2,1812.0,0.430094961,104.0,1.368362,0.629383683
MYADM,2833.0,0.384589896,681.0,-0.506788,-0.684591563
MYCBP,3972.0,0.381803634,73.0,-1.055364,-0.367272433
MYL12A,812.0,0.453450746,478.0,1.068389,0.225350579
MYO18A,3647.0,0.395788337,484.0,-0.307399,-0.128317932
MYO9B,1401.0,0.398943925,152.0,0.942849,0.185998025
NAA40,3212.0,0.389371031,261.0,0.351065,-1.152990245
NAB1,2433.0,0.361024962,572.0,1.151823,0.546265133
NADK,1672.0,0.3959688,563.0,0.031152,0.204412118
NADSYN1,464.0,0.447848979,126.0,-0.37884,-0.207252346
NAGK,1297.0,0.42527382,474.0,-0.304535,0.244108833
NANS,37.0,0.458552255,132.0,-0.846293,-0.579551081
NAPA,1862.0,0.477781443,318.0,-1.345722,-0.198601374
NAT10,4915.0,0.387474071,245.0,0.259302,-0.51420303
NBAS,140.0,0.414580543,44.0,-0.087468,-0.05419997
NCALD,2767.0,0.374888213,460.0,-2.477369,-0.281254924
NCAPD3,2971.0,0.431957579,606.0,0.1571,-0.553247277
NCAPG2,3501.0,0.41630572,200.0,1.269971,0.188785479
NCF1,2381.0,0.415579251,70.0,2.012223,0.161926182
NCK2,1267.0,0.457831152,276.0,1.686351,0.166193407
NCKIPSD,4981.0,0.449411541,126.0,0.554085,0.026327701
NCOA5,1332.0,0.416761948,402.0,-0.065144,0.124289459
NCOA7,3259.0,0.404217869,470.0,1.749387,0.747787284
NDC80,61.0,0.356199389,182.0,2.962676,0.253696638
NDRG2,841.0,0.376266446,941.0,0.337575,-0.39362895
NDUFA4,1685.0,0.439642808,129.0,-0.820341,0.289088686
NEU1,667.0,0.413226082,156.0,-0.425806,-0.102628096
NFATC2IP,3242.0,0.412267479,15.0,0.130133,-0.539741869
NFKB1,708.0,0.4099683,467.0,0.807743,-0.047911922
NFKB2,153.0,0.424806573,563.0,0.619712,-0.032188568
NFKBIE,1053.0,0.409138176,25.0,1.749471,0.287880354
NGDN,1255.0,0.423783924,27.0,-0.708676,-0.137068643
NGRN,1679.0,0.414477409,50.0,-0.840848,0.049049003
NIP7,1593.0,0.443769116,318.0,0.287109,-0.18588316
NIT2,2351.0,0.432361565,74.0,-0.163717,-0.08457621
NMNAT3,2689.0,0.397393877,1228.0,-1.064131,-0.081071262
NMT1,3377.0,0.454689408,31.0,0.233632,0.234066728
NONO,1092.0,0.432928506,710.0,0.650406,-0.165423894
NOP14,912.0,0.38067473,187.0,0.445179,-0.400098121
NOP2,785.0,0.393538298,198.0,1.558259,-0.298659499
NOTCH2,6062.0,0.409327653,297.0,1.78374,0.58837292
NPTN,1068.0,0.388989686,197.0,-1.037168,1.112612722
NR2C2,6271.0,0.390767743,362.0,1.055598,-0.466017869
NRBF2,883.0,0.43605128,224.0,0.197731,0.53001052
NRF1,1901.0,0.447602651,500.0,0.563466,-0.275342837
NRP1,3846.0,0.416817106,523.0,-0.652783,1.140024333
NSFL1C,1587.0,0.42738001,868.0,-0.533797,-0.00064298
NSMAF,602.0,0.358586884,214.0,0.303748,-0.116486713
NTAN1,178.0,0.344459601,320.0,-0.377006,0.169091234
NUBP1,246.0,0.455923678,142.0,-1.070865,0.177635502
NUCKS1,5461.0,0.359398328,271.0,0.633375,-2.549693817
NUDC,716.0,0.476401948,127.0,-0.037769,-0.50918693
NUDT16,5489.0,0.428387545,75.0,-0.099596,0.407273523
NUMA1,663.0,0.474508115,436.0,-0.951447,-0.571689652
NUP93,5678.0,0.382018893,495.0,1.401245,-0.341727607
NXF1,2943.0,0.375826754,136.0,-0.552429,-0.168412931
OCIAD2,4872.0,0.363821488,322.0,0.477811,-0.995234757
OGDH,1071.0,0.396078149,159.0,0.27416,0.639373537
OSBPL2,2363.0,0.383456763,571.0,-0.422058,-0.303987385
OVCA2,792.0,0.429983078,65.0,-0.269407,-0.281060186
P2RX4,573.0,0.442596273,304.0,-0.47623,-0.045693174
PAAF1,509.0,0.376143366,341.0,-1.223957,-0.006100856
PACSIN2,1591.0,0.413490434,405.0,0.27916,-0.018309741
PARK7,451.0,0.457171775,163.0,-0.650186,0.045881451
PARP1,769.0,0.460215809,171.0,0.22791,-0.8854108
PARP10,332.0,0.422654659,200.0,0.473144,0.146428051
PARP12,816.0,0.416480622,874.0,0.822564,0.215365457
PARP14,2243.0,0.414355918,59.0,1.963925,-0.042836702
PARP9,451.0,0.418102187,327.0,1.272943,0.090780903
PARVG,2043.0,0.383803232,484.0,0.133575,-0.46790015
PBK,750.0,0.413339119,464.0,0.980904,-0.587670958
PCNA,338.0,0.425000199,239.0,0.704427,-1.056204433
PDAP1,2007.0,0.464659554,134.0,-0.558542,0.181982177
PDCD2,155.0,0.440448783,111.0,0.212121,-0.480837139
PDCD2L,48.0,0.433436103,33.0,1.918315,0.144928825
PDCD6IP,3211.0,0.388727459,158.0,-0.212321,-0.043742111
PDHA1,2054.0,0.402514578,145.0,-0.529719,0.616577989
PDHB,2974.0,0.442593378,43.0,-0.715056,0.534787488
PDLIM1,357.0,0.379179626,233.0,-0.396492,0.336556905
PDXDC1,2055.0,0.375670185,335.0,-0.372014,-1.099981438
PDXK,6244.0,0.398158884,198.0,2.551227,0.832610657
PEBP1,796.0,0.360152166,326.0,-0.321545,-0.126131459
PEF1,769.0,0.441759403,424.0,-0.471253,-0.076942887
PELO,5222.0,0.385240523,985.0,-0.53251,0.116919617
PEPD,395.0,0.450896903,133.0,0.662972,0.842627711
PEX16,585.0,0.43213601,312.0,-1.104669,0.161657967
PEX6,946.0,0.370078344,93.0,-0.049379,0.011920016
PEX7,2294.0,0.407005497,102.0,-1.716339,0.036465384
PFDN5,124.0,0.497062947,117.0,-1.097761,-0.15522049
PFDN6,574.0,0.470152145,222.0,0.161835,0.091526717
PGM1,570.0,0.393980016,681.0,0.373948,0.549006179
PHB,988.0,0.45268542,190.0,0.161667,-0.212035106
PHF10,104.0,0.365149381,79.0,-0.003201,-0.645102736
PI4K2A,2692.0,0.385068362,57.0,-0.286639,-0.249124806
PIAS1,3626.0,0.396022529,741.0,-0.112158,0.260105236
PIK3AP1,3866.0,0.407313024,128.0,1.275673,0.325474154
PIR,205.0,0.385796208,485.0,-1.244632,-0.149444922
PITPNC1,4686.0,0.369070722,874.0,-1.280382,0.089983956
PLA2G7,1187.0,0.402486321,269.0,1.986762,2.288793897
PLAUR,323.0,0.418467601,226.0,2.293046,0.866019873
PLCB2,818.0,0.468984469,301.0,0.353098,0.489121433
PLCG1,3987.0,0.454806205,121.0,0.123444,0.090918772
PLD4,273.0,0.377985619,192.0,-2.339616,0.461930911
PLEKHO1,5192.0,0.424698037,839.0,1.239379,0.537040582
PLEKHO2,2119.0,0.429714475,134.0,0.132135,1.025314061
PLSCR1,10376.0,0.415598704,388.0,2.698107,0.101158318
PML,3324.0,0.431306474,140.0,0.967592,0.511870362
POLR1C,1131.0,0.439933821,86.0,0.788154,-0.375289905
POLR1D,1469.0,0.427162265,456.0,-0.217974,-0.312762024
POLR2F,1600.0,0.47244007,250.0,0.637369,-0.291372697
POLR2H,1065.0,0.427596015,1167.0,0.062029,-0.931742293
POLR3H,3481.0,0.444306047,388.0,0.268012,-0.552572773
POLR3K,1023.0,0.473025152,46.0,-0.63704,-0.763013163
PPA2,660.0,0.432735716,20.0,-0.491483,-0.203095933
PPIE,4556.0,0.446406574,56.0,-0.898003,-0.180360289
PPIL1,1921.0,0.453832883,252.0,0.752235,-0.008986106
PPP1R14B,282.0,0.457456004,268.0,0.888427,-0.977674612
PRC1,1136.0,0.367783806,234.0,0.945509,-0.78318508
PRCC,357.0,0.381841119,290.0,0.536672,-0.232599203
PRDX1,303.0,0.414090753,341.0,-0.47503,-0.409804788
PRDX6,944.0,0.433706552,51.0,-0.341256,0.287545535
PREB,658.0,0.378530018,403.0,-0.424111,-0.133185404
PREP,579.0,0.425974009,233.0,-0.335356,-0.454611325
PRG4,784.0,0.366727173,51.0,1.867469,1.589029107
PRIM2,1166.0,0.350864643,125.0,1.61628,-0.99020936
PRKAB1,1305.0,0.365943644,289.0,-1.36627,-0.136727317
PRKAR2A,5019.0,0.427443141,254.0,0.416489,0.557932285
PRKCB,5795.0,0.38010529,197.0,0.426543,0.129168127
PRKCD,451.0,0.404392693,469.0,-0.279878,-0.079092864
PRKRA,683.0,0.420894136,659.0,0.225393,-0.326698223
PRKRIP1,3224.0,0.453589322,55.0,-1.228597,-0.150298315
PRMT5,393.0,0.386451423,508.0,-0.412028,-0.076017975
PRMT7,3655.0,0.450088803,850.0,-0.989712,0.64444246
PROCR,549.0,0.357872186,218.0,-0.40346,1.229425572
PRPS1,3908.0,0.466551451,409.0,0.154228,-0.08248071
PRPSAP1,2056.0,0.390811115,688.0,0.100487,0.075174394
PRRC1,3173.0,0.409170839,188.0,-0.530902,-0.773034195
PSMA5,2997.0,0.446573967,225.0,0.080008,-0.342614302
PSMA6,187.0,0.423632682,445.0,-0.184975,-0.148552417
PSMB10,58.0,0.455018511,128.0,-0.380839,-0.132533691
PSMB2,3775.0,0.389848815,412.0,0.199653,-0.153211754
PSMB8,242.0,0.411206622,522.0,0.197627,0.218928611
PSMB9,5497.0,0.431095699,69.0,0.080454,0.01791567
PSMC3,66.0,0.485654947,194.0,-0.046438,-0.017925628
PSMD11,2567.0,0.390095635,61.0,0.428583,-0.091667224
PSMD13,384.0,0.437236365,242.0,-0.156409,-0.065203812
PSMD8,450.0,0.458928351,52.0,-0.482277,0.003553378
PSME2,53.0,0.443656162,65.0,-0.619277,-0.620156806
PSMG1,5308.0,0.427553471,578.0,0.011808,-0.606075912
PSTPIP2,1923.0,0.429639796,96.0,-0.048319,-0.281426172
PTBP1,1504.0,0.473818895,106.0,0.770733,-0.385059265
PTDSS1,3765.0,0.367954205,423.0,1.180931,-1.888025452
PTGS1,3346.0,0.37260918,633.0,0.730373,0.979788846
PTP4A1,3419.0,0.421202001,1153.0,0.933912,-0.108306532
PTPMT1,1899.0,0.450492628,193.0,-0.478928,-0.023357725
PTPN18,2185.0,0.381656528,101.0,0.369137,0.016353269
PTPN7,1593.0,0.440747449,781.0,0.743434,0.183010004
PTPRE,2994.0,0.426620112,1843.0,0.04285,0.110379571
PTPRF,4571.0,0.452810321,356.0,2.165349,-0.143549138
PTRH2,3186.0,0.370743372,1544.0,0.502879,-0.759357332
PYCR2,578.0,0.474148407,230.0,-0.782556,-0.94570949
PYGL,175.0,0.392036998,127.0,2.0048,1.251203055
QARS,97.0,0.458996209,396.0,-0.097083,-0.074493712
RAB11FIP1,4277.0,0.380614122,56.0,2.379164,-0.295601887
RAB12,1120.0,0.38483812,283.0,1.394673,0.635008605
RAB21,5246.0,0.435367738,267.0,-0.558235,0.053597995
RAB31,3231.0,0.437498832,175.0,0.421229,0.121521099
RAB35,2172.0,0.408841719,189.0,0.273771,0.403422881
RAB7A,1376.0,0.419395127,232.0,0.093255,-0.091461926
RAB8B,4163.0,0.425956778,96.0,-0.526738,1.108757607
RAB9A,1716.0,0.417525007,283.0,-0.760113,0.385074426
RABGGTA,77.0,0.387342734,512.0,-0.576035,0.04566489
RABGGTB,440.0,0.409412379,78.0,1.146965,-0.173448377
RABIF,4760.0,0.447399225,159.0,0.200303,-0.385015391
RACGAP1,1895.0,0.366370127,354.0,1.890299,-0.331306159
RAD9A,924.0,0.444046557,185.0,-0.519795,-0.66322546
RAE1,1112.0,0.432613552,365.0,-0.30908,-0.126105838
RAI1,1472.0,0.455620822,469.0,0.641674,-0.330950035
RAN,2043.0,0.442855294,361.0,0.893928,-0.399422328
RANBP10,3359.0,0.379453562,1256.0,0.001117,-0.203156721
RANGAP1,3145.0,0.481547647,765.0,0.984657,-0.456805851
RAPGEF1,2727.0,0.425793135,159.0,0.714611,0.230775355
RARS,114.0,0.423508657,41.0,-0.292215,-0.311487297
RASGRP2,183.0,0.381671176,582.0,-0.740913,0.537128815
RBBP4,6506.0,0.404056961,164.0,0.28987,-0.730374355
RBBP5,3098.0,0.421849625,474.0,0.109627,0.069003134
RBKS,251.0,0.392307233,1371.0,-2.164213,-0.237085419
RBM12,3599.0,0.375183789,304.0,0.257515,-0.278492237
RBM14,3443.0,0.468008211,139.0,0.40214,-0.278920711
RBM4B,5277.0,0.396841232,170.0,-0.502293,-0.249771745
RBMX,1201.0,0.353737079,210.0,0.305889,-0.52451337
RBPJ,4223.0,0.4178224,518.0,0.318881,0.287686595
RBX1,821.0,0.46562919,52.0,-0.226233,0.035288313
RC3H1,7637.0,0.410085914,87.0,0.125113,0.104028067
RCCD1,1773.0,0.374130224,280.0,-0.199974,0.253086445
RCOR1,4070.0,0.439565312,228.0,0.044998,-0.198028793
REEP4,591.0,0.460338979,469.0,0.141847,-0.063357038
REEP5,2962.0,0.457536941,144.0,-1.735655,-0.794501018
RELB,408.0,0.418226182,131.0,1.20216,0.06241659
REPIN1,2683.0,0.45080531,489.0,-0.676463,-0.40815258
RFC4,89.0,0.411167541,282.0,1.540437,-0.461792073
RFK,1882.0,0.429285662,357.0,-0.158501,-0.021207702
RFX5,1546.0,0.386685917,221.0,1.016189,0.111342975
RFXAP,1850.0,0.421314391,156.0,-0.700315,-0.496341628
RHBDF2,740.0,0.423256567,294.0,2.24463,0.267784521
RHOT2,568.0,0.454546166,881.0,-0.59907,-0.451678472
RNASEH1,4369.0,0.404567903,700.0,0.841113,0.155372259
RNASEH2B,3930.0,0.37625722,399.0,-0.335589,-0.142203779
RNASET2,1070.0,0.374792559,407.0,-1.266843,-0.253655129
RNF114,1751.0,0.459950313,36.0,-0.265618,0.152073556
RNF20,5226.0,0.396317502,92.0,-0.029368,-0.318532965
RNF213,5288.0,0.417718743,150.0,1.343602,-0.574199836
RNF25,102.0,0.375620157,88.0,-0.711604,0.081208713
RNF31,88.0,0.389352607,358.0,-0.524694,-0.104281771
RNLS,1252.0,0.416402283,135.0,-3.104071,0.933627564
RNMT,4581.0,0.415128602,241.0,2.809839,-0.101226777
RNPEP,463.0,0.447181346,896.0,-0.295681,-0.313954757
RP9,437.0,0.42869019,18.0,0.107932,-0.314014189
RPA1,2907.0,0.381710028,170.0,0.867964,-0.325250363
RPA2,639.0,0.400070522,793.0,-0.525774,-0.187730656
RPAIN,471.0,0.394698889,570.0,-0.080141,-1.168185713
RPL11,461.0,0.442317923,45.0,-0.119902,-0.231210592
RPL14,5208.0,0.496792394,133.0,-0.288297,0.810594219
RPL23,3146.0,0.464880603,90.0,0.421755,0.105720341
RPL26,53.0,0.427802183,389.0,0.868111,0.903010623
RPL31,1260.0,0.451994935,87.0,0.257771,0.436541592
RPL34,1350.0,0.436455219,198.0,0.004273,0.825092078
RPL5,1058.0,0.451564158,75.0,-0.17547,0.127381614
RPL7,1077.0,0.460258279,707.0,0.951731,0.12423363
RPS11,373.0,0.483080585,92.0,-0.862421,0.478347474
RPS24,4247.0,0.430653047,142.0,-0.05132,0.391580763
RPS25,109.0,0.467193878,63.0,-0.456061,-0.233246161
RPS27A,743.0,0.450449292,321.0,-0.267014,-0.018238877
RPS3A,306.0,0.426765211,80.0,0.066394,0.228380424
RPS4X,629.0,0.442998752,96.0,-0.408765,-0.010204384
RPS6,2723.0,0.413925579,42.0,0.379396,0.510319129
RPS6KA1,828.0,0.389798854,163.0,0.303326,-0.667743631
RPS6KA4,735.0,0.38455359,226.0,1.975057,-0.320735191
RPS7,66.0,0.428822459,109.0,0.219846,-0.023704951
RPTOR,2341.0,0.385169267,805.0,0.69825,0.291436262
RREB1,3012.0,0.456825357,492.0,-0.735933,-0.11613851
RRM1,2304.0,0.437568848,689.0,0.538925,-0.545139022
RRP8,5071.0,0.446233376,148.0,-0.29685,-0.343004923
RRS1,978.0,0.468289248,104.0,0.764668,-0.444581923
RTN3,1690.0,0.358048129,187.0,-0.152509,-0.025895154
RTN4IP1,1108.0,0.372133716,477.0,0.375823,-0.140184005
RUNX1,4334.0,0.416076551,1578.0,-0.848333,0.279865932
RUNX3,2611.0,0.405217602,439.0,1.568489,-1.071619921
RWDD1,6365.0,0.401367905,746.0,-1.062161,-0.193399471
S100A8,71.0,0.444112716,170.0,1.960627,-0.516231644
S100A9,189.0,0.439508357,43.0,3.404417,-0.608956765
SAMD9,1815.0,0.395660052,270.0,0.979789,-0.15974446
SAMD9L,1162.0,0.396305952,1248.0,0.83594,0.043948107
SAMM50,150.0,0.345249646,197.0,-0.511043,-0.492015085
SAMSN1,684.0,0.407246581,430.0,0.588466,0.168041199
SAP18,1754.0,0.427429047,39.0,-0.278049,-0.50256358
SAP30BP,1541.0,0.449617255,257.0,0.754541,-0.488588752
SAR1A,5213.0,0.411769389,203.0,-0.447242,0.373573568
SAR1B,5806.0,0.392367964,253.0,-1.718331,-0.309093323
SARS,1054.0,0.40098191,100.0,-0.110592,-0.000278887
SASH3,1369.0,0.387406112,182.0,0.401121,0.246789004
SCAMP4,1741.0,0.472519575,351.0,-0.642502,-0.593821681
SCO1,8645.0,0.407339367,61.0,0.174526,0.446451415
SDCCAG8,307.0,0.360606297,1542.0,-0.074226,0.001607695
SEC11C,205.0,0.423646802,92.0,-0.909983,-0.059822441
SEC13,332.0,0.457264526,210.0,0.183724,-0.031612012
SEC14L1,2986.0,0.420320088,665.0,0.550137,-0.085578784
SEC24B,1221.0,0.400931805,155.0,0.382716,0.024465388
SEC24D,2115.0,0.386600041,297.0,-0.473087,0.162013143
SEMA3F,960.0,0.38837398,318.0,-1.344313,0.795937549
SEMA4A,755.0,0.412797256,345.0,0.000124,0.787459504
SEMA4D,2318.0,0.393173667,572.0,1.527248,0.922034095
SERPINA1,1707.0,0.420489385,573.0,1.496301,1.785569113
SERPINB8,2096.0,0.38524815,520.0,0.499402,0.462483723
SETMAR,321.0,0.414235412,398.0,-0.703668,-0.195449199
SF1,2419.0,0.374481437,721.0,0.201401,-0.403503427
SF3B2,563.0,0.453902675,40.0,-0.045121,-0.484889126
SFXN4,500.0,0.402513841,45.0,-0.107828,0.18496009
SH3BP1,433.0,0.395530944,313.0,1.455853,0.325007865
SH3PXD2B,4870.0,0.420952884,171.0,1.146129,0.321965798
SHMT1,4335.0,0.394510245,509.0,0.143682,1.40274007
SIGLEC1,1590.0,0.42099348,0.0,1.6849,1.266940909
SIPA1,2933.0,0.437718847,296.0,-0.092761,0.641257212
SIRPA,3027.0,0.429235057,360.0,0.496112,0.659730292
SKP1,8791.0,0.433886974,179.0,-1.380191,-0.282216542
SLBP,3046.0,0.391438372,553.0,0.914267,0.067583195
SLC25A10,1929.0,0.386184273,191.0,0.325662,-0.184643617
SLC25A20,787.0,0.382641976,199.0,-0.951681,0.263300776
SLC25A3,504.0,0.383836987,354.0,-0.734229,-0.963956559
SLC25A6,450.0,0.487227384,137.0,-1.434235,-0.574918324
SLC27A3,163.0,0.439664345,91.0,-0.000539,0.066009488
SLC39A10,2661.0,0.346494338,214.0,0.33017,0.899821699
SLC44A1,8291.0,0.4365497,264.0,-0.277581,-0.413177512
SLC9A3R1,709.0,0.400889529,235.0,-1.255329,-1.128030661
SMAP2,1225.0,0.404145004,415.0,-1.0586,0.293354439
SMC1A,5954.0,0.490702048,340.0,-0.119306,-0.412682976
SMG5,1363.0,0.383248033,540.0,1.324405,0.141782329
SMS,2660.0,0.417677888,252.0,-0.226443,-0.832618323
SMYD3,223.0,0.378821529,130.0,-1.393542,-0.436893296
SNRNP200,676.0,0.454045162,132.0,0.630876,-0.586591489
SNRPC,474.0,0.427936125,450.0,0.825132,-0.441426299
SNRPD1,4386.0,0.384326147,161.0,0.437593,-0.350917477
SNRPN,279.0,0.390283395,1145.0,-1.302787,0.201136977
SNX24,5071.0,0.338464018,185.0,-0.081681,0.675087923
SNX30,6144.0,0.426743352,148.0,-0.355499,0.236999523
SNX33,5086.0,0.383330712,96.0,-0.551986,0.768569947
SOD1,353.0,0.438546885,148.0,0.095794,-0.349666397
SOD2,13436.0,0.435065133,1828.0,1.986508,1.22311482
