,3prime,tAI,max_5_UTR_length,TCGA-AR-A1AW,TCGA-AR-A1AW.1
IGFBP7,558.0,0.392734536,34.0,-0.427382,-0.42361302
IKBKE,745.0,0.435100597,714.0,1.095109,0.460867585
IL16,3965.0,0.367979445,2395.0,2.028468,0.463764833
IL1RN,1145.0,0.411881061,408.0,-0.792282,-0.042161483
IL4I1,16.0,0.4139018,621.0,2.587087,0.042443237
ILF2,656.0,0.426220446,239.0,-0.047713,0.170702012
IMPA2,2898.0,0.383680893,242.0,-0.362015,-0.605814311
INO80,5209.0,0.374025479,351.0,0.160837,0.028642327
INPP1,263.0,0.395712795,700.0,-0.007698,-0.2788858
INPP5D,1195.0,0.436077769,512.0,2.469634,0.872797135
INSR,4801.0,0.380857973,411.0,0.039817,0.526281574
IPO5,2508.0,0.381335948,180.0,-0.31556,0.229775644
IRF7,92.0,0.423538356,367.0,0.985788,0.609085327
IRF8,1327.0,0.384714127,507.0,3.099715,0.863721314
IRF9,369.0,0.432057622,127.0,1.546392,0.596681084
IRGQ,7659.0,0.399674011,156.0,0.586911,0.457003837
ISCU,607.0,0.454630229,1331.0,0.201218,0.253009698
ISG15,62.0,0.419522688,77.0,1.171324,1.065584313
ISG20,952.0,0.419932377,2368.0,2.285251,1.042476434
ISOC1,1056.0,0.418535314,18.0,0.333575,0.437579212
ITGB2,415.0,0.457304004,395.0,2.497785,1.081784201
ITPKB,2981.0,0.440250717,340.0,0.812586,0.213599677
JUNB,496.0,0.414023332,276.0,-1.048768,-0.098061081
JUP,157.0,0.458302936,298.0,-0.440863,-0.368217787
KANK2,2291.0,0.394238955,361.0,-0.219018,-0.238400237
KARS,4202.0,0.383913431,144.0,-0.139779,0.104291232
KDM1A,327.0,0.428444011,149.0,-0.266775,-0.100471988
KDM2A,3716.0,0.372295488,864.0,0.534649,-0.001833263
KDM2B,2488.0,0.393022165,407.0,0.658598,0.291160605
KDM3B,1327.0,0.37791414,200.0,0.195635,-0.19421033
KDM4A,1148.0,0.378142374,166.0,0.110965,0.180528643
KHSRP,1024.0,0.456900489,110.0,0.665594,0.548666543
KIAA2013,727.0,0.385456054,191.0,-0.487691,-0.216924647
KIF20A,757.0,0.371463873,496.0,-0.103515,-1.212656061
KIF22,75.0,0.392489541,388.0,-0.387166,-0.354321213
KIF2C,588.0,0.387865377,395.0,0.29098,-0.366780395
KIF3B,3792.0,0.390782105,180.0,0.337413,0.039112518
KIF3C,2392.0,0.403852971,657.0,0.463648,-0.329286792
KIF5B,3198.0,0.418236129,470.0,-0.394974,-0.118507348
KLHL7,3616.0,0.41595405,521.0,0.632379,0.295134026
KTI12,594.0,0.370414154,39.0,-0.218924,0.05540498
LAMP1,1311.0,0.390985106,281.0,-0.057139,0.258031737
LANCL2,2422.0,0.433733517,578.0,0.045322,-0.423896661
LAP3,503.0,0.426841798,162.0,1.434582,1.066245968
LDHD,1826.0,0.398770776,52.0,-1.746086,-0.470193904
LENG1,560.0,0.445950324,48.0,0.14013,0.291227813
LGALS3,159.0,0.420172221,88.0,-0.644261,-0.140362989
LGALS3BP,1225.0,0.419930622,179.0,0.280262,0.166462515
LGALS9,641.0,0.410654931,118.0,1.369133,0.505445453
LIN54,4893.0,0.441729058,383.0,0.394949,-0.12110355
LPCAT1,2228.0,0.380803123,133.0,0.234589,0.095371047
LPXN,1776.0,0.432350833,254.0,2.385771,0.758655806
LRPPRC,2376.0,0.377375074,58.0,0.09958,0.111840283
LRRC25,843.0,0.434491636,642.0,1.374776,0.100180134
LRRC41,465.0,0.438391248,44.0,-0.686565,0.088314831
LRRC59,1755.0,0.423067849,236.0,-0.368698,-0.323724396
LSM1,486.0,0.409616526,410.0,-0.518177,-0.233160409
LSM6,1871.0,0.435100303,139.0,0.301621,0.397486141
LTA4H,391.0,0.355044638,145.0,0.852822,0.349678114
LYN,4058.0,0.418972994,282.0,1.584798,0.504440217
LYPLAL1,1137.0,0.3973742,157.0,-0.335061,0.175821574
LYRM4,6830.0,0.366844497,217.0,0.226669,0.358191859
LYSMD2,596.0,0.394037378,501.0,0.735225,0.449116158
M6PR,1457.0,0.379162834,275.0,0.290746,0.678464067
MAD2L1,4528.0,0.407191351,124.0,0.41893,-0.075417983
MAFB,2032.0,0.405989564,390.0,1.096943,-0.204552932
MAGED2,327.0,0.466698843,233.0,-1.489768,-0.510989728
MAGOH,153.0,0.416054235,162.0,-0.053001,0.074912873
MAN2B1,128.0,0.381728903,76.0,1.277202,0.286999007
MANF,717.0,0.420319188,97.0,0.394798,0.343318778
MAP4K1,170.0,0.374128007,140.0,3.566675,0.949503505
MARCKSL1,768.0,0.468216312,206.0,-0.636015,0.468919573
MAX,2676.0,0.337149475,479.0,0.219319,0.617051332
MBD2,3723.0,0.420256858,229.0,0.028431,-0.068921917
MBP,4041.0,0.393290432,264.0,2.452932,-0.118759588
MCM2,662.0,0.460999542,110.0,0.147312,-0.310149353
MCM4,2618.0,0.371821308,942.0,0.570788,-0.255914508
MCM5,3214.0,0.470488076,94.0,0.733949,-0.141148947
MDC1,658.0,0.415783633,440.0,0.158066,-0.209694174
MDH1,210.0,0.381672323,435.0,-0.462382,0.007319453
ME1,1535.0,0.411214685,265.0,0.531514,0.375295769
ME3,171.0,0.395156177,377.0,-0.875257,-0.184518864
MECR,1365.0,0.445670958,612.0,-0.383083,0.384767649
MED17,2631.0,0.366528813,275.0,-0.183096,0.166824106
MED19,934.0,0.439623042,93.0,-0.221243,0.073918817
MED28,10307.0,0.440157501,27.0,0.449241,-0.03690419
MED29,4550.0,0.464327351,57.0,0.081364,0.239292117
MEF2C,6848.0,0.41426337,654.0,1.643916,0.824713022
MEN1,824.0,0.454590692,504.0,0.099012,0.24159394
METTL13,961.0,0.396264071,347.0,-0.096347,-0.173717192
MGST3,1295.0,0.374563048,428.0,-0.152197,1.00145281
MIF4GD,787.0,0.397877071,137.0,-0.092768,-0.265795762
MINK1,774.0,0.455972684,525.0,0.732304,0.233707472
MIS12,1334.0,0.420723459,745.0,0.648845,0.07752519
MLEC,5319.0,0.43043384,173.0,-0.071449,0.278402424
MLLT10,2252.0,0.36295117,1568.0,0.078914,-0.214016003
MLX,1636.0,0.386664187,65.0,0.235183,-0.030252475
MMP1,502.0,0.392399458,189.0,2.10107,-1.40629304
MMP14,1722.0,0.419367787,285.0,-0.5078,-0.469177812
MMP9,193.0,0.404253633,19.0,3.450894,-0.10397672
MORC3,2052.0,0.406702124,375.0,0.53196,-0.06503098
MORF4L1,1066.0,0.420719378,454.0,-0.461188,-0.079392254
MOV10,619.0,0.412681236,1415.0,0.025109,-0.181605901
MPDU1,797.0,0.440676037,216.0,0.135738,0.109908678
MPHOSPH10,87.0,0.404440607,352.0,-0.169865,-0.107650066
MRI1,2018.0,0.459301832,75.0,0.294267,0.537625936
MRPL13,1075.0,0.395373051,313.0,0.764668,-0.161085881
MRPL15,1888.0,0.407701507,63.0,0.428242,-0.080940892
MRPL16,212.0,0.368940255,214.0,0.060572,0.040505955
MRPL17,6554.0,0.424450505,105.0,-0.8417,-0.020713672
MRPL2,580.0,0.458698472,164.0,-0.001506,0.041439494
MRPL20,187.0,0.445765675,96.0,-0.047349,0.006667639
MRPL21,55.0,0.417448467,293.0,-0.619411,-0.132032415
MRPL27,2133.0,0.436300758,31.0,-0.126439,-0.214759591
MRPL40,113.0,0.406843086,653.0,-0.423303,-0.154662374
MRPL46,1889.0,0.422788385,25.0,-0.242939,0.04927536
MRPL48,1284.0,0.368940255,212.0,-0.465735,0.019253976
MRPL51,2069.0,0.35376587,169.0,-0.451907,0.019332006
MRPL53,198.0,0.441261883,155.0,-0.731187,0.019318682
MRPL9,407.0,0.432679379,437.0,-0.03122,0.111828955
MRPS11,2793.0,0.477818717,1491.0,-0.673671,0.03018447
MRPS15,468.0,0.440649404,164.0,-0.839363,0.237394569
MRPS17,1334.0,0.413812124,30.0,-0.413756,0.051153682
MRPS18B,936.0,0.408462865,157.0,-0.11914,0.139970145
MRPS36,933.0,0.3748339,84.0,-0.106437,0.078134628
MRPS7,453.0,0.455992019,233.0,-0.273732,0.129517245
MSI2,5168.0,0.366385762,173.0,0.943157,0.14981627
MSTO1,694.0,0.421389639,1152.0,0.146532,0.031779847
MT1E,291.0,0.588704726,179.0,-1.546336,-1.806482577
MT2A,316.0,0.576670685,123.0,0.008483,-1.26444995
MTA2,684.0,0.459443446,761.0,0.099285,0.22465244
MTFMT,1550.0,0.414190941,26.0,-0.400364,0.174244704
MTHFS,1663.0,0.434592403,179.0,-1.013015,0.030464295
MTMR1,2442.0,0.424163835,319.0,0.334437,0.31800258
MTMR14,421.0,0.371137969,151.0,0.275559,0.107224682
MVP,50.0,0.435053297,193.0,-0.000588,-0.149550975
MX1,456.0,0.433488503,982.0,2.592845,1.055126
MX2,1812.0,0.430094961,104.0,2.028141,0.926786242
MYADM,2833.0,0.384589896,681.0,-0.586225,0.228817562
MYCBP,3972.0,0.381803634,73.0,-0.24645,0.136034363
MYL12A,812.0,0.453450746,478.0,-0.196309,-0.393942122
MYO18A,3647.0,0.395788337,484.0,0.721178,0.240249973
MYO9B,1401.0,0.398943925,152.0,1.216381,0.485415137
N6AMT1,5137.0,0.427535625,28.0,-1.073275,-0.619369771
NAA40,3212.0,0.389371031,261.0,0.356179,-0.325956062
NAB1,2433.0,0.361024962,572.0,-0.630811,-0.457910685
NADK,1672.0,0.3959688,563.0,0.892367,0.500120169
NADSYN1,464.0,0.447848979,126.0,0.07704,0.286023189
NAGK,1297.0,0.42527382,474.0,0.543647,0.321533256
NANS,37.0,0.458552255,132.0,-0.36895,-0.156793583
NAPA,1862.0,0.477781443,318.0,-0.189279,0.190231291
NAT10,4915.0,0.387474071,245.0,-0.100585,0.064735488
NBAS,140.0,0.414580543,44.0,0.236861,0.061185391
NCALD,2767.0,0.374888213,460.0,-0.139334,-0.557472674
NCAPD3,2971.0,0.431957579,606.0,1.124332,-0.058625975
NCAPG2,3501.0,0.41630572,200.0,0.542603,-0.198059878
NCF1,2381.0,0.415579251,70.0,3.124529,0.615307608
NCK2,1267.0,0.457831152,276.0,0.281704,-0.077549083
NCKIPSD,4981.0,0.449411541,126.0,-0.172085,-0.132788656
NCOA5,1332.0,0.416761948,402.0,0.051732,0.20081466
NCOA7,3259.0,0.404217869,470.0,0.339626,0.044730222
NDC80,61.0,0.356199389,182.0,0.421544,-0.228150281
NDRG2,841.0,0.376266446,941.0,-0.583368,-0.844398961
NDUFA4,1685.0,0.439642808,129.0,-0.485042,0.417638457
NEU1,667.0,0.413226082,156.0,-0.184966,-0.266771599
NFATC2IP,3242.0,0.412267479,15.0,0.272126,-0.230144172
NFKB1,708.0,0.4099683,467.0,0.544812,-0.017881216
NFKB2,153.0,0.424806573,563.0,1.298986,0.2040397
NFKBIE,1053.0,0.409138176,25.0,0.659653,0.128055135
NGDN,1255.0,0.423783924,27.0,0.348762,-0.017531698
NGRN,1679.0,0.414477409,50.0,-0.724592,-0.05881988
NIP7,1593.0,0.443769116,318.0,0.062903,0.022850883
NIT2,2351.0,0.432361565,74.0,-0.569492,-0.227025739
NMNAT3,2689.0,0.397393877,1228.0,0.170506,0.723835181
NMT1,3377.0,0.454689408,31.0,0.438473,0.47729003
NONO,1092.0,0.432928506,710.0,-0.152029,0.136918965
NOP14,912.0,0.38067473,187.0,0.297911,-0.139242871
NOP2,785.0,0.393538298,198.0,0.01616,-0.3186373
NOTCH2,6062.0,0.409327653,297.0,0.460315,-0.103339861
NPTN,1068.0,0.388989686,197.0,-0.705473,0.107659547
NR2C2,6271.0,0.390767743,362.0,0.431287,0.201518784
NRBF2,883.0,0.43605128,224.0,0.274496,0.35868119
NRF1,1901.0,0.447602651,500.0,0.134124,0.149675017
NRGN,833.0,0.413631862,152.0,-1.258326,-0.131576275
NRP1,3846.0,0.416817106,523.0,-0.723473,-0.543654437
NSFL1C,1587.0,0.42738001,868.0,1.398152,1.184959593
NSMAF,602.0,0.358586884,214.0,0.601829,0.277546436
NTAN1,178.0,0.344459601,320.0,-0.124036,0.152002023
NUBP1,246.0,0.455923678,142.0,-0.092947,-0.072159651
NUCKS1,5461.0,0.359398328,271.0,0.584925,0.013514851
NUDC,716.0,0.476401948,127.0,-0.340831,-0.053878298
NUDT16,5489.0,0.428387545,75.0,0.63796,0.096357366
NUMA1,663.0,0.474508115,436.0,-0.543843,-0.400787601
NUP93,5678.0,0.382018893,495.0,0.16391,0.102225627
NXF1,2943.0,0.375826754,136.0,0.204792,0.050888038
OCIAD2,4872.0,0.363821488,322.0,-0.391708,-0.604853893
OGDH,1071.0,0.396078149,159.0,0.191853,0.124887663
OPA3,7233.0,0.475004358,100.0,0.305746,0.583503561
OSBPL2,2363.0,0.383456763,571.0,-0.080544,-0.297551958
OSBPL5,1099.0,0.381371042,158.0,-1.456666,-0.05295179
OVCA2,792.0,0.429983078,65.0,-0.139973,-0.019481753
P2RX4,573.0,0.442596273,304.0,-0.346883,-0.033435527
PAAF1,509.0,0.376143366,341.0,-0.462431,0.208529362
PACSIN2,1591.0,0.413490434,405.0,-0.009605,-0.200710621
PARK7,451.0,0.457171775,163.0,-0.586255,-0.182195772
PARP1,769.0,0.460215809,171.0,0.57331,0.371989928
PARP10,332.0,0.422654659,200.0,1.301804,0.501617233
PARP12,816.0,0.416480622,874.0,1.104991,0.31087486
PARP14,2243.0,0.414355918,59.0,2.461461,0.785681276
PARP9,451.0,0.418102187,327.0,1.163745,0.38110118
PARVG,2043.0,0.383803232,484.0,2.56506,0.560929223
PBK,750.0,0.413339119,464.0,-0.010483,-0.641687446
PCNA,338.0,0.425000199,239.0,0.945443,-0.043998682
PDAP1,2007.0,0.464659554,134.0,-0.18273,-0.199266159
PDCD2,155.0,0.440448783,111.0,-0.101473,-0.265612476
PDCD2L,48.0,0.433436103,33.0,0.317699,0.156154249
PDCD6IP,3211.0,0.388727459,158.0,-0.209364,-0.142212519
PDHA1,2054.0,0.402514578,145.0,-0.453602,0.132025186
PDHB,2974.0,0.442593378,43.0,0.011475,0.069510432
PDLIM1,357.0,0.379179626,233.0,-0.364245,-0.248624524
PDXDC1,2055.0,0.375670185,335.0,-0.367379,-0.319757404
PDXK,6244.0,0.398158884,198.0,-0.648968,-0.275862786
PEBP1,796.0,0.360152166,326.0,-0.561817,-0.218863469
PEF1,769.0,0.441759403,424.0,-0.600624,0.06926823
PELO,5222.0,0.385240523,985.0,-0.537025,-0.180443029
PEPD,395.0,0.450896903,133.0,0.022043,0.144302784
PEX6,946.0,0.370078344,93.0,-1.498699,-0.60172557
PFDN5,124.0,0.497062947,117.0,-0.243262,0.028212192
PFDN6,574.0,0.470152145,222.0,-0.192604,0.068793721
PGM1,570.0,0.393980016,681.0,-1.015132,-0.365088624
PHB,988.0,0.45268542,190.0,-0.162443,-0.0233188
PHF10,104.0,0.365149381,79.0,0.417151,-0.076043367
PI4K2A,2692.0,0.385068362,57.0,0.350774,0.304633184
PIAS1,3626.0,0.396022529,741.0,0.662961,-0.084769426
PIK3AP1,3866.0,0.407313024,128.0,2.42596,0.245613262
PIR,205.0,0.385796208,485.0,-0.303981,0.117339832
PITPNC1,4686.0,0.369070722,874.0,0.424462,0.19526138
PLA2G4C,585.0,0.406173977,398.0,0.884969,-0.061061609
PLA2G7,1187.0,0.402486321,269.0,3.167033,0.471431894
PLAUR,323.0,0.418467601,226.0,-0.396704,-0.089463859
PLCB2,818.0,0.468984469,301.0,2.024957,0.326713996
PLCG1,3987.0,0.454806205,121.0,0.661223,0.089405729
PLD4,273.0,0.377985619,192.0,1.42303,0.148857423
PLEKHO1,5192.0,0.424698037,839.0,1.592147,0.601670862
PLEKHO2,2119.0,0.429714475,134.0,1.022927,0.560005998
PLSCR1,10376.0,0.415598704,388.0,0.784076,1.244946833
PML,3324.0,0.431306474,140.0,0.410095,0.326170731
POLR1C,1131.0,0.439933821,86.0,-0.307075,0.086167125
POLR1D,1469.0,0.427162265,456.0,-0.453148,-0.01791198
POLR2F,1600.0,0.47244007,250.0,-0.477509,0.33497576
POLR2H,1065.0,0.427596015,1167.0,-0.204597,0.313385089
POLR3H,3481.0,0.444306047,388.0,-0.729477,-0.168470482
POLR3K,1023.0,0.473025152,46.0,-0.536425,-0.105196196
PPA2,660.0,0.432735716,20.0,-0.548887,-0.176925066
PPIE,4556.0,0.446406574,56.0,-0.116528,0.185429982
PPIL1,1921.0,0.453832883,252.0,0.051527,0.114873862
PPP1R14B,282.0,0.457456004,268.0,-0.571026,-0.395203567
PRC1,1136.0,0.367783806,234.0,-0.536355,-0.972595045
PRCC,357.0,0.381841119,290.0,-0.033244,0.17120592
PRDX1,303.0,0.414090753,341.0,-0.253628,0.091805928
PRDX6,944.0,0.433706552,51.0,0.033905,0.174465011
PREB,658.0,0.378530018,403.0,-0.045617,0.18643641
PREP,579.0,0.425974009,233.0,0.280952,-0.141307356
PRG4,784.0,0.366727173,51.0,5.52202,-0.659370994
PRIM2,1166.0,0.350864643,125.0,0.169333,0.020839389
PRKAB1,1305.0,0.365943644,289.0,-0.588135,-0.128451539
PRKAR2A,5019.0,0.427443141,254.0,0.343905,0.072807314
PRKCB,5795.0,0.38010529,197.0,4.274934,1.262135332
PRKCD,451.0,0.404392693,469.0,0.279951,0.077100183
PRKRA,683.0,0.420894136,659.0,-0.21808,0.220564646
PRKRIP1,3224.0,0.453589322,55.0,0.14964,0.078459503
PRMT5,393.0,0.386451423,508.0,0.155623,0.059209339
PRMT7,3655.0,0.450088803,850.0,-0.277721,-0.199342525
PROCR,549.0,0.357872186,218.0,-0.707459,-0.387349169
PRPS1,3908.0,0.466551451,409.0,0.435093,0.322367245
PRPSAP1,2056.0,0.390811115,688.0,-0.060923,0.213392763
PRRC1,3173.0,0.409170839,188.0,-0.194032,-0.215652925
PSMA5,2997.0,0.446573967,225.0,-0.15972,-0.109946604
PSMA6,187.0,0.423632682,445.0,0.187553,0.227660939
PSMB10,58.0,0.455018511,128.0,0.799863,0.758004258
PSMB2,3775.0,0.389848815,412.0,-0.047062,0.050912448
PSMB8,242.0,0.411206622,522.0,1.09077,0.531733124
PSMB9,5497.0,0.431095699,69.0,2.040996,0.447388203
PSMC3,66.0,0.485654947,194.0,-0.76333,-0.087213968
PSMD11,2567.0,0.390095635,61.0,0.584535,0.050758353
PSMD13,384.0,0.437236365,242.0,-0.451724,-0.032419123
PSMD8,450.0,0.458928351,52.0,-0.257552,0.145185724
PSME2,53.0,0.443656162,65.0,1.08752,0.579427753
PSMG1,5308.0,0.427553471,578.0,-0.197824,-0.589125897
PSTPIP2,1923.0,0.429639796,96.0,0.490666,0.250787244
PTBP1,1504.0,0.473818895,106.0,-0.401455,-0.02614578
PTDSS1,3765.0,0.367954205,423.0,0.464608,0.466288394
PTGS1,3346.0,0.37260918,633.0,0.779618,-0.065912072
PTP4A1,3419.0,0.421202001,1153.0,-0.806305,-0.345593961
PTPMT1,1899.0,0.450492628,193.0,-0.785901,-0.006222803
PTPN18,2185.0,0.381656528,101.0,0.08842,0.343507001
PTPN7,1593.0,0.440747449,781.0,3.737481,0.89361998
PTPRE,2994.0,0.426620112,1843.0,0.732848,0.41779669
PTPRF,4571.0,0.452810321,356.0,-1.442735,-0.137947445
PTRH2,3186.0,0.370743372,1544.0,-0.297616,-0.164845754
PWWP2B,819.0,0.424412275,29.0,-0.801777,0.448763003
PYCR2,578.0,0.474148407,230.0,-0.192532,0.037481337
PYGL,175.0,0.392036998,127.0,-0.591339,0.117750063
QARS,97.0,0.458996209,396.0,-0.191224,0.083704487
RAB11FIP1,4277.0,0.380614122,56.0,-0.736632,-0.489589555
RAB12,1120.0,0.38483812,283.0,-0.537281,-0.229506355
RAB21,5246.0,0.435367738,267.0,-0.208609,0.027496896
RAB31,3231.0,0.437498832,175.0,-0.392217,-0.467942497
RAB35,2172.0,0.408841719,189.0,0.083597,0.245906607
RAB7A,1376.0,0.419395127,232.0,-0.18101,0.059989454
RAB8B,4163.0,0.425956778,96.0,1.504026,0.677621975
RAB9A,1716.0,0.417525007,283.0,-0.102358,0.121613143
RABGGTA,77.0,0.387342734,512.0,0.082213,0.094335851
RABGGTB,440.0,0.409412379,78.0,-0.042313,-0.007078537
RABIF,4760.0,0.447399225,159.0,0.088081,0.076504061
RACGAP1,1895.0,0.366370127,354.0,0.014673,-0.422097829
RAD9A,924.0,0.444046557,185.0,0.343982,-0.022422302
RAE1,1112.0,0.432613552,365.0,-0.017595,-0.022322905
RAI1,1472.0,0.455620822,469.0,-0.15695,-0.29951901
RAN,2043.0,0.442855294,361.0,-0.127524,-0.036557661
RANBP10,3359.0,0.379453562,1256.0,0.016424,-0.061025143
RANGAP1,3145.0,0.481547647,765.0,-0.125587,0.030348993
RAPGEF1,2727.0,0.425793135,159.0,0.840201,0.181176652
RARS,114.0,0.423508657,41.0,-0.524519,-0.018952114
RASGRP2,183.0,0.381671176,582.0,3.465351,1.013140498
RASGRP4,985.0,0.374724859,214.0,0.795186,-0.125500147
RBBP4,6506.0,0.404056961,164.0,0.143756,0.029175123
RBBP5,3098.0,0.421849625,474.0,0.517291,0.250603014
RBKS,251.0,0.392307233,1371.0,-0.550531,0.217518083
RBM12,3599.0,0.375183789,304.0,0.128945,0.082280347
RBM14,3443.0,0.468008211,139.0,0.015631,0.134109403
RBM4B,5277.0,0.396841232,170.0,-0.091643,-0.013337526
RBMX,1201.0,0.353737079,210.0,0.097581,0.284589006
RBPJ,4223.0,0.4178224,518.0,0.556901,0.171389664
RBX1,821.0,0.46562919,52.0,-0.500879,0.039345963
RC3H1,7637.0,0.410085914,87.0,0.243392,0.237196811
RCCD1,1773.0,0.374130224,280.0,-0.665463,-0.263387107
RCOR1,4070.0,0.439565312,228.0,-0.182474,-0.326863241
REEP4,591.0,0.460338979,469.0,-0.60748,0.110345117
REEP5,2962.0,0.457536941,144.0,-0.571007,-0.174402316
RELB,408.0,0.418226182,131.0,0.952377,0.209801378
REPIN1,2683.0,0.45080531,489.0,-0.045076,0.178313594
RFC4,89.0,0.411167541,282.0,0.024274,-0.124803527
RFK,1882.0,0.429285662,357.0,-0.419772,-0.190905879
RFX5,1546.0,0.386685917,221.0,1.186205,0.293307914
RFXAP,1850.0,0.421314391,156.0,0.264225,0.263795107
RHBDF2,740.0,0.423256567,294.0,1.11933,0.441561507
RHOT2,568.0,0.454546166,881.0,-0.329839,-0.202153795
RNASEH2B,3930.0,0.37625722,399.0,0.388918,0.354002181
RNASET2,1070.0,0.374792559,407.0,0.282571,0.079675539
RNF114,1751.0,0.459950313,36.0,0.459233,0.06362615
RNF167,289.0,0.375291206,776.0,0.424552,0.143653625
RNF20,5226.0,0.396317502,92.0,-0.051598,-0.048744705
RNF213,5288.0,0.417718743,150.0,1.602613,0.909483725
RNF216,2819.0,0.430061571,259.0,0.439879,0.364881563
RNF25,102.0,0.375620157,88.0,-0.493068,-0.068740524
RNF31,88.0,0.389352607,358.0,0.491616,0.248661692
RNLS,1252.0,0.416402283,135.0,-0.655113,-0.254441143
RNMT,4581.0,0.415128602,241.0,-0.051762,-0.243831305
RNPEP,463.0,0.447181346,896.0,-1.038123,-0.359642968
RP9,437.0,0.42869019,18.0,-0.185498,0.043727753
RPA1,2907.0,0.381710028,170.0,0.505999,0.004163636
RPA2,639.0,0.400070522,793.0,-0.061207,-0.104094769
RPL11,461.0,0.442317923,45.0,-0.306435,-0.048371222
RPL14,5208.0,0.496792394,133.0,-0.485692,-0.455428519
RPL23,3146.0,0.464880603,90.0,-0.40419,0.016286401
RPL26,53.0,0.427802183,389.0,-0.110677,-0.046968561
RPL31,1260.0,0.451994935,87.0,-0.673039,0.025184053
RPL34,1350.0,0.436455219,198.0,-0.482308,-0.264261812
RPL5,1058.0,0.451564158,75.0,-0.481462,0.149164491
RPL7,1077.0,0.460258279,707.0,0.291662,-0.359109394
RPS11,373.0,0.483080585,92.0,-0.087371,-0.047228939
RPS24,4247.0,0.430653047,142.0,0.165558,0.107611286
RPS25,109.0,0.467193878,63.0,-0.08345,0.253119881
RPS27A,743.0,0.450449292,321.0,-0.412799,-0.207304833
RPS3A,306.0,0.426765211,80.0,-0.05869,0.060386079
RPS4X,629.0,0.442998752,96.0,-0.478553,0.050966359
RPS6,2723.0,0.413925579,42.0,-0.633724,-0.125749028
RPS6KA1,828.0,0.389798854,163.0,0.158175,-0.188987478
RPS6KA4,735.0,0.38455359,226.0,0.336931,0.281132213
RPS7,66.0,0.428822459,109.0,-0.236511,-0.043728743
RPTOR,2341.0,0.385169267,805.0,0.397826,0.489854156
RREB1,3012.0,0.456825357,492.0,0.176576,-0.039447049
RRM1,2304.0,0.437568848,689.0,-0.421196,-0.413600704
RRP8,5071.0,0.446233376,148.0,-0.297151,-0.165980296
RRS1,978.0,0.468289248,104.0,0.309498,0.070067566
RTN3,1690.0,0.358048129,187.0,-0.507922,0.138490314
RTN4IP1,1108.0,0.372133716,477.0,0.197357,-0.076356087
RUNX1,4334.0,0.416076551,1578.0,-0.492687,-0.171701629
RUNX3,2611.0,0.405217602,439.0,2.219588,0.86447196
RWDD1,6365.0,0.401367905,746.0,0.073112,-0.159792733
S100A8,71.0,0.444112716,170.0,-0.289809,-1.437196232
S100A9,189.0,0.439508357,43.0,0.28653,-2.024996083
SAMD9,1815.0,0.395660052,270.0,2.191373,0.586719345
SAMD9L,1162.0,0.396305952,1248.0,2.629399,0.835395806
SAMM50,150.0,0.345249646,197.0,-0.35373,0.316974499
SAMSN1,684.0,0.407246581,430.0,2.321199,0.616186142
SAP18,1754.0,0.427429047,39.0,-0.538795,0.178021507
SAP30BP,1541.0,0.449617255,257.0,0.214294,0.030212615
SAR1A,5213.0,0.411769389,203.0,0.259881,0.084100312
SAR1B,5806.0,0.392367964,253.0,-0.217129,0.07822109
SARS,1054.0,0.40098191,100.0,-0.382848,-0.040982764
SASH3,1369.0,0.387406112,182.0,2.985769,0.792603417
SCAMP4,1741.0,0.472519575,351.0,-1.034337,-0.252891992
SCO1,8645.0,0.407339367,61.0,0.54657,-0.262680668
SDCCAG8,307.0,0.360606297,1542.0,0.275025,-0.098973219
SEC11C,205.0,0.423646802,92.0,1.087684,1.042696046
SEC13,332.0,0.457264526,210.0,-0.222795,-0.072882411
SEC14L1,2986.0,0.420320088,665.0,1.192973,-0.133315839
SEC22A,2559.0,0.422343815,79.0,-0.048407,-0.221919128
SEC24B,1221.0,0.400931805,155.0,0.256557,-0.128891572
SEC24D,2115.0,0.386600041,297.0,0.261169,-0.059975262
SEC61B,270.0,0.404562259,76.0,-0.162854,0.605754004
SEMA3F,960.0,0.38837398,318.0,-1.167297,-0.53264273
SEMA4A,755.0,0.412797256,345.0,1.270543,0.573413507
SEMA4D,2318.0,0.393173667,572.0,1.941405,0.575351099
SERPINA1,1707.0,0.420489385,573.0,0.66478,-0.854425905
SERPINB8,2096.0,0.38524815,520.0,0.621957,0.324443936
SETMAR,321.0,0.414235412,398.0,-0.816028,-0.474250905
SEZ6L2,540.0,0.431800162,245.0,-3.054004,-0.379143762
SF1,2419.0,0.374481437,721.0,0.029726,0.121979597
SF3B2,563.0,0.453902675,40.0,0.018185,0.02452085
SFXN4,500.0,0.402513841,45.0,0.289008,0.138613665
SH3BP1,433.0,0.395530944,313.0,1.471788,0.447932602
SH3PXD2B,4870.0,0.420952884,171.0,-0.833754,-0.628735759
SHMT1,4335.0,0.394510245,509.0,-0.072026,-0.52517597
SIGLEC1,1590.0,0.42099348,0.0,2.136976,0.634537941
SIPA1,2933.0,0.437718847,296.0,0.941017,0.282310772
SIRPA,3027.0,0.429235057,360.0,0.687994,0.18017131
SKP1,8791.0,0.433886974,179.0,-0.589595,-0.169205705
SLBP,3046.0,0.391438372,553.0,0.056038,-0.086354478
SLC25A10,1929.0,0.386184273,191.0,-1.579242,-0.038595005
