,3prime,tAI,max_5_UTR_length,TCGA-BH-A18U,TCGA-BH-A18U.1
IFIT2,1901.0,0.420797646,175.0,1.023896,0.015577091
IFIT3,843.0,0.417440574,529.0,1.074851,0.131830398
IFIT5,2354.0,0.414819429,231.0,0.487418,0.234594885
IFT27,109.0,0.4030938,426.0,-0.138383,0.268780167
IGFBP3,1605.0,0.43060006,132.0,-0.297143,0.072603114
IGFBP7,558.0,0.392734536,34.0,-0.518359,-0.322743485
IKBKE,745.0,0.435100597,714.0,-0.274855,-0.011939947
IL16,3965.0,0.367979445,2395.0,-0.826163,0.579988644
IL1RN,1145.0,0.411881061,408.0,0.319974,-0.047712303
IL4I1,16.0,0.4139018,621.0,1.288912,0.614624738
ILF2,656.0,0.426220446,239.0,0.141462,-0.150409748
IMPA2,2898.0,0.383680893,242.0,0.302134,-0.770734099
INO80,5209.0,0.374025479,351.0,-0.236801,0.395985618
INPP1,263.0,0.395712795,700.0,-0.921655,0.13906256
INPP5D,1195.0,0.436077769,512.0,-0.830762,0.401761565
INSR,4801.0,0.380857973,411.0,-0.388378,-0.42439801
IPO5,2508.0,0.381335948,180.0,-0.072677,-0.2288048
IRF7,92.0,0.423538356,367.0,-0.558864,0.101016187
IRF8,1327.0,0.384714127,507.0,-0.703108,0.166181725
IRF9,369.0,0.432057622,127.0,0.383712,0.167952688
IRGQ,7659.0,0.399674011,156.0,0.046068,0.002598539
ISCU,607.0,0.454630229,1331.0,-0.264742,0.071663937
ISG15,62.0,0.419522688,77.0,0.900736,-0.51897545
ISG20,952.0,0.419932377,2368.0,-0.533939,0.52821111
ISOC1,1056.0,0.418535314,18.0,1.62512,0.70454612
ITGB2,415.0,0.457304004,395.0,0.516353,-0.118866832
ITPKB,2981.0,0.440250717,340.0,-1.350875,-0.103117832
JUNB,496.0,0.414023332,276.0,-1.177757,0.272875093
JUP,157.0,0.458302936,298.0,0.446545,-0.221474128
KANK2,2291.0,0.394238955,361.0,-0.550827,0.18838199
KARS,4202.0,0.383913431,144.0,-0.027929,0.2148881
KDM1A,327.0,0.428444011,149.0,-0.136465,0.072082904
KDM2A,3716.0,0.372295488,864.0,0.296894,0.144517472
KDM2B,2488.0,0.393022165,407.0,-0.258916,-0.715588759
KDM3B,1327.0,0.37791414,200.0,0.093196,0.129979549
KDM4A,1148.0,0.378142374,166.0,-0.670848,0.109882226
KHSRP,1024.0,0.456900489,110.0,0.511253,0.087899944
KIAA2013,727.0,0.385456054,191.0,-0.273831,-0.171951813
KIF22,75.0,0.392489541,388.0,0.492836,0.28795109
KIF2C,588.0,0.387865377,395.0,1.477738,0.004268978
KIF3B,3792.0,0.390782105,180.0,0.971242,0.682263125
KIF5B,3198.0,0.418236129,470.0,0.226277,0.215384405
KLHL7,3616.0,0.41595405,521.0,0.228428,0.261587925
KTI12,594.0,0.370414154,39.0,-0.172917,0.247643688
LAMP1,1311.0,0.390985106,281.0,-0.752642,-0.290488017
LANCL2,2422.0,0.433733517,578.0,-0.980272,-0.47670975
LAP3,503.0,0.426841798,162.0,-0.069237,0.286242416
LDHD,1826.0,0.398770776,52.0,-0.23423,0.152071363
LENG1,560.0,0.445950324,48.0,-0.214649,-0.304079315
LGALS3,159.0,0.420172221,88.0,0.452793,-0.021370088
LGALS3BP,1225.0,0.419930622,179.0,-1.121343,-0.660875577
LGALS9,641.0,0.410654931,118.0,-0.108136,0.428179394
LIN54,4893.0,0.441729058,383.0,1.734942,0.223658294
LPCAT1,2228.0,0.380803123,133.0,-0.218853,-0.329815664
LPXN,1776.0,0.432350833,254.0,0.248363,0.266574915
LRPPRC,2376.0,0.377375074,58.0,0.366351,-0.139850282
LRRC25,843.0,0.434491636,642.0,0.117535,0.094180956
LRRC41,465.0,0.438391248,44.0,-0.626413,-0.554945002
LRRC59,1755.0,0.423067849,236.0,0.480218,-0.589042443
LSM1,486.0,0.409616526,410.0,0.26914,0.231835701
LSM6,1871.0,0.435100303,139.0,-0.356619,0.33084383
LTA4H,391.0,0.355044638,145.0,0.698266,0.439530864
LYN,4058.0,0.418972994,282.0,-0.230421,-0.314785355
LYPLAL1,1137.0,0.3973742,157.0,0.730673,0.488746441
LYRM4,6830.0,0.366844497,217.0,-0.687649,0.255804909
LYSMD2,596.0,0.394037378,501.0,0.463738,0.440149071
M6PR,1457.0,0.379162834,275.0,-0.211845,-0.480165339
MAD2L1,4528.0,0.407191351,124.0,1.189295,-0.058803583
MAFB,2032.0,0.405989564,390.0,-0.387599,0.216949172
MAGED2,327.0,0.466698843,233.0,-0.903444,-0.438092155
MAGOH,153.0,0.416054235,162.0,-0.249588,0.175457752
MAN2B1,128.0,0.381728903,76.0,-0.682508,0.139685386
MANF,717.0,0.420319188,97.0,0.601954,0.665056615
MAP4K1,170.0,0.374128007,140.0,-0.825036,0.495614778
MARCKSL1,768.0,0.468216312,206.0,-0.414355,-0.152278897
MAX,2676.0,0.337149475,479.0,-0.64388,0.072400121
MBD2,3723.0,0.420256858,229.0,-0.398652,0.155071647
MBP,4041.0,0.393290432,264.0,-2.069816,-0.55410454
MCM2,662.0,0.460999542,110.0,1.515642,0.234259469
MCM4,2618.0,0.371821308,942.0,1.192559,0.257289826
MCM5,3214.0,0.470488076,94.0,0.300407,0.046349558
MDC1,658.0,0.415783633,440.0,0.97908,-0.111947256
MDH1,210.0,0.381672323,435.0,0.415611,-0.020248224
ME1,1535.0,0.411214685,265.0,-0.78909,-0.009076819
ME3,171.0,0.395156177,377.0,-1.025234,0.25484491
MECR,1365.0,0.445670958,612.0,-0.219345,0.149166731
MED17,2631.0,0.366528813,275.0,0.496273,0.230176145
MED19,934.0,0.439623042,93.0,0.920957,0.300752189
MED28,10307.0,0.440157501,27.0,0.061375,0.096336586
MED29,4550.0,0.464327351,57.0,0.095964,0.337817662
MEF2C,6848.0,0.41426337,654.0,-0.661045,0.218339869
MEN1,824.0,0.454590692,504.0,0.818925,-0.311135324
METTL13,961.0,0.396264071,347.0,-0.244152,0.019854254
MGST3,1295.0,0.374563048,428.0,-0.041676,-1.115476316
MIF4GD,787.0,0.397877071,137.0,0.75682,-0.007444852
MINK1,774.0,0.455972684,525.0,-0.646448,-0.319070232
MIS12,1334.0,0.420723459,745.0,0.51707,-0.079620484
MLEC,5319.0,0.43043384,173.0,-0.122822,-0.526942564
MLX,1636.0,0.386664187,65.0,0.534658,0.060594835
MMADHC,5382.0,0.406207656,205.0,0.290398,0.124405802
MMGT1,4451.0,0.406300672,388.0,-0.1377,-0.001806573
MMP1,502.0,0.392399458,189.0,4.450429,0.408257822
MMP14,1722.0,0.419367787,285.0,0.11971,0.099431316
MMP9,193.0,0.404253633,19.0,-0.987536,-0.719421221
MORC3,2052.0,0.406702124,375.0,0.267056,0.072184774
MORF4L1,1066.0,0.420719378,454.0,0.044233,0.183860925
MOV10,619.0,0.412681236,1415.0,-1.123934,-0.326456919
MPDU1,797.0,0.440676037,216.0,-0.18382,-0.987951502
MPHOSPH10,87.0,0.404440607,352.0,0.415759,0.014502521
MRI1,2018.0,0.459301832,75.0,-0.398893,-0.683491355
MRPL13,1075.0,0.395373051,313.0,1.398573,0.106692201
MRPL15,1888.0,0.407701507,63.0,0.467742,-0.143191275
MRPL16,212.0,0.368940255,214.0,0.535534,-0.220453993
MRPL17,6554.0,0.424450505,105.0,0.097107,-0.0233375
MRPL2,580.0,0.458698472,164.0,0.391394,0.00468454
MRPL20,187.0,0.445765675,96.0,-0.114697,-0.045986111
MRPL21,55.0,0.417448467,293.0,0.850033,-0.068829125
MRPL27,2133.0,0.436300758,31.0,0.27921,-0.211595977
MRPL40,113.0,0.406843086,653.0,1.229091,-0.020246115
MRPL46,1889.0,0.422788385,25.0,-0.390726,0.015185163
MRPL48,1284.0,0.368940255,212.0,1.222693,-0.132194788
MRPL51,2069.0,0.35376587,169.0,-0.000114,-0.061471603
MRPL53,198.0,0.441261883,155.0,0.266533,-0.444800231
MRPL9,407.0,0.432679379,437.0,-0.13781,-0.334986964
MRPS11,2793.0,0.477818717,1491.0,-0.152253,0.038528274
MRPS15,468.0,0.440649404,164.0,0.048344,0.336275723
MRPS17,1334.0,0.413812124,30.0,1.810001,0.324699802
MRPS18B,936.0,0.408462865,157.0,0.757554,0.267912048
MRPS36,933.0,0.3748339,84.0,0.926138,0.204709579
MRPS7,453.0,0.455992019,233.0,0.317875,0.152249631
MSI2,5168.0,0.366385762,173.0,0.941087,-0.171673266
MSTO1,694.0,0.421389639,1152.0,0.324117,0.155980507
MT2A,316.0,0.576670685,123.0,-0.081693,-0.142443377
MTA2,684.0,0.459443446,761.0,0.280331,-0.023249167
MTFMT,1550.0,0.414190941,26.0,-0.063597,0.458823214
MTHFS,1663.0,0.434592403,179.0,-0.360777,0.246266611
MTMR1,2442.0,0.424163835,319.0,-0.092858,0.197332019
MTMR14,421.0,0.371137969,151.0,0.374411,0.209120696
MVP,50.0,0.435053297,193.0,-0.792145,0.228716925
MX1,456.0,0.433488503,982.0,0.685493,-0.07130992
MX2,1812.0,0.430094961,104.0,0.721481,0.295794777
MYADM,2833.0,0.384589896,681.0,-0.201952,-1.011332773
MYCBP,3972.0,0.381803634,73.0,0.277354,0.024948382
MYL12A,812.0,0.453450746,478.0,0.221464,0.104737463
MYO18A,3647.0,0.395788337,484.0,-0.816594,-0.019849337
MYO9B,1401.0,0.398943925,152.0,-0.202311,0.052531448
N6AMT1,5137.0,0.427535625,28.0,-0.083356,0.433388679
NAA40,3212.0,0.389371031,261.0,1.032684,0.469527614
NAB1,2433.0,0.361024962,572.0,0.241263,0.090540347
NADK,1672.0,0.3959688,563.0,0.035156,0.391225306
NADSYN1,464.0,0.447848979,126.0,0.56272,0.215215157
NAGK,1297.0,0.42527382,474.0,0.780721,0.549088652
NANS,37.0,0.458552255,132.0,-0.113947,0.139916356
NAPA,1862.0,0.477781443,318.0,0.362529,0.324633077
NAT10,4915.0,0.387474071,245.0,0.213084,-0.187477699
NBAS,140.0,0.414580543,44.0,-0.061123,-0.106077336
NCALD,2767.0,0.374888213,460.0,0.13303,0.418266442
NCAPD3,2971.0,0.431957579,606.0,1.686723,0.033220978
NCAPG2,3501.0,0.41630572,200.0,0.971043,-0.007929673
NCF1,2381.0,0.415579251,70.0,0.464599,0.62453514
NCK2,1267.0,0.457831152,276.0,-2.3293,-0.221393989
NCKIPSD,4981.0,0.449411541,126.0,0.786459,0.12920076
NCOA5,1332.0,0.416761948,402.0,0.181414,-0.168842095
NCOA7,3259.0,0.404217869,470.0,-0.39636,0.431658436
NDC80,61.0,0.356199389,182.0,2.036836,0.490942741
NDRG2,841.0,0.376266446,941.0,-1.436548,-0.61793019
NDUFA4,1685.0,0.439642808,129.0,-0.269769,-0.269960297
NEU1,667.0,0.413226082,156.0,0.267804,-0.164426083
NFATC2IP,3242.0,0.412267479,15.0,0.404081,0.496798756
NFKB1,708.0,0.4099683,467.0,-1.273938,-0.065782809
NFKB2,153.0,0.424806573,563.0,-0.324317,-0.13526442
NFKBIE,1053.0,0.409138176,25.0,-0.803075,-0.097901444
NGDN,1255.0,0.423783924,27.0,0.029902,0.090542226
NGRN,1679.0,0.414477409,50.0,-0.093754,0.242659489
NINJ1,5217.0,0.455972644,71.0,0.249591,-0.061962454
NIP7,1593.0,0.443769116,318.0,-0.053458,0.142463407
NIT2,2351.0,0.432361565,74.0,0.432778,0.007375828
NMNAT3,2689.0,0.397393877,1228.0,2.840443,0.507612487
NMT1,3377.0,0.454689408,31.0,0.372736,0.246303714
NONO,1092.0,0.432928506,710.0,0.005741,0.032347547
NOP14,912.0,0.38067473,187.0,-0.241883,-0.048213567
NOP2,785.0,0.393538298,198.0,-0.053017,-0.182008705
NOTCH2,6062.0,0.409327653,297.0,-0.723786,-0.015719393
NPTN,1068.0,0.388989686,197.0,0.075157,-0.261446943
NR2C2,6271.0,0.390767743,362.0,0.186973,0.053602824
NRBF2,883.0,0.43605128,224.0,0.698239,-0.417238436
NRF1,1901.0,0.447602651,500.0,-0.205506,0.003352245
NRGN,833.0,0.413631862,152.0,2.348721,0.284041937
NRP1,3846.0,0.416817106,523.0,-0.413785,-0.000320099
NSFL1C,1587.0,0.42738001,868.0,0.843448,0.230518114
NSMAF,602.0,0.358586884,214.0,-0.967163,-0.121495988
NTAN1,178.0,0.344459601,320.0,0.340581,0.001317795
NUBP1,246.0,0.455923678,142.0,0.010911,0.21199886
NUCKS1,5461.0,0.359398328,271.0,-0.096254,-1.114823672
NUDC,716.0,0.476401948,127.0,-0.104742,-0.090932522
NUDT16,5489.0,0.428387545,75.0,0.100555,0.207563387
NUMA1,663.0,0.474508115,436.0,0.235932,-0.166503699
NUP93,5678.0,0.382018893,495.0,0.257164,-0.118065533
NXF1,2943.0,0.375826754,136.0,0.37661,0.221617294
OCIAD2,4872.0,0.363821488,322.0,-0.980389,-0.98613414
OGDH,1071.0,0.396078149,159.0,0.058857,0.151880213
OPA3,7233.0,0.475004358,100.0,0.217362,-0.818351129
OSBPL2,2363.0,0.383456763,571.0,0.184402,-0.084100243
OSBPL5,1099.0,0.381371042,158.0,-0.750158,-0.306400576
OVCA2,792.0,0.429983078,65.0,0.019361,0.104185322
P2RX4,573.0,0.442596273,304.0,-0.512221,-0.416024712
PAAF1,509.0,0.376143366,341.0,1.265571,0.278445007
PACSIN2,1591.0,0.413490434,405.0,0.696788,0.597153
PARK7,451.0,0.457171775,163.0,-0.116688,-0.11632132
PARP1,769.0,0.460215809,171.0,0.370686,0.065709086
PARP10,332.0,0.422654659,200.0,0.036465,0.240199478
PARP12,816.0,0.416480622,874.0,0.390494,0.214828463
PARP14,2243.0,0.414355918,59.0,0.520063,0.087194847
PARP9,451.0,0.418102187,327.0,0.706222,0.341914045
PARVG,2043.0,0.383803232,484.0,-0.208806,0.506362859
PBK,750.0,0.413339119,464.0,1.922263,0.139818391
PCNA,338.0,0.425000199,239.0,1.566076,0.127898857
PDAP1,2007.0,0.464659554,134.0,-0.237747,0.006939089
PDCD2,155.0,0.440448783,111.0,0.122987,0.179945075
PDCD2L,48.0,0.433436103,33.0,0.467719,0.328404443
PDCD6IP,3211.0,0.388727459,158.0,0.881084,0.135409638
PDHA1,2054.0,0.402514578,145.0,-0.189562,0.190151391
PDHB,2974.0,0.442593378,43.0,1.000734,0.323578501
PDLIM1,357.0,0.379179626,233.0,-0.0662,-0.244925453
PDXDC1,2055.0,0.375670185,335.0,0.349946,0.449629866
PDXK,6244.0,0.398158884,198.0,-0.827605,0.18307699
PEBP1,796.0,0.360152166,326.0,-0.971557,-0.256081629
PEF1,769.0,0.441759403,424.0,-0.076479,0.273755935
PELO,5222.0,0.385240523,985.0,0.204468,-0.086465684
PEPD,395.0,0.450896903,133.0,-0.357808,0.487504808
PEX16,585.0,0.43213601,312.0,-0.126296,-0.230009372
PEX6,946.0,0.370078344,93.0,-1.059963,0.069491569
PEX7,2294.0,0.407005497,102.0,0.485302,0.429148802
PFDN5,124.0,0.497062947,117.0,-0.168828,0.323011233
PFDN6,574.0,0.470152145,222.0,0.806466,0.236959519
PGM1,570.0,0.393980016,681.0,-0.833124,0.040117576
PHB,988.0,0.45268542,190.0,1.391117,-0.161430167
PHF10,104.0,0.365149381,79.0,0.220906,0.097316871
PI4K2A,2692.0,0.385068362,57.0,-0.127693,-0.340986026
PIAS1,3626.0,0.396022529,741.0,-0.064614,-0.114757384
PIK3AP1,3866.0,0.407313024,128.0,0.524739,0.293337397
PIR,205.0,0.385796208,485.0,1.353119,0.391916983
PITPNC1,4686.0,0.369070722,874.0,-1.060548,-0.090705118
PLA2G4C,585.0,0.406173977,398.0,-0.268673,0.104744263
PLA2G7,1187.0,0.402486321,269.0,1.27095,0.260228124
PLAUR,323.0,0.418467601,226.0,0.499296,-0.298267308
PLCB2,818.0,0.468984469,301.0,-0.50268,0.312441112
PLCG1,3987.0,0.454806205,121.0,0.005219,0.032905343
PLD4,273.0,0.377985619,192.0,-3.578127,0.432242946
PLEKHO1,5192.0,0.424698037,839.0,-0.115412,0.295960017
PLEKHO2,2119.0,0.429714475,134.0,-0.135307,0.356895888
PML,3324.0,0.431306474,140.0,-0.563107,0.209244978
POLR1C,1131.0,0.439933821,86.0,0.477877,0.18819654
POLR1D,1469.0,0.427162265,456.0,-0.238474,0.017599766
POLR2F,1600.0,0.47244007,250.0,0.442021,0.072497792
POLR2H,1065.0,0.427596015,1167.0,0.527487,-0.362682668
POLR3H,3481.0,0.444306047,388.0,0.535291,0.448489078
POLR3K,1023.0,0.473025152,46.0,0.114242,0.366320805
PPA2,660.0,0.432735716,20.0,0.261332,0.045361707
PPIE,4556.0,0.446406574,56.0,-0.185219,-0.199600389
PPIL1,1921.0,0.453832883,252.0,0.953797,0.050534213
PPP1R14B,282.0,0.457456004,268.0,-0.089853,0.188866437
PRC1,1136.0,0.367783806,234.0,1.366255,0.33237435
PRCC,357.0,0.381841119,290.0,-0.055968,-0.409037706
PRDX1,303.0,0.414090753,341.0,0.090895,-0.042452134
PRDX6,944.0,0.433706552,51.0,0.523666,-0.024479592
PREB,658.0,0.378530018,403.0,0.240285,-0.443325725
PREP,579.0,0.425974009,233.0,0.534993,-0.080346058
PRG4,784.0,0.366727173,51.0,-0.602711,0.307055404
PRIM2,1166.0,0.350864643,125.0,0.159738,-0.072651338
PRKAB1,1305.0,0.365943644,289.0,-0.628719,0.20349324
PRKAR2A,5019.0,0.427443141,254.0,1.077212,0.155207343
PRKCB,5795.0,0.38010529,197.0,-0.974078,0.50964747
PRKCD,451.0,0.404392693,469.0,0.440553,0.091425792
PRKRA,683.0,0.420894136,659.0,0.441706,0.023000115
PRKRIP1,3224.0,0.453589322,55.0,-0.345061,-0.469809263
PRMT5,393.0,0.386451423,508.0,0.214082,-0.075917756
PRMT7,3655.0,0.450088803,850.0,-0.072662,0.015144204
PROCR,549.0,0.357872186,218.0,-0.418854,-0.470205136
PRPS1,3908.0,0.466551451,409.0,0.435771,0.27478656
PRPSAP1,2056.0,0.390811115,688.0,-0.132994,0.12794463
PRRC1,3173.0,0.409170839,188.0,0.63069,0.1688499
PSMA5,2997.0,0.446573967,225.0,-0.097099,-0.001128325
PSMA6,187.0,0.423632682,445.0,0.330143,0.115947132
PSMB10,58.0,0.455018511,128.0,-0.58288,0.226971386
PSMB2,3775.0,0.389848815,412.0,0.33146,-0.002224836
PSMB8,242.0,0.411206622,522.0,0.308831,0.273793702
PSMB9,5497.0,0.431095699,69.0,0.450777,0.40707396
PSMC3,66.0,0.485654947,194.0,-0.130874,0.186851252
PSMD11,2567.0,0.390095635,61.0,2.538104,0.410513291
PSMD13,384.0,0.437236365,242.0,-0.344171,0.113035617
PSMD8,450.0,0.458928351,52.0,0.234523,0.279293986
PSME2,53.0,0.443656162,65.0,0.200132,0.173697293
PSMG1,5308.0,0.427553471,578.0,0.557765,0.044235845
PSTPIP2,1923.0,0.429639796,96.0,0.752908,0.33291331
PTBP1,1504.0,0.473818895,106.0,0.037476,0.049155779
PTDSS1,3765.0,0.367954205,423.0,0.499774,-0.641994033
PTGS1,3346.0,0.37260918,633.0,-0.316342,0.096751073
PTPMT1,1899.0,0.450492628,193.0,-0.188412,-0.222680312
PTPN18,2185.0,0.381656528,101.0,-0.896808,0.050874201
PTPN7,1593.0,0.440747449,781.0,0.165701,0.313229543
PTPRE,2994.0,0.426620112,1843.0,-0.40856,0.220105289
PTPRF,4571.0,0.452810321,356.0,-0.610091,-0.604712035
PTRH2,3186.0,0.370743372,1544.0,0.213241,-1.111832807
PWWP2B,819.0,0.424412275,29.0,-1.724261,-0.278852593
PYCR2,578.0,0.474148407,230.0,0.437591,-0.063966708
PYGL,175.0,0.392036998,127.0,0.585531,0.343204408
QARS,97.0,0.458996209,396.0,0.510231,0.103047475
RAB11FIP1,4277.0,0.380614122,56.0,0.207701,-0.132078785
RAB12,1120.0,0.38483812,283.0,-0.340343,-0.313764354
RAB21,5246.0,0.435367738,267.0,0.181848,-0.244122183
RAB31,3231.0,0.437498832,175.0,0.636501,-0.133828748
RAB35,2172.0,0.408841719,189.0,-0.671108,-0.452941126
RAB7A,1376.0,0.419395127,232.0,0.55384,-0.433203737
RAB8B,4163.0,0.425956778,96.0,-0.077455,-0.252572905
RAB9A,1716.0,0.417525007,283.0,0.018761,-0.256024806
RABGGTA,77.0,0.387342734,512.0,-0.328215,-0.005378531
RABGGTB,440.0,0.409412379,78.0,0.171442,-0.033449563
RABIF,4760.0,0.447399225,159.0,-0.179582,0.131603183
RACGAP1,1895.0,0.366370127,354.0,1.501004,0.116167268
RAD9A,924.0,0.444046557,185.0,0.493675,0.19873431
RAE1,1112.0,0.432613552,365.0,0.903168,0.211708558
RAI1,1472.0,0.455620822,469.0,0.407031,0.208152341
RAN,2043.0,0.442855294,361.0,0.450776,0.11886122
RANBP10,3359.0,0.379453562,1256.0,-0.076719,0.306182699
RANGAP1,3145.0,0.481547647,765.0,0.283516,0.249828583
RAPGEF1,2727.0,0.425793135,159.0,-0.752408,0.078065821
RARS,114.0,0.423508657,41.0,0.566176,-0.040302476
RASGRP2,183.0,0.381671176,582.0,-1.605675,0.01038617
RASGRP4,985.0,0.374724859,214.0,0.021153,0.468504315
RBBP4,6506.0,0.404056961,164.0,0.222431,-0.065382584
RBBP5,3098.0,0.421849625,474.0,0.458888,0.283503578
RBKS,251.0,0.392307233,1371.0,0.552948,0.178603598
RBM12,3599.0,0.375183789,304.0,0.476948,-0.105498242
RBM14,3443.0,0.468008211,139.0,0.461665,-0.071642622
RBM4B,5277.0,0.396841232,170.0,0.621174,-0.017695348
RBMX,1201.0,0.353737079,210.0,0.428661,-0.010276764
RBPJ,4223.0,0.4178224,518.0,-0.388285,0.242584259
RBX1,821.0,0.46562919,52.0,0.576638,-0.196354311
RC3H1,7637.0,0.410085914,87.0,-0.243503,0.033076906
RCCD1,1773.0,0.374130224,280.0,0.989302,0.391863454
RCOR1,4070.0,0.439565312,228.0,-0.212394,-0.034013454
REEP4,591.0,0.460338979,469.0,0.013634,-0.887716841
REEP5,2962.0,0.457536941,144.0,0.499205,-0.319803672
RELB,408.0,0.418226182,131.0,-1.006706,0.082830375
REPIN1,2683.0,0.45080531,489.0,-0.81006,-0.316836302
RFC4,89.0,0.411167541,282.0,1.305872,0.146958137
RFK,1882.0,0.429285662,357.0,0.293851,0.246938773
RFX5,1546.0,0.386685917,221.0,0.303776,0.115146589
RFXAP,1850.0,0.421314391,156.0,0.337444,-0.912722552
RHBDF2,740.0,0.423256567,294.0,-0.503435,-0.093108471
RHOT2,568.0,0.454546166,881.0,-0.63232,-0.443463176
RNASE2,179.0,0.384567964,71.0,0.353725,-0.174650376
RNASEH1,4369.0,0.404567903,700.0,0.002339,0.57177782
RNASEH2B,3930.0,0.37625722,399.0,-0.224421,-0.017375251
RNASET2,1070.0,0.374792559,407.0,-0.302447,0.107462864
RNF114,1751.0,0.459950313,36.0,0.973417,-0.094565065
RNF167,289.0,0.375291206,776.0,0.007211,-0.49016921
RNF20,5226.0,0.396317502,92.0,0.570585,0.129367248
RNF213,5288.0,0.417718743,150.0,0.147975,-0.2800494
RNF216,2819.0,0.430061571,259.0,-0.939184,-0.46015459
RNF25,102.0,0.375620157,88.0,-0.012008,-0.124806539
RNF31,88.0,0.389352607,358.0,-0.63467,-0.178229215
RNLS,1252.0,0.416402283,135.0,-1.311758,0.401637647
RNMT,4581.0,0.415128602,241.0,0.176154,0.266896749
RNPEP,463.0,0.447181346,896.0,0.017783,-0.169865787
RP9,437.0,0.42869019,18.0,-0.632969,-0.017751191
RPA1,2907.0,0.381710028,170.0,0.467155,0.116903164
RPA2,639.0,0.400070522,793.0,0.386329,0.28993113
RPAIN,471.0,0.394698889,570.0,-0.326582,-0.334999643
RPL11,461.0,0.442317923,45.0,-0.101254,-0.049816811
RPL14,5208.0,0.496792394,133.0,0.84571,0.040276689
RPL23,3146.0,0.464880603,90.0,0.971636,0.217780663
RPL26,53.0,0.427802183,389.0,0.074787,-0.827929703
RPL31,1260.0,0.451994935,87.0,0.497281,-0.080438518
RPL34,1350.0,0.436455219,198.0,-0.766137,-0.095185554
RPL5,1058.0,0.451564158,75.0,-0.296484,0.09653048
RPL7,1077.0,0.460258279,707.0,0.553091,0.289272919
RPS11,373.0,0.483080585,92.0,0.075515,0.095095188
RPS24,4247.0,0.430653047,142.0,0.550538,0.220663242
RPS25,109.0,0.467193878,63.0,0.804611,-0.115821988
RPS27A,743.0,0.450449292,321.0,0.609632,-0.026852014
RPS3A,306.0,0.426765211,80.0,-0.158147,0.000890257
RPS4X,629.0,0.442998752,96.0,0.028963,0.184486134
RPS6,2723.0,0.413925579,42.0,-0.348415,-0.163107995
RPS6KA1,828.0,0.389798854,163.0,-0.758107,-0.060253802
RPS6KA4,735.0,0.38455359,226.0,-0.165033,0.255478661
RPS7,66.0,0.428822459,109.0,0.159148,-0.1257308
RPTOR,2341.0,0.385169267,805.0,-0.426378,-0.111236194
RREB1,3012.0,0.456825357,492.0,-1.179899,-0.587411607
RRM1,2304.0,0.437568848,689.0,0.258316,-0.052794409
RRP8,5071.0,0.446233376,148.0,-0.286375,-0.374820461
RRS1,978.0,0.468289248,104.0,0.67718,0.156113809
RTN3,1690.0,0.358048129,187.0,1.47596,-0.738683534
RTN4IP1,1108.0,0.372133716,477.0,1.409501,0.373656725
RUNX1,4334.0,0.416076551,1578.0,-0.808471,0.215442703
RUNX3,2611.0,0.405217602,439.0,-0.45305,-0.192991703
RWDD1,6365.0,0.401367905,746.0,0.208839,0.097370978
S100A8,71.0,0.444112716,170.0,4.998892,-1.344404233
S100A9,189.0,0.439508357,43.0,4.623535,-1.343624958
SAMD9,1815.0,0.395660052,270.0,0.92988,0.307003717
SAMD9L,1162.0,0.396305952,1248.0,-0.038015,-0.107877385
SAMM50,150.0,0.345249646,197.0,0.938133,-0.5599645
SAMSN1,684.0,0.407246581,430.0,0.106418,0.175675037
SAP18,1754.0,0.427429047,39.0,-0.257028,-0.52288608
SAP30BP,1541.0,0.449617255,257.0,-0.089306,0.106430978
SAR1A,5213.0,0.411769389,203.0,0.046079,-0.102415823
SAR1B,5806.0,0.392367964,253.0,0.750357,0.239520999
SARS,1054.0,0.40098191,100.0,-0.417746,0.011976164
SASH3,1369.0,0.387406112,182.0,-0.253071,0.45323762
SCAMP4,1741.0,0.472519575,351.0,-0.488107,-0.393353609
SCO1,8645.0,0.407339367,61.0,0.104435,0.147433901
SDCCAG8,307.0,0.360606297,1542.0,0.344803,-0.219045235
SEC11C,205.0,0.423646802,92.0,0.660754,0.435002945
SEC13,332.0,0.457264526,210.0,0.090335,0.278853179
SEC14L1,2986.0,0.420320088,665.0,-0.281411,0.004242057
SEC22A,2559.0,0.422343815,79.0,0.734655,-0.131797054
SEC24B,1221.0,0.400931805,155.0,-0.342426,-0.091771399
SEC24D,2115.0,0.386600041,297.0,0.429753,0.243998546
SEC61B,270.0,0.404562259,76.0,-0.028807,-0.249273458
SEMA3F,960.0,0.38837398,318.0,0.36786,-0.056445751
SEMA4A,755.0,0.412797256,345.0,-0.351804,-0.183444455
SEMA4D,2318.0,0.393173667,572.0,-0.42417,-0.055455711
SERPINA1,1707.0,0.420489385,573.0,-0.380932,0.105114844
SERPINB8,2096.0,0.38524815,520.0,-0.474347,0.811041916
SETMAR,321.0,0.414235412,398.0,0.322105,0.039492389
SF1,2419.0,0.374481437,721.0,0.368077,0.109876991
SF3B2,563.0,0.453902675,40.0,0.484264,0.041132191
SFXN4,500.0,0.402513841,45.0,0.214965,-0.390862432
SH3BP1,433.0,0.395530944,313.0,-0.085082,0.382861318
SH3PXD2B,4870.0,0.420952884,171.0,-1.718208,-0.015417159
SHMT1,4335.0,0.394510245,509.0,0.860467,0.056376767
SIGLEC1,1590.0,0.42099348,0.0,0.68807,0.051356371
