,3prime,tAI,max_5_UTR_length,TCGA-AO-A0JJ,TCGA-AO-A0JJ.1
IFI44,267.0,0.403888008,124.0,0.187712,-0.697982907
IFI44L,5058.0,0.403608012,200.0,0.404532,-0.765597034
IFIH1,121.0,0.412344512,377.0,0.302863,-0.063773832
IFIT1,2775.0,0.411248073,495.0,0.748875,-0.005464043
IFIT2,1901.0,0.420797646,175.0,0.524077,-0.202635551
IFIT3,843.0,0.417440574,529.0,0.327868,-0.241871874
IFIT5,2354.0,0.414819429,231.0,0.629566,0.362269472
IFITM1,159.0,0.431550176,180.0,-0.125726,-0.254334268
IFT27,109.0,0.4030938,426.0,-0.039849,0.025365346
IGFBP3,1605.0,0.43060006,132.0,-0.278215,-0.229045827
IGFBP7,558.0,0.392734536,34.0,0.550715,-0.176990309
IKBKE,745.0,0.435100597,714.0,0.223994,0.19988337
IL16,3965.0,0.367979445,2395.0,1.225594,0.997490842
IL17RA,5874.0,0.376798811,133.0,0.113321,0.031584288
IL1RN,1145.0,0.411881061,408.0,-1.536822,-0.627827168
IL4I1,16.0,0.4139018,621.0,-0.01767,-0.412315853
ILF2,656.0,0.426220446,239.0,-0.407791,-0.297714225
IMPA2,2898.0,0.383680893,242.0,0.493783,0.142207565
INO80,5209.0,0.374025479,351.0,-0.28558,-0.11020716
INPP1,263.0,0.395712795,700.0,0.512264,0.629762975
INPP5D,1195.0,0.436077769,512.0,1.434775,0.877099638
INSR,4801.0,0.380857973,411.0,0.013483,-0.114335189
IPO5,2508.0,0.381335948,180.0,-0.484575,-0.520535994
IRF7,92.0,0.423538356,367.0,0.195331,0.01212819
IRF8,1327.0,0.384714127,507.0,1.406747,0.34923367
IRF9,369.0,0.432057622,127.0,0.460302,0.228269104
IRGQ,7659.0,0.399674011,156.0,-1.039091,-0.369535526
ISCU,607.0,0.454630229,1331.0,0.092402,-0.106751329
ISG15,62.0,0.419522688,77.0,0.52241,-0.750289558
ISG20,952.0,0.419932377,2368.0,0.155078,0.154161594
ISOC1,1056.0,0.418535314,18.0,-0.135678,-0.337209894
ITGB2,415.0,0.457304004,395.0,0.768999,0.753536619
ITPKB,2981.0,0.440250717,340.0,-0.126507,0.128740135
ITPRIP,5382.0,0.396785481,453.0,0.201428,-0.70826503
JUNB,496.0,0.414023332,276.0,0.85746,-0.117375493
JUP,157.0,0.458302936,298.0,-0.419711,-0.626622134
KANK2,2291.0,0.394238955,361.0,0.880003,0.817905779
KARS,4202.0,0.383913431,144.0,-0.366232,-0.211241151
KDM1A,327.0,0.428444011,149.0,-0.12198,-0.07959175
KDM2A,3716.0,0.372295488,864.0,-0.330603,-0.241896444
KDM2B,2488.0,0.393022165,407.0,0.077878,0.086681364
KDM3B,1327.0,0.37791414,200.0,0.030938,0.03276375
KDM4A,1148.0,0.378142374,166.0,-0.12844,-0.203858603
KHSRP,1024.0,0.456900489,110.0,0.019444,-0.185749521
KIAA2013,727.0,0.385456054,191.0,0.138795,0.101687764
KIF20A,757.0,0.371463873,496.0,-0.378158,0.009753967
KIF22,75.0,0.392489541,388.0,-0.434501,-0.20459908
KIF2C,588.0,0.387865377,395.0,-0.178019,-0.225187368
KIF3B,3792.0,0.390782105,180.0,-0.32634,-0.018563631
KIF5B,3198.0,0.418236129,470.0,-0.028261,-0.196985357
KLHL7,3616.0,0.41595405,521.0,-0.216055,-0.246736956
KTI12,594.0,0.370414154,39.0,-0.2528,0.040192252
LAMP1,1311.0,0.390985106,281.0,-0.350792,0.208585742
LANCL2,2422.0,0.433733517,578.0,-0.442366,-0.693228667
LAP3,503.0,0.426841798,162.0,0.010612,0.111796097
LDHD,1826.0,0.398770776,52.0,0.001015,0.012219025
LENG1,560.0,0.445950324,48.0,0.0262,0.108554903
LGALS3,159.0,0.420172221,88.0,0.452571,0.035438467
LGALS3BP,1225.0,0.419930622,179.0,0.794223,0.852299995
LGALS9,641.0,0.410654931,118.0,0.628247,0.566021467
LIN54,4893.0,0.441729058,383.0,0.251596,0.119983915
LPCAT1,2228.0,0.380803123,133.0,-0.05649,-0.194113962
LPXN,1776.0,0.432350833,254.0,0.985733,0.476261033
LRPPRC,2376.0,0.377375074,58.0,-0.308323,-0.540429882
LRRC25,843.0,0.434491636,642.0,0.217385,0.295545448
LRRC41,465.0,0.438391248,44.0,-0.120195,0.008754815
LRRC59,1755.0,0.423067849,236.0,-0.31182,-0.661690263
LSM1,486.0,0.409616526,410.0,-0.326493,-0.147602409
LSM6,1871.0,0.435100303,139.0,0.391707,0.417231922
LTA4H,391.0,0.355044638,145.0,0.073042,0.011985128
LYN,4058.0,0.418972994,282.0,0.738154,0.631470434
LYPLAL1,1137.0,0.3973742,157.0,0.10879,0.262857395
LYRM4,6830.0,0.366844497,217.0,-0.271722,-0.121964422
LYSMD2,596.0,0.394037378,501.0,0.250799,0.27723093
M6PR,1457.0,0.379162834,275.0,0.087925,-0.125657869
MAD2L1,4528.0,0.407191351,124.0,-0.005573,-0.576201739
MAFB,2032.0,0.405989564,390.0,0.614507,0.351216314
MAGED2,327.0,0.466698843,233.0,-0.002495,-0.436738235
MAGOH,153.0,0.416054235,162.0,0.121627,0.009535601
MAN2B1,128.0,0.381728903,76.0,0.187061,-0.081444037
MANF,717.0,0.420319188,97.0,0.054787,0.175720285
MAP4K1,170.0,0.374128007,140.0,1.435716,0.709013825
MARCKSL1,768.0,0.468216312,206.0,-0.296548,-0.498250862
MAX,2676.0,0.337149475,479.0,0.375407,0.587569966
MBD2,3723.0,0.420256858,229.0,-0.142432,0.048570389
MBP,4041.0,0.393290432,264.0,0.43193,0.357089953
MCM2,662.0,0.460999542,110.0,0.408269,-0.042415717
MCM4,2618.0,0.371821308,942.0,-0.131905,-0.031065641
MCM5,3214.0,0.470488076,94.0,0.842702,0.019852219
MDC1,658.0,0.415783633,440.0,-0.33089,-0.221525756
MDH1,210.0,0.381672323,435.0,0.266261,0.321909741
ME1,1535.0,0.411214685,265.0,0.976848,0.225065549
ME3,171.0,0.395156177,377.0,0.969796,0.447640709
MECR,1365.0,0.445670958,612.0,-0.172343,-0.061699299
MED17,2631.0,0.366528813,275.0,-0.04758,0.216167157
MED19,934.0,0.439623042,93.0,-0.180701,0.212739394
MED28,10307.0,0.440157501,27.0,0.310776,0.072082083
MED29,4550.0,0.464327351,57.0,-0.054019,0.012664359
MEF2C,6848.0,0.41426337,654.0,1.427065,1.104706557
MEN1,824.0,0.454590692,504.0,-0.090878,0.056345801
METTL13,961.0,0.396264071,347.0,-0.064783,-0.054579857
MGST3,1295.0,0.374563048,428.0,-0.537213,-0.879713512
MIF4GD,787.0,0.397877071,137.0,0.149714,-0.05213288
MINK1,774.0,0.455972684,525.0,-0.055545,0.234580248
MIS12,1334.0,0.420723459,745.0,-0.221558,0.197115673
MLEC,5319.0,0.43043384,173.0,-0.335153,0.019064259
MLLT10,2252.0,0.36295117,1568.0,-0.647507,-0.706388335
MLX,1636.0,0.386664187,65.0,0.063157,-0.151379292
MMACHC,1852.0,0.382684622,371.0,-0.072346,0.051253027
MMADHC,5382.0,0.406207656,205.0,0.258707,-0.14718511
MMGT1,4451.0,0.406300672,388.0,0.291735,-0.006263097
MMP1,502.0,0.392399458,189.0,-4.163146,-0.552102549
MMP14,1722.0,0.419367787,285.0,-0.124697,-0.222429608
MMP9,193.0,0.404253633,19.0,-1.05579,-1.438315789
MORC3,2052.0,0.406702124,375.0,0.248438,0.05945378
MORF4L1,1066.0,0.420719378,454.0,0.094334,0.271996274
MOV10,619.0,0.412681236,1415.0,-0.42391,-0.505115015
MPDU1,797.0,0.440676037,216.0,0.010008,-0.329072113
MPHOSPH10,87.0,0.404440607,352.0,-0.543563,-0.198170352
MRI1,2018.0,0.459301832,75.0,-0.07725,0.345987495
MRPL13,1075.0,0.395373051,313.0,-0.494265,-0.171308613
MRPL15,1888.0,0.407701507,63.0,-0.322543,-0.422952738
MRPL16,212.0,0.368940255,214.0,0.163709,-0.390148697
MRPL17,6554.0,0.424450505,105.0,0.13658,-0.08055982
MRPL2,580.0,0.458698472,164.0,-0.609484,-0.241202735
MRPL20,187.0,0.445765675,96.0,0.1051,-0.063716232
MRPL21,55.0,0.417448467,293.0,-0.242392,-0.330575261
MRPL27,2133.0,0.436300758,31.0,0.17379,-0.268817289
MRPL40,113.0,0.406843086,653.0,0.348856,-0.129504258
MRPL46,1889.0,0.422788385,25.0,-0.191938,-0.128720938
MRPL48,1284.0,0.368940255,212.0,-0.567848,-0.196986484
MRPL51,2069.0,0.35376587,169.0,-0.159646,-0.166965418
MRPL53,198.0,0.441261883,155.0,0.425111,-0.391232003
MRPL9,407.0,0.432679379,437.0,-0.146438,-0.344733537
MRPS11,2793.0,0.477818717,1491.0,-0.19157,-0.333545043
MRPS15,468.0,0.440649404,164.0,-0.166328,-0.359289299
MRPS17,1334.0,0.413812124,30.0,-0.455495,-0.377613802
MRPS18B,936.0,0.408462865,157.0,-0.657825,-0.236745659
MRPS36,933.0,0.3748339,84.0,0.325513,-0.184683736
MRPS7,453.0,0.455992019,233.0,0.296091,-0.504309537
MSI2,5168.0,0.366385762,173.0,0.594925,0.07186106
MSTO1,694.0,0.421389639,1152.0,-0.283742,-0.099690669
MT1E,291.0,0.588704726,179.0,-0.894884,-1.044589478
MT2A,316.0,0.576670685,123.0,-1.214709,-0.921434053
MTA2,684.0,0.459443446,761.0,-0.100002,-0.12746413
MTFMT,1550.0,0.414190941,26.0,-0.370366,0.079498963
MTHFS,1663.0,0.434592403,179.0,0.286693,0.116243663
MTMR1,2442.0,0.424163835,319.0,-0.461369,0.107707898
MTMR14,421.0,0.371137969,151.0,-0.066956,-0.08134507
MVP,50.0,0.435053297,193.0,-0.028263,-0.05793665
MX1,456.0,0.433488503,982.0,0.533711,-0.386599466
MX2,1812.0,0.430094961,104.0,0.294982,0.467556216
MYADM,2833.0,0.384589896,681.0,-0.553882,-0.445503822
MYCBP,3972.0,0.381803634,73.0,0.146765,-0.376778805
MYL12A,812.0,0.453450746,478.0,-0.0841,0.000915204
MYO18A,3647.0,0.395788337,484.0,0.298003,0.250332653
MYO9B,1401.0,0.398943925,152.0,0.052977,0.150640285
N6AMT1,5137.0,0.427535625,28.0,0.570574,0.784137904
NAA40,3212.0,0.389371031,261.0,-0.038575,0.034667704
NAB1,2433.0,0.361024962,572.0,0.424661,0.244268971
NADK,1672.0,0.3959688,563.0,0.229388,-0.068129659
NADSYN1,464.0,0.447848979,126.0,-0.364574,-0.088829664
NAGK,1297.0,0.42527382,474.0,-0.035725,0.12912216
NANS,37.0,0.458552255,132.0,0.540001,0.308405785
NAPA,1862.0,0.477781443,318.0,0.034789,0.040122461
NAT10,4915.0,0.387474071,245.0,-0.129253,-0.330133203
NBAS,140.0,0.414580543,44.0,0.145482,0.033362737
NCALD,2767.0,0.374888213,460.0,0.282744,-0.902858378
NCAPD3,2971.0,0.431957579,606.0,0.02659,-0.167761749
NCAPG2,3501.0,0.41630572,200.0,-0.000858,-0.16380012
NCF1,2381.0,0.415579251,70.0,1.560291,0.492456391
NCK2,1267.0,0.457831152,276.0,-0.339991,-0.27050367
NCKIPSD,4981.0,0.449411541,126.0,0.364604,0.206152469
NCOA5,1332.0,0.416761948,402.0,-0.234723,-0.100798789
NCOA7,3259.0,0.404217869,470.0,0.113201,0.068846419
NDC80,61.0,0.356199389,182.0,-0.163307,-0.243525074
NDRG2,841.0,0.376266446,941.0,1.118154,-0.232748657
NDUFA4,1685.0,0.439642808,129.0,0.090099,-0.690640678
NEU1,667.0,0.413226082,156.0,-0.265694,-0.454976485
NFATC2IP,3242.0,0.412267479,15.0,-0.078935,0.031998255
NFKB1,708.0,0.4099683,467.0,0.539103,0.478417916
NFKB2,153.0,0.424806573,563.0,0.0302,0.045500311
NFKBIE,1053.0,0.409138176,25.0,-0.193553,0.120112729
NGDN,1255.0,0.423783924,27.0,-0.21625,-0.277445638
NGRN,1679.0,0.414477409,50.0,-0.064734,-0.505594814
NINJ1,5217.0,0.455972644,71.0,0.013359,0.004931807
NIP7,1593.0,0.443769116,318.0,-0.413914,-0.282542791
NIT2,2351.0,0.432361565,74.0,-0.485339,0.026055933
NMNAT3,2689.0,0.397393877,1228.0,0.974589,0.60679305
NMT1,3377.0,0.454689408,31.0,-0.254013,0.069860232
NONO,1092.0,0.432928506,710.0,-0.334443,-0.002563766
NOP14,912.0,0.38067473,187.0,-0.397669,-0.103164983
NOP2,785.0,0.393538298,198.0,-0.399668,-0.499459417
NOTCH2,6062.0,0.409327653,297.0,0.556704,0.514702939
NPTN,1068.0,0.388989686,197.0,0.014743,0.453761872
NR2C2,6271.0,0.390767743,362.0,-0.269959,0.394903996
NRBF2,883.0,0.43605128,224.0,-0.078688,0.146523655
NRF1,1901.0,0.447602651,500.0,-0.041007,0.580435123
NRGN,833.0,0.413631862,152.0,0.440401,0.743747187
NRP1,3846.0,0.416817106,523.0,0.502049,0.385322551
NSFL1C,1587.0,0.42738001,868.0,-0.127877,0.062318664
NSMAF,602.0,0.358586884,214.0,0.066724,0.024193835
NTAN1,178.0,0.344459601,320.0,-0.422398,-0.155222088
NUBP1,246.0,0.455923678,142.0,-0.00237,0.118927064
NUCKS1,5461.0,0.359398328,271.0,0.073735,-0.12808395
NUDC,716.0,0.476401948,127.0,-0.027284,-0.335881095
NUDT16,5489.0,0.428387545,75.0,0.008472,0.318590091
NUMA1,663.0,0.474508115,436.0,0.407658,0.448693411
NUP93,5678.0,0.382018893,495.0,-0.436197,-0.296321408
NXF1,2943.0,0.375826754,136.0,-0.403864,-0.064597223
OCIAD2,4872.0,0.363821488,322.0,0.073473,-0.322333992
OGDH,1071.0,0.396078149,159.0,0.35485,0.034200881
OPA3,7233.0,0.475004358,100.0,-0.552803,0.192312098
OSBPL2,2363.0,0.383456763,571.0,-0.24252,-0.301331875
OSBPL5,1099.0,0.381371042,158.0,-0.118118,-0.139462168
OVCA2,792.0,0.429983078,65.0,-0.280609,-0.189643151
P2RX4,573.0,0.442596273,304.0,0.444166,0.392771468
PAAF1,509.0,0.376143366,341.0,-0.251865,0.002255687
PACSIN2,1591.0,0.413490434,405.0,-0.008189,-0.036737299
PARK7,451.0,0.457171775,163.0,0.313627,0.216855591
PARP1,769.0,0.460215809,171.0,0.328444,0.301319052
PARP10,332.0,0.422654659,200.0,0.243423,0.064671742
PARP12,816.0,0.416480622,874.0,0.065097,-0.025509088
PARP14,2243.0,0.414355918,59.0,0.054241,0.105065451
PARP9,451.0,0.418102187,327.0,0.440406,0.114457024
PARVG,2043.0,0.383803232,484.0,0.864181,0.363556864
PBK,750.0,0.413339119,464.0,0.337542,-0.022773216
PCNA,338.0,0.425000199,239.0,0.052224,0.060550534
PDAP1,2007.0,0.464659554,134.0,-0.247899,-0.214231586
PDCD2,155.0,0.440448783,111.0,-0.146828,-0.177944165
PDCD2L,48.0,0.433436103,33.0,0.016179,-0.004538052
PDCD6IP,3211.0,0.388727459,158.0,-0.073295,-0.043693552
PDHA1,2054.0,0.402514578,145.0,-0.379458,0.034823017
PDHB,2974.0,0.442593378,43.0,0.334534,0.09659384
PDLIM1,357.0,0.379179626,233.0,-0.790559,-0.635655704
PDXDC1,2055.0,0.375670185,335.0,0.024996,-0.112519912
PDXK,6244.0,0.398158884,198.0,-0.500406,0.129687829
PEBP1,796.0,0.360152166,326.0,-0.036703,-0.068797115
PEF1,769.0,0.441759403,424.0,0.007207,0.175256192
PELO,5222.0,0.385240523,985.0,-0.040447,-0.133600152
PEPD,395.0,0.450896903,133.0,-0.22139,0.012149227
PEX16,585.0,0.43213601,312.0,-0.081258,0.551809224
PEX6,946.0,0.370078344,93.0,-1.606887,-0.703119539
PEX7,2294.0,0.407005497,102.0,-0.13827,-0.097968866
PFDN5,124.0,0.497062947,117.0,0.553493,-0.147169564
PFDN6,574.0,0.470152145,222.0,-0.955929,-0.18315941
PGM1,570.0,0.393980016,681.0,0.185771,0.039555727
PHB,988.0,0.45268542,190.0,-0.442407,-0.399724141
PHF10,104.0,0.365149381,79.0,-0.291684,0.111696815
PI4K2A,2692.0,0.385068362,57.0,-0.030084,0.325569605
PIAS1,3626.0,0.396022529,741.0,-0.11127,0.267988682
PIGH,1430.0,0.434471606,98.0,0.720734,-0.109995542
PIK3AP1,3866.0,0.407313024,128.0,0.912129,0.096535046
PIR,205.0,0.385796208,485.0,0.077031,-0.362205182
PITPNC1,4686.0,0.369070722,874.0,0.468103,0.145713451
PLA2G7,1187.0,0.402486321,269.0,-0.787423,-0.227148698
PLAUR,323.0,0.418467601,226.0,-0.276959,-0.494644525
PLCB2,818.0,0.468984469,301.0,0.699712,0.653919806
PLCG1,3987.0,0.454806205,121.0,-0.225044,-0.122598549
PLD4,273.0,0.377985619,192.0,2.84025,1.325076275
PLEKHO1,5192.0,0.424698037,839.0,0.568272,0.440864004
PLEKHO2,2119.0,0.429714475,134.0,0.794188,0.337488383
PLSCR1,10376.0,0.415598704,388.0,0.258639,0.543965754
PML,3324.0,0.431306474,140.0,0.186168,0.143528609
POLR1C,1131.0,0.439933821,86.0,-1.043089,-0.308753931
POLR1D,1469.0,0.427162265,456.0,-0.258445,-0.241792239
POLR2F,1600.0,0.47244007,250.0,0.197701,0.528377312
POLR2H,1065.0,0.427596015,1167.0,-0.427191,-0.431634079
POLR3H,3481.0,0.444306047,388.0,-0.154225,0.06597273
POLR3K,1023.0,0.473025152,46.0,-0.332141,0.116111895
PPA2,660.0,0.432735716,20.0,0.191634,-0.008699071
PPIE,4556.0,0.446406574,56.0,0.026502,-0.139210921
PPIL1,1921.0,0.453832883,252.0,-1.051105,-0.089768038
PPP1R14B,282.0,0.457456004,268.0,-0.45581,-0.203014221
PPP1R3G,2923.0,0.390061911,0.0,1.196193,0.384109734
PRC1,1136.0,0.367783806,234.0,-0.404888,-0.324015182
PRCC,357.0,0.381841119,290.0,-0.178176,0.089594355
PRDX1,303.0,0.414090753,341.0,0.358171,0.024292449
PRDX6,944.0,0.433706552,51.0,-0.213659,-0.285473392
PREB,658.0,0.378530018,403.0,-0.211507,0.01617746
PREP,579.0,0.425974009,233.0,-0.579375,-0.683764793
PRG4,784.0,0.366727173,51.0,1.978773,0.008275456
PRIM2,1166.0,0.350864643,125.0,-0.495882,-0.050164586
PRKAB1,1305.0,0.365943644,289.0,-0.145995,-0.023489
PRKAR2A,5019.0,0.427443141,254.0,-0.319394,0.290703103
PRKCB,5795.0,0.38010529,197.0,1.983275,0.826134136
PRKCD,451.0,0.404392693,469.0,0.351811,0.211842793
PRKRA,683.0,0.420894136,659.0,0.08777,0.066991297
PRKRIP1,3224.0,0.453589322,55.0,-0.351086,0.173539425
PRMT5,393.0,0.386451423,508.0,-0.24829,0.014632129
PRMT7,3655.0,0.450088803,850.0,-0.17064,-0.123309293
PROCR,549.0,0.357872186,218.0,0.282006,0.517187172
PRPS1,3908.0,0.466551451,409.0,0.229831,0.124043339
PRPSAP1,2056.0,0.390811115,688.0,0.297002,0.289833553
PRRC1,3173.0,0.409170839,188.0,0.33365,-0.081395204
PSMA5,2997.0,0.446573967,225.0,-0.011548,-0.236757847
PSMA6,187.0,0.423632682,445.0,-0.131202,-0.168227101
PSMB10,58.0,0.455018511,128.0,0.44476,0.172813999
PSMB2,3775.0,0.389848815,412.0,-0.479502,-0.093684713
PSMB8,242.0,0.411206622,522.0,-0.045605,0.108371579
PSMB9,5497.0,0.431095699,69.0,0.266575,0.242802713
PSMC3,66.0,0.485654947,194.0,-0.149515,0.045939797
PSMD11,2567.0,0.390095635,61.0,-0.134215,-0.010265718
PSMD13,384.0,0.437236365,242.0,-0.269162,-0.058213621
PSMD8,450.0,0.458928351,52.0,-0.273493,0.113897338
PSME2,53.0,0.443656162,65.0,0.204262,0.175775708
PSMG1,5308.0,0.427553471,578.0,-0.239298,-0.169827174
PSTPIP2,1923.0,0.429639796,96.0,-0.011232,0.342764754
PTBP1,1504.0,0.473818895,106.0,-0.128336,-0.125896538
PTDSS1,3765.0,0.367954205,423.0,-0.38435,-0.405811546
PTGS1,3346.0,0.37260918,633.0,1.174222,0.685874859
PTP4A1,3419.0,0.421202001,1153.0,-0.38617,-0.048506483
PTPMT1,1899.0,0.450492628,193.0,0.197607,-0.067224437
PTPN18,2185.0,0.381656528,101.0,0.454565,0.547758223
PTPN7,1593.0,0.440747449,781.0,1.165874,0.597773855
PTPRE,2994.0,0.426620112,1843.0,0.668769,0.241002161
PTPRF,4571.0,0.452810321,356.0,-0.092818,-0.305529032
PTRH2,3186.0,0.370743372,1544.0,0.090917,-0.41592905
PWWP2B,819.0,0.424412275,29.0,0.203654,0.12721
PYCR2,578.0,0.474148407,230.0,0.542569,-0.447585795
PYGL,175.0,0.392036998,127.0,-0.203118,-0.103045749
QARS,97.0,0.458996209,396.0,-0.085813,-0.139595778
RAB11FIP1,4277.0,0.380614122,56.0,-0.717217,-0.378098232
RAB12,1120.0,0.38483812,283.0,0.732378,0.39469843
RAB21,5246.0,0.435367738,267.0,0.287755,-0.243371507
RAB31,3231.0,0.437498832,175.0,1.421373,0.333116318
RAB35,2172.0,0.408841719,189.0,0.127301,0.35198723
RAB7A,1376.0,0.419395127,232.0,-0.22006,-0.076915196
RAB8B,4163.0,0.425956778,96.0,0.795103,0.404879621
RAB9A,1716.0,0.417525007,283.0,0.017672,-0.179569734
RABGGTA,77.0,0.387342734,512.0,-0.290104,-0.035322348
RABGGTB,440.0,0.409412379,78.0,-0.313705,-0.201275917
RABIF,4760.0,0.447399225,159.0,-0.487293,-0.001363837
RACGAP1,1895.0,0.366370127,354.0,0.068191,-0.39857266
RAD9A,924.0,0.444046557,185.0,-0.000696,0.210572083
RAE1,1112.0,0.432613552,365.0,-0.636536,-0.084538914
RAI1,1472.0,0.455620822,469.0,-0.04481,0.077772057
RAN,2043.0,0.442855294,361.0,-0.300524,-0.248821882
RANBP10,3359.0,0.379453562,1256.0,-0.653837,-0.19186425
RANGAP1,3145.0,0.481547647,765.0,-0.503633,-0.215362895
RAPGEF1,2727.0,0.425793135,159.0,0.031105,0.128849472
RARS,114.0,0.423508657,41.0,-0.178228,-0.165054584
RASGRP2,183.0,0.381671176,582.0,0.785769,0.235865402
RBBP4,6506.0,0.404056961,164.0,0.159657,-0.154164257
RBBP5,3098.0,0.421849625,474.0,0.190352,0.260815242
RBKS,251.0,0.392307233,1371.0,0.408421,0.808054819
RBM12,3599.0,0.375183789,304.0,0.271561,-0.196623115
RBM14,3443.0,0.468008211,139.0,-0.325809,0.031943754
RBM4B,5277.0,0.396841232,170.0,0.080216,0.352121291
RBMX,1201.0,0.353737079,210.0,-0.115125,0.367295019
RBPJ,4223.0,0.4178224,518.0,-0.120585,0.238743683
RBX1,821.0,0.46562919,52.0,0.232622,0.099169804
RC3H1,7637.0,0.410085914,87.0,-0.49685,-0.286420213
RCCD1,1773.0,0.374130224,280.0,0.260714,0.122451799
RCOR1,4070.0,0.439565312,228.0,0.13972,-0.15445278
REEP4,591.0,0.460338979,469.0,0.499462,-0.260847585
REEP5,2962.0,0.457536941,144.0,-0.000847,-0.055479884
RELB,408.0,0.418226182,131.0,0.09947,0.158674411
REPIN1,2683.0,0.45080531,489.0,-0.374117,-0.132332471
RET,2082.0,0.379562012,357.0,0.30158,0.038808813
RFC4,89.0,0.411167541,282.0,-0.272931,0.100478524
RFK,1882.0,0.429285662,357.0,0.570662,0.088565322
RFX5,1546.0,0.386685917,221.0,-0.301805,0.098618991
RFXAP,1850.0,0.421314391,156.0,-0.276216,0.108968686
RHBDF2,740.0,0.423256567,294.0,0.110597,0.222098487
RHOT2,568.0,0.454546166,881.0,-0.485942,-0.139042454
RINL,1279.0,0.357351373,413.0,0.7011,0.29293058
RNASE2,179.0,0.384567964,71.0,1.297412,-0.283341285
RNASEH2B,3930.0,0.37625722,399.0,0.269298,0.490460333
RNASET2,1070.0,0.374792559,407.0,0.708147,-0.270374584
RNF114,1751.0,0.459950313,36.0,-0.248222,-0.183241927
RNF167,289.0,0.375291206,776.0,-0.059182,-0.006937298
RNF20,5226.0,0.396317502,92.0,-0.007974,-0.009891661
RNF213,5288.0,0.417718743,150.0,-0.184217,-0.400293683
RNF25,102.0,0.375620157,88.0,-0.137408,-0.225278353
RNF31,88.0,0.389352607,358.0,-0.163958,0.228487761
RNLS,1252.0,0.416402283,135.0,0.511605,0.180573833
RNMT,4581.0,0.415128602,241.0,-0.152963,-0.06005904
RNPEP,463.0,0.447181346,896.0,-0.050907,0.02224904
RP9,437.0,0.42869019,18.0,-0.593413,-0.024548962
RPA1,2907.0,0.381710028,170.0,-0.036856,0.068711182
RPA2,639.0,0.400070522,793.0,0.616634,0.179671054
RPAIN,471.0,0.394698889,570.0,-0.161242,0.44000868
RPL11,461.0,0.442317923,45.0,0.572317,-0.581411474
RPL14,5208.0,0.496792394,133.0,0.376205,0.00643643
RPL23,3146.0,0.464880603,90.0,0.222916,0.016635503
RPL26,53.0,0.427802183,389.0,0.147722,-0.018662452
RPL31,1260.0,0.451994935,87.0,0.949825,-0.2735598
RPL34,1350.0,0.436455219,198.0,0.750771,0.160840767
RPL5,1058.0,0.451564158,75.0,0.260109,0.045780158
RPL7,1077.0,0.460258279,707.0,-0.13756,-0.000495405
RPS11,373.0,0.483080585,92.0,0.525848,0.132717192
RPS24,4247.0,0.430653047,142.0,0.505273,-0.143656888
RPS25,109.0,0.467193878,63.0,0.785666,-0.26081054
RPS27A,743.0,0.450449292,321.0,0.386679,0.272531893
RPS3A,306.0,0.426765211,80.0,0.570905,-0.051888615
RPS4X,629.0,0.442998752,96.0,0.605574,-0.01253851
RPS6,2723.0,0.413925579,42.0,0.478662,0.013378496
RPS6KA1,828.0,0.389798854,163.0,0.514314,0.195914885
RPS6KA4,735.0,0.38455359,226.0,0.507636,0.462204699
RPS7,66.0,0.428822459,109.0,0.126164,-0.208441354
RPTOR,2341.0,0.385169267,805.0,-0.297085,0.059194596
RREB1,3012.0,0.456825357,492.0,-0.017508,-0.119103832
RRM1,2304.0,0.437568848,689.0,0.372447,-0.289912979
RRP8,5071.0,0.446233376,148.0,-0.23756,-0.148622985
RRS1,978.0,0.468289248,104.0,-0.627919,-0.21092138
RTN3,1690.0,0.358048129,187.0,0.289044,-0.495117841
RTN4IP1,1108.0,0.372133716,477.0,-0.770789,-0.283373019
RUNX1,4334.0,0.416076551,1578.0,0.764198,0.282248685
RUNX3,2611.0,0.405217602,439.0,0.558407,0.621391953
RWDD1,6365.0,0.401367905,746.0,-0.256584,-0.241062841
S100A8,71.0,0.444112716,170.0,-0.714038,-1.433225875
S100A9,189.0,0.439508357,43.0,-1.305211,-1.871098008
SAMD9,1815.0,0.395660052,270.0,0.347971,0.062072237
SAMD9L,1162.0,0.396305952,1248.0,-0.019841,-0.036013494
SAMM50,150.0,0.345249646,197.0,-0.007512,2.73e-05
SAMSN1,684.0,0.407246581,430.0,1.087466,0.12856456
SAP18,1754.0,0.427429047,39.0,-0.38483,0.094494942
SAP30BP,1541.0,0.449617255,257.0,-0.026924,-0.127008362
SAR1A,5213.0,0.411769389,203.0,0.389844,-0.265870388
SAR1B,5806.0,0.392367964,253.0,0.42568,-0.157801749
SARS,1054.0,0.40098191,100.0,0.152708,0.063182793
SASH3,1369.0,0.387406112,182.0,1.298947,0.330995778
SCAMP4,1741.0,0.472519575,351.0,0.214899,0.460378185
SCO1,8645.0,0.407339367,61.0,-0.340041,-0.192498908
SDCCAG8,307.0,0.360606297,1542.0,0.006337,0.139918377
SEC11C,205.0,0.423646802,92.0,0.596677,0.529567098
SEC13,332.0,0.457264526,210.0,-0.141833,0.053426792
SEC14L1,2986.0,0.420320088,665.0,0.052448,-0.103684022
SEC22A,2559.0,0.422343815,79.0,0.066704,0.027331078
SEC24B,1221.0,0.400931805,155.0,0.034977,-0.143592032
