,3prime,tAI,max_5_UTR_length,TCGA-AR-A0TT,TCGA-AR-A0TT.1
IFIH1,121.0,0.412344512,377.0,0.632609,0.170268568
IFIT1,2775.0,0.411248073,495.0,-0.147576,-0.038286614
IFIT2,1901.0,0.420797646,175.0,0.652636,0.11596128
IFIT3,843.0,0.417440574,529.0,0.870986,-0.060862747
IFIT5,2354.0,0.414819429,231.0,0.60948,0.360524262
IFITM1,159.0,0.431550176,180.0,-0.276188,0.064495687
IFT27,109.0,0.4030938,426.0,-0.266494,-0.273600814
IGFBP3,1605.0,0.43060006,132.0,0.093685,-0.075483398
IGFBP7,558.0,0.392734536,34.0,-0.084786,0.06912836
IL16,3965.0,0.367979445,2395.0,1.962704,0.937624659
IL1RN,1145.0,0.411881061,408.0,-1.120452,-0.420186935
IL4I1,16.0,0.4139018,621.0,2.966611,0.677695192
ILF2,656.0,0.426220446,239.0,-0.095791,-0.201902945
IMPA2,2898.0,0.383680893,242.0,0.245613,-0.157808027
INO80,5209.0,0.374025479,351.0,0.354153,0.361080839
INPP1,263.0,0.395712795,700.0,-0.339274,-0.176445927
INPP5D,1195.0,0.436077769,512.0,1.816951,0.86551133
INSR,4801.0,0.380857973,411.0,-0.510763,0.126471671
IPO5,2508.0,0.381335948,180.0,0.528599,0.232753606
IRF7,92.0,0.423538356,367.0,-0.11509,-0.055945656
IRF8,1327.0,0.384714127,507.0,2.28512,0.701448876
IRF9,369.0,0.432057622,127.0,0.084609,0.029511497
IRGQ,7659.0,0.399674011,156.0,0.195302,-0.236820075
ISCU,607.0,0.454630229,1331.0,-0.023071,-0.122581676
ISG15,62.0,0.419522688,77.0,0.091834,-0.731678035
ISG20,952.0,0.419932377,2368.0,0.541452,0.498707236
ISOC1,1056.0,0.418535314,18.0,0.546595,-0.210473326
ITGB2,415.0,0.457304004,395.0,2.423717,0.985562069
ITPKB,2981.0,0.440250717,340.0,0.132941,-0.051356585
ITPRIP,5382.0,0.396785481,453.0,-0.298284,0.487472893
JUNB,496.0,0.414023332,276.0,-0.53365,0.111560982
JUP,157.0,0.458302936,298.0,-0.722035,-0.428451038
KANK2,2291.0,0.394238955,361.0,-0.63814,0.265867833
KARS,4202.0,0.383913431,144.0,0.616059,0.406210755
KCNN4,560.0,0.425737469,396.0,1.978277,2.108556103
KDM1A,327.0,0.428444011,149.0,0.127391,0.059948885
KDM2A,3716.0,0.372295488,864.0,0.384386,0.097354985
KDM2B,2488.0,0.393022165,407.0,0.712889,0.19159164
KDM3B,1327.0,0.37791414,200.0,0.043169,0.060241937
KDM4A,1148.0,0.378142374,166.0,0.246724,0.027195232
KHSRP,1024.0,0.456900489,110.0,-0.241741,-0.261537856
KIAA2013,727.0,0.385456054,191.0,-0.075732,0.110145869
KIF20A,757.0,0.371463873,496.0,0.308483,-0.205066392
KIF22,75.0,0.392489541,388.0,0.986874,0.096436084
KIF2C,588.0,0.387865377,395.0,0.433768,-0.027923376
KIF3B,3792.0,0.390782105,180.0,0.026672,-0.197967637
KIF5B,3198.0,0.418236129,470.0,-0.093755,0.056890389
KLHL7,3616.0,0.41595405,521.0,-0.633029,-0.257800724
KTI12,594.0,0.370414154,39.0,0.264882,0.037518623
LAMP1,1311.0,0.390985106,281.0,0.00103,0.065082409
LANCL2,2422.0,0.433733517,578.0,-0.444151,-0.557856703
LAP3,503.0,0.426841798,162.0,1.0878,0.735405043
LDHD,1826.0,0.398770776,52.0,-1.262361,-0.188845034
LENG1,560.0,0.445950324,48.0,-0.08005,0.108063145
LGALS3,159.0,0.420172221,88.0,-0.964024,-0.435655635
LGALS3BP,1225.0,0.419930622,179.0,-0.268686,-0.498025492
LGALS9,641.0,0.410654931,118.0,1.051375,0.566170103
LIN54,4893.0,0.441729058,383.0,0.035363,0.020322404
LPCAT1,2228.0,0.380803123,133.0,0.321311,0.480430208
LPXN,1776.0,0.432350833,254.0,1.721313,0.752233657
LRPPRC,2376.0,0.377375074,58.0,0.076966,0.097992398
LRRC25,843.0,0.434491636,642.0,1.15869,0.324990717
LRRC41,465.0,0.438391248,44.0,-0.232172,-0.115443029
LRRC59,1755.0,0.423067849,236.0,-0.085069,-0.132846455
LSM1,486.0,0.409616526,410.0,-0.51295,-0.144385636
LSM6,1871.0,0.435100303,139.0,-0.15336,0.148383813
LTA4H,391.0,0.355044638,145.0,0.502519,0.184740217
LYN,4058.0,0.418972994,282.0,1.107392,0.510657587
LYPLAL1,1137.0,0.3973742,157.0,-0.008498,-0.11628546
LYRM4,6830.0,0.366844497,217.0,-0.433686,-0.099495199
LYSMD2,596.0,0.394037378,501.0,0.611861,0.638819164
M6PR,1457.0,0.379162834,275.0,0.231006,0.362873943
MAD2L1,4528.0,0.407191351,124.0,0.143384,-0.158069666
MAFB,2032.0,0.405989564,390.0,0.742757,0.096737549
MAGED2,327.0,0.466698843,233.0,0.547944,0.144553516
MAGOH,153.0,0.416054235,162.0,-0.161024,-0.209559864
MAN2B1,128.0,0.381728903,76.0,0.897683,0.031131473
MANF,717.0,0.420319188,97.0,-0.185461,0.10004728
MAP4K1,170.0,0.374128007,140.0,2.574515,0.971705781
MARCKSL1,768.0,0.468216312,206.0,0.533315,0.197491681
MAX,2676.0,0.337149475,479.0,-0.089908,0.000615081
MBD2,3723.0,0.420256858,229.0,-0.034723,0.03296163
MBP,4041.0,0.393290432,264.0,0.422228,0.60351392
MCM2,662.0,0.460999542,110.0,0.093883,-0.377414341
MCM4,2618.0,0.371821308,942.0,-0.032751,-0.490835142
MCM5,3214.0,0.470488076,94.0,-0.176182,-0.506056533
MDC1,658.0,0.415783633,440.0,0.10678,-0.067738152
MDH1,210.0,0.381672323,435.0,-0.34532,-0.414070696
ME1,1535.0,0.411214685,265.0,-0.598717,-0.279249678
ME3,171.0,0.395156177,377.0,-1.093104,-0.140733808
MECR,1365.0,0.445670958,612.0,-0.309002,-0.238313103
MED17,2631.0,0.366528813,275.0,-0.172708,-0.016684349
MED19,934.0,0.439623042,93.0,-0.094529,0.117234426
MED28,10307.0,0.440157501,27.0,0.095116,0.202992289
MED29,4550.0,0.464327351,57.0,0.099513,0.02923412
MEN1,824.0,0.454590692,504.0,-0.083443,0.260257431
METTL13,961.0,0.396264071,347.0,-0.472832,-0.288778535
MGST3,1295.0,0.374563048,428.0,-0.693817,0.281971716
MIF4GD,787.0,0.397877071,137.0,0.201295,0.040323953
MINK1,774.0,0.455972684,525.0,0.481067,0.397161682
MIS12,1334.0,0.420723459,745.0,-0.011807,0.149249136
MLEC,5319.0,0.43043384,173.0,-0.484566,0.211724368
MLLT10,2252.0,0.36295117,1568.0,0.309774,-0.217168885
MLX,1636.0,0.386664187,65.0,-0.270089,-0.222002662
MMACHC,1852.0,0.382684622,371.0,-0.383583,-0.247825719
MMADHC,5382.0,0.406207656,205.0,0.04699,-0.009085712
MMGT1,4451.0,0.406300672,388.0,-0.57382,0.413377245
MMP1,502.0,0.392399458,189.0,5.731332,0.994023789
MMP14,1722.0,0.419367787,285.0,-0.04937,-0.276397827
MMP9,193.0,0.404253633,19.0,2.473734,-0.789665417
MORC3,2052.0,0.406702124,375.0,-0.19655,0.026335509
MORF4L1,1066.0,0.420719378,454.0,-0.264452,0.322642662
MOV10,619.0,0.412681236,1415.0,0.71415,0.510518466
MPDU1,797.0,0.440676037,216.0,-0.134084,0.679334681
MPHOSPH10,87.0,0.404440607,352.0,-0.087737,0.068468724
MRI1,2018.0,0.459301832,75.0,-0.375123,-0.623500421
MRPL13,1075.0,0.395373051,313.0,-0.325766,-0.111010545
MRPL15,1888.0,0.407701507,63.0,-0.328958,-0.120934162
MRPL16,212.0,0.368940255,214.0,-0.308269,-0.10789836
MRPL17,6554.0,0.424450505,105.0,-0.703971,-0.001989706
MRPL2,580.0,0.458698472,164.0,-0.377184,-0.068035907
MRPL20,187.0,0.445765675,96.0,0.116847,-0.272246073
MRPL21,55.0,0.417448467,293.0,-0.495909,-0.078808259
MRPL27,2133.0,0.436300758,31.0,-0.381403,-0.158281814
MRPL40,113.0,0.406843086,653.0,-0.860273,-0.103263666
MRPL46,1889.0,0.422788385,25.0,-0.379199,-0.160110685
MRPL48,1284.0,0.368940255,212.0,0.463397,-0.009685171
MRPL51,2069.0,0.35376587,169.0,-0.381213,0.033124728
MRPL53,198.0,0.441261883,155.0,-0.425293,-0.277222529
MRPL9,407.0,0.432679379,437.0,-0.096763,-0.088423063
MRPS11,2793.0,0.477818717,1491.0,-0.377826,0.015671017
MRPS15,468.0,0.440649404,164.0,-0.255085,-0.034256376
MRPS17,1334.0,0.413812124,30.0,0.033127,-0.24374337
MRPS18B,936.0,0.408462865,157.0,-0.207929,-0.022834856
MRPS36,933.0,0.3748339,84.0,-0.643992,-0.090997059
MRPS7,453.0,0.455992019,233.0,-0.367811,0.091076391
MSI2,5168.0,0.366385762,173.0,-0.321693,-0.473491883
MSTO1,694.0,0.421389639,1152.0,0.361183,-0.062623304
MT2A,316.0,0.576670685,123.0,-0.027077,-0.737803788
MTA2,684.0,0.459443446,761.0,0.547961,0.320862871
MTFMT,1550.0,0.414190941,26.0,-0.292146,-0.079258708
MTHFS,1663.0,0.434592403,179.0,0.984437,0.414137843
MTMR1,2442.0,0.424163835,319.0,-0.564593,-0.039056884
MTMR14,421.0,0.371137969,151.0,0.749452,0.34088595
MVP,50.0,0.435053297,193.0,0.441409,-0.050333351
MX1,456.0,0.433488503,982.0,0.588217,-0.285800461
MX2,1812.0,0.430094961,104.0,0.782084,0.441238461
MYADM,2833.0,0.384589896,681.0,-0.405199,0.386340529
MYCBP,3972.0,0.381803634,73.0,-0.472442,-0.164771583
MYL12A,812.0,0.453450746,478.0,0.182322,-0.254704669
MYO18A,3647.0,0.395788337,484.0,1.44038,0.416370824
MYO9B,1401.0,0.398943925,152.0,0.955216,0.395563717
N6AMT1,5137.0,0.427535625,28.0,-0.334533,0.10792929
NAA40,3212.0,0.389371031,261.0,0.522178,0.159849576
NAB1,2433.0,0.361024962,572.0,-0.333454,-0.088996327
NADK,1672.0,0.3959688,563.0,0.406909,0.554508236
NADSYN1,464.0,0.447848979,126.0,0.296312,0.181460398
NAGK,1297.0,0.42527382,474.0,0.39887,0.241645245
NANS,37.0,0.458552255,132.0,-0.145511,-0.298005584
NAPA,1862.0,0.477781443,318.0,-0.539921,-0.338970863
NAT10,4915.0,0.387474071,245.0,0.13207,0.29945244
NBAS,140.0,0.414580543,44.0,-0.111515,0.109249961
NCALD,2767.0,0.374888213,460.0,-0.690391,-0.557599304
NCAPD3,2971.0,0.431957579,606.0,0.132276,-0.096885532
NCAPG2,3501.0,0.41630572,200.0,0.18583,-0.300281657
NCF1,2381.0,0.415579251,70.0,2.675623,0.754538417
NCK2,1267.0,0.457831152,276.0,-0.268499,-0.173491678
NCKIPSD,4981.0,0.449411541,126.0,-0.536084,0.032669357
NCOA5,1332.0,0.416761948,402.0,0.287979,0.12081483
NCOA7,3259.0,0.404217869,470.0,-0.375799,0.329868656
NDC80,61.0,0.356199389,182.0,0.527882,0.008872511
NDRG2,841.0,0.376266446,941.0,-1.35647,-0.864011316
NDUFA4,1685.0,0.439642808,129.0,-0.236697,0.000269889
NEU1,667.0,0.413226082,156.0,-0.559441,-0.372078683
NFATC2IP,3242.0,0.412267479,15.0,0.80884,0.154439849
NFKB1,708.0,0.4099683,467.0,0.381718,0.013048166
NFKB2,153.0,0.424806573,563.0,0.551989,-0.013411509
NFKBIE,1053.0,0.409138176,25.0,0.68016,0.092584855
NGDN,1255.0,0.423783924,27.0,-0.168769,0.310586137
NGRN,1679.0,0.414477409,50.0,1.333265,0.696711531
NIP7,1593.0,0.443769116,318.0,0.254013,0.238192785
NIT2,2351.0,0.432361565,74.0,0.590369,-0.269714827
NMNAT3,2689.0,0.397393877,1228.0,-3.285177,-1.015098782
NMT1,3377.0,0.454689408,31.0,0.053481,0.120156245
NONO,1092.0,0.432928506,710.0,-0.647534,-0.162219332
NOP14,912.0,0.38067473,187.0,0.478299,0.257478965
NOP2,785.0,0.393538298,198.0,0.279671,0.156257925
NOTCH2,6062.0,0.409327653,297.0,0.175749,0.112540883
NPTN,1068.0,0.388989686,197.0,-0.834903,0.114151281
NR2C2,6271.0,0.390767743,362.0,0.242117,0.165775152
NRBF2,883.0,0.43605128,224.0,0.400441,0.637415024
NRF1,1901.0,0.447602651,500.0,0.056567,0.290430098
NRGN,833.0,0.413631862,152.0,-0.257019,0.206679148
NRP1,3846.0,0.416817106,523.0,-0.209037,-0.102459348
NSFL1C,1587.0,0.42738001,868.0,0.961819,0.197611192
NSMAF,602.0,0.358586884,214.0,0.346028,0.142676255
NTAN1,178.0,0.344459601,320.0,-0.250043,0.020382249
NUBP1,246.0,0.455923678,142.0,-0.127523,-0.196180027
NUCKS1,5461.0,0.359398328,271.0,-0.162224,-0.417176218
NUDC,716.0,0.476401948,127.0,-0.095923,-0.118922989
NUDT16,5489.0,0.428387545,75.0,-0.44939,-0.226538282
NUMA1,663.0,0.474508115,436.0,0.636305,0.00923659
NUP93,5678.0,0.382018893,495.0,0.433725,0.006827844
NXF1,2943.0,0.375826754,136.0,0.299991,0.160101466
OCIAD2,4872.0,0.363821488,322.0,-0.529559,-0.058089657
OGDH,1071.0,0.396078149,159.0,0.435818,-0.016015651
OPA3,7233.0,0.475004358,100.0,0.207101,-0.133309627
OSBPL2,2363.0,0.383456763,571.0,0.30576,-0.058662907
OSBPL5,1099.0,0.381371042,158.0,-0.115831,0.041823159
OVCA2,792.0,0.429983078,65.0,0.011985,0.130962315
P2RX4,573.0,0.442596273,304.0,-0.016411,-0.136086054
PAAF1,509.0,0.376143366,341.0,0.937349,0.299130508
PACSIN2,1591.0,0.413490434,405.0,0.09626,-0.211035512
PARK7,451.0,0.457171775,163.0,-0.328675,-0.36266689
PARP1,769.0,0.460215809,171.0,0.203634,-0.013350281
PARP10,332.0,0.422654659,200.0,-0.366802,-0.115498546
PARP12,816.0,0.416480622,874.0,0.603459,0.336623924
PARP14,2243.0,0.414355918,59.0,0.675659,0.321624486
PARP9,451.0,0.418102187,327.0,0.370828,0.117130308
PARVG,2043.0,0.383803232,484.0,2.00068,0.768880804
PBK,750.0,0.413339119,464.0,-1.34995,-0.538400075
PCNA,338.0,0.425000199,239.0,0.334782,-0.006521616
PDAP1,2007.0,0.464659554,134.0,-0.058496,-0.302876809
PDCD2,155.0,0.440448783,111.0,0.564695,0.191999275
PDCD2L,48.0,0.433436103,33.0,-0.196082,-0.216867955
PDCD6IP,3211.0,0.388727459,158.0,-0.606737,-0.407645071
PDHA1,2054.0,0.402514578,145.0,0.550699,0.115041914
PDHB,2974.0,0.442593378,43.0,0.064316,0.113299253
PDLIM1,357.0,0.379179626,233.0,0.188386,-0.269062106
PDXDC1,2055.0,0.375670185,335.0,-0.802743,-0.715517375
PDXK,6244.0,0.398158884,198.0,-0.630937,-0.161115495
PEBP1,796.0,0.360152166,326.0,-0.420302,-0.42186082
PEF1,769.0,0.441759403,424.0,-0.529455,-0.09601507
PELO,5222.0,0.385240523,985.0,-0.415712,-0.078831472
PEPD,395.0,0.450896903,133.0,-0.423251,0.126346717
PEX16,585.0,0.43213601,312.0,-0.498504,0.125973544
PEX6,946.0,0.370078344,93.0,-0.589492,-0.265571193
PEX7,2294.0,0.407005497,102.0,0.014958,-0.160598886
PFDN5,124.0,0.497062947,117.0,-0.477528,-0.290570064
PFDN6,574.0,0.470152145,222.0,0.012883,-0.120511985
PGM1,570.0,0.393980016,681.0,-1.004232,-0.469935563
PHB,988.0,0.45268542,190.0,-0.254952,-0.329441741
PHF10,104.0,0.365149381,79.0,0.879123,0.049919104
PI4K2A,2692.0,0.385068362,57.0,0.438032,0.386770334
PIAS1,3626.0,0.396022529,741.0,0.010555,0.106290167
PIK3AP1,3866.0,0.407313024,128.0,1.670737,0.543327909
PIR,205.0,0.385796208,485.0,-0.116537,-0.306285287
PITPNC1,4686.0,0.369070722,874.0,0.199287,-0.081433147
PLA2G7,1187.0,0.402486321,269.0,2.065105,-0.100319682
PLAUR,323.0,0.418467601,226.0,0.700324,0.206459138
PLCB2,818.0,0.468984469,301.0,2.186938,0.718249381
PLCG1,3987.0,0.454806205,121.0,0.484562,-0.004632515
PLD4,273.0,0.377985619,192.0,0.559601,0.283355618
PLEKHO1,5192.0,0.424698037,839.0,1.2914,0.662779834
PLEKHO2,2119.0,0.429714475,134.0,1.448868,0.705910887
PLSCR1,10376.0,0.415598704,388.0,-0.164581,0.13877781
PML,3324.0,0.431306474,140.0,0.069099,0.161253849
POLR1C,1131.0,0.439933821,86.0,-0.160219,-0.076609385
POLR1D,1469.0,0.427162265,456.0,0.213939,-0.092503477
POLR2F,1600.0,0.47244007,250.0,-0.575301,0.263383249
POLR2H,1065.0,0.427596015,1167.0,-0.543424,0.020759416
POLR3H,3481.0,0.444306047,388.0,0.031731,-0.000953033
POLR3K,1023.0,0.473025152,46.0,0.274096,-0.024111934
PPA2,660.0,0.432735716,20.0,-0.760942,-0.357981136
PPIE,4556.0,0.446406574,56.0,0.123649,0.011391768
PPIL1,1921.0,0.453832883,252.0,-0.082861,0.01120822
PPP1R14B,282.0,0.457456004,268.0,-0.004431,-0.056217719
PPP1R3G,2923.0,0.390061911,0.0,0.356392,-0.364131394
PRC1,1136.0,0.367783806,234.0,0.453583,0.167612422
PRCC,357.0,0.381841119,290.0,-0.875606,-0.381794983
PRDX1,303.0,0.414090753,341.0,-0.035304,-0.230958836
PRDX6,944.0,0.433706552,51.0,-0.184478,-0.288296413
PREB,658.0,0.378530018,403.0,-0.010532,0.075286693
PREP,579.0,0.425974009,233.0,1.905222,0.61367022
PRG4,784.0,0.366727173,51.0,2.51787,0.241696038
PRIM2,1166.0,0.350864643,125.0,-0.113183,0.112135455
PRKAB1,1305.0,0.365943644,289.0,-0.316418,-0.227225498
PRKAR2A,5019.0,0.427443141,254.0,0.189088,-0.07230267
PRKCB,5795.0,0.38010529,197.0,3.025973,1.03601145
PRKCD,451.0,0.404392693,469.0,0.044761,-0.007219411
PRKRA,683.0,0.420894136,659.0,-0.078139,0.009373552
PRKRIP1,3224.0,0.453589322,55.0,-0.016083,0.150883234
PRMT5,393.0,0.386451423,508.0,-0.164575,-0.191944758
PRMT7,3655.0,0.450088803,850.0,0.237429,0.25691796
PROCR,549.0,0.357872186,218.0,-0.309735,0.657872115
PRPS1,3908.0,0.466551451,409.0,-0.533638,-0.190000846
PRPSAP1,2056.0,0.390811115,688.0,-0.182573,-0.17156134
PRRC1,3173.0,0.409170839,188.0,-0.497693,-0.342593497
PSMA5,2997.0,0.446573967,225.0,-0.152313,-0.1897137
PSMA6,187.0,0.423632682,445.0,-0.19602,-0.094689981
PSMB10,58.0,0.455018511,128.0,0.985886,0.516524127
PSMB2,3775.0,0.389848815,412.0,0.107384,0.075910926
PSMB8,242.0,0.411206622,522.0,0.601551,0.205984491
PSMB9,5497.0,0.431095699,69.0,1.425249,0.205701442
PSMC3,66.0,0.485654947,194.0,-0.637022,-0.167152382
PSMD11,2567.0,0.390095635,61.0,-0.292167,-0.055095975
PSMD13,384.0,0.437236365,242.0,-0.33593,-0.117736714
PSMD8,450.0,0.458928351,52.0,-0.251018,-0.098121842
PSME2,53.0,0.443656162,65.0,0.443409,0.084923601
PSMG1,5308.0,0.427553471,578.0,-0.388678,-0.257299415
PSTPIP2,1923.0,0.429639796,96.0,-0.875719,-0.104889908
PTBP1,1504.0,0.473818895,106.0,0.024631,-0.088040591
PTDSS1,3765.0,0.367954205,423.0,0.174906,0.124794283
PTGS1,3346.0,0.37260918,633.0,0.854452,0.243540186
PTP4A1,3419.0,0.421202001,1153.0,0.040984,0.01668987
PTPMT1,1899.0,0.450492628,193.0,-0.534142,-0.167026871
PTPN18,2185.0,0.381656528,101.0,0.068435,0.041459181
PTPN7,1593.0,0.440747449,781.0,2.893827,0.894875423
PTPRE,2994.0,0.426620112,1843.0,0.331379,0.454679659
PTPRF,4571.0,0.452810321,356.0,0.117064,-0.674097141
PTRH2,3186.0,0.370743372,1544.0,1.351843,0.63489856
PWWP2B,819.0,0.424412275,29.0,2.419865,0.924266424
PYCR2,578.0,0.474148407,230.0,0.389494,0.140767401
PYGL,175.0,0.392036998,127.0,-0.486218,-0.35487665
QARS,97.0,0.458996209,396.0,-0.1974,-0.026360193
RAB11FIP1,4277.0,0.380614122,56.0,0.74649,0.061859289
RAB12,1120.0,0.38483812,283.0,-0.206963,0.252982216
RAB21,5246.0,0.435367738,267.0,-0.368453,0.170955305
RAB31,3231.0,0.437498832,175.0,0.454644,0.070214823
RAB35,2172.0,0.408841719,189.0,0.434825,0.158175507
RAB7A,1376.0,0.419395127,232.0,0.116419,0.238514106
RAB8B,4163.0,0.425956778,96.0,0.517043,0.398000641
RAB9A,1716.0,0.417525007,283.0,0.188362,0.119085432
RABGGTA,77.0,0.387342734,512.0,0.075239,0.001043649
RABGGTB,440.0,0.409412379,78.0,-0.637247,-0.177608442
RABIF,4760.0,0.447399225,159.0,0.732092,0.321186403
RACGAP1,1895.0,0.366370127,354.0,0.069614,0.000873292
RAD9A,924.0,0.444046557,185.0,0.025548,0.080406723
RAE1,1112.0,0.432613552,365.0,0.195021,-0.096051379
RAI1,1472.0,0.455620822,469.0,0.047328,-0.038839107
RAN,2043.0,0.442855294,361.0,0.36055,-0.314306332
RANBP10,3359.0,0.379453562,1256.0,0.425069,-0.025275269
RANGAP1,3145.0,0.481547647,765.0,0.155368,-0.196670187
RAPGEF1,2727.0,0.425793135,159.0,0.655047,0.340890088
RARS,114.0,0.423508657,41.0,-0.328808,-0.126131271
RASGRP2,183.0,0.381671176,582.0,2.189738,0.294988774
RBBP4,6506.0,0.404056961,164.0,0.160985,0.004352417
RBBP5,3098.0,0.421849625,474.0,0.086857,0.248585023
RBKS,251.0,0.392307233,1371.0,-0.646672,-0.463304239
RBM12,3599.0,0.375183789,304.0,0.087903,0.083800724
RBM14,3443.0,0.468008211,139.0,-0.160295,0.080041959
RBM4B,5277.0,0.396841232,170.0,0.044933,-0.047482604
RBMX,1201.0,0.353737079,210.0,-0.112071,0.099481883
RBPJ,4223.0,0.4178224,518.0,0.209535,0.287600338
RBX1,821.0,0.46562919,52.0,-0.367721,-0.233181423
RC3H1,7637.0,0.410085914,87.0,-0.057841,-0.033107334
RCCD1,1773.0,0.374130224,280.0,0.538332,0.457290256
RCOR1,4070.0,0.439565312,228.0,-0.287419,-0.200490865
REEP4,591.0,0.460338979,469.0,-0.328499,0.139653032
REEP5,2962.0,0.457536941,144.0,-0.826388,-0.083340134
RELB,408.0,0.418226182,131.0,0.479964,-0.062543079
REPIN1,2683.0,0.45080531,489.0,0.030804,-0.001316399
RET,2082.0,0.379562012,357.0,0.319172,-0.530182128
RFC4,89.0,0.411167541,282.0,-0.236477,-0.1582159
RFK,1882.0,0.429285662,357.0,0.25389,0.069210119
RFX5,1546.0,0.386685917,221.0,0.811366,0.388092712
RFXAP,1850.0,0.421314391,156.0,0.655869,-0.167357684
RHBDF2,740.0,0.423256567,294.0,0.600661,0.204745387
RHOT2,568.0,0.454546166,881.0,-0.088687,-0.324920283
RINL,1279.0,0.357351373,413.0,0.700744,0.091915372
RNASE2,179.0,0.384567964,71.0,0.808184,-0.300322373
RNASEH1,4369.0,0.404567903,700.0,0.127836,-0.066560506
RNASEH2B,3930.0,0.37625722,399.0,0.617842,0.557818333
RNASET2,1070.0,0.374792559,407.0,0.707372,-0.035612916
RNF114,1751.0,0.459950313,36.0,-0.108054,-0.090131969
RNF167,289.0,0.375291206,776.0,-0.428735,-0.339818458
RNF20,5226.0,0.396317502,92.0,0.176192,0.067123243
RNF213,5288.0,0.417718743,150.0,0.732798,-0.003617892
RNF216,2819.0,0.430061571,259.0,0.369171,-0.064779012
RNF25,102.0,0.375620157,88.0,-0.126834,0.119892887
RNF31,88.0,0.389352607,358.0,0.142574,-0.017013578
RNLS,1252.0,0.416402283,135.0,-0.067542,0.38790875
RNMT,4581.0,0.415128602,241.0,-0.13455,-0.062663212
RNPEP,463.0,0.447181346,896.0,0.708397,0.287421359
RP9,437.0,0.42869019,18.0,0.480545,0.386235173
RPA1,2907.0,0.381710028,170.0,0.045015,-0.069661572
RPA2,639.0,0.400070522,793.0,0.02178,-0.048743207
RPAIN,471.0,0.394698889,570.0,-0.207641,0.005325227
RPL11,461.0,0.442317923,45.0,-0.389657,-0.398090386
RPL14,5208.0,0.496792394,133.0,-0.632499,-0.697909527
RPL23,3146.0,0.464880603,90.0,-0.91417,0.019362434
RPL26,53.0,0.427802183,389.0,-0.646089,0.054755109
RPL31,1260.0,0.451994935,87.0,-0.403825,-0.024811265
RPL34,1350.0,0.436455219,198.0,-0.67717,-0.65304799
RPL5,1058.0,0.451564158,75.0,-0.606609,-0.025791472
RPL7,1077.0,0.460258279,707.0,-0.417378,-0.345164955
RPS11,373.0,0.483080585,92.0,-0.441473,-0.021971497
RPS24,4247.0,0.430653047,142.0,0.716197,-0.0831815
RPS25,109.0,0.467193878,63.0,-0.609295,0.140349318
RPS27A,743.0,0.450449292,321.0,-0.560476,-0.542708925
RPS3A,306.0,0.426765211,80.0,-0.480773,0.104708609
RPS4X,629.0,0.442998752,96.0,-0.49346,0.13969277
RPS6,2723.0,0.413925579,42.0,-0.099026,-0.437372599
RPS6KA1,828.0,0.389798854,163.0,-0.304126,-0.300483069
RPS6KA4,735.0,0.38455359,226.0,0.380088,0.405934921
RPS7,66.0,0.428822459,109.0,-0.36814,-0.251135812
RPTOR,2341.0,0.385169267,805.0,0.186779,-0.01590027
RREB1,3012.0,0.456825357,492.0,0.309844,0.077985222
RRM1,2304.0,0.437568848,689.0,-0.378494,-0.137998197
RRP8,5071.0,0.446233376,148.0,-0.634493,0.241462997
RRS1,978.0,0.468289248,104.0,0.082652,0.282954285
RTN3,1690.0,0.358048129,187.0,-0.129691,0.32423359
RTN4IP1,1108.0,0.372133716,477.0,2.150867,0.543573503
RUNX1,4334.0,0.416076551,1578.0,-0.764971,-0.017407744
RUNX3,2611.0,0.405217602,439.0,1.700938,0.757396826
RWDD1,6365.0,0.401367905,746.0,2.044622,0.271702952
S100A8,71.0,0.444112716,170.0,4.736148,-1.637852986
S100A9,189.0,0.439508357,43.0,6.263548,-1.751466042
SAMD9,1815.0,0.395660052,270.0,1.106429,0.217531827
SAMD9L,1162.0,0.396305952,1248.0,1.246484,0.392092766
SAMM50,150.0,0.345249646,197.0,-0.015179,0.442322752
SAMSN1,684.0,0.407246581,430.0,1.653138,0.414290237
SAP18,1754.0,0.427429047,39.0,0.582326,-0.06486018
SAP30BP,1541.0,0.449617255,257.0,-0.182274,0.0776446
SAR1A,5213.0,0.411769389,203.0,0.092859,0.126525728
SAR1B,5806.0,0.392367964,253.0,-0.378971,0.009959832
SARS,1054.0,0.40098191,100.0,-0.423909,-0.067332463
SASH3,1369.0,0.387406112,182.0,2.427486,0.698632954
SCAMP4,1741.0,0.472519575,351.0,-0.739429,-0.173210541
SCO1,8645.0,0.407339367,61.0,-0.079553,-0.173761454
SDCCAG8,307.0,0.360606297,1542.0,-0.226941,-0.011850011
SEC11C,205.0,0.423646802,92.0,0.554834,1.647645317
SEC13,332.0,0.457264526,210.0,0.025405,-0.020171444
SEC14L1,2986.0,0.420320088,665.0,0.323826,-0.216883975
SEC24B,1221.0,0.400931805,155.0,-0.430551,-0.107030675
SEC24D,2115.0,0.386600041,297.0,0.097746,-0.057431593
SEC61B,270.0,0.404562259,76.0,-0.435716,0.217782664
SEMA3F,960.0,0.38837398,318.0,-0.52601,-0.330674842
SEMA4A,755.0,0.412797256,345.0,0.357917,0.891264431
SEMA4D,2318.0,0.393173667,572.0,1.306925,0.369667587
SERPINA1,1707.0,0.420489385,573.0,1.151319,-0.098055159
SERPINB8,2096.0,0.38524815,520.0,0.387943,0.20240845
