,3prime,tAI,max_5_UTR_length,TCGA-A2-A0EX,TCGA-A2-A0EX.1
IFI16,254.0,0.415211655,290.0,-0.258576,0.410939681
IFI30,213.0,0.431523306,62.0,-1.019489,-0.49426024
IFI35,160.0,0.418462024,223.0,-0.619577,0.029026631
IFI44,267.0,0.403888008,124.0,-1.027443,-1.016427793
IFI44L,5058.0,0.403608012,200.0,-1.335239,-0.980943449
IFIH1,121.0,0.412344512,377.0,-0.699068,-0.52125274
IFIT1,2775.0,0.411248073,495.0,-1.140017,-0.643003941
IFIT2,1901.0,0.420797646,175.0,-0.290939,-0.289476134
IFIT3,843.0,0.417440574,529.0,-1.408408,-0.607218579
IFIT5,2354.0,0.414819429,231.0,-0.709421,-0.281333679
IFITM1,159.0,0.431550176,180.0,0.349745,-0.335036318
IFT27,109.0,0.4030938,426.0,-0.434187,-0.101111012
IGFBP3,1605.0,0.43060006,132.0,0.33502,0.075573662
IGFBP7,558.0,0.392734536,34.0,0.591039,0.090062204
IKBKE,745.0,0.435100597,714.0,-0.353864,-0.171680117
IL16,3965.0,0.367979445,2395.0,0.262175,0.43935303
IL17RA,5874.0,0.376798811,133.0,-0.519918,-0.118380892
IL1RN,1145.0,0.411881061,408.0,-0.227819,0.400059535
IL4I1,16.0,0.4139018,621.0,-1.115425,-0.348838328
ILF2,656.0,0.426220446,239.0,-0.266272,-0.068216083
IMPA2,2898.0,0.383680893,242.0,-0.707152,-0.607020388
INO80,5209.0,0.374025479,351.0,-0.265037,0.008156684
INPP1,263.0,0.395712795,700.0,-0.392997,0.116421387
INPP5D,1195.0,0.436077769,512.0,-0.031844,0.326077437
INSR,4801.0,0.380857973,411.0,0.509508,0.022752843
IPO5,2508.0,0.381335948,180.0,0.393938,-0.003336607
IRF7,92.0,0.423538356,367.0,-1.391426,-0.355479207
IRF8,1327.0,0.384714127,507.0,-0.049964,0.421443538
IRF9,369.0,0.432057622,127.0,-0.978569,-0.347621341
IRGQ,7659.0,0.399674011,156.0,0.382487,0.416290106
ISCU,607.0,0.454630229,1331.0,0.262333,0.120694667
ISG15,62.0,0.419522688,77.0,-1.942611,-1.039965361
ISG20,952.0,0.419932377,2368.0,-0.730661,-0.407418455
ISOC1,1056.0,0.418535314,18.0,0.006208,-0.29744386
ITGB2,415.0,0.457304004,395.0,-0.113037,0.071489614
ITPKB,2981.0,0.440250717,340.0,-0.21988,-0.134336299
ITPRIP,5382.0,0.396785481,453.0,-0.513592,-0.311312235
JUNB,496.0,0.414023332,276.0,-0.302174,0.245587908
JUP,157.0,0.458302936,298.0,0.140429,-0.305680855
KANK2,2291.0,0.394238955,361.0,0.435952,1.002947399
KARS,4202.0,0.383913431,144.0,-0.195838,-0.141139836
KCNN4,560.0,0.425737469,396.0,-0.708258,-0.388266993
KDM1A,327.0,0.428444011,149.0,0.089475,-0.187165689
KDM2A,3716.0,0.372295488,864.0,-0.316662,-0.205403539
KDM2B,2488.0,0.393022165,407.0,-0.26647,-0.142846073
KDM3B,1327.0,0.37791414,200.0,-0.088058,0.031192278
KDM4A,1148.0,0.378142374,166.0,0.221967,0.065878811
KHSRP,1024.0,0.456900489,110.0,-0.082735,0.004239254
KIAA2013,727.0,0.385456054,191.0,0.108463,-0.75121368
KIF20A,757.0,0.371463873,496.0,-1.79054,-0.315454854
KIF22,75.0,0.392489541,388.0,-0.817996,-0.512387531
KIF2C,588.0,0.387865377,395.0,-1.704947,-0.653195709
KIF3B,3792.0,0.390782105,180.0,-0.294908,0.087667365
KIF3C,2392.0,0.403852971,657.0,-0.368914,0.185902297
KIF5B,3198.0,0.418236129,470.0,-0.191079,0.187552161
KLHL7,3616.0,0.41595405,521.0,0.193274,-0.301424087
KTI12,594.0,0.370414154,39.0,0.111832,0.098491872
LAMP1,1311.0,0.390985106,281.0,0.480499,0.089983229
LANCL2,2422.0,0.433733517,578.0,-0.151324,-0.4573238
LAP3,503.0,0.426841798,162.0,0.369804,-0.096453684
LDHD,1826.0,0.398770776,52.0,-0.605375,0.090129688
LENG1,560.0,0.445950324,48.0,0.709004,-0.024500429
LGALS3,159.0,0.420172221,88.0,0.379367,0.354779113
LGALS3BP,1225.0,0.419930622,179.0,-1.120664,-0.802477874
LGALS9,641.0,0.410654931,118.0,-0.904036,0.033713703
LIN54,4893.0,0.441729058,383.0,-0.181782,-0.127905221
LPCAT1,2228.0,0.380803123,133.0,0.388518,0.332848844
LPCAT4,239.0,0.432241557,94.0,0.085847,0.131101473
LPXN,1776.0,0.432350833,254.0,-0.272792,0.108525826
LRPPRC,2376.0,0.377375074,58.0,0.241061,-0.43279518
LRRC25,843.0,0.434491636,642.0,-0.392009,-0.296963386
LRRC41,465.0,0.438391248,44.0,-0.092155,0.067671428
LRRC59,1755.0,0.423067849,236.0,-0.509107,-0.528573949
LSM1,486.0,0.409616526,410.0,1.782091,0.391431653
LSM6,1871.0,0.435100303,139.0,0.232951,0.38144596
LTA4H,391.0,0.355044638,145.0,0.408838,-0.148810247
LYN,4058.0,0.418972994,282.0,-0.269891,-0.001118322
LYPLAL1,1137.0,0.3973742,157.0,0.072121,-0.099760676
LYRM4,6830.0,0.366844497,217.0,0.520358,-0.038435098
LYSMD2,596.0,0.394037378,501.0,-0.157909,-0.17261828
M6PR,1457.0,0.379162834,275.0,0.130452,-0.104904437
MAD2L1,4528.0,0.407191351,124.0,-0.887171,-0.378424055
MAFB,2032.0,0.405989564,390.0,-0.173336,-0.90211344
MAGED2,327.0,0.466698843,233.0,0.64549,-0.321243256
MAGOH,153.0,0.416054235,162.0,0.08027,-0.362739409
MAN2B1,128.0,0.381728903,76.0,-0.117532,-0.16370042
MANF,717.0,0.420319188,97.0,-0.293134,-0.285048687
MAP4K1,170.0,0.374128007,140.0,0.018914,0.070351055
MARCKSL1,768.0,0.468216312,206.0,0.33993,-0.10864761
MAX,2676.0,0.337149475,479.0,0.372098,0.317267021
MBD2,3723.0,0.420256858,229.0,-0.189494,0.183950849
MBP,4041.0,0.393290432,264.0,0.390877,1.118475765
MCM2,662.0,0.460999542,110.0,-0.332336,-0.582505731
MCM4,2618.0,0.371821308,942.0,-0.468595,-0.596157012
MCM5,3214.0,0.470488076,94.0,-0.026853,-0.596594913
MDC1,658.0,0.415783633,440.0,-0.524749,-0.117476588
MDH1,210.0,0.381672323,435.0,0.041737,-0.111311063
ME1,1535.0,0.411214685,265.0,-2.22445,-0.868802515
ME3,171.0,0.395156177,377.0,0.639556,0.103248709
MECR,1365.0,0.445670958,612.0,0.730049,0.212252476
MED17,2631.0,0.366528813,275.0,-0.184862,0.113753795
MED19,934.0,0.439623042,93.0,-0.144647,0.052365164
MED28,10307.0,0.440157501,27.0,0.608171,0.057086048
MED29,4550.0,0.464327351,57.0,0.292594,0.032617785
MEF2C,6848.0,0.41426337,654.0,0.240273,0.804368707
MEN1,824.0,0.454590692,504.0,-0.030642,0.043747885
METTL13,961.0,0.396264071,347.0,0.028938,-0.09642129
MGST3,1295.0,0.374563048,428.0,-0.393682,-0.538666945
MIF4GD,787.0,0.397877071,137.0,0.474507,0.172343172
MINK1,774.0,0.455972684,525.0,-0.327924,0.094472044
MIS12,1334.0,0.420723459,745.0,-0.690864,-0.17667829
MLEC,5319.0,0.43043384,173.0,0.413719,-0.257147664
MLLT10,2252.0,0.36295117,1568.0,-0.77636,0.109857468
MLX,1636.0,0.386664187,65.0,-0.274603,0.080794646
MMACHC,1852.0,0.382684622,371.0,-0.0669,-0.363105907
MMADHC,5382.0,0.406207656,205.0,0.326807,0.225356084
MMP1,502.0,0.392399458,189.0,-3.411695,-0.308740596
MMP14,1722.0,0.419367787,285.0,0.160766,0.497948629
MMP9,193.0,0.404253633,19.0,0.407559,-0.69615575
MORC3,2052.0,0.406702124,375.0,0.045186,-0.006250306
MORF4L1,1066.0,0.420719378,454.0,0.358188,0.123314588
MOV10,619.0,0.412681236,1415.0,-0.437695,-0.340585204
MPDU1,797.0,0.440676037,216.0,-0.737012,-0.747561723
MPHOSPH10,87.0,0.404440607,352.0,-0.146735,0.251207062
MRI1,2018.0,0.459301832,75.0,-0.881536,-0.236371156
MRPL13,1075.0,0.395373051,313.0,1.360976,-0.332030652
MRPL15,1888.0,0.407701507,63.0,0.449958,-0.448812075
MRPL16,212.0,0.368940255,214.0,-0.275269,-0.354114393
MRPL17,6554.0,0.424450505,105.0,0.256959,-0.337164097
MRPL2,580.0,0.458698472,164.0,0.067001,-0.167453971
MRPL20,187.0,0.445765675,96.0,0.582816,-0.178366809
MRPL21,55.0,0.417448467,293.0,0.643182,-0.318205771
MRPL27,2133.0,0.436300758,31.0,0.143719,-0.372615928
MRPL40,113.0,0.406843086,653.0,0.290653,-0.170105292
MRPL46,1889.0,0.422788385,25.0,-0.134995,-0.195674363
MRPL48,1284.0,0.368940255,212.0,0.172039,-0.346448195
MRPL51,2069.0,0.35376587,169.0,0.21203,-0.316513576
MRPL53,198.0,0.441261883,155.0,0.088716,-0.362048507
MRPL9,407.0,0.432679379,437.0,-0.500238,-0.330899312
MRPS11,2793.0,0.477818717,1491.0,0.022847,-0.176610522
MRPS15,468.0,0.440649404,164.0,0.118035,0.053083763
MRPS17,1334.0,0.413812124,30.0,0.133131,-0.396851494
MRPS18B,936.0,0.408462865,157.0,0.069595,-0.183607457
MRPS36,933.0,0.3748339,84.0,0.38888,-0.227061059
MRPS7,453.0,0.455992019,233.0,0.069635,-0.505120445
MSI2,5168.0,0.366385762,173.0,0.124771,-0.073038443
MSTO1,694.0,0.421389639,1152.0,-0.552131,-0.001427462
MT1E,291.0,0.588704726,179.0,-0.742131,0.592115449
MT2A,316.0,0.576670685,123.0,-0.455195,-0.043563014
MTA2,684.0,0.459443446,761.0,0.038863,0.152566004
MTFMT,1550.0,0.414190941,26.0,-0.273815,-0.341454051
MTHFS,1663.0,0.434592403,179.0,0.118855,-0.054040285
MTMR1,2442.0,0.424163835,319.0,0.126911,0.235110036
MTMR14,421.0,0.371137969,151.0,0.156661,-0.026663608
MVP,50.0,0.435053297,193.0,0.253232,0.297113136
MX1,456.0,0.433488503,982.0,-1.684216,-1.242547339
MX2,1812.0,0.430094961,104.0,-0.56649,0.271946748
MYADM,2833.0,0.384589896,681.0,0.500495,1.079025302
MYCBP,3972.0,0.381803634,73.0,0.877023,0.209050945
MYL12A,812.0,0.453450746,478.0,-0.162419,0.115794174
MYO18A,3647.0,0.395788337,484.0,-0.281863,-0.016799646
MYO9B,1401.0,0.398943925,152.0,-0.48552,0.199662691
N6AMT1,5137.0,0.427535625,28.0,0.522658,0.214946205
NAA40,3212.0,0.389371031,261.0,-0.14485,-0.259282649
NAB1,2433.0,0.361024962,572.0,-0.170059,0.17119091
NADK,1672.0,0.3959688,563.0,-0.006087,-0.173200745
NADSYN1,464.0,0.447848979,126.0,0.227139,0.077986782
NAGK,1297.0,0.42527382,474.0,0.344461,0.270078476
NANS,37.0,0.458552255,132.0,0.65545,-0.00605153
NAPA,1862.0,0.477781443,318.0,0.860487,0.207523668
NAT10,4915.0,0.387474071,245.0,0.201274,-0.164991278
NBAS,140.0,0.414580543,44.0,0.346721,0.168236535
NCALD,2767.0,0.374888213,460.0,-0.934645,-0.346749121
NCAPD3,2971.0,0.431957579,606.0,-0.260738,-0.221175887
NCAPG2,3501.0,0.41630572,200.0,-0.682769,-0.467326982
NCF1,2381.0,0.415579251,70.0,-0.195464,-0.173466735
NCK2,1267.0,0.457831152,276.0,-0.04825,0.121197006
NCKIPSD,4981.0,0.449411541,126.0,0.021265,0.066221098
NCOA5,1332.0,0.416761948,402.0,-0.049939,0.135737572
NCOA7,3259.0,0.404217869,470.0,-0.387468,0.126183633
NDC80,61.0,0.356199389,182.0,-1.027992,-0.401380184
NDRG2,841.0,0.376266446,941.0,0.593013,-0.252928836
NDUFA4,1685.0,0.439642808,129.0,0.20327,-0.359560977
NEU1,667.0,0.413226082,156.0,0.168542,-0.230693806
NFATC2IP,3242.0,0.412267479,15.0,-0.639578,-0.347806232
NFKB1,708.0,0.4099683,467.0,-0.244844,0.131964868
NFKB2,153.0,0.424806573,563.0,-0.358422,-0.049633877
NFKBIE,1053.0,0.409138176,25.0,-0.35642,0.053159405
NGDN,1255.0,0.423783924,27.0,-0.165354,-0.05699138
NGRN,1679.0,0.414477409,50.0,0.042525,-0.17357827
NINJ1,5217.0,0.455972644,71.0,0.763076,-0.042776318
NIP7,1593.0,0.443769116,318.0,-0.027237,-0.145265452
NIT2,2351.0,0.432361565,74.0,0.112911,0.086499209
NMNAT3,2689.0,0.397393877,1228.0,0.194524,-0.174636225
NMT1,3377.0,0.454689408,31.0,0.214751,0.0199258
NONO,1092.0,0.432928506,710.0,0.355029,0.024674181
NOP14,912.0,0.38067473,187.0,0.281551,0.229806463
NOP2,785.0,0.393538298,198.0,-0.307883,0.047266182
NOTCH2,6062.0,0.409327653,297.0,0.216679,0.594313149
NPTN,1068.0,0.388989686,197.0,0.065838,0.184846462
NR2C2,6271.0,0.390767743,362.0,-0.24161,0.189988918
NRBF2,883.0,0.43605128,224.0,-0.212186,0.083978543
NRF1,1901.0,0.447602651,500.0,-0.099018,0.332114825
NRGN,833.0,0.413631862,152.0,-0.64561,-0.406574373
NRP1,3846.0,0.416817106,523.0,-0.049992,0.456226574
NSFL1C,1587.0,0.42738001,868.0,-0.214771,-0.277185408
NSMAF,602.0,0.358586884,214.0,0.032875,0.16767897
NTAN1,178.0,0.344459601,320.0,-0.219302,0.121716091
NUBP1,246.0,0.455923678,142.0,-0.112995,-0.130428159
NUCKS1,5461.0,0.359398328,271.0,-0.338119,-0.662189322
NUDC,716.0,0.476401948,127.0,0.373658,0.022878011
NUDT16,5489.0,0.428387545,75.0,-0.17928,0.022183752
NUMA1,663.0,0.474508115,436.0,0.159963,0.089614027
NUP93,5678.0,0.382018893,495.0,-0.55382,-0.109643103
NXF1,2943.0,0.375826754,136.0,-0.882569,0.051999487
OCIAD2,4872.0,0.363821488,322.0,-0.011831,-0.515522838
OGDH,1071.0,0.396078149,159.0,0.058137,-0.135034889
OPA3,7233.0,0.475004358,100.0,0.281422,-0.443077391
OSBPL2,2363.0,0.383456763,571.0,-0.172362,0.013308138
OSBPL5,1099.0,0.381371042,158.0,0.625803,0.268035641
OVCA2,792.0,0.429983078,65.0,-0.324616,-0.106057081
P2RX4,573.0,0.442596273,304.0,-0.677979,-0.131846584
PAAF1,509.0,0.376143366,341.0,0.016638,-0.185063289
PACSIN2,1591.0,0.413490434,405.0,0.455694,-0.00795017
PARK7,451.0,0.457171775,163.0,0.817128,0.051586035
PARP1,769.0,0.460215809,171.0,-1.152879,-0.639638388
PARP10,332.0,0.422654659,200.0,-0.820868,-0.209063398
PARP12,816.0,0.416480622,874.0,-0.27612,-0.194056932
PARP14,2243.0,0.414355918,59.0,-0.820864,-0.293501907
PARP9,451.0,0.418102187,327.0,-0.463813,-0.212340844
PARVG,2043.0,0.383803232,484.0,-0.717053,-0.064271257
PBK,750.0,0.413339119,464.0,0.195156,-0.461636478
PCNA,338.0,0.425000199,239.0,-0.569769,-0.549854014
PDAP1,2007.0,0.464659554,134.0,0.170784,-0.195705786
PDCD2,155.0,0.440448783,111.0,0.304367,0.10565483
PDCD2L,48.0,0.433436103,33.0,0.290324,0.076012646
PDCD6IP,3211.0,0.388727459,158.0,0.023591,0.275289467
PDHA1,2054.0,0.402514578,145.0,-0.140166,0.021094021
PDHB,2974.0,0.442593378,43.0,0.268337,-0.061477756
PDLIM1,357.0,0.379179626,233.0,-0.632808,-0.104815944
PDXDC1,2055.0,0.375670185,335.0,-0.341828,-0.449191175
PDXK,6244.0,0.398158884,198.0,0.457055,0.181177501
PEBP1,796.0,0.360152166,326.0,0.364947,0.017247827
PEF1,769.0,0.441759403,424.0,0.36234,0.239070135
PELO,5222.0,0.385240523,985.0,-0.075879,0.206090574
PEPD,395.0,0.450896903,133.0,0.143172,0.500352211
PEX16,585.0,0.43213601,312.0,0.241773,-0.075064845
PEX6,946.0,0.370078344,93.0,1.059477,-0.053674721
PEX7,2294.0,0.407005497,102.0,0.632169,-0.180207394
PFDN5,124.0,0.497062947,117.0,0.804733,-0.126691041
PFDN6,574.0,0.470152145,222.0,0.296267,-0.053505956
PGM1,570.0,0.393980016,681.0,-0.692665,0.099308216
PHB,988.0,0.45268542,190.0,0.902395,-0.354515417
PHF10,104.0,0.365149381,79.0,-0.162529,-0.044175026
PI4K2A,2692.0,0.385068362,57.0,-0.131301,0.24714227
PIAS1,3626.0,0.396022529,741.0,-0.268006,0.047280705
PIK3AP1,3866.0,0.407313024,128.0,-0.387649,-0.032837204
PIR,205.0,0.385796208,485.0,-1.047564,-0.911469423
PITPNC1,4686.0,0.369070722,874.0,-0.622927,-0.2110384
PLAUR,323.0,0.418467601,226.0,-0.605676,0.020996925
PLCB2,818.0,0.468984469,301.0,-0.888067,-0.059442497
PLCG1,3987.0,0.454806205,121.0,-0.625981,0.041335555
PLD4,273.0,0.377985619,192.0,0.932929,0.663196215
PLEKHO1,5192.0,0.424698037,839.0,0.025475,-0.017828768
PLEKHO2,2119.0,0.429714475,134.0,0.025381,0.087736909
PLSCR1,10376.0,0.415598704,388.0,-0.546099,-0.46340303
PML,3324.0,0.431306474,140.0,-0.461737,0.282515047
POLR1C,1131.0,0.439933821,86.0,0.511808,-0.03426026
POLR1D,1469.0,0.427162265,456.0,0.278924,0.103653024
POLR2F,1600.0,0.47244007,250.0,0.695153,0.088676388
POLR2H,1065.0,0.427596015,1167.0,0.012082,-0.085469934
POLR3H,3481.0,0.444306047,388.0,0.926816,-0.112782429
POLR3K,1023.0,0.473025152,46.0,0.31358,0.271417974
PPA2,660.0,0.432735716,20.0,0.442644,-0.097305446
PPIE,4556.0,0.446406574,56.0,-0.069478,-0.08072037
PPIL1,1921.0,0.453832883,252.0,-0.170567,-0.399343082
PPP1R14B,282.0,0.457456004,268.0,-0.114621,-0.333571353
PPP1R3G,2923.0,0.390061911,0.0,0.107316,0.366197676
PRC1,1136.0,0.367783806,234.0,-1.563813,-0.655070815
PRCC,357.0,0.381841119,290.0,-0.684736,-0.129622758
PRDX1,303.0,0.414090753,341.0,0.372951,-0.191560874
PRDX6,944.0,0.433706552,51.0,-0.154676,-0.188477367
PREB,658.0,0.378530018,403.0,-0.154357,-0.175732557
PREP,579.0,0.425974009,233.0,0.197119,-0.296101625
PRG4,784.0,0.366727173,51.0,1.590102,-0.174247677
PRIM2,1166.0,0.350864643,125.0,-0.198691,-0.403335225
PRKAB1,1305.0,0.365943644,289.0,-0.224797,0.083010579
PRKAR2A,5019.0,0.427443141,254.0,0.049209,0.443393905
PRKCB,5795.0,0.38010529,197.0,0.823761,0.418627084
PRKCD,451.0,0.404392693,469.0,0.352561,0.117490612
PRKRA,683.0,0.420894136,659.0,-0.082205,0.05269226
PRKRIP1,3224.0,0.453589322,55.0,-0.212407,-0.028246157
PRMT5,393.0,0.386451423,508.0,0.429445,0.065646175
PRMT7,3655.0,0.450088803,850.0,-0.133259,-0.028659587
PROCR,549.0,0.357872186,218.0,0.377623,0.399829391
PRPS1,3908.0,0.466551451,409.0,0.351976,0.421398679
PRPSAP1,2056.0,0.390811115,688.0,-0.189111,0.010311935
PRRC1,3173.0,0.409170839,188.0,-0.06611,-0.094574355
PSMA5,2997.0,0.446573967,225.0,-0.010604,-0.134495816
PSMA6,187.0,0.423632682,445.0,0.116315,-0.07177502
PSMB10,58.0,0.455018511,128.0,-0.341447,-0.178857133
PSMB2,3775.0,0.389848815,412.0,-0.061435,-0.144590812
PSMB8,242.0,0.411206622,522.0,-0.29886,0.011533509
PSMB9,5497.0,0.431095699,69.0,-0.542428,-0.138202331
PSMC3,66.0,0.485654947,194.0,0.209066,-0.002916693
PSMD11,2567.0,0.390095635,61.0,-0.278803,0.088768596
PSMD13,384.0,0.437236365,242.0,0.306778,-0.060786204
PSMD8,450.0,0.458928351,52.0,0.506295,-0.03898165
PSME2,53.0,0.443656162,65.0,-0.018994,-0.491174437
PSMG1,5308.0,0.427553471,578.0,-0.451815,-0.035920766
PSTPIP2,1923.0,0.429639796,96.0,-0.676025,-0.220339533
PTBP1,1504.0,0.473818895,106.0,-0.104379,-0.054044849
PTDSS1,3765.0,0.367954205,423.0,0.636913,-0.610367076
PTGS1,3346.0,0.37260918,633.0,0.009563,0.231476891
PTP4A1,3419.0,0.421202001,1153.0,-0.428697,-0.540655491
PTPMT1,1899.0,0.450492628,193.0,-0.31231,-0.326868913
PTPN18,2185.0,0.381656528,101.0,-0.046336,-0.131972837
PTPN7,1593.0,0.440747449,781.0,-0.184028,-0.003771294
PTPRE,2994.0,0.426620112,1843.0,-0.601952,-0.140031595
PTPRF,4571.0,0.452810321,356.0,0.230861,-0.052620733
PTRH2,3186.0,0.370743372,1544.0,-0.095308,-0.475261423
PWWP2B,819.0,0.424412275,29.0,-0.638314,0.384204541
PYCR2,578.0,0.474148407,230.0,-1.156856,-0.7380472
PYGL,175.0,0.392036998,127.0,-1.152381,-0.32137522
QARS,97.0,0.458996209,396.0,1.045532,0.148761454
RAB11FIP1,4277.0,0.380614122,56.0,2.273105,0.430177638
RAB12,1120.0,0.38483812,283.0,0.033175,-0.070268413
RAB21,5246.0,0.435367738,267.0,0.131503,0.052519967
RAB31,3231.0,0.437498832,175.0,1.196346,0.588027495
RAB35,2172.0,0.408841719,189.0,-0.141082,0.049364389
RAB7A,1376.0,0.419395127,232.0,0.08869,0.055964379
RAB8B,4163.0,0.425956778,96.0,0.20235,0.143689891
RAB9A,1716.0,0.417525007,283.0,0.331369,0.035451779
RABGGTA,77.0,0.387342734,512.0,-0.010954,-0.035509217
RABGGTB,440.0,0.409412379,78.0,0.07004,-0.063951475
RABIF,4760.0,0.447399225,159.0,-0.781936,-0.131625607
RACGAP1,1895.0,0.366370127,354.0,-1.262393,-0.580097143
RAD9A,924.0,0.444046557,185.0,-0.465714,-0.237415284
RAE1,1112.0,0.432613552,365.0,-0.313417,0.030280446
RAI1,1472.0,0.455620822,469.0,-0.326884,0.03601329
RAN,2043.0,0.442855294,361.0,0.409624,-0.294337529
RANBP10,3359.0,0.379453562,1256.0,-0.326603,-0.045778454
RANGAP1,3145.0,0.481547647,765.0,0.197838,-0.137015931
RAPGEF1,2727.0,0.425793135,159.0,-0.485832,0.283466159
RARS,114.0,0.423508657,41.0,0.267751,0.031921992
RASGRP2,183.0,0.381671176,582.0,0.074752,0.222183726
RASGRP4,985.0,0.374724859,214.0,0.005801,0.009308015
RBBP4,6506.0,0.404056961,164.0,0.284623,-0.029636046
RBBP5,3098.0,0.421849625,474.0,-0.319942,0.042873649
RBKS,251.0,0.392307233,1371.0,0.447862,0.156186101
RBM12,3599.0,0.375183789,304.0,0.132776,0.18453447
RBM14,3443.0,0.468008211,139.0,-0.08757,0.024240584
RBM4B,5277.0,0.396841232,170.0,-0.130524,0.031413481
RBMX,1201.0,0.353737079,210.0,0.070299,0.113889093
RBPJ,4223.0,0.4178224,518.0,0.203419,0.293121643
RBX1,821.0,0.46562919,52.0,0.497378,-0.205526649
RC3H1,7637.0,0.410085914,87.0,-0.389555,-0.174445424
RCCD1,1773.0,0.374130224,280.0,-0.411054,-0.033929485
RCOR1,4070.0,0.439565312,228.0,-0.089343,-0.230634375
REEP4,591.0,0.460338979,469.0,-1.107017,-0.528884094
REEP5,2962.0,0.457536941,144.0,0.251245,-0.376291433
RELB,408.0,0.418226182,131.0,-0.586385,-0.149307982
REPIN1,2683.0,0.45080531,489.0,0.054268,0.140048005
RFC4,89.0,0.411167541,282.0,-0.867615,-0.267647681
RFK,1882.0,0.429285662,357.0,0.556461,-0.054851159
RFX5,1546.0,0.386685917,221.0,-0.276555,0.096905703
RFXAP,1850.0,0.421314391,156.0,-0.112694,0.033050359
RHBDF2,740.0,0.423256567,294.0,-0.538658,-0.130028834
RHOT2,568.0,0.454546166,881.0,-0.386664,-0.398058009
RNASEH1,4369.0,0.404567903,700.0,-0.314177,-0.415189166
RNASEH2B,3930.0,0.37625722,399.0,0.009918,0.251998528
RNASET2,1070.0,0.374792559,407.0,-0.574661,-0.369839275
RNF114,1751.0,0.459950313,36.0,-0.09679,-0.154234888
RNF167,289.0,0.375291206,776.0,-0.030459,-0.230956413
RNF20,5226.0,0.396317502,92.0,0.24826,-0.057089043
RNF213,5288.0,0.417718743,150.0,-0.75128,-0.453590487
RNF216,2819.0,0.430061571,259.0,-0.072958,0.048868381
RNF25,102.0,0.375620157,88.0,-0.036215,-0.003727642
RNF31,88.0,0.389352607,358.0,-0.043641,0.028655356
RNLS,1252.0,0.416402283,135.0,0.786356,0.552170875
RNMT,4581.0,0.415128602,241.0,-0.015389,0.02009747
RNPEP,463.0,0.447181346,896.0,-0.519231,-0.207125829
RP9,437.0,0.42869019,18.0,-0.460312,0.360223946
RPA1,2907.0,0.381710028,170.0,-0.145884,-0.145052502
RPA2,639.0,0.400070522,793.0,0.067546,-0.206620931
RPAIN,471.0,0.394698889,570.0,-0.594558,-0.256178837
RPL11,461.0,0.442317923,45.0,1.191302,-0.007128759
RPL14,5208.0,0.496792394,133.0,1.223928,0.398320045
RPL23,3146.0,0.464880603,90.0,1.047847,0.184887106
RPL26,53.0,0.427802183,389.0,0.710955,-0.130202426
RPL31,1260.0,0.451994935,87.0,1.58294,0.341930941
RPL34,1350.0,0.436455219,198.0,0.964257,0.406307609
RPL5,1058.0,0.451564158,75.0,1.300954,0.257305751
RPL7,1077.0,0.460258279,707.0,2.699767,0.522573469
RPS11,373.0,0.483080585,92.0,1.575741,0.365786522
RPS24,4247.0,0.430653047,142.0,1.258503,-0.020540534
RPS25,109.0,0.467193878,63.0,1.042755,0.015636065
RPS27A,743.0,0.450449292,321.0,1.009446,-0.118226283
RPS3A,306.0,0.426765211,80.0,1.694081,0.263510303
RPS4X,629.0,0.442998752,96.0,0.789473,0.221474269
RPS6,2723.0,0.413925579,42.0,1.4372,0.242154982
RPS6KA1,828.0,0.389798854,163.0,0.577977,0.264863693
RPS6KA4,735.0,0.38455359,226.0,-0.365038,0.272237742
RPS7,66.0,0.428822459,109.0,0.98632,-0.018687555
RPTOR,2341.0,0.385169267,805.0,0.199651,0.065725263
RREB1,3012.0,0.456825357,492.0,-0.407781,-0.092313471
RRM1,2304.0,0.437568848,689.0,-0.366757,-0.37138062
RRP8,5071.0,0.446233376,148.0,0.044405,-0.175138902
RRS1,978.0,0.468289248,104.0,0.988628,0.238908234
RTN3,1690.0,0.358048129,187.0,0.007229,-0.2606668
RTN4IP1,1108.0,0.372133716,477.0,0.036574,-0.378072161
RUNX1,4334.0,0.416076551,1578.0,0.6668,0.413194073
RUNX3,2611.0,0.405217602,439.0,-0.41974,-0.23429244
RWDD1,6365.0,0.401367905,746.0,0.205008,-0.059543282
S100A8,71.0,0.444112716,170.0,-3.807125,0.011303867
S100A9,189.0,0.439508357,43.0,-1.745713,-0.248524577
SAMD9,1815.0,0.395660052,270.0,-0.847463,-0.385212009
SAMD9L,1162.0,0.396305952,1248.0,-0.623128,-0.162310294
SAMM50,150.0,0.345249646,197.0,0.265755,-0.447730297
SAMSN1,684.0,0.407246581,430.0,0.05443,-0.165510589
SAP18,1754.0,0.427429047,39.0,0.430258,0.013748786
SAP30BP,1541.0,0.449617255,257.0,0.03047,-0.0313673
SAR1A,5213.0,0.411769389,203.0,0.016012,-0.002633394
SAR1B,5806.0,0.392367964,253.0,0.065732,-0.16633613
SARS,1054.0,0.40098191,100.0,0.528607,0.152967407
SASH3,1369.0,0.387406112,182.0,0.024427,0.072112863
SCAMP4,1741.0,0.472519575,351.0,0.229528,0.412035522
SCO1,8645.0,0.407339367,61.0,-0.493813,-0.475602462
SDCCAG8,307.0,0.360606297,1542.0,-0.165151,-0.036366863
SEC11C,205.0,0.423646802,92.0,-0.000392,-0.741826533
