,3prime,tAI,max_5_UTR_length,TCGA-A2-A0YC,TCGA-A2-A0YC.1
IFIH1,121.0,0.412344512,377.0,1.011555,0.236393227
IFIT1,2775.0,0.411248073,495.0,3.362828,1.18260665
IFIT2,1901.0,0.420797646,175.0,2.724447,1.109446943
IFIT3,843.0,0.417440574,529.0,2.405272,1.128450417
IFIT5,2354.0,0.414819429,231.0,1.014889,0.694879127
IFITM1,159.0,0.431550176,180.0,1.744668,0.108701833
IFT27,109.0,0.4030938,426.0,0.175248,0.196812983
IGFBP3,1605.0,0.43060006,132.0,0.473237,0.212496917
IGFBP7,558.0,0.392734536,34.0,0.309371,0.692878457
IKBKE,745.0,0.435100597,714.0,-0.176428,-0.085039198
IL16,3965.0,0.367979445,2395.0,-0.414099,-0.291291556
IL1RN,1145.0,0.411881061,408.0,0.912702,0.257750893
IL4I1,16.0,0.4139018,621.0,-0.17522,-0.109270773
ILF2,656.0,0.426220446,239.0,-0.138685,-0.073962335
IMPA2,2898.0,0.383680893,242.0,-1.029929,-0.169887228
INO80,5209.0,0.374025479,351.0,0.384429,0.375528784
INPP1,263.0,0.395712795,700.0,-0.005506,0.033251575
INPP5D,1195.0,0.436077769,512.0,-0.054383,-0.117613446
INSR,4801.0,0.380857973,411.0,0.410932,0.024858166
IPO5,2508.0,0.381335948,180.0,0.076064,-0.048334041
IRF7,92.0,0.423538356,367.0,0.159362,0.118910582
IRF8,1327.0,0.384714127,507.0,0.260444,-0.020631653
IRF9,369.0,0.432057622,127.0,0.764042,0.305090183
IRGQ,7659.0,0.399674011,156.0,-0.195407,-0.017490108
ISCU,607.0,0.454630229,1331.0,0.152356,0.131630654
ISG15,62.0,0.419522688,77.0,2.751062,0.779261521
ISG20,952.0,0.419932377,2368.0,0.258662,-0.070432957
ISOC1,1056.0,0.418535314,18.0,-0.798111,-0.92849337
ITGB2,415.0,0.457304004,395.0,0.179868,-0.173819826
ITPKB,2981.0,0.440250717,340.0,-0.500407,0.027328786
JUNB,496.0,0.414023332,276.0,0.658082,0.324667063
JUP,157.0,0.458302936,298.0,0.818383,0.09155116
KANK2,2291.0,0.394238955,361.0,0.072989,0.394771074
KARS,4202.0,0.383913431,144.0,-0.807272,-0.269724274
KDM1A,327.0,0.428444011,149.0,0.274837,-0.075482167
KDM2A,3716.0,0.372295488,864.0,0.062608,-0.091000011
KDM3B,1327.0,0.37791414,200.0,0.303263,0.006070965
KDM4A,1148.0,0.378142374,166.0,0.17122,0.073012471
KHSRP,1024.0,0.456900489,110.0,0.115456,0.003634686
KIAA2013,727.0,0.385456054,191.0,-0.09723,0.310622554
KIF20A,757.0,0.371463873,496.0,-0.068739,-0.10809326
KIF22,75.0,0.392489541,388.0,0.11482,-0.505511953
KIF2C,588.0,0.387865377,395.0,-0.154556,-0.160069212
KIF3B,3792.0,0.390782105,180.0,0.275574,0.029249423
KIF3C,2392.0,0.403852971,657.0,-0.488649,-0.404064583
KIF5B,3198.0,0.418236129,470.0,0.4113,0.097875276
KLHL7,3616.0,0.41595405,521.0,-0.697997,-0.280288235
KTI12,594.0,0.370414154,39.0,-0.204542,-0.030390703
LAMP1,1311.0,0.390985106,281.0,0.033357,-0.223512981
LANCL2,2422.0,0.433733517,578.0,-0.375557,-0.695323546
LAP3,503.0,0.426841798,162.0,0.879262,0.569180884
LDHD,1826.0,0.398770776,52.0,-0.052774,-0.098066704
LENG1,560.0,0.445950324,48.0,-0.602442,-0.031721226
LGALS3,159.0,0.420172221,88.0,-0.953763,-0.466500597
LGALS3BP,1225.0,0.419930622,179.0,0.958977,0.376969736
LGALS9,641.0,0.410654931,118.0,0.202375,0.291579117
LIN54,4893.0,0.441729058,383.0,0.071956,-0.079242764
LPCAT1,2228.0,0.380803123,133.0,-1.378678,-0.535604732
LPXN,1776.0,0.432350833,254.0,0.217088,0.051896214
LRPPRC,2376.0,0.377375074,58.0,0.117578,-0.161298574
LRRC25,843.0,0.434491636,642.0,0.077798,-0.226595505
LRRC41,465.0,0.438391248,44.0,0.195416,0.220194153
LRRC59,1755.0,0.423067849,236.0,-0.519629,-0.334935528
LSM1,486.0,0.409616526,410.0,-0.247635,-0.099650079
LSM6,1871.0,0.435100303,139.0,-0.688848,0.1755693
LTA4H,391.0,0.355044638,145.0,-0.002597,-0.059035717
LYN,4058.0,0.418972994,282.0,-0.11648,-0.406449611
LYPLAL1,1137.0,0.3973742,157.0,-0.261099,-0.004579644
LYRM4,6830.0,0.366844497,217.0,-0.371764,-0.076389894
LYSMD2,596.0,0.394037378,501.0,-0.843345,-0.173561551
M6PR,1457.0,0.379162834,275.0,-0.062961,0.059079908
MAD2L1,4528.0,0.407191351,124.0,-0.034255,-0.303006701
MAFB,2032.0,0.405989564,390.0,-0.615445,-0.087358181
MAGED2,327.0,0.466698843,233.0,1.336592,0.214400427
MAGOH,153.0,0.416054235,162.0,-0.286749,-0.141581223
MAN2B1,128.0,0.381728903,76.0,-0.380095,-0.167833675
MANF,717.0,0.420319188,97.0,-0.325774,-0.033762086
MAP4K1,170.0,0.374128007,140.0,-0.048615,-0.17627646
MARCKSL1,768.0,0.468216312,206.0,-0.060308,-0.085358433
MAX,2676.0,0.337149475,479.0,0.523032,0.441219641
MBD2,3723.0,0.420256858,229.0,-0.132263,-0.125361477
MBP,4041.0,0.393290432,264.0,-1.156242,-0.70475495
MCM2,662.0,0.460999542,110.0,-0.401121,-0.375767767
MCM4,2618.0,0.371821308,942.0,-0.309577,-0.344374822
MCM5,3214.0,0.470488076,94.0,-0.020297,-0.324178377
MDC1,658.0,0.415783633,440.0,0.415463,-0.188177211
MDH1,210.0,0.381672323,435.0,-0.01043,0.066558767
ME1,1535.0,0.411214685,265.0,0.659586,0.059701609
ME3,171.0,0.395156177,377.0,-1.530894,-0.18020615
MECR,1365.0,0.445670958,612.0,0.368988,0.409406914
MED17,2631.0,0.366528813,275.0,-0.747759,-0.072200452
MED19,934.0,0.439623042,93.0,0.084038,-0.108537195
MED28,10307.0,0.440157501,27.0,0.159476,-0.309221471
MED29,4550.0,0.464327351,57.0,0.114318,0.023865937
MEN1,824.0,0.454590692,504.0,0.227857,-0.092789685
METTL13,961.0,0.396264071,347.0,0.062181,0.03145813
MGST3,1295.0,0.374563048,428.0,-0.190231,-0.11511575
MIF4GD,787.0,0.397877071,137.0,0.740725,0.135355122
MINK1,774.0,0.455972684,525.0,0.906491,0.022916139
MIS12,1334.0,0.420723459,745.0,0.402603,-0.023359548
MLEC,5319.0,0.43043384,173.0,0.05271,-0.483968947
MLLT10,2252.0,0.36295117,1568.0,-0.172052,0.202535124
MLX,1636.0,0.386664187,65.0,0.263855,0.504476637
MMACHC,1852.0,0.382684622,371.0,0.507806,-0.524156748
MMADHC,5382.0,0.406207656,205.0,-0.159299,-0.520700276
MMGT1,4451.0,0.406300672,388.0,-0.148829,-0.109421234
MMP1,502.0,0.392399458,189.0,1.942311,-0.24130392
MMP14,1722.0,0.419367787,285.0,0.050202,0.321687519
MMP9,193.0,0.404253633,19.0,-0.102854,-0.863644521
MORC3,2052.0,0.406702124,375.0,0.06178,-0.118105782
MORF4L1,1066.0,0.420719378,454.0,-0.181938,-0.001105899
MOV10,619.0,0.412681236,1415.0,0.334194,-0.00509088
MPDU1,797.0,0.440676037,216.0,-0.481525,-0.817357447
MPHOSPH10,87.0,0.404440607,352.0,-0.150473,-0.229059811
MRI1,2018.0,0.459301832,75.0,-0.124746,0.193745297
MRPL13,1075.0,0.395373051,313.0,-0.40792,0.334892271
MRPL15,1888.0,0.407701507,63.0,-0.918124,0.158930507
MRPL16,212.0,0.368940255,214.0,-0.009435,0.23331356
MRPL17,6554.0,0.424450505,105.0,-0.050183,0.32088933
MRPL2,580.0,0.458698472,164.0,-0.14116,0.132749635
MRPL20,187.0,0.445765675,96.0,0.073561,0.307606854
MRPL21,55.0,0.417448467,293.0,-0.566221,0.002399629
MRPL27,2133.0,0.436300758,31.0,0.100263,0.319777427
MRPL40,113.0,0.406843086,653.0,0.532327,0.201733698
MRPL46,1889.0,0.422788385,25.0,0.234007,0.246328757
MRPL48,1284.0,0.368940255,212.0,-1.2049,0.278724135
MRPL51,2069.0,0.35376587,169.0,-0.041533,0.256600106
MRPL53,198.0,0.441261883,155.0,0.229756,0.209453969
MRPL9,407.0,0.432679379,437.0,-0.125177,0.275096097
MRPS11,2793.0,0.477818717,1491.0,-0.037774,-0.039310895
MRPS15,468.0,0.440649404,164.0,0.031456,-0.17853409
MRPS17,1334.0,0.413812124,30.0,-0.641218,-0.300181853
MRPS18B,936.0,0.408462865,157.0,0.404743,-0.205061557
MRPS36,933.0,0.3748339,84.0,-0.132035,0.22454167
MRPS7,453.0,0.455992019,233.0,0.314228,-0.118895802
MSI2,5168.0,0.366385762,173.0,1.575824,0.387879855
MSTO1,694.0,0.421389639,1152.0,-0.531793,-0.049147879
MT2A,316.0,0.576670685,123.0,-0.998583,-1.076947199
MTA2,684.0,0.459443446,761.0,-0.244795,-0.033855237
MTFMT,1550.0,0.414190941,26.0,0.037949,-0.298780768
MTHFS,1663.0,0.434592403,179.0,-0.055942,0.188557222
MTMR1,2442.0,0.424163835,319.0,-0.390654,-0.052356949
MTMR14,421.0,0.371137969,151.0,-0.173324,-0.131548095
MVP,50.0,0.435053297,193.0,0.450171,0.411056384
MX1,456.0,0.433488503,982.0,2.000266,0.380543427
MX2,1812.0,0.430094961,104.0,1.113461,0.767622209
MYADM,2833.0,0.384589896,681.0,-0.459557,-0.106262341
MYCBP,3972.0,0.381803634,73.0,0.262776,-0.01369757
MYL12A,812.0,0.453450746,478.0,-0.143991,0.0120582
MYO18A,3647.0,0.395788337,484.0,-0.277478,-0.07754481
MYO9B,1401.0,0.398943925,152.0,0.002267,0.050478163
N6AMT1,5137.0,0.427535625,28.0,0.100284,0.224821378
NAA40,3212.0,0.389371031,261.0,0.295188,-0.00299888
NAB1,2433.0,0.361024962,572.0,0.453192,0.109936054
NADK,1672.0,0.3959688,563.0,0.247865,-0.240765447
NADSYN1,464.0,0.447848979,126.0,-0.41892,-0.139418418
NAGK,1297.0,0.42527382,474.0,0.064856,0.023326344
NANS,37.0,0.458552255,132.0,-0.481869,-0.338028624
NAPA,1862.0,0.477781443,318.0,0.30398,0.159094629
NAT10,4915.0,0.387474071,245.0,0.098694,-0.199447065
NBAS,140.0,0.414580543,44.0,0.112566,0.146543969
NCALD,2767.0,0.374888213,460.0,-0.630001,-0.754029977
NCAPD3,2971.0,0.431957579,606.0,-0.3032,-0.353244707
NCAPG2,3501.0,0.41630572,200.0,0.37196,-0.119042216
NCF1,2381.0,0.415579251,70.0,0.230804,-0.134798354
NCK2,1267.0,0.457831152,276.0,-0.636376,-0.229068878
NCKIPSD,4981.0,0.449411541,126.0,0.194262,0.028687655
NCOA5,1332.0,0.416761948,402.0,-0.247807,-0.049073272
NCOA7,3259.0,0.404217869,470.0,-0.390167,-0.042405197
NDC80,61.0,0.356199389,182.0,-0.436544,-0.215699407
NDRG2,841.0,0.376266446,941.0,-0.174558,-0.513999954
NDUFA4,1685.0,0.439642808,129.0,0.071206,-0.38742215
NEU1,667.0,0.413226082,156.0,0.141816,-0.110515327
NFATC2IP,3242.0,0.412267479,15.0,0.446298,-0.125119081
NFKB1,708.0,0.4099683,467.0,-0.13564,-0.141321106
NFKB2,153.0,0.424806573,563.0,-0.29135,0.11389056
NFKBIE,1053.0,0.409138176,25.0,-0.094076,0.088291723
NGDN,1255.0,0.423783924,27.0,-0.127352,-0.334173331
NGRN,1679.0,0.414477409,50.0,0.326337,0.265131709
NINJ1,5217.0,0.455972644,71.0,0.38814,-0.350846592
NIP7,1593.0,0.443769116,318.0,-0.665821,-0.26610745
NIT2,2351.0,0.432361565,74.0,-0.132227,-0.014588693
NMNAT3,2689.0,0.397393877,1228.0,0.613975,0.53926746
NMT1,3377.0,0.454689408,31.0,0.779017,0.444528252
NONO,1092.0,0.432928506,710.0,0.101083,0.065143951
NOP14,912.0,0.38067473,187.0,-0.19057,-0.182789955
NOP2,785.0,0.393538298,198.0,-0.354408,-0.34306676
NOTCH2,6062.0,0.409327653,297.0,0.563602,0.200038404
NPTN,1068.0,0.388989686,197.0,0.049936,5.08e-05
NR2C2,6271.0,0.390767743,362.0,0.391788,-0.080088509
NRBF2,883.0,0.43605128,224.0,-0.097312,0.407893242
NRF1,1901.0,0.447602651,500.0,-0.056252,0.153062984
NRGN,833.0,0.413631862,152.0,0.094061,0.50578714
NRP1,3846.0,0.416817106,523.0,0.073395,0.33354122
NSFL1C,1587.0,0.42738001,868.0,0.052891,0.100458374
NSMAF,602.0,0.358586884,214.0,-0.474106,-0.16318365
NTAN1,178.0,0.344459601,320.0,-0.345227,0.003745901
NUBP1,246.0,0.455923678,142.0,0.062604,0.009324614
NUCKS1,5461.0,0.359398328,271.0,0.189215,0.11177411
NUDC,716.0,0.476401948,127.0,-0.21993,0.042996016
NUDT16,5489.0,0.428387545,75.0,0.12352,-0.163300391
NUMA1,663.0,0.474508115,436.0,0.691358,0.136236382
NUP93,5678.0,0.382018893,495.0,-0.7541,-0.095451866
NXF1,2943.0,0.375826754,136.0,-0.187468,-0.070122861
OCIAD2,4872.0,0.363821488,322.0,-0.114727,-0.479740265
OGDH,1071.0,0.396078149,159.0,0.205909,0.229868273
OPA3,7233.0,0.475004358,100.0,0.055108,0.638351902
OSBPL2,2363.0,0.383456763,571.0,-0.468745,0.053513329
OSBPL5,1099.0,0.381371042,158.0,-0.095945,0.171071234
OVCA2,792.0,0.429983078,65.0,-0.610804,-0.162387764
P2RX4,573.0,0.442596273,304.0,0.296519,-0.065556205
PAAF1,509.0,0.376143366,341.0,-0.398544,-0.046327653
PACSIN2,1591.0,0.413490434,405.0,-0.275023,-0.124973979
PARK7,451.0,0.457171775,163.0,0.108959,0.062141884
PARP1,769.0,0.460215809,171.0,-0.053712,-0.371908137
PARP10,332.0,0.422654659,200.0,0.143076,0.256611778
PARP12,816.0,0.416480622,874.0,0.648521,0.224166661
PARP14,2243.0,0.414355918,59.0,0.838065,0.125496508
PARP9,451.0,0.418102187,327.0,0.883884,0.233059769
PARVG,2043.0,0.383803232,484.0,0.213098,-0.164408496
PBK,750.0,0.413339119,464.0,0.044464,-0.117637323
PCNA,338.0,0.425000199,239.0,-0.490293,-0.327018512
PDAP1,2007.0,0.464659554,134.0,-0.328161,0.252351824
PDCD2,155.0,0.440448783,111.0,-0.247231,0.240956288
PDCD2L,48.0,0.433436103,33.0,-0.390444,-0.228046339
PDCD6IP,3211.0,0.388727459,158.0,0.150228,0.269748138
PDHA1,2054.0,0.402514578,145.0,-0.304745,0.131508663
PDHB,2974.0,0.442593378,43.0,0.65136,0.117118039
PDLIM1,357.0,0.379179626,233.0,0.338199,0.145382833
PDXDC1,2055.0,0.375670185,335.0,0.038785,0.201627369
PDXK,6244.0,0.398158884,198.0,-0.842659,-0.207776725
PEBP1,796.0,0.360152166,326.0,0.03542,-0.096346182
PEF1,769.0,0.441759403,424.0,0.221398,0.166372545
PELO,5222.0,0.385240523,985.0,0.019284,0.283605996
PEPD,395.0,0.450896903,133.0,0.786097,0.255068728
PEX16,585.0,0.43213601,312.0,-0.392517,0.348435968
PEX6,946.0,0.370078344,93.0,0.258862,0.191433792
PEX7,2294.0,0.407005497,102.0,0.728307,-0.004251182
PFDN5,124.0,0.497062947,117.0,0.020822,-0.050377576
PFDN6,574.0,0.470152145,222.0,-0.288612,-0.041513914
PGM1,570.0,0.393980016,681.0,-0.401474,0.015472328
PHB,988.0,0.45268542,190.0,0.159252,0.045195186
PHF10,104.0,0.365149381,79.0,0.41878,-0.146393283
PI4K2A,2692.0,0.385068362,57.0,0.211474,0.049003976
PIAS1,3626.0,0.396022529,741.0,0.100936,-0.109449652
PIK3AP1,3866.0,0.407313024,128.0,0.257467,-0.214516973
PIR,205.0,0.385796208,485.0,0.04366,-0.083701425
PITPNC1,4686.0,0.369070722,874.0,-1.127891,-0.193136965
PLAUR,323.0,0.418467601,226.0,-0.025709,-0.167786495
PLCB2,818.0,0.468984469,301.0,-0.114011,-0.063322191
PLCG1,3987.0,0.454806205,121.0,-0.158797,-0.08162393
PLD4,273.0,0.377985619,192.0,1.255616,0.320352606
PLEKHO1,5192.0,0.424698037,839.0,-0.507137,0.120108679
PLEKHO2,2119.0,0.429714475,134.0,0.21321,0.05901803
PLSCR1,10376.0,0.415598704,388.0,0.618352,0.238859625
PML,3324.0,0.431306474,140.0,0.000793,0.243718061
POLR1C,1131.0,0.439933821,86.0,-0.353577,0.00690998
POLR1D,1469.0,0.427162265,456.0,-0.001675,0.080934509
POLR2F,1600.0,0.47244007,250.0,-0.904961,0.065210039
POLR2H,1065.0,0.427596015,1167.0,-0.65009,-0.175245746
POLR3H,3481.0,0.444306047,388.0,-0.134064,0.206488304
POLR3K,1023.0,0.473025152,46.0,0.332426,0.239285831
PPA2,660.0,0.432735716,20.0,-0.071538,0.316127069
PPIE,4556.0,0.446406574,56.0,0.031755,-0.11627433
PPIL1,1921.0,0.453832883,252.0,-0.081682,0.09654863
PPP1R14B,282.0,0.457456004,268.0,0.005031,-0.118105543
PRC1,1136.0,0.367783806,234.0,-0.073085,-0.17882841
PRCC,357.0,0.381841119,290.0,-0.011332,0.021984606
PRDX1,303.0,0.414090753,341.0,-0.095649,-0.209148944
PRDX6,944.0,0.433706552,51.0,-0.689439,-0.294150398
PREB,658.0,0.378530018,403.0,-0.347758,-0.158270773
PREP,579.0,0.425974009,233.0,-0.658916,-0.60795482
PRG4,784.0,0.366727173,51.0,3.551988,0.018909508
PRIM2,1166.0,0.350864643,125.0,-0.105356,-0.177530217
PRKAB1,1305.0,0.365943644,289.0,0.347997,-0.051626706
PRKAR2A,5019.0,0.427443141,254.0,0.399332,0.126903474
PRKCB,5795.0,0.38010529,197.0,0.058278,-0.373580847
PRKCD,451.0,0.404392693,469.0,1.231483,0.323101441
PRKRA,683.0,0.420894136,659.0,-0.112316,-0.068668519
PRKRIP1,3224.0,0.453589322,55.0,-0.207594,-0.208672366
PRMT5,393.0,0.386451423,508.0,0.186536,0.171592596
PRMT7,3655.0,0.450088803,850.0,-0.436298,-0.078515813
PROCR,549.0,0.357872186,218.0,0.225042,0.445387326
PRPS1,3908.0,0.466551451,409.0,0.293164,0.13717638
PRPSAP1,2056.0,0.390811115,688.0,0.276936,0.008830802
PRRC1,3173.0,0.409170839,188.0,-0.043575,0.159650876
PSMA5,2997.0,0.446573967,225.0,-0.005586,-0.02511962
PSMA6,187.0,0.423632682,445.0,0.135182,0.138159624
PSMB10,58.0,0.455018511,128.0,-0.225211,-0.093854531
PSMB2,3775.0,0.389848815,412.0,-0.360085,0.091252432
PSMB8,242.0,0.411206622,522.0,0.433363,0.344353502
PSMB9,5497.0,0.431095699,69.0,0.781097,0.101308015
PSMC3,66.0,0.485654947,194.0,-0.244814,0.14603036
PSMD11,2567.0,0.390095635,61.0,0.437813,0.096743569
PSMD13,384.0,0.437236365,242.0,-0.32891,-0.051025638
PSMD8,450.0,0.458928351,52.0,-0.151729,0.12416217
PSME2,53.0,0.443656162,65.0,0.198024,-0.095211278
PSMG1,5308.0,0.427553471,578.0,-0.192506,-0.073376873
PSTPIP2,1923.0,0.429639796,96.0,0.59331,0.42637883
PTBP1,1504.0,0.473818895,106.0,0.124951,-0.108767961
PTDSS1,3765.0,0.367954205,423.0,-0.749111,-0.788913008
PTGS1,3346.0,0.37260918,633.0,0.591773,-0.011244484
PTP4A1,3419.0,0.421202001,1153.0,0.362557,-0.094702785
PTPMT1,1899.0,0.450492628,193.0,0.097414,0.367785837
PTPN18,2185.0,0.381656528,101.0,-0.14318,-0.346305297
PTPN7,1593.0,0.440747449,781.0,0.0377,-0.283566508
PTPRE,2994.0,0.426620112,1843.0,-0.537711,-0.05270465
PTPRF,4571.0,0.452810321,356.0,0.341823,-0.150018889
PTRH2,3186.0,0.370743372,1544.0,-0.145586,-0.275471512
PWWP2B,819.0,0.424412275,29.0,-0.091784,-0.136591606
PYCR2,578.0,0.474148407,230.0,0.304849,-0.070227846
PYGL,175.0,0.392036998,127.0,0.922956,0.146962196
QARS,97.0,0.458996209,396.0,-0.217792,0.022256987
RAB11FIP1,4277.0,0.380614122,56.0,0.205096,-0.299605215
RAB12,1120.0,0.38483812,283.0,0.36098,-0.116488716
RAB21,5246.0,0.435367738,267.0,0.101077,-0.279198768
RAB31,3231.0,0.437498832,175.0,1.947663,0.560843264
RAB35,2172.0,0.408841719,189.0,-0.476695,-0.190983659
RAB7A,1376.0,0.419395127,232.0,-0.06926,-0.119547622
RAB8B,4163.0,0.425956778,96.0,0.144205,0.232289827
RAB9A,1716.0,0.417525007,283.0,-0.448235,-0.1698357
RABGGTA,77.0,0.387342734,512.0,-0.126865,0.144600199
RABGGTB,440.0,0.409412379,78.0,-0.030396,0.018970903
RABIF,4760.0,0.447399225,159.0,-0.518522,0.082052812
RACGAP1,1895.0,0.366370127,354.0,-0.268754,-0.195424993
RAD9A,924.0,0.444046557,185.0,-0.210357,-0.171705599
RAE1,1112.0,0.432613552,365.0,-0.115915,-0.141810398
RAI1,1472.0,0.455620822,469.0,1.457849,0.2454561
RAN,2043.0,0.442855294,361.0,-0.394504,-0.208273305
RANBP10,3359.0,0.379453562,1256.0,-0.007793,-0.194796948
RANGAP1,3145.0,0.481547647,765.0,-0.210986,-0.10877002
RAPGEF1,2727.0,0.425793135,159.0,-0.114941,0.015154032
RARS,114.0,0.423508657,41.0,-0.274995,-0.000908759
RASGRP2,183.0,0.381671176,582.0,-0.632564,0.08554287
RASGRP4,985.0,0.374724859,214.0,1.103299,-0.102870224
RBBP4,6506.0,0.404056961,164.0,0.349313,-0.164817054
RBBP5,3098.0,0.421849625,474.0,0.279802,-0.069779592
RBKS,251.0,0.392307233,1371.0,1.32824,0.971009662
RBM12,3599.0,0.375183789,304.0,0.142206,-0.012266084
RBM14,3443.0,0.468008211,139.0,-0.138206,0.136614726
RBM4B,5277.0,0.396841232,170.0,0.053058,-0.259748062
RBMX,1201.0,0.353737079,210.0,0.067955,0.175295131
RBPJ,4223.0,0.4178224,518.0,-0.727685,-0.330864704
RBX1,821.0,0.46562919,52.0,0.156174,-0.130421714
RC3H1,7637.0,0.410085914,87.0,0.317851,-0.028516394
RCCD1,1773.0,0.374130224,280.0,-0.592979,-0.160734053
RCOR1,4070.0,0.439565312,228.0,0.283388,-0.495161328
REEP4,591.0,0.460338979,469.0,-0.153119,0.316953736
REEP5,2962.0,0.457536941,144.0,0.083735,0.513203425
RELB,408.0,0.418226182,131.0,0.100956,-0.059787465
REPIN1,2683.0,0.45080531,489.0,-0.035886,-0.107167505
RET,2082.0,0.379562012,357.0,3.159994,0.724012347
RFC4,89.0,0.411167541,282.0,-0.360531,-0.152323264
RFK,1882.0,0.429285662,357.0,0.241379,0.150776751
RFWD3,2538.0,0.42367162,98.0,-0.478726,0.360320377
RFX5,1546.0,0.386685917,221.0,0.046429,-0.049418061
RFXAP,1850.0,0.421314391,156.0,-0.314534,0.171838271
RHBDF2,740.0,0.423256567,294.0,-0.325982,0.167659242
RHOT2,568.0,0.454546166,881.0,0.326698,0.358152287
RNASE2,179.0,0.384567964,71.0,-0.603236,-0.079315295
RNASEH1,4369.0,0.404567903,700.0,-0.186299,-0.031092537
RNASEH2B,3930.0,0.37625722,399.0,-0.027404,0.015902351
RNASET2,1070.0,0.374792559,407.0,-0.626044,-0.588360864
RNF114,1751.0,0.459950313,36.0,-0.202673,0.033155703
RNF20,5226.0,0.396317502,92.0,0.304113,-0.092970469
RNF213,5288.0,0.417718743,150.0,1.234106,0.050790354
RNF216,2819.0,0.430061571,259.0,-0.285835,-0.028367812
RNF25,102.0,0.375620157,88.0,0.184279,0.181689524
RNF31,88.0,0.389352607,358.0,-0.003248,-0.004149209
RNLS,1252.0,0.416402283,135.0,-0.532104,-0.133588848
RNMT,4581.0,0.415128602,241.0,0.246911,-0.203213766
RNPEP,463.0,0.447181346,896.0,0.356914,0.303167077
RP9,437.0,0.42869019,18.0,-0.786981,-0.258543799
RPA1,2907.0,0.381710028,170.0,-0.415831,-0.212463507
RPA2,639.0,0.400070522,793.0,0.332291,-0.062313015
RPAIN,471.0,0.394698889,570.0,0.920199,0.408462333
RPL11,461.0,0.442317923,45.0,-0.174831,-0.293365048
RPL14,5208.0,0.496792394,133.0,-0.464233,-0.078115745
RPL23,3146.0,0.464880603,90.0,-0.47952,0.042762524
RPL26,53.0,0.427802183,389.0,-1.227127,0.079638291
RPL31,1260.0,0.451994935,87.0,-0.361136,0.004522281
RPL34,1350.0,0.436455219,198.0,-0.077827,0.04266233
RPL5,1058.0,0.451564158,75.0,-0.559457,0.008886952
RPL7,1077.0,0.460258279,707.0,-1.029789,-0.451015704
RPS11,373.0,0.483080585,92.0,-0.38977,0.025664806
RPS24,4247.0,0.430653047,142.0,-0.700506,-0.014578325
RPS25,109.0,0.467193878,63.0,-0.793455,0.016155113
RPS27A,743.0,0.450449292,321.0,-0.638128,-0.055040157
RPS3A,306.0,0.426765211,80.0,-0.645862,0.182525454
RPS4X,629.0,0.442998752,96.0,-0.444582,0.129073137
RPS6,2723.0,0.413925579,42.0,-0.619855,-0.426373266
RPS6KA1,828.0,0.389798854,163.0,0.457062,0.242836806
RPS6KA4,735.0,0.38455359,226.0,-0.302537,-0.003827456
RPS7,66.0,0.428822459,109.0,-0.707023,0.077404991
RPTOR,2341.0,0.385169267,805.0,0.429164,0.204891551
RREB1,3012.0,0.456825357,492.0,0.627949,0.073265603
RRM1,2304.0,0.437568848,689.0,0.209313,0.417741895
RRP8,5071.0,0.446233376,148.0,-0.350906,-0.044021133
RRS1,978.0,0.468289248,104.0,-0.693886,-0.665310623
RTN3,1690.0,0.358048129,187.0,0.362215,0.17762228
RTN4IP1,1108.0,0.372133716,477.0,0.430448,0.023355527
RUNX1,4334.0,0.416076551,1578.0,0.290077,-0.048437455
RUNX3,2611.0,0.405217602,439.0,0.006527,-0.042997911
RWDD1,6365.0,0.401367905,746.0,-0.217919,-0.020475341
S100A8,71.0,0.444112716,170.0,-0.672957,-1.293030465
S100A9,189.0,0.439508357,43.0,-0.319137,-1.920741282
SAMD9,1815.0,0.395660052,270.0,1.999597,0.488372345
SAMD9L,1162.0,0.396305952,1248.0,0.597118,0.087298047
SAMM50,150.0,0.345249646,197.0,-0.069095,-0.082363109
SAMSN1,684.0,0.407246581,430.0,0.486707,0.028528039
SAP18,1754.0,0.427429047,39.0,-0.058586,0.077441024
SAP30BP,1541.0,0.449617255,257.0,0.020319,-0.138697756
SAR1A,5213.0,0.411769389,203.0,-0.260007,0.079911271
SAR1B,5806.0,0.392367964,253.0,0.202392,0.109320877
SARS,1054.0,0.40098191,100.0,0.16705,0.134157191
SASH3,1369.0,0.387406112,182.0,0.316519,-0.002142825
SCAMP4,1741.0,0.472519575,351.0,0.272813,-0.095297039
SCO1,8645.0,0.407339367,61.0,-0.273047,0.008454967
SDCCAG8,307.0,0.360606297,1542.0,0.433383,0.274299449
SEC11C,205.0,0.423646802,92.0,0.282102,-0.447265076
SEC13,332.0,0.457264526,210.0,-0.56536,0.062585141
SEC14L1,2986.0,0.420320088,665.0,-0.097654,-0.224580802
SEC22A,2559.0,0.422343815,79.0,-0.181228,-0.174462484
SEC24B,1221.0,0.400931805,155.0,0.21184,0.121613282
SEC24D,2115.0,0.386600041,297.0,0.665987,0.544560636
SEC61B,270.0,0.404562259,76.0,-0.184768,-0.233884503
SEMA3F,960.0,0.38837398,318.0,0.717538,-0.01315331
SEMA4A,755.0,0.412797256,345.0,0.286362,-0.181872832
SEMA4D,2318.0,0.393173667,572.0,-0.014845,-0.298051403
SERPINA1,1707.0,0.420489385,573.0,5.633069,0.045366477
SERPINB8,2096.0,0.38524815,520.0,-0.021043,0.391708419
