,3prime,tAI,max_5_UTR_length,TCGA-BH-A0E9,TCGA-BH-A0E9.1
IFIH1,121.0,0.412344512,377.0,-0.037275,-0.323752765
IFIT1,2775.0,0.411248073,495.0,-0.997285,-0.148821968
IFIT2,1901.0,0.420797646,175.0,-0.332935,-0.088203804
IFIT3,843.0,0.417440574,529.0,-0.672469,-0.059005927
IFIT5,2354.0,0.414819429,231.0,-0.459883,-0.10041481
IFITM1,159.0,0.431550176,180.0,-0.939356,-0.112959007
IFT27,109.0,0.4030938,426.0,0.134313,0.132816458
IGFBP3,1605.0,0.43060006,132.0,0.12239,0.279830355
IGFBP7,558.0,0.392734536,34.0,0.299761,0.353153656
IKBKE,745.0,0.435100597,714.0,0.267874,-0.036508478
IL16,3965.0,0.367979445,2395.0,0.343583,0.222456562
IL17RA,5874.0,0.376798811,133.0,0.626051,0.399466273
IL1RN,1145.0,0.411881061,408.0,1.263141,0.453125769
IL4I1,16.0,0.4139018,621.0,-1.945749,-0.648124375
ILF2,656.0,0.426220446,239.0,0.034822,-0.249577445
IMPA2,2898.0,0.383680893,242.0,1.025392,-1.079253869
INO80,5209.0,0.374025479,351.0,0.243387,-0.352961861
INPP1,263.0,0.395712795,700.0,0.994653,0.607683892
INPP5D,1195.0,0.436077769,512.0,0.541849,0.158605883
INSR,4801.0,0.380857973,411.0,1.030096,-0.156059719
IPO5,2508.0,0.381335948,180.0,-0.192186,-0.44009436
IRF7,92.0,0.423538356,367.0,-0.821163,0.028795133
IRF8,1327.0,0.384714127,507.0,-0.053812,0.10482177
IRF9,369.0,0.432057622,127.0,-0.448983,-0.025633589
IRGQ,7659.0,0.399674011,156.0,0.125906,-0.086598277
ISCU,607.0,0.454630229,1331.0,-0.192327,0.189517512
ISG15,62.0,0.419522688,77.0,-2.209445,-0.978392189
ISG20,952.0,0.419932377,2368.0,-0.443475,0.098636363
ISOC1,1056.0,0.418535314,18.0,-0.476642,-0.390567801
ITGB2,415.0,0.457304004,395.0,-0.646858,-0.311208517
ITPKB,2981.0,0.440250717,340.0,0.637114,0.105120339
ITPRIP,5382.0,0.396785481,453.0,0.849102,0.546132437
JUNB,496.0,0.414023332,276.0,0.896946,-0.044101851
JUP,157.0,0.458302936,298.0,0.200745,-0.002320623
KANK2,2291.0,0.394238955,361.0,0.227299,0.952540249
KARS,4202.0,0.383913431,144.0,-0.497092,-0.264223055
KCNN4,560.0,0.425737469,396.0,-0.382927,-0.525573498
KDM1A,327.0,0.428444011,149.0,-0.157037,-0.140795642
KDM2A,3716.0,0.372295488,864.0,-0.031294,-0.222703233
KDM2B,2488.0,0.393022165,407.0,0.089728,-0.488532504
KDM3B,1327.0,0.37791414,200.0,0.211591,-0.106092274
KDM4A,1148.0,0.378142374,166.0,0.077972,-0.255143855
KHSRP,1024.0,0.456900489,110.0,0.066438,-0.134302376
KIAA2013,727.0,0.385456054,191.0,-0.434237,-0.267521219
KIF20A,757.0,0.371463873,496.0,-1.281811,-0.221027459
KIF22,75.0,0.392489541,388.0,-0.502293,-0.007907097
KIF2C,588.0,0.387865377,395.0,-2.100827,-0.134305535
KIF3B,3792.0,0.390782105,180.0,0.53226,0.17331102
KIF5B,3198.0,0.418236129,470.0,0.127266,-0.211748333
KLHL7,3616.0,0.41595405,521.0,0.143949,0.228313962
KTI12,594.0,0.370414154,39.0,-0.576898,0.255193617
LAMP1,1311.0,0.390985106,281.0,-0.136805,0.245847464
LANCL2,2422.0,0.433733517,578.0,0.524046,-0.48052747
LAP3,503.0,0.426841798,162.0,-0.619654,-0.110816502
LDHD,1826.0,0.398770776,52.0,0.407434,0.465722264
LENG1,560.0,0.445950324,48.0,-0.186811,0.310821386
LGALS3,159.0,0.420172221,88.0,0.214454,0.015049335
LGALS3BP,1225.0,0.419930622,179.0,-1.489386,-0.310516154
LGALS9,641.0,0.410654931,118.0,-0.252997,0.084818047
LIN54,4893.0,0.441729058,383.0,-0.626357,0.0697768
LPCAT1,2228.0,0.380803123,133.0,0.152656,-0.547823917
LPCAT4,239.0,0.432241557,94.0,0.203454,0.268035807
LPXN,1776.0,0.432350833,254.0,-0.241355,-0.157258787
LRPPRC,2376.0,0.377375074,58.0,0.739762,-0.121921317
LRRC25,843.0,0.434491636,642.0,-0.325753,0.306118461
LRRC41,465.0,0.438391248,44.0,-0.092439,-0.311765854
LRRC59,1755.0,0.423067849,236.0,-0.957727,-0.94661375
LSM1,486.0,0.409616526,410.0,-0.460286,-0.124823862
LSM6,1871.0,0.435100303,139.0,-0.551167,0.145931129
LTA4H,391.0,0.355044638,145.0,0.064735,-0.02864561
LYN,4058.0,0.418972994,282.0,-0.175837,0.070611018
LYPLAL1,1137.0,0.3973742,157.0,0.048059,0.162711804
LYRM4,6830.0,0.366844497,217.0,-0.276574,-0.097847372
LYSMD2,596.0,0.394037378,501.0,-0.324412,-0.597755868
M6PR,1457.0,0.379162834,275.0,-0.074565,-0.466686178
MAD2L1,4528.0,0.407191351,124.0,-1.127939,-0.178607181
MAFB,2032.0,0.405989564,390.0,0.422796,-0.485538293
MAGED2,327.0,0.466698843,233.0,-0.51698,-0.85124139
MAGOH,153.0,0.416054235,162.0,-0.973089,-0.186581113
MAN2B1,128.0,0.381728903,76.0,-0.332511,-0.255244163
MANF,717.0,0.420319188,97.0,-0.871045,0.076371749
MAP4K1,170.0,0.374128007,140.0,0.379,0.102898924
MARCKSL1,768.0,0.468216312,206.0,-0.515946,-1.05111403
MAX,2676.0,0.337149475,479.0,0.033938,0.026193112
MBD2,3723.0,0.420256858,229.0,0.052373,0.026429334
MBP,4041.0,0.393290432,264.0,0.073648,0.165748173
MCM2,662.0,0.460999542,110.0,-0.283793,-0.41491024
MCM4,2618.0,0.371821308,942.0,-0.273999,-0.338542972
MCM5,3214.0,0.470488076,94.0,-0.228393,-0.47777622
MDC1,658.0,0.415783633,440.0,-0.145953,-0.152151483
MDH1,210.0,0.381672323,435.0,-0.146098,0.131163587
ME1,1535.0,0.411214685,265.0,-2.198621,-0.378521666
ME3,171.0,0.395156177,377.0,-0.465978,0.051223287
MECR,1365.0,0.445670958,612.0,-0.949178,-0.300719336
MED17,2631.0,0.366528813,275.0,0.317828,-0.07050607
MED19,934.0,0.439623042,93.0,-0.014509,0.284870759
MED28,10307.0,0.440157501,27.0,-0.271854,-0.252162833
MED29,4550.0,0.464327351,57.0,0.041775,-0.012952588
MEF2C,6848.0,0.41426337,654.0,0.444341,0.407001969
MEN1,824.0,0.454590692,504.0,-0.166977,-0.104975625
METTL13,961.0,0.396264071,347.0,0.452666,-0.144450348
MGST3,1295.0,0.374563048,428.0,0.41311,-0.643711145
MIF4GD,787.0,0.397877071,137.0,-0.453726,0.231224083
MINK1,774.0,0.455972684,525.0,0.140524,0.083924239
MIS12,1334.0,0.420723459,745.0,-0.026452,-0.201712831
MLEC,5319.0,0.43043384,173.0,-0.013922,-0.280410502
MMADHC,5382.0,0.406207656,205.0,-0.112117,-0.261495654
MMGT1,4451.0,0.406300672,388.0,0.105216,-0.337171226
MMP1,502.0,0.392399458,189.0,-4.718762,-0.206007361
MMP14,1722.0,0.419367787,285.0,-0.422056,0.59979944
MMP9,193.0,0.404253633,19.0,-2.917891,-0.7797144
MORC3,2052.0,0.406702124,375.0,0.010171,-0.02006844
MORF4L1,1066.0,0.420719378,454.0,-0.435222,-0.062116517
MOV10,619.0,0.412681236,1415.0,-0.48953,-0.391883705
MPDU1,797.0,0.440676037,216.0,-0.551169,-0.374030849
MPHOSPH10,87.0,0.404440607,352.0,-0.066826,-0.339354476
MRI1,2018.0,0.459301832,75.0,0.536978,0.306773874
MRPL13,1075.0,0.395373051,313.0,-0.786086,-0.003857572
MRPL15,1888.0,0.407701507,63.0,-0.667243,-0.156979032
MRPL16,212.0,0.368940255,214.0,-0.434511,-0.264003576
MRPL17,6554.0,0.424450505,105.0,-0.824457,0.311139758
MRPL2,580.0,0.458698472,164.0,-0.601634,0.122681877
MRPL20,187.0,0.445765675,96.0,-0.774235,-0.401864916
MRPL21,55.0,0.417448467,293.0,-0.844351,-0.053502488
MRPL27,2133.0,0.436300758,31.0,-0.615,0.117877067
MRPL40,113.0,0.406843086,653.0,-0.553986,0.179273527
MRPL46,1889.0,0.422788385,25.0,-0.130406,-0.13764273
MRPL48,1284.0,0.368940255,212.0,-0.358179,-0.25701704
MRPL51,2069.0,0.35376587,169.0,-0.521884,-0.217458562
MRPL53,198.0,0.441261883,155.0,-0.293637,0.03776195
MRPL9,407.0,0.432679379,437.0,0.398955,0.06864066
MRPS11,2793.0,0.477818717,1491.0,-0.424353,-0.155302405
MRPS15,468.0,0.440649404,164.0,-0.749346,-0.234235846
MRPS17,1334.0,0.413812124,30.0,-0.006573,-0.161364707
MRPS18B,936.0,0.408462865,157.0,-0.610867,0.012869672
MRPS36,933.0,0.3748339,84.0,-0.419063,-0.111718088
MRPS7,453.0,0.455992019,233.0,-0.660301,-0.132081381
MSI2,5168.0,0.366385762,173.0,0.371572,-0.230021114
MSTO1,694.0,0.421389639,1152.0,0.098428,0.044383144
MT1E,291.0,0.588704726,179.0,0.665721,-1.590351691
MT2A,316.0,0.576670685,123.0,0.208635,-1.011549472
MTA2,684.0,0.459443446,761.0,-0.528297,-0.042542642
MTFMT,1550.0,0.414190941,26.0,0.239367,0.553028386
MTHFS,1663.0,0.434592403,179.0,-0.36785,-0.13597328
MTMR1,2442.0,0.424163835,319.0,0.38745,0.119705796
MTMR14,421.0,0.371137969,151.0,0.107713,-0.034937768
MVP,50.0,0.435053297,193.0,-0.548277,0.085437705
MX1,456.0,0.433488503,982.0,-0.394708,-0.406764605
MX2,1812.0,0.430094961,104.0,-0.401149,0.15842093
MYADM,2833.0,0.384589896,681.0,-0.023706,-0.107855204
MYCBP,3972.0,0.381803634,73.0,-0.489795,-0.419120808
MYL12A,812.0,0.453450746,478.0,-0.260996,0.027790707
MYO18A,3647.0,0.395788337,484.0,0.006873,-0.04684908
MYO9B,1401.0,0.398943925,152.0,-0.21577,-0.075535733
N6AMT1,5137.0,0.427535625,28.0,0.103552,0.072129341
NAA40,3212.0,0.389371031,261.0,-0.224022,-0.209893866
NAB1,2433.0,0.361024962,572.0,0.518657,0.179866008
NADK,1672.0,0.3959688,563.0,-0.532139,-0.493765896
NADSYN1,464.0,0.447848979,126.0,-0.221175,0.01437293
NAGK,1297.0,0.42527382,474.0,-0.304121,-0.040689717
NANS,37.0,0.458552255,132.0,0.202762,-0.035982006
NAPA,1862.0,0.477781443,318.0,-0.133725,0.110175294
NAT10,4915.0,0.387474071,245.0,0.000611,-0.490636616
NBAS,140.0,0.414580543,44.0,0.451923,0.092644703
NCALD,2767.0,0.374888213,460.0,0.049004,-0.150030436
NCAPD3,2971.0,0.431957579,606.0,0.758121,-0.193855043
NCAPG2,3501.0,0.41630572,200.0,-0.053891,-0.067854956
NCF1,2381.0,0.415579251,70.0,-0.126231,-0.450660509
NCK2,1267.0,0.457831152,276.0,0.024631,0.009667062
NCKIPSD,4981.0,0.449411541,126.0,0.017945,0.181658045
NCOA5,1332.0,0.416761948,402.0,0.161725,-0.118504654
NCOA7,3259.0,0.404217869,470.0,0.867583,0.44222622
NDC80,61.0,0.356199389,182.0,-0.889189,-0.261200571
NDRG2,841.0,0.376266446,941.0,1.728833,0.041508924
NDUFA4,1685.0,0.439642808,129.0,0.009085,-0.312834705
NEU1,667.0,0.413226082,156.0,-0.521279,-0.377470165
NFATC2IP,3242.0,0.412267479,15.0,0.082222,-0.092194235
NFKB1,708.0,0.4099683,467.0,-0.20326,-0.066158638
NFKB2,153.0,0.424806573,563.0,-0.465058,-0.33100551
NFKBIE,1053.0,0.409138176,25.0,-1.215261,-0.502375757
NGDN,1255.0,0.423783924,27.0,-0.087114,0.071840225
NGRN,1679.0,0.414477409,50.0,-0.201467,-0.067707551
NINJ1,5217.0,0.455972644,71.0,-0.049742,-0.33695159
NIP7,1593.0,0.443769116,318.0,-0.517431,-0.429631596
NIT2,2351.0,0.432361565,74.0,0.149814,0.051365359
NMNAT3,2689.0,0.397393877,1228.0,0.575301,0.105337772
NMT1,3377.0,0.454689408,31.0,-0.093274,-0.239040667
NONO,1092.0,0.432928506,710.0,-0.426307,-0.11070626
NOP14,912.0,0.38067473,187.0,-0.272326,-0.53938621
NOP2,785.0,0.393538298,198.0,-0.442151,-0.398327151
NOTCH2,6062.0,0.409327653,297.0,0.131846,0.450594174
NPTN,1068.0,0.388989686,197.0,0.090597,0.162692337
NR2C2,6271.0,0.390767743,362.0,0.628374,0.21009271
NRBF2,883.0,0.43605128,224.0,-0.162369,0.047108739
NRF1,1901.0,0.447602651,500.0,0.171006,0.217061655
NRGN,833.0,0.413631862,152.0,-0.074673,0.456811737
NRP1,3846.0,0.416817106,523.0,0.332629,0.924846598
NSFL1C,1587.0,0.42738001,868.0,-0.233689,-0.01777557
NSMAF,602.0,0.358586884,214.0,0.185258,0.064490654
NTAN1,178.0,0.344459601,320.0,-0.090274,0.286444836
NUBP1,246.0,0.455923678,142.0,-0.340353,0.188740085
NUCKS1,5461.0,0.359398328,271.0,0.463703,-0.093756912
NUDC,716.0,0.476401948,127.0,-0.651509,-0.454883474
NUDT16,5489.0,0.428387545,75.0,0.576827,0.383584232
NUMA1,663.0,0.474508115,436.0,0.099892,-0.163437796
NUP93,5678.0,0.382018893,495.0,-0.17996,-0.257625176
NXF1,2943.0,0.375826754,136.0,0.132867,-0.012329764
OCIAD2,4872.0,0.363821488,322.0,-0.83663,-0.547566915
OGDH,1071.0,0.396078149,159.0,-0.046052,-0.034247437
OPA3,7233.0,0.475004358,100.0,0.286587,0.130724917
OSBPL2,2363.0,0.383456763,571.0,0.0378,-0.138198769
OSBPL5,1099.0,0.381371042,158.0,-0.167368,-0.30114293
OVCA2,792.0,0.429983078,65.0,-0.652201,-0.325682304
P2RX4,573.0,0.442596273,304.0,0.783869,0.088046371
PAAF1,509.0,0.376143366,341.0,-0.190297,0.120586452
PACSIN2,1591.0,0.413490434,405.0,-0.090282,-0.055986677
PARK7,451.0,0.457171775,163.0,-0.786307,-0.007740012
PARP1,769.0,0.460215809,171.0,0.524806,-0.369434495
PARP10,332.0,0.422654659,200.0,-0.586831,0.137098462
PARP12,816.0,0.416480622,874.0,0.131331,0.046698266
PARP14,2243.0,0.414355918,59.0,0.069828,-0.176340488
PARP9,451.0,0.418102187,327.0,-0.128038,-0.104735406
PARVG,2043.0,0.383803232,484.0,-0.004609,-0.337545486
PBK,750.0,0.413339119,464.0,-0.958419,-0.181021702
PCNA,338.0,0.425000199,239.0,-0.085804,-0.527068667
PDAP1,2007.0,0.464659554,134.0,-0.562684,0.076053871
PDCD2,155.0,0.440448783,111.0,7e-05,-0.066868243
PDCD2L,48.0,0.433436103,33.0,-0.23197,-0.045548337
PDCD6IP,3211.0,0.388727459,158.0,0.188021,0.072390637
PDHA1,2054.0,0.402514578,145.0,-0.307665,0.092195815
PDHB,2974.0,0.442593378,43.0,0.073302,0.061951679
PDLIM1,357.0,0.379179626,233.0,1.364733,0.577995797
PDXDC1,2055.0,0.375670185,335.0,-0.460736,-0.455371668
PDXK,6244.0,0.398158884,198.0,-1.280538,-0.022218099
PEBP1,796.0,0.360152166,326.0,-0.271533,-0.127291839
PEF1,769.0,0.441759403,424.0,-0.572509,0.077010504
PELO,5222.0,0.385240523,985.0,-0.169146,0.10832822
PEPD,395.0,0.450896903,133.0,-0.405533,0.230993756
PEX16,585.0,0.43213601,312.0,-0.344346,0.336269393
PEX6,946.0,0.370078344,93.0,0.492544,0.037946603
PEX7,2294.0,0.407005497,102.0,0.389596,0.231101031
PFDN5,124.0,0.497062947,117.0,-0.189918,0.110344385
PFDN6,574.0,0.470152145,222.0,-1.056106,-0.350147142
PGM1,570.0,0.393980016,681.0,-0.021257,0.119412448
PHB,988.0,0.45268542,190.0,-0.562479,-0.45697
PHF10,104.0,0.365149381,79.0,-0.040564,-0.141792404
PI4K2A,2692.0,0.385068362,57.0,-0.0907,0.068036116
PIAS1,3626.0,0.396022529,741.0,0.664851,0.125935995
PIK3AP1,3866.0,0.407313024,128.0,-0.500869,-0.1691934
PIR,205.0,0.385796208,485.0,-0.735025,-0.388069657
PITPNC1,4686.0,0.369070722,874.0,-0.292031,-0.214282691
PLAUR,323.0,0.418467601,226.0,-2.132382,0.047485969
PLCB2,818.0,0.468984469,301.0,-0.266956,0.079237509
PLCG1,3987.0,0.454806205,121.0,0.365294,0.055348473
PLD4,273.0,0.377985619,192.0,0.657723,0.674275601
PLEKHO1,5192.0,0.424698037,839.0,-0.584788,0.047299666
PLEKHO2,2119.0,0.429714475,134.0,-0.421868,-0.077770995
PLSCR1,10376.0,0.415598704,388.0,-0.373465,-0.314075797
PML,3324.0,0.431306474,140.0,-0.047807,0.027192057
POLR1C,1131.0,0.439933821,86.0,-0.594165,-0.115230292
POLR1D,1469.0,0.427162265,456.0,-0.543072,-0.199392993
POLR2F,1600.0,0.47244007,250.0,-0.700497,0.109031293
POLR2H,1065.0,0.427596015,1167.0,-0.234977,-0.508501866
POLR3H,3481.0,0.444306047,388.0,-0.394511,0.062491059
POLR3K,1023.0,0.473025152,46.0,-0.525505,0.140106468
PPA2,660.0,0.432735716,20.0,-0.431499,0.134454186
PPIE,4556.0,0.446406574,56.0,-0.369198,-0.344435607
PPIL1,1921.0,0.453832883,252.0,-0.547012,-0.113304648
PPP1R14B,282.0,0.457456004,268.0,-1.087357,-0.840510294
PRC1,1136.0,0.367783806,234.0,-0.914683,0.459557678
PRCC,357.0,0.381841119,290.0,0.224842,-0.194371832
PRDX1,303.0,0.414090753,341.0,-1.033708,-0.501447433
PRDX6,944.0,0.433706552,51.0,0.026036,-0.058146513
PREB,658.0,0.378530018,403.0,-0.217377,-0.026731178
PREP,579.0,0.425974009,233.0,0.045934,-0.428719185
PRG4,784.0,0.366727173,51.0,3.861063,1.344389349
PRIM2,1166.0,0.350864643,125.0,-0.209045,-0.34864906
PRKAB1,1305.0,0.365943644,289.0,-0.22254,-0.058608216
PRKAR2A,5019.0,0.427443141,254.0,-0.03948,0.190374182
PRKCB,5795.0,0.38010529,197.0,1.034702,-0.365151342
PRKCD,451.0,0.404392693,469.0,-0.633104,-0.214395835
PRKRA,683.0,0.420894136,659.0,0.13442,-0.155476087
PRKRIP1,3224.0,0.453589322,55.0,0.15419,-0.231832805
PRMT5,393.0,0.386451423,508.0,-0.105904,-0.232725126
PRMT7,3655.0,0.450088803,850.0,-0.394527,-0.096144605
PROCR,549.0,0.357872186,218.0,0.12419,0.892133048
PRPS1,3908.0,0.466551451,409.0,0.232412,0.236097453
PRPSAP1,2056.0,0.390811115,688.0,-0.295344,0.047349091
PRRC1,3173.0,0.409170839,188.0,-0.168287,-0.048048265
PSMA5,2997.0,0.446573967,225.0,-1.001965,-0.068251108
PSMA6,187.0,0.423632682,445.0,-0.380627,-0.151802452
PSMB10,58.0,0.455018511,128.0,-0.831479,-0.082095625
PSMB2,3775.0,0.389848815,412.0,-0.847136,-0.346677561
PSMB8,242.0,0.411206622,522.0,-0.991485,-0.04056801
PSMB9,5497.0,0.431095699,69.0,-1.023019,0.246175619
PSMC3,66.0,0.485654947,194.0,-0.995698,-0.018684322
PSMD11,2567.0,0.390095635,61.0,-0.301291,0.007217014
PSMD13,384.0,0.437236365,242.0,-0.547146,0.07023904
PSMD8,450.0,0.458928351,52.0,-0.457136,-0.009432913
PSME2,53.0,0.443656162,65.0,-0.790182,-0.43378017
PSMG1,5308.0,0.427553471,578.0,-1.073706,-0.425331138
PSTPIP2,1923.0,0.429639796,96.0,-0.056822,-0.274466151
PTBP1,1504.0,0.473818895,106.0,-0.043424,-0.092454735
PTDSS1,3765.0,0.367954205,423.0,-0.374854,-0.266499808
PTGS1,3346.0,0.37260918,633.0,-0.312615,0.165875215
PTP4A1,3419.0,0.421202001,1153.0,-0.076117,0.156267888
PTPMT1,1899.0,0.450492628,193.0,-0.328238,-0.097599158
PTPN18,2185.0,0.381656528,101.0,0.590967,-0.107924458
PTPN7,1593.0,0.440747449,781.0,0.008472,-0.13570154
PTPRE,2994.0,0.426620112,1843.0,0.285748,0.134735027
PTPRF,4571.0,0.452810321,356.0,-0.2417,-0.442610457
PTRH2,3186.0,0.370743372,1544.0,-0.631172,-0.335515154
PWWP2B,819.0,0.424412275,29.0,0.274266,-0.094209954
PYCR2,578.0,0.474148407,230.0,-0.055541,-0.569493194
PYGL,175.0,0.392036998,127.0,1.648594,0.878245403
QARS,97.0,0.458996209,396.0,-0.582287,-0.160615714
RAB11FIP1,4277.0,0.380614122,56.0,0.497805,-0.146694874
RAB12,1120.0,0.38483812,283.0,-0.512301,0.103246545
RAB21,5246.0,0.435367738,267.0,-0.191134,-0.268032892
RAB31,3231.0,0.437498832,175.0,-0.655219,-0.280175344
RAB35,2172.0,0.408841719,189.0,-0.258989,-0.052073897
RAB7A,1376.0,0.419395127,232.0,-0.323233,-0.007442035
RAB8B,4163.0,0.425956778,96.0,0.12586,0.389818921
RAB9A,1716.0,0.417525007,283.0,-0.036491,0.001062243
RABGGTA,77.0,0.387342734,512.0,-0.36674,-0.088454924
RABGGTB,440.0,0.409412379,78.0,-0.732044,0.119535077
RABIF,4760.0,0.447399225,159.0,0.475361,0.38778691
RACGAP1,1895.0,0.366370127,354.0,-0.264344,-0.11384736
RAD9A,924.0,0.444046557,185.0,-0.472036,-0.030531669
RAE1,1112.0,0.432613552,365.0,0.056758,0.027763656
RAI1,1472.0,0.455620822,469.0,-0.405344,-0.259865843
RAN,2043.0,0.442855294,361.0,-0.672905,0.015037654
RANBP10,3359.0,0.379453562,1256.0,0.101508,0.197283819
RANGAP1,3145.0,0.481547647,765.0,-0.317119,-0.165699296
RAPGEF1,2727.0,0.425793135,159.0,0.434627,-0.207095977
RARS,114.0,0.423508657,41.0,-0.204115,-0.086891808
RBBP4,6506.0,0.404056961,164.0,-0.442768,-0.509033252
RBBP5,3098.0,0.421849625,474.0,0.565842,0.071273195
RBKS,251.0,0.392307233,1371.0,0.504674,0.212355591
RBM12,3599.0,0.375183789,304.0,0.050601,-0.130645122
RBM14,3443.0,0.468008211,139.0,0.067544,-0.059609917
RBM4B,5277.0,0.396841232,170.0,-0.222517,0.171902488
RBMX,1201.0,0.353737079,210.0,0.02956,0.15915239
RBPJ,4223.0,0.4178224,518.0,-0.292869,0.05923999
RBX1,821.0,0.46562919,52.0,-0.704507,0.089002692
RC3H1,7637.0,0.410085914,87.0,0.239265,-0.114195003
RCCD1,1773.0,0.374130224,280.0,-0.115694,0.391008201
RCOR1,4070.0,0.439565312,228.0,0.419613,-0.330921318
REEP4,591.0,0.460338979,469.0,-0.287013,-0.413573564
REEP5,2962.0,0.457536941,144.0,-0.417533,-0.204645545
RELB,408.0,0.418226182,131.0,-0.102869,-0.185473038
REPIN1,2683.0,0.45080531,489.0,0.020104,-0.213640261
RFC4,89.0,0.411167541,282.0,-0.316823,-0.143631168
RFK,1882.0,0.429285662,357.0,-0.133468,0.206899964
RFX5,1546.0,0.386685917,221.0,0.046119,0.067566625
RFXAP,1850.0,0.421314391,156.0,-0.238739,0.245262183
RHBDF2,740.0,0.423256567,294.0,-0.144158,-0.633997043
RHOT2,568.0,0.454546166,881.0,-0.293361,-0.022366464
RINL,1279.0,0.357351373,413.0,-0.625662,0.378118795
RNASEH1,4369.0,0.404567903,700.0,-0.070526,-0.204031003
RNASEH2B,3930.0,0.37625722,399.0,-1.30182,-0.372164831
RNASET2,1070.0,0.374792559,407.0,0.7021,0.003895319
RNF114,1751.0,0.459950313,36.0,-0.100475,-0.339400346
RNF20,5226.0,0.396317502,92.0,0.555067,-0.087738481
RNF213,5288.0,0.417718743,150.0,-0.30656,-0.387443546
RNF216,2819.0,0.430061571,259.0,0.226998,0.547648035
RNF25,102.0,0.375620157,88.0,-0.046579,-0.551195068
RNF31,88.0,0.389352607,358.0,0.018,0.062762307
RNLS,1252.0,0.416402283,135.0,-0.913033,0.61424289
RNMT,4581.0,0.415128602,241.0,0.290018,-0.068851588
RNPEP,463.0,0.447181346,896.0,0.186804,-0.074683718
RP9,437.0,0.42869019,18.0,0.09103,0.07818395
RPA1,2907.0,0.381710028,170.0,-0.136336,-0.12036632
RPA2,639.0,0.400070522,793.0,-0.35927,-0.120760439
RPAIN,471.0,0.394698889,570.0,-0.693959,-0.644341438
RPL11,461.0,0.442317923,45.0,-0.067633,-0.457546368
RPL14,5208.0,0.496792394,133.0,-0.074967,0.108293284
RPL23,3146.0,0.464880603,90.0,0.151403,-0.076378066
RPL26,53.0,0.427802183,389.0,0.345781,-0.51547873
RPL31,1260.0,0.451994935,87.0,0.105512,-0.249117163
RPL34,1350.0,0.436455219,198.0,0.131042,0.313418242
RPL5,1058.0,0.451564158,75.0,-0.01556,-0.066071768
RPL7,1077.0,0.460258279,707.0,-0.025296,-0.155771695
RPS11,373.0,0.483080585,92.0,-0.100011,0.102655536
RPS24,4247.0,0.430653047,142.0,0.344782,-0.05220327
RPS25,109.0,0.467193878,63.0,0.102302,-0.163112278
RPS27A,743.0,0.450449292,321.0,0.22564,-0.081258452
RPS3A,306.0,0.426765211,80.0,0.008225,-0.109906734
RPS4X,629.0,0.442998752,96.0,0.349052,0.096023341
RPS6,2723.0,0.413925579,42.0,0.200588,-0.125598317
RPS6KA1,828.0,0.389798854,163.0,-0.750895,-0.476808749
RPS6KA4,735.0,0.38455359,226.0,-0.164251,-0.011135164
RPS7,66.0,0.428822459,109.0,0.185976,-0.147016546
RPTOR,2341.0,0.385169267,805.0,-0.078718,0.018849548
RREB1,3012.0,0.456825357,492.0,0.830055,-0.273280371
RRM1,2304.0,0.437568848,689.0,0.129979,-0.133611015
RRP8,5071.0,0.446233376,148.0,-0.106003,-0.228467889
RRS1,978.0,0.468289248,104.0,-0.337468,-0.195113742
RTN3,1690.0,0.358048129,187.0,-0.716595,-1.136518018
RTN4IP1,1108.0,0.372133716,477.0,-0.200907,-0.046334872
RUNX1,4334.0,0.416076551,1578.0,0.327827,0.256712262
RWDD1,6365.0,0.401367905,746.0,-0.107981,-0.289769528
S100A8,71.0,0.444112716,170.0,-1.756636,-1.869049362
S100A9,189.0,0.439508357,43.0,0.610181,-2.200693908
SAMD9,1815.0,0.395660052,270.0,-0.100421,-0.017207881
SAMD9L,1162.0,0.396305952,1248.0,0.402891,0.012812571
SAMM50,150.0,0.345249646,197.0,-0.061079,-0.048718835
SAMSN1,684.0,0.407246581,430.0,-0.538314,0.01780718
SAP18,1754.0,0.427429047,39.0,-0.720616,-0.361693298
SAP30BP,1541.0,0.449617255,257.0,-0.375134,-0.17681212
SAR1A,5213.0,0.411769389,203.0,-0.516377,-0.220852517
SAR1B,5806.0,0.392367964,253.0,0.001719,-0.351114743
SARS,1054.0,0.40098191,100.0,-0.508324,-0.21836122
SASH3,1369.0,0.387406112,182.0,-0.193972,-0.086076356
SCAMP4,1741.0,0.472519575,351.0,0.005767,0.325729882
SCO1,8645.0,0.407339367,61.0,-0.168078,-0.295537234
SDCCAG8,307.0,0.360606297,1542.0,0.080202,-0.188125905
SEC11C,205.0,0.423646802,92.0,-0.030316,-0.114556038
SEC13,332.0,0.457264526,210.0,-0.455082,-0.131971419
SEC14L1,2986.0,0.420320088,665.0,0.350466,-0.038306976
SEC24B,1221.0,0.400931805,155.0,0.073873,-0.111967709
SEC24D,2115.0,0.386600041,297.0,-0.756344,-0.037389602
SEC61B,270.0,0.404562259,76.0,-0.251868,-0.326038428
SEMA3F,960.0,0.38837398,318.0,-0.023053,1.15190849
SEMA4D,2318.0,0.393173667,572.0,0.39884,0.04440273
SERPINA1,1707.0,0.420489385,573.0,0.05057,1.587936132
SERPINB8,2096.0,0.38524815,520.0,-0.16156,0.05269136
SETMAR,321.0,0.414235412,398.0,1.191717,0.729111643
