,3prime,tAI,max_5_UTR_length,TCGA-AR-A0TX,TCGA-AR-A0TX.1
INPP1,263.0,0.395712795,700.0,-0.096862,0.664802638
INPP5D,1195.0,0.436077769,512.0,1.140585,0.107293574
INSR,4801.0,0.380857973,411.0,-0.31786,-0.66790722
IPO5,2508.0,0.381335948,180.0,-0.514118,-0.148584757
IRF7,92.0,0.423538356,367.0,-0.337624,-0.354695563
IRF8,1327.0,0.384714127,507.0,1.925097,-0.203380998
IRF9,369.0,0.432057622,127.0,0.292847,-0.233485852
IRGQ,7659.0,0.399674011,156.0,0.610709,0.189430755
ISCU,607.0,0.454630229,1331.0,-0.732045,-0.291843647
ISG15,62.0,0.419522688,77.0,-0.871028,-1.104217333
ISG20,952.0,0.419932377,2368.0,0.258314,0.486926023
ISOC1,1056.0,0.418535314,18.0,1.406399,1.056978013
ITGB2,415.0,0.457304004,395.0,1.062697,-0.069973571
ITPKB,2981.0,0.440250717,340.0,0.222658,-0.048822058
JUNB,496.0,0.414023332,276.0,0.191414,0.282367522
JUP,157.0,0.458302936,298.0,-0.399615,-0.219095409
KANK2,2291.0,0.394238955,361.0,0.332529,0.453362213
KARS,4202.0,0.383913431,144.0,0.374128,0.228895195
KDM1A,327.0,0.428444011,149.0,0.329521,0.039172338
KDM2A,3716.0,0.372295488,864.0,0.130016,-0.533498436
KDM2B,2488.0,0.393022165,407.0,0.031865,-1.519797363
KDM3B,1327.0,0.37791414,200.0,-0.549189,-0.225493326
KDM4A,1148.0,0.378142374,166.0,0.122165,0.046268362
KHSRP,1024.0,0.456900489,110.0,0.232266,-0.188935133
KIAA2013,727.0,0.385456054,191.0,-0.167115,0.265037588
KIF20A,757.0,0.371463873,496.0,0.862966,0.252716918
KIF22,75.0,0.392489541,388.0,-0.175594,0.087228706
KIF2C,588.0,0.387865377,395.0,0.431016,-0.296271887
KIF3B,3792.0,0.390782105,180.0,1.072716,0.090425893
KIF5B,3198.0,0.418236129,470.0,0.406187,-0.409944764
KLHL7,3616.0,0.41595405,521.0,-1.143236,-0.037338917
KTI12,594.0,0.370414154,39.0,0.324035,0.750894713
LAMP1,1311.0,0.390985106,281.0,-0.564262,-0.208798528
LANCL2,2422.0,0.433733517,578.0,-0.05739,-0.040600184
LAP3,503.0,0.426841798,162.0,0.729926,0.534586956
LDHD,1826.0,0.398770776,52.0,-1.150737,2.201290185
LENG1,560.0,0.445950324,48.0,0.359893,-0.641081701
LGALS3,159.0,0.420172221,88.0,-0.034158,0.141957934
LGALS3BP,1225.0,0.419930622,179.0,1.007774,0.678159817
LGALS9,641.0,0.410654931,118.0,1.457376,0.242309824
LIN54,4893.0,0.441729058,383.0,0.344742,-1.692533262
LPCAT1,2228.0,0.380803123,133.0,0.351815,0.129080599
LPXN,1776.0,0.432350833,254.0,1.074015,0.470013636
LRPPRC,2376.0,0.377375074,58.0,0.430315,0.110175465
LRRC25,843.0,0.434491636,642.0,0.568751,0.883300792
LRRC41,465.0,0.438391248,44.0,0.11018,-0.356665089
LRRC59,1755.0,0.423067849,236.0,-0.145374,-0.573607989
LSM1,486.0,0.409616526,410.0,-0.989056,0.05172936
LSM6,1871.0,0.435100303,139.0,-0.049041,-0.184362866
LTA4H,391.0,0.355044638,145.0,-0.298023,0.092158704
LYN,4058.0,0.418972994,282.0,0.231219,0.196377742
LYPLAL1,1137.0,0.3973742,157.0,-0.607074,0.455896475
LYRM4,6830.0,0.366844497,217.0,-0.52411,0.06878768
LYSMD2,596.0,0.394037378,501.0,-0.603061,0.07875055
M6PR,1457.0,0.379162834,275.0,0.206333,-1.485873004
MAD2L1,4528.0,0.407191351,124.0,0.061733,-0.22667589
MAFB,2032.0,0.405989564,390.0,0.879452,-0.552398663
MAGED2,327.0,0.466698843,233.0,-0.417572,-1.312796733
MAGOH,153.0,0.416054235,162.0,-0.141833,0.103182955
MAN2B1,128.0,0.381728903,76.0,0.518035,0.65093168
MANF,717.0,0.420319188,97.0,-0.231025,-0.035487204
MAP4K1,170.0,0.374128007,140.0,1.627244,-0.565939384
MARCKSL1,768.0,0.468216312,206.0,0.727747,-1.434225178
MAX,2676.0,0.337149475,479.0,0.255527,-0.99775528
MBD2,3723.0,0.420256858,229.0,0.629831,0.450736034
MBP,4041.0,0.393290432,264.0,0.432761,-0.647278574
MCM2,662.0,0.460999542,110.0,-0.009852,-0.430751041
MCM4,2618.0,0.371821308,942.0,0.112364,-0.23587113
MCM5,3214.0,0.470488076,94.0,-0.028038,-0.278531155
MDC1,658.0,0.415783633,440.0,-0.164032,-0.407301386
MDH1,210.0,0.381672323,435.0,0.252273,0.155555888
ME1,1535.0,0.411214685,265.0,-1.037011,1.162786638
ME3,171.0,0.395156177,377.0,-1.275246,1.285194135
MECR,1365.0,0.445670958,612.0,-0.228102,-0.149757818
MED17,2631.0,0.366528813,275.0,0.123269,0.513625608
MED19,934.0,0.439623042,93.0,0.198076,0.50456817
MED28,10307.0,0.440157501,27.0,-0.338554,0.197646236
MED29,4550.0,0.464327351,57.0,0.020206,-0.524952944
MEF2C,6848.0,0.41426337,654.0,0.211041,-0.399242498
MEN1,824.0,0.454590692,504.0,-0.131258,-0.41355052
METTL13,961.0,0.396264071,347.0,-0.052502,0.1152401
MGST3,1295.0,0.374563048,428.0,-0.38478,-0.589871566
MIF4GD,787.0,0.397877071,137.0,-0.06644,-0.341312495
MINK1,774.0,0.455972684,525.0,-0.01262,-0.116727942
MIS12,1334.0,0.420723459,745.0,-0.076647,-0.046606589
MLEC,5319.0,0.43043384,173.0,0.179435,-0.701656209
MLX,1636.0,0.386664187,65.0,-0.626016,0.031698951
MMACHC,1852.0,0.382684622,371.0,-1.77062,-0.206305788
MMADHC,5382.0,0.406207656,205.0,0.036496,0.507678294
MMGT1,4451.0,0.406300672,388.0,-0.246264,-0.241300159
MMP1,502.0,0.392399458,189.0,2.885203,0.569193497
MMP14,1722.0,0.419367787,285.0,0.213334,0.232116568
MMP9,193.0,0.404253633,19.0,0.62194,1.265767034
MORC3,2052.0,0.406702124,375.0,-0.101922,0.088011395
MORF4L1,1066.0,0.420719378,454.0,-0.531656,-0.289283013
MOV10,619.0,0.412681236,1415.0,-0.077078,-0.308263542
MPDU1,797.0,0.440676037,216.0,-0.517265,-0.652046215
MPHOSPH10,87.0,0.404440607,352.0,0.224072,0.013598295
MRI1,2018.0,0.459301832,75.0,0.26774,0.047993407
MRPL13,1075.0,0.395373051,313.0,-0.518328,0.602507902
MRPL15,1888.0,0.407701507,63.0,-0.188224,0.097528042
MRPL16,212.0,0.368940255,214.0,-0.637092,0.489684485
MRPL17,6554.0,0.424450505,105.0,-1.102217,0.413735604
MRPL2,580.0,0.458698472,164.0,-0.275307,-0.203205471
MRPL20,187.0,0.445765675,96.0,-0.270965,0.821293929
MRPL21,55.0,0.417448467,293.0,-0.248171,0.417843037
MRPL27,2133.0,0.436300758,31.0,-0.965663,-0.572585549
MRPL40,113.0,0.406843086,653.0,-0.025136,0.541984853
MRPL46,1889.0,0.422788385,25.0,-1.031432,-0.012622018
MRPL48,1284.0,0.368940255,212.0,-0.108901,0.229686045
MRPL51,2069.0,0.35376587,169.0,-0.143221,-0.176698866
MRPL53,198.0,0.441261883,155.0,-0.129986,-0.115793741
MRPL9,407.0,0.432679379,437.0,-0.664371,-0.002541246
MRPS11,2793.0,0.477818717,1491.0,-0.831317,0.370125797
MRPS15,468.0,0.440649404,164.0,0.124306,-1.096913942
MRPS17,1334.0,0.413812124,30.0,-0.276114,0.51310887
MRPS18B,936.0,0.408462865,157.0,-0.701996,0.102651138
MRPS36,933.0,0.3748339,84.0,-0.092964,0.74181814
MRPS7,453.0,0.455992019,233.0,0.162088,0.058191652
MSI2,5168.0,0.366385762,173.0,-0.462884,-0.130626688
MSTO1,694.0,0.421389639,1152.0,-0.895968,-0.091231885
MT1E,291.0,0.588704726,179.0,-0.96443,-1.088606073
MT2A,316.0,0.576670685,123.0,0.239721,-2.075057827
MTA2,684.0,0.459443446,761.0,0.136268,-0.185533393
MTFMT,1550.0,0.414190941,26.0,-0.704303,0.734589453
MTHFS,1663.0,0.434592403,179.0,-1.281169,-0.838891447
MTMR1,2442.0,0.424163835,319.0,-0.355798,0.318450054
MTMR14,421.0,0.371137969,151.0,-0.458162,0.106113505
MVP,50.0,0.435053297,193.0,0.147173,0.233133942
MX1,456.0,0.433488503,982.0,-0.617204,-0.837435058
MX2,1812.0,0.430094961,104.0,-0.416358,-0.708727388
MYADM,2833.0,0.384589896,681.0,-0.208216,0.036909611
MYCBP,3972.0,0.381803634,73.0,-0.269889,-0.458758336
MYL12A,812.0,0.453450746,478.0,-0.639033,0.789294401
MYO18A,3647.0,0.395788337,484.0,1.296275,-0.005832074
MYO9B,1401.0,0.398943925,152.0,0.486144,-0.043937141
N6AMT1,5137.0,0.427535625,28.0,-0.414829,-0.205585715
NAA40,3212.0,0.389371031,261.0,0.252169,-0.029659012
NAB1,2433.0,0.361024962,572.0,-0.620312,-0.431602945
NADK,1672.0,0.3959688,563.0,0.412846,0.139799548
NADSYN1,464.0,0.447848979,126.0,-0.700737,-0.401103186
NAGK,1297.0,0.42527382,474.0,0.714008,0.409855662
NANS,37.0,0.458552255,132.0,0.513147,0.213129722
NAPA,1862.0,0.477781443,318.0,0.082403,0.655699901
NAT10,4915.0,0.387474071,245.0,-0.0831,-0.604285946
NBAS,140.0,0.414580543,44.0,0.540918,0.086285322
NCALD,2767.0,0.374888213,460.0,-0.175771,0.174614309
NCAPD3,2971.0,0.431957579,606.0,0.682452,-0.220379909
NCAPG2,3501.0,0.41630572,200.0,-0.083369,-1.905757985
NCF1,2381.0,0.415579251,70.0,1.287293,0.659206184
NCK2,1267.0,0.457831152,276.0,0.32683,0.240869641
NCKIPSD,4981.0,0.449411541,126.0,-0.840629,0.147311323
NCOA5,1332.0,0.416761948,402.0,0.293393,-0.243873582
NCOA7,3259.0,0.404217869,470.0,0.375789,0.673251581
NDC80,61.0,0.356199389,182.0,-0.14698,-0.828209429
NDRG2,841.0,0.376266446,941.0,0.340578,0.096520433
NDUFA4,1685.0,0.439642808,129.0,-0.390229,-0.216893955
NEU1,667.0,0.413226082,156.0,-0.296082,0.221287564
NFATC2IP,3242.0,0.412267479,15.0,0.167164,0.548271627
NFKB1,708.0,0.4099683,467.0,0.515708,0.323294506
NFKB2,153.0,0.424806573,563.0,0.066003,-0.189939126
NFKBIE,1053.0,0.409138176,25.0,0.304046,-0.280895849
NGDN,1255.0,0.423783924,27.0,-0.385916,0.115295514
NGRN,1679.0,0.414477409,50.0,-1.084652,-0.907385758
NINJ1,5217.0,0.455972644,71.0,-0.371961,-1.340423043
NIP7,1593.0,0.443769116,318.0,0.093596,-0.011721728
NIT2,2351.0,0.432361565,74.0,0.075299,0.477112018
NMNAT3,2689.0,0.397393877,1228.0,-2.135422,-0.14166418
NMT1,3377.0,0.454689408,31.0,-0.581449,-0.167599602
NONO,1092.0,0.432928506,710.0,-0.036255,-0.257715804
NOP14,912.0,0.38067473,187.0,-0.029616,-0.45628191
NOP2,785.0,0.393538298,198.0,0.003382,-0.236796373
NOTCH2,6062.0,0.409327653,297.0,0.395202,-0.150480329
NPTN,1068.0,0.388989686,197.0,-0.45787,-1.031941502
NR2C2,6271.0,0.390767743,362.0,-0.269029,-0.22199239
NRBF2,883.0,0.43605128,224.0,0.222601,0.262674527
NRF1,1901.0,0.447602651,500.0,-0.215447,-0.357735223
NRGN,833.0,0.413631862,152.0,1.343196,-0.919854465
NRP1,3846.0,0.416817106,523.0,0.064346,0.821812799
NSFL1C,1587.0,0.42738001,868.0,-0.349764,-0.675396466
NSMAF,602.0,0.358586884,214.0,-0.143354,0.345989837
NTAN1,178.0,0.344459601,320.0,0.189241,0.25869917
NUBP1,246.0,0.455923678,142.0,-0.071287,0.36644553
NUCKS1,5461.0,0.359398328,271.0,-0.424486,-1.46184051
NUDC,716.0,0.476401948,127.0,0.122046,-0.42625621
NUDT16,5489.0,0.428387545,75.0,-0.048437,0.487043736
NUMA1,663.0,0.474508115,436.0,0.104396,-0.388573239
NUP93,5678.0,0.382018893,495.0,0.461784,-0.141357133
NXF1,2943.0,0.375826754,136.0,-0.229036,0.070912988
OCIAD2,4872.0,0.363821488,322.0,0.103261,-0.55373911
OGDH,1071.0,0.396078149,159.0,0.441319,0.869186372
OPA3,7233.0,0.475004358,100.0,-0.023489,-0.453117388
OSBPL2,2363.0,0.383456763,571.0,2.236874,0.493812056
OSBPL5,1099.0,0.381371042,158.0,0.086104,-0.666211077
OVCA2,792.0,0.429983078,65.0,-0.640091,0.077979436
P2RX4,573.0,0.442596273,304.0,-1.440926,-1.215421943
PAAF1,509.0,0.376143366,341.0,-0.50196,0.039999627
PACSIN2,1591.0,0.413490434,405.0,0.254407,0.019021344
PARK7,451.0,0.457171775,163.0,-0.048999,-0.358892627
PARP1,769.0,0.460215809,171.0,0.00288,-0.08479954
PARP10,332.0,0.422654659,200.0,-1.156629,-0.306070767
PARP12,816.0,0.416480622,874.0,0.246337,-0.311900074
PARP14,2243.0,0.414355918,59.0,1.099173,0.10100915
PARP9,451.0,0.418102187,327.0,0.547598,0.039196749
PARVG,2043.0,0.383803232,484.0,0.840892,0.476187086
PBK,750.0,0.413339119,464.0,-0.505236,-1.068396775
PCNA,338.0,0.425000199,239.0,-0.289366,-0.405768068
PDAP1,2007.0,0.464659554,134.0,-0.066704,-1.028271006
PDCD2,155.0,0.440448783,111.0,-0.254528,0.067421211
PDCD2L,48.0,0.433436103,33.0,-0.282905,-0.030324439
PDCD6IP,3211.0,0.388727459,158.0,-0.56037,-0.099405941
PDHA1,2054.0,0.402514578,145.0,-0.19309,0.786303682
PDHB,2974.0,0.442593378,43.0,-0.931433,1.02513316
PDLIM1,357.0,0.379179626,233.0,0.680021,0.050619792
PDXDC1,2055.0,0.375670185,335.0,1.542521,0.480304384
PDXK,6244.0,0.398158884,198.0,0.285498,0.818759281
PEBP1,796.0,0.360152166,326.0,-0.495466,0.328314044
PEF1,769.0,0.441759403,424.0,-0.21137,0.252841857
PELO,5222.0,0.385240523,985.0,0.486743,0.119696796
PEPD,395.0,0.450896903,133.0,0.567087,0.995275347
PEX16,585.0,0.43213601,312.0,0.210077,-1.035382303
PEX6,946.0,0.370078344,93.0,-0.667786,0.547872246
PEX7,2294.0,0.407005497,102.0,0.325072,0.452599588
PFDN5,124.0,0.497062947,117.0,0.07202,-0.013639372
PFDN6,574.0,0.470152145,222.0,-0.3336,-0.161431767
PGM1,570.0,0.393980016,681.0,0.624504,0.830419414
PHB,988.0,0.45268542,190.0,-0.877682,0.20811989
PHF10,104.0,0.365149381,79.0,0.032827,0.245056981
PI4K2A,2692.0,0.385068362,57.0,0.151897,0.445042925
PIAS1,3626.0,0.396022529,741.0,-0.327813,-0.253958735
PIK3AP1,3866.0,0.407313024,128.0,0.864594,-0.020296248
PIR,205.0,0.385796208,485.0,0.21988,0.184566486
PITPNC1,4686.0,0.369070722,874.0,0.639809,-0.271963578
PLA2G7,1187.0,0.402486321,269.0,1.889549,-3.492166115
PLAUR,323.0,0.418467601,226.0,-0.706253,-0.157454869
PLCB2,818.0,0.468984469,301.0,1.033966,0.222142467
PLCG1,3987.0,0.454806205,121.0,-0.250961,-0.044101231
PLD4,273.0,0.377985619,192.0,0.97816,1.049369003
PLEKHO1,5192.0,0.424698037,839.0,0.232829,0.470736682
PLEKHO2,2119.0,0.429714475,134.0,0.584661,0.287767655
PLSCR1,10376.0,0.415598704,388.0,-0.993739,-1.463719548
PML,3324.0,0.431306474,140.0,-0.450579,-0.11195621
POLR1C,1131.0,0.439933821,86.0,-0.671258,-0.020862099
POLR1D,1469.0,0.427162265,456.0,0.163268,-0.084594327
POLR2F,1600.0,0.47244007,250.0,0.142282,0.365062908
POLR2H,1065.0,0.427596015,1167.0,-0.620885,-0.099360285
POLR3H,3481.0,0.444306047,388.0,0.029802,0.098303058
POLR3K,1023.0,0.473025152,46.0,-0.78396,0.397484028
PPA2,660.0,0.432735716,20.0,-0.390152,0.064114882
PPIE,4556.0,0.446406574,56.0,-0.340556,0.699184848
PPIL1,1921.0,0.453832883,252.0,0.218316,-0.762354554
PPP1R14B,282.0,0.457456004,268.0,0.361577,0.189058417
PRC1,1136.0,0.367783806,234.0,-0.976108,-1.504860249
PRCC,357.0,0.381841119,290.0,-0.556883,-0.575435184
PRDX1,303.0,0.414090753,341.0,0.225252,0.215838046
PRDX6,944.0,0.433706552,51.0,-0.464131,0.752344792
PREB,658.0,0.378530018,403.0,0.418739,0.133079936
PREP,579.0,0.425974009,233.0,0.205131,-0.080620004
PRG4,784.0,0.366727173,51.0,1.114758,1.187810537
PRIM2,1166.0,0.350864643,125.0,-0.237044,-0.822890698
PRKAB1,1305.0,0.365943644,289.0,-1.010709,0.53959801
PRKAR2A,5019.0,0.427443141,254.0,0.200243,0.075042872
PRKCB,5795.0,0.38010529,197.0,2.453026,0.028936836
PRKCD,451.0,0.404392693,469.0,-0.479879,0.164246069
PRKRA,683.0,0.420894136,659.0,0.168312,0.116325479
PRKRIP1,3224.0,0.453589322,55.0,0.220828,-0.80143333
PRMT5,393.0,0.386451423,508.0,-0.36441,0.11052651
PRMT7,3655.0,0.450088803,850.0,0.083395,-0.114873997
PROCR,549.0,0.357872186,218.0,-0.588805,0.912291128
PRPS1,3908.0,0.466551451,409.0,0.158718,0.126464586
PRPSAP1,2056.0,0.390811115,688.0,0.013679,0.574259832
PRRC1,3173.0,0.409170839,188.0,0.829657,0.17970399
PSMA5,2997.0,0.446573967,225.0,-0.681521,0.316530526
PSMA6,187.0,0.423632682,445.0,0.231434,0.136653802
PSMB10,58.0,0.455018511,128.0,0.761605,-0.000761376
PSMB2,3775.0,0.389848815,412.0,0.227182,0.217451719
PSMB8,242.0,0.411206622,522.0,0.82963,0.091466574
PSMB9,5497.0,0.431095699,69.0,1.270312,0.555782083
PSMC3,66.0,0.485654947,194.0,-0.187164,0.498699619
PSMD11,2567.0,0.390095635,61.0,1.926945,0.42000038
PSMD13,384.0,0.437236365,242.0,-0.720577,0.188456155
PSMD8,450.0,0.458928351,52.0,-0.199347,0.176066034
PSME2,53.0,0.443656162,65.0,0.863803,-0.107346009
PSMG1,5308.0,0.427553471,578.0,0.073212,0.140964576
PSTPIP2,1923.0,0.429639796,96.0,0.007504,-0.049162781
PTBP1,1504.0,0.473818895,106.0,-0.016123,0.479194487
PTDSS1,3765.0,0.367954205,423.0,-0.226393,-0.514421931
PTGS1,3346.0,0.37260918,633.0,1.039163,-0.372545659
PTP4A1,3419.0,0.421202001,1153.0,0.208597,-0.018367965
PTPMT1,1899.0,0.450492628,193.0,-0.933434,0.463493942
PTPN18,2185.0,0.381656528,101.0,-0.159484,-1.030284494
PTPN7,1593.0,0.440747449,781.0,2.116801,0.371640877
PTPRE,2994.0,0.426620112,1843.0,-0.087518,0.742364429
PTPRF,4571.0,0.452810321,356.0,0.465429,0.095227374
PTRH2,3186.0,0.370743372,1544.0,-1.211106,-1.436936986
PWWP2B,819.0,0.424412275,29.0,0.649772,-1.664892959
PYCR2,578.0,0.474148407,230.0,-1.026043,-0.14090253
PYGL,175.0,0.392036998,127.0,-1.329188,0.640254318
QARS,97.0,0.458996209,396.0,-0.293526,0.220229772
RAB11FIP1,4277.0,0.380614122,56.0,-0.863971,0.115566566
RAB12,1120.0,0.38483812,283.0,-0.869466,-0.045640252
RAB21,5246.0,0.435367738,267.0,0.857989,0.527787409
RAB31,3231.0,0.437498832,175.0,-0.234794,0.277904661
RAB35,2172.0,0.408841719,189.0,-0.289755,-1.017889047
RAB7A,1376.0,0.419395127,232.0,-0.207159,0.042332774
RAB8B,4163.0,0.425956778,96.0,0.49069,-0.647077113
RAB9A,1716.0,0.417525007,283.0,0.089088,0.081826798
RABGGTA,77.0,0.387342734,512.0,-0.334063,0.270817286
RABGGTB,440.0,0.409412379,78.0,-0.442681,-0.139973715
RABIF,4760.0,0.447399225,159.0,-0.569327,0.289763363
RACGAP1,1895.0,0.366370127,354.0,0.69276,-0.614215369
RAD9A,924.0,0.444046557,185.0,-0.189656,-0.74361575
RAE1,1112.0,0.432613552,365.0,1.75203,0.675513008
RAI1,1472.0,0.455620822,469.0,1.132277,-0.16953491
RAN,2043.0,0.442855294,361.0,-0.822965,-0.111955851
RANBP10,3359.0,0.379453562,1256.0,0.347546,-0.300444924
RANGAP1,3145.0,0.481547647,765.0,0.328068,-0.133084143
RAPGEF1,2727.0,0.425793135,159.0,0.612362,-0.138011729
RARS,114.0,0.423508657,41.0,0.186454,0.065251833
RASGRP2,183.0,0.381671176,582.0,1.520482,-0.31035878
RASGRP4,985.0,0.374724859,214.0,0.434894,0.985924519
RBBP4,6506.0,0.404056961,164.0,0.432462,-0.000618462
RBBP5,3098.0,0.421849625,474.0,-0.177635,0.052960966
RBKS,251.0,0.392307233,1371.0,0.080203,0.43684353
RBM12,3599.0,0.375183789,304.0,-0.027625,-0.166242016
RBM14,3443.0,0.468008211,139.0,-0.178007,-0.715442881
RBM4B,5277.0,0.396841232,170.0,-0.142389,0.273852287
RBMX,1201.0,0.353737079,210.0,-0.327736,-0.609694135
RBPJ,4223.0,0.4178224,518.0,0.516303,0.268379998
RBX1,821.0,0.46562919,52.0,-0.46116,0.326690215
RC3H1,7637.0,0.410085914,87.0,-0.064005,-0.54211435
RCCD1,1773.0,0.374130224,280.0,-0.577477,0.242528089
RCOR1,4070.0,0.439565312,228.0,0.466434,0.63081271
REEP4,591.0,0.460338979,469.0,-0.312468,-0.741485081
REEP5,2962.0,0.457536941,144.0,0.392219,-0.870149243
RELB,408.0,0.418226182,131.0,0.172514,0.149247292
REPIN1,2683.0,0.45080531,489.0,0.21028,-1.339321689
RFC4,89.0,0.411167541,282.0,-0.284461,0.126368094
RFK,1882.0,0.429285662,357.0,0.187366,0.11931424
RFX5,1546.0,0.386685917,221.0,-0.245415,-0.342611951
RFXAP,1850.0,0.421314391,156.0,1.105807,0.529986112
RHBDF2,740.0,0.423256567,294.0,-0.00631,-0.880372702
RHOT2,568.0,0.454546166,881.0,0.180753,0.25297248
RINL,1279.0,0.357351373,413.0,-0.606394,-0.034273074
RNASE2,179.0,0.384567964,71.0,-0.576487,1.233194865
RNASEH1,4369.0,0.404567903,700.0,0.65753,-0.176370728
RNASEH2B,3930.0,0.37625722,399.0,-0.982808,-1.057201645
RNASET2,1070.0,0.374792559,407.0,-0.120742,0.346369825
RNF114,1751.0,0.459950313,36.0,2.464961,0.527429916
RNF167,289.0,0.375291206,776.0,-0.735591,-0.38561722
RNF20,5226.0,0.396317502,92.0,0.146832,-0.297179573
RNF213,5288.0,0.417718743,150.0,1.053973,-0.457641392
RNF216,2819.0,0.430061571,259.0,-0.16753,-0.909257964
RNF25,102.0,0.375620157,88.0,-0.002519,0.013758077
RNF31,88.0,0.389352607,358.0,0.140292,0.019534239
RNLS,1252.0,0.416402283,135.0,-0.006316,0.287958793
RNMT,4581.0,0.415128602,241.0,-0.499275,0.196978957
RNPEP,463.0,0.447181346,896.0,-0.447811,-0.044154869
RP9,437.0,0.42869019,18.0,-0.205721,0.015792368
RPA1,2907.0,0.381710028,170.0,-0.586677,-0.024060963
RPA2,639.0,0.400070522,793.0,0.012816,0.27785014
RPAIN,471.0,0.394698889,570.0,-0.839836,-0.174633521
RPL11,461.0,0.442317923,45.0,-0.329027,-0.143334099
RPL14,5208.0,0.496792394,133.0,-1.109168,0.356357945
RPL23,3146.0,0.464880603,90.0,1.58861,0.196287812
RPL26,53.0,0.427802183,389.0,-0.106314,-1.472343154
RPL31,1260.0,0.451994935,87.0,-0.57906,-0.56662194
RPL34,1350.0,0.436455219,198.0,-0.184451,-1.117212263
RPL5,1058.0,0.451564158,75.0,-0.303064,-0.077297094
RPL7,1077.0,0.460258279,707.0,-0.460972,0.168515696
RPS11,373.0,0.483080585,92.0,-0.394685,-0.152050684
RPS24,4247.0,0.430653047,142.0,-0.418337,0.197075028
RPS25,109.0,0.467193878,63.0,-0.297398,-0.739266941
RPS27A,743.0,0.450449292,321.0,-0.31041,-0.818503651
RPS3A,306.0,0.426765211,80.0,-0.299171,-0.275310217
RPS4X,629.0,0.442998752,96.0,-0.218801,0.172156637
RPS6,2723.0,0.413925579,42.0,-0.238463,-0.409879307
RPS6KA1,828.0,0.389798854,163.0,-0.139998,-0.038992499
RPS6KA4,735.0,0.38455359,226.0,0.197745,-0.482519738
RPS7,66.0,0.428822459,109.0,-0.01148,0.126373115
RPTOR,2341.0,0.385169267,805.0,0.760428,0.199358651
RREB1,3012.0,0.456825357,492.0,0.50198,-1.145750271
RRM1,2304.0,0.437568848,689.0,-0.423317,-0.213962896
RRP8,5071.0,0.446233376,148.0,-1.067696,-0.351793227
RRS1,978.0,0.468289248,104.0,-0.359224,0.165770044
RTN3,1690.0,0.358048129,187.0,0.034654,-0.70751361
RTN4IP1,1108.0,0.372133716,477.0,0.388461,0.491268594
RUNX1,4334.0,0.416076551,1578.0,-0.36618,0.474504589
RUNX3,2611.0,0.405217602,439.0,0.794688,0.672583643
RWDD1,6365.0,0.401367905,746.0,-0.211572,0.505348675
S100A8,71.0,0.444112716,170.0,0.843659,0.799504158
S100A9,189.0,0.439508357,43.0,1.805524,0.884312883
SAMD9,1815.0,0.395660052,270.0,0.036273,-0.027804099
SAMD9L,1162.0,0.396305952,1248.0,1.878472,0.045574356
SAMM50,150.0,0.345249646,197.0,0.082026,0.166756937
SAMSN1,684.0,0.407246581,430.0,1.047323,-0.262813098
SAP18,1754.0,0.427429047,39.0,0.361624,-0.713639969
SAP30BP,1541.0,0.449617255,257.0,-0.283087,0.033035934
SAR1A,5213.0,0.411769389,203.0,-0.003644,0.159607114
SAR1B,5806.0,0.392367964,253.0,0.289537,-0.208313335
SARS,1054.0,0.40098191,100.0,-1.035381,0.097286244
SASH3,1369.0,0.387406112,182.0,1.472868,0.670065558
SCAMP4,1741.0,0.472519575,351.0,-0.280041,-0.017084239
SCO1,8645.0,0.407339367,61.0,0.23037,0.234784076
SDCCAG8,307.0,0.360606297,1542.0,-0.4701,-0.301994093
SEC11C,205.0,0.423646802,92.0,0.838198,-0.637551127
SEC13,332.0,0.457264526,210.0,-0.469709,0.344444736
SEC14L1,2986.0,0.420320088,665.0,1.243407,0.935284143
SEC24B,1221.0,0.400931805,155.0,-0.115008,0.349084437
SEC24D,2115.0,0.386600041,297.0,0.84897,0.423930211
SEC61B,270.0,0.404562259,76.0,0.045714,-1.549336866
SEMA3F,960.0,0.38837398,318.0,-0.427695,0.32873701
SEMA4A,755.0,0.412797256,345.0,0.233022,0.429984159
SEMA4D,2318.0,0.393173667,572.0,0.750132,-1.273162015
SERPINA1,1707.0,0.420489385,573.0,0.246779,1.417807847
SERPINB8,2096.0,0.38524815,520.0,0.04175,0.48125192
SETMAR,321.0,0.414235412,398.0,-0.169929,0.17854499
SF1,2419.0,0.374481437,721.0,0.059222,-0.313804319
SF3B2,563.0,0.453902675,40.0,-0.057892,-0.195403221
SFXN4,500.0,0.402513841,45.0,-0.420241,-0.120731737
SH3BP1,433.0,0.395530944,313.0,0.815528,0.113545172
SH3PXD2B,4870.0,0.420952884,171.0,0.369552,-0.059129099
SHMT1,4335.0,0.394510245,509.0,-0.63981,0.965542224
SIGLEC1,1590.0,0.42099348,0.0,0.804767,-0.752530044
SIPA1,2933.0,0.437718847,296.0,0.151139,0.375564345
SIRPA,3027.0,0.429235057,360.0,0.816263,-0.485705108
SKP1,8791.0,0.433886974,179.0,-0.410282,-0.429408957
SLBP,3046.0,0.391438372,553.0,0.225811,-1.118329698
SLC25A10,1929.0,0.386184273,191.0,-0.293468,0.571537679
SLC25A19,477.0,0.386093473,224.0,-0.05771,-1.03361002
SLC25A20,787.0,0.382641976,199.0,-0.751168,0.00450166
