,3prime,tAI,max_5_UTR_length,TCGA-A7-A13F,TCGA-A7-A13F.1
IFI44L,5058.0,0.403608012,200.0,-2.507128,-1.093398647
IFIH1,121.0,0.412344512,377.0,-1.248753,-0.734571754
IFIT1,2775.0,0.411248073,495.0,-2.567386,-0.872299687
IFIT2,1901.0,0.420797646,175.0,-1.574006,-0.835524255
IFIT3,843.0,0.417440574,529.0,-1.953994,-1.070462051
IFIT5,2354.0,0.414819429,231.0,-1.410033,-0.517142453
IFITM1,159.0,0.431550176,180.0,-0.737422,-0.337728939
IFT27,109.0,0.4030938,426.0,0.170903,0.439345956
IGFBP3,1605.0,0.43060006,132.0,-0.587834,-0.161596077
IGFBP7,558.0,0.392734536,34.0,-0.442377,0.091561963
IKBKE,745.0,0.435100597,714.0,-0.101992,-0.46140918
IL16,3965.0,0.367979445,2395.0,-0.601439,-0.451273989
IL17RA,5874.0,0.376798811,133.0,-0.578913,-0.020287324
IL1RN,1145.0,0.411881061,408.0,-0.410977,-0.288011626
IL4I1,16.0,0.4139018,621.0,-1.77297,-0.612953686
ILF2,656.0,0.426220446,239.0,-0.162174,-0.042724382
IMPA2,2898.0,0.383680893,242.0,0.892969,0.576371218
INO80,5209.0,0.374025479,351.0,-0.004563,0.494969008
INPP1,263.0,0.395712795,700.0,0.014203,-0.065644842
INPP5D,1195.0,0.436077769,512.0,-0.647773,-0.140641856
INSR,4801.0,0.380857973,411.0,0.243352,0.409220476
IPO5,2508.0,0.381335948,180.0,-0.383713,-0.143273669
IRF7,92.0,0.423538356,367.0,-0.986597,-0.027065835
IRF8,1327.0,0.384714127,507.0,-0.790404,0.356793573
IRF9,369.0,0.432057622,127.0,-2.684594,-0.796502201
IRGQ,7659.0,0.399674011,156.0,0.091187,0.393963749
ISCU,607.0,0.454630229,1331.0,0.332035,0.364012129
ISG15,62.0,0.419522688,77.0,-2.559047,-1.563935639
ISG20,952.0,0.419932377,2368.0,0.930831,-0.181061683
ISOC1,1056.0,0.418535314,18.0,0.60875,-0.553931502
ITGB2,415.0,0.457304004,395.0,-0.156134,-0.01812543
ITPKB,2981.0,0.440250717,340.0,-0.936736,-0.30587643
ITPRIP,5382.0,0.396785481,453.0,0.367086,-0.467451889
JUNB,496.0,0.414023332,276.0,-0.488346,-0.093944645
JUP,157.0,0.458302936,298.0,1.158675,0.100203061
KANK2,2291.0,0.394238955,361.0,0.878812,0.336994616
KARS,4202.0,0.383913431,144.0,0.074143,-0.016049228
KDM1A,327.0,0.428444011,149.0,-0.482051,0.086250456
KDM2A,3716.0,0.372295488,864.0,-0.437062,-0.151936462
KDM2B,2488.0,0.393022165,407.0,0.106313,-0.204457055
KDM3B,1327.0,0.37791414,200.0,-0.087242,-0.098843547
KDM4A,1148.0,0.378142374,166.0,-0.117642,0.031777755
KHSRP,1024.0,0.456900489,110.0,0.204659,0.073806426
KIAA2013,727.0,0.385456054,191.0,-0.461271,-0.534489464
KIF20A,757.0,0.371463873,496.0,1.093498,0.20603788
KIF22,75.0,0.392489541,388.0,0.286915,-0.027327242
KIF2C,588.0,0.387865377,395.0,1.326572,0.045084967
KIF3B,3792.0,0.390782105,180.0,-0.577174,-0.186783289
KIF3C,2392.0,0.403852971,657.0,0.464817,0.098229419
KIF5B,3198.0,0.418236129,470.0,-0.568559,-0.169073611
KTI12,594.0,0.370414154,39.0,-0.371831,-0.039253226
LAMP1,1311.0,0.390985106,281.0,0.389099,0.009485658
LANCL2,2422.0,0.433733517,578.0,-0.145,-0.565949949
LAP3,503.0,0.426841798,162.0,-0.432766,-0.648702498
LDHD,1826.0,0.398770776,52.0,0.994676,0.055888784
LENG1,560.0,0.445950324,48.0,-1.110366,0.108225175
LGALS3,159.0,0.420172221,88.0,-0.385407,0.009804706
LGALS3BP,1225.0,0.419930622,179.0,-0.643089,-0.671471536
LGALS9,641.0,0.410654931,118.0,-0.136987,0.152216391
LIN54,4893.0,0.441729058,383.0,0.270626,0.010213972
LPCAT1,2228.0,0.380803123,133.0,1.082467,0.331061355
LPXN,1776.0,0.432350833,254.0,-0.292627,-0.057033077
LRPPRC,2376.0,0.377375074,58.0,-0.345197,-0.3302285
LRRC25,843.0,0.434491636,642.0,0.075827,0.04756374
LRRC41,465.0,0.438391248,44.0,0.334872,0.254932571
LRRC59,1755.0,0.423067849,236.0,0.586344,-0.497421245
LSM1,486.0,0.409616526,410.0,0.561628,0.277172218
LSM6,1871.0,0.435100303,139.0,-0.786318,-0.067076384
LTA4H,391.0,0.355044638,145.0,0.501607,0.029855188
LYN,4058.0,0.418972994,282.0,-0.530871,-0.392088272
LYPLAL1,1137.0,0.3973742,157.0,0.296636,0.321104479
LYRM4,6830.0,0.366844497,217.0,-0.138651,0.052526234
LYSMD2,596.0,0.394037378,501.0,-0.965634,-0.075274319
M6PR,1457.0,0.379162834,275.0,0.180279,0.223861787
MAD2L1,4528.0,0.407191351,124.0,1.057104,0.194473214
MAGED2,327.0,0.466698843,233.0,1.511314,1.059542557
MAGOH,153.0,0.416054235,162.0,-0.143849,-0.142138585
MAN2B1,128.0,0.381728903,76.0,0.380745,0.291344075
MANF,717.0,0.420319188,97.0,0.725266,0.096466292
MAP4K1,170.0,0.374128007,140.0,-0.960933,-0.562196278
MARCKSL1,768.0,0.468216312,206.0,-0.136863,0.122766486
MAX,2676.0,0.337149475,479.0,-1.073162,-0.290940993
MBD2,3723.0,0.420256858,229.0,0.325004,-0.082435315
MBP,4041.0,0.393290432,264.0,-1.993164,-0.107923817
MCM2,662.0,0.460999542,110.0,1.669254,0.407776438
MCM4,2618.0,0.371821308,942.0,1.81496,0.485979569
MCM5,3214.0,0.470488076,94.0,1.53698,0.65094444
MDC1,658.0,0.415783633,440.0,0.618904,0.177831658
MDH1,210.0,0.381672323,435.0,-0.032564,-0.192646954
ME1,1535.0,0.411214685,265.0,0.79247,-0.370350777
ME3,171.0,0.395156177,377.0,0.874318,0.204949617
MECR,1365.0,0.445670958,612.0,-0.061397,-0.094595396
MED17,2631.0,0.366528813,275.0,-0.420814,0.191902734
MED19,934.0,0.439623042,93.0,-0.845283,-0.058947387
MED28,10307.0,0.440157501,27.0,-0.397229,0.06669846
MED29,4550.0,0.464327351,57.0,0.351375,0.484660214
MEF2C,6848.0,0.41426337,654.0,0.086132,0.115568165
MEN1,824.0,0.454590692,504.0,0.095809,0.194006818
METTL13,961.0,0.396264071,347.0,0.101252,0.076159496
MGST3,1295.0,0.374563048,428.0,0.294304,0.081966999
MIF4GD,787.0,0.397877071,137.0,0.466466,0.465368384
MINK1,774.0,0.455972684,525.0,0.19715,0.18684
MIS12,1334.0,0.420723459,745.0,0.018794,0.348077984
MLEC,5319.0,0.43043384,173.0,-0.012447,0.027810334
MLLT10,2252.0,0.36295117,1568.0,-0.66513,1.559538267
MLX,1636.0,0.386664187,65.0,0.634399,-0.362703942
MMACHC,1852.0,0.382684622,371.0,0.466125,-0.17158575
MMADHC,5382.0,0.406207656,205.0,-0.143194,0.010743675
MMGT1,4451.0,0.406300672,388.0,-0.152602,0.110673427
MMP1,502.0,0.392399458,189.0,1.221577,-0.128764255
MMP14,1722.0,0.419367787,285.0,0.005274,0.440299515
MMP9,193.0,0.404253633,19.0,-0.843108,-1.311365851
MORC3,2052.0,0.406702124,375.0,-0.618499,-0.148765098
MORF4L1,1066.0,0.420719378,454.0,0.076657,0.380181287
MOV10,619.0,0.412681236,1415.0,0.303103,0.234759103
MPDU1,797.0,0.440676037,216.0,0.784319,-0.076949147
MPHOSPH10,87.0,0.404440607,352.0,-0.382997,-0.10976966
MRI1,2018.0,0.459301832,75.0,0.770737,0.503496062
MRPL13,1075.0,0.395373051,313.0,0.401368,0.110777445
MRPL15,1888.0,0.407701507,63.0,-0.04705,-0.042513987
MRPL16,212.0,0.368940255,214.0,0.150793,0.106708228
MRPL17,6554.0,0.424450505,105.0,0.260114,0.165169144
MRPL2,580.0,0.458698472,164.0,-0.448404,-0.031380096
MRPL20,187.0,0.445765675,96.0,-0.239743,0.175737934
MRPL21,55.0,0.417448467,293.0,-0.407565,-0.138044218
MRPL27,2133.0,0.436300758,31.0,0.476475,0.258135752
MRPL40,113.0,0.406843086,653.0,1.106105,0.105956933
MRPL46,1889.0,0.422788385,25.0,0.456362,0.200131789
MRPL48,1284.0,0.368940255,212.0,-0.170416,0.196350808
MRPL51,2069.0,0.35376587,169.0,0.413137,0.165415496
MRPL53,198.0,0.441261883,155.0,-0.041241,0.020711868
MRPL9,407.0,0.432679379,437.0,-0.132128,-0.22136609
MRPS11,2793.0,0.477818717,1491.0,0.97658,0.035426377
MRPS15,468.0,0.440649404,164.0,0.737113,0.268815157
MRPS17,1334.0,0.413812124,30.0,0.45101,-0.073154525
MRPS18B,936.0,0.408462865,157.0,-0.02105,-0.193002806
MRPS36,933.0,0.3748339,84.0,0.379667,-0.249285584
MRPS7,453.0,0.455992019,233.0,0.895128,0.018024485
MSI2,5168.0,0.366385762,173.0,0.258332,-0.159804122
MSTO1,694.0,0.421389639,1152.0,0.652075,0.529401696
MT1E,291.0,0.588704726,179.0,-1.505511,-0.807783005
MT2A,316.0,0.576670685,123.0,1.186303,-0.013083789
MTA2,684.0,0.459443446,761.0,-0.446143,-0.06033278
MTFMT,1550.0,0.414190941,26.0,0.603662,0.081370555
MTHFS,1663.0,0.434592403,179.0,0.424623,0.650058656
MTMR1,2442.0,0.424163835,319.0,0.034397,0.083252825
MTMR14,421.0,0.371137969,151.0,0.357588,0.154856008
MVP,50.0,0.435053297,193.0,-0.746838,-0.348812251
MX1,456.0,0.433488503,982.0,-2.073,-1.239939743
MX2,1812.0,0.430094961,104.0,-1.678473,-0.327134855
MYADM,2833.0,0.384589896,681.0,0.990457,0.588960262
MYCBP,3972.0,0.381803634,73.0,1.138003,0.331412171
MYL12A,812.0,0.453450746,478.0,-0.336609,0.01693824
MYO18A,3647.0,0.395788337,484.0,0.611636,0.295748465
MYO9B,1401.0,0.398943925,152.0,0.312398,0.252140134
N6AMT1,5137.0,0.427535625,28.0,0.610519,0.812901522
NAA40,3212.0,0.389371031,261.0,-0.008929,0.144740605
NAB1,2433.0,0.361024962,572.0,-0.818257,-0.050641263
NADK,1672.0,0.3959688,563.0,-0.94213,-0.145197479
NADSYN1,464.0,0.447848979,126.0,-0.659957,-0.222649076
NAGK,1297.0,0.42527382,474.0,-0.120574,-0.039748643
NANS,37.0,0.458552255,132.0,0.27468,-0.192671204
NAPA,1862.0,0.477781443,318.0,-0.021666,-0.059203003
NAT10,4915.0,0.387474071,245.0,-0.241325,-0.088527913
NBAS,140.0,0.414580543,44.0,-0.122535,-0.044484144
NCALD,2767.0,0.374888213,460.0,1.15231,0.084988079
NCAPD3,2971.0,0.431957579,606.0,0.896881,0.407143228
NCAPG2,3501.0,0.41630572,200.0,1.226191,0.149447596
NCF1,2381.0,0.415579251,70.0,-0.675808,-0.538809317
NCK2,1267.0,0.457831152,276.0,-0.472451,-0.05614465
NCKIPSD,4981.0,0.449411541,126.0,0.65867,0.386821588
NCOA5,1332.0,0.416761948,402.0,0.339757,0.459481587
NCOA7,3259.0,0.404217869,470.0,-1.419077,-0.128075084
NDC80,61.0,0.356199389,182.0,0.638574,0.285495379
NDRG2,841.0,0.376266446,941.0,-0.907145,-0.575664863
NDUFA4,1685.0,0.439642808,129.0,0.232607,0.036667313
NEU1,667.0,0.413226082,156.0,1.0309,0.619777669
NFATC2IP,3242.0,0.412267479,15.0,-0.318904,-0.197874225
NFKB1,708.0,0.4099683,467.0,-0.641771,-0.335987756
NFKB2,153.0,0.424806573,563.0,-0.139552,-0.14320007
NFKBIE,1053.0,0.409138176,25.0,-0.934369,-0.172524677
NGDN,1255.0,0.423783924,27.0,-0.907809,-0.232738126
NGRN,1679.0,0.414477409,50.0,-0.159968,0.719788141
NINJ1,5217.0,0.455972644,71.0,1.09411,0.351210773
NIP7,1593.0,0.443769116,318.0,0.002092,-0.082211977
NIT2,2351.0,0.432361565,74.0,0.20243,-0.108220998
NMNAT3,2689.0,0.397393877,1228.0,2.473996,1.304987494
NMT1,3377.0,0.454689408,31.0,0.49059,0.415041853
NONO,1092.0,0.432928506,710.0,-0.01742,0.044728909
NOP14,912.0,0.38067473,187.0,0.389257,0.154641523
NOP2,785.0,0.393538298,198.0,0.445299,-0.021442994
NOTCH2,6062.0,0.409327653,297.0,-0.826796,-0.078635331
NPTN,1068.0,0.388989686,197.0,-0.878202,-0.156672113
NR2C2,6271.0,0.390767743,362.0,-0.851759,0.047775767
NRBF2,883.0,0.43605128,224.0,-0.54899,-0.215207763
NRF1,1901.0,0.447602651,500.0,-0.230342,0.131670125
NRGN,833.0,0.413631862,152.0,0.386676,0.436475994
NRP1,3846.0,0.416817106,523.0,0.676003,0.236309505
NSFL1C,1587.0,0.42738001,868.0,-0.158262,0.016960856
NSMAF,602.0,0.358586884,214.0,0.430603,0.137501973
NTAN1,178.0,0.344459601,320.0,0.348836,0.163964171
NUBP1,246.0,0.455923678,142.0,-0.264244,-0.259787541
NUCKS1,5461.0,0.359398328,271.0,-0.176735,0.203596885
NUDC,716.0,0.476401948,127.0,-0.648451,-0.106117466
NUDT16,5489.0,0.428387545,75.0,-0.184945,0.088648122
NUMA1,663.0,0.474508115,436.0,-0.319904,-0.013516966
NUP93,5678.0,0.382018893,495.0,0.624843,0.034490835
NXF1,2943.0,0.375826754,136.0,-0.255057,-0.047655911
OCIAD2,4872.0,0.363821488,322.0,0.291799,-0.046860171
OGDH,1071.0,0.396078149,159.0,0.201202,-0.329330676
OPA3,7233.0,0.475004358,100.0,-0.630702,-0.108762288
OSBPL2,2363.0,0.383456763,571.0,-0.078882,0.011222639
OSBPL5,1099.0,0.381371042,158.0,-0.822391,-0.198043844
OVCA2,792.0,0.429983078,65.0,0.626322,0.12380076
P2RX4,573.0,0.442596273,304.0,0.584462,0.167863291
PAAF1,509.0,0.376143366,341.0,-0.012021,0.247667616
PACSIN2,1591.0,0.413490434,405.0,-0.503843,-0.158292335
PARK7,451.0,0.457171775,163.0,0.083777,-0.213774309
PARP1,769.0,0.460215809,171.0,0.485595,0.051809052
PARP10,332.0,0.422654659,200.0,-0.897867,-0.114623513
PARP12,816.0,0.416480622,874.0,-0.646031,-0.247445391
PARP14,2243.0,0.414355918,59.0,-1.171614,-0.447846943
PARP9,451.0,0.418102187,327.0,-1.041287,-0.474708897
PARVG,2043.0,0.383803232,484.0,-0.387828,-0.086299736
PBK,750.0,0.413339119,464.0,1.852431,0.557847232
PCNA,338.0,0.425000199,239.0,0.551903,-0.15580253
PDAP1,2007.0,0.464659554,134.0,-0.139449,0.143780015
PDCD2,155.0,0.440448783,111.0,-1.011473,-0.032329162
PDCD2L,48.0,0.433436103,33.0,-0.004674,-0.154241146
PDCD6IP,3211.0,0.388727459,158.0,0.378538,0.251403411
PDHA1,2054.0,0.402514578,145.0,-0.264159,-0.178510966
PDHB,2974.0,0.442593378,43.0,0.204267,-0.271964162
PDLIM1,357.0,0.379179626,233.0,1.502522,0.784539243
PDXDC1,2055.0,0.375670185,335.0,0.086206,-0.371198914
PDXK,6244.0,0.398158884,198.0,-0.26714,-0.079719987
PEBP1,796.0,0.360152166,326.0,0.959325,0.212358873
PEF1,769.0,0.441759403,424.0,0.31123,0.177210551
PELO,5222.0,0.385240523,985.0,-0.055113,0.203308314
PEPD,395.0,0.450896903,133.0,0.078124,0.11771918
PEX16,585.0,0.43213601,312.0,-0.413475,0.270130577
PEX6,946.0,0.370078344,93.0,-0.500132,0.211726161
PEX7,2294.0,0.407005497,102.0,0.124331,-0.072052101
PFDN5,124.0,0.497062947,117.0,0.035753,0.162898827
PFDN6,574.0,0.470152145,222.0,-0.059551,0.090256541
PGM1,570.0,0.393980016,681.0,0.60588,0.074655828
PHB,988.0,0.45268542,190.0,0.86605,-0.086313603
PHF10,104.0,0.365149381,79.0,-1.209807,-0.114180362
PI4K2A,2692.0,0.385068362,57.0,0.013034,0.237006926
PIAS1,3626.0,0.396022529,741.0,-0.398213,-0.074875819
PIK3AP1,3866.0,0.407313024,128.0,-0.604377,-0.488850427
PIR,205.0,0.385796208,485.0,0.392638,-0.023163612
PITPNC1,4686.0,0.369070722,874.0,2.116303,0.699772034
PLA2G4C,585.0,0.406173977,398.0,-0.320135,-0.053983615
PLA2G7,1187.0,0.402486321,269.0,-0.443077,-0.245048627
PLAUR,323.0,0.418467601,226.0,-0.023082,-0.160431275
PLCB2,818.0,0.468984469,301.0,-1.267405,-0.109949225
PLCG1,3987.0,0.454806205,121.0,1.567737,0.763363984
PLD4,273.0,0.377985619,192.0,0.036353,-0.165039584
PLEKHO1,5192.0,0.424698037,839.0,-1.006963,0.099500219
PLEKHO2,2119.0,0.429714475,134.0,-0.302736,0.010851709
PLSCR1,10376.0,0.415598704,388.0,-0.916186,-0.538060483
PML,3324.0,0.431306474,140.0,-0.375313,-0.12392496
POLR1C,1131.0,0.439933821,86.0,-0.225751,-0.10353706
POLR1D,1469.0,0.427162265,456.0,-0.699917,-0.032421679
POLR2F,1600.0,0.47244007,250.0,0.568908,-0.073283061
POLR2H,1065.0,0.427596015,1167.0,0.358916,0.204179728
POLR3H,3481.0,0.444306047,388.0,0.359148,-0.387026521
POLR3K,1023.0,0.473025152,46.0,-0.421603,0.176291867
PPA2,660.0,0.432735716,20.0,0.102581,-0.184030392
PPIE,4556.0,0.446406574,56.0,-0.401789,0.053796956
PPIL1,1921.0,0.453832883,252.0,0.447898,0.246891666
PPP1R14B,282.0,0.457456004,268.0,0.076112,-0.515932315
PRC1,1136.0,0.367783806,234.0,1.919459,0.624211824
PRCC,357.0,0.381841119,290.0,0.227812,0.019482146
PRDX1,303.0,0.414090753,341.0,0.595565,-0.215809362
PRDX6,944.0,0.433706552,51.0,0.555056,-0.026695054
PREB,658.0,0.378530018,403.0,0.135711,0.127485777
PREP,579.0,0.425974009,233.0,-0.280345,-0.679719545
PRG4,784.0,0.366727173,51.0,1.91419,-0.007022595
PRIM2,1166.0,0.350864643,125.0,-0.203434,0.152009201
PRKAB1,1305.0,0.365943644,289.0,0.218904,-0.390223964
PRKAR2A,5019.0,0.427443141,254.0,0.529781,-0.020570281
PRKCB,5795.0,0.38010529,197.0,-2.689697,-0.483010631
PRKCD,451.0,0.404392693,469.0,0.065348,-0.254842237
PRKRA,683.0,0.420894136,659.0,-0.542816,-0.355415433
PRKRIP1,3224.0,0.453589322,55.0,-0.277926,0.459846212
PRMT5,393.0,0.386451423,508.0,-1.000207,-0.358135926
PRMT7,3655.0,0.450088803,850.0,0.317214,0.212089004
PROCR,549.0,0.357872186,218.0,0.420048,-0.205309777
PRPS1,3908.0,0.466551451,409.0,-1.343554,-0.733938947
PRPSAP1,2056.0,0.390811115,688.0,0.187337,0.057940009
PRRC1,3173.0,0.409170839,188.0,0.392298,-0.099455526
PSMA5,2997.0,0.446573967,225.0,0.303221,-0.35328162
PSMA6,187.0,0.423632682,445.0,-0.598092,-0.33501199
PSMB10,58.0,0.455018511,128.0,-0.684648,-0.655075495
PSMB2,3775.0,0.389848815,412.0,0.185779,-0.286524704
PSMB8,242.0,0.411206622,522.0,-1.830447,-0.538506052
PSMB9,5497.0,0.431095699,69.0,-2.223535,-0.66258986
PSMC3,66.0,0.485654947,194.0,-0.119286,-0.149873344
PSMD11,2567.0,0.390095635,61.0,1.171991,0.055357564
PSMD13,384.0,0.437236365,242.0,-0.285765,0.177370701
PSMD8,450.0,0.458928351,52.0,0.426236,0.173336509
PSME2,53.0,0.443656162,65.0,-0.88109,-0.998010027
PSMG1,5308.0,0.427553471,578.0,-0.250092,-0.174995605
PSTPIP2,1923.0,0.429639796,96.0,-2.236708,-0.682135298
PTBP1,1504.0,0.473818895,106.0,0.266224,-0.055792835
PTDSS1,3765.0,0.367954205,423.0,0.6279,0.003368832
PTGS1,3346.0,0.37260918,633.0,0.936642,0.511625519
PTPMT1,1899.0,0.450492628,193.0,0.483409,0.631191074
PTPN18,2185.0,0.381656528,101.0,-0.547351,-0.184701702
PTPN7,1593.0,0.440747449,781.0,-0.74874,-0.521156033
PTPRE,2994.0,0.426620112,1843.0,-0.381807,-0.180684734
PTPRF,4571.0,0.452810321,356.0,0.242502,0.279051428
PTRH2,3186.0,0.370743372,1544.0,0.114643,-0.054420284
PWWP2B,819.0,0.424412275,29.0,-0.895855,0.137243578
PYCR2,578.0,0.474148407,230.0,-0.09315,-0.071563968
PYGL,175.0,0.392036998,127.0,-0.899367,-0.646878703
QARS,97.0,0.458996209,396.0,0.235647,0.255813322
RAB11FIP1,4277.0,0.380614122,56.0,2.122902,0.851087941
RAB12,1120.0,0.38483812,283.0,-0.475983,-0.033731194
RAB21,5246.0,0.435367738,267.0,-0.176906,-0.199173741
RAB31,3231.0,0.437498832,175.0,1.337919,0.572366703
RAB35,2172.0,0.408841719,189.0,-0.295013,-0.076530102
RAB7A,1376.0,0.419395127,232.0,-0.073786,-0.104958221
RAB8B,4163.0,0.425956778,96.0,0.257694,0.095445501
RAB9A,1716.0,0.417525007,283.0,-1.650113,-0.595953893
RABGGTA,77.0,0.387342734,512.0,-0.28848,-0.245628113
RABGGTB,440.0,0.409412379,78.0,-0.230709,-0.005334093
RABIF,4760.0,0.447399225,159.0,0.238195,0.128093905
RACGAP1,1895.0,0.366370127,354.0,1.049144,0.461412131
RAD9A,924.0,0.444046557,185.0,-0.738193,0.056246018
RAE1,1112.0,0.432613552,365.0,1.83869,0.434427716
RAI1,1472.0,0.455620822,469.0,-0.594668,0.236611698
RAN,2043.0,0.442855294,361.0,0.319201,-0.01138143
RANBP10,3359.0,0.379453562,1256.0,-0.326823,0.121730785
RANGAP1,3145.0,0.481547647,765.0,0.348744,0.030469387
RAPGEF1,2727.0,0.425793135,159.0,-0.608849,0.04377185
RARS,114.0,0.423508657,41.0,0.272381,0.142312647
RASGRP2,183.0,0.381671176,582.0,-1.981439,-0.093663207
RBBP4,6506.0,0.404056961,164.0,0.620764,-0.095606414
RBBP5,3098.0,0.421849625,474.0,0.144904,0.064002142
RBKS,251.0,0.392307233,1371.0,1.095291,0.570280812
RBM12,3599.0,0.375183789,304.0,0.00254,0.089593675
RBM14,3443.0,0.468008211,139.0,-0.346755,0.163596175
RBM4B,5277.0,0.396841232,170.0,-0.463031,0.01733742
RBMX,1201.0,0.353737079,210.0,-0.342229,0.129423155
RBPJ,4223.0,0.4178224,518.0,-0.667274,-0.221432014
RBX1,821.0,0.46562919,52.0,0.190436,-0.213128134
RC3H1,7637.0,0.410085914,87.0,-0.708451,0.046603094
RCCD1,1773.0,0.374130224,280.0,0.516145,-0.245202513
RCOR1,4070.0,0.439565312,228.0,-0.754833,-0.308062355
REEP4,591.0,0.460338979,469.0,1.420758,-0.005628661
REEP5,2962.0,0.457536941,144.0,0.96386,0.269397825
RELB,408.0,0.418226182,131.0,-0.222892,-0.284312363
REPIN1,2683.0,0.45080531,489.0,-0.534373,-0.079798938
RFC4,89.0,0.411167541,282.0,0.850459,0.142476498
RFK,1882.0,0.429285662,357.0,0.80286,0.461442963
RFWD3,2538.0,0.42367162,98.0,0.761334,-0.163693786
RFX5,1546.0,0.386685917,221.0,-0.400518,-0.313461159
RFXAP,1850.0,0.421314391,156.0,-0.901527,-0.752182183
RHBDF2,740.0,0.423256567,294.0,0.552564,-0.08086903
RHOT2,568.0,0.454546166,881.0,-0.69635,-0.064083699
RINL,1279.0,0.357351373,413.0,-0.297416,-0.366777136
RNASEH1,4369.0,0.404567903,700.0,-0.090617,-0.040044977
RNASEH2B,3930.0,0.37625722,399.0,-0.391117,0.084310275
RNASET2,1070.0,0.374792559,407.0,0.310886,-0.185501824
RNF114,1751.0,0.459950313,36.0,-1.005015,-0.487051961
RNF167,289.0,0.375291206,776.0,0.909696,0.089444446
RNF20,5226.0,0.396317502,92.0,0.266383,0.000489975
RNF213,5288.0,0.417718743,150.0,-0.456888,-0.248495331
RNF216,2819.0,0.430061571,259.0,-0.286211,0.427586236
RNF25,102.0,0.375620157,88.0,-0.361672,0.060031253
RNF31,88.0,0.389352607,358.0,-1.171636,-0.178462761
RNLS,1252.0,0.416402283,135.0,0.854418,0.186207348
RNMT,4581.0,0.415128602,241.0,-0.572191,0.04794315
RNPEP,463.0,0.447181346,896.0,1.147201,0.308514532
RP9,437.0,0.42869019,18.0,-0.126604,0.057725428
RPA1,2907.0,0.381710028,170.0,0.523961,-0.016649124
RPA2,639.0,0.400070522,793.0,-0.489425,-0.099850576
RPAIN,471.0,0.394698889,570.0,-0.335324,-0.587221823
RPL11,461.0,0.442317923,45.0,-0.776523,0.021321432
RPL14,5208.0,0.496792394,133.0,0.249134,0.144031061
RPL23,3146.0,0.464880603,90.0,-0.259382,0.184052675
RPL26,53.0,0.427802183,389.0,-0.753791,0.630056649
RPL31,1260.0,0.451994935,87.0,-0.860721,0.338148383
RPL34,1350.0,0.436455219,198.0,-0.493309,0.759653568
RPL5,1058.0,0.451564158,75.0,-0.396136,0.279437686
RPL7,1077.0,0.460258279,707.0,-0.197364,0.380623302
RPS11,373.0,0.483080585,92.0,-0.126904,0.463569401
RPS24,4247.0,0.430653047,142.0,-0.397717,0.107285066
RPS25,109.0,0.467193878,63.0,-0.191237,0.096385503
RPS27A,743.0,0.450449292,321.0,-0.341394,0.06529741
RPS3A,306.0,0.426765211,80.0,-0.42723,0.294666625
RPS4X,629.0,0.442998752,96.0,-0.451021,0.160228664
RPS6,2723.0,0.413925579,42.0,-0.617032,0.242836349
RPS6KA1,828.0,0.389798854,163.0,-0.005845,-0.103664422
RPS6KA4,735.0,0.38455359,226.0,-0.538923,-0.027482672
RPS7,66.0,0.428822459,109.0,-0.628025,0.141144866
RPTOR,2341.0,0.385169267,805.0,0.216856,-0.010660033
RREB1,3012.0,0.456825357,492.0,0.354013,0.244543987
RRM1,2304.0,0.437568848,689.0,1.227891,0.355972989
RRP8,5071.0,0.446233376,148.0,0.012268,0.2156088
RRS1,978.0,0.468289248,104.0,-0.052723,-0.248361389
RTN3,1690.0,0.358048129,187.0,0.443282,-0.146721277
RTN4IP1,1108.0,0.372133716,477.0,-0.650088,-0.707196058
RUNX1,4334.0,0.416076551,1578.0,0.079638,0.179126737
RUNX3,2611.0,0.405217602,439.0,-1.667252,-0.954476743
RWDD1,6365.0,0.401367905,746.0,-0.548304,-0.121527454
S100A8,71.0,0.444112716,170.0,-1.574142,-2.093121168
S100A9,189.0,0.439508357,43.0,-1.76596,-2.680585289
SAMD9,1815.0,0.395660052,270.0,-1.782568,-0.870047919
SAMD9L,1162.0,0.396305952,1248.0,-1.937025,-0.532380762
SAMM50,150.0,0.345249646,197.0,0.5264,-0.016676679
SAMSN1,684.0,0.407246581,430.0,-0.040229,-0.059308031
SAP18,1754.0,0.427429047,39.0,-0.491031,-0.08985842
SAP30BP,1541.0,0.449617255,257.0,0.037662,-0.166024004
SAR1A,5213.0,0.411769389,203.0,-0.077573,-0.103470215
SAR1B,5806.0,0.392367964,253.0,0.849246,0.179182098
SARS,1054.0,0.40098191,100.0,0.403542,0.240628554
SASH3,1369.0,0.387406112,182.0,-0.546784,-0.200355269
SCAMP4,1741.0,0.472519575,351.0,0.504628,0.154404673
SCO1,8645.0,0.407339367,61.0,0.259859,0.003043919
SDCCAG8,307.0,0.360606297,1542.0,0.137159,0.348810079
SEC11C,205.0,0.423646802,92.0,0.532647,-0.209598736
SEC13,332.0,0.457264526,210.0,0.196285,-0.17020171
SEC14L1,2986.0,0.420320088,665.0,0.368619,-0.034354583
SEC22A,2559.0,0.422343815,79.0,0.079989,0.396181295
SEC24B,1221.0,0.400931805,155.0,-0.088262,0.009601201
SEC24D,2115.0,0.386600041,297.0,-0.090818,-0.33096288
SEC61B,270.0,0.404562259,76.0,0.020129,0.230624899
SEMA3F,960.0,0.38837398,318.0,0.953709,0.406881933
