,3prime,tAI,max_5_UTR_length,TCGA-E2-A158,TCGA-E2-A158.1
IFIT1,2775.0,0.411248073,495.0,-3.488293,-0.915584397
IFIT2,1901.0,0.420797646,175.0,-2.969227,-0.805791706
IFIT3,843.0,0.417440574,529.0,-2.295969,-1.231015245
IFIT5,2354.0,0.414819429,231.0,-1.078934,-0.366334591
IFITM1,159.0,0.431550176,180.0,-3.150486,-0.139440807
IFT27,109.0,0.4030938,426.0,0.37208,-0.091820874
IGFBP3,1605.0,0.43060006,132.0,-0.582963,-0.352065895
IGFBP7,558.0,0.392734536,34.0,-2.176903,-0.624317915
IKBKE,745.0,0.435100597,714.0,-2.938484,-0.379348766
IL16,3965.0,0.367979445,2395.0,-2.542522,-0.016771356
IL17RA,5874.0,0.376798811,133.0,0.06764,0.16569585
IL1RN,1145.0,0.411881061,408.0,-2.647679,-0.624056448
IL4I1,16.0,0.4139018,621.0,-0.685609,-0.403449792
ILF2,656.0,0.426220446,239.0,1.215411,0.359418475
IMPA2,2898.0,0.383680893,242.0,0.770131,0.915528403
INO80,5209.0,0.374025479,351.0,-0.660254,-0.224409017
INPP1,263.0,0.395712795,700.0,-0.042683,-0.065607088
INPP5D,1195.0,0.436077769,512.0,0.958772,0.282059118
INSR,4801.0,0.380857973,411.0,0.898346,0.925143627
IPO5,2508.0,0.381335948,180.0,1.088344,0.535636212
IRF7,92.0,0.423538356,367.0,-2.724781,-0.398486803
IRF8,1327.0,0.384714127,507.0,-2.092128,0.167044917
IRF9,369.0,0.432057622,127.0,-1.538703,-0.393273694
IRGQ,7659.0,0.399674011,156.0,0.988777,-0.338392162
ISCU,607.0,0.454630229,1331.0,-0.211094,-0.246656857
ISG15,62.0,0.419522688,77.0,-3.316452,-1.997035963
ISG20,952.0,0.419932377,2368.0,0.658595,-0.007278015
ISOC1,1056.0,0.418535314,18.0,-1.005524,-0.922487761
ITGB2,415.0,0.457304004,395.0,-1.759188,0.27900603
ITPKB,2981.0,0.440250717,340.0,0.385985,0.06380159
ITPRIP,5382.0,0.396785481,453.0,0.638623,-1.530337633
JUNB,496.0,0.414023332,276.0,0.170744,-0.132008708
JUP,157.0,0.458302936,298.0,-0.778873,0.034328577
KANK2,2291.0,0.394238955,361.0,-1.143463,-0.456803624
KARS,4202.0,0.383913431,144.0,0.799249,0.565856229
KCNN4,560.0,0.425737469,396.0,4.505909,2.14696807
KDM1A,327.0,0.428444011,149.0,1.112969,0.205648791
KDM2A,3716.0,0.372295488,864.0,0.438518,0.41171809
KDM2B,2488.0,0.393022165,407.0,1.306982,0.375368744
KDM3B,1327.0,0.37791414,200.0,-0.282577,0.157986683
KDM4A,1148.0,0.378142374,166.0,0.253898,0.092648432
KHSRP,1024.0,0.456900489,110.0,1.435042,0.710484438
KIAA2013,727.0,0.385456054,191.0,-0.13131,0.229422852
KIF20A,757.0,0.371463873,496.0,-0.066871,-0.330725181
KIF22,75.0,0.392489541,388.0,0.489347,-0.134561047
KIF2C,588.0,0.387865377,395.0,0.641371,-0.02231628
KIF3B,3792.0,0.390782105,180.0,-1.635685,-0.551951929
KIF3C,2392.0,0.403852971,657.0,2.512782,0.839715427
KIF5B,3198.0,0.418236129,470.0,-0.494384,-0.052014814
KLHL7,3616.0,0.41595405,521.0,1.331428,0.329615232
KTI12,594.0,0.370414154,39.0,0.67772,0.214261437
LAMP1,1311.0,0.390985106,281.0,0.771568,0.44885971
LANCL2,2422.0,0.433733517,578.0,1.126148,-0.22048568
LAP3,503.0,0.426841798,162.0,-0.676765,0.134344167
LDHD,1826.0,0.398770776,52.0,-3.343334,-0.604044647
LENG1,560.0,0.445950324,48.0,-1.177324,-0.082809088
LGALS3,159.0,0.420172221,88.0,-2.169271,-0.8688749
LGALS3BP,1225.0,0.419930622,179.0,-0.271416,0.044335616
LGALS9,641.0,0.410654931,118.0,-2.559342,-0.337109678
LIN54,4893.0,0.441729058,383.0,0.031219,0.019151608
LPCAT1,2228.0,0.380803123,133.0,0.327118,0.497492072
LPCAT4,239.0,0.432241557,94.0,0.749952,0.480281598
LPXN,1776.0,0.432350833,254.0,-1.357167,-0.225677981
LRPPRC,2376.0,0.377375074,58.0,0.860074,1.075325753
LRRC25,843.0,0.434491636,642.0,-1.894816,-0.017101013
LRRC41,465.0,0.438391248,44.0,0.800157,-0.330410944
LRRC59,1755.0,0.423067849,236.0,-0.515065,-0.185487537
LSM1,486.0,0.409616526,410.0,0.232441,0.470784215
LSM6,1871.0,0.435100303,139.0,0.09523,0.658909131
LTA4H,391.0,0.355044638,145.0,0.66695,0.047324116
LYN,4058.0,0.418972994,282.0,-2.587628,-0.306545934
LYPLAL1,1137.0,0.3973742,157.0,-0.114299,0.470381841
LYRM4,6830.0,0.366844497,217.0,-0.636064,-0.27155942
LYSMD2,596.0,0.394037378,501.0,0.158408,0.157087164
M6PR,1457.0,0.379162834,275.0,-0.213921,0.295043803
MAD2L1,4528.0,0.407191351,124.0,0.612088,0.248902951
MAGED2,327.0,0.466698843,233.0,-2.566685,-1.055081563
MAGOH,153.0,0.416054235,162.0,0.615443,0.471357462
MAN2B1,128.0,0.381728903,76.0,1.169542,0.172938006
MANF,717.0,0.420319188,97.0,-0.871059,-0.537705943
MAP4K1,170.0,0.374128007,140.0,0.767089,0.187181793
MARCKSL1,768.0,0.468216312,206.0,1.446539,1.181084271
MAX,2676.0,0.337149475,479.0,-0.732779,-0.137290816
MBD2,3723.0,0.420256858,229.0,-0.626558,0.26029987
MBP,4041.0,0.393290432,264.0,1.066106,0.846458232
MCM2,662.0,0.460999542,110.0,1.616892,0.664986058
MCM4,2618.0,0.371821308,942.0,1.163353,0.720741766
MCM5,3214.0,0.470488076,94.0,1.172936,0.950501766
MDC1,658.0,0.415783633,440.0,-0.271505,-0.024691825
MDH1,210.0,0.381672323,435.0,0.760615,0.26123008
ME1,1535.0,0.411214685,265.0,0.837982,-0.177706419
ME3,171.0,0.395156177,377.0,-1.519979,-0.463006681
MECR,1365.0,0.445670958,612.0,1.225224,1.313597588
MED17,2631.0,0.366528813,275.0,0.330829,0.540675546
MED19,934.0,0.439623042,93.0,-0.148194,0.507397904
MED28,10307.0,0.440157501,27.0,0.067027,0.344613662
MED29,4550.0,0.464327351,57.0,-0.394783,0.082801364
MEN1,824.0,0.454590692,504.0,-0.057897,0.320080021
METTL13,961.0,0.396264071,347.0,0.192743,0.243163545
MGST3,1295.0,0.374563048,428.0,-0.354543,0.744980481
MIF4GD,787.0,0.397877071,137.0,-0.348233,0.853339499
MINK1,774.0,0.455972684,525.0,-0.589701,-0.144722464
MIS12,1334.0,0.420723459,745.0,-0.201303,-0.107011055
MLEC,5319.0,0.43043384,173.0,0.132122,0.529276341
MLLT10,2252.0,0.36295117,1568.0,1.028236,-0.181975244
MLX,1636.0,0.386664187,65.0,-0.777224,0.47810941
MMADHC,5382.0,0.406207656,205.0,0.174554,-0.78276487
MMGT1,4451.0,0.406300672,388.0,0.603864,0.754397681
MMP1,502.0,0.392399458,189.0,-0.37267,-0.813829661
MMP14,1722.0,0.419367787,285.0,-1.319568,0.065035189
MMP9,193.0,0.404253633,19.0,-2.310916,-1.08938605
MORC3,2052.0,0.406702124,375.0,0.232644,-0.086125302
MORF4L1,1066.0,0.420719378,454.0,-0.072448,0.17532224
MOV10,619.0,0.412681236,1415.0,0.745719,0.311735011
MPDU1,797.0,0.440676037,216.0,-1.875868,-0.874904048
MPHOSPH10,87.0,0.404440607,352.0,1.141707,0.728274663
MRI1,2018.0,0.459301832,75.0,0.408202,0.11165386
MRPL13,1075.0,0.395373051,313.0,0.012614,0.321297699
MRPL15,1888.0,0.407701507,63.0,0.882795,0.28547115
MRPL16,212.0,0.368940255,214.0,-0.924074,0.279538718
MRPL17,6554.0,0.424450505,105.0,-0.918578,0.620138402
MRPL2,580.0,0.458698472,164.0,0.168007,0.257673999
MRPL20,187.0,0.445765675,96.0,-0.975061,0.520116545
MRPL21,55.0,0.417448467,293.0,-0.212268,0.120691356
MRPL27,2133.0,0.436300758,31.0,-1.835366,0.505964672
MRPL40,113.0,0.406843086,653.0,-0.647603,0.178614529
MRPL46,1889.0,0.422788385,25.0,0.548084,0.614687773
MRPL48,1284.0,0.368940255,212.0,0.517792,0.336751886
MRPL51,2069.0,0.35376587,169.0,0.033941,0.460812656
MRPL53,198.0,0.441261883,155.0,-0.281663,-0.272259937
MRPL9,407.0,0.432679379,437.0,0.385235,0.513420653
MRPS11,2793.0,0.477818717,1491.0,0.558689,0.313002547
MRPS15,468.0,0.440649404,164.0,0.315348,0.708259351
MRPS17,1334.0,0.413812124,30.0,0.018797,0.504516045
MRPS18B,936.0,0.408462865,157.0,-0.60796,0.23845512
MRPS36,933.0,0.3748339,84.0,-1.325986,-0.256102999
MRPS7,453.0,0.455992019,233.0,-0.114011,0.330088683
MSI2,5168.0,0.366385762,173.0,-0.982678,-0.271519854
MSTO1,694.0,0.421389639,1152.0,0.826966,-0.108170973
MT1E,291.0,0.588704726,179.0,-0.439332,-1.999969522
MT2A,316.0,0.576670685,123.0,-1.418762,-1.371236994
MTA2,684.0,0.459443446,761.0,0.728403,0.38320194
MTFMT,1550.0,0.414190941,26.0,0.053538,0.690932712
MTHFS,1663.0,0.434592403,179.0,0.168231,0.387795096
MTMR1,2442.0,0.424163835,319.0,0.386595,0.028096153
MTMR14,421.0,0.371137969,151.0,0.043989,-0.14622014
MVP,50.0,0.435053297,193.0,-2.176378,-0.991198968
MX1,456.0,0.433488503,982.0,-1.277405,-1.102654619
MX2,1812.0,0.430094961,104.0,1.137591,-0.191616085
MYADM,2833.0,0.384589896,681.0,0.352918,-0.269915102
MYCBP,3972.0,0.381803634,73.0,0.292552,-0.462235022
MYL12A,812.0,0.453450746,478.0,-0.763831,-0.708688397
MYO18A,3647.0,0.395788337,484.0,-1.008517,-0.272694835
MYO9B,1401.0,0.398943925,152.0,0.668818,0.234763522
N6AMT1,5137.0,0.427535625,28.0,-0.389985,-0.076886321
NAA40,3212.0,0.389371031,261.0,1.255415,0.45666331
NAB1,2433.0,0.361024962,572.0,1.247861,0.587978675
NADK,1672.0,0.3959688,563.0,-1.512425,-0.520546383
NADSYN1,464.0,0.447848979,126.0,-0.156077,-0.229427528
NAGK,1297.0,0.42527382,474.0,-0.158096,-0.43656788
NANS,37.0,0.458552255,132.0,0.079253,-0.439766411
NAPA,1862.0,0.477781443,318.0,-0.143464,0.014237862
NAT10,4915.0,0.387474071,245.0,0.237897,0.5069009
NBAS,140.0,0.414580543,44.0,0.398816,-0.057629861
NCALD,2767.0,0.374888213,460.0,-2.207126,-1.37602367
NCAPD3,2971.0,0.431957579,606.0,0.326309,0.081453972
NCAPG2,3501.0,0.41630572,200.0,0.650793,-0.225747714
NCF1,2381.0,0.415579251,70.0,-1.809881,-0.019401018
NCK2,1267.0,0.457831152,276.0,0.734937,0.261451868
NCKIPSD,4981.0,0.449411541,126.0,-0.236823,-0.159479213
NCOA5,1332.0,0.416761948,402.0,0.258132,0.326655197
NCOA7,3259.0,0.404217869,470.0,2.773622,0.339594259
NDC80,61.0,0.356199389,182.0,-0.128678,-0.508142039
NDRG2,841.0,0.376266446,941.0,1.952515,0.560537328
NDUFA4,1685.0,0.439642808,129.0,0.741284,0.542612541
NEU1,667.0,0.413226082,156.0,-0.008525,-0.106713321
NFATC2IP,3242.0,0.412267479,15.0,-0.033608,-0.175037854
NFKB1,708.0,0.4099683,467.0,-0.614961,-0.505143158
NFKB2,153.0,0.424806573,563.0,-0.230891,-0.52937648
NFKBIE,1053.0,0.409138176,25.0,-0.566538,-0.164514396
NGDN,1255.0,0.423783924,27.0,-0.54802,0.810011705
NGRN,1679.0,0.414477409,50.0,0.318346,0.238136316
NINJ1,5217.0,0.455972644,71.0,-0.984165,0.092749206
NIP7,1593.0,0.443769116,318.0,1.097761,0.784538156
NIT2,2351.0,0.432361565,74.0,-0.070532,-0.099064358
NMNAT3,2689.0,0.397393877,1228.0,1.635592,1.098983151
NMT1,3377.0,0.454689408,31.0,-0.448482,-0.24935441
NONO,1092.0,0.432928506,710.0,0.341201,0.434384547
NOP14,912.0,0.38067473,187.0,0.17249,0.358785226
NOP2,785.0,0.393538298,198.0,0.633318,0.826291161
NOTCH2,6062.0,0.409327653,297.0,0.473385,0.142470253
NPTN,1068.0,0.388989686,197.0,-1.294853,-0.037758864
NR2C2,6271.0,0.390767743,362.0,0.771005,0.313292014
NRBF2,883.0,0.43605128,224.0,0.399216,0.147655553
NRF1,1901.0,0.447602651,500.0,0.529925,0.199340083
NRGN,833.0,0.413631862,152.0,0.80287,1.009783733
NRP1,3846.0,0.416817106,523.0,-1.981482,-0.323198092
NSFL1C,1587.0,0.42738001,868.0,-0.319281,-0.262015346
NSMAF,602.0,0.358586884,214.0,0.304379,-0.131341377
NTAN1,178.0,0.344459601,320.0,-1.413265,-0.139588751
NUBP1,246.0,0.455923678,142.0,-1.807212,-0.778382188
NUCKS1,5461.0,0.359398328,271.0,-0.087445,-0.327131861
NUDC,716.0,0.476401948,127.0,0.281377,0.394942818
NUDT16,5489.0,0.428387545,75.0,-1.005348,-0.422358311
NUMA1,663.0,0.474508115,436.0,-0.380319,0.188224546
NUP93,5678.0,0.382018893,495.0,1.668578,0.750935768
NXF1,2943.0,0.375826754,136.0,0.567348,0.345950313
OCIAD2,4872.0,0.363821488,322.0,0.632226,1.089692481
OGDH,1071.0,0.396078149,159.0,-0.192455,0.009413114
OPA3,7233.0,0.475004358,100.0,-0.46537,1.111425749
OSBPL2,2363.0,0.383456763,571.0,1.114517,0.488754639
OSBPL5,1099.0,0.381371042,158.0,-1.020553,-0.104442625
OVCA2,792.0,0.429983078,65.0,-0.992283,-0.524814852
P2RX4,573.0,0.442596273,304.0,-1.190002,-0.370142516
PAAF1,509.0,0.376143366,341.0,-0.813094,-0.373490335
PACSIN2,1591.0,0.413490434,405.0,-0.758261,-0.264501559
PARK7,451.0,0.457171775,163.0,-1.209185,-0.532356158
PARP1,769.0,0.460215809,171.0,-0.478721,0.0204006
PARP10,332.0,0.422654659,200.0,-1.266005,-0.539157037
PARP12,816.0,0.416480622,874.0,0.151981,-0.100820757
PARP14,2243.0,0.414355918,59.0,-1.204991,-0.230297705
PARP9,451.0,0.418102187,327.0,-1.333262,-0.324245754
PARVG,2043.0,0.383803232,484.0,2.169582,-0.117548026
PBK,750.0,0.413339119,464.0,-0.631654,-0.636458345
PCNA,338.0,0.425000199,239.0,0.021938,0.095324217
PDAP1,2007.0,0.464659554,134.0,0.11252,0.078550754
PDCD2,155.0,0.440448783,111.0,-0.421549,-0.177075433
PDCD2L,48.0,0.433436103,33.0,0.795012,0.364916065
PDCD6IP,3211.0,0.388727459,158.0,-0.189287,-0.068626094
PDHA1,2054.0,0.402514578,145.0,0.08774,-0.040012497
PDHB,2974.0,0.442593378,43.0,-1.181215,-0.029792596
PDLIM1,357.0,0.379179626,233.0,-1.1497,-1.146512571
PDXDC1,2055.0,0.375670185,335.0,-0.61044,-1.056321851
PDXK,6244.0,0.398158884,198.0,1.237474,0.094755846
PEBP1,796.0,0.360152166,326.0,0.334704,-0.272055796
PEF1,769.0,0.441759403,424.0,0.558736,0.161948987
PELO,5222.0,0.385240523,985.0,-1.120365,-0.004065653
PEPD,395.0,0.450896903,133.0,0.544171,-0.013018445
PEX16,585.0,0.43213601,312.0,-1.630536,-0.47709321
PEX6,946.0,0.370078344,93.0,0.518633,-0.085846064
PEX7,2294.0,0.407005497,102.0,-1.095583,-0.610659689
PFDN5,124.0,0.497062947,117.0,-1.111209,-0.554115649
PFDN6,574.0,0.470152145,222.0,-0.402218,-0.157807463
PGM1,570.0,0.393980016,681.0,0.027323,-0.238443966
PHB,988.0,0.45268542,190.0,-0.862155,-0.013054891
PHF10,104.0,0.365149381,79.0,0.834249,0.23008115
PI4K2A,2692.0,0.385068362,57.0,0.296859,0.87600757
PIAS1,3626.0,0.396022529,741.0,0.146765,0.259235085
PIK3AP1,3866.0,0.407313024,128.0,-2.379982,-0.549738001
PIR,205.0,0.385796208,485.0,-0.06994,-0.295516033
PITPNC1,4686.0,0.369070722,874.0,-0.362665,-0.403371119
PLA2G4C,585.0,0.406173977,398.0,-0.797614,-0.042306383
PLA2G7,1187.0,0.402486321,269.0,-0.796593,-0.223806871
PLAUR,323.0,0.418467601,226.0,1.070541,0.267699004
PLCB2,818.0,0.468984469,301.0,0.165219,-0.245656537
PLCG1,3987.0,0.454806205,121.0,2.141431,0.779303306
PLD4,273.0,0.377985619,192.0,-4.168123,-0.077270359
PLEKHO1,5192.0,0.424698037,839.0,0.634842,-0.024858568
PLEKHO2,2119.0,0.429714475,134.0,-1.869249,-0.517584551
PLSCR1,10376.0,0.415598704,388.0,-0.653509,0.098619309
PML,3324.0,0.431306474,140.0,-0.826582,-0.19407933
POLR1C,1131.0,0.439933821,86.0,0.625772,0.286580474
POLR1D,1469.0,0.427162265,456.0,-0.267466,0.237339164
POLR2F,1600.0,0.47244007,250.0,1.028879,0.748000951
POLR2H,1065.0,0.427596015,1167.0,0.404653,0.499265679
POLR3H,3481.0,0.444306047,388.0,-0.182265,0.443082012
POLR3K,1023.0,0.473025152,46.0,-1.542041,0.517728995
PPA2,660.0,0.432735716,20.0,0.580156,0.743050378
PPIE,4556.0,0.446406574,56.0,0.814156,-0.002051568
PPIL1,1921.0,0.453832883,252.0,0.265645,0.327703181
PPP1R14B,282.0,0.457456004,268.0,0.412096,-0.066369082
PRC1,1136.0,0.367783806,234.0,1.086651,0.426585972
PRCC,357.0,0.381841119,290.0,0.276412,0.282692752
PRDX1,303.0,0.414090753,341.0,-0.055752,-0.392219664
PRDX6,944.0,0.433706552,51.0,0.269968,-0.001814344
PREB,658.0,0.378530018,403.0,0.866701,0.52249733
PREP,579.0,0.425974009,233.0,1.765418,0.674183422
PRG4,784.0,0.366727173,51.0,-4.375026,-0.533565853
PRIM2,1166.0,0.350864643,125.0,0.740101,0.273519266
PRKAB1,1305.0,0.365943644,289.0,-0.153084,-0.195301526
PRKAR2A,5019.0,0.427443141,254.0,-0.538065,-0.062723279
PRKCB,5795.0,0.38010529,197.0,-1.83095,0.05527173
PRKCD,451.0,0.404392693,469.0,-0.991782,-0.718513724
PRKRA,683.0,0.420894136,659.0,0.092094,0.038274023
PRKRIP1,3224.0,0.453589322,55.0,0.084725,-0.035892705
PRMT5,393.0,0.386451423,508.0,-0.691279,-0.297812055
PRMT7,3655.0,0.450088803,850.0,0.443375,-0.171828999
PROCR,549.0,0.357872186,218.0,-1.172067,-0.437611104
PRPS1,3908.0,0.466551451,409.0,-0.710587,-0.701066817
PRPSAP1,2056.0,0.390811115,688.0,1.331384,0.017450953
PRRC1,3173.0,0.409170839,188.0,-0.242992,-0.234421149
PSMA5,2997.0,0.446573967,225.0,0.231627,-0.532080016
PSMA6,187.0,0.423632682,445.0,-1.182192,-0.47962716
PSMB10,58.0,0.455018511,128.0,-0.814101,-0.558456974
PSMB2,3775.0,0.389848815,412.0,0.832103,-0.5219262
PSMB8,242.0,0.411206622,522.0,-0.782649,-0.453451867
PSMB9,5497.0,0.431095699,69.0,-0.880339,-0.436959582
PSMC3,66.0,0.485654947,194.0,-1.249141,-0.192481557
PSMD11,2567.0,0.390095635,61.0,-0.141098,-0.138528348
PSMD13,384.0,0.437236365,242.0,-0.902329,-0.126949806
PSMD8,450.0,0.458928351,52.0,-0.117568,0.092237016
PSME2,53.0,0.443656162,65.0,-2.055028,-0.772398902
PSMG1,5308.0,0.427553471,578.0,1.302589,0.325867131
PSTPIP2,1923.0,0.429639796,96.0,0.43675,0.211712438
PTBP1,1504.0,0.473818895,106.0,-0.162644,-0.046099233
PTDSS1,3765.0,0.367954205,423.0,1.278909,0.882839416
PTGS1,3346.0,0.37260918,633.0,-2.749889,-0.284508454
PTP4A1,3419.0,0.421202001,1153.0,-0.227062,0.523432992
PTPMT1,1899.0,0.450492628,193.0,-1.261937,-0.342503079
PTPN18,2185.0,0.381656528,101.0,-0.363192,-0.006851794
PTPN7,1593.0,0.440747449,781.0,-1.887509,-0.139081577
PTPRE,2994.0,0.426620112,1843.0,-1.985348,-0.047207702
PTPRF,4571.0,0.452810321,356.0,1.469414,0.503219243
PTRH2,3186.0,0.370743372,1544.0,-0.884897,-0.444875023
PWWP2B,819.0,0.424412275,29.0,-1.010908,-0.568351628
PYCR2,578.0,0.474148407,230.0,-0.610187,-1.048971034
PYGL,175.0,0.392036998,127.0,-4.56633,-1.552566724
QARS,97.0,0.458996209,396.0,-0.451581,-0.23373436
RAB11FIP1,4277.0,0.380614122,56.0,-1.462402,-0.653392068
RAB12,1120.0,0.38483812,283.0,0.194136,0.417940072
RAB21,5246.0,0.435367738,267.0,-0.026854,0.405939507
RAB31,3231.0,0.437498832,175.0,-3.115264,-0.700639532
RAB35,2172.0,0.408841719,189.0,-0.135588,0.220517683
RAB7A,1376.0,0.419395127,232.0,-0.034824,0.466757072
RAB8B,4163.0,0.425956778,96.0,-1.462416,-0.068999299
RAB9A,1716.0,0.417525007,283.0,0.967212,1.110487352
RABGGTA,77.0,0.387342734,512.0,-0.597719,-0.157781995
RABGGTB,440.0,0.409412379,78.0,0.691272,-0.20377249
RABIF,4760.0,0.447399225,159.0,-0.986411,-0.306955647
RACGAP1,1895.0,0.366370127,354.0,0.458059,-0.106176999
RAD9A,924.0,0.444046557,185.0,0.655522,0.089324613
RAE1,1112.0,0.432613552,365.0,0.487084,0.273720954
RAI1,1472.0,0.455620822,469.0,-0.293658,-0.217092331
RAN,2043.0,0.442855294,361.0,0.617727,-3.36e-06
RANBP10,3359.0,0.379453562,1256.0,0.872876,0.190654301
RANGAP1,3145.0,0.481547647,765.0,-0.249777,0.256392512
RAPGEF1,2727.0,0.425793135,159.0,0.837542,0.221984849
RARS,114.0,0.423508657,41.0,-0.540496,-0.171947697
RASGRP2,183.0,0.381671176,582.0,-1.920645,0.203667566
RASGRP4,985.0,0.374724859,214.0,-2.601247,-0.36980252
RBBP4,6506.0,0.404056961,164.0,1.077377,0.451867678
RBBP5,3098.0,0.421849625,474.0,-0.042772,0.329492185
RBKS,251.0,0.392307233,1371.0,-1.478616,-0.754914016
RBM12,3599.0,0.375183789,304.0,-0.103976,0.024152357
RBM14,3443.0,0.468008211,139.0,0.444621,0.507874126
RBM4B,5277.0,0.396841232,170.0,0.004343,-0.011586524
RBMX,1201.0,0.353737079,210.0,0.079913,0.798794294
RBPJ,4223.0,0.4178224,518.0,-0.450009,0.321706801
RBX1,821.0,0.46562919,52.0,-1.207041,-0.521114828
RC3H1,7637.0,0.410085914,87.0,0.376064,-0.189249446
RCCD1,1773.0,0.374130224,280.0,2.328462,0.074816552
RCOR1,4070.0,0.439565312,228.0,1.416501,0.26085908
REEP4,591.0,0.460338979,469.0,-0.371939,0.329767917
REEP5,2962.0,0.457536941,144.0,-1.202972,0.146170397
RELB,408.0,0.418226182,131.0,-1.344147,-0.357269837
REPIN1,2683.0,0.45080531,489.0,0.688875,0.727116133
RET,2082.0,0.379562012,357.0,-6.076838,-0.856436006
RFC4,89.0,0.411167541,282.0,1.38447,0.094840277
RFK,1882.0,0.429285662,357.0,-0.100314,0.110099306
RFX5,1546.0,0.386685917,221.0,-0.086414,0.102221205
RFXAP,1850.0,0.421314391,156.0,0.100861,-0.183819403
RHBDF2,740.0,0.423256567,294.0,0.852539,0.657363661
RHOT2,568.0,0.454546166,881.0,-1.168174,-0.144807676
RINL,1279.0,0.357351373,413.0,1.804441,0.350588375
RNASEH1,4369.0,0.404567903,700.0,0.828683,0.469038066
RNASEH2B,3930.0,0.37625722,399.0,-0.142215,0.351534328
RNASET2,1070.0,0.374792559,407.0,0.803749,0.687465562
RNF114,1751.0,0.459950313,36.0,0.223444,0.151863433
RNF167,289.0,0.375291206,776.0,-0.140315,0.117929581
RNF20,5226.0,0.396317502,92.0,0.278102,0.02994154
RNF213,5288.0,0.417718743,150.0,-1.598945,-0.624395503
RNF216,2819.0,0.430061571,259.0,-0.450714,-0.194611759
RNF25,102.0,0.375620157,88.0,-1.088682,-0.648666086
RNF31,88.0,0.389352607,358.0,-0.63124,-0.361636352
RNLS,1252.0,0.416402283,135.0,-1.336818,-0.315765536
RNMT,4581.0,0.415128602,241.0,0.153833,0.452709551
RNPEP,463.0,0.447181346,896.0,-0.278448,-0.376489456
RP9,437.0,0.42869019,18.0,1.657186,1.087316633
RPA1,2907.0,0.381710028,170.0,-0.139849,0.209085427
RPA2,639.0,0.400070522,793.0,1.269635,0.262496053
RPAIN,471.0,0.394698889,570.0,0.134596,0.219847956
RPL11,461.0,0.442317923,45.0,1.350707,0.005052627
RPL14,5208.0,0.496792394,133.0,0.764545,-0.113261547
RPL23,3146.0,0.464880603,90.0,-0.147408,0.182280949
RPL26,53.0,0.427802183,389.0,0.022754,0.83009234
RPL31,1260.0,0.451994935,87.0,1.134254,0.296439353
RPL34,1350.0,0.436455219,198.0,0.931128,0.696908167
RPL5,1058.0,0.451564158,75.0,1.872317,0.741866175
RPL7,1077.0,0.460258279,707.0,1.198393,0.430966715
RPS11,373.0,0.483080585,92.0,1.089676,0.434740585
RPS24,4247.0,0.430653047,142.0,1.393249,0.314601482
RPS25,109.0,0.467193878,63.0,0.060323,0.849702776
RPS27A,743.0,0.450449292,321.0,1.44372,0.10821838
RPS3A,306.0,0.426765211,80.0,1.596412,0.383556897
RPS4X,629.0,0.442998752,96.0,1.240431,0.253989358
RPS6,2723.0,0.413925579,42.0,2.37743,0.756430952
RPS6KA1,828.0,0.389798854,163.0,-0.170656,-0.096298964
RPS6KA4,735.0,0.38455359,226.0,-1.011326,-0.330332291
RPS7,66.0,0.428822459,109.0,2.239722,0.216956069
RPTOR,2341.0,0.385169267,805.0,0.399502,0.20900424
RREB1,3012.0,0.456825357,492.0,-1.107878,-0.212592602
RRM1,2304.0,0.437568848,689.0,-0.778672,-0.509395143
RRP8,5071.0,0.446233376,148.0,-0.601936,0.250356888
RRS1,978.0,0.468289248,104.0,-0.392655,1.356515754
RTN3,1690.0,0.358048129,187.0,0.346529,0.434842272
RTN4IP1,1108.0,0.372133716,477.0,-0.223348,-0.254222698
RUNX1,4334.0,0.416076551,1578.0,0.753908,0.698227085
RUNX3,2611.0,0.405217602,439.0,2.990673,0.055433295
RWDD1,6365.0,0.401367905,746.0,-0.539312,-1.029100487
S100A8,71.0,0.444112716,170.0,-2.206215,-2.234572518
S100A9,189.0,0.439508357,43.0,-2.005898,-2.691006421
SAMD9,1815.0,0.395660052,270.0,-3.278759,-0.762405932
SAMD9L,1162.0,0.396305952,1248.0,-2.173743,-0.329710705
SAMM50,150.0,0.345249646,197.0,-0.937499,0.466594921
SAMSN1,684.0,0.407246581,430.0,-2.174774,-0.355909205
SAP18,1754.0,0.427429047,39.0,-0.837466,0.462167893
SAP30BP,1541.0,0.449617255,257.0,0.647257,0.15675271
SAR1A,5213.0,0.411769389,203.0,0.294817,-0.191438009
SAR1B,5806.0,0.392367964,253.0,-2.385057,-0.904911901
SARS,1054.0,0.40098191,100.0,0.366873,0.268775967
SASH3,1369.0,0.387406112,182.0,-2.281634,-0.327219547
SCAMP4,1741.0,0.472519575,351.0,-1.48424,-0.490173669
SCO1,8645.0,0.407339367,61.0,-0.734841,0.368591699
SDCCAG8,307.0,0.360606297,1542.0,0.448359,-0.054414129
SEC11C,205.0,0.423646802,92.0,-0.117326,0.040193273
SEC13,332.0,0.457264526,210.0,0.669907,-0.35426838
SEC14L1,2986.0,0.420320088,665.0,0.087629,-0.679553631
SEC22A,2559.0,0.422343815,79.0,0.126375,-0.130397427
SEC24B,1221.0,0.400931805,155.0,0.313591,-0.083710511
SEC24D,2115.0,0.386600041,297.0,-2.03474,-0.821338133
SEC61B,270.0,0.404562259,76.0,-0.074174,1.113679373
