,3prime,tAI,max_5_UTR_length,TCGA-AN-A0AL,TCGA-AN-A0AL.1
IFITM1,159.0,0.431550176,180.0,0.420969,0.472735772
IFT27,109.0,0.4030938,426.0,-1.772975,-1.036020574
IGFBP3,1605.0,0.43060006,132.0,1.169418,0.681735203
IGFBP7,558.0,0.392734536,34.0,0.565832,-0.194184556
IKBKE,745.0,0.435100597,714.0,1.069355,0.42084368
IL16,3965.0,0.367979445,2395.0,0.037108,-0.770328808
IL1RN,1145.0,0.411881061,408.0,1.227084,0.415930093
IL4I1,16.0,0.4139018,621.0,3.282792,1.095594808
ILF2,656.0,0.426220446,239.0,0.397689,-0.185428903
IMPA2,2898.0,0.383680893,242.0,1.430624,0.712424356
INO80,5209.0,0.374025479,351.0,-0.218659,-0.109219915
INPP1,263.0,0.395712795,700.0,2.70446,1.26214781
INPP5D,1195.0,0.436077769,512.0,0.757189,-0.238687733
INSR,4801.0,0.380857973,411.0,-0.533677,-0.022452406
IPO5,2508.0,0.381335948,180.0,0.300328,0.459919417
IRF7,92.0,0.423538356,367.0,0.275439,-0.667023585
IRF9,369.0,0.432057622,127.0,0.630715,0.03107239
IRGQ,7659.0,0.399674011,156.0,0.097622,0.216943348
ISCU,607.0,0.454630229,1331.0,-0.257356,-0.170167605
ISG15,62.0,0.419522688,77.0,2.378526,-0.604283116
ISG20,952.0,0.419932377,2368.0,2.044162,0.060702679
ISOC1,1056.0,0.418535314,18.0,-0.872178,-0.583415736
ITGB2,415.0,0.457304004,395.0,0.05386,0.054781452
ITPKB,2981.0,0.440250717,340.0,-0.60009,-0.44482615
ITPRIP,5382.0,0.396785481,453.0,0.842425,1.802500277
JUNB,496.0,0.414023332,276.0,0.603373,0.078280746
JUP,157.0,0.458302936,298.0,-0.363101,0.217413488
KANK2,2291.0,0.394238955,361.0,0.038679,-0.119259342
KARS,4202.0,0.383913431,144.0,0.277704,-0.138864165
KCNN4,560.0,0.425737469,396.0,3.239503,0.867076649
KDM1A,327.0,0.428444011,149.0,0.305368,-0.062869604
KDM2A,3716.0,0.372295488,864.0,0.675303,0.437554865
KDM2B,2488.0,0.393022165,407.0,0.127192,0.278980681
KDM3B,1327.0,0.37791414,200.0,-1.151909,-0.3046308
KDM4A,1148.0,0.378142374,166.0,-0.033548,0.19839885
KHSRP,1024.0,0.456900489,110.0,-0.302288,-0.242763346
KIAA2013,727.0,0.385456054,191.0,0.748959,0.576207502
KIF20A,757.0,0.371463873,496.0,1.226086,0.495740017
KIF22,75.0,0.392489541,388.0,-0.483251,-0.017757824
KIF2C,588.0,0.387865377,395.0,1.695639,0.368158769
KIF3B,3792.0,0.390782105,180.0,-0.625337,-0.375118395
KIF5B,3198.0,0.418236129,470.0,-0.664004,0.286784835
KLHL7,3616.0,0.41595405,521.0,0.349058,0.059185803
KTI12,594.0,0.370414154,39.0,0.624912,0.134927193
LAMP1,1311.0,0.390985106,281.0,1.019354,0.563643272
LANCL2,2422.0,0.433733517,578.0,-0.182229,-0.385399055
LAP3,503.0,0.426841798,162.0,0.684865,-1.163433925
LDHD,1826.0,0.398770776,52.0,-2.374179,-0.425580826
LGALS3,159.0,0.420172221,88.0,1.691747,0.948685405
LGALS3BP,1225.0,0.419930622,179.0,1.513021,-0.06798599
LGALS9,641.0,0.410654931,118.0,1.276834,0.355171234
LIN54,4893.0,0.441729058,383.0,0.128454,0.111046962
LPCAT1,2228.0,0.380803123,133.0,0.016419,-0.072472383
LPXN,1776.0,0.432350833,254.0,1.016715,-0.418849811
LRPPRC,2376.0,0.377375074,58.0,-0.173084,0.61417291
LRRC25,843.0,0.434491636,642.0,0.783175,-0.010372771
LRRC41,465.0,0.438391248,44.0,0.337405,-0.041652396
LRRC59,1755.0,0.423067849,236.0,0.496338,0.030606837
LSM1,486.0,0.409616526,410.0,0.574782,-0.372688076
LSM6,1871.0,0.435100303,139.0,-0.145036,-0.449043173
LTA4H,391.0,0.355044638,145.0,-0.077467,-0.151814799
LYN,4058.0,0.418972994,282.0,2.290362,1.408082724
LYPLAL1,1137.0,0.3973742,157.0,-1.18101,-0.765804047
LYRM4,6830.0,0.366844497,217.0,-0.697678,-0.047937755
LYSMD2,596.0,0.394037378,501.0,0.51015,-0.006672229
M6PR,1457.0,0.379162834,275.0,-0.490935,0.366993195
MAD2L1,4528.0,0.407191351,124.0,0.563536,-0.081720075
MAGED2,327.0,0.466698843,233.0,-1.909663,-0.578420465
MAGOH,153.0,0.416054235,162.0,0.793158,0.008364542
MAN2B1,128.0,0.381728903,76.0,0.452225,0.061447038
MANF,717.0,0.420319188,97.0,0.335422,-0.315389883
MAP4K1,170.0,0.374128007,140.0,1.244182,-0.851300005
MARCKSL1,768.0,0.468216312,206.0,0.593539,1.059649855
MAX,2676.0,0.337149475,479.0,-0.083144,-0.199509871
MBD2,3723.0,0.420256858,229.0,-0.026518,-0.068025448
MBP,4041.0,0.393290432,264.0,0.080351,0.074601974
MCM2,662.0,0.460999542,110.0,1.086624,0.372722547
MCM4,2618.0,0.371821308,942.0,0.26185,0.352932699
MCM5,3214.0,0.470488076,94.0,2.268106,0.648545434
MDC1,658.0,0.415783633,440.0,-0.47028,-0.20762264
MDH1,210.0,0.381672323,435.0,0.738223,0.033765504
ME1,1535.0,0.411214685,265.0,0.365859,-0.794545462
ME3,171.0,0.395156177,377.0,0.289356,0.346872573
MECR,1365.0,0.445670958,612.0,0.745581,0.211474227
MED17,2631.0,0.366528813,275.0,0.250622,0.094906225
MED19,934.0,0.439623042,93.0,0.500536,0.327139948
MED28,10307.0,0.440157501,27.0,0.294215,-0.116185752
MED29,4550.0,0.464327351,57.0,-0.300368,-0.144736912
MEN1,824.0,0.454590692,504.0,0.535098,0.312215365
METTL13,961.0,0.396264071,347.0,0.926937,0.144892033
MGST3,1295.0,0.374563048,428.0,0.008925,0.4417513
MIF4GD,787.0,0.397877071,137.0,-0.146874,-0.157515603
MINK1,774.0,0.455972684,525.0,-0.574124,0.09985892
MIS12,1334.0,0.420723459,745.0,-0.38606,-0.536306926
MLEC,5319.0,0.43043384,173.0,0.734296,0.650413553
MLLT10,2252.0,0.36295117,1568.0,-0.721558,0.01065119
MLX,1636.0,0.386664187,65.0,-0.258706,0.61630548
MMADHC,5382.0,0.406207656,205.0,0.385372,0.165182925
MMGT1,4451.0,0.406300672,388.0,0.025291,0.609149121
MMP1,502.0,0.392399458,189.0,4.240161,0.145302422
MMP14,1722.0,0.419367787,285.0,1.130809,0.558473498
MMP9,193.0,0.404253633,19.0,1.240849,-0.989489017
MORC3,2052.0,0.406702124,375.0,-0.477806,0.256916669
MORF4L1,1066.0,0.420719378,454.0,0.074057,-0.131861332
MOV10,619.0,0.412681236,1415.0,-0.161667,-0.111955135
MPDU1,797.0,0.440676037,216.0,0.323318,0.156212902
MPHOSPH10,87.0,0.404440607,352.0,-0.057906,0.008575653
MRI1,2018.0,0.459301832,75.0,-0.746059,-0.246351597
MRPL13,1075.0,0.395373051,313.0,-0.096642,-0.070736988
MRPL15,1888.0,0.407701507,63.0,0.355227,0.161085165
MRPL16,212.0,0.368940255,214.0,0.435464,-0.076586376
MRPL17,6554.0,0.424450505,105.0,-0.033224,-0.298022348
MRPL2,580.0,0.458698472,164.0,1.110177,-0.178966685
MRPL20,187.0,0.445765675,96.0,0.662884,-0.422220898
MRPL21,55.0,0.417448467,293.0,0.585709,0.071074635
MRPL27,2133.0,0.436300758,31.0,-0.083035,-0.001712519
MRPL40,113.0,0.406843086,653.0,0.343955,-0.010246109
MRPL46,1889.0,0.422788385,25.0,0.03564,0.262990494
MRPL48,1284.0,0.368940255,212.0,1.414513,0.007951786
MRPL51,2069.0,0.35376587,169.0,0.224909,-0.119223511
MRPL53,198.0,0.441261883,155.0,0.26414,-0.235835468
MRPL9,407.0,0.432679379,437.0,0.02227,0.072808275
MRPS11,2793.0,0.477818717,1491.0,0.99299,0.413621648
MRPS15,468.0,0.440649404,164.0,0.664934,-0.168981667
MRPS17,1334.0,0.413812124,30.0,0.445366,0.162186076
MRPS18B,936.0,0.408462865,157.0,-0.656749,-0.087278281
MRPS36,933.0,0.3748339,84.0,-0.644184,-0.09414392
MRPS7,453.0,0.455992019,233.0,0.292027,0.093213323
MSI2,5168.0,0.366385762,173.0,-0.909644,-0.609132649
MSTO1,694.0,0.421389639,1152.0,-1.163781,-0.69058873
MT1E,291.0,0.588704726,179.0,2.119769,-0.013926566
MT2A,316.0,0.576670685,123.0,0.671165,-0.189970392
MTA2,684.0,0.459443446,761.0,0.933173,0.200914535
MTFMT,1550.0,0.414190941,26.0,0.222651,0.105009445
MTHFS,1663.0,0.434592403,179.0,0.143231,-0.165702985
MTMR1,2442.0,0.424163835,319.0,-0.860519,-0.225109254
MTMR14,421.0,0.371137969,151.0,-0.334513,-0.296324846
MVP,50.0,0.435053297,193.0,0.641765,0.530013543
MX1,456.0,0.433488503,982.0,2.098381,0.123763832
MX2,1812.0,0.430094961,104.0,1.628418,-0.005437191
MYADM,2833.0,0.384589896,681.0,0.316179,0.112303579
MYCBP,3972.0,0.381803634,73.0,-0.229187,0.081304088
MYL12A,812.0,0.453450746,478.0,0.388604,0.516007745
MYO18A,3647.0,0.395788337,484.0,-0.34548,-0.192997465
MYO9B,1401.0,0.398943925,152.0,0.119413,0.023475841
N6AMT1,5137.0,0.427535625,28.0,-0.70411,-0.441585891
NAA40,3212.0,0.389371031,261.0,0.025309,0.127429473
NAB1,2433.0,0.361024962,572.0,1.453187,0.577675666
NADK,1672.0,0.3959688,563.0,-0.230955,-0.12244076
NADSYN1,464.0,0.447848979,126.0,0.887876,0.483471297
NAGK,1297.0,0.42527382,474.0,0.109379,-0.261607297
NANS,37.0,0.458552255,132.0,0.614219,-0.161548983
NAPA,1862.0,0.477781443,318.0,0.3252,0.216358343
NAT10,4915.0,0.387474071,245.0,-0.08654,0.228351128
NBAS,140.0,0.414580543,44.0,-0.372736,-0.115741869
NCALD,2767.0,0.374888213,460.0,1.211116,0.177078115
NCAPD3,2971.0,0.431957579,606.0,0.215683,0.420225934
NCAPG2,3501.0,0.41630572,200.0,1.410793,0.388514889
NCF1,2381.0,0.415579251,70.0,1.622448,-0.401595956
NCK2,1267.0,0.457831152,276.0,1.658097,0.94430738
NCKIPSD,4981.0,0.449411541,126.0,-0.813071,-0.095508643
NCOA5,1332.0,0.416761948,402.0,-0.103972,-0.016601809
NCOA7,3259.0,0.404217869,470.0,1.232059,0.020929221
NDC80,61.0,0.356199389,182.0,1.928908,0.486405858
NDRG2,841.0,0.376266446,941.0,2.92372,1.292876822
NDUFA4,1685.0,0.439642808,129.0,1.282218,-0.057434771
NEU1,667.0,0.413226082,156.0,-0.189589,-0.093181541
NFATC2IP,3242.0,0.412267479,15.0,-1.232962,-0.573078275
NFKB1,708.0,0.4099683,467.0,0.363337,0.157693095
NFKB2,153.0,0.424806573,563.0,0.37611,0.141789913
NFKBIE,1053.0,0.409138176,25.0,2.485536,0.68536994
NGDN,1255.0,0.423783924,27.0,-0.04481,0.184467933
NGRN,1679.0,0.414477409,50.0,-0.084331,0.18255041
NINJ1,5217.0,0.455972644,71.0,0.074685,0.766811392
NIP7,1593.0,0.443769116,318.0,0.393678,0.007788685
NIT2,2351.0,0.432361565,74.0,-0.232248,-0.230415656
NMNAT3,2689.0,0.397393877,1228.0,-1.729412,-0.674248548
NMT1,3377.0,0.454689408,31.0,-0.441987,-0.268129248
NONO,1092.0,0.432928506,710.0,0.043987,0.132241224
NOP14,912.0,0.38067473,187.0,-0.212094,-0.16740083
NOP2,785.0,0.393538298,198.0,0.461144,0.208291129
NOTCH2,6062.0,0.409327653,297.0,-0.329816,0.27490559
NPTN,1068.0,0.388989686,197.0,-0.030878,0.629283485
NR2C2,6271.0,0.390767743,362.0,-1.161227,-0.221937598
NRBF2,883.0,0.43605128,224.0,-0.065442,0.029251658
NRF1,1901.0,0.447602651,500.0,-0.237033,-0.100418583
NRGN,833.0,0.413631862,152.0,1.458462,-0.280445733
NRP1,3846.0,0.416817106,523.0,0.426409,0.055339181
NSFL1C,1587.0,0.42738001,868.0,0.372449,-0.123616369
NSMAF,602.0,0.358586884,214.0,-0.064024,0.167127892
NTAN1,178.0,0.344459601,320.0,-0.107017,-0.220974109
NUBP1,246.0,0.455923678,142.0,-0.122695,-0.143584024
NUCKS1,5461.0,0.359398328,271.0,-0.438493,0.403665735
NUDC,716.0,0.476401948,127.0,0.458715,0.108236169
NUDT16,5489.0,0.428387545,75.0,-0.876518,-0.519541703
NUMA1,663.0,0.474508115,436.0,-0.648765,0.03138946
NUP93,5678.0,0.382018893,495.0,0.470012,0.038161777
NXF1,2943.0,0.375826754,136.0,-0.218419,0.082599041
OCIAD2,4872.0,0.363821488,322.0,0.745141,1.220431712
OGDH,1071.0,0.396078149,159.0,1.153829,0.464726684
OPA3,7233.0,0.475004358,100.0,1.03765,0.805038884
OSBPL2,2363.0,0.383456763,571.0,0.061014,0.271314238
OSBPL5,1099.0,0.381371042,158.0,-0.544924,0.4318291
OVCA2,792.0,0.429983078,65.0,0.395735,-0.072762332
P2RX4,573.0,0.442596273,304.0,0.529854,1.013115057
PAAF1,509.0,0.376143366,341.0,-0.153374,-0.214916245
PACSIN2,1591.0,0.413490434,405.0,1.499638,1.014849978
PARK7,451.0,0.457171775,163.0,-0.285956,-0.536799644
PARP1,769.0,0.460215809,171.0,-0.669628,-0.823651323
PARP10,332.0,0.422654659,200.0,0.079892,-0.123505222
PARP12,816.0,0.416480622,874.0,1.074655,-0.074128826
PARP14,2243.0,0.414355918,59.0,0.019658,-0.197737011
PARP9,451.0,0.418102187,327.0,0.546655,0.136169252
PARVG,2043.0,0.383803232,484.0,0.537763,-0.179884505
PBK,750.0,0.413339119,464.0,1.832535,0.821307342
PCNA,338.0,0.425000199,239.0,0.622589,0.095364026
PDAP1,2007.0,0.464659554,134.0,0.3957,0.472925816
PDCD2,155.0,0.440448783,111.0,0.287698,-0.186543416
PDCD2L,48.0,0.433436103,33.0,0.318085,0.057811145
PDCD6IP,3211.0,0.388727459,158.0,-0.959665,-0.386759818
PDHA1,2054.0,0.402514578,145.0,1.497989,0.371316253
PDHB,2974.0,0.442593378,43.0,-0.478597,0.351591635
PDLIM1,357.0,0.379179626,233.0,-0.064966,-0.495226554
PDXDC1,2055.0,0.375670185,335.0,-0.60146,0.086234635
PDXK,6244.0,0.398158884,198.0,1.560214,0.433809468
PEBP1,796.0,0.360152166,326.0,-0.001423,-0.330762979
PEF1,769.0,0.441759403,424.0,0.600702,0.064287615
PELO,5222.0,0.385240523,985.0,0.071226,-0.415679031
PEPD,395.0,0.450896903,133.0,-0.711651,-0.583706473
PEX16,585.0,0.43213601,312.0,0.888347,0.459407514
PEX6,946.0,0.370078344,93.0,0.247382,0.147500604
PEX7,2294.0,0.407005497,102.0,-1.230982,-0.036855536
PFDN5,124.0,0.497062947,117.0,-0.634021,-0.279041511
PFDN6,574.0,0.470152145,222.0,-0.167394,-0.245794894
PGM1,570.0,0.393980016,681.0,1.218727,0.52535072
PHB,988.0,0.45268542,190.0,-0.287284,-0.556180058
PHF10,104.0,0.365149381,79.0,-0.02838,-0.19374045
PI4K2A,2692.0,0.385068362,57.0,0.025073,0.095420248
PIAS1,3626.0,0.396022529,741.0,-0.250075,0.104143415
PIGH,1430.0,0.434471606,98.0,0.399482,0.444946287
PIK3AP1,3866.0,0.407313024,128.0,2.537542,1.082170721
PIR,205.0,0.385796208,485.0,2.076094,0.975340695
PITPNC1,4686.0,0.369070722,874.0,0.188497,0.081745734
PLA2G7,1187.0,0.402486321,269.0,1.257774,0.447244469
PLAUR,323.0,0.418467601,226.0,1.308805,0.514157347
PLCB2,818.0,0.468984469,301.0,-0.307931,-0.286211733
PLCG1,3987.0,0.454806205,121.0,-0.299969,0.065482842
PLD4,273.0,0.377985619,192.0,0.428653,-0.138233328
PLEKHO1,5192.0,0.424698037,839.0,0.470641,-0.278242391
PLEKHO2,2119.0,0.429714475,134.0,0.038454,-0.309015072
PLSCR1,10376.0,0.415598704,388.0,1.251788,0.812154113
PML,3324.0,0.431306474,140.0,1.007291,0.158504128
POLR1C,1131.0,0.439933821,86.0,0.445154,-0.177895077
POLR1D,1469.0,0.427162265,456.0,0.33059,-0.098732651
POLR2F,1600.0,0.47244007,250.0,1.7033,-0.210999544
POLR2H,1065.0,0.427596015,1167.0,0.589148,0.013424363
POLR3H,3481.0,0.444306047,388.0,1.089108,-0.27103666
POLR3K,1023.0,0.473025152,46.0,-0.729794,-0.906340577
PPA2,660.0,0.432735716,20.0,0.51424,0.476765
PPIE,4556.0,0.446406574,56.0,0.386375,-0.263738183
PPIL1,1921.0,0.453832883,252.0,0.262871,-0.057110875
PPP1R14B,282.0,0.457456004,268.0,1.895129,0.285041962
PPP1R3G,2923.0,0.390061911,0.0,1.620088,0.483180492
PRC1,1136.0,0.367783806,234.0,1.32234,0.608126298
PRCC,357.0,0.381841119,290.0,0.022773,-0.209574705
PRDX1,303.0,0.414090753,341.0,0.126219,-0.287117377
PRDX6,944.0,0.433706552,51.0,-0.460102,-0.334173192
PREB,658.0,0.378530018,403.0,0.61976,-0.002328348
PREP,579.0,0.425974009,233.0,0.267527,-0.160905928
PRG4,784.0,0.366727173,51.0,-2.564688,0.544347257
PRIM2,1166.0,0.350864643,125.0,0.412621,0.471913819
PRKAB1,1305.0,0.365943644,289.0,-0.081784,0.206205624
PRKAR2A,5019.0,0.427443141,254.0,-1.103566,-0.200603728
PRKCB,5795.0,0.38010529,197.0,1.149199,-0.587670177
PRKCD,451.0,0.404392693,469.0,-0.315205,-0.373174317
PRKRA,683.0,0.420894136,659.0,1.088756,0.65534209
PRKRIP1,3224.0,0.453589322,55.0,-0.188762,-0.100154384
PRMT5,393.0,0.386451423,508.0,-0.196431,-0.022992398
PRMT7,3655.0,0.450088803,850.0,0.276478,0.227645932
PROCR,549.0,0.357872186,218.0,0.609588,-0.415984936
PRPS1,3908.0,0.466551451,409.0,-0.076433,-0.249442209
PRPSAP1,2056.0,0.390811115,688.0,0.349858,0.226014036
PRRC1,3173.0,0.409170839,188.0,-0.453205,-0.316592418
PSMA5,2997.0,0.446573967,225.0,0.711543,-0.170332462
PSMA6,187.0,0.423632682,445.0,0.513611,-0.062044537
PSMB10,58.0,0.455018511,128.0,1.134692,-0.282808132
PSMB2,3775.0,0.389848815,412.0,0.874083,-0.13423635
PSMB8,242.0,0.411206622,522.0,0.694261,-0.087345167
PSMB9,5497.0,0.431095699,69.0,1.131462,-0.115155266
PSMC3,66.0,0.485654947,194.0,0.939684,0.001029831
PSMD11,2567.0,0.390095635,61.0,-0.121216,0.016211434
PSMD13,384.0,0.437236365,242.0,-0.046791,-0.021248278
PSMD8,450.0,0.458928351,52.0,0.128378,0.046751363
PSME2,53.0,0.443656162,65.0,0.814555,-0.202378203
PSMG1,5308.0,0.427553471,578.0,0.695406,0.13438466
PSTPIP2,1923.0,0.429639796,96.0,-0.995759,-0.65113325
PTBP1,1504.0,0.473818895,106.0,0.226711,-0.129962275
PTDSS1,3765.0,0.367954205,423.0,0.158981,0.515667062
PTGS1,3346.0,0.37260918,633.0,-0.691502,-0.097306512
PTP4A1,3419.0,0.421202001,1153.0,0.568635,0.032957849
PTPMT1,1899.0,0.450492628,193.0,-0.017385,0.139637119
PTPN18,2185.0,0.381656528,101.0,0.076496,0.124506356
PTPN7,1593.0,0.440747449,781.0,1.540792,-0.403400058
PTPRE,2994.0,0.426620112,1843.0,-0.02622,-0.020734277
PTPRF,4571.0,0.452810321,356.0,0.314776,-0.107153278
PTRH2,3186.0,0.370743372,1544.0,0.292153,-0.172906569
PWWP2B,819.0,0.424412275,29.0,0.529545,0.420275534
PYCR2,578.0,0.474148407,230.0,-0.759295,-0.714369829
PYGL,175.0,0.392036998,127.0,1.225363,0.344647787
QARS,97.0,0.458996209,396.0,-0.51236,0.103216239
RAB11FIP1,4277.0,0.380614122,56.0,0.702274,0.317449777
RAB12,1120.0,0.38483812,283.0,-0.026361,0.273139092
RAB21,5246.0,0.435367738,267.0,0.976753,0.910980043
RAB31,3231.0,0.437498832,175.0,0.00086,-0.273026197
RAB35,2172.0,0.408841719,189.0,0.359397,0.378576597
RAB7A,1376.0,0.419395127,232.0,0.441699,0.6937036
RAB8B,4163.0,0.425956778,96.0,0.259563,0.459440707
RAB9A,1716.0,0.417525007,283.0,0.989046,0.768728467
RABGGTA,77.0,0.387342734,512.0,-0.075419,-0.201096122
RABGGTB,440.0,0.409412379,78.0,-0.925646,-0.538969544
RABIF,4760.0,0.447399225,159.0,-0.170624,-0.429308523
RACGAP1,1895.0,0.366370127,354.0,0.136915,0.760500538
RAD9A,924.0,0.444046557,185.0,0.343529,0.057196133
RAE1,1112.0,0.432613552,365.0,-0.009374,-0.163364652
RAI1,1472.0,0.455620822,469.0,0.228527,0.269379048
RAN,2043.0,0.442855294,361.0,0.552461,-0.216757147
RANBP10,3359.0,0.379453562,1256.0,-0.236085,0.101277889
RANGAP1,3145.0,0.481547647,765.0,1.350841,0.222225168
RAPGEF1,2727.0,0.425793135,159.0,0.186856,0.054300741
RARS,114.0,0.423508657,41.0,-0.283683,-0.133375553
RASGRP4,985.0,0.374724859,214.0,0.100425,0.639058873
RBBP4,6506.0,0.404056961,164.0,0.13443,-0.01301018
RBBP5,3098.0,0.421849625,474.0,-0.478431,0.027835407
RBKS,251.0,0.392307233,1371.0,-0.84909,-0.512959495
RBM12,3599.0,0.375183789,304.0,-0.342076,-0.153485467
RBM14,3443.0,0.468008211,139.0,0.134018,0.089120687
RBM4B,5277.0,0.396841232,170.0,-0.558736,-0.251229177
RBMX,1201.0,0.353737079,210.0,-0.101857,0.251778381
RBPJ,4223.0,0.4178224,518.0,-0.153954,0.152682811
RBX1,821.0,0.46562919,52.0,1.522537,-0.375523045
RC3H1,7637.0,0.410085914,87.0,-0.562117,0.056444505
RCCD1,1773.0,0.374130224,280.0,1.095311,-0.400687985
RCOR1,4070.0,0.439565312,228.0,-0.314782,0.131285656
REEP4,591.0,0.460338979,469.0,1.128604,0.163146171
REEP5,2962.0,0.457536941,144.0,-0.300239,-0.168266543
RELB,408.0,0.418226182,131.0,1.442259,0.364754968
REPIN1,2683.0,0.45080531,489.0,0.127984,0.473342841
RFC4,89.0,0.411167541,282.0,1.273032,0.244663702
RFK,1882.0,0.429285662,357.0,0.56075,-0.028676747
RFX5,1546.0,0.386685917,221.0,-0.309246,0.235634036
RFXAP,1850.0,0.421314391,156.0,0.241678,0.171211476
RHBDF2,740.0,0.423256567,294.0,0.763076,0.513250442
RHOT2,568.0,0.454546166,881.0,-0.360181,0.045042935
RNASE2,179.0,0.384567964,71.0,1.963505,-0.191715084
RNASEH1,4369.0,0.404567903,700.0,0.793253,0.421669355
RNASEH2B,3930.0,0.37625722,399.0,0.088625,0.244954115
RNASET2,1070.0,0.374792559,407.0,1.008125,0.379401925
RNF114,1751.0,0.459950313,36.0,0.133401,0.072667356
RNF167,289.0,0.375291206,776.0,0.036001,-0.165817966
RNF20,5226.0,0.396317502,92.0,-0.367821,-0.010745211
RNF213,5288.0,0.417718743,150.0,-0.353625,-0.153230124
RNF216,2819.0,0.430061571,259.0,0.511247,0.11891814
RNF25,102.0,0.375620157,88.0,0.863647,0.1434807
RNF31,88.0,0.389352607,358.0,0.302244,-0.276952678
RNLS,1252.0,0.416402283,135.0,0.189916,0.004224403
RNMT,4581.0,0.415128602,241.0,-0.740093,-0.190877888
RNPEP,463.0,0.447181346,896.0,0.232439,-0.108022977
RP9,437.0,0.42869019,18.0,0.789842,0.783965394
RPA1,2907.0,0.381710028,170.0,-0.163173,0.061951325
RPA2,639.0,0.400070522,793.0,0.127157,0.026843647
RPAIN,471.0,0.394698889,570.0,-0.788606,-0.416966725
RPL11,461.0,0.442317923,45.0,-0.395731,-0.154549502
RPL14,5208.0,0.496792394,133.0,-1.043456,-0.371604872
RPL23,3146.0,0.464880603,90.0,-1.003135,0.103541249
RPL26,53.0,0.427802183,389.0,-1.122026,-0.237858897
RPL31,1260.0,0.451994935,87.0,-0.645653,-0.357071282
RPL34,1350.0,0.436455219,198.0,-0.822048,-1.072481878
RPL5,1058.0,0.451564158,75.0,-0.415275,-0.433016944
RPL7,1077.0,0.460258279,707.0,-0.909154,-0.75767126
RPS11,373.0,0.483080585,92.0,-0.298077,-0.046420054
RPS24,4247.0,0.430653047,142.0,-0.946381,-0.325118706
RPS25,109.0,0.467193878,63.0,0.142759,0.04615191
RPS27A,743.0,0.450449292,321.0,-0.242575,-0.110174286
RPS3A,306.0,0.426765211,80.0,-1.103347,0.0644444
RPS4X,629.0,0.442998752,96.0,-0.692802,0.108783615
RPS6,2723.0,0.413925579,42.0,-1.040898,-0.823334833
RPS6KA1,828.0,0.389798854,163.0,1.260582,0.927216475
RPS6KA4,735.0,0.38455359,226.0,1.58581,0.612212619
RPS7,66.0,0.428822459,109.0,-0.243946,-0.123928198
RPTOR,2341.0,0.385169267,805.0,0.091301,-0.25429994
RREB1,3012.0,0.456825357,492.0,-0.123641,0.330797701
RRM1,2304.0,0.437568848,689.0,0.012104,-0.233703337
RRP8,5071.0,0.446233376,148.0,-0.486089,-0.350727651
RRS1,978.0,0.468289248,104.0,-0.32494,-1.001861582
RTN3,1690.0,0.358048129,187.0,0.196899,0.47733861
RTN4IP1,1108.0,0.372133716,477.0,0.028366,-0.216914379
RUNX1,4334.0,0.416076551,1578.0,0.444891,0.226426917
RUNX3,2611.0,0.405217602,439.0,1.922925,-0.090957726
RWDD1,6365.0,0.401367905,746.0,-0.443463,-0.432418656
S100A8,71.0,0.444112716,170.0,0.261609,-1.313148072
S100A9,189.0,0.439508357,43.0,0.743964,-1.687184196
SAMD9,1815.0,0.395660052,270.0,-0.063845,-0.47245392
SAMD9L,1162.0,0.396305952,1248.0,-0.526849,-0.558704041
SAMM50,150.0,0.345249646,197.0,1.10373,0.329268236
SAMSN1,684.0,0.407246581,430.0,0.591282,-0.275496907
SAP18,1754.0,0.427429047,39.0,0.349635,0.317227796
SAP30BP,1541.0,0.449617255,257.0,0.223582,-0.107477991
SAR1A,5213.0,0.411769389,203.0,-0.462287,-0.40973449
SAR1B,5806.0,0.392367964,253.0,0.123521,-0.365052195
SARS,1054.0,0.40098191,100.0,0.344615,-0.040782536
SASH3,1369.0,0.387406112,182.0,0.986612,-0.364048745
SCAMP4,1741.0,0.472519575,351.0,-0.409256,-0.209164738
SCO1,8645.0,0.407339367,61.0,-0.457087,-0.110961125
SDCCAG8,307.0,0.360606297,1542.0,-0.338673,-0.038116277
SEC11C,205.0,0.423646802,92.0,0.900386,-0.186068126
SEC13,332.0,0.457264526,210.0,0.452505,-0.232111812
SEC14L1,2986.0,0.420320088,665.0,0.233637,-0.109758233
SEC22A,2559.0,0.422343815,79.0,-0.004186,0.335763958
SEC24B,1221.0,0.400931805,155.0,-1.117459,-0.306589805
SEC24D,2115.0,0.386600041,297.0,0.023841,-0.360663997
SEC61B,270.0,0.404562259,76.0,1.097566,0.773669725
SEMA3F,960.0,0.38837398,318.0,-0.479148,-0.596944437
SEMA4A,755.0,0.412797256,345.0,-0.054983,0.019253759
SEMA4D,2318.0,0.393173667,572.0,0.297378,-0.006873133
SERPINA1,1707.0,0.420489385,573.0,-1.497718,0.097516108
SERPINB8,2096.0,0.38524815,520.0,-0.449523,-0.212691319
SETMAR,321.0,0.414235412,398.0,-0.590936,-0.25833178
SF1,2419.0,0.374481437,721.0,0.730314,0.2162843
SF3B2,563.0,0.453902675,40.0,0.827998,0.358837966
SFXN4,500.0,0.402513841,45.0,0.577065,0.268985353
SH3BP1,433.0,0.395530944,313.0,1.245126,-0.032775994
SH3PXD2B,4870.0,0.420952884,171.0,0.995477,0.678116188
SHMT1,4335.0,0.394510245,509.0,0.980767,0.515833545
