,3prime,tAI,max_5_UTR_length,TCGA-AO-A12D,TCGA-AO-A12D.1
HYOU1,1409.0,0.403839016,234.0,1.116091,0.382329883
ICAM1,1537.0,0.426062071,319.0,0.784403,0.097491371
IER3IP1,3342.0,0.438740024,97.0,-0.403144,0.756299233
IFI16,254.0,0.415211655,290.0,1.090551,0.288821314
IFI30,213.0,0.431523306,62.0,0.922997,-0.008650726
IFI35,160.0,0.418462024,223.0,-0.293702,-0.471285658
IFI44,267.0,0.403888008,124.0,1.122155,-0.875743291
IFI44L,5058.0,0.403608012,200.0,1.237846,-1.735188242
IFIH1,121.0,0.412344512,377.0,1.160416,0.147026717
IFIT1,2775.0,0.411248073,495.0,0.861581,-0.036251209
IFIT2,1901.0,0.420797646,175.0,1.201147,-0.02776055
IFIT3,843.0,0.417440574,529.0,1.194296,-0.133746154
IFIT5,2354.0,0.414819429,231.0,0.151572,-0.147723637
IFITM1,159.0,0.431550176,180.0,-0.193413,-0.421300189
IFT27,109.0,0.4030938,426.0,0.924395,0.233424036
IGFBP3,1605.0,0.43060006,132.0,1.050918,0.333327585
IGFBP7,558.0,0.392734536,34.0,0.340309,-0.037892359
IKBKE,745.0,0.435100597,714.0,0.829194,0.094935342
IL16,3965.0,0.367979445,2395.0,1.01868,0.036651883
IL17RA,5874.0,0.376798811,133.0,-0.19434,0.396109401
IL1RN,1145.0,0.411881061,408.0,1.682493,-0.086931936
IL4I1,16.0,0.4139018,621.0,0.815833,0.468010713
ILF2,656.0,0.426220446,239.0,0.110422,0.045927384
IMPA2,2898.0,0.383680893,242.0,-0.735806,-0.94069524
INO80,5209.0,0.374025479,351.0,-0.404732,0.049645646
INPP1,263.0,0.395712795,700.0,-0.461821,-0.246845309
INPP5D,1195.0,0.436077769,512.0,0.939411,0.149263508
INSR,4801.0,0.380857973,411.0,-0.159401,0.120982183
IPO5,2508.0,0.381335948,180.0,0.068626,0.18442197
IRF7,92.0,0.423538356,367.0,0.267468,0.593013124
IRF8,1327.0,0.384714127,507.0,0.295665,0.056851436
IRF9,369.0,0.432057622,127.0,0.680085,-0.01291927
IRGQ,7659.0,0.399674011,156.0,0.313532,0.123249917
ISCU,607.0,0.454630229,1331.0,-0.254699,0.024230331
ISG15,62.0,0.419522688,77.0,0.567554,-0.504304891
ISG20,952.0,0.419932377,2368.0,1.242216,0.011497689
ISOC1,1056.0,0.418535314,18.0,-0.575759,-0.777497465
ITGB2,415.0,0.457304004,395.0,0.772901,0.043588315
ITPKB,2981.0,0.440250717,340.0,-0.26194,-0.096062484
ITPRIP,5382.0,0.396785481,453.0,0.567171,0.014024854
JUNB,496.0,0.414023332,276.0,-0.300353,0.253588753
JUP,157.0,0.458302936,298.0,0.121541,-0.10919093
KANK2,2291.0,0.394238955,361.0,-5e-06,0.214423681
KARS,4202.0,0.383913431,144.0,0.225502,0.147347615
KCNN4,560.0,0.425737469,396.0,1.255243,0.932880109
KDM1A,327.0,0.428444011,149.0,0.078996,0.240583674
KDM2A,3716.0,0.372295488,864.0,0.04233,-0.075845857
KDM2B,2488.0,0.393022165,407.0,-0.186353,0.202547367
KDM3B,1327.0,0.37791414,200.0,-0.116635,0.004016907
KDM4A,1148.0,0.378142374,166.0,-0.326927,-0.121943314
KHSRP,1024.0,0.456900489,110.0,-0.324411,-0.055274558
KIAA2013,727.0,0.385456054,191.0,-0.143233,0.413187734
KIF20A,757.0,0.371463873,496.0,0.916477,0.374988806
KIF22,75.0,0.392489541,388.0,-0.669937,-0.366100411
KIF2C,588.0,0.387865377,395.0,4.8e-05,-0.260550609
KIF3B,3792.0,0.390782105,180.0,-0.065654,-0.038306612
KIF3C,2392.0,0.403852971,657.0,-0.728307,-0.357360734
KIF5B,3198.0,0.418236129,470.0,-0.002071,0.09509163
KLHL7,3616.0,0.41595405,521.0,-0.446177,-0.26674918
KTI12,594.0,0.370414154,39.0,-0.126294,-0.03443406
LAMP1,1311.0,0.390985106,281.0,0.124435,-0.201981182
LANCL2,2422.0,0.433733517,578.0,-0.623317,-0.570198032
LAP3,503.0,0.426841798,162.0,0.369756,-1.02822358
LDHD,1826.0,0.398770776,52.0,-1.566075,-0.263205316
LENG1,560.0,0.445950324,48.0,-0.787548,-0.04375149
LGALS3,159.0,0.420172221,88.0,0.058644,-0.001511382
LGALS3BP,1225.0,0.419930622,179.0,-0.345566,-0.747037431
LGALS9,641.0,0.410654931,118.0,1.663557,-0.014629445
LIN54,4893.0,0.441729058,383.0,-0.039397,0.047699933
LPCAT1,2228.0,0.380803123,133.0,-0.790508,-0.281947871
LPCAT4,239.0,0.432241557,94.0,-0.594901,-0.024814982
LPXN,1776.0,0.432350833,254.0,1.781804,0.178477838
LRPPRC,2376.0,0.377375074,58.0,-0.114397,0.21069728
LRRC41,465.0,0.438391248,44.0,-0.154064,-0.458532908
LRRC59,1755.0,0.423067849,236.0,-0.218364,0.017916205
LSM1,486.0,0.409616526,410.0,-0.450847,-0.467148363
LSM6,1871.0,0.435100303,139.0,0.528907,-0.025532392
LTA4H,391.0,0.355044638,145.0,-0.085146,-0.26424808
LYN,4058.0,0.418972994,282.0,0.254113,-0.169359119
LYPLAL1,1137.0,0.3973742,157.0,0.519704,0.422347843
LYRM4,6830.0,0.366844497,217.0,-0.664509,0.155981775
LYSMD2,596.0,0.394037378,501.0,-0.291556,-0.276610136
M6PR,1457.0,0.379162834,275.0,-0.650348,0.093468868
MAD2L1,4528.0,0.407191351,124.0,-0.477233,-0.159626617
MAFB,2032.0,0.405989564,390.0,0.519283,-0.363627332
MAGED2,327.0,0.466698843,233.0,-0.26554,-0.54699126
MAGOH,153.0,0.416054235,162.0,-0.633268,-0.345002859
MAN2B1,128.0,0.381728903,76.0,0.946801,0.118786305
MANF,717.0,0.420319188,97.0,0.795997,0.469598926
MAP4K1,170.0,0.374128007,140.0,1.411568,0.040860675
MARCKSL1,768.0,0.468216312,206.0,0.242515,0.12050018
MAX,2676.0,0.337149475,479.0,-0.176244,-0.163417196
MBD2,3723.0,0.420256858,229.0,0.06686,0.249171558
MBP,4041.0,0.393290432,264.0,-0.268265,-0.444478748
MCM2,662.0,0.460999542,110.0,-0.341253,-0.309201822
MCM4,2618.0,0.371821308,942.0,0.678396,-0.263425306
MCM5,3214.0,0.470488076,94.0,-0.179915,-0.340717826
MDC1,658.0,0.415783633,440.0,0.202098,0.153421667
MDH1,210.0,0.381672323,435.0,0.320039,-0.087940222
ME1,1535.0,0.411214685,265.0,1.400148,0.156111496
ME3,171.0,0.395156177,377.0,-1.278204,-0.454690776
MECR,1365.0,0.445670958,612.0,-0.351529,0.058803624
MED17,2631.0,0.366528813,275.0,0.177484,-0.097110351
MED19,934.0,0.439623042,93.0,-0.628733,-0.246176864
MED28,10307.0,0.440157501,27.0,-0.765484,-0.195771005
MED29,4550.0,0.464327351,57.0,-0.43988,-0.019569215
MEF2C,6848.0,0.41426337,654.0,0.782437,0.090720701
MEN1,824.0,0.454590692,504.0,-0.300417,0.024615023
METTL13,961.0,0.396264071,347.0,-0.096564,-0.036774751
MGST3,1295.0,0.374563048,428.0,-0.74709,0.444390917
MIF4GD,787.0,0.397877071,137.0,-0.928517,-0.094322567
MINK1,774.0,0.455972684,525.0,0.140489,0.303066776
MIS12,1334.0,0.420723459,745.0,-0.0835,-0.123831113
MLEC,5319.0,0.43043384,173.0,0.471306,0.461865266
MLLT10,2252.0,0.36295117,1568.0,-0.356845,0.124741425
MLX,1636.0,0.386664187,65.0,-0.592409,0.280519559
MMACHC,1852.0,0.382684622,371.0,-0.316653,-0.098808307
MMADHC,5382.0,0.406207656,205.0,0.051349,-0.149435316
MMGT1,4451.0,0.406300672,388.0,0.294232,0.646993033
MMP1,502.0,0.392399458,189.0,4.613537,0.407211251
MMP14,1722.0,0.419367787,285.0,0.244707,-0.078200513
MMP9,193.0,0.404253633,19.0,0.557658,-1.021626412
MORC3,2052.0,0.406702124,375.0,0.435814,0.137644897
MORF4L1,1066.0,0.420719378,454.0,-0.251806,-0.095762219
MOV10,619.0,0.412681236,1415.0,1.013622,0.573417155
MPDU1,797.0,0.440676037,216.0,-0.575539,-0.013170664
MPHOSPH10,87.0,0.404440607,352.0,0.247689,-0.055843576
MRI1,2018.0,0.459301832,75.0,0.558268,0.297006567
MRPL13,1075.0,0.395373051,313.0,0.376402,-0.183972228
MRPL15,1888.0,0.407701507,63.0,0.099323,-0.07938229
MRPL16,212.0,0.368940255,214.0,-0.168032,-0.172917364
MRPL17,6554.0,0.424450505,105.0,-0.23841,-0.278843918
MRPL2,580.0,0.458698472,164.0,-0.136762,0.11430152
MRPL20,187.0,0.445765675,96.0,-0.551511,0.070862082
MRPL21,55.0,0.417448467,293.0,-0.454114,-0.035151479
MRPL27,2133.0,0.436300758,31.0,-1.024165,-0.153165559
MRPL40,113.0,0.406843086,653.0,-0.44173,-0.361610645
MRPL46,1889.0,0.422788385,25.0,-0.327589,-0.30863825
MRPL48,1284.0,0.368940255,212.0,-0.416949,-0.139881998
MRPL51,2069.0,0.35376587,169.0,-0.916066,-0.071233748
MRPL53,198.0,0.441261883,155.0,-0.813058,-0.163360499
MRPL9,407.0,0.432679379,437.0,-0.763724,-0.133332769
MRPS11,2793.0,0.477818717,1491.0,-0.297216,0.114875175
MRPS15,468.0,0.440649404,164.0,-0.280686,0.261912651
MRPS17,1334.0,0.413812124,30.0,0.017999,0.088350781
MRPS18B,936.0,0.408462865,157.0,-0.411543,0.067996204
MRPS36,933.0,0.3748339,84.0,-0.453111,0.082714728
MRPS7,453.0,0.455992019,233.0,-0.927153,0.018745689
MSI2,5168.0,0.366385762,173.0,-0.946657,-0.626013066
MSTO1,694.0,0.421389639,1152.0,-0.22907,-0.033289031
MT2A,316.0,0.576670685,123.0,1.616347,0.079039532
MTA2,684.0,0.459443446,761.0,0.031811,0.12758387
MTFMT,1550.0,0.414190941,26.0,-0.720202,-0.517543276
MTHFS,1663.0,0.434592403,179.0,-0.910466,-0.353059585
MTMR1,2442.0,0.424163835,319.0,-0.333979,0.019378614
MTMR14,421.0,0.371137969,151.0,0.147937,0.117973102
MVP,50.0,0.435053297,193.0,-0.390386,-0.249826094
MX1,456.0,0.433488503,982.0,1.324341,-0.272579912
MX2,1812.0,0.430094961,104.0,0.648966,0.071801717
MYADM,2833.0,0.384589896,681.0,0.48472,0.627944711
MYCBP,3972.0,0.381803634,73.0,-0.157956,0.041933715
MYL12A,812.0,0.453450746,478.0,0.402708,0.229271221
MYO18A,3647.0,0.395788337,484.0,2.365758,1.057515336
MYO9B,1401.0,0.398943925,152.0,0.485268,0.192769832
N6AMT1,5137.0,0.427535625,28.0,-0.252729,-0.459708211
NAA40,3212.0,0.389371031,261.0,-0.155361,-0.292746573
NAB1,2433.0,0.361024962,572.0,0.085367,-0.131248984
NADK,1672.0,0.3959688,563.0,-0.062267,0.096385231
NADSYN1,464.0,0.447848979,126.0,-0.124473,0.093405587
NAGK,1297.0,0.42527382,474.0,0.073471,0.021060137
NANS,37.0,0.458552255,132.0,0.192173,0.014693952
NAPA,1862.0,0.477781443,318.0,0.592042,0.276200531
NAT10,4915.0,0.387474071,245.0,-0.737345,-0.214901856
NBAS,140.0,0.414580543,44.0,0.544151,0.457647139
NCALD,2767.0,0.374888213,460.0,1.698117,0.575478657
NCAPD3,2971.0,0.431957579,606.0,0.257532,-0.285962543
NCAPG2,3501.0,0.41630572,200.0,-0.41699,-0.629023513
NCF1,2381.0,0.415579251,70.0,1.711817,0.017308266
NCK2,1267.0,0.457831152,276.0,0.859876,0.23042163
NCKIPSD,4981.0,0.449411541,126.0,-0.095319,0.14068926
NCOA5,1332.0,0.416761948,402.0,-0.838149,-0.229853986
NCOA7,3259.0,0.404217869,470.0,0.960725,0.028831943
NDC80,61.0,0.356199389,182.0,0.679507,0.095819156
NDRG2,841.0,0.376266446,941.0,-0.436516,-0.646703979
NDUFA4,1685.0,0.439642808,129.0,-0.212622,0.134012144
NEU1,667.0,0.413226082,156.0,-0.60053,-0.302968502
NFATC2IP,3242.0,0.412267479,15.0,-0.529534,-0.484041257
NFKB1,708.0,0.4099683,467.0,-0.372341,-0.182513636
NFKB2,153.0,0.424806573,563.0,-0.285923,-0.195951534
NFKBIE,1053.0,0.409138176,25.0,-0.276231,-0.096864763
NGDN,1255.0,0.423783924,27.0,-0.80337,-0.189883428
NGRN,1679.0,0.414477409,50.0,0.526743,0.042608187
NINJ1,5217.0,0.455972644,71.0,-0.879419,-0.397032301
NIP7,1593.0,0.443769116,318.0,-0.046755,-0.265651833
NIT2,2351.0,0.432361565,74.0,-0.357686,-0.258872439
NMNAT3,2689.0,0.397393877,1228.0,-1.02499,-0.676949895
NMT1,3377.0,0.454689408,31.0,-0.371636,-0.069536845
NONO,1092.0,0.432928506,710.0,-0.195342,-0.126808012
NOP14,912.0,0.38067473,187.0,-0.666038,-0.113309849
NOP2,785.0,0.393538298,198.0,-0.529195,-0.060278716
NOTCH2,6062.0,0.409327653,297.0,0.402398,0.076186411
NPTN,1068.0,0.388989686,197.0,0.093117,0.484033278
NR2C2,6271.0,0.390767743,362.0,0.122456,0.037507441
NRBF2,883.0,0.43605128,224.0,0.09974,0.145859891
NRF1,1901.0,0.447602651,500.0,-0.48298,-0.07868575
NRGN,833.0,0.413631862,152.0,0.07381,0.107362331
NRP1,3846.0,0.416817106,523.0,0.410072,-0.030581886
NSFL1C,1587.0,0.42738001,868.0,-0.085902,0.100432436
NSMAF,602.0,0.358586884,214.0,0.113155,0.198862523
NTAN1,178.0,0.344459601,320.0,-0.418216,-0.142294781
NUBP1,246.0,0.455923678,142.0,-0.55497,-0.418899747
NUCKS1,5461.0,0.359398328,271.0,0.249035,0.578475298
NUDC,716.0,0.476401948,127.0,-0.320181,0.005467901
NUDT16,5489.0,0.428387545,75.0,-0.607048,-0.161650298
NUMA1,663.0,0.474508115,436.0,-0.49314,-0.209975967
NUP93,5678.0,0.382018893,495.0,0.515933,0.008172694
NXF1,2943.0,0.375826754,136.0,0.20328,-0.110390564
OCIAD2,4872.0,0.363821488,322.0,-0.059592,0.679106515
OGDH,1071.0,0.396078149,159.0,0.08389,-0.118457238
OPA3,7233.0,0.475004358,100.0,0.415881,0.62130134
OSBPL2,2363.0,0.383456763,571.0,0.225232,0.059413249
OSBPL5,1099.0,0.381371042,158.0,0.568018,0.485048369
OVCA2,792.0,0.429983078,65.0,-0.864003,-0.241126717
P2RX4,573.0,0.442596273,304.0,-1.297442,-0.313426091
PAAF1,509.0,0.376143366,341.0,-1.094015,-0.611802423
PACSIN2,1591.0,0.413490434,405.0,1.003589,0.468897532
PARK7,451.0,0.457171775,163.0,-0.404584,-0.208241843
PARP1,769.0,0.460215809,171.0,0.993882,0.286475168
PARP10,332.0,0.422654659,200.0,-0.877328,-0.347587613
PARP12,816.0,0.416480622,874.0,0.652633,0.018953706
PARP14,2243.0,0.414355918,59.0,1.47995,0.440178811
PARP9,451.0,0.418102187,327.0,1.117816,0.024066916
PARVG,2043.0,0.383803232,484.0,1.015408,0.10432443
PBK,750.0,0.413339119,464.0,-0.255348,-0.700438429
PCNA,338.0,0.425000199,239.0,-0.559298,-0.479252692
PDAP1,2007.0,0.464659554,134.0,-0.353824,-0.008595258
PDCD2,155.0,0.440448783,111.0,0.097326,0.196839019
PDCD2L,48.0,0.433436103,33.0,-0.087551,0.00622085
PDCD6IP,3211.0,0.388727459,158.0,0.128826,0.148648197
PDHA1,2054.0,0.402514578,145.0,0.142273,0.137379655
PDHB,2974.0,0.442593378,43.0,-0.14466,0.099182592
PDLIM1,357.0,0.379179626,233.0,0.022282,-0.090744802
PDXDC1,2055.0,0.375670185,335.0,0.583106,0.375230576
PDXK,6244.0,0.398158884,198.0,1.441053,0.420608552
PEBP1,796.0,0.360152166,326.0,-0.100926,-0.196534387
PEF1,769.0,0.441759403,424.0,-0.294746,-0.132389195
PELO,5222.0,0.385240523,985.0,0.217898,0.110593117
PEPD,395.0,0.450896903,133.0,0.052847,-0.332647898
PEX16,585.0,0.43213601,312.0,-0.528467,0.399915064
PEX6,946.0,0.370078344,93.0,0.854935,0.205661277
PEX7,2294.0,0.407005497,102.0,-0.062883,-0.219688822
PFDN5,124.0,0.497062947,117.0,-0.67034,-0.269963106
PFDN6,574.0,0.470152145,222.0,0.349666,-0.177553087
PGM1,570.0,0.393980016,681.0,0.027304,0.085441045
PHB,988.0,0.45268542,190.0,-0.965106,-0.626400265
PHF10,104.0,0.365149381,79.0,-0.296526,-0.156320429
PI4K2A,2692.0,0.385068362,57.0,-0.23512,0.068523439
PIAS1,3626.0,0.396022529,741.0,0.099233,-0.018137776
PIGH,1430.0,0.434471606,98.0,-0.691188,1.176122135
PIK3AP1,3866.0,0.407313024,128.0,0.843609,-0.105423778
PIR,205.0,0.385796208,485.0,-0.448219,-0.527156075
PITPNC1,4686.0,0.369070722,874.0,0.49448,0.217728393
PLA2G4C,585.0,0.406173977,398.0,0.135467,0.034509679
PLA2G7,1187.0,0.402486321,269.0,0.733971,-0.176989283
PLAUR,323.0,0.418467601,226.0,1.364025,0.624147818
PLCB2,818.0,0.468984469,301.0,0.908811,-0.112473621
PLCG1,3987.0,0.454806205,121.0,0.065409,0.011260686
PLD4,273.0,0.377985619,192.0,-0.521158,-0.451636809
PLEKHO1,5192.0,0.424698037,839.0,0.665306,0.131790601
PLEKHO2,2119.0,0.429714475,134.0,0.091453,0.111936683
PLSCR1,10376.0,0.415598704,388.0,0.301138,-0.363810727
PML,3324.0,0.431306474,140.0,0.480077,0.310307682
POLR1C,1131.0,0.439933821,86.0,0.014307,-0.313909415
POLR1D,1469.0,0.427162265,456.0,-0.23654,-0.294137279
POLR2F,1600.0,0.47244007,250.0,-0.314385,-0.021255245
POLR2H,1065.0,0.427596015,1167.0,-0.558256,-0.125323813
POLR3H,3481.0,0.444306047,388.0,1.520633,-0.245179003
POLR3K,1023.0,0.473025152,46.0,-1.335656,-0.399608351
PPA2,660.0,0.432735716,20.0,-0.019478,0.181703314
PPIE,4556.0,0.446406574,56.0,-0.314268,-0.341456915
PPIL1,1921.0,0.453832883,252.0,-0.151209,0.069996547
PPP1R14B,282.0,0.457456004,268.0,0.470916,0.139588362
PRC1,1136.0,0.367783806,234.0,1.142507,-0.186546295
PRCC,357.0,0.381841119,290.0,-0.243699,-0.122326736
PRDX1,303.0,0.414090753,341.0,-0.06697,-0.276292882
PRDX6,944.0,0.433706552,51.0,-0.53334,-0.369163692
PREB,658.0,0.378530018,403.0,0.10091,0.585891065
PREP,579.0,0.425974009,233.0,0.345125,-0.10124826
PRG4,784.0,0.366727173,51.0,-2.789646,0.003288198
PRIM2,1166.0,0.350864643,125.0,0.364936,-0.423167534
PRKAB1,1305.0,0.365943644,289.0,-0.74226,-0.008751166
PRKAR2A,5019.0,0.427443141,254.0,0.624848,0.267201932
PRKCB,5795.0,0.38010529,197.0,1.244593,-0.134437253
PRKCD,451.0,0.404392693,469.0,0.725664,0.266720417
PRKRA,683.0,0.420894136,659.0,0.04095,0.181228988
PRKRIP1,3224.0,0.453589322,55.0,-0.728664,-0.095351722
PRMT5,393.0,0.386451423,508.0,-0.556346,-0.338157283
PRMT7,3655.0,0.450088803,850.0,0.192434,0.164178503
PROCR,549.0,0.357872186,218.0,-0.699422,-0.614535463
PRPS1,3908.0,0.466551451,409.0,-0.288376,-0.196463426
PRPSAP1,2056.0,0.390811115,688.0,-1.033181,-0.505848491
PRRC1,3173.0,0.409170839,188.0,0.829462,0.329786613
PSMA5,2997.0,0.446573967,225.0,-0.007611,-0.050433282
PSMA6,187.0,0.423632682,445.0,0.083461,0.088001468
PSMB10,58.0,0.455018511,128.0,0.779826,0.405963413
PSMB2,3775.0,0.389848815,412.0,0.338266,-0.084366692
PSMB8,242.0,0.411206622,522.0,0.973512,0.297204937
PSMB9,5497.0,0.431095699,69.0,1.727927,0.214584997
PSMC3,66.0,0.485654947,194.0,-0.357217,-0.119273305
PSMD11,2567.0,0.390095635,61.0,-0.033434,-0.053954274
PSMD13,384.0,0.437236365,242.0,-0.049443,-0.018437315
PSMD8,450.0,0.458928351,52.0,-0.006486,-0.084010839
PSME2,53.0,0.443656162,65.0,0.267961,-0.140678808
PSMG1,5308.0,0.427553471,578.0,0.527715,0.200414282
PSTPIP2,1923.0,0.429639796,96.0,-0.000835,0.105243639
PTBP1,1504.0,0.473818895,106.0,-0.142714,-0.112267082
PTDSS1,3765.0,0.367954205,423.0,0.841267,1.141102661
PTGS1,3346.0,0.37260918,633.0,-0.271016,-0.024461426
PTP4A1,3419.0,0.421202001,1153.0,0.103329,0.063109116
PTPMT1,1899.0,0.450492628,193.0,-0.610991,-0.279792154
PTPN18,2185.0,0.381656528,101.0,-0.732344,-0.001807842
PTPN7,1593.0,0.440747449,781.0,2.085388,0.266693664
PTPRE,2994.0,0.426620112,1843.0,-0.129483,-0.051824664
PTPRF,4571.0,0.452810321,356.0,0.536515,-0.338807921
PTRH2,3186.0,0.370743372,1544.0,-0.782434,-0.334676704
PWWP2B,819.0,0.424412275,29.0,-0.717884,0.301698794
PYCR2,578.0,0.474148407,230.0,0.982514,1.125043933
PYGL,175.0,0.392036998,127.0,-0.823134,-0.456655261
QARS,97.0,0.458996209,396.0,-0.253722,0.208972686
RAB11FIP1,4277.0,0.380614122,56.0,-0.368019,-0.278867874
RAB12,1120.0,0.38483812,283.0,0.564645,0.813897911
RAB21,5246.0,0.435367738,267.0,-0.309001,0.079250206
RAB31,3231.0,0.437498832,175.0,0.597654,0.071706761
RAB35,2172.0,0.408841719,189.0,-0.236659,0.196681295
RAB7A,1376.0,0.419395127,232.0,0.832898,0.720107018
RAB8B,4163.0,0.425956778,96.0,0.28194,0.224491024
RAB9A,1716.0,0.417525007,283.0,-0.086496,0.074240255
RABGGTA,77.0,0.387342734,512.0,0.11219,-0.101368356
RABGGTB,440.0,0.409412379,78.0,-0.242278,-0.216968425
RABIF,4760.0,0.447399225,159.0,0.724905,-0.130570836
RACGAP1,1895.0,0.366370127,354.0,0.16056,-0.290107503
RAD9A,924.0,0.444046557,185.0,-0.54175,-0.06453211
RAE1,1112.0,0.432613552,365.0,-0.695284,-0.080807943
RAI1,1472.0,0.455620822,469.0,-0.578669,-0.159167565
RAN,2043.0,0.442855294,361.0,-0.148631,-0.179679659
RANBP10,3359.0,0.379453562,1256.0,0.69397,0.315138563
RANGAP1,3145.0,0.481547647,765.0,1.36222,0.278958443
RAPGEF1,2727.0,0.425793135,159.0,0.050288,0.16372797
RARS,114.0,0.423508657,41.0,-0.04988,0.039353195
RASGRP2,183.0,0.381671176,582.0,0.567107,-0.190354354
RASGRP4,985.0,0.374724859,214.0,0.335808,-0.391294196
RBBP4,6506.0,0.404056961,164.0,0.150075,-0.063669414
RBBP5,3098.0,0.421849625,474.0,0.680421,-0.204035248
RBKS,251.0,0.392307233,1371.0,-0.575828,-0.395963543
RBM12,3599.0,0.375183789,304.0,-0.195626,0.096995891
RBM14,3443.0,0.468008211,139.0,-0.17515,0.041650956
RBM4B,5277.0,0.396841232,170.0,-0.026167,-0.102283523
RBMX,1201.0,0.353737079,210.0,-0.345324,0.011245943
RBPJ,4223.0,0.4178224,518.0,-0.18584,-0.190112002
RBX1,821.0,0.46562919,52.0,0.74761,-0.578916462
RC3H1,7637.0,0.410085914,87.0,-0.020534,0.206534771
RCCD1,1773.0,0.374130224,280.0,1.137244,0.062609373
RCOR1,4070.0,0.439565312,228.0,-0.011269,-0.081144569
REEP4,591.0,0.460338979,469.0,-0.33999,0.048469213
REEP5,2962.0,0.457536941,144.0,0.833489,1.376295309
RELB,408.0,0.418226182,131.0,-0.125761,-0.112352436
REPIN1,2683.0,0.45080531,489.0,-0.446087,0.035867282
RET,2082.0,0.379562012,357.0,-2.639135,-0.446355273
RFC4,89.0,0.411167541,282.0,0.237418,-0.238327967
RFK,1882.0,0.429285662,357.0,-0.350557,-0.320563063
RFX5,1546.0,0.386685917,221.0,-0.063636,-0.041224664
RFXAP,1850.0,0.421314391,156.0,0.082201,-0.260578054
RHBDF2,740.0,0.423256567,294.0,0.328712,0.136582586
RHOT2,568.0,0.454546166,881.0,-0.529697,0.147417094
RINL,1279.0,0.357351373,413.0,-0.31972,-0.289528881
RNASE2,179.0,0.384567964,71.0,0.283197,0.096134155
RNASEH1,4369.0,0.404567903,700.0,0.194766,-0.134591427
RNASEH2B,3930.0,0.37625722,399.0,0.000804,-0.293689197
RNASET2,1070.0,0.374792559,407.0,0.387223,-0.004030618
RNF114,1751.0,0.459950313,36.0,0.140844,-0.190897659
RNF167,289.0,0.375291206,776.0,-0.617302,0.249963469
RNF20,5226.0,0.396317502,92.0,-0.031718,-0.012845309
RNF213,5288.0,0.417718743,150.0,0.46051,-0.162678841
RNF216,2819.0,0.430061571,259.0,0.273381,-0.366501472
RNF25,102.0,0.375620157,88.0,-0.38955,-0.24316253
RNF31,88.0,0.389352607,358.0,0.117528,0.051044025
RNLS,1252.0,0.416402283,135.0,0.756304,0.170850452
RNMT,4581.0,0.415128602,241.0,0.043672,-0.123145383
RNPEP,463.0,0.447181346,896.0,0.821545,0.374728929
RP9,437.0,0.42869019,18.0,0.033229,-0.040485611
RPA1,2907.0,0.381710028,170.0,-0.262979,-0.251531195
RPA2,639.0,0.400070522,793.0,-0.383559,-0.278828756
RPAIN,471.0,0.394698889,570.0,-0.512357,-0.40158957
RPL11,461.0,0.442317923,45.0,-0.570559,0.062365701
RPL14,5208.0,0.496792394,133.0,-0.447096,0.111933932
RPL23,3146.0,0.464880603,90.0,-1.320981,0.166052991
RPL26,53.0,0.427802183,389.0,-0.740864,0.006901507
RPL31,1260.0,0.451994935,87.0,-0.030144,0.157655343
RPL34,1350.0,0.436455219,198.0,-1.151998,0.139537029
RPL5,1058.0,0.451564158,75.0,-0.433122,0.105166155
RPL7,1077.0,0.460258279,707.0,0.155448,-0.06215201
RPS11,373.0,0.483080585,92.0,-0.224418,0.112684366
RPS24,4247.0,0.430653047,142.0,-0.385074,0.298388563
RPS25,109.0,0.467193878,63.0,-0.543765,0.120602205
RPS27A,743.0,0.450449292,321.0,-0.596107,-0.035250757
RPS3A,306.0,0.426765211,80.0,-0.874456,0.255963776
RPS4X,629.0,0.442998752,96.0,-0.712199,0.186341853
RPS6,2723.0,0.413925579,42.0,-0.560348,-0.180451582
RPS6KA1,828.0,0.389798854,163.0,0.836742,0.301752564
RPS6KA4,735.0,0.38455359,226.0,-0.297693,-0.058736498
RPS7,66.0,0.428822459,109.0,-0.016136,0.027831056
RPTOR,2341.0,0.385169267,805.0,-0.380557,-0.133950942
RREB1,3012.0,0.456825357,492.0,0.907371,0.506904452
RRM1,2304.0,0.437568848,689.0,-0.34542,-0.304890175
RRP8,5071.0,0.446233376,148.0,-0.236174,-0.308309058
RRS1,978.0,0.468289248,104.0,0.133132,-0.354068129
RTN3,1690.0,0.358048129,187.0,0.107549,0.941360979
RTN4IP1,1108.0,0.372133716,477.0,0.73061,-0.144463367
RUNX1,4334.0,0.416076551,1578.0,0.544802,0.333819293
RUNX3,2611.0,0.405217602,439.0,0.972169,0.302633247
RWDD1,6365.0,0.401367905,746.0,-0.057768,-0.152043778
S100A8,71.0,0.444112716,170.0,7.459764,-0.337007316
S100A9,189.0,0.439508357,43.0,5.727408,-0.440392385
SAMD9,1815.0,0.395660052,270.0,1.523269,0.187748713
SAMD9L,1162.0,0.396305952,1248.0,2.043999,0.548508751
SAMM50,150.0,0.345249646,197.0,0.179729,0.057746065
SAMSN1,684.0,0.407246581,430.0,1.05785,-0.124510562
SAP18,1754.0,0.427429047,39.0,0.303271,0.056718294
SAP30BP,1541.0,0.449617255,257.0,-1.016336,-0.27661896
SAR1A,5213.0,0.411769389,203.0,0.335316,0.30769147
SAR1B,5806.0,0.392367964,253.0,-0.140909,-0.040534894
