,3prime,tAI,max_5_UTR_length,TCGA-AO-A0JC,TCGA-AO-A0JC.1
INPP1,263.0,0.395712795,700.0,0.721846,-0.452889754
INPP5D,1195.0,0.436077769,512.0,3.46574,0.377654165
INSR,4801.0,0.380857973,411.0,-1.655674,0.013711326
IPO5,2508.0,0.381335948,180.0,-0.351196,0.345032495
IRF7,92.0,0.423538356,367.0,1.585444,-0.186332189
IRF8,1327.0,0.384714127,507.0,4.01824,0.467540434
IRF9,369.0,0.432057622,127.0,0.573832,-0.180129892
IRGQ,7659.0,0.399674011,156.0,-0.808841,0.329890201
ISCU,607.0,0.454630229,1331.0,0.850983,-0.007646928
ISG15,62.0,0.419522688,77.0,0.239246,-1.11752263
ISG20,952.0,0.419932377,2368.0,2.451644,-0.147394605
ISOC1,1056.0,0.418535314,18.0,-0.161802,0.810846841
ITGB2,415.0,0.457304004,395.0,2.738595,0.528235226
ITPKB,2981.0,0.440250717,340.0,1.324785,-0.018368409
JUNB,496.0,0.414023332,276.0,0.688772,-0.277934089
JUP,157.0,0.458302936,298.0,-1.504382,0.170792355
KANK2,2291.0,0.394238955,361.0,-0.997271,-0.314489498
KARS,4202.0,0.383913431,144.0,0.464824,-0.157742912
KDM1A,327.0,0.428444011,149.0,-0.506415,-0.153595589
KDM2A,3716.0,0.372295488,864.0,0.480453,0.060864664
KDM2B,2488.0,0.393022165,407.0,1.05565,-0.194722206
KDM3B,1327.0,0.37791414,200.0,0.078238,0.253519611
KDM4A,1148.0,0.378142374,166.0,-0.404849,-0.356032952
KHSRP,1024.0,0.456900489,110.0,0.002276,-0.038575243
KIAA2013,727.0,0.385456054,191.0,-0.029182,-0.021089205
KIF20A,757.0,0.371463873,496.0,-0.408612,-0.315376441
KIF22,75.0,0.392489541,388.0,0.192814,-0.269768034
KIF2C,588.0,0.387865377,395.0,-0.103924,-0.792932841
KIF3B,3792.0,0.390782105,180.0,-0.756791,0.009165387
KIF5B,3198.0,0.418236129,470.0,-0.771678,-0.104049615
KLHL7,3616.0,0.41595405,521.0,-0.464023,-0.573813971
KTI12,594.0,0.370414154,39.0,0.352572,-0.106709418
LAMP1,1311.0,0.390985106,281.0,-0.823363,0.018417935
LANCL2,2422.0,0.433733517,578.0,-0.371564,-0.478867575
LAP3,503.0,0.426841798,162.0,0.611738,0.095402977
LDHD,1826.0,0.398770776,52.0,-0.838036,-0.169661151
LENG1,560.0,0.445950324,48.0,0.660355,0.051483221
LGALS3,159.0,0.420172221,88.0,-0.642049,0.178820879
LGALS3BP,1225.0,0.419930622,179.0,-0.781895,-0.223020084
LGALS9,641.0,0.410654931,118.0,1.639441,-0.048941121
LIN54,4893.0,0.441729058,383.0,0.150442,0.158175836
LPCAT1,2228.0,0.380803123,133.0,0.648093,0.899531191
LPXN,1776.0,0.432350833,254.0,3.271384,0.219131715
LRPPRC,2376.0,0.377375074,58.0,-0.571247,-0.36200987
LRRC25,843.0,0.434491636,642.0,1.057193,0.083142187
LRRC41,465.0,0.438391248,44.0,-0.966914,-0.164502722
LRRC59,1755.0,0.423067849,236.0,-1.05577,-0.673851478
LSM1,486.0,0.409616526,410.0,-0.135951,-0.033444503
LSM6,1871.0,0.435100303,139.0,0.801952,0.245507178
LTA4H,391.0,0.355044638,145.0,0.526654,0.203093647
LYN,4058.0,0.418972994,282.0,2.32885,0.360526348
LYPLAL1,1137.0,0.3973742,157.0,0.311651,0.696644884
LYRM4,6830.0,0.366844497,217.0,0.318008,0.007059163
LYSMD2,596.0,0.394037378,501.0,2.015761,-0.242129993
M6PR,1457.0,0.379162834,275.0,0.148225,0.306563762
MAD2L1,4528.0,0.407191351,124.0,-0.255363,-0.232603082
MAFB,2032.0,0.405989564,390.0,-0.358607,-0.804476255
MAGED2,327.0,0.466698843,233.0,-1.136484,0.395150327
MAGOH,153.0,0.416054235,162.0,0.332812,-0.046183893
MAN2B1,128.0,0.381728903,76.0,0.902433,-0.083405461
MANF,717.0,0.420319188,97.0,-0.569652,-0.336084996
MAP4K1,170.0,0.374128007,140.0,4.833244,0.506243488
MARCKSL1,768.0,0.468216312,206.0,-0.451162,-0.212725556
MAX,2676.0,0.337149475,479.0,0.598368,0.12795752
MBD2,3723.0,0.420256858,229.0,0.957319,-0.030753382
MBP,4041.0,0.393290432,264.0,1.965421,0.179250738
MCM2,662.0,0.460999542,110.0,-0.450386,-0.647020287
MCM4,2618.0,0.371821308,942.0,-0.753505,-0.56864524
MCM5,3214.0,0.470488076,94.0,1.328208,-0.485561304
MDC1,658.0,0.415783633,440.0,0.2891,-0.086430603
MDH1,210.0,0.381672323,435.0,-0.033841,0.465999899
ME1,1535.0,0.411214685,265.0,-0.734311,-0.716293989
ME3,171.0,0.395156177,377.0,1.808737,0.44639229
MECR,1365.0,0.445670958,612.0,-0.854913,-0.173280946
MED17,2631.0,0.366528813,275.0,0.102454,-0.034900141
MED19,934.0,0.439623042,93.0,-0.628542,-0.395718693
MED28,10307.0,0.440157501,27.0,0.263964,-0.183887461
MED29,4550.0,0.464327351,57.0,0.102326,0.086957327
MEF2C,6848.0,0.41426337,654.0,2.75865,0.295978113
MEN1,824.0,0.454590692,504.0,0.032998,0.384640895
METTL13,961.0,0.396264071,347.0,-0.79541,-0.178173928
MGST3,1295.0,0.374563048,428.0,-1.255691,-0.512675933
MIF4GD,787.0,0.397877071,137.0,0.274128,-0.050063869
MINK1,774.0,0.455972684,525.0,0.516204,0.07630387
MIS12,1334.0,0.420723459,745.0,0.7709,0.009366618
MLEC,5319.0,0.43043384,173.0,-1.137094,0.35750047
MLX,1636.0,0.386664187,65.0,0.049874,-0.51266293
MMACHC,1852.0,0.382684622,371.0,-0.916523,0.293399542
MMADHC,5382.0,0.406207656,205.0,-0.257575,-0.186428943
MMGT1,4451.0,0.406300672,388.0,-0.44418,-0.150484984
MMP1,502.0,0.392399458,189.0,0.062239,0.225530567
MMP14,1722.0,0.419367787,285.0,-2.063507,-0.850680944
MMP9,193.0,0.404253633,19.0,2.259018,-0.257073979
MORC3,2052.0,0.406702124,375.0,0.881804,-0.045953558
MORF4L1,1066.0,0.420719378,454.0,-0.07438,0.064623819
MOV10,619.0,0.412681236,1415.0,0.067595,-0.108424516
MPDU1,797.0,0.440676037,216.0,-0.041629,0.897635002
MPHOSPH10,87.0,0.404440607,352.0,0.357497,-0.113669727
MRI1,2018.0,0.459301832,75.0,0.936818,0.986446975
MRPL13,1075.0,0.395373051,313.0,-0.77764,-0.468951662
MRPL15,1888.0,0.407701507,63.0,-0.566772,-0.543176638
MRPL16,212.0,0.368940255,214.0,0.37948,-0.29554955
MRPL17,6554.0,0.424450505,105.0,-0.231277,-0.416896277
MRPL2,580.0,0.458698472,164.0,-0.169787,-0.076899953
MRPL20,187.0,0.445765675,96.0,-0.291936,-0.178161484
MRPL21,55.0,0.417448467,293.0,-0.245908,-0.387984684
MRPL27,2133.0,0.436300758,31.0,-0.304562,-0.277269026
MRPL40,113.0,0.406843086,653.0,0.357892,-0.300578644
MRPL46,1889.0,0.422788385,25.0,-0.067044,-0.220629634
MRPL48,1284.0,0.368940255,212.0,0.355981,-0.103745109
MRPL51,2069.0,0.35376587,169.0,-0.527106,-0.348077704
MRPL53,198.0,0.441261883,155.0,0.1376,-0.359563318
MRPL9,407.0,0.432679379,437.0,-0.23781,-0.413312293
MRPS11,2793.0,0.477818717,1491.0,-0.293132,-0.149914916
MRPS15,468.0,0.440649404,164.0,0.304902,0.262791533
MRPS17,1334.0,0.413812124,30.0,-0.800871,-0.322244121
MRPS18B,936.0,0.408462865,157.0,-0.254666,-0.291923525
MRPS36,933.0,0.3748339,84.0,0.088783,0.009416804
MRPS7,453.0,0.455992019,233.0,-0.654382,-0.404154825
MSI2,5168.0,0.366385762,173.0,-0.99903,0.289158555
MSTO1,694.0,0.421389639,1152.0,-0.198099,0.201917887
MT1E,291.0,0.588704726,179.0,-0.677254,-1.56884898
MT2A,316.0,0.576670685,123.0,-0.830968,-1.508224763
MTA2,684.0,0.459443446,761.0,0.62232,-0.069672371
MTFMT,1550.0,0.414190941,26.0,-0.031539,-1.478156325
MTHFS,1663.0,0.434592403,179.0,-0.011803,-0.333182092
MTMR1,2442.0,0.424163835,319.0,0.701024,0.198597934
MTMR14,421.0,0.371137969,151.0,1.063312,0.030245875
MVP,50.0,0.435053297,193.0,0.52837,0.383016853
MX1,456.0,0.433488503,982.0,0.953422,-1.827691837
MX2,1812.0,0.430094961,104.0,1.78756,-0.466627482
MYADM,2833.0,0.384589896,681.0,-0.747651,-0.148726213
MYCBP,3972.0,0.381803634,73.0,-0.405232,0.207803911
MYL12A,812.0,0.453450746,478.0,0.672634,-0.50837288
MYO18A,3647.0,0.395788337,484.0,0.786088,0.026050621
MYO9B,1401.0,0.398943925,152.0,1.256023,0.127099173
N6AMT1,5137.0,0.427535625,28.0,-0.164004,0.43710173
NAA40,3212.0,0.389371031,261.0,0.394339,-0.10418082
NAB1,2433.0,0.361024962,572.0,0.3863,-0.215490924
NADK,1672.0,0.3959688,563.0,0.47154,-0.01307321
NADSYN1,464.0,0.447848979,126.0,0.996946,-0.212747693
NAGK,1297.0,0.42527382,474.0,0.539405,0.436315686
NANS,37.0,0.458552255,132.0,-0.747788,0.575959988
NAPA,1862.0,0.477781443,318.0,-0.271181,0.313437124
NAT10,4915.0,0.387474071,245.0,-0.051278,-0.088858853
NBAS,140.0,0.414580543,44.0,-0.361213,0.36529075
NCALD,2767.0,0.374888213,460.0,0.400286,-0.760590761
NCAPD3,2971.0,0.431957579,606.0,-0.025994,0.446042185
NCAPG2,3501.0,0.41630572,200.0,-0.431091,-0.018805937
NCF1,2381.0,0.415579251,70.0,4.317257,0.072769433
NCK2,1267.0,0.457831152,276.0,0.848059,-0.585722658
NCKIPSD,4981.0,0.449411541,126.0,-0.854556,-0.256407813
NCOA5,1332.0,0.416761948,402.0,-0.175916,-0.047891232
NCOA7,3259.0,0.404217869,470.0,0.990545,-0.193880052
NDC80,61.0,0.356199389,182.0,0.622735,-0.348735469
NDRG2,841.0,0.376266446,941.0,-0.440617,-1.113970233
NDUFA4,1685.0,0.439642808,129.0,-0.758493,-0.349501053
NEU1,667.0,0.413226082,156.0,-1.263118,-0.333817209
NFATC2IP,3242.0,0.412267479,15.0,0.753002,-0.168674545
NFKB1,708.0,0.4099683,467.0,0.589238,0.197080983
NFKB2,153.0,0.424806573,563.0,1.969375,0.351795031
NFKBIE,1053.0,0.409138176,25.0,1.522883,0.041734529
NGDN,1255.0,0.423783924,27.0,0.247258,-0.278186143
NGRN,1679.0,0.414477409,50.0,-0.675395,0.038285499
NINJ1,5217.0,0.455972644,71.0,-0.389827,1.169440189
NIP7,1593.0,0.443769116,318.0,0.51478,-0.487242722
NIT2,2351.0,0.432361565,74.0,-0.431715,0.547393624
NMNAT3,2689.0,0.397393877,1228.0,0.247854,0.953318457
NMT1,3377.0,0.454689408,31.0,0.105597,0.097586593
NONO,1092.0,0.432928506,710.0,-0.36885,-0.075216071
NOP14,912.0,0.38067473,187.0,0.008947,-0.027959381
NOP2,785.0,0.393538298,198.0,0.572702,-0.660856211
NOTCH2,6062.0,0.409327653,297.0,-0.77031,-0.049516452
NPTN,1068.0,0.388989686,197.0,-1.062155,0.051957051
NR2C2,6271.0,0.390767743,362.0,0.730028,0.258559949
NRBF2,883.0,0.43605128,224.0,0.161869,-0.452131167
NRF1,1901.0,0.447602651,500.0,0.520283,-0.042796441
NRGN,833.0,0.413631862,152.0,-0.034885,-0.404337302
NRP1,3846.0,0.416817106,523.0,0.339878,0.318020206
NSFL1C,1587.0,0.42738001,868.0,-0.294091,0.166778975
NSMAF,602.0,0.358586884,214.0,0.928037,0.004288385
NTAN1,178.0,0.344459601,320.0,0.013008,-0.325084286
NUBP1,246.0,0.455923678,142.0,0.480984,-0.105006717
NUCKS1,5461.0,0.359398328,271.0,-0.452757,0.128932306
NUDC,716.0,0.476401948,127.0,-0.199593,-0.085735524
NUDT16,5489.0,0.428387545,75.0,-0.622012,0.244361586
NUMA1,663.0,0.474508115,436.0,-0.082968,0.193029427
NUP93,5678.0,0.382018893,495.0,0.350899,-0.015812838
NXF1,2943.0,0.375826754,136.0,1.041409,0.099406576
OCIAD2,4872.0,0.363821488,322.0,-0.003034,0.313917123
OGDH,1071.0,0.396078149,159.0,0.000821,-0.084304626
OPA3,7233.0,0.475004358,100.0,-0.2693,0.374273429
OSBPL2,2363.0,0.383456763,571.0,-0.48464,-0.363919062
OSBPL5,1099.0,0.381371042,158.0,-1.848564,0.109151829
OVCA2,792.0,0.429983078,65.0,0.49144,0.117899388
P2RX4,573.0,0.442596273,304.0,-0.17738,0.813057237
PAAF1,509.0,0.376143366,341.0,0.016638,0.294803978
PACSIN2,1591.0,0.413490434,405.0,-0.401394,0.239433937
PARK7,451.0,0.457171775,163.0,0.285794,0.819686334
PARP1,769.0,0.460215809,171.0,0.262486,0.210569902
PARP10,332.0,0.422654659,200.0,0.856933,-0.135200583
PARP12,816.0,0.416480622,874.0,1.199244,-0.112401744
PARP14,2243.0,0.414355918,59.0,1.342089,0.077567954
PARP9,451.0,0.418102187,327.0,0.377556,-0.138156651
PARVG,2043.0,0.383803232,484.0,4.211382,0.081297594
PBK,750.0,0.413339119,464.0,-0.655834,-0.896782198
PCNA,338.0,0.425000199,239.0,0.058775,-0.515272833
PDAP1,2007.0,0.464659554,134.0,-0.386947,-0.211054528
PDCD2,155.0,0.440448783,111.0,0.327781,-0.33424188
PDCD2L,48.0,0.433436103,33.0,-0.018919,-0.235683125
PDCD6IP,3211.0,0.388727459,158.0,-0.10853,0.573308935
PDHA1,2054.0,0.402514578,145.0,-0.139644,-0.135446196
PDHB,2974.0,0.442593378,43.0,0.152303,-0.084702984
PDLIM1,357.0,0.379179626,233.0,0.327358,-0.734168537
PDXDC1,2055.0,0.375670185,335.0,-1.224865,0.005103643
PDXK,6244.0,0.398158884,198.0,-1.052569,0.257550413
PEBP1,796.0,0.360152166,326.0,-0.339384,0.395275333
PEF1,769.0,0.441759403,424.0,-0.07994,0.549552635
PELO,5222.0,0.385240523,985.0,-1.045216,-0.188778242
PEPD,395.0,0.450896903,133.0,-0.089002,-0.791757985
PEX16,585.0,0.43213601,312.0,0.365841,0.228972404
PEX6,946.0,0.370078344,93.0,-0.194219,-0.16869318
PEX7,2294.0,0.407005497,102.0,-0.870614,0.26240908
PFDN5,124.0,0.497062947,117.0,0.909192,-0.236294114
PFDN6,574.0,0.470152145,222.0,0.269045,-0.123152573
PGM1,570.0,0.393980016,681.0,-1.074137,0.304252297
PHB,988.0,0.45268542,190.0,-0.712911,-0.10947334
PHF10,104.0,0.365149381,79.0,0.522806,-0.629934554
PI4K2A,2692.0,0.385068362,57.0,-0.165308,0.020134124
PIAS1,3626.0,0.396022529,741.0,0.545484,0.105301819
PIK3AP1,3866.0,0.407313024,128.0,3.339816,-0.231896047
PIR,205.0,0.385796208,485.0,-0.274974,0.114362445
PITPNC1,4686.0,0.369070722,874.0,1.461208,0.391775183
PLA2G7,1187.0,0.402486321,269.0,2.607924,0.224857949
PLAUR,323.0,0.418467601,226.0,-1.057055,-0.313611955
PLCB2,818.0,0.468984469,301.0,3.269407,0.221887795
PLCG1,3987.0,0.454806205,121.0,0.954024,-0.35375524
PLD4,273.0,0.377985619,192.0,2.695091,-0.398846963
PLEKHO1,5192.0,0.424698037,839.0,2.167219,0.143504763
PLEKHO2,2119.0,0.429714475,134.0,0.719533,-0.065202892
PLSCR1,10376.0,0.415598704,388.0,0.526137,0.092828436
PML,3324.0,0.431306474,140.0,0.527871,0.025009758
POLR1C,1131.0,0.439933821,86.0,-0.498504,-0.15087041
POLR1D,1469.0,0.427162265,456.0,0.345112,-0.066266691
POLR2F,1600.0,0.47244007,250.0,-0.077125,-0.108389511
POLR2H,1065.0,0.427596015,1167.0,-0.355577,0.292699033
POLR3H,3481.0,0.444306047,388.0,-0.596363,-0.106484957
POLR3K,1023.0,0.473025152,46.0,-0.517302,-0.307191888
PPA2,660.0,0.432735716,20.0,-0.610617,-0.045269792
PPIE,4556.0,0.446406574,56.0,0.185704,-0.100185083
PPIL1,1921.0,0.453832883,252.0,-0.472039,0.274425232
PPP1R14B,282.0,0.457456004,268.0,-0.719572,-0.263209626
PRC1,1136.0,0.367783806,234.0,-0.932128,-0.773359136
PRCC,357.0,0.381841119,290.0,-0.4436,0.056665642
PRDX1,303.0,0.414090753,341.0,0.012817,0.832157802
PRDX6,944.0,0.433706552,51.0,-0.505344,0.406523414
PREB,658.0,0.378530018,403.0,-0.219049,0.540877226
PREP,579.0,0.425974009,233.0,-0.212312,-0.142466928
PRG4,784.0,0.366727173,51.0,1.26435,-0.18567927
PRIM2,1166.0,0.350864643,125.0,-0.153953,-0.302756113
PRKAB1,1305.0,0.365943644,289.0,-0.0308,0.056356252
PRKAR2A,5019.0,0.427443141,254.0,-1.420149,0.488870976
PRKCB,5795.0,0.38010529,197.0,5.436009,0.598596855
PRKCD,451.0,0.404392693,469.0,0.258003,0.177766364
PRKRA,683.0,0.420894136,659.0,-0.252084,-0.129664364
PRKRIP1,3224.0,0.453589322,55.0,0.59705,0.066556122
PRMT5,393.0,0.386451423,508.0,-1.12916,0.142367773
PRMT7,3655.0,0.450088803,850.0,0.265825,0.205984097
PROCR,549.0,0.357872186,218.0,-0.017155,0.260967415
PRPS1,3908.0,0.466551451,409.0,0.713525,0.884039834
PRPSAP1,2056.0,0.390811115,688.0,-0.416643,0.044257544
PRRC1,3173.0,0.409170839,188.0,-0.622399,0.418090294
PSMA5,2997.0,0.446573967,225.0,0.02199,0.4567792
PSMA6,187.0,0.423632682,445.0,-0.288568,0.551960872
PSMB10,58.0,0.455018511,128.0,1.894941,0.468660372
PSMB2,3775.0,0.389848815,412.0,0.085333,0.561591222
PSMB8,242.0,0.411206622,522.0,1.371923,0.505023278
PSMB9,5497.0,0.431095699,69.0,2.360775,0.267824708
PSMC3,66.0,0.485654947,194.0,-0.387755,0.27567358
PSMD11,2567.0,0.390095635,61.0,-0.428998,0.172083759
PSMD13,384.0,0.437236365,242.0,0.078468,0.37558498
PSMD8,450.0,0.458928351,52.0,-0.652445,0.336293073
PSME2,53.0,0.443656162,65.0,1.233471,0.681002756
PSMG1,5308.0,0.427553471,578.0,-0.217569,0.147123519
PSTPIP2,1923.0,0.429639796,96.0,-0.260988,0.303195185
PTBP1,1504.0,0.473818895,106.0,-0.016404,0.070667185
PTDSS1,3765.0,0.367954205,423.0,0.321481,-0.318138788
PTGS1,3346.0,0.37260918,633.0,0.292222,0.437202282
PTP4A1,3419.0,0.421202001,1153.0,-0.699449,0.152083261
PTPMT1,1899.0,0.450492628,193.0,-0.209119,-0.303433678
PTPN18,2185.0,0.381656528,101.0,0.719776,0.699374113
PTPN7,1593.0,0.440747449,781.0,4.409974,0.485599075
PTPRE,2994.0,0.426620112,1843.0,1.167832,0.045663656
PTPRF,4571.0,0.452810321,356.0,-2.85394,0.849119981
PTRH2,3186.0,0.370743372,1544.0,-0.509235,-0.526398544
PWWP2B,819.0,0.424412275,29.0,-0.586531,0.293717306
PYCR2,578.0,0.474148407,230.0,0.430316,0.041839258
PYGL,175.0,0.392036998,127.0,-1.873594,-0.524766168
QARS,97.0,0.458996209,396.0,-0.080986,0.113578944
RAB11FIP1,4277.0,0.380614122,56.0,-0.594441,-0.612532357
RAB12,1120.0,0.38483812,283.0,0.27657,0.211866526
RAB21,5246.0,0.435367738,267.0,-0.112845,-0.021851361
RAB31,3231.0,0.437498832,175.0,-0.523705,1.083980088
RAB35,2172.0,0.408841719,189.0,-0.041381,0.522616158
RAB7A,1376.0,0.419395127,232.0,-0.178943,0.125486613
RAB8B,4163.0,0.425956778,96.0,2.18167,0.741338203
RAB9A,1716.0,0.417525007,283.0,0.065952,0.170878144
RABGGTA,77.0,0.387342734,512.0,0.170198,0.224511921
RABGGTB,440.0,0.409412379,78.0,0.225179,0.30658043
RABIF,4760.0,0.447399225,159.0,-0.46684,-0.220200466
RACGAP1,1895.0,0.366370127,354.0,-0.775375,-0.770685204
RAD9A,924.0,0.444046557,185.0,0.560094,0.110367636
RAE1,1112.0,0.432613552,365.0,-0.500546,-0.085255076
RAI1,1472.0,0.455620822,469.0,-0.55513,0.141085171
RAN,2043.0,0.442855294,361.0,-0.089198,0.040801367
RANBP10,3359.0,0.379453562,1256.0,0.052986,-0.086691386
RANGAP1,3145.0,0.481547647,765.0,-0.368955,0.010197165
RAPGEF1,2727.0,0.425793135,159.0,1.256606,0.031449503
RARS,114.0,0.423508657,41.0,-0.444802,0.486343962
RASGRP2,183.0,0.381671176,582.0,6.305625,0.730389179
RASGRP4,985.0,0.374724859,214.0,1.680959,0.127320216
RBBP4,6506.0,0.404056961,164.0,0.199402,0.091325397
RBBP5,3098.0,0.421849625,474.0,-0.411114,-0.36366349
RBKS,251.0,0.392307233,1371.0,-0.649985,0.582101606
RBM12,3599.0,0.375183789,304.0,0.112819,0.007336622
RBM14,3443.0,0.468008211,139.0,0.047622,0.150062088
RBM4B,5277.0,0.396841232,170.0,0.069814,-0.280763141
RBMX,1201.0,0.353737079,210.0,0.535803,0.016257326
RBPJ,4223.0,0.4178224,518.0,0.488247,-0.217175426
RBX1,821.0,0.46562919,52.0,0.224373,0.016355388
RC3H1,7637.0,0.410085914,87.0,0.380661,0.087482361
RCCD1,1773.0,0.374130224,280.0,0.066133,-0.188829066
RCOR1,4070.0,0.439565312,228.0,-0.315572,-0.323484592
REEP4,591.0,0.460338979,469.0,-0.141405,0.442268677
REEP5,2962.0,0.457536941,144.0,-0.592911,1.191266691
RELB,408.0,0.418226182,131.0,1.733951,-0.028374653
REPIN1,2683.0,0.45080531,489.0,-0.176359,0.131191596
RFC4,89.0,0.411167541,282.0,0.407647,-0.223709842
RFK,1882.0,0.429285662,357.0,-0.436049,-0.197168125
RFX5,1546.0,0.386685917,221.0,1.343739,0.481878431
RFXAP,1850.0,0.421314391,156.0,0.860048,0.722473155
RHBDF2,740.0,0.423256567,294.0,1.596082,0.172279676
RHOT2,568.0,0.454546166,881.0,0.662042,0.242223263
RINL,1279.0,0.357351373,413.0,2.365161,-0.314254786
RNASE2,179.0,0.384567964,71.0,-0.674376,0.313898525
RNASEH1,4369.0,0.404567903,700.0,-0.412834,-0.217832213
RNASEH2B,3930.0,0.37625722,399.0,1.330292,0.356160967
RNASET2,1070.0,0.374792559,407.0,1.363238,0.304101601
RNF114,1751.0,0.459950313,36.0,0.087978,-0.441571987
RNF167,289.0,0.375291206,776.0,0.49426,0.648734125
RNF20,5226.0,0.396317502,92.0,-0.382495,-0.035240789
RNF213,5288.0,0.417718743,150.0,1.089894,-0.096439983
RNF216,2819.0,0.430061571,259.0,0.634039,0.04334348
RNF25,102.0,0.375620157,88.0,0.31845,0.006908252
RNF31,88.0,0.389352607,358.0,0.331984,0.08805133
RNLS,1252.0,0.416402283,135.0,-0.625069,-0.056395564
RNMT,4581.0,0.415128602,241.0,-0.004932,-0.098116226
RNPEP,463.0,0.447181346,896.0,-0.386889,1.082689334
RP9,437.0,0.42869019,18.0,0.841403,-0.032212686
RPA1,2907.0,0.381710028,170.0,0.130283,0.186223354
RPA2,639.0,0.400070522,793.0,0.780978,0.093554895
RPAIN,471.0,0.394698889,570.0,0.579437,0.731223736
RPL11,461.0,0.442317923,45.0,0.844517,0.139625009
RPL14,5208.0,0.496792394,133.0,0.651142,0.504155005
RPL23,3146.0,0.464880603,90.0,0.36117,-0.304875563
RPL26,53.0,0.427802183,389.0,0.930684,0.086824972
RPL31,1260.0,0.451994935,87.0,0.279515,0.198651922
RPL34,1350.0,0.436455219,198.0,0.866752,0.604065137
RPL5,1058.0,0.451564158,75.0,0.862614,0.077119709
RPL7,1077.0,0.460258279,707.0,0.288049,0.647897516
RPS11,373.0,0.483080585,92.0,0.942073,0.288759815
RPS24,4247.0,0.430653047,142.0,0.53986,0.290449783
RPS25,109.0,0.467193878,63.0,1.291902,-0.6630597
RPS27A,743.0,0.450449292,321.0,0.819615,-0.114830337
RPS3A,306.0,0.426765211,80.0,0.865392,-0.285414526
RPS4X,629.0,0.442998752,96.0,0.616813,-0.063022323
RPS6,2723.0,0.413925579,42.0,0.924202,0.519709094
RPS6KA1,828.0,0.389798854,163.0,1.141662,0.058912945
RPS6KA4,735.0,0.38455359,226.0,0.642073,0.113316338
RPS7,66.0,0.428822459,109.0,0.845598,-0.14222464
RPTOR,2341.0,0.385169267,805.0,-0.271287,0.215153438
RREB1,3012.0,0.456825357,492.0,-0.408466,0.137202363
RRM1,2304.0,0.437568848,689.0,-0.707852,-0.515076447
RRP8,5071.0,0.446233376,148.0,-0.39632,-0.397966837
RRS1,978.0,0.468289248,104.0,-0.317635,0.04946356
RTN3,1690.0,0.358048129,187.0,-1.124667,0.413641996
RTN4IP1,1108.0,0.372133716,477.0,0.351776,-0.421682434
RUNX1,4334.0,0.416076551,1578.0,-0.800269,-0.222746703
RUNX3,2611.0,0.405217602,439.0,3.457332,-0.057828309
RWDD1,6365.0,0.401367905,746.0,0.491182,0.361183544
S100A8,71.0,0.444112716,170.0,2.952774,-1.876474247
S100A9,189.0,0.439508357,43.0,3.100195,-1.749455394
SAMD9,1815.0,0.395660052,270.0,2.383235,0.062881816
SAMD9L,1162.0,0.396305952,1248.0,2.318513,-0.22281129
SAMM50,150.0,0.345249646,197.0,-0.140946,0.159356226
SAMSN1,684.0,0.407246581,430.0,3.12039,0.228489756
SAP18,1754.0,0.427429047,39.0,-0.03365,-0.001157787
SAP30BP,1541.0,0.449617255,257.0,0.276307,-0.233718228
SAR1A,5213.0,0.411769389,203.0,-0.381313,0.203805884
SAR1B,5806.0,0.392367964,253.0,-0.385628,0.303205584
SARS,1054.0,0.40098191,100.0,-0.376116,0.460391502
SASH3,1369.0,0.387406112,182.0,4.209765,0.254289499
SCAMP4,1741.0,0.472519575,351.0,-0.728786,0.45710863
SCO1,8645.0,0.407339367,61.0,-0.540424,0.200603753
SDCCAG8,307.0,0.360606297,1542.0,-0.109607,0.220429838
SEC11C,205.0,0.423646802,92.0,0.204769,0.206552336
SEC13,332.0,0.457264526,210.0,-0.45435,0.194720712
SEC14L1,2986.0,0.420320088,665.0,0.44909,-0.003596656
SEC24B,1221.0,0.400931805,155.0,-0.053066,0.139346881
SEC24D,2115.0,0.386600041,297.0,-0.691294,-0.124349476
SEC61B,270.0,0.404562259,76.0,0.014734,0.34261835
SEMA3F,960.0,0.38837398,318.0,-1.318209,-0.436561376
SEMA4A,755.0,0.412797256,345.0,0.562765,0.198177002
SEMA4D,2318.0,0.393173667,572.0,2.459181,0.08913719
SERPINA1,1707.0,0.420489385,573.0,-0.608453,-0.44082259
SERPINB8,2096.0,0.38524815,520.0,1.161294,-0.328885281
SETMAR,321.0,0.414235412,398.0,-1.031379,-0.058322964
SF1,2419.0,0.374481437,721.0,0.283336,-0.114806834
SF3B2,563.0,0.453902675,40.0,0.176307,0.098604558
SFXN4,500.0,0.402513841,45.0,-0.161654,-0.313332504
SH3BP1,433.0,0.395530944,313.0,2.33145,0.066021771
SH3PXD2B,4870.0,0.420952884,171.0,-2.172534,-0.580432719
SHMT1,4335.0,0.394510245,509.0,-0.117477,0.460147955
SIGLEC1,1590.0,0.42099348,0.0,0.905263,0.152482748
SIPA1,2933.0,0.437718847,296.0,2.629724,0.179991274
SIRPA,3027.0,0.429235057,360.0,0.393866,0.016877407
SKP1,8791.0,0.433886974,179.0,-0.661871,0.301051809
SLBP,3046.0,0.391438372,553.0,0.189982,0.030826845
SLC25A10,1929.0,0.386184273,191.0,-1.642599,-0.497478434
SLC25A19,477.0,0.386093473,224.0,0.67926,-0.121008332
SLC25A20,787.0,0.382641976,199.0,0.747758,1.012800309
SLC25A3,504.0,0.383836987,354.0,-0.401297,0.389507004
