,3prime,tAI,max_5_UTR_length,TCGA-AO-A0J9,TCGA-AO-A0J9.1
IGFBP7,558.0,0.392734536,34.0,1.315032,-0.261534052
IL16,3965.0,0.367979445,2395.0,0.593693,0.218177916
IL1RN,1145.0,0.411881061,408.0,1.838895,0.191156231
IL4I1,16.0,0.4139018,621.0,1.868745,0.076170383
ILF2,656.0,0.426220446,239.0,-0.487858,-0.036775336
IMPA2,2898.0,0.383680893,242.0,0.0226,-0.352114931
INO80,5209.0,0.374025479,351.0,-0.929198,-0.027980545
INPP1,263.0,0.395712795,700.0,0.839991,0.28318668
INPP5D,1195.0,0.436077769,512.0,0.661076,0.053568992
INSR,4801.0,0.380857973,411.0,0.141704,-0.278180616
IPO5,2508.0,0.381335948,180.0,-0.135514,0.18025409
IRF7,92.0,0.423538356,367.0,0.111907,-0.21456617
IRF8,1327.0,0.384714127,507.0,0.401681,0.104369625
IRF9,369.0,0.432057622,127.0,0.381268,-0.361649743
IRGQ,7659.0,0.399674011,156.0,-0.502151,0.023784909
ISCU,607.0,0.454630229,1331.0,0.722551,0.325064291
ISG15,62.0,0.419522688,77.0,0.92521,-1.051553175
ISG20,952.0,0.419932377,2368.0,-0.735661,-0.45839466
ISOC1,1056.0,0.418535314,18.0,0.269983,-0.112498166
ITGB2,415.0,0.457304004,395.0,1.107766,0.014334601
ITPKB,2981.0,0.440250717,340.0,-0.263154,0.004383404
JUNB,496.0,0.414023332,276.0,-0.326773,0.104154657
JUP,157.0,0.458302936,298.0,-0.250554,-0.493063157
KANK2,2291.0,0.394238955,361.0,0.869849,0.50221094
KARS,4202.0,0.383913431,144.0,0.571864,-0.011466996
KDM1A,327.0,0.428444011,149.0,-0.534225,0.0768958
KDM2A,3716.0,0.372295488,864.0,-0.76396,-0.20972651
KDM2B,2488.0,0.393022165,407.0,0.207628,-0.041449708
KDM3B,1327.0,0.37791414,200.0,0.060228,0.327461919
KDM4A,1148.0,0.378142374,166.0,-0.80784,-0.098912523
KHSRP,1024.0,0.456900489,110.0,0.105696,-0.058084902
KIAA2013,727.0,0.385456054,191.0,0.08987,-0.524860351
KIF20A,757.0,0.371463873,496.0,0.999109,-0.707007049
KIF22,75.0,0.392489541,388.0,0.729403,-0.411805134
KIF2C,588.0,0.387865377,395.0,-0.65237,-0.616553461
KIF3B,3792.0,0.390782105,180.0,0.087084,0.269300738
KIF5B,3198.0,0.418236129,470.0,-0.317195,-0.042377132
KLHL7,3616.0,0.41595405,521.0,-0.524643,-0.259915835
KTI12,594.0,0.370414154,39.0,0.087989,-0.040213839
LAMP1,1311.0,0.390985106,281.0,-0.550705,-0.094499233
LANCL2,2422.0,0.433733517,578.0,0.337752,-0.229572537
LAP3,503.0,0.426841798,162.0,-0.74443,-0.165281345
LDHD,1826.0,0.398770776,52.0,0.46715,-0.115069625
LENG1,560.0,0.445950324,48.0,0.560218,-0.008635922
LGALS3,159.0,0.420172221,88.0,1.613249,0.375862069
LGALS3BP,1225.0,0.419930622,179.0,0.725959,-0.383613989
LGALS9,641.0,0.410654931,118.0,1.692429,0.181506776
LIN54,4893.0,0.441729058,383.0,-0.198486,-0.101628621
LPCAT1,2228.0,0.380803123,133.0,-0.121671,-0.18321541
LPXN,1776.0,0.432350833,254.0,1.873917,0.173922681
LRPPRC,2376.0,0.377375074,58.0,-0.473439,-0.328958684
LRRC41,465.0,0.438391248,44.0,-0.985797,-0.390889536
LRRC59,1755.0,0.423067849,236.0,-0.305839,-0.50239287
LSM1,486.0,0.409616526,410.0,-0.006515,-0.345588903
LSM6,1871.0,0.435100303,139.0,0.390651,0.226790337
LTA4H,391.0,0.355044638,145.0,1.287671,0.112417467
LYN,4058.0,0.418972994,282.0,0.421408,-0.077280468
LYPLAL1,1137.0,0.3973742,157.0,0.7936,0.120075619
LYRM4,6830.0,0.366844497,217.0,0.641131,0.061374783
LYSMD2,596.0,0.394037378,501.0,0.734645,0.15219516
M6PR,1457.0,0.379162834,275.0,-0.018449,0.169713553
MAD2L1,4528.0,0.407191351,124.0,-0.679174,-0.312669703
MAFB,2032.0,0.405989564,390.0,0.873245,0.301523312
MAGED2,327.0,0.466698843,233.0,-0.421114,-0.391250022
MAGOH,153.0,0.416054235,162.0,0.656487,0.289943833
MAN2B1,128.0,0.381728903,76.0,1.045423,0.066424718
MANF,717.0,0.420319188,97.0,-0.54452,-0.33890363
MAP4K1,170.0,0.374128007,140.0,0.917201,-0.129652923
MARCKSL1,768.0,0.468216312,206.0,-0.124438,-0.441785786
MAX,2676.0,0.337149475,479.0,0.775351,0.332427159
MBD2,3723.0,0.420256858,229.0,0.695801,-0.211075154
MBP,4041.0,0.393290432,264.0,-0.064294,-0.241207407
MCM2,662.0,0.460999542,110.0,-0.581899,-0.654497427
MCM4,2618.0,0.371821308,942.0,-2.15418,-0.62419279
MCM5,3214.0,0.470488076,94.0,0.348016,-0.699051091
MDC1,658.0,0.415783633,440.0,-0.574016,-0.158955779
MDH1,210.0,0.381672323,435.0,0.774799,-0.000555134
ME1,1535.0,0.411214685,265.0,0.202846,-0.317746217
ME3,171.0,0.395156177,377.0,1.421806,0.415651747
MECR,1365.0,0.445670958,612.0,0.124777,0.220245233
MED17,2631.0,0.366528813,275.0,-0.630913,0.178024851
MED19,934.0,0.439623042,93.0,-0.273148,-0.269214284
MED28,10307.0,0.440157501,27.0,0.173397,-0.052652889
MED29,4550.0,0.464327351,57.0,-0.112254,0.013757262
MEN1,824.0,0.454590692,504.0,-0.402867,0.258173201
METTL13,961.0,0.396264071,347.0,-0.51544,0.264880092
MGST3,1295.0,0.374563048,428.0,0.926101,-0.390977573
MIF4GD,787.0,0.397877071,137.0,-0.325412,0.126520955
MINK1,774.0,0.455972684,525.0,-0.051426,0.200989619
MIS12,1334.0,0.420723459,745.0,0.281264,0.552836244
MLEC,5319.0,0.43043384,173.0,-0.301292,0.116217938
MLLT10,2252.0,0.36295117,1568.0,-0.278867,-0.49695853
MLX,1636.0,0.386664187,65.0,0.0486,-0.049325805
MMGT1,4451.0,0.406300672,388.0,-0.784709,-0.53263888
MMP1,502.0,0.392399458,189.0,-3.101992,-0.753910831
MMP14,1722.0,0.419367787,285.0,-0.475242,0.271338641
MMP9,193.0,0.404253633,19.0,1.147343,-0.673864074
MORC3,2052.0,0.406702124,375.0,-0.748532,0.013976888
MORF4L1,1066.0,0.420719378,454.0,0.182305,0.227451921
MOV10,619.0,0.412681236,1415.0,0.277821,-0.291512925
MPDU1,797.0,0.440676037,216.0,0.513702,0.122526008
MPHOSPH10,87.0,0.404440607,352.0,0.034087,-0.190729478
MRI1,2018.0,0.459301832,75.0,-0.292787,-0.162018428
MRPL13,1075.0,0.395373051,313.0,-0.913204,0.069049207
MRPL15,1888.0,0.407701507,63.0,-0.324825,-0.153143449
MRPL16,212.0,0.368940255,214.0,0.607086,-0.095677354
MRPL17,6554.0,0.424450505,105.0,0.757567,0.065121292
MRPL2,580.0,0.458698472,164.0,0.696375,-0.105749842
MRPL20,187.0,0.445765675,96.0,-0.130717,0.170411758
MRPL21,55.0,0.417448467,293.0,0.288581,-0.041190956
MRPL27,2133.0,0.436300758,31.0,0.875017,0.142649734
MRPL40,113.0,0.406843086,653.0,0.877545,-0.114351481
MRPL46,1889.0,0.422788385,25.0,-0.066999,-0.040047246
MRPL48,1284.0,0.368940255,212.0,0.095096,0.174690756
MRPL51,2069.0,0.35376587,169.0,0.580777,-0.353534539
MRPL53,198.0,0.441261883,155.0,0.764714,-0.262514943
MRPL9,407.0,0.432679379,437.0,0.636224,-0.129696616
MRPS11,2793.0,0.477818717,1491.0,-0.18245,-0.204959374
MRPS15,468.0,0.440649404,164.0,1.231837,-0.139493788
MRPS17,1334.0,0.413812124,30.0,0.50263,-0.312075571
MRPS18B,936.0,0.408462865,157.0,-0.055804,-0.284415653
MRPS36,933.0,0.3748339,84.0,1.332967,0.146844911
MRPS7,453.0,0.455992019,233.0,-0.295832,-0.495225926
MSI2,5168.0,0.366385762,173.0,-1.206868,-0.315432975
MSTO1,694.0,0.421389639,1152.0,0.294753,0.10490469
MT1E,291.0,0.588704726,179.0,0.914594,-2.439271841
MT2A,316.0,0.576670685,123.0,1.44804,-2.400909176
MTA2,684.0,0.459443446,761.0,-0.345055,0.069064042
MTFMT,1550.0,0.414190941,26.0,-0.701078,-0.221661939
MTHFS,1663.0,0.434592403,179.0,0.883825,0.286543981
MTMR1,2442.0,0.424163835,319.0,-0.107534,0.142872584
MTMR14,421.0,0.371137969,151.0,0.545743,0.022930074
MVP,50.0,0.435053297,193.0,0.809799,0.192764225
MX1,456.0,0.433488503,982.0,-0.147796,-0.775892153
MX2,1812.0,0.430094961,104.0,0.450451,-0.108912306
MYADM,2833.0,0.384589896,681.0,0.0667,-0.243097972
MYCBP,3972.0,0.381803634,73.0,-0.48631,-0.181698619
MYL12A,812.0,0.453450746,478.0,0.613833,-0.165769051
MYO18A,3647.0,0.395788337,484.0,-1.077643,-0.122654843
MYO9B,1401.0,0.398943925,152.0,0.462584,0.325645499
N6AMT1,5137.0,0.427535625,28.0,0.426156,0.429292662
NAA40,3212.0,0.389371031,261.0,-0.644228,-0.425273502
NAB1,2433.0,0.361024962,572.0,0.000203,0.010556669
NADK,1672.0,0.3959688,563.0,-0.463076,-0.162682049
NADSYN1,464.0,0.447848979,126.0,0.331727,-0.155054316
NAGK,1297.0,0.42527382,474.0,0.427844,-0.166948553
NANS,37.0,0.458552255,132.0,0.986067,0.155205416
NAPA,1862.0,0.477781443,318.0,0.280838,-0.226126213
NAT10,4915.0,0.387474071,245.0,-0.568395,-0.217508303
NBAS,140.0,0.414580543,44.0,-0.556385,0.098670246
NCALD,2767.0,0.374888213,460.0,-0.555402,-0.582927103
NCAPD3,2971.0,0.431957579,606.0,-1.024685,0.109354466
NCAPG2,3501.0,0.41630572,200.0,-0.701973,-0.15911037
NCF1,2381.0,0.415579251,70.0,0.713461,-0.154232232
NCK2,1267.0,0.457831152,276.0,-0.077675,-0.174310432
NCKIPSD,4981.0,0.449411541,126.0,-0.04073,-0.050661713
NCOA5,1332.0,0.416761948,402.0,0.134322,0.176966495
NCOA7,3259.0,0.404217869,470.0,-0.680371,0.006260402
NDC80,61.0,0.356199389,182.0,0.488755,-0.285862183
NDRG2,841.0,0.376266446,941.0,-0.084569,-0.446379324
NDUFA4,1685.0,0.439642808,129.0,0.203745,-0.458380992
NEU1,667.0,0.413226082,156.0,-0.056837,-0.140976396
NFATC2IP,3242.0,0.412267479,15.0,0.305372,0.034313825
NFKB1,708.0,0.4099683,467.0,-0.633644,0.344590344
NFKB2,153.0,0.424806573,563.0,1.345696,0.440670602
NFKBIE,1053.0,0.409138176,25.0,1.10143,0.314252085
NGDN,1255.0,0.423783924,27.0,0.204017,-0.394644537
NGRN,1679.0,0.414477409,50.0,-0.098328,0.289815123
NIP7,1593.0,0.443769116,318.0,0.051688,-0.014956005
NIT2,2351.0,0.432361565,74.0,0.055975,-0.120083984
NMNAT3,2689.0,0.397393877,1228.0,0.833981,0.359481781
NMT1,3377.0,0.454689408,31.0,-0.14601,-0.005216287
NONO,1092.0,0.432928506,710.0,-0.344086,-0.149542763
NOP14,912.0,0.38067473,187.0,-1.017948,-0.078181596
NOP2,785.0,0.393538298,198.0,0.715205,-0.217581676
NOTCH2,6062.0,0.409327653,297.0,-0.656512,0.247387128
NPTN,1068.0,0.388989686,197.0,-0.715701,0.148629539
NR2C2,6271.0,0.390767743,362.0,-0.454134,0.237821302
NRBF2,883.0,0.43605128,224.0,0.049955,0.102486984
NRF1,1901.0,0.447602651,500.0,-0.000819,0.081308429
NRGN,833.0,0.413631862,152.0,1.137633,0.093360173
NRP1,3846.0,0.416817106,523.0,1.10881,0.295090859
NSFL1C,1587.0,0.42738001,868.0,0.123815,0.068748651
NSMAF,602.0,0.358586884,214.0,0.117568,0.095008668
NTAN1,178.0,0.344459601,320.0,0.975081,0.140057388
NUBP1,246.0,0.455923678,142.0,1.107722,0.037511411
NUCKS1,5461.0,0.359398328,271.0,0.610226,0.86345654
NUDC,716.0,0.476401948,127.0,0.083071,-0.198784729
NUDT16,5489.0,0.428387545,75.0,-0.118515,-0.19575285
NUMA1,663.0,0.474508115,436.0,-0.332301,-0.078145615
NUP93,5678.0,0.382018893,495.0,-0.198738,-0.027759655
NXF1,2943.0,0.375826754,136.0,-0.028298,-0.11273662
OCIAD2,4872.0,0.363821488,322.0,0.894697,-0.292825739
OGDH,1071.0,0.396078149,159.0,0.11268,0.179392736
OPA3,7233.0,0.475004358,100.0,-0.024077,0.048731788
OSBPL2,2363.0,0.383456763,571.0,-0.377276,-0.107484574
OSBPL5,1099.0,0.381371042,158.0,-0.311914,-0.083963959
OVCA2,792.0,0.429983078,65.0,0.610333,0.058928609
P2RX4,573.0,0.442596273,304.0,0.117853,0.186331929
PAAF1,509.0,0.376143366,341.0,-0.10077,-0.113425351
PACSIN2,1591.0,0.413490434,405.0,-1.444734,-0.185371383
PARK7,451.0,0.457171775,163.0,0.453966,-0.302975881
PARP1,769.0,0.460215809,171.0,-0.414931,0.133674571
PARP10,332.0,0.422654659,200.0,-0.757623,-0.104526887
PARP12,816.0,0.416480622,874.0,0.050428,-0.029947318
PARP14,2243.0,0.414355918,59.0,-0.123737,-0.006540485
PARP9,451.0,0.418102187,327.0,-0.529703,-0.023907676
PARVG,2043.0,0.383803232,484.0,1.931043,0.416396511
PBK,750.0,0.413339119,464.0,-0.422263,-0.531418482
PCNA,338.0,0.425000199,239.0,0.511982,-0.42936558
PDAP1,2007.0,0.464659554,134.0,0.123994,-0.111256876
PDCD2,155.0,0.440448783,111.0,0.382623,-0.078217292
PDCD2L,48.0,0.433436103,33.0,0.537944,-0.250716111
PDCD6IP,3211.0,0.388727459,158.0,-0.170417,0.169773004
PDHA1,2054.0,0.402514578,145.0,0.173777,-0.066384551
PDHB,2974.0,0.442593378,43.0,0.62042,-0.269581511
PDLIM1,357.0,0.379179626,233.0,1.082808,-0.109649727
PDXDC1,2055.0,0.375670185,335.0,-0.340308,0.181111175
PDXK,6244.0,0.398158884,198.0,0.335567,0.072109401
PEBP1,796.0,0.360152166,326.0,0.637601,-0.166887027
PEF1,769.0,0.441759403,424.0,0.272124,0.015992168
PELO,5222.0,0.385240523,985.0,-0.095975,0.124383497
PEPD,395.0,0.450896903,133.0,0.672027,0.207521177
PEX6,946.0,0.370078344,93.0,-0.545648,-0.110478564
PEX7,2294.0,0.407005497,102.0,-0.905788,0.016686112
PFDN5,124.0,0.497062947,117.0,1.742474,-0.081453221
PFDN6,574.0,0.470152145,222.0,1.348473,0.015002779
PGM1,570.0,0.393980016,681.0,-0.156644,-0.070563211
PHB,988.0,0.45268542,190.0,0.136041,-0.015377073
PHF10,104.0,0.365149381,79.0,-0.092369,0.257453611
PI4K2A,2692.0,0.385068362,57.0,0.602944,0.095947048
PIAS1,3626.0,0.396022529,741.0,-0.309292,-0.043528323
PIK3AP1,3866.0,0.407313024,128.0,0.958089,-0.209020695
PIR,205.0,0.385796208,485.0,1.141722,-0.358153866
PITPNC1,4686.0,0.369070722,874.0,0.795135,-0.031333762
PLAUR,323.0,0.418467601,226.0,0.800328,0.068355509
PLCB2,818.0,0.468984469,301.0,1.395451,0.156457628
PLCG1,3987.0,0.454806205,121.0,-0.174385,-0.107521465
PLD4,273.0,0.377985619,192.0,-1.045684,0.122252331
PLEKHO1,5192.0,0.424698037,839.0,1.83427,0.030314494
PLEKHO2,2119.0,0.429714475,134.0,1.471819,0.430197695
PLSCR1,10376.0,0.415598704,388.0,-0.019811,-0.431840231
PML,3324.0,0.431306474,140.0,0.635212,-0.106932979
POLR1C,1131.0,0.439933821,86.0,-0.090301,-0.331056725
POLR1D,1469.0,0.427162265,456.0,0.578766,-0.086404302
POLR2F,1600.0,0.47244007,250.0,0.643843,-0.365477715
POLR2H,1065.0,0.427596015,1167.0,0.166373,0.064505202
POLR3H,3481.0,0.444306047,388.0,-0.292773,-0.385799648
POLR3K,1023.0,0.473025152,46.0,0.08601,-0.018090815
PPA2,660.0,0.432735716,20.0,0.035175,0.206745272
PPIE,4556.0,0.446406574,56.0,0.233298,-0.058265328
PPIL1,1921.0,0.453832883,252.0,-0.470161,0.02466907
PPP1R14B,282.0,0.457456004,268.0,0.789177,-0.332445005
PRC1,1136.0,0.367783806,234.0,-0.643296,-0.494520561
PRCC,357.0,0.381841119,290.0,0.405809,0.036884107
PRDX1,303.0,0.414090753,341.0,0.287332,-0.50600627
PRDX6,944.0,0.433706552,51.0,0.949854,-0.092443999
PREB,658.0,0.378530018,403.0,-0.145046,-0.106862268
PREP,579.0,0.425974009,233.0,-0.155779,-0.363761669
PRG4,784.0,0.366727173,51.0,5.973575,0.686642161
PRIM2,1166.0,0.350864643,125.0,0.088111,-0.265306237
PRKAB1,1305.0,0.365943644,289.0,-0.257375,0.1356559
PRKAR2A,5019.0,0.427443141,254.0,-1.851986,0.184279748
PRKCB,5795.0,0.38010529,197.0,0.283743,-0.046118173
PRKCD,451.0,0.404392693,469.0,0.46535,-0.131542891
PRKRA,683.0,0.420894136,659.0,0.071383,-0.119490497
PRKRIP1,3224.0,0.453589322,55.0,0.500535,0.173399537
PRMT5,393.0,0.386451423,508.0,-1.354959,0.111814978
PRMT7,3655.0,0.450088803,850.0,0.354337,-0.325380153
PROCR,549.0,0.357872186,218.0,0.791662,1.114393162
PRPS1,3908.0,0.466551451,409.0,-0.696917,-0.027771226
PRPSAP1,2056.0,0.390811115,688.0,-0.167876,-0.137933797
PRRC1,3173.0,0.409170839,188.0,-0.11267,0.172302274
PSMA5,2997.0,0.446573967,225.0,-0.028293,-0.214138762
PSMA6,187.0,0.423632682,445.0,0.103147,-0.166900077
PSMB10,58.0,0.455018511,128.0,2.076209,0.133614255
PSMB2,3775.0,0.389848815,412.0,-0.198546,0.078635731
PSMB8,242.0,0.411206622,522.0,1.122077,0.17843497
PSMB9,5497.0,0.431095699,69.0,2.187721,0.074474846
PSMC3,66.0,0.485654947,194.0,0.27297,-0.065191495
PSMD11,2567.0,0.390095635,61.0,-0.342412,-0.067376762
PSMD13,384.0,0.437236365,242.0,0.270616,0.036058691
PSMD8,450.0,0.458928351,52.0,-0.32419,0.001973375
PSME2,53.0,0.443656162,65.0,1.274741,-0.015652205
PSMG1,5308.0,0.427553471,578.0,0.234458,-0.19006993
PSTPIP2,1923.0,0.429639796,96.0,0.230353,0.28337239
PTBP1,1504.0,0.473818895,106.0,-0.013773,-0.0584425
PTDSS1,3765.0,0.367954205,423.0,-0.499869,-0.5375143
PTGS1,3346.0,0.37260918,633.0,0.909228,0.75070668
PTP4A1,3419.0,0.421202001,1153.0,-0.806673,0.096586676
PTPMT1,1899.0,0.450492628,193.0,0.222385,-0.090628821
PTPN18,2185.0,0.381656528,101.0,0.975985,0.419584281
PTPN7,1593.0,0.440747449,781.0,1.671238,0.050546076
PTPRE,2994.0,0.426620112,1843.0,0.42479,0.277862926
PTPRF,4571.0,0.452810321,356.0,-1.365298,-0.349550036
PTRH2,3186.0,0.370743372,1544.0,0.478886,-0.619124763
PWWP2B,819.0,0.424412275,29.0,0.460483,0.433781394
PYCR2,578.0,0.474148407,230.0,0.524432,0.010459017
PYGL,175.0,0.392036998,127.0,0.982479,0.048667983
QARS,97.0,0.458996209,396.0,0.357551,-0.056147558
RAB11FIP1,4277.0,0.380614122,56.0,-1.366758,-0.328015109
RAB12,1120.0,0.38483812,283.0,0.341683,0.134815295
RAB21,5246.0,0.435367738,267.0,0.11673,0.05828478
RAB31,3231.0,0.437498832,175.0,0.30729,0.120676462
RAB35,2172.0,0.408841719,189.0,-0.24333,0.227475763
RAB7A,1376.0,0.419395127,232.0,0.43898,-0.252578311
RAB8B,4163.0,0.425956778,96.0,0.487897,0.056090618
RAB9A,1716.0,0.417525007,283.0,-0.060349,-0.296813976
RABGGTA,77.0,0.387342734,512.0,0.190912,0.058699504
RABGGTB,440.0,0.409412379,78.0,0.370671,0.008841929
RABIF,4760.0,0.447399225,159.0,0.239868,0.021160584
RACGAP1,1895.0,0.366370127,354.0,-0.208778,-0.448047616
RAD9A,924.0,0.444046557,185.0,-0.493635,-0.10197945
RAE1,1112.0,0.432613552,365.0,-0.398142,-0.100144635
RAI1,1472.0,0.455620822,469.0,-0.774347,0.081090554
RAN,2043.0,0.442855294,361.0,0.510221,-0.146702958
RANBP10,3359.0,0.379453562,1256.0,-0.04844,0.056760661
RANGAP1,3145.0,0.481547647,765.0,-0.695385,-0.347207141
RAPGEF1,2727.0,0.425793135,159.0,-0.056321,0.20534032
RARS,114.0,0.423508657,41.0,0.34264,0.194164305
RASGRP2,183.0,0.381671176,582.0,1.497236,-0.135646037
RASGRP4,985.0,0.374724859,214.0,1.4057,-0.193509101
RBBP4,6506.0,0.404056961,164.0,-0.538261,-0.193430918
RBBP5,3098.0,0.421849625,474.0,-0.928709,0.174836536
RBKS,251.0,0.392307233,1371.0,0.415542,0.452701544
RBM12,3599.0,0.375183789,304.0,-0.475916,-0.03478976
RBM14,3443.0,0.468008211,139.0,-0.201797,0.168332842
RBM4B,5277.0,0.396841232,170.0,0.744862,-0.203686946
RBMX,1201.0,0.353737079,210.0,0.641977,0.246910685
RBPJ,4223.0,0.4178224,518.0,1.509803,0.227202031
RBX1,821.0,0.46562919,52.0,1.106637,0.614770074
RC3H1,7637.0,0.410085914,87.0,-0.100168,-0.230637708
RCCD1,1773.0,0.374130224,280.0,0.402276,0.112119583
RCOR1,4070.0,0.439565312,228.0,-0.538203,-0.236264112
REEP4,591.0,0.460338979,469.0,0.252406,0.103390491
REEP5,2962.0,0.457536941,144.0,0.255645,-0.177798935
RELB,408.0,0.418226182,131.0,0.655445,0.370201842
REPIN1,2683.0,0.45080531,489.0,-0.221695,0.109962616
RFC4,89.0,0.411167541,282.0,0.047466,-0.068081495
RFK,1882.0,0.429285662,357.0,-0.287789,-0.006846877
RFX5,1546.0,0.386685917,221.0,0.67973,0.460785186
RFXAP,1850.0,0.421314391,156.0,0.171715,-0.409852314
RHBDF2,740.0,0.423256567,294.0,-0.04317,0.075747673
RHOT2,568.0,0.454546166,881.0,0.104678,-0.284684591
RINL,1279.0,0.357351373,413.0,-0.057633,-0.184118576
RNASE2,179.0,0.384567964,71.0,3.320742,-0.259993273
RNASEH1,4369.0,0.404567903,700.0,-0.501793,-0.446819912
RNASEH2B,3930.0,0.37625722,399.0,1.217475,0.484039616
RNASET2,1070.0,0.374792559,407.0,0.932931,-0.164768624
RNF114,1751.0,0.459950313,36.0,-0.076952,-0.084950625
RNF167,289.0,0.375291206,776.0,0.297757,0.12417957
RNF20,5226.0,0.396317502,92.0,-0.510905,0.123811722
RNF213,5288.0,0.417718743,150.0,-0.12369,0.167592641
RNF216,2819.0,0.430061571,259.0,-0.267549,0.322340977
RNF25,102.0,0.375620157,88.0,0.857605,-0.039400006
RNF31,88.0,0.389352607,358.0,-0.044941,0.079114837
RNLS,1252.0,0.416402283,135.0,0.621977,0.259555068
RNMT,4581.0,0.415128602,241.0,-0.976893,-0.085862464
RNPEP,463.0,0.447181346,896.0,0.366263,0.091141223
RP9,437.0,0.42869019,18.0,0.850958,-0.157135918
RPA1,2907.0,0.381710028,170.0,-0.248902,0.092613146
RPA2,639.0,0.400070522,793.0,-0.191264,-0.019145469
RPAIN,471.0,0.394698889,570.0,0.730498,-0.161786086
RPL11,461.0,0.442317923,45.0,1.019202,-0.148440702
RPL14,5208.0,0.496792394,133.0,2.123761,0.008049246
RPL23,3146.0,0.464880603,90.0,1.255258,-0.164565316
RPL26,53.0,0.427802183,389.0,1.377931,0.702468315
RPL31,1260.0,0.451994935,87.0,1.451775,-0.014525698
RPL34,1350.0,0.436455219,198.0,2.015888,0.542401707
RPL5,1058.0,0.451564158,75.0,1.563214,-0.055749139
RPL7,1077.0,0.460258279,707.0,0.07785,-0.001566364
RPS11,373.0,0.483080585,92.0,1.386071,0.069150535
RPS24,4247.0,0.430653047,142.0,2.051811,-0.250970003
RPS25,109.0,0.467193878,63.0,0.868257,-0.277582979
RPS27A,743.0,0.450449292,321.0,0.113659,-0.312409924
RPS3A,306.0,0.426765211,80.0,0.718742,-0.139896955
RPS4X,629.0,0.442998752,96.0,0.769497,-0.203798357
RPS6,2723.0,0.413925579,42.0,1.90535,-0.017096565
RPS6KA1,828.0,0.389798854,163.0,0.199993,0.050527708
RPS6KA4,735.0,0.38455359,226.0,-0.006283,0.179416364
RPS7,66.0,0.428822459,109.0,1.672335,-0.390835058
RPTOR,2341.0,0.385169267,805.0,-0.276472,-0.025557531
RREB1,3012.0,0.456825357,492.0,-0.462632,-0.009030121
RRM1,2304.0,0.437568848,689.0,-1.133462,-0.292989098
RRP8,5071.0,0.446233376,148.0,-0.108378,-0.00686443
RRS1,978.0,0.468289248,104.0,-0.13318,-0.404256069
RTN3,1690.0,0.358048129,187.0,0.011154,0.022264569
RTN4IP1,1108.0,0.372133716,477.0,0.305874,-0.033923801
RUNX1,4334.0,0.416076551,1578.0,-0.381143,-0.124128089
RWDD1,6365.0,0.401367905,746.0,0.813181,-0.215540973
S100A8,71.0,0.444112716,170.0,1.475567,-0.478289862
S100A9,189.0,0.439508357,43.0,-0.057499,-0.836001905
SAMD9,1815.0,0.395660052,270.0,-0.348679,-0.321915496
SAMD9L,1162.0,0.396305952,1248.0,0.263343,-0.145914832
SAMM50,150.0,0.345249646,197.0,-0.008278,-0.254333536
SAMSN1,684.0,0.407246581,430.0,0.340178,0.182484954
SAP18,1754.0,0.427429047,39.0,0.790293,0.243647206
SAP30BP,1541.0,0.449617255,257.0,0.181744,-0.161301563
SAR1A,5213.0,0.411769389,203.0,0.247255,0.014731166
SAR1B,5806.0,0.392367964,253.0,0.507735,-0.104980911
SARS,1054.0,0.40098191,100.0,-0.154958,0.199637916
SASH3,1369.0,0.387406112,182.0,1.226774,0.035151807
SCAMP4,1741.0,0.472519575,351.0,0.090315,-0.109712789
SCO1,8645.0,0.407339367,61.0,-0.226421,0.420580304
SDCCAG8,307.0,0.360606297,1542.0,0.031485,0.365505835
SEC11C,205.0,0.423646802,92.0,-0.310691,-0.660043695
SEC13,332.0,0.457264526,210.0,0.101594,-0.017965679
SEC14L1,2986.0,0.420320088,665.0,0.357361,-0.453653827
SEC24B,1221.0,0.400931805,155.0,-0.751298,0.096282147
SEC24D,2115.0,0.386600041,297.0,-0.803232,0.085696376
SEC61B,270.0,0.404562259,76.0,1.245479,-0.219848644
SEMA3F,960.0,0.38837398,318.0,0.67508,0.259033824
SEMA4A,755.0,0.412797256,345.0,-0.205302,-0.428866514
SEMA4D,2318.0,0.393173667,572.0,-0.480201,-0.01859659
SERPINA1,1707.0,0.420489385,573.0,-0.977652,0.014837977
SERPINB8,2096.0,0.38524815,520.0,0.28871,-0.372329594
SETMAR,321.0,0.414235412,398.0,-0.101027,0.026070422
SEZ6L2,540.0,0.431800162,245.0,0.155612,0.155859198
SF1,2419.0,0.374481437,721.0,-0.382957,-0.011248244
SF3B2,563.0,0.453902675,40.0,-0.564048,-0.011117026
SFXN4,500.0,0.402513841,45.0,0.924542,-0.268080701
SH3BP1,433.0,0.395530944,313.0,0.724459,0.062073216
SH3PXD2B,4870.0,0.420952884,171.0,0.249697,0.284654383
SHMT1,4335.0,0.394510245,509.0,1.346686,0.447197262
SIGLEC1,1590.0,0.42099348,0.0,1.08354,-0.024677907
SIPA1,2933.0,0.437718847,296.0,1.077669,0.24295819
SIRPA,3027.0,0.429235057,360.0,0.987674,0.208402813
SKP1,8791.0,0.433886974,179.0,-0.112372,-0.02613455
SLBP,3046.0,0.391438372,553.0,0.295179,0.011778712
SLC25A10,1929.0,0.386184273,191.0,-0.177922,-0.271662862
SLC25A19,477.0,0.386093473,224.0,0.808747,-0.330219227
