,3prime,tAI,max_5_UTR_length,TCGA-A8-A09G,TCGA-A8-A09G.1
IFIT3,843.0,0.417440574,529.0,0.541998,-0.120272088
IFIT5,2354.0,0.414819429,231.0,0.528067,-0.264328733
IFITM1,159.0,0.431550176,180.0,-1.527068,0.129562951
IFT27,109.0,0.4030938,426.0,0.635718,1.139779297
IGFBP3,1605.0,0.43060006,132.0,-1.063809,-0.524222991
IGFBP7,558.0,0.392734536,34.0,-0.510035,-0.364059467
IKBKE,745.0,0.435100597,714.0,0.82688,0.614119331
IL16,3965.0,0.367979445,2395.0,0.289278,0.55052311
IL17RA,5874.0,0.376798811,133.0,1.376044,-0.014058887
IL1RN,1145.0,0.411881061,408.0,-2.313958,-1.065635681
IL4I1,16.0,0.4139018,621.0,0.938528,-0.235082427
ILF2,656.0,0.426220446,239.0,0.498935,-0.134452106
IMPA2,2898.0,0.383680893,242.0,1.431439,-0.867929308
INO80,5209.0,0.374025479,351.0,0.205311,-3.371347642
INPP1,263.0,0.395712795,700.0,-1.338244,-0.14208183
INPP5D,1195.0,0.436077769,512.0,0.698202,0.146035792
INSR,4801.0,0.380857973,411.0,-0.087338,-0.924833984
IPO5,2508.0,0.381335948,180.0,-0.678975,-0.237764655
IRF7,92.0,0.423538356,367.0,0.252824,0.897593428
IRF8,1327.0,0.384714127,507.0,1.111704,0.764222688
IRF9,369.0,0.432057622,127.0,0.566851,0.639423119
IRGQ,7659.0,0.399674011,156.0,0.585152,0.302254985
ISCU,607.0,0.454630229,1331.0,-0.502331,0.020200123
ISG15,62.0,0.419522688,77.0,-0.241627,-1.289945921
ISG20,952.0,0.419932377,2368.0,1.422615,0.780930536
ISOC1,1056.0,0.418535314,18.0,0.697787,0.924776433
ITGB2,415.0,0.457304004,395.0,0.489276,-0.170988154
ITPKB,2981.0,0.440250717,340.0,-0.449662,-0.128307248
JUNB,496.0,0.414023332,276.0,-1.48371,0.125226949
JUP,157.0,0.458302936,298.0,1.737688,-0.418849657
KANK2,2291.0,0.394238955,361.0,-0.619975,-0.180416455
KARS,4202.0,0.383913431,144.0,-0.462383,-0.157709928
KDM1A,327.0,0.428444011,149.0,0.449604,0.258223012
KDM2A,3716.0,0.372295488,864.0,0.301951,0.2444333
KDM2B,2488.0,0.393022165,407.0,-0.485181,-0.995650687
KDM3B,1327.0,0.37791414,200.0,0.244237,0.19595966
KDM4A,1148.0,0.378142374,166.0,0.536992,0.118667131
KHSRP,1024.0,0.456900489,110.0,0.21847,-0.055627363
KIAA2013,727.0,0.385456054,191.0,-0.30227,0.594592074
KIF20A,757.0,0.371463873,496.0,0.508856,-0.647041418
KIF22,75.0,0.392489541,388.0,0.195126,0.284981387
KIF2C,588.0,0.387865377,395.0,0.453184,-0.205880493
KIF3B,3792.0,0.390782105,180.0,0.385717,-0.219662919
KIF3C,2392.0,0.403852971,657.0,-2.105886,-1.785403795
KIF5B,3198.0,0.418236129,470.0,0.703268,-0.045327066
KLHL7,3616.0,0.41595405,521.0,-2.047036,-0.05203289
KTI12,594.0,0.370414154,39.0,-0.044721,0.419543073
LAMP1,1311.0,0.390985106,281.0,-0.552021,-0.047422352
LANCL2,2422.0,0.433733517,578.0,0.102969,-0.194292862
LAP3,503.0,0.426841798,162.0,0.171352,0.37672718
LDHD,1826.0,0.398770776,52.0,-2.261333,-0.290033364
LENG1,560.0,0.445950324,48.0,-0.24187,-0.863406253
LGALS3,159.0,0.420172221,88.0,0.599572,-0.586227856
LGALS3BP,1225.0,0.419930622,179.0,1.205584,0.601089345
LGALS9,641.0,0.410654931,118.0,0.495153,0.021147182
LIN54,4893.0,0.441729058,383.0,-0.405972,0.266654875
LPCAT1,2228.0,0.380803123,133.0,0.896148,0.211896218
LPCAT4,239.0,0.432241557,94.0,-1.929683,-0.014634147
LPXN,1776.0,0.432350833,254.0,0.229631,0.082228336
LRPPRC,2376.0,0.377375074,58.0,0.030567,0.053182453
LRRC25,843.0,0.434491636,642.0,-0.564233,0.135590395
LRRC41,465.0,0.438391248,44.0,-0.302053,-0.891161228
LRRC59,1755.0,0.423067849,236.0,-0.199752,-0.58670552
LSM1,486.0,0.409616526,410.0,0.198635,0.605343984
LSM6,1871.0,0.435100303,139.0,-0.343514,0.1413057
LTA4H,391.0,0.355044638,145.0,-0.636006,-0.14735985
LYN,4058.0,0.418972994,282.0,-0.049053,0.033705767
LYPLAL1,1137.0,0.3973742,157.0,0.105513,0.686023046
LYRM4,6830.0,0.366844497,217.0,-0.812871,-0.241388168
LYSMD2,596.0,0.394037378,501.0,-0.783826,-0.016338393
M6PR,1457.0,0.379162834,275.0,-0.535685,0.043878771
MAD2L1,4528.0,0.407191351,124.0,-0.051958,-0.315730468
MAFB,2032.0,0.405989564,390.0,0.302973,0.240886873
MAGED2,327.0,0.466698843,233.0,0.552411,0.084210577
MAGOH,153.0,0.416054235,162.0,-0.107253,0.252131825
MAN2B1,128.0,0.381728903,76.0,0.295268,0.309962687
MANF,717.0,0.420319188,97.0,1.150491,0.395447224
MAP4K1,170.0,0.374128007,140.0,1.247429,0.731501191
MARCKSL1,768.0,0.468216312,206.0,0.326941,-0.445825047
MAX,2676.0,0.337149475,479.0,0.235251,-0.452169091
MBD2,3723.0,0.420256858,229.0,-0.359277,0.533003363
MBP,4041.0,0.393290432,264.0,-0.667158,-1.136752771
MCM2,662.0,0.460999542,110.0,0.350109,-0.200853667
MCM4,2618.0,0.371821308,942.0,0.814167,-0.095609193
MCM5,3214.0,0.470488076,94.0,0.810639,-0.144104326
MDC1,658.0,0.415783633,440.0,0.312406,-0.037199483
MDH1,210.0,0.381672323,435.0,0.157441,-0.131423232
ME1,1535.0,0.411214685,265.0,1.730543,0.634215983
ME3,171.0,0.395156177,377.0,-1.220116,0.113109433
MECR,1365.0,0.445670958,612.0,-0.003626,-0.146988645
MED17,2631.0,0.366528813,275.0,0.075137,0.42111208
MED19,934.0,0.439623042,93.0,0.068748,0.427503842
MED28,10307.0,0.440157501,27.0,-1.017511,0.072707128
MED29,4550.0,0.464327351,57.0,0.163595,-0.604133317
MEF2C,6848.0,0.41426337,654.0,0.03486,-0.722835732
MEN1,824.0,0.454590692,504.0,0.280745,-0.111781856
METTL13,961.0,0.396264071,347.0,0.47412,0.660463062
MGST3,1295.0,0.374563048,428.0,-1.272308,-0.72410538
MIF4GD,787.0,0.397877071,137.0,-0.614662,-0.227005032
MINK1,774.0,0.455972684,525.0,-0.042187,-0.528797079
MIS12,1334.0,0.420723459,745.0,-0.323493,0.020031914
MLEC,5319.0,0.43043384,173.0,1.443602,-0.002909307
MLLT10,2252.0,0.36295117,1568.0,-0.572752,-0.989411074
MLX,1636.0,0.386664187,65.0,1.361826,0.368480351
MMACHC,1852.0,0.382684622,371.0,0.221146,-0.04865531
MMADHC,5382.0,0.406207656,205.0,0.080967,0.493708404
MMGT1,4451.0,0.406300672,388.0,-0.376747,0.15247973
MMP1,502.0,0.392399458,189.0,-4.928107,-0.675059722
MMP14,1722.0,0.419367787,285.0,-1.636109,-0.394259663
MMP9,193.0,0.404253633,19.0,-2.222801,-0.614150833
MORC3,2052.0,0.406702124,375.0,0.460024,0.306194236
MORF4L1,1066.0,0.420719378,454.0,0.184245,0.523910108
MOV10,619.0,0.412681236,1415.0,0.822421,0.373549642
MPDU1,797.0,0.440676037,216.0,-0.139882,0.541212546
MPHOSPH10,87.0,0.404440607,352.0,0.147577,-0.092239785
MRI1,2018.0,0.459301832,75.0,-0.719868,-0.330782212
MRPL13,1075.0,0.395373051,313.0,0.005686,0.577136704
MRPL15,1888.0,0.407701507,63.0,0.355506,0.252289607
MRPL16,212.0,0.368940255,214.0,0.112027,0.401375573
MRPL17,6554.0,0.424450505,105.0,0.04323,0.518036734
MRPL2,580.0,0.458698472,164.0,-0.248504,0.350373944
MRPL20,187.0,0.445765675,96.0,0.041285,0.382296484
MRPL21,55.0,0.417448467,293.0,0.691842,0.389563857
MRPL27,2133.0,0.436300758,31.0,-0.321832,-0.296199412
MRPL40,113.0,0.406843086,653.0,-0.169062,0.18278558
MRPL46,1889.0,0.422788385,25.0,-0.058952,0.035241834
MRPL48,1284.0,0.368940255,212.0,-0.249464,-0.307017943
MRPL51,2069.0,0.35376587,169.0,0.136794,-0.176960815
MRPL53,198.0,0.441261883,155.0,-0.47325,-0.242872283
MRPL9,407.0,0.432679379,437.0,0.033592,0.580451689
MRPS11,2793.0,0.477818717,1491.0,0.426784,0.348507298
MRPS15,468.0,0.440649404,164.0,-0.022348,0.129056383
MRPS17,1334.0,0.413812124,30.0,0.335007,0.755095324
MRPS18B,936.0,0.408462865,157.0,0.038861,0.420285012
MRPS36,933.0,0.3748339,84.0,0.11724,0.379919066
MRPS7,453.0,0.455992019,233.0,0.164844,0.302331862
MSI2,5168.0,0.366385762,173.0,1.302371,0.620031887
MSTO1,694.0,0.421389639,1152.0,0.266705,0.494481123
MT1E,291.0,0.588704726,179.0,-3.741506,-2.821801982
MT2A,316.0,0.576670685,123.0,-0.44205,-1.400901312
MTA2,684.0,0.459443446,761.0,0.278672,0.237332885
MTFMT,1550.0,0.414190941,26.0,-0.597573,0.129378818
MTHFS,1663.0,0.434592403,179.0,-0.726089,-0.891206897
MTMR1,2442.0,0.424163835,319.0,-0.255191,0.191648804
MTMR14,421.0,0.371137969,151.0,-0.03366,0.43234717
MVP,50.0,0.435053297,193.0,-0.540834,-0.081926427
MX1,456.0,0.433488503,982.0,0.696989,-0.342371636
MX2,1812.0,0.430094961,104.0,-0.142095,-0.259309634
MYADM,2833.0,0.384589896,681.0,-0.599127,-0.267707987
MYCBP,3972.0,0.381803634,73.0,0.861696,0.050764742
MYL12A,812.0,0.453450746,478.0,-0.793859,-0.066786573
MYO18A,3647.0,0.395788337,484.0,-0.263241,-0.125079373
MYO9B,1401.0,0.398943925,152.0,-0.171759,-0.212521188
N6AMT1,5137.0,0.427535625,28.0,0.223787,0.406787655
NAA40,3212.0,0.389371031,261.0,-0.108838,0.209816931
NAB1,2433.0,0.361024962,572.0,-1.588106,-0.109477832
NADK,1672.0,0.3959688,563.0,0.104782,0.096580404
NADSYN1,464.0,0.447848979,126.0,0.135397,0.760901788
NAGK,1297.0,0.42527382,474.0,0.22933,0.660135007
NANS,37.0,0.458552255,132.0,1.654431,1.106959893
NAPA,1862.0,0.477781443,318.0,0.257053,0.670976065
NAT10,4915.0,0.387474071,245.0,-0.038604,-0.33744295
NBAS,140.0,0.414580543,44.0,-0.139532,0.376579604
NCALD,2767.0,0.374888213,460.0,0.629763,0.489774918
NCAPD3,2971.0,0.431957579,606.0,0.734367,-0.169205216
NCAPG2,3501.0,0.41630572,200.0,0.653939,0.330020892
NCF1,2381.0,0.415579251,70.0,0.032721,-0.490732919
NCK2,1267.0,0.457831152,276.0,-0.703807,-0.310653176
NCKIPSD,4981.0,0.449411541,126.0,0.463755,0.133599856
NCOA5,1332.0,0.416761948,402.0,0.043254,-0.091926233
NCOA7,3259.0,0.404217869,470.0,1.057581,0.051980201
NDC80,61.0,0.356199389,182.0,-0.001603,-0.257525745
NDRG2,841.0,0.376266446,941.0,-0.047935,-0.179812299
NDUFA4,1685.0,0.439642808,129.0,0.128757,-0.135624548
NEU1,667.0,0.413226082,156.0,0.378484,0.119464411
NFATC2IP,3242.0,0.412267479,15.0,0.225236,0.522495402
NFKB1,708.0,0.4099683,467.0,-0.31988,-0.089900927
NFKB2,153.0,0.424806573,563.0,-0.087298,0.131088876
NFKBIE,1053.0,0.409138176,25.0,-0.104703,-0.134134694
NGDN,1255.0,0.423783924,27.0,-0.180399,-0.320651239
NGRN,1679.0,0.414477409,50.0,-0.114381,-1.277501629
NINJ1,5217.0,0.455972644,71.0,-0.536934,0.317670469
NIP7,1593.0,0.443769116,318.0,-0.409492,-0.14613887
NIT2,2351.0,0.432361565,74.0,0.199756,0.302330292
NMNAT3,2689.0,0.397393877,1228.0,-2.211518,-1.508741211
NMT1,3377.0,0.454689408,31.0,-0.616921,-0.809739627
NONO,1092.0,0.432928506,710.0,0.385381,0.01436682
NOP14,912.0,0.38067473,187.0,-0.46508,-0.26657858
NOP2,785.0,0.393538298,198.0,0.237632,-0.18704874
NOTCH2,6062.0,0.409327653,297.0,0.680785,-0.115546581
NPTN,1068.0,0.388989686,197.0,0.741541,-0.686919622
NR2C2,6271.0,0.390767743,362.0,0.47298,-0.099717163
NRBF2,883.0,0.43605128,224.0,0.302546,0.281823557
NRF1,1901.0,0.447602651,500.0,-0.202908,-0.266441777
NRGN,833.0,0.413631862,152.0,0.159914,-1.575313826
NRP1,3846.0,0.416817106,523.0,-0.247248,-0.055321582
NSFL1C,1587.0,0.42738001,868.0,-0.061788,-0.367323991
NSMAF,602.0,0.358586884,214.0,-0.0598,0.144034392
NTAN1,178.0,0.344459601,320.0,-0.390409,-0.081863384
NUBP1,246.0,0.455923678,142.0,0.376917,0.498600529
NUCKS1,5461.0,0.359398328,271.0,0.048591,-1.751336559
NUDC,716.0,0.476401948,127.0,0.190485,-0.244732512
NUDT16,5489.0,0.428387545,75.0,-0.199878,0.616275041
NUMA1,663.0,0.474508115,436.0,0.476092,-0.145998309
NUP93,5678.0,0.382018893,495.0,-0.371362,-0.073172417
NXF1,2943.0,0.375826754,136.0,-0.321428,0.089881311
OCIAD2,4872.0,0.363821488,322.0,-1.001186,-0.851404739
OGDH,1071.0,0.396078149,159.0,0.333301,0.084215119
OPA3,7233.0,0.475004358,100.0,-0.017096,-1.406913243
OSBPL2,2363.0,0.383456763,571.0,0.491344,-0.102066248
OSBPL5,1099.0,0.381371042,158.0,0.101528,0.140822334
OVCA2,792.0,0.429983078,65.0,-0.287313,0.394088862
P2RX4,573.0,0.442596273,304.0,-0.869928,-1.524927962
PAAF1,509.0,0.376143366,341.0,-0.2748,0.574650213
PACSIN2,1591.0,0.413490434,405.0,1.18361,0.216348287
PARK7,451.0,0.457171775,163.0,0.060069,-0.21089859
PARP1,769.0,0.460215809,171.0,0.372273,-0.041523513
PARP10,332.0,0.422654659,200.0,0.610388,0.226326001
PARP12,816.0,0.416480622,874.0,0.148684,0.058787331
PARP14,2243.0,0.414355918,59.0,1.242249,0.083906741
PARP9,451.0,0.418102187,327.0,0.700288,0.271085268
PARVG,2043.0,0.383803232,484.0,0.041689,0.15017306
PBK,750.0,0.413339119,464.0,0.515353,0.223643593
PCNA,338.0,0.425000199,239.0,0.470665,0.092407054
PDAP1,2007.0,0.464659554,134.0,0.0983,-0.673468591
PDCD2,155.0,0.440448783,111.0,0.206814,-0.033909267
PDCD2L,48.0,0.433436103,33.0,0.68915,0.459425695
PDCD6IP,3211.0,0.388727459,158.0,0.142009,-0.098439866
PDHA1,2054.0,0.402514578,145.0,0.363446,0.293517693
PDHB,2974.0,0.442593378,43.0,0.105007,0.398032442
PDLIM1,357.0,0.379179626,233.0,0.238863,-0.088941896
PDXDC1,2055.0,0.375670185,335.0,1.025177,0.987584494
PDXK,6244.0,0.398158884,198.0,0.835047,0.119192867
PEBP1,796.0,0.360152166,326.0,-0.488496,-0.211049126
PEF1,769.0,0.441759403,424.0,-0.425623,-0.042657981
PELO,5222.0,0.385240523,985.0,-0.173666,-0.307103606
PEPD,395.0,0.450896903,133.0,-0.301096,0.381915795
PEX16,585.0,0.43213601,312.0,0.043784,-1.408244125
PEX6,946.0,0.370078344,93.0,0.094025,0.599751819
PEX7,2294.0,0.407005497,102.0,0.506068,0.927995199
PFDN5,124.0,0.497062947,117.0,-0.788365,-0.149602269
PFDN6,574.0,0.470152145,222.0,-0.095038,-0.600082702
PGM1,570.0,0.393980016,681.0,1.080457,0.526875029
PHB,988.0,0.45268542,190.0,-1.018684,-0.39242037
PHF10,104.0,0.365149381,79.0,-0.48325,-0.06000618
PI4K2A,2692.0,0.385068362,57.0,-0.2743,0.377900335
PIAS1,3626.0,0.396022529,741.0,0.097694,0.264793328
PIK3AP1,3866.0,0.407313024,128.0,0.370795,0.015347205
PIR,205.0,0.385796208,485.0,0.340918,-0.273493625
PITPNC1,4686.0,0.369070722,874.0,0.756214,0.29958339
PLA2G4C,585.0,0.406173977,398.0,-2.124011,-0.027561454
PLAUR,323.0,0.418467601,226.0,-1.507066,-0.253239046
PLCB2,818.0,0.468984469,301.0,0.279105,0.4582188
PLCG1,3987.0,0.454806205,121.0,-0.082664,-0.097895837
PLD4,273.0,0.377985619,192.0,0.888594,0.965290275
PLEKHO1,5192.0,0.424698037,839.0,-0.728979,-0.067866593
PLEKHO2,2119.0,0.429714475,134.0,0.020383,0.174464832
PLSCR1,10376.0,0.415598704,388.0,-0.970275,-0.670176348
PML,3324.0,0.431306474,140.0,0.004498,0.034722783
POLR1C,1131.0,0.439933821,86.0,0.107083,0.232788212
POLR1D,1469.0,0.427162265,456.0,-1.031474,0.040634127
POLR2F,1600.0,0.47244007,250.0,-0.195616,0.103705149
POLR2H,1065.0,0.427596015,1167.0,-0.655737,-0.683560696
POLR3H,3481.0,0.444306047,388.0,0.080773,0.42152257
POLR3K,1023.0,0.473025152,46.0,0.208579,0.76385069
PPA2,660.0,0.432735716,20.0,-0.420982,-0.423929032
PPIE,4556.0,0.446406574,56.0,0.151083,0.555003773
PPIL1,1921.0,0.453832883,252.0,-0.197679,-0.916481631
PPP1R14B,282.0,0.457456004,268.0,0.142607,0.277493219
PRC1,1136.0,0.367783806,234.0,0.61976,-0.344928706
PRCC,357.0,0.381841119,290.0,-0.055504,-0.040503308
PRDX1,303.0,0.414090753,341.0,0.975233,0.52141742
PRDX6,944.0,0.433706552,51.0,-0.806632,-0.159816054
PREB,658.0,0.378530018,403.0,0.19879,0.383779379
PREP,579.0,0.425974009,233.0,-0.095227,-0.302915627
PRG4,784.0,0.366727173,51.0,0.836092,-0.852490654
PRIM2,1166.0,0.350864643,125.0,0.362309,0.342698479
PRKAB1,1305.0,0.365943644,289.0,-0.627888,0.314551033
PRKAR2A,5019.0,0.427443141,254.0,1.450537,0.388407117
PRKCB,5795.0,0.38010529,197.0,1.539065,0.132281463
PRKCD,451.0,0.404392693,469.0,-0.041719,0.081322503
PRKRA,683.0,0.420894136,659.0,-0.215233,-0.002193383
PRKRIP1,3224.0,0.453589322,55.0,0.858157,-1.025630694
PRMT5,393.0,0.386451423,508.0,0.058112,0.377239986
PRMT7,3655.0,0.450088803,850.0,-0.771737,0.104798534
PROCR,549.0,0.357872186,218.0,-1.868477,-0.013631775
PRPS1,3908.0,0.466551451,409.0,-0.209837,-0.343135927
PRPSAP1,2056.0,0.390811115,688.0,-0.048078,0.71120096
PRRC1,3173.0,0.409170839,188.0,1.189542,0.430367698
PSMA5,2997.0,0.446573967,225.0,0.854038,0.251778576
PSMA6,187.0,0.423632682,445.0,0.629418,0.089135808
PSMB10,58.0,0.455018511,128.0,0.237383,0.00394579
PSMB2,3775.0,0.389848815,412.0,0.354524,0.183758519
PSMB8,242.0,0.411206622,522.0,0.538569,0.234800855
PSMB9,5497.0,0.431095699,69.0,1.234536,0.316452334
PSMC3,66.0,0.485654947,194.0,-0.07482,0.316220624
PSMD11,2567.0,0.390095635,61.0,0.658945,0.321995062
PSMD13,384.0,0.437236365,242.0,0.067199,0.246320548
PSMD8,450.0,0.458928351,52.0,0.451821,0.23948177
PSME2,53.0,0.443656162,65.0,0.465915,0.308278037
PSMG1,5308.0,0.427553471,578.0,-0.324538,0.557377899
PSTPIP2,1923.0,0.429639796,96.0,0.473833,0.058365774
PTBP1,1504.0,0.473818895,106.0,-0.080142,0.172890877
PTDSS1,3765.0,0.367954205,423.0,-0.307203,0.144743602
PTGS1,3346.0,0.37260918,633.0,-0.142788,-0.371296919
PTP4A1,3419.0,0.421202001,1153.0,0.566591,0.136044041
PTPMT1,1899.0,0.450492628,193.0,-0.954582,-0.212371271
PTPN18,2185.0,0.381656528,101.0,-0.972161,-0.443866118
PTPN7,1593.0,0.440747449,781.0,1.268135,0.232432581
PTPRE,2994.0,0.426620112,1843.0,-0.292276,0.09335253
PTPRF,4571.0,0.452810321,356.0,1.376884,0.483664762
PTRH2,3186.0,0.370743372,1544.0,3.136373,2.240335431
PWWP2B,819.0,0.424412275,29.0,0.402011,-0.431401817
PYCR2,578.0,0.474148407,230.0,-0.413286,0.567622815
PYGL,175.0,0.392036998,127.0,-2.407512,-0.739066996
QARS,97.0,0.458996209,396.0,0.545575,0.518669574
RAB11FIP1,4277.0,0.380614122,56.0,0.90875,0.729630931
RAB12,1120.0,0.38483812,283.0,-0.525236,0.075460531
RAB21,5246.0,0.435367738,267.0,0.135166,0.210349371
RAB31,3231.0,0.437498832,175.0,-1.536075,-0.48998511
RAB35,2172.0,0.408841719,189.0,0.363074,-0.236038294
RAB7A,1376.0,0.419395127,232.0,-0.341023,0.048137943
RAB8B,4163.0,0.425956778,96.0,-0.101472,-0.959109942
RAB9A,1716.0,0.417525007,283.0,0.19356,0.564638481
RABGGTA,77.0,0.387342734,512.0,0.180001,0.110061773
RABGGTB,440.0,0.409412379,78.0,-1.029621,-0.178087586
RABIF,4760.0,0.447399225,159.0,0.810481,1.252388546
RACGAP1,1895.0,0.366370127,354.0,0.486326,-0.006148669
RAD9A,924.0,0.444046557,185.0,0.117537,0.751576154
RAE1,1112.0,0.432613552,365.0,-0.299669,0.077203745
RAI1,1472.0,0.455620822,469.0,-0.512661,-0.327081654
RAN,2043.0,0.442855294,361.0,0.232963,-0.086635226
RANBP10,3359.0,0.379453562,1256.0,-0.354128,-0.429876842
RANGAP1,3145.0,0.481547647,765.0,0.298542,0.27794228
RAPGEF1,2727.0,0.425793135,159.0,0.281063,0.39858724
RARS,114.0,0.423508657,41.0,0.195015,0.146518184
RASGRP2,183.0,0.381671176,582.0,0.666264,0.489928252
RASGRP4,985.0,0.374724859,214.0,-0.274974,0.283590971
RBBP4,6506.0,0.404056961,164.0,0.462796,0.176235368
RBBP5,3098.0,0.421849625,474.0,0.509539,-0.412689211
RBKS,251.0,0.392307233,1371.0,-0.62424,-0.482706294
RBM12,3599.0,0.375183789,304.0,0.419476,0.158050915
RBM14,3443.0,0.468008211,139.0,0.075602,-0.255264596
RBM4B,5277.0,0.396841232,170.0,0.036719,0.580907837
RBMX,1201.0,0.353737079,210.0,-0.094671,0.011115773
RBPJ,4223.0,0.4178224,518.0,-0.203704,0.114179929
RBX1,821.0,0.46562919,52.0,-0.070663,0.170686265
RC3H1,7637.0,0.410085914,87.0,1.022801,0.004820817
RCCD1,1773.0,0.374130224,280.0,0.241935,0.278881931
RCOR1,4070.0,0.439565312,228.0,0.695152,0.519094309
REEP4,591.0,0.460338979,469.0,0.6139,-0.645652748
REEP5,2962.0,0.457536941,144.0,0.488572,-0.408291041
RELB,408.0,0.418226182,131.0,-0.872839,0.267403956
REPIN1,2683.0,0.45080531,489.0,0.304879,-0.377605163
RFC4,89.0,0.411167541,282.0,0.339174,0.11220958
RFK,1882.0,0.429285662,357.0,0.24506,0.362511268
RFX5,1546.0,0.386685917,221.0,0.438355,-0.046396463
RFXAP,1850.0,0.421314391,156.0,-0.239355,-0.511979596
RHBDF2,740.0,0.423256567,294.0,-0.647404,-1.395067679
RHOT2,568.0,0.454546166,881.0,0.152837,0.752567389
RNASE2,179.0,0.384567964,71.0,-0.190782,-0.288448762
RNASEH1,4369.0,0.404567903,700.0,0.565102,-0.272577049
RNASEH2B,3930.0,0.37625722,399.0,-0.501835,-0.745292414
RNASET2,1070.0,0.374792559,407.0,0.574884,0.168342616
RNF114,1751.0,0.459950313,36.0,0.591695,-0.031910504
RNF167,289.0,0.375291206,776.0,-0.703828,-2.184633124
RNF20,5226.0,0.396317502,92.0,0.348559,-0.044884963
RNF213,5288.0,0.417718743,150.0,1.074811,0.016787946
RNF216,2819.0,0.430061571,259.0,-0.16745,-0.365389986
RNF25,102.0,0.375620157,88.0,-1.002998,-0.064043205
RNF31,88.0,0.389352607,358.0,0.434253,0.269576621
RNLS,1252.0,0.416402283,135.0,-0.008349,0.486053274
RNMT,4581.0,0.415128602,241.0,-0.562994,0.001746606
RNPEP,463.0,0.447181346,896.0,-0.704738,-0.277916723
RP9,437.0,0.42869019,18.0,-0.469059,-0.501124891
RPA1,2907.0,0.381710028,170.0,-0.333487,-0.152412937
RPA2,639.0,0.400070522,793.0,0.150472,0.44655102
RPAIN,471.0,0.394698889,570.0,-0.715302,0.509441937
RPL11,461.0,0.442317923,45.0,-0.55694,-0.380422098
RPL14,5208.0,0.496792394,133.0,-0.43954,-0.909201775
RPL23,3146.0,0.464880603,90.0,-0.110482,0.165444595
RPL26,53.0,0.427802183,389.0,-1.285631,-1.372443589
RPL31,1260.0,0.451994935,87.0,-0.577657,-0.5474536
RPL34,1350.0,0.436455219,198.0,-0.792651,-1.760969096
RPL5,1058.0,0.451564158,75.0,-1.011216,0.033859868
RPL7,1077.0,0.460258279,707.0,-0.474554,-0.143271409
RPS11,373.0,0.483080585,92.0,-0.163242,-0.218680867
RPS24,4247.0,0.430653047,142.0,-0.227285,0.155492591
RPS25,109.0,0.467193878,63.0,-0.014608,-0.106180803
RPS27A,743.0,0.450449292,321.0,-0.437334,-0.723066916
RPS3A,306.0,0.426765211,80.0,-0.920433,-0.2253843
RPS4X,629.0,0.442998752,96.0,-0.247723,0.212081418
RPS6,2723.0,0.413925579,42.0,-0.351375,-0.614279091
RPS6KA1,828.0,0.389798854,163.0,0.840275,0.399655795
RPS6KA4,735.0,0.38455359,226.0,0.427311,-0.213872056
RPS7,66.0,0.428822459,109.0,-0.520639,0.05703026
RPTOR,2341.0,0.385169267,805.0,-0.120993,-0.196677255
RREB1,3012.0,0.456825357,492.0,1.104136,-0.143448473
RRM1,2304.0,0.437568848,689.0,0.711921,0.783099476
RRP8,5071.0,0.446233376,148.0,0.09159,-0.255278549
RRS1,978.0,0.468289248,104.0,-0.974662,0.131285239
RTN3,1690.0,0.358048129,187.0,0.608317,-0.121606535
RTN4IP1,1108.0,0.372133716,477.0,-0.085916,0.285574497
RUNX1,4334.0,0.416076551,1578.0,-0.204265,0.478042447
RUNX3,2611.0,0.405217602,439.0,0.64563,0.479179441
RWDD1,6365.0,0.401367905,746.0,-0.075986,-0.049671835
S100A8,71.0,0.444112716,170.0,-0.595596,-1.274705845
S100A9,189.0,0.439508357,43.0,-1.400823,-1.430521943
SAMD9,1815.0,0.395660052,270.0,0.524343,0.172133088
SAMD9L,1162.0,0.396305952,1248.0,1.683907,0.656772669
SAMM50,150.0,0.345249646,197.0,0.869853,0.395731413
SAMSN1,684.0,0.407246581,430.0,0.695419,-0.415991572
SAP18,1754.0,0.427429047,39.0,0.08441,-1.110968549
SAP30BP,1541.0,0.449617255,257.0,-0.110667,0.290401657
SAR1A,5213.0,0.411769389,203.0,0.624125,0.317982972
SAR1B,5806.0,0.392367964,253.0,1.322406,0.621241152
SARS,1054.0,0.40098191,100.0,-0.309564,0.116783727
SASH3,1369.0,0.387406112,182.0,0.764948,0.378058787
SCAMP4,1741.0,0.472519575,351.0,-0.199966,0.294206366
SCO1,8645.0,0.407339367,61.0,-0.422477,-0.452903848
SDCCAG8,307.0,0.360606297,1542.0,-0.649734,-0.558166525
SEC11C,205.0,0.423646802,92.0,1.027901,0.007335678
SEC13,332.0,0.457264526,210.0,0.702729,0.241210317
SEC14L1,2986.0,0.420320088,665.0,-0.094621,0.498460695
SEC22A,2559.0,0.422343815,79.0,0.115907,0.064700866
SEC24B,1221.0,0.400931805,155.0,-0.58483,0.140276693
SEC24D,2115.0,0.386600041,297.0,0.252332,0.282061618
SEC61B,270.0,0.404562259,76.0,0.515409,-0.259649788
SEMA3F,960.0,0.38837398,318.0,0.169226,0.611843922
SEMA4A,755.0,0.412797256,345.0,-1.333716,0.764275977
SEMA4D,2318.0,0.393173667,572.0,0.49866,-0.739499385
SERPINA1,1707.0,0.420489385,573.0,-0.771219,0.358681751
