,3prime,tAI,max_5_UTR_length,TCGA-AR-A0TR,TCGA-AR-A0TR.1
IFI16,254.0,0.415211655,290.0,-2.18658,-1.019914825
IFI30,213.0,0.431523306,62.0,-2.276279,-0.492579763
IFI35,160.0,0.418462024,223.0,-0.484735,-0.177040714
IFI44,267.0,0.403888008,124.0,-2.007731,-1.261712411
IFI44L,5058.0,0.403608012,200.0,-1.840191,-1.487286991
IFIH1,121.0,0.412344512,377.0,-0.857814,-0.686185602
IFIT1,2775.0,0.411248073,495.0,-1.962719,-0.498433546
IFIT2,1901.0,0.420797646,175.0,-1.406557,-0.478266282
IFIT3,843.0,0.417440574,529.0,-1.668102,-0.873862617
IFIT5,2354.0,0.414819429,231.0,-1.178587,-0.487475311
IFITM1,159.0,0.431550176,180.0,-3.158489,1.408123579
IFT27,109.0,0.4030938,426.0,-0.793924,-0.483947808
IGFBP3,1605.0,0.43060006,132.0,-3.678299,-1.257075955
IGFBP7,558.0,0.392734536,34.0,-1.936299,-1.01486327
IKBKE,745.0,0.435100597,714.0,-0.136199,-1.052946106
IL16,3965.0,0.367979445,2395.0,-0.383581,-0.69403745
IL17RA,5874.0,0.376798811,133.0,-0.489647,-0.215997063
IL1RN,1145.0,0.411881061,408.0,0.21344,0.05373847
IL4I1,16.0,0.4139018,621.0,-1.867122,-1.063734417
ILF2,656.0,0.426220446,239.0,-0.052272,-0.076135807
IMPA2,2898.0,0.383680893,242.0,-1.776841,-0.548055695
INO80,5209.0,0.374025479,351.0,0.172613,0.356835443
INPP1,263.0,0.395712795,700.0,-1.865903,-1.258831974
INPP5D,1195.0,0.436077769,512.0,-0.646701,-0.231485626
INSR,4801.0,0.380857973,411.0,0.324151,0.786014685
IPO5,2508.0,0.381335948,180.0,0.05418,0.146796409
IRF7,92.0,0.423538356,367.0,-1.32091,-0.310622983
IRF8,1327.0,0.384714127,507.0,-0.185815,-0.252209032
IRF9,369.0,0.432057622,127.0,-0.563291,-0.313972162
IRGQ,7659.0,0.399674011,156.0,0.393975,-0.270401624
ISCU,607.0,0.454630229,1331.0,0.012805,0.295015952
ISG15,62.0,0.419522688,77.0,-0.34023,-0.755436395
ISG20,952.0,0.419932377,2368.0,-2.498384,-1.074685355
ISOC1,1056.0,0.418535314,18.0,-0.115949,-0.62366151
ITGB2,415.0,0.457304004,395.0,-0.974275,-0.181012297
ITPKB,2981.0,0.440250717,340.0,0.62483,0.113984098
ITPRIP,5382.0,0.396785481,453.0,-2.417796,-0.574377761
JUNB,496.0,0.414023332,276.0,-1.652126,-0.956660278
JUP,157.0,0.458302936,298.0,-0.34551,0.045522609
KANK2,2291.0,0.394238955,361.0,-1.049416,-0.546174259
KARS,4202.0,0.383913431,144.0,0.282106,0.313384428
KDM1A,327.0,0.428444011,149.0,0.367623,0.513737736
KDM2A,3716.0,0.372295488,864.0,0.20365,0.015843322
KDM2B,2488.0,0.393022165,407.0,0.117686,0.177990504
KDM3B,1327.0,0.37791414,200.0,0.746424,0.32465254
KDM4A,1148.0,0.378142374,166.0,0.727901,0.003669063
KHSRP,1024.0,0.456900489,110.0,0.400201,0.042103754
KIAA2013,727.0,0.385456054,191.0,0.121531,0.79691609
KIF20A,757.0,0.371463873,496.0,-1.684444,-0.434600173
KIF22,75.0,0.392489541,388.0,-0.405692,-0.993036342
KIF2C,588.0,0.387865377,395.0,-1.626798,-0.843011037
KIF3B,3792.0,0.390782105,180.0,0.101114,-0.141893609
KIF5B,3198.0,0.418236129,470.0,0.189827,-0.020823814
KLHL7,3616.0,0.41595405,521.0,0.351143,-0.094129446
KTI12,594.0,0.370414154,39.0,0.301757,0.212466973
LAMP1,1311.0,0.390985106,281.0,-0.283422,0.432404798
LANCL2,2422.0,0.433733517,578.0,0.391101,-0.343939889
LAP3,503.0,0.426841798,162.0,-1.345384,-0.795911601
LDHD,1826.0,0.398770776,52.0,1.587952,0.340184132
LENG1,560.0,0.445950324,48.0,0.209257,0.359416361
LGALS3,159.0,0.420172221,88.0,-0.401221,-0.075762449
LGALS3BP,1225.0,0.419930622,179.0,-0.487485,-0.397449507
LGALS9,641.0,0.410654931,118.0,-1.69344,-0.5407671
LIN54,4893.0,0.441729058,383.0,-0.256379,-0.064437453
LPCAT1,2228.0,0.380803123,133.0,-0.298607,-0.420089157
LPXN,1776.0,0.432350833,254.0,-0.792272,-0.954522497
LRPPRC,2376.0,0.377375074,58.0,0.517312,-0.334593762
LRRC25,843.0,0.434491636,642.0,-1.55918,-0.270096585
LRRC41,465.0,0.438391248,44.0,0.295588,0.254341432
LRRC59,1755.0,0.423067849,236.0,0.063013,-0.331664863
LSM1,486.0,0.409616526,410.0,-0.704675,-0.454332197
LSM6,1871.0,0.435100303,139.0,-0.663589,0.805285738
LTA4H,391.0,0.355044638,145.0,0.286667,0.172302625
LYN,4058.0,0.418972994,282.0,-1.603642,-0.413284178
LYPLAL1,1137.0,0.3973742,157.0,-0.136713,0.3175652
LYRM4,6830.0,0.366844497,217.0,-0.008742,0.090585989
LYSMD2,596.0,0.394037378,501.0,-0.106401,0.311280611
M6PR,1457.0,0.379162834,275.0,-0.728622,-0.113147209
MAD2L1,4528.0,0.407191351,124.0,-1.184705,-0.007571226
MAFB,2032.0,0.405989564,390.0,-2.235568,-0.444721176
MAGED2,327.0,0.466698843,233.0,-0.468883,0.019386513
MAGOH,153.0,0.416054235,162.0,0.038667,0.100292856
MAN2B1,128.0,0.381728903,76.0,-0.684184,-0.653381971
MANF,717.0,0.420319188,97.0,-0.272374,-0.782671548
MAP4K1,170.0,0.374128007,140.0,0.071488,-0.508978103
MARCKSL1,768.0,0.468216312,206.0,-1.458531,-0.402290543
MAX,2676.0,0.337149475,479.0,0.169214,0.479682163
MBD2,3723.0,0.420256858,229.0,-0.539956,0.191668417
MBP,4041.0,0.393290432,264.0,0.259088,-0.037177806
MCM2,662.0,0.460999542,110.0,-0.888834,-0.956753208
MCM4,2618.0,0.371821308,942.0,-1.050889,-0.939019175
MCM5,3214.0,0.470488076,94.0,-1.541056,-0.837341276
MDC1,658.0,0.415783633,440.0,0.679732,0.285049372
MDH1,210.0,0.381672323,435.0,-0.220221,-0.282678566
ME1,1535.0,0.411214685,265.0,-4.538301,-2.039349332
ME3,171.0,0.395156177,377.0,2.317438,0.599466825
MECR,1365.0,0.445670958,612.0,0.030516,0.677991611
MED17,2631.0,0.366528813,275.0,0.118103,0.491444412
MED19,934.0,0.439623042,93.0,0.338563,0.200845545
MED28,10307.0,0.440157501,27.0,-0.762368,0.283556988
MED29,4550.0,0.464327351,57.0,0.240149,0.559920182
MEF2C,6848.0,0.41426337,654.0,-1.359684,0.007299421
MEN1,824.0,0.454590692,504.0,0.270146,0.384677624
METTL13,961.0,0.396264071,347.0,0.537184,-0.029189196
MGST3,1295.0,0.374563048,428.0,-1.436821,0.515581668
MIF4GD,787.0,0.397877071,137.0,0.288008,0.146470804
MINK1,774.0,0.455972684,525.0,0.704405,0.648405335
MIS12,1334.0,0.420723459,745.0,0.457614,0.155130278
MLEC,5319.0,0.43043384,173.0,1.120686,1.152189318
MLLT10,2252.0,0.36295117,1568.0,-0.076831,-0.048499055
MLX,1636.0,0.386664187,65.0,-0.277922,-0.329017112
MMADHC,5382.0,0.406207656,205.0,0.133336,-0.583964863
MMGT1,4451.0,0.406300672,388.0,-0.114118,0.838840088
MMP1,502.0,0.392399458,189.0,-1.499477,-1.382335958
MMP14,1722.0,0.419367787,285.0,-2.155876,-1.310827825
MMP9,193.0,0.404253633,19.0,-2.793449,-1.969529613
MORC3,2052.0,0.406702124,375.0,0.726299,0.371580225
MORF4L1,1066.0,0.420719378,454.0,-0.968608,0.0377809
MOV10,619.0,0.412681236,1415.0,-0.219243,-0.320762903
MPDU1,797.0,0.440676037,216.0,-0.342685,0.652618042
MPHOSPH10,87.0,0.404440607,352.0,0.442633,0.135193695
MRI1,2018.0,0.459301832,75.0,0.090398,-0.267497291
MRPL13,1075.0,0.395373051,313.0,-0.783063,0.302051252
MRPL15,1888.0,0.407701507,63.0,-0.384558,0.073078372
MRPL16,212.0,0.368940255,214.0,0.007169,0.386542311
MRPL17,6554.0,0.424450505,105.0,-0.156743,0.655317998
MRPL2,580.0,0.458698472,164.0,0.349178,0.488484933
MRPL20,187.0,0.445765675,96.0,-0.202538,0.730279596
MRPL21,55.0,0.417448467,293.0,0.065243,0.129091028
MRPL27,2133.0,0.436300758,31.0,-0.463183,0.52277168
MRPL40,113.0,0.406843086,653.0,-0.999071,-0.013149963
MRPL46,1889.0,0.422788385,25.0,-0.607443,0.081807967
MRPL48,1284.0,0.368940255,212.0,-0.197002,0.174989629
MRPL51,2069.0,0.35376587,169.0,-1.222318,0.42727779
MRPL53,198.0,0.441261883,155.0,0.000673,-0.184528836
MRPL9,407.0,0.432679379,437.0,-0.016972,0.225867297
MRPS11,2793.0,0.477818717,1491.0,-0.517825,-0.400824833
MRPS15,468.0,0.440649404,164.0,-0.251112,0.33277228
MRPS17,1334.0,0.413812124,30.0,0.490888,0.197510078
MRPS18B,936.0,0.408462865,157.0,0.477237,0.266309929
MRPS36,933.0,0.3748339,84.0,0.494673,0.299130284
MRPS7,453.0,0.455992019,233.0,-0.152279,0.103583
MSI2,5168.0,0.366385762,173.0,1.204578,0.175991938
MSTO1,694.0,0.421389639,1152.0,0.399414,0.088416339
MT2A,316.0,0.576670685,123.0,-3.32744,-2.225872902
MTA2,684.0,0.459443446,761.0,-0.146953,-0.015712917
MTFMT,1550.0,0.414190941,26.0,-0.06015,0.635707157
MTHFS,1663.0,0.434592403,179.0,-0.187612,-0.003047585
MTMR1,2442.0,0.424163835,319.0,0.568527,0.221439634
MTMR14,421.0,0.371137969,151.0,-0.31361,-0.368883482
MVP,50.0,0.435053297,193.0,-1.397308,-1.066264457
MX1,456.0,0.433488503,982.0,-0.829905,-0.858777871
MX2,1812.0,0.430094961,104.0,-0.212073,-0.70443743
MYADM,2833.0,0.384589896,681.0,-1.119348,-0.668562108
MYCBP,3972.0,0.381803634,73.0,0.440041,0.123374583
MYL12A,812.0,0.453450746,478.0,-1.054819,-1.512067478
MYO18A,3647.0,0.395788337,484.0,-0.433317,-0.48891089
MYO9B,1401.0,0.398943925,152.0,-0.538857,-0.511091955
N6AMT1,5137.0,0.427535625,28.0,0.14411,0.291896636
NAA40,3212.0,0.389371031,261.0,-0.326663,-0.373907415
NAB1,2433.0,0.361024962,572.0,-0.186453,-0.208606943
NADK,1672.0,0.3959688,563.0,0.093985,-0.574934935
NADSYN1,464.0,0.447848979,126.0,0.197605,-0.096885428
NAGK,1297.0,0.42527382,474.0,-0.66662,-0.722093665
NANS,37.0,0.458552255,132.0,1.202028,0.709807159
NAPA,1862.0,0.477781443,318.0,0.313114,-0.004778541
NAT10,4915.0,0.387474071,245.0,0.293426,0.191276429
NBAS,140.0,0.414580543,44.0,0.405369,0.196904934
NCALD,2767.0,0.374888213,460.0,-1.821398,-0.999176166
NCAPD3,2971.0,0.431957579,606.0,1.133668,-0.415612254
NCAPG2,3501.0,0.41630572,200.0,-0.654139,-0.528031166
NCF1,2381.0,0.415579251,70.0,-0.392369,-0.841552129
NCK2,1267.0,0.457831152,276.0,-2.161997,-1.4252683
NCKIPSD,4981.0,0.449411541,126.0,-0.136098,0.053115709
NCOA5,1332.0,0.416761948,402.0,0.017709,0.249709097
NCOA7,3259.0,0.404217869,470.0,-2.120818,-0.978490423
NDC80,61.0,0.356199389,182.0,-1.450625,-0.483015831
NDRG2,841.0,0.376266446,941.0,1.016697,-0.15677969
NDUFA4,1685.0,0.439642808,129.0,0.127698,0.226693583
NEU1,667.0,0.413226082,156.0,0.158443,-0.622606504
NFATC2IP,3242.0,0.412267479,15.0,0.637001,0.211907487
NFKB1,708.0,0.4099683,467.0,-0.876109,-0.850106436
NFKB2,153.0,0.424806573,563.0,-1.337105,-0.653609742
NFKBIE,1053.0,0.409138176,25.0,-1.214223,-0.384789747
NGDN,1255.0,0.423783924,27.0,0.469356,0.25909382
NGRN,1679.0,0.414477409,50.0,-0.436883,0.261390038
NINJ1,5217.0,0.455972644,71.0,0.097706,-0.233377774
NIP7,1593.0,0.443769116,318.0,1.121535,-0.270479593
NIT2,2351.0,0.432361565,74.0,0.173534,0.348505681
NMNAT3,2689.0,0.397393877,1228.0,1.035596,0.853417682
NMT1,3377.0,0.454689408,31.0,-0.014515,-0.169672169
NONO,1092.0,0.432928506,710.0,0.205501,0.025328781
NOP14,912.0,0.38067473,187.0,0.063264,0.222243789
NOP2,785.0,0.393538298,198.0,-0.912761,-0.70154164
NOTCH2,6062.0,0.409327653,297.0,1.012173,0.143163571
NPTN,1068.0,0.388989686,197.0,0.144933,0.5254968
NR2C2,6271.0,0.390767743,362.0,0.730908,0.412551272
NRBF2,883.0,0.43605128,224.0,-0.896891,-0.699663436
NRF1,1901.0,0.447602651,500.0,0.360686,0.027700011
NRGN,833.0,0.413631862,152.0,-2.573613,0.274309772
NRP1,3846.0,0.416817106,523.0,-2.198573,-1.04900617
NSFL1C,1587.0,0.42738001,868.0,-0.201563,0.310557856
NSMAF,602.0,0.358586884,214.0,-0.819016,-0.07582451
NTAN1,178.0,0.344459601,320.0,-1.730451,-0.62552791
NUBP1,246.0,0.455923678,142.0,0.1732,0.17871052
NUCKS1,5461.0,0.359398328,271.0,-0.094937,-0.254967828
NUDC,716.0,0.476401948,127.0,0.18755,-0.025539044
NUDT16,5489.0,0.428387545,75.0,0.489969,-0.135784575
NUMA1,663.0,0.474508115,436.0,1.157257,0.765683179
NUP93,5678.0,0.382018893,495.0,0.499146,0.567798571
NXF1,2943.0,0.375826754,136.0,0.051212,0.266763881
OCIAD2,4872.0,0.363821488,322.0,-0.604764,0.244682668
OGDH,1071.0,0.396078149,159.0,0.474076,-0.194174731
OPA3,7233.0,0.475004358,100.0,0.383569,1.226354117
OSBPL2,2363.0,0.383456763,571.0,-0.437199,-0.656193082
OSBPL5,1099.0,0.381371042,158.0,0.645495,0.17215728
OVCA2,792.0,0.429983078,65.0,-0.067536,-0.251786585
P2RX4,573.0,0.442596273,304.0,0.955099,0.803514748
PAAF1,509.0,0.376143366,341.0,0.337867,0.374239481
PACSIN2,1591.0,0.413490434,405.0,-0.223469,-0.627337195
PARK7,451.0,0.457171775,163.0,0.196468,0.559997892
PARP1,769.0,0.460215809,171.0,0.657989,0.438497887
PARP10,332.0,0.422654659,200.0,0.017499,-0.285892635
PARP12,816.0,0.416480622,874.0,-0.337678,-0.009544368
PARP14,2243.0,0.414355918,59.0,-1.283973,-0.592742888
PARP9,451.0,0.418102187,327.0,-0.826864,-0.25109995
PARVG,2043.0,0.383803232,484.0,-0.575245,-0.714274804
PBK,750.0,0.413339119,464.0,-0.74212,-0.439865596
PCNA,338.0,0.425000199,239.0,-1.259148,-0.869926159
PDAP1,2007.0,0.464659554,134.0,0.012386,0.069513477
PDCD2,155.0,0.440448783,111.0,-0.231381,-0.298958854
PDCD2L,48.0,0.433436103,33.0,0.09964,-0.040203306
PDCD6IP,3211.0,0.388727459,158.0,0.494893,0.448982228
PDHA1,2054.0,0.402514578,145.0,0.002222,0.389982829
PDHB,2974.0,0.442593378,43.0,0.639997,0.228193963
PDLIM1,357.0,0.379179626,233.0,-2.07901,-1.291847251
PDXDC1,2055.0,0.375670185,335.0,1.139486,0.351960112
PDXK,6244.0,0.398158884,198.0,0.051963,-0.577644957
PEBP1,796.0,0.360152166,326.0,0.45719,0.312375737
PEF1,769.0,0.441759403,424.0,-0.342398,0.015882385
PELO,5222.0,0.385240523,985.0,0.108659,0.029478838
PEPD,395.0,0.450896903,133.0,-0.48275,0.094495857
PEX16,585.0,0.43213601,312.0,0.1847,1.132756023
PEX6,946.0,0.370078344,93.0,0.486795,0.009536296
PEX7,2294.0,0.407005497,102.0,0.172847,0.343255785
PFDN5,124.0,0.497062947,117.0,0.040631,-0.621173528
PFDN6,574.0,0.470152145,222.0,0.64871,-0.212661016
PGM1,570.0,0.393980016,681.0,0.562792,-0.007088179
PHB,988.0,0.45268542,190.0,-0.171746,-1.163033104
PHF10,104.0,0.365149381,79.0,0.729827,0.145704642
PI4K2A,2692.0,0.385068362,57.0,-0.054774,0.313905238
PIAS1,3626.0,0.396022529,741.0,0.141086,-0.021679597
PIGH,1430.0,0.434471606,98.0,0.113173,0.467748732
PIK3AP1,3866.0,0.407313024,128.0,-1.181109,-0.640712709
PIR,205.0,0.385796208,485.0,-1.992389,-0.613193142
PITPNC1,4686.0,0.369070722,874.0,-1.24388,-0.712647016
PLA2G7,1187.0,0.402486321,269.0,-2.633103,-1.211909605
PLAUR,323.0,0.418467601,226.0,-3.3939,-0.924768147
PLCB2,818.0,0.468984469,301.0,-0.784937,-0.381441916
PLCG1,3987.0,0.454806205,121.0,-0.878866,-0.523240914
PLD4,273.0,0.377985619,192.0,0.409678,0.420208414
PLEKHO1,5192.0,0.424698037,839.0,-1.720235,-0.601228293
PLEKHO2,2119.0,0.429714475,134.0,-2.019004,-0.846313223
PLSCR1,10376.0,0.415598704,388.0,-2.762089,-0.202357005
PML,3324.0,0.431306474,140.0,-0.952085,-0.537451167
POLR1C,1131.0,0.439933821,86.0,0.419909,0.291274404
POLR1D,1469.0,0.427162265,456.0,-0.29417,-0.016721963
POLR2F,1600.0,0.47244007,250.0,-1.647879,0.125870076
POLR2H,1065.0,0.427596015,1167.0,-0.544431,0.022970886
POLR3H,3481.0,0.444306047,388.0,-0.12879,0.975537578
POLR3K,1023.0,0.473025152,46.0,0.948377,0.567291706
PPA2,660.0,0.432735716,20.0,-0.019514,0.514439456
PPIE,4556.0,0.446406574,56.0,0.062232,0.249343819
PPIL1,1921.0,0.453832883,252.0,-0.124067,0.297180492
PPP1R14B,282.0,0.457456004,268.0,-1.429011,-0.106282937
PRC1,1136.0,0.367783806,234.0,-1.30961,-1.228151088
PRCC,357.0,0.381841119,290.0,0.005211,-0.038165058
PRDX1,303.0,0.414090753,341.0,0.18047,-0.03395444
PRDX6,944.0,0.433706552,51.0,0.058403,-0.011207764
PREB,658.0,0.378530018,403.0,-0.488912,0.45683697
PREP,579.0,0.425974009,233.0,-0.533819,-0.484866264
PRG4,784.0,0.366727173,51.0,-5.926444,-1.444066653
PRIM2,1166.0,0.350864643,125.0,-0.004216,0.114103318
PRKAB1,1305.0,0.365943644,289.0,1.162561,0.311225306
PRKAR2A,5019.0,0.427443141,254.0,1.174602,0.222407087
PRKCB,5795.0,0.38010529,197.0,0.457016,-0.922933757
PRKCD,451.0,0.404392693,469.0,0.126578,-0.166124207
PRKRA,683.0,0.420894136,659.0,0.121388,-0.043061302
PRKRIP1,3224.0,0.453589322,55.0,0.279377,0.360260493
PRMT5,393.0,0.386451423,508.0,0.763995,0.518218551
PRMT7,3655.0,0.450088803,850.0,0.813331,0.312791546
PROCR,549.0,0.357872186,218.0,-2.137882,-0.242325767
PRPS1,3908.0,0.466551451,409.0,0.292489,-0.017247409
PRPSAP1,2056.0,0.390811115,688.0,-0.14804,-0.453449076
PRRC1,3173.0,0.409170839,188.0,0.772862,0.289542278
PSMA5,2997.0,0.446573967,225.0,-0.021855,-0.231370159
PSMA6,187.0,0.423632682,445.0,0.168269,-0.12877813
PSMB10,58.0,0.455018511,128.0,0.295993,-0.67742319
PSMB2,3775.0,0.389848815,412.0,-0.265759,-0.03925644
PSMB8,242.0,0.411206622,522.0,-0.693384,-0.094128872
PSMB9,5497.0,0.431095699,69.0,-1.361542,-0.507526186
PSMC3,66.0,0.485654947,194.0,-0.310523,-0.052570702
PSMD11,2567.0,0.390095635,61.0,0.027456,0.059737718
PSMD13,384.0,0.437236365,242.0,-0.348829,0.064713976
PSMD8,450.0,0.458928351,52.0,-0.02028,0.027011049
PSME2,53.0,0.443656162,65.0,-0.318414,-0.113474989
PSMG1,5308.0,0.427553471,578.0,-1.146655,-0.28987736
PSTPIP2,1923.0,0.429639796,96.0,0.039557,-0.262296993
PTBP1,1504.0,0.473818895,106.0,0.073858,-0.020033571
PTDSS1,3765.0,0.367954205,423.0,-1.998464,-0.794306946
PTGS1,3346.0,0.37260918,633.0,-1.263253,0.022632612
PTP4A1,3419.0,0.421202001,1153.0,0.155006,0.566309183
PTPMT1,1899.0,0.450492628,193.0,-0.046987,0.864815854
PTPN18,2185.0,0.381656528,101.0,0.327464,0.036498722
PTPN7,1593.0,0.440747449,781.0,-0.397342,-0.362161599
PTPRE,2994.0,0.426620112,1843.0,-1.509915,-0.700775143
PTPRF,4571.0,0.452810321,356.0,0.412556,0.662733191
PTRH2,3186.0,0.370743372,1544.0,-0.097917,-0.258941661
PWWP2B,819.0,0.424412275,29.0,-0.044834,0.424831939
PYCR2,578.0,0.474148407,230.0,0.15539,-0.572314347
PYGL,175.0,0.392036998,127.0,-0.239725,-0.889577691
QARS,97.0,0.458996209,396.0,0.245981,-0.004485163
RAB11FIP1,4277.0,0.380614122,56.0,-0.100978,-0.131670426
RAB12,1120.0,0.38483812,283.0,-0.251658,0.235053143
RAB21,5246.0,0.435367738,267.0,0.172368,0.028248384
RAB31,3231.0,0.437498832,175.0,-3.69678,-1.251400772
RAB35,2172.0,0.408841719,189.0,-0.024422,0.233542706
RAB7A,1376.0,0.419395127,232.0,-0.320852,-0.211070865
RAB8B,4163.0,0.425956778,96.0,-0.058785,0.07133551
RAB9A,1716.0,0.417525007,283.0,-0.257292,0.100746209
RABGGTA,77.0,0.387342734,512.0,0.274852,-0.03290224
RABGGTB,440.0,0.409412379,78.0,-0.134245,-0.300540339
RABIF,4760.0,0.447399225,159.0,-0.199241,-0.169623746
RACGAP1,1895.0,0.366370127,354.0,0.041463,-0.82740012
RAD9A,924.0,0.444046557,185.0,-0.318388,0.397724013
RAE1,1112.0,0.432613552,365.0,-0.089309,0.017061522
RAI1,1472.0,0.455620822,469.0,-0.688335,0.023586591
RAN,2043.0,0.442855294,361.0,-0.05025,-0.078870342
RANBP10,3359.0,0.379453562,1256.0,1.393393,0.614110172
RANGAP1,3145.0,0.481547647,765.0,-1.045601,-0.384637112
RAPGEF1,2727.0,0.425793135,159.0,-0.324983,-0.143263788
RARS,114.0,0.423508657,41.0,0.343698,0.27947918
RASGRP2,183.0,0.381671176,582.0,0.207361,-0.419742414
RBBP4,6506.0,0.404056961,164.0,0.271705,-0.353716174
RBBP5,3098.0,0.421849625,474.0,0.328793,0.520171093
RBKS,251.0,0.392307233,1371.0,-0.064627,0.524711332
RBM12,3599.0,0.375183789,304.0,0.280461,0.263927711
RBM14,3443.0,0.468008211,139.0,0.102233,0.438173235
RBM4B,5277.0,0.396841232,170.0,0.211549,-0.157104885
RBMX,1201.0,0.353737079,210.0,0.294773,0.719179909
RBPJ,4223.0,0.4178224,518.0,-0.664224,-0.216432782
RBX1,821.0,0.46562919,52.0,-1.26144,-0.040993492
RC3H1,7637.0,0.410085914,87.0,0.826064,0.063667946
RCCD1,1773.0,0.374130224,280.0,-0.582711,-0.050705965
RCOR1,4070.0,0.439565312,228.0,0.431798,0.207255386
REEP4,591.0,0.460338979,469.0,-0.159201,0.683404593
REEP5,2962.0,0.457536941,144.0,-0.183802,-0.273870537
RELB,408.0,0.418226182,131.0,-1.87492,-0.609892166
REPIN1,2683.0,0.45080531,489.0,0.681542,0.539727087
RET,2082.0,0.379562012,357.0,-1.533803,-0.135366396
RFC4,89.0,0.411167541,282.0,-0.540361,-0.113509226
RFK,1882.0,0.429285662,357.0,-0.025734,0.239584607
RFWD3,2538.0,0.42367162,98.0,1.277045,0.325812736
RFX5,1546.0,0.386685917,221.0,0.419012,0.379224695
RFXAP,1850.0,0.421314391,156.0,0.534945,-0.588460414
RHBDF2,740.0,0.423256567,294.0,-0.44782,0.069680971
RHOT2,568.0,0.454546166,881.0,0.386012,0.502512721
RINL,1279.0,0.357351373,413.0,1.202356,1.04491861
RNASE2,179.0,0.384567964,71.0,-0.87764,-0.670977667
RNASEH1,4369.0,0.404567903,700.0,0.329457,-0.099189673
RNASEH2B,3930.0,0.37625722,399.0,-0.303195,0.536264932
RNASET2,1070.0,0.374792559,407.0,-0.409518,-0.483976939
RNF114,1751.0,0.459950313,36.0,-0.175235,-0.448495095
RNF167,289.0,0.375291206,776.0,0.617525,0.664196399
RNF20,5226.0,0.396317502,92.0,0.832465,-0.031187183
RNF213,5288.0,0.417718743,150.0,0.067166,-0.101927006
RNF216,2819.0,0.430061571,259.0,0.20095,0.297617668
RNF25,102.0,0.375620157,88.0,0.131319,0.003252989
RNF31,88.0,0.389352607,358.0,0.635624,0.155079522
RNLS,1252.0,0.416402283,135.0,0.224909,0.365201259
RNMT,4581.0,0.415128602,241.0,0.62102,0.309262561
RNPEP,463.0,0.447181346,896.0,0.085461,0.435189921
RP9,437.0,0.42869019,18.0,0.153309,0.425132996
RPA1,2907.0,0.381710028,170.0,0.53371,0.489056414
RPA2,639.0,0.400070522,793.0,0.316931,0.471813683
RPAIN,471.0,0.394698889,570.0,0.307194,0.775064795
RPL11,461.0,0.442317923,45.0,-0.077689,-0.488561678
RPL14,5208.0,0.496792394,133.0,0.469497,-0.242874105
RPL23,3146.0,0.464880603,90.0,-0.110231,-0.294667496
RPL26,53.0,0.427802183,389.0,-0.323549,0.033497732
RPL31,1260.0,0.451994935,87.0,-0.106536,0.017479439
RPL34,1350.0,0.436455219,198.0,-0.010938,0.896367948
RPL5,1058.0,0.451564158,75.0,0.437847,-0.01114494
RPL7,1077.0,0.460258279,707.0,-0.14681,0.105846057
RPS11,373.0,0.483080585,92.0,-0.016446,-0.050920328
RPS24,4247.0,0.430653047,142.0,-0.321595,-0.310534036
RPS25,109.0,0.467193878,63.0,-0.029673,0.190208982
RPS27A,743.0,0.450449292,321.0,-0.106498,-0.205872549
RPS3A,306.0,0.426765211,80.0,-0.045066,-0.188872778
RPS4X,629.0,0.442998752,96.0,-0.038485,-0.316599153
RPS6,2723.0,0.413925579,42.0,-0.182046,0.130980578
RPS6KA1,828.0,0.389798854,163.0,0.288726,0.243275738
RPS6KA4,735.0,0.38455359,226.0,-0.723861,0.225335592
RPS7,66.0,0.428822459,109.0,-0.053027,-0.525533731
RPTOR,2341.0,0.385169267,805.0,0.188024,0.073511094
RREB1,3012.0,0.456825357,492.0,1.287645,0.700416034
RRM1,2304.0,0.437568848,689.0,0.036367,0.059468502
RRP8,5071.0,0.446233376,148.0,0.197084,0.502567304
RRS1,978.0,0.468289248,104.0,0.598212,0.991334937
RTN3,1690.0,0.358048129,187.0,0.015468,0.648400537
RTN4IP1,1108.0,0.372133716,477.0,-0.444052,-0.315356914
RUNX1,4334.0,0.416076551,1578.0,-1.490506,-0.427004173
RUNX3,2611.0,0.405217602,439.0,-0.996991,-0.748551838
RWDD1,6365.0,0.401367905,746.0,-0.670968,-0.382206672
S100A8,71.0,0.444112716,170.0,-3.894879,-2.587185063
S100A9,189.0,0.439508357,43.0,-4.518001,-2.617792048
SAMD9,1815.0,0.395660052,270.0,-0.209898,-0.048085935
SAMD9L,1162.0,0.396305952,1248.0,0.726996,0.213822167
SAMM50,150.0,0.345249646,197.0,-0.679215,0.811652281
SAMSN1,684.0,0.407246581,430.0,-1.131656,-0.571723487
SAP18,1754.0,0.427429047,39.0,-0.367503,0.20002965
SAP30BP,1541.0,0.449617255,257.0,-0.494982,-0.055798307
SAR1A,5213.0,0.411769389,203.0,-0.37931,-0.536917491
SAR1B,5806.0,0.392367964,253.0,0.803015,0.252384569
SARS,1054.0,0.40098191,100.0,0.200268,-0.025687689
SASH3,1369.0,0.387406112,182.0,-0.318639,-0.627800754
SCAMP4,1741.0,0.472519575,351.0,0.562059,0.430381458
SCO1,8645.0,0.407339367,61.0,-0.42751,0.339790837
SDCCAG8,307.0,0.360606297,1542.0,0.201457,-0.012035451
SEC11C,205.0,0.423646802,92.0,-0.163602,-0.503423754
